id,occ,momage,anti,female,childage,hispanic,black,momwork,married,self,pov
AS,B,24,3,M,8.25,Y,N,Y,N,23.0,N
AS,C,24,2,M,8.25,Y,N,Y,N,24.0,N
AT,A,20,0,F,9.75,N,N,Y,N,20.0,N
AT,B,20,0,F,9.75,N,N,Y,N,14.0,N
AT,C,20,0,F,9.75,N,N,Y,N,23.0,N
AU,A,25,1,F,8.0,N,N,Y,N,21.0,N
AU,B,25,1,F,8.0,N,N,Y,N,19.0,N
AU,C,25,0,F,8.0,N,N,Y,N,22.0,N
AV,A,19,4,F,8.916667,N,N,N,Y,24.0,Y
AV,B,19,4,F,8.916667,N,N,N,Y,24.0,N
AV,C,19,6,F,8.916667,N,N,N,Y,23.0,N
AW,A,18,2,M,9.75,N,N,N,Y,21.0,N
AW,B,18,2,M,9.75,N,N,N,Y,20.0,N
AW,C,18,1,M,9.75,N,N,N,Y,19.0,N
AX,A,19,3,M,9.833333,N,N,N,N,22.0,N
AX,B,19,4,M,9.833333,N,N,N,N,22.0,N
AX,C,19,3,M,9.833333,N,N,N,N,17.0,N
AY,A,21,3,F,8.416667,N,N,N,N,19.0,N
AY,B,21,3,F,8.416667,N,N,N,N,21.0,N
AY,C,21,5,F,8.416667,N,N,N,N,23.0,N
AZ,A,19,0,F,9.25,Y,N,N,N,20.0,N
AZ,B,19,0,F,9.25,Y,N,N,N,19.0,N
AZ,C,19,0,F,9.25,Y,N,N,N,24.0,N
Aa,A,22,0,F,8.166667,N,Y,N,Y,19.0,Y
Aa,B,22,0,F,8.166667,N,Y,N,Y,21.0,Y
Aa,C,22,0,F,8.166667,N,Y,N,Y,20.0,Y
Ab,A,19,4,M,9.75,N,N,Y,Y,21.0,Y
Ab,B,19,4,M,9.75,N,N,Y,Y,22.0,Y
Ab,C,19,5,M,9.75,N,N,Y,Y,22.0,Y
Ac,A,22,2,F,8.666667,N,N,N,N,21.0,N
Ac,B,22,0,F,8.666667,N,N,N,N,18.0,N
Ac,C,22,0,F,8.666667,N,N,N,N,21.0,N
Ad,A,21,0,F,9.0,N,N,Y,Y,20.0,Y
Ad,B,21,0,F,9.0,N,N,Y,Y,24.0,Y
Ad,C,21,0,F,9.0,N,N,Y,Y,24.0,Y
Ae,A,18,1,F,9.416667,N,N,Y,N,24.0,N
Ae,B,18,2,F,9.416667,N,N,Y,N,20.0,N
Ae,C,18,4,F,9.416667,N,N,Y,N,9.0,N
Af,A,19,1,F,8.583333,N,N,N,Y,22.0,Y
Af,B,19,0,F,8.583333,N,N,N,Y,21.0,N
Af,C,19,0,F,8.583333,N,N,N,Y,24.0,Y
Ag,A,22,2,M,9.333333,N,N,N,N,24.0,N
Ag,B,22,0,M,9.333333,N,N,N,N,23.0,N
Ag,C,22,1,M,9.333333,N,N,N,N,24.0,N
Ah,A,25,0,F,8.666667,N,N,Y,N,24.0,N
Ah,B,25,0,F,8.666667,N,N,Y,N,24.0,N
Ah,C,25,0,F,8.666667,N,N,Y,N,22.0,N
Ai,A,22,0,M,9.25,N,N,N,N,19.0,N
Ai,B,22,1,M,9.25,N,N,N,N,21.0,N
Ai,C,22,1,M,9.25,N,N,N,N,21.0,N
Aj,A,24,1,M,8.5,N,N,Y,N,24.0,N
Aj,B,24,0,M,8.5,N,N,Y,N,20.0,N
Aj,C,24,0,M,8.5,N,N,Y,N,24.0,N
Ak,A,23,1,F,8.5,N,Y,Y,N,24.0,Y
Ak,B,23,4,F,8.5,N,Y,Y,N,19.0,Y
Ak,C,23,5,F,8.5,N,Y,Y,N,21.0,N
Al,A,22,3,F,9.916667,N,N,Y,N,19.0,N
Al,B,22,4,F,9.916667,N,N,Y,N,16.0,N
Al,C,22,4,F,9.916667,N,N,Y,N,18.0,N
Am,A,24,3,M,8.166667,N,N,N,Y,24.0,Y
Am,B,24,1,M,8.166667,N,N,N,Y,24.0,Y
Am,C,24,3,M,8.166667,N,N,N,Y,22.0,Y
An,A,22,1,M,9.083333,N,Y,N,Y,24.0,N
An,B,22,1,M,9.083333,N,Y,N,Y,24.0,N
An,C,22,0,M,9.083333,N,Y,N,Y,24.0,N
Ao,A,23,0,F,8.083333,N,Y,N,Y,21.0,N
Ao,B,23,0,F,8.083333,N,Y,N,Y,16.0,N
Ao,C,23,0,F,8.083333,N,Y,N,Y,24.0,N
Ap,A,19,1,M,10.0,N,Y,N,N,17.0,N
Ap,B,19,0,M,10.0,N,Y,N,N,12.0,N
Ap,C,19,1,M,10.0,N,Y,N,N,23.0,N
Aq,A,16,2,F,9.666667,N,N,Y,Y,24.0,Y
Aq,B,16,2,F,9.666667,N,N,Y,Y,23.0,N
Aq,C,16,0,F,9.666667,N,N,Y,Y,24.0,Y
Ar,A,23,0,M,8.833333,N,Y,Y,N,21.0,Y
Ar,B,23,0,M,8.833333,N,Y,Y,N,23.0,N
Ar,C,23,1,M,8.833333,N,Y,Y,N,17.0,Y
As,A,20,5,M,8.916667,N,Y,N,N,20.0,Y
As,B,20,3,M,8.916667,N,Y,N,N,22.0,Y
As,C,20,5,M,8.916667,N,Y,N,N,24.0,Y
At,A,17,0,F,8.583333,N,Y,N,N,19.0,N
At,B,17,1,F,8.583333,N,Y,N,N,20.0,N
At,C,17,0,F,8.583333,N,Y,N,N,24.0,N
Au,A,21,2,F,8.916667,N,Y,N,N,16.0,Y
Au,B,21,1,F,8.916667,N,Y,N,N,24.0,N
Au,C,21,2,F,8.916667,N,Y,N,N,24.0,N
Av,A,21,5,M,9.166667,N,Y,N,N,15.0,N
Av,B,21,3,M,9.166667,N,Y,N,N,19.0,N
Av,C,21,1,M,9.166667,N,Y,N,N,20.0,N
Aw,A,24,3,M,8.25,N,N,N,N,20.0,N
Aw,B,24,3,M,8.25,N,N,N,N,24.0,N
Aw,C,24,4,M,8.25,N,N,N,N,13.0,N
Ax,A,24,0,F,8.083333,N,N,Y,N,17.0,Y
Ax,B,24,1,F,8.083333,N,N,Y,N,16.0,Y
Ax,C,24,1,F,8.083333,N,N,Y,N,17.0,N
Ay,A,23,2,F,8.833333,N,N,Y,N,13.0,N
Ay,B,23,3,F,8.833333,N,N,Y,N,19.0,Y
Ay,C,23,0,F,8.833333,N,N,Y,N,24.0,Y
Az,A,18,3,F,8.083333,N,N,N,Y,20.0,Y
Az,B,18,2,F,8.083333,N,N,N,Y,17.0,Y
Az,C,18,1,F,8.083333,N,N,N,Y,23.0,Y
B0,A,18,0,M,8.916667,N,N,N,N,22.0,N
B0,B,18,3,M,8.916667,N,N,N,N,19.0,N
B0,C,18,3,M,8.916667,N,N,N,N,22.0,N
B1,A,23,1,F,9.666667,N,Y,Y,N,22.0,Y
B1,B,23,1,F,9.666667,N,Y,Y,N,21.0,Y
B1,C,23,0,F,9.666667,N,Y,Y,N,20.0,N
B2,A,20,2,F,8.666667,N,Y,N,N,24.0,Y
B2,B,20,2,F,8.666667,N,Y,N,N,22.0,N
B2,C,20,1,F,8.666667,N,Y,N,N,24.0,Y
B3,A,22,1,F,9.75,N,N,Y,N,24.0,N
B3,B,22,1,F,9.75,N,N,Y,N,17.0,N
B3,C,22,0,F,9.75,N,N,Y,N,24.0,N
B4,A,23,1,F,8.583333,N,N,Y,N,19.0,N
B4,B,23,1,F,8.583333,N,N,Y,N,17.0,N
B4,C,23,1,F,8.583333,N,N,Y,N,19.0,N
B5,A,21,0,F,8.75,N,N,N,N,24.0,N
B5,B,21,0,F,8.75,N,N,N,N,19.0,N
B5,C,21,0,F,8.75,N,N,N,N,22.0,N
B6,A,19,4,M,8.416667,N,N,N,N,19.0,N
B6,B,19,0,M,8.416667,N,N,N,N,21.0,N
B6,C,19,3,M,8.416667,N,N,N,N,21.0,N
B7,A,20,2,F,9.416667,Y,N,N,Y,20.0,Y
B7,B,20,2,F,9.416667,Y,N,N,Y,20.0,Y
B7,C,20,2,F,9.416667,Y,N,N,Y,19.0,Y
B8,A,19,0,M,9.416667,N,N,Y,Y,24.0,Y
B8,B,19,0,M,9.416667,N,N,Y,Y,14.0,N
B8,C,19,0,M,9.416667,N,N,Y,Y,20.0,N
B9,A,19,0,F,9.916667,Y,N,N,N,17.0,N
B9,B,19,2,F,9.916667,Y,N,N,N,16.0,Y
B9,C,19,2,F,9.916667,Y,N,N,N,16.0,N
BA,A,23,2,F,8.833333,N,N,N,N,22.0,N
BA,B,23,0,F,8.833333,N,N,N,N,21.0,N
BA,C,23,5,F,8.833333,N,N,N,N,23.0,Y
BB,A,18,0,F,8.75,Y,N,N,N,24.0,N
BB,B,18,0,F,8.75,Y,N,N,N,19.0,Y
BB,C,18,0,F,8.75,Y,N,N,N,19.0,N
BC,A,16,0,M,9.916667,N,Y,Y,N,21.0,N
BC,B,16,3,M,9.916667,N,Y,Y,N,19.0,Y
BC,C,16,3,M,9.916667,N,Y,Y,N,23.0,N
BD,A,17,0,M,9.083333,N,N,Y,N,21.0,N
BD,B,17,1,M,9.083333,N,N,Y,N,22.0,N
BD,C,17,0,M,9.083333,N,N,Y,N,21.0,N
BE,A,20,1,F,9.916667,N,N,N,N,23.0,N
BE,B,20,2,F,9.916667,N,N,N,N,24.0,N
BE,C,20,3,F,9.916667,N,N,N,N,24.0,N
BF,A,23,0,F,8.833333,N,N,N,N,22.0,N
BF,B,23,0,F,8.833333,N,N,N,N,21.0,N
BF,C,23,1,F,8.833333,N,N,N,N,21.0,N
BG,A,20,2,M,8.916667,N,Y,N,Y,18.0,N
BG,B,20,4,M,8.916667,N,Y,N,Y,24.0,Y
BG,C,20,1,M,8.916667,N,Y,N,Y,24.0,N
BH,A,17,3,F,8.5,N,N,Y,N,15.0,N
BH,B,17,3,F,8.5,N,N,Y,N,14.0,Y
BH,C,17,0,F,8.5,N,N,Y,N,20.0,N
BI,A,22,0,M,8.833333,Y,N,N,N,24.0,N
BI,B,22,0,M,8.833333,Y,N,N,N,24.0,N
BI,C,22,0,M,8.833333,Y,N,N,N,24.0,N
BJ,A,23,0,F,8.666667,N,N,N,N,22.0,N
BJ,B,23,1,F,8.666667,N,N,N,N,24.0,N
BJ,C,23,0,F,8.666667,N,N,N,N,24.0,N
BK,A,20,4,M,9.25,N,N,Y,N,19.0,N
BK,B,20,3,M,9.25,N,N,Y,N,19.0,N
BK,C,20,4,M,9.25,N,N,Y,N,14.0,N
BL,A,21,3,F,9.25,N,N,Y,N,20.0,Y
BL,B,21,3,F,9.25,N,N,Y,N,22.0,Y
BL,C,21,1,F,9.25,N,N,Y,N,19.0,Y
BM,A,24,3,F,8.916667,N,N,N,N,24.0,N
BM,B,24,2,F,8.916667,N,N,N,N,22.0,N
BM,C,24,0,F,8.916667,N,N,N,N,24.0,N
BN,A,23,0,F,9.583333,N,N,Y,Y,24.0,Y
BN,B,23,0,F,9.583333,N,N,Y,Y,24.0,Y
BN,C,23,1,F,9.583333,N,N,Y,Y,24.0,N
BO,A,23,0,M,9.916667,N,N,Y,N,21.0,N
BO,B,23,1,M,9.916667,N,N,Y,N,24.0,N
BO,C,23,0,M,9.916667,N,N,Y,N,22.0,N
BP,A,24,4,M,8.166667,N,N,N,N,24.0,N
BP,B,24,2,M,8.166667,N,N,N,N,22.0,N
BP,C,24,3,M,8.166667,N,N,N,N,17.0,N
BQ,A,22,2,F,8.416667,N,N,Y,Y,21.0,Y
BQ,B,22,2,F,8.416667,N,N,Y,Y,23.0,N
BQ,C,22,4,F,8.416667,N,N,Y,Y,21.0,N
BR,A,17,1,F,8.25,Y,N,N,N,17.0,N
BR,B,17,1,F,8.25,Y,N,N,N,22.0,N
BR,C,17,3,F,8.25,Y,N,N,N,22.0,N
BS,A,19,4,M,8.916667,N,N,N,Y,14.0,N
BS,B,19,5,M,8.916667,N,N,N,Y,12.0,N
BS,C,19,4,M,8.916667,N,N,N,Y,23.0,Y
BT,A,20,0,F,9.5,N,Y,N,N,21.0,N
BT,B,20,0,F,9.5,N,Y,N,N,24.0,Y
BT,C,20,0,F,9.5,N,Y,N,N,21.0,N
BU,A,21,2,M,8.5,Y,N,N,N,21.0,N
BU,B,21,1,M,8.5,Y,N,N,N,18.0,N
BU,C,21,2,M,8.5,Y,N,N,N,21.0,Y
BV,A,23,2,M,8.083333,N,N,N,N,24.0,N
BV,B,23,1,M,8.083333,N,N,N,N,21.0,N
BV,C,23,3,M,8.083333,N,N,N,N,24.0,N
BW,A,18,2,F,10.0,N,N,N,N,14.0,N
BW,B,18,3,F,10.0,N,N,N,N,23.0,Y
BW,C,18,2,F,10.0,N,N,N,N,15.0,Y
BX,A,17,2,F,9.916667,N,N,Y,Y,19.0,N
BX,B,17,0,F,9.916667,N,N,Y,Y,23.0,N
BX,C,17,0,F,9.916667,N,N,Y,Y,24.0,N
BY,A,18,0,F,8.583333,N,N,Y,Y,24.0,N
BY,B,18,0,F,8.583333,N,N,Y,Y,24.0,N
BY,C,18,0,F,8.583333,N,N,Y,Y,24.0,N
BZ,A,20,0,F,9.25,N,N,N,N,21.0,N
BZ,B,20,0,F,9.25,N,N,N,N,17.0,N
BZ,C,20,0,F,9.25,N,N,N,N,20.0,N
Ba,A,19,0,M,9.666667,N,Y,Y,Y,21.0,Y
Ba,B,19,0,M,9.666667,N,Y,Y,Y,24.0,Y
Ba,C,19,0,M,9.666667,N,Y,Y,Y,21.0,Y
Bb,A,20,3,F,8.25,Y,N,N,N,20.0,N
Bb,B,20,3,F,8.25,Y,N,N,N,23.0,N
Bb,C,20,1,F,8.25,Y,N,N,N,24.0,N
Bc,A,24,2,F,9.0,N,N,Y,N,20.0,N
Bc,B,24,0,F,9.0,N,N,Y,N,20.0,N
Bc,C,24,1,F,9.0,N,N,Y,N,23.0,N
Bd,A,22,0,M,8.916667,N,N,N,N,18.0,N
Bd,B,22,0,M,8.916667,N,N,N,N,17.0,N
Bd,C,22,1,M,8.916667,N,N,N,N,19.0,N
Be,A,23,2,F,9.833333,N,N,N,N,21.0,N
Be,B,23,2,F,9.833333,N,N,N,N,21.0,N
Be,C,23,1,F,9.833333,N,N,N,N,18.0,N
Bf,A,24,1,F,8.166667,N,N,N,N,19.0,N
Bf,B,24,0,F,8.166667,N,N,N,N,16.0,N
Bf,C,24,1,F,8.166667,N,N,N,N,13.0,N
Bg,A,20,1,F,9.083333,N,N,N,N,23.0,N
Bg,B,20,2,F,9.083333,N,N,N,N,22.0,N
Bg,C,20,5,F,9.083333,N,N,N,N,18.0,N
Bh,A,24,0,M,9.166667,N,N,N,N,23.0,N
Bh,B,24,0,M,9.166667,N,N,N,N,24.0,N
Bh,C,24,0,M,9.166667,N,N,N,N,23.0,N
Bi,A,19,0,M,9.75,N,N,N,N,23.0,N
Bi,B,19,1,M,9.75,N,N,N,N,20.0,N
Bi,C,19,2,M,9.75,N,N,N,N,24.0,N
Bj,A,21,0,F,8.0,N,N,N,N,21.0,N
Bj,B,21,1,F,8.0,N,N,N,N,12.0,N
Bj,C,21,1,F,8.0,N,N,N,N,16.0,N
Bk,A,20,0,F,8.666667,N,N,Y,Y,24.0,Y
Bk,B,20,0,F,8.666667,N,N,Y,Y,21.0,Y
Bk,C,20,0,F,8.666667,N,N,Y,Y,19.0,Y
Bl,A,21,0,M,8.25,N,N,N,N,24.0,N
Bl,B,21,0,M,8.25,N,N,N,N,23.0,N
Bl,C,21,0,M,8.25,N,N,N,N,24.0,N
Bm,A,24,3,F,8.083333,N,N,N,Y,10.0,Y
Bm,B,24,2,F,8.083333,N,N,N,Y,13.0,Y
Bm,C,24,6,F,8.083333,N,N,N,Y,17.0,N
Bn,A,19,0,M,9.083333,N,N,N,N,24.0,N
Bn,B,19,0,M,9.083333,N,N,N,N,20.0,N
Bn,C,19,1,M,9.083333,N,N,N,N,22.0,N
Bo,A,20,2,F,8.416667,N,N,N,N,21.0,N
Bo,B,20,0,F,8.416667,N,N,N,N,21.0,N
Bo,C,20,1,F,8.416667,N,N,N,N,19.0,N
Bp,A,24,0,M,9.0,N,N,Y,N,21.0,N
Bp,B,24,0,M,9.0,N,N,Y,N,18.0,N
Bp,C,24,0,M,9.0,N,N,Y,N,18.0,N
Bq,A,25,0,F,8.25,N,N,N,N,19.0,N
Bq,B,25,1,F,8.25,N,N,N,N,20.0,N
Bq,C,25,0,F,8.25,N,N,N,N,24.0,N
Br,A,23,3,F,8.916667,N,N,N,N,22.0,N
Br,B,23,4,F,8.916667,N,N,N,N,24.0,N
Br,C,23,1,F,8.916667,N,N,N,N,21.0,N
Bs,A,20,1,M,8.166667,N,N,N,N,23.0,N
Bs,B,20,2,M,8.166667,N,N,N,N,21.0,N
Bs,C,20,2,M,8.166667,N,N,N,N,19.0,N
Bt,A,17,1,M,9.916667,N,N,N,N,24.0,N
Bt,B,17,0,M,9.916667,N,N,N,N,22.0,N
Bt,C,17,3,M,9.916667,N,N,N,N,24.0,Y
Bu,A,22,0,F,8.166667,N,N,Y,N,23.0,N
Bu,B,22,0,F,8.166667,N,N,Y,N,20.0,N
Bu,C,22,0,F,8.166667,N,N,Y,N,22.0,N
Bv,A,23,1,F,9.5,N,N,N,N,16.0,N
Bv,B,23,3,F,9.5,N,N,N,N,20.0,N
Bv,C,23,3,F,9.5,N,N,N,N,19.0,Y
Bw,A,18,1,M,9.833333,N,N,N,Y,20.0,Y
Bw,B,18,3,M,9.833333,N,N,N,Y,22.0,Y
Bw,C,18,3,M,9.833333,N,N,N,Y,21.0,N
Bx,A,20,1,F,9.0,N,N,N,N,21.0,N
Bx,B,20,0,F,9.0,N,N,N,N,24.0,N
Bx,C,20,0,F,9.0,N,N,N,N,19.0,N
By,A,20,0,M,8.0,N,Y,N,N,22.0,N
By,B,20,3,M,8.0,N,Y,N,N,21.0,N
By,C,20,1,M,8.0,N,Y,N,N,22.0,N
Bz,A,18,4,M,9.083333,N,Y,Y,N,17.0,Y
Bz,B,18,4,M,9.083333,N,Y,Y,N,20.4,Y
Bz,C,18,4,M,9.083333,N,Y,Y,N,20.0,Y
C0,A,17,2,M,9.166667,Y,N,N,Y,22.0,N
C0,B,17,5,M,9.166667,Y,N,N,Y,17.0,N
C0,C,17,3,M,9.166667,Y,N,N,Y,19.0,N
C1,A,19,1,F,10.0,N,Y,N,N,22.0,N
C1,B,19,1,F,10.0,N,Y,N,N,22.0,N
C1,C,19,2,F,10.0,N,Y,N,N,20.0,Y
C2,A,21,3,M,9.166667,N,Y,Y,N,19.0,Y
C2,B,21,4,M,9.166667,N,Y,Y,N,17.0,Y
C2,C,21,3,M,9.166667,N,Y,Y,N,21.0,Y
C3,A,23,4,M,9.333333,N,N,Y,N,22.0,Y
C3,B,23,3,M,9.333333,N,N,Y,N,22.0,Y
C3,C,23,4,M,9.333333,N,N,Y,N,17.0,Y
C4,A,23,1,F,8.416667,N,N,Y,N,21.0,N
C4,B,23,0,F,8.416667,N,N,Y,N,15.0,N
C4,C,23,2,F,8.416667,N,N,Y,N,20.0,N
C5,A,16,6,M,9.833333,N,Y,Y,N,20.0,Y
C5,B,16,4,M,9.833333,N,Y,Y,N,21.0,Y
C5,C,16,4,M,9.833333,N,Y,Y,N,20.0,N
C6,A,22,1,M,8.75,N,N,N,N,24.0,N
C6,B,22,0,M,8.75,N,N,N,N,24.0,N
C6,C,22,1,M,8.75,N,N,N,N,21.0,N
C7,A,19,1,M,8.083333,N,N,Y,N,24.0,N
C7,B,19,0,M,8.083333,N,N,Y,N,24.0,N
C7,C,19,0,M,8.083333,N,N,Y,N,23.0,N
C8,A,22,1,F,9.666667,N,N,N,N,24.0,N
C8,B,22,0,F,9.666667,N,N,N,N,19.0,N
C8,C,22,0,F,9.666667,N,N,N,N,21.0,N
C9,A,20,2,M,9.333333,N,N,N,Y,16.0,Y
C9,B,20,0,M,9.333333,N,N,N,Y,12.0,Y
C9,C,20,0,M,9.333333,N,N,N,Y,17.0,N
CA,A,23,0,M,9.0,N,N,N,Y,19.0,N
CA,B,23,0,M,9.0,N,N,N,Y,21.0,N
CA,C,23,0,M,9.0,N,N,N,Y,24.0,N
CB,A,17,0,F,8.666667,N,N,N,Y,18.0,N
CB,B,17,0,F,8.666667,N,N,N,Y,17.0,N
CB,C,17,0,F,8.666667,N,N,N,Y,24.0,N
CC,A,24,2,M,9.0,N,N,N,N,22.0,N
CC,B,24,1,M,9.0,N,N,N,N,20.0,N
CC,C,24,0,M,9.0,N,N,N,N,20.0,N
CD,A,17,5,M,8.833333,N,N,Y,Y,18.0,Y
CD,B,17,4,M,8.833333,N,N,Y,Y,23.0,Y
CD,C,17,1,M,8.833333,N,N,Y,Y,21.0,N
CE,A,18,1,M,9.166667,N,N,N,N,20.0,N
CE,B,18,0,M,9.166667,N,N,N,N,23.0,N
CE,C,18,0,M,9.166667,N,N,N,N,22.0,N
CF,A,18,0,F,8.833333,N,N,N,N,20.0,N
CF,B,18,2,F,8.833333,N,N,N,N,18.0,N
CF,C,18,2,F,8.833333,N,N,N,N,13.0,N
CG,A,20,2,F,9.75,N,N,N,N,22.0,N
CG,B,20,0,F,9.75,N,N,N,N,24.0,N
CG,C,20,0,F,9.75,N,N,N,N,24.0,Y
CH,A,18,1,M,9.25,Y,N,N,Y,22.0,N
CH,B,18,0,M,9.25,Y,N,N,Y,24.0,N
CH,C,18,0,M,9.25,Y,N,N,Y,23.0,N
CI,A,19,0,M,8.75,Y,N,N,Y,19.0,Y
CI,B,19,0,M,8.75,Y,N,N,Y,13.0,Y
CI,C,19,0,M,8.75,Y,N,N,Y,20.0,Y
CJ,A,17,4,F,9.833333,Y,N,Y,N,19.0,Y
CJ,B,17,4,F,9.833333,Y,N,Y,N,16.0,Y
CJ,C,17,5,F,9.833333,Y,N,Y,N,20.0,Y
CK,A,22,0,F,8.833333,Y,N,N,N,24.0,N
CK,B,22,1,F,8.833333,Y,N,N,N,18.0,N
CK,C,22,2,F,8.833333,Y,N,N,N,24.0,N
CL,A,20,5,M,9.0,Y,N,Y,N,22.0,Y
CL,B,20,5,M,9.0,Y,N,Y,N,14.0,N
CL,C,20,6,M,9.0,Y,N,Y,N,24.0,N
CM,A,18,3,M,9.75,Y,N,N,N,19.0,N
CM,B,18,5,M,9.75,Y,N,N,N,8.0,N
CM,C,18,5,M,9.75,Y,N,N,N,20.0,N
CN,A,20,1,M,9.583333,Y,N,N,N,21.0,N
CN,B,20,1,M,9.583333,Y,N,N,N,24.0,N
CN,C,20,3,M,9.583333,Y,N,N,N,24.0,N
CO,A,19,2,M,9.416667,N,N,Y,N,23.0,N
CO,B,19,1,M,9.416667,N,N,Y,N,24.0,N
CO,C,19,3,M,9.416667,N,N,Y,N,19.0,N
CP,A,16,0,F,10.0,N,N,N,Y,19.0,N
