occ,serialno,year,constit,wt14,male,age87,manual,fv,right,inflation,rl,party,rank,age,rldist,yr87,yr92
15,22,92,101,1.165215,0,62,1,2,6.75,4,3.011912,2,1,6.7,13.973301,0,1
15,22,92,101,1.165215,0,62,1,2,6.75,4,7.790695,1,2,6.7,1.0830464,0,1
15,22,92,101,1.165215,0,62,1,2,6.75,4,4.477668,3,2,6.7,5.1634936,0,1
16,27,87,102,0.8236852,0,45,1,2,2.75,5,2.648171,2,1,4.5,0.010369156,1,0
16,27,87,102,0.8236852,0,45,1,2,2.75,5,4.626119,3,2,4.5,3.519823,1,0
16,27,87,102,0.8236852,0,45,1,2,2.75,5,8.031557,1,3,4.5,27.894846,1,0
17,27,92,102,0.8236852,0,45,1,2,7.0,5,3.011912,2,1,5.0,15.904845,0,1
17,27,92,102,0.8236852,0,45,1,2,7.0,5,4.477668,3,2,5.0,6.3621597,0,1
17,27,92,102,0.8236852,0,45,1,2,7.0,5,7.790695,1,3,5.0,0.6251989,0,1
18,30,87,102,0.8350758,0,78,1,1,6.5,5,8.031557,1,1,7.8,2.3456671,1,0
18,30,87,102,0.8350758,0,78,1,1,6.5,5,2.648171,2,2,7.8,14.836587,1,0
18,30,87,102,0.8350758,0,78,1,1,6.5,5,4.626119,3,3,7.8,3.5114295,1,0
19,37,87,102,0.8236852,0,63,1,2,3.5,5,2.648171,2,1,6.3,0.72561276,1,0
19,37,87,102,0.8236852,0,63,1,2,3.5,5,4.626119,3,2,6.3,1.2681444,1,0
19,37,87,102,0.8236852,0,63,1,2,3.5,5,8.031557,1,3,6.3,20.53501,1,0
20,37,92,102,0.8236852,0,63,1,2,4.5,5,3.011912,2,1,6.8,2.2144055,0,1
20,37,92,102,0.8236852,0,63,1,2,4.5,5,4.477668,3,2,6.8,0.0004987268,0,1
20,37,92,102,0.8236852,0,63,1,2,4.5,5,7.790695,1,3,6.8,10.828675,0,1
21,42,87,102,0.8236852,0,84,0,2,4.0,5,2.648171,2,1,8.4,1.8274418,1,0
21,42,87,102,0.8236852,0,84,0,2,4.0,5,4.626119,3,2,8.4,0.39202517,1,0
21,42,87,102,0.8236852,0,84,0,2,4.0,5,8.031557,1,3,8.4,16.253452,1,0
22,42,92,102,0.8236852,0,84,0,3,4.0,5,4.477668,3,1,8.9,0.22816654,0,1
22,42,92,102,0.8236852,0,84,0,3,4.0,5,7.790695,1,2,8.9,14.36937,0,1
22,42,92,102,0.8236852,0,84,0,3,4.0,5,3.011912,2,3,8.9,0.9763177,0,1
23,47,87,102,0.8236852,1,69,1,2,5.5,5,2.648171,2,1,6.9,8.132929,1,0
23,47,87,102,0.8236852,1,69,1,2,5.5,5,8.031557,1,2,6.9,6.408781,1,0
23,47,87,102,0.8236852,1,69,1,2,5.5,5,4.626119,3,3,6.9,0.76366776,1,0
24,48,87,102,0.7495732,0,39,1,3,7.25,4,4.626119,3,1,3.9,6.884751,1,0
24,48,87,102,0.7495732,0,39,1,3,7.25,4,2.648171,2,2,3.9,21.17683,1,0
24,48,87,102,0.7495732,0,39,1,3,7.25,4,8.031557,1,2,3.9,0.6108315,1,0
25,48,92,102,0.7495732,0,39,1,1,5.75,4,7.790695,1,1,4.4,4.164437,0,1
25,48,92,102,0.7495732,0,39,1,1,5.75,4,3.011912,2,2,4.4,7.497125,0,1
25,48,92,102,0.7495732,0,39,1,1,5.75,4,4.477668,3,3,4.4,1.6188293,0,1
26,51,87,103,0.8350758,0,55,0,1,4.25,3,8.031557,1,1,5.5,14.300174,1,0
26,51,87,103,0.8350758,0,55,0,1,4.25,3,4.626119,3,2,5.5,0.1414656,1,0
26,51,87,103,0.8350758,0,55,0,1,4.25,3,2.648171,2,3,5.5,2.5658562,1,0
27,51,92,103,0.8350758,0,55,0,1,4.0,4,7.790695,1,1,6.0,14.36937,0,1
27,51,92,103,0.8350758,0,55,0,1,4.0,4,4.477668,3,2,6.0,0.22816654,0,1
27,51,92,103,0.8350758,0,55,0,1,4.0,4,3.011912,2,3,6.0,0.9763177,0,1
28,53,87,103,0.7495732,1,56,0,3,6.75,5,4.626119,3,1,5.6,4.51087,1,0
28,53,87,103,0.7495732,1,56,0,3,6.75,5,8.031557,1,2,5.6,1.6423886,1,0
28,53,87,103,0.7495732,1,56,0,3,6.75,5,2.648171,2,3,5.6,16.825,1,0
29,53,92,103,0.7495732,1,56,0,1,6.75,5,7.790695,1,1,6.1,1.0830464,0,1
29,53,92,103,0.7495732,1,56,0,1,6.75,5,4.477668,3,2,6.1,5.1634936,0,1
29,53,92,103,0.7495732,1,56,0,1,6.75,5,3.011912,2,3,6.1,13.973301,0,1
30,55,87,103,0.8236852,0,63,1,2,6.75,4,2.648171,2,1,6.3,16.825,1,0
30,55,87,103,0.8236852,0,63,1,2,6.75,4,4.626119,3,2,6.3,4.51087,1,0
30,55,87,103,0.8236852,0,63,1,2,6.75,4,8.031557,1,3,6.3,1.6423886,1,0
31,55,92,103,0.8236852,0,63,1,2,5.25,5,3.011912,2,1,6.8,5.0090375,0,1
31,55,92,103,0.8236852,0,63,1,2,5.25,5,4.477668,3,2,6.8,0.596497,0,1
31,55,92,103,0.8236852,0,63,1,2,5.25,5,7.790695,1,3,6.8,6.455132,0,1
32,56,87,103,0.7495732,1,24,1,3,6.0,5,4.626119,3,1,2.4,1.8875487,1,0
32,56,87,103,0.7495732,1,24,1,3,6.0,5,8.031557,1,2,2.4,4.127224,1,0
32,56,87,103,0.7495732,1,24,1,3,6.0,5,2.648171,2,2,2.4,11.234758,1,0
33,56,92,103,0.7495732,1,24,1,1,6.0,5,7.790695,1,1,2.9,3.2065892,0,1
33,56,92,103,0.7495732,1,24,1,1,6.0,5,3.011912,2,2,2.9,8.928669,0,1
33,56,92,103,0.7495732,1,24,1,1,6.0,5,4.477668,3,3,2.9,2.3174953,0,1
34,58,92,103,1.165215,1,57,0,3,3.25,5,4.477668,3,1,6.2,1.5071683,0,1
34,58,92,103,1.165215,1,57,0,3,3.25,5,3.011912,2,2,6.2,0.056685846,0,1
34,58,92,103,1.165215,1,57,0,3,3.25,5,7.790695,1,3,6.2,20.617912,0,1
35,60,87,103,0.7495732,1,34,0,3,4.75,5,4.626119,3,1,3.4,0.015346468,1,0
35,60,87,103,0.7495732,1,34,0,3,4.75,5,8.031557,1,2,3.4,10.768617,1,0
35,60,87,103,0.7495732,1,34,0,3,4.75,5,2.648171,2,3,3.4,4.4176855,1,0
36,60,92,103,0.7495732,1,34,0,1,4.0,5,7.790695,1,1,3.9,14.36937,0,1
36,60,92,103,0.7495732,1,34,0,1,4.0,5,4.477668,3,2,3.9,0.22816654,0,1
36,60,92,103,0.7495732,1,34,0,1,4.0,5,3.011912,2,3,3.9,0.9763177,0,1
37,61,87,103,0.7495732,0,35,0,3,6.25,4,4.626119,3,1,3.5,2.636989,1,0
37,61,87,103,0.7495732,0,35,0,3,6.25,4,8.031557,1,2,3.5,3.1739457,1,0
37,61,87,103,0.7495732,0,35,0,3,6.25,4,2.648171,2,3,3.5,12.973172,1,0
38,61,92,103,0.7495732,0,35,0,1,6.75,4,7.790695,1,1,4.0,1.0830464,0,1
38,61,92,103,0.7495732,0,35,0,1,6.75,4,4.477668,3,2,4.0,5.1634936,0,1
38,61,92,103,0.7495732,0,35,0,1,6.75,4,3.011912,2,3,4.0,13.973301,0,1
39,62,87,103,0.8350758,0,46,0,1,6.25,4,8.031557,1,1,4.6,3.1739457,1,0
39,62,87,103,0.8350758,0,46,0,1,6.25,4,2.648171,2,2,4.6,12.973172,1,0
39,62,87,103,0.8350758,0,46,0,1,6.25,4,4.626119,3,2,4.6,2.636989,1,0
40,62,92,103,0.8350758,0,46,0,1,5.75,3,7.790695,1,1,5.1,4.164437,0,1
40,62,92,103,0.8350758,0,46,0,1,5.75,3,4.477668,3,2,5.1,1.6188293,0,1
40,62,92,103,0.8350758,0,46,0,1,5.75,3,3.011912,2,2,5.1,7.497125,0,1
43,74,92,104,1.059091,0,68,1,1,5.0,5,7.790695,1,1,7.3,7.7879796,0,1
43,74,92,104,1.059091,0,68,1,1,5.0,5,4.477668,3,2,7.3,0.2728309,0,1
43,74,92,104,1.059091,0,68,1,1,5.0,5,3.011912,2,3,7.3,3.9524934,0,1
44,75,87,104,0.8350758,0,68,0,1,8.5,5,8.031557,1,1,6.8,0.21943876,1,0
44,75,87,104,0.8350758,0,68,0,1,8.5,5,4.626119,3,2,6.8,15.006953,1,0
44,75,87,104,0.8350758,0,68,0,1,8.5,5,2.648171,2,3,6.8,34.243904,1,0
45,75,92,104,0.8350758,0,68,0,1,6.666667,5,7.790695,1,1,7.3,1.2634394,0,1
45,75,92,104,0.8350758,0,68,0,1,6.666667,5,4.477668,3,2,7.3,4.7917175,0,1
45,75,92,104,0.8350758,0,68,0,1,6.666667,5,3.011912,2,3,7.3,13.357233,0,1
48,79,87,104,0.8236852,1,29,0,2,3.0,4,2.648171,2,1,2.9,0.123783685,1,0
48,79,87,104,0.8236852,1,29,0,2,3.0,4,4.626119,3,2,2.9,2.6442635,1,0
48,79,87,104,0.8236852,1,29,0,2,3.0,4,8.031557,1,3,2.9,25.316566,1,0
49,79,92,104,0.8236852,1,29,0,2,4.0,4,3.011912,2,1,3.4,0.9763177,0,1
49,79,92,104,0.8236852,1,29,0,2,4.0,4,4.477668,3,2,3.4,0.22816654,0,1
49,79,92,104,0.8236852,1,29,0,2,4.0,4,7.790695,1,3,3.4,14.36937,0,1
50,81,87,104,0.8350758,0,61,1,1,8.0,5,8.031557,1,1,6.1,0.0009958495,1,0
50,81,87,104,0.8350758,0,61,1,1,8.0,5,4.626119,3,2,6.1,11.383072,1,0
50,81,87,104,0.8350758,0,61,1,1,8.0,5,2.648171,2,3,6.1,28.642075,1,0
51,81,92,104,0.8350758,0,61,1,1,6.75,5,7.790695,1,1,6.6,1.0830464,0,1
51,81,92,104,0.8350758,0,61,1,1,6.75,5,4.477668,3,2,6.6,5.1634936,0,1
51,81,92,104,0.8350758,0,61,1,1,6.75,5,3.011912,2,3,6.6,13.973301,0,1
52,83,87,104,0.8350758,1,45,1,1,4.666667,4,8.031557,1,1,4.5,11.322485,1,0
52,83,87,104,0.8350758,1,45,1,1,4.666667,4,2.648171,2,2,4.5,4.074326,1,0
52,83,87,104,0.8350758,1,45,1,1,4.666667,4,4.626119,3,2,4.5,0.001644128,1,0
53,83,92,104,0.8350758,1,45,1,3,4.25,5,4.477668,3,1,5.0,0.05183263,0,1
53,83,92,104,0.8350758,1,45,1,3,4.25,5,3.011912,2,2,5.0,1.5328616,0,1
53,83,92,104,0.8350758,1,45,1,3,4.25,5,7.790695,1,2,5.0,12.536523,0,1
54,88,87,104,0.8350758,0,82,1,1,5.0,5,8.031557,1,1,8.2,9.190338,1,0
54,88,87,104,0.8350758,0,82,1,1,5.0,5,4.626119,3,2,8.2,0.1397869,1,0
54,88,87,104,0.8350758,0,82,1,1,5.0,5,2.648171,2,3,8.2,5.5311,1,0
55,88,92,104,0.8350758,0,82,1,3,3.25,5,4.477668,3,1,8.7,1.5071683,0,1
55,88,92,104,0.8350758,0,82,1,3,3.25,5,7.790695,1,2,8.7,20.617912,0,1
55,88,92,104,0.8350758,0,82,1,3,3.25,5,3.011912,2,3,8.7,0.056685846,0,1
58,91,87,104,0.8350758,1,30,0,1,6.5,4,8.031557,1,1,3.0,2.3456671,1,0
58,91,87,104,0.8350758,1,30,0,1,6.5,4,4.626119,3,2,3.0,3.5114295,1,0
58,91,87,104,0.8350758,1,30,0,1,6.5,4,2.648171,2,3,3.0,14.836587,1,0
59,91,92,104,0.8350758,1,30,0,1,6.25,4,7.790695,1,1,3.5,2.3737416,0,1
59,91,92,104,0.8350758,1,30,0,1,6.25,4,4.477668,3,2,3.5,3.1411614,0,1
59,91,92,104,0.8350758,1,30,0,1,6.25,4,3.011912,2,3,3.5,10.485213,0,1
60,93,92,104,1.165215,0,79,1,1,4.75,5,7.790695,1,1,8.4,9.245828,0,1
60,93,92,104,1.165215,0,79,1,1,4.75,5,3.011912,2,2,8.4,3.0209496,0,1
60,93,92,104,1.165215,0,79,1,1,4.75,5,4.477668,3,2,8.4,0.07416482,0,1
61,103,87,105,0.8236852,0,44,1,2,2.25,5,2.648171,2,1,4.4,0.1585401,1,0
61,103,87,105,0.8236852,0,44,1,2,2.25,5,4.626119,3,2,4.4,5.645942,1,0
61,103,87,105,0.8236852,0,44,1,2,2.25,5,8.031557,1,3,4.4,33.426403,1,0
62,103,92,105,0.8236852,0,44,1,2,3.5,5,3.011912,2,1,4.9,0.2382298,0,1
62,103,92,105,0.8236852,0,44,1,2,3.5,5,4.477668,3,2,4.9,0.9558343,0,1
62,103,92,105,0.8236852,0,44,1,2,3.5,5,7.790695,1,3,4.9,18.410065,0,1
63,104,92,105,1.165215,0,37,1,2,2.75,5,3.011912,2,1,4.2,0.06859795,0,1
63,104,92,105,1.165215,0,37,1,2,2.75,5,4.477668,3,2,4.2,2.984836,0,1
63,104,92,105,1.165215,0,37,1,2,2.75,5,7.790695,1,3,4.2,25.408607,0,1
66,113,87,105,0.8236852,1,61,0,2,3.5,5,2.648171,2,1,6.1,0.72561276,1,0
66,113,87,105,0.8236852,1,61,0,2,3.5,5,4.626119,3,2,6.1,1.2681444,1,0
66,113,87,105,0.8236852,1,61,0,2,3.5,5,8.031557,1,3,6.1,20.53501,1,0
67,113,92,105,0.8236852,1,61,0,2,4.0,5,3.011912,2,1,6.6,0.9763177,0,1
67,113,92,105,0.8236852,1,61,0,2,4.0,5,4.477668,3,2,6.6,0.22816654,0,1
67,113,92,105,0.8236852,1,61,0,2,4.0,5,7.790695,1,3,6.6,14.36937,0,1
68,114,87,105,0.8236852,0,55,1,2,3.25,5,2.648171,2,1,5.5,0.3621982,1,0
68,114,87,105,0.8236852,0,55,1,2,3.25,5,4.626119,3,2,5.5,1.8937039,1,0
68,114,87,105,0.8236852,0,55,1,2,3.25,5,8.031557,1,3,5.5,22.863289,1,0
69,114,92,105,0.8236852,0,55,1,2,2.75,4,3.011912,2,1,6.0,0.06859795,0,1
69,114,92,105,0.8236852,0,55,1,2,2.75,4,7.790695,1,2,6.0,25.408607,0,1
69,114,92,105,0.8236852,0,55,1,2,2.75,4,4.477668,3,3,6.0,2.984836,0,1
70,117,87,105,0.8236852,0,57,1,2,1.0,1,2.648171,2,1,5.7,2.7164674,1,0
70,117,87,105,0.8236852,0,57,1,2,1.0,1,8.031557,1,2,5.7,49.442795,1,0
70,117,87,105,0.8236852,0,57,1,2,1.0,1,4.626119,3,2,5.7,13.14874,1,0
71,117,92,105,0.8236852,0,57,1,2,2.75,5,3.011912,2,1,6.2,0.06859795,0,1
71,117,92,105,0.8236852,0,57,1,2,2.75,5,7.790695,1,2,6.2,25.408607,0,1
71,117,92,105,0.8236852,0,57,1,2,2.75,5,4.477668,3,3,6.2,2.984836,0,1
72,120,87,105,0.8236852,1,38,1,2,1.75,5,2.648171,2,1,3.8,0.8067111,1,0
72,120,87,105,0.8236852,1,38,1,2,1.75,5,4.626119,3,2,3.8,8.272061,1,0
72,120,87,105,0.8236852,1,38,1,2,1.75,5,8.031557,1,3,3.8,39.45796,1,0
73,120,92,105,0.8236852,1,38,1,2,4.25,4,3.011912,2,1,4.3,1.5328616,0,1
73,120,92,105,0.8236852,1,38,1,2,4.25,4,4.477668,3,2,4.3,0.05183263,0,1
73,120,92,105,0.8236852,1,38,1,2,4.25,4,7.790695,1,3,4.3,12.536523,0,1
75,121,92,106,0.8236852,0,18,1,2,5.25,5,3.011912,2,1,2.3,5.0090375,0,1
75,121,92,106,0.8236852,0,18,1,2,5.25,5,4.477668,3,2,2.3,0.596497,0,1
75,121,92,106,0.8236852,0,18,1,2,5.25,5,7.790695,1,3,2.3,6.455132,0,1
76,123,87,106,0.8236852,0,44,1,2,2.75,4,2.648171,2,1,4.4,0.010369156,1,0
76,123,87,106,0.8236852,0,44,1,2,2.75,4,4.626119,3,2,4.4,3.519823,1,0
76,123,87,106,0.8236852,0,44,1,2,2.75,4,8.031557,1,3,4.4,27.894846,1,0
77,123,92,106,0.8236852,0,44,1,2,4.0,5,3.011912,2,1,4.9,0.9763177,0,1
77,123,92,106,0.8236852,0,44,1,2,4.0,5,7.790695,1,2,4.9,14.36937,0,1
77,123,92,106,0.8236852,0,44,1,2,4.0,5,4.477668,3,2,4.9,0.22816654,0,1
78,124,87,106,0.7495732,0,44,0,3,6.0,5,4.626119,3,1,4.4,1.8875487,1,0
78,124,87,106,0.7495732,0,44,0,3,6.0,5,2.648171,2,2,4.4,11.234758,1,0
78,124,87,106,0.7495732,0,44,0,3,6.0,5,8.031557,1,3,4.4,4.127224,1,0
79,124,92,106,0.7495732,0,44,0,2,5.0,5,3.011912,2,1,4.9,3.9524934,0,1
79,124,92,106,0.7495732,0,44,0,2,5.0,5,4.477668,3,2,4.9,0.2728309,0,1
79,124,92,106,0.7495732,0,44,0,2,5.0,5,7.790695,1,3,4.9,7.7879796,0,1
80,139,87,106,0.8236852,1,28,1,2,4.75,5,2.648171,2,1,2.8,4.4176855,1,0
80,139,87,106,0.8236852,1,28,1,2,4.75,5,4.626119,3,2,2.8,0.015346468,1,0
80,139,87,106,0.8236852,1,28,1,2,4.75,5,8.031557,1,3,2.8,10.768617,1,0
81,139,92,106,0.8236852,1,28,1,2,5.75,5,3.011912,2,1,3.3,7.497125,0,1
81,139,92,106,0.8236852,1,28,1,2,5.75,5,4.477668,3,2,3.3,1.6188293,0,1
81,139,92,106,0.8236852,1,28,1,2,5.75,5,7.790695,1,3,3.3,4.164437,0,1
82,140,87,106,0.8236852,1,50,1,2,3.25,5,2.648171,2,1,5.0,0.3621982,1,0
82,140,87,106,0.8236852,1,50,1,2,3.25,5,4.626119,3,2,5.0,1.8937039,1,0
82,140,87,106,0.8236852,1,50,1,2,3.25,5,8.031557,1,3,5.0,22.863289,1,0
83,140,92,106,0.8236852,1,50,1,2,1.0,5,3.011912,2,1,5.5,4.0477905,0,1
83,140,92,106,0.8236852,1,50,1,2,1.0,5,4.477668,3,2,5.5,12.094173,0,1
83,140,92,106,0.8236852,1,50,1,2,1.0,5,7.790695,1,3,5.5,46.11354,0,1
84,142,87,106,0.8236852,0,34,1,2,4.25,4,2.648171,2,1,3.4,2.5658562,1,0
84,142,87,106,0.8236852,0,34,1,2,4.25,4,8.031557,1,2,3.4,14.300174,1,0
84,142,87,106,0.8236852,0,34,1,2,4.25,4,4.626119,3,3,3.4,0.1414656,1,0
85,142,92,106,0.8236852,0,34,1,3,5.0,3,4.477668,3,1,3.9,0.2728309,0,1
85,142,92,106,0.8236852,0,34,1,3,5.0,3,7.790695,1,2,3.9,7.7879796,0,1
85,142,92,106,0.8236852,0,34,1,3,5.0,3,3.011912,2,3,3.9,3.9524934,0,1
86,143,87,106,0.8236852,0,51,1,2,1.25,4,2.648171,2,1,5.1,1.954882,1,0
86,143,87,106,0.8236852,0,51,1,2,1.25,4,4.626119,3,2,5.1,11.39818,1,0
86,143,87,106,0.8236852,0,51,1,2,1.25,4,8.031557,1,3,5.1,45.989517,1,0
87,143,92,106,0.8236852,0,51,1,2,1.75,5,3.011912,2,1,5.6,1.5924221,0,1
87,143,92,106,0.8236852,0,51,1,2,1.75,5,4.477668,3,2,5.6,7.4401717,0,1
87,143,92,106,0.8236852,0,51,1,2,1.75,5,7.790695,1,3,5.6,36.489998,0,1
88,147,87,107,0.8236852,1,49,0,2,3.5,5,2.648171,2,1,4.9,0.72561276,1,0
88,147,87,107,0.8236852,1,49,0,2,3.5,5,4.626119,3,2,4.9,1.2681444,1,0
88,147,87,107,0.8236852,1,49,0,2,3.5,5,8.031557,1,3,4.9,20.53501,1,0
89,147,92,107,0.8236852,1,49,0,2,2.25,5,3.011912,2,1,5.4,0.5805101,0,1
89,147,92,107,0.8236852,1,49,0,2,2.25,5,4.477668,3,2,5.4,4.962504,0,1
89,147,92,107,0.8236852,1,49,0,2,2.25,5,7.790695,1,3,5.4,30.699303,0,1
90,149,87,107,0.8236852,0,53,1,2,5.75,4,2.648171,2,1,5.3,9.621344,1,0
90,149,87,107,0.8236852,0,53,1,2,5.75,4,8.031557,1,2,5.3,5.2055025,1,0
90,149,87,107,0.8236852,0,53,1,2,5.75,4,4.626119,3,3,5.3,1.2631083,1,0
91,149,92,107,0.8236852,0,53,1,2,2.25,5,3.011912,2,1,5.8,0.5805101,0,1
91,149,92,107,0.8236852,0,53,1,2,2.25,5,4.477668,3,2,5.8,4.962504,0,1
91,149,92,107,0.8236852,0,53,1,2,2.25,5,7.790695,1,3,5.8,30.699303,0,1
94,152,87,107,0.8236852,1,56,1,2,3.333333,4,2.648171,2,1,5.6,0.46944705,1,0
94,152,87,107,0.8236852,1,56,1,2,3.333333,4,4.626119,3,2,5.6,1.671296,1,0
94,152,87,107,0.8236852,1,56,1,2,3.333333,4,8.031557,1,3,5.6,22.073309,1,0
95,152,92,107,0.8236852,1,56,1,2,3.75,5,3.011912,2,1,6.1,0.54477376,0,1
95,152,92,107,0.8236852,1,56,1,2,3.75,5,4.477668,3,2,6.1,0.5295004,0,1
95,152,92,107,0.8236852,1,56,1,2,3.75,5,7.790695,1,3,6.1,16.327217,0,1
96,156,87,107,0.8236852,0,57,0,2,4.25,4,2.648171,2,1,5.7,2.5658562,1,0
96,156,87,107,0.8236852,0,57,0,2,4.25,4,4.626119,3,2,5.7,0.1414656,1,0
96,156,87,107,0.8236852,0,57,0,2,4.25,4,8.031557,1,3,5.7,14.300174,1,0
97,156,92,107,0.8236852,0,57,0,2,5.0,4,3.011912,2,1,6.2,3.9524934,0,1
97,156,92,107,0.8236852,0,57,0,2,5.0,4,4.477668,3,2,6.2,0.2728309,0,1
97,156,92,107,0.8236852,0,57,0,2,5.0,4,7.790695,1,3,6.2,7.7879796,0,1
98,160,87,107,0.8236852,0,47,1,2,5.0,5,2.648171,2,1,4.7,5.5311,1,0
98,160,87,107,0.8236852,0,47,1,2,5.0,5,4.626119,3,2,4.7,0.1397869,1,0
98,160,87,107,0.8236852,0,47,1,2,5.0,5,8.031557,1,3,4.7,9.190338,1,0
99,160,92,107,0.8236852,0,47,1,2,2.25,5,3.011912,2,1,5.2,0.5805101,0,1
99,160,92,107,0.8236852,0,47,1,2,2.25,5,7.790695,1,2,5.2,30.699303,0,1
99,160,92,107,0.8236852,0,47,1,2,2.25,5,4.477668,3,3,5.2,4.962504,0,1
100,172,87,108,0.8236852,0,42,1,2,4.5,4,2.648171,2,1,4.2,3.4292707,1,0
100,172,87,108,0.8236852,0,42,1,2,4.5,4,8.031557,1,2,4.2,12.471895,1,0
100,172,87,108,0.8236852,0,42,1,2,4.5,4,4.626119,3,3,4.2,0.015906036,1,0
101,172,92,108,0.8236852,0,42,1,3,4.25,5,4.477668,3,1,4.7,0.05183263,0,1
101,172,92,108,0.8236852,0,42,1,3,4.25,5,7.790695,1,2,4.7,12.536523,0,1
101,172,92,108,0.8236852,0,42,1,3,4.25,5,3.011912,2,3,4.7,1.5328616,0,1
102,173,87,108,0.8236852,0,41,1,2,2.75,5,2.648171,2,1,4.1,0.010369156,1,0
102,173,87,108,0.8236852,0,41,1,2,2.75,5,4.626119,3,2,4.1,3.519823,1,0
102,173,87,108,0.8236852,0,41,1,2,2.75,5,8.031557,1,3,4.1,27.894846,1,0
103,173,92,108,0.8236852,0,41,1,3,3.25,5,4.477668,3,1,4.6,1.5071683,0,1
