id,housing,cons,section8,nonsect8,linyime,s8lint,time
29,2,1,1,0,1,1,1
29,1,1,1,0,2,2,2
29,1,1,1,0,3,3,3
30,2,1,1,0,0,0,0
31,2,1,1,0,0,0,0
31,2,1,1,0,1,1,1
31,2,1,1,0,2,2,2
31,2,1,1,0,3,3,3
32,0,1,1,0,0,0,0
32,0,1,1,0,1,1,1
33,1,1,1,0,0,0,0
34,2,1,1,0,0,0,0
34,2,1,1,0,1,1,1
34,0,1,1,0,2,2,2
34,0,1,1,0,3,3,3
35,0,1,1,0,0,0,0
35,1,1,1,0,1,1,1
35,0,1,1,0,2,2,2
35,0,1,1,0,3,3,3
36,2,1,1,0,0,0,0
36,2,1,1,0,1,1,1
36,2,1,1,0,2,2,2
36,2,1,1,0,3,3,3
37,0,1,1,0,0,0,0
37,1,1,1,0,1,1,1
37,1,1,1,0,2,2,2
38,1,1,1,0,0,0,0
38,2,1,1,0,2,2,2
38,1,1,1,0,3,3,3
39,1,1,1,0,0,0,0
39,2,1,1,0,1,1,1
39,2,1,1,0,2,2,2
39,2,1,1,0,3,3,3
40,1,1,1,0,0,0,0
40,2,1,1,0,1,1,1
40,2,1,1,0,2,2,2
40,2,1,1,0,3,3,3
41,0,1,1,0,0,0,0
41,2,1,1,0,1,1,1
41,0,1,1,0,2,2,2
41,2,1,1,0,3,3,3
42,1,1,1,0,0,0,0
42,2,1,1,0,1,1,1
42,2,1,1,0,2,2,2
42,0,1,1,0,3,3,3
43,2,1,1,0,0,0,0
43,2,1,1,0,1,1,1
43,1,1,1,0,2,2,2
43,1,1,1,0,3,3,3
44,1,1,1,0,0,0,0
44,2,1,1,0,1,1,1
44,2,1,1,0,2,2,2
44,2,1,1,0,3,3,3
45,0,1,1,0,0,0,0
45,2,1,1,0,1,1,1
45,1,1,1,0,2,2,2
45,2,1,1,0,3,3,3
46,0,1,1,0,0,0,0
46,2,1,1,0,1,1,1
46,2,1,1,0,2,2,2
46,2,1,1,0,3,3,3
47,0,1,1,0,0,0,0
47,2,1,1,0,1,1,1
47,2,1,1,0,2,2,2
47,2,1,1,0,3,3,3
48,0,1,1,0,0,0,0
48,2,1,1,0,1,1,1
48,2,1,1,0,2,2,2
48,2,1,1,0,3,3,3
49,0,1,1,0,0,0,0
49,2,1,1,0,1,1,1
49,2,1,1,0,2,2,2
49,2,1,1,0,3,3,3
50,0,1,1,0,0,0,0
51,1,1,1,0,0,0,0
51,2,1,1,0,1,1,1
51,2,1,1,0,2,2,2
51,2,1,1,0,3,3,3
52,1,1,1,0,0,0,0
53,0,1,1,0,0,0,0
53,2,1,1,0,1,1,1
53,0,1,1,0,3,3,3
54,0,1,1,0,0,0,0
54,1,1,1,0,1,1,1
54,1,1,1,0,2,2,2
54,1,1,1,0,3,3,3
55,0,1,1,0,0,0,0
55,2,1,1,0,1,1,1
55,2,1,1,0,2,2,2
55,2,1,1,0,3,3,3
56,0,1,1,0,0,0,0
56,1,1,1,0,1,1,1
56,0,1,1,0,3,3,3
57,1,1,1,0,0,0,0
57,1,1,1,0,1,1,1
57,2,1,1,0,2,2,2
57,1,1,1,0,3,3,3
58,2,1,1,0,0,0,0
58,2,1,1,0,1,1,1
58,2,1,1,0,2,2,2
58,2,1,1,0,3,3,3
59,1,1,1,0,0,0,0
59,2,1,1,0,1,1,1
59,2,1,1,0,2,2,2
59,2,1,1,0,3,3,3
60,2,1,1,0,0,0,0
60,2,1,1,0,1,1,1
60,2,1,1,0,2,2,2
60,2,1,1,0,3,3,3
61,1,1,1,0,0,0,0
61,2,1,1,0,1,1,1
61,2,1,1,0,2,2,2
61,2,1,1,0,3,3,3
62,1,1,1,0,0,0,0
62,2,1,1,0,1,1,1
62,2,1,1,0,2,2,2
62,2,1,1,0,3,3,3
63,1,1,1,0,0,0,0
64,1,1,1,0,0,0,0
64,1,1,1,0,1,1,1
64,1,1,1,0,2,2,2
64,1,1,1,0,3,3,3
65,2,1,1,0,0,0,0
65,2,1,1,0,1,1,1
65,1,1,1,0,2,2,2
66,0,1,1,0,0,0,0
66,2,1,1,0,1,1,1
66,0,1,1,0,3,3,3
67,1,1,1,0,0,0,0
67,0,1,1,0,1,1,1
67,2,1,1,0,2,2,2
67,1,1,1,0,3,3,3
68,1,1,1,0,0,0,0
68,2,1,1,0,1,1,1
68,2,1,1,0,3,3,3
69,0,1,1,0,0,0,0
69,2,1,1,0,1,1,1
69,2,1,1,0,2,2,2
69,2,1,1,0,3,3,3
70,0,1,1,0,0,0,0
70,2,1,1,0,1,1,1
70,2,1,1,0,2,2,2
70,2,1,1,0,3,3,3
71,1,1,1,0,0,0,0
71,2,1,1,0,1,1,1
71,2,1,1,0,2,2,2
71,1,1,1,0,3,3,3
72,0,1,1,0,0,0,0
72,1,1,1,0,1,1,1
72,2,1,1,0,2,2,2
72,1,1,1,0,3,3,3
73,1,1,1,0,0,0,0
73,2,1,1,0,2,2,2
73,2,1,1,0,3,3,3
74,0,1,1,0,0,0,0
74,1,1,1,0,1,1,1
74,2,1,1,0,2,2,2
74,2,1,1,0,3,3,3
75,0,1,1,0,0,0,0
75,2,1,1,0,1,1,1
75,2,1,1,0,2,2,2
75,2,1,1,0,3,3,3
76,0,1,1,0,0,0,0
76,1,1,1,0,1,1,1
76,2,1,1,0,3,3,3
77,1,1,1,0,0,0,0
77,2,1,1,0,1,1,1
77,2,1,1,0,2,2,2
77,2,1,1,0,3,3,3
78,0,1,1,0,0,0,0
78,1,1,1,0,1,1,1
78,2,1,1,0,2,2,2
78,2,1,1,0,3,3,3
79,0,1,1,0,0,0,0
79,2,1,1,0,1,1,1
79,2,1,1,0,2,2,2
79,2,1,1,0,3,3,3
80,1,1,1,0,0,0,0
80,2,1,1,0,1,1,1
80,1,1,1,0,2,2,2
80,1,1,1,0,3,3,3
81,1,1,1,0,0,0,0
81,2,1,1,0,1,1,1
81,2,1,1,0,2,2,2
81,2,1,1,0,3,3,3
82,0,1,1,0,0,0,0
82,1,1,1,0,1,1,1
82,2,1,1,0,2,2,2
82,2,1,1,0,3,3,3
83,1,1,1,0,0,0,0
83,2,1,1,0,1,1,1
83,2,1,1,0,2,2,2
83,2,1,1,0,3,3,3
84,0,1,1,0,0,0,0
84,2,1,1,0,1,1,1
84,2,1,1,0,2,2,2
84,2,1,1,0,3,3,3
85,1,1,1,0,0,0,0
85,2,1,1,0,1,1,1
85,2,1,1,0,2,2,2
85,2,1,1,0,3,3,3
86,0,1,1,0,0,0,0
86,1,1,1,0,1,1,1
86,0,1,1,0,2,2,2
86,1,1,1,0,3,3,3
87,2,1,1,0,0,0,0
87,2,1,1,0,1,1,1
87,0,1,1,0,2,2,2
88,2,1,1,0,0,0,0
88,2,1,1,0,1,1,1
88,2,1,1,0,2,2,2
88,1,1,1,0,3,3,3
89,0,1,1,0,0,0,0
89,2,1,1,0,1,1,1
89,2,1,1,0,2,2,2
89,2,1,1,0,3,3,3
90,1,1,1,0,0,0,0
90,2,1,1,0,1,1,1
90,2,1,1,0,2,2,2
90,2,1,1,0,3,3,3
91,1,1,1,0,0,0,0
92,1,1,1,0,0,0,0
93,1,1,1,0,0,0,0
93,2,1,1,0,1,1,1
93,2,1,1,0,2,2,2
93,2,1,1,0,3,3,3
94,0,1,1,0,0,0,0
94,0,1,1,0,1,1,1
94,0,1,1,0,2,2,2
94,0,1,1,0,3,3,3
95,0,1,1,0,0,0,0
95,2,1,1,0,1,1,1
95,2,1,1,0,2,2,2
95,2,1,1,0,3,3,3
96,0,1,1,0,0,0,0
96,2,1,1,0,1,1,1
96,2,1,1,0,2,2,2
96,2,1,1,0,3,3,3
97,0,1,1,0,0,0,0
97,1,1,1,0,1,1,1
98,0,1,1,0,0,0,0
98,2,1,1,0,1,1,1
98,2,1,1,0,2,2,2
98,2,1,1,0,3,3,3
99,0,1,1,0,0,0,0
99,0,1,1,0,1,1,1
99,0,1,1,0,2,2,2
99,0,1,1,0,3,3,3
100,1,1,1,0,0,0,0
100,2,1,1,0,1,1,1
100,1,1,1,0,2,2,2
100,1,1,1,0,3,3,3
101,0,1,1,0,0,0,0
101,0,1,1,0,1,1,1
101,0,1,1,0,2,2,2
101,0,1,1,0,3,3,3
102,2,1,1,0,0,0,0
102,1,1,1,0,1,1,1
102,2,1,1,0,2,2,2
102,0,1,1,0,3,3,3
103,0,1,1,0,0,0,0
103,2,1,1,0,1,1,1
103,2,1,1,0,2,2,2
103,2,1,1,0,3,3,3
104,1,1,1,0,0,0,0
104,2,1,1,0,1,1,1
104,2,1,1,0,2,2,2
104,2,1,1,0,3,3,3
105,1,1,1,0,0,0,0
105,1,1,1,0,1,1,1
105,2,1,1,0,2,2,2
105,2,1,1,0,3,3,3
106,2,1,1,0,0,0,0
106,2,1,1,0,1,1,1
106,2,1,1,0,2,2,2
106,2,1,1,0,3,3,3
107,1,1,1,0,0,0,0
107,1,1,1,0,1,1,1
107,1,1,1,0,2,2,2
107,1,1,1,0,3,3,3
108,1,1,1,0,0,0,0
108,2,1,1,0,1,1,1
108,2,1,1,0,2,2,2
108,1,1,1,0,3,3,3
109,0,1,1,0,0,0,0
109,2,1,1,0,1,1,1
109,2,1,1,0,2,2,2
109,2,1,1,0,3,3,3
110,1,1,1,0,0,0,0
110,2,1,1,0,1,1,1
110,2,1,1,0,2,2,2
110,2,1,1,0,3,3,3
111,1,1,1,0,0,0,0
112,0,1,1,0,0,0,0
112,1,1,1,0,1,1,1
112,0,1,1,0,2,2,2
112,1,1,1,0,3,3,3
113,2,1,1,0,0,0,0
113,1,1,1,0,1,1,1
113,2,1,1,0,2,2,2
113,2,1,1,0,3,3,3
114,0,1,1,0,0,0,0
114,1,1,1,0,1,1,1
114,1,1,1,0,2,2,2
114,2,1,1,0,3,3,3
115,1,1,1,0,0,0,0
115,0,1,1,0,1,1,1
115,0,1,1,0,2,2,2
115,1,1,1,0,3,3,3
116,1,1,1,0,0,0,0
117,0,1,1,0,0,0,0
117,1,1,1,0,1,1,1
117,2,1,1,0,2,2,2
117,1,1,1,0,3,3,3
118,2,1,1,0,0,0,0
118,2,1,1,0,1,1,1
118,2,1,1,0,2,2,2
118,2,1,1,0,3,3,3
119,1,1,1,0,0,0,0
119,1,1,1,0,1,1,1
119,1,1,1,0,2,2,2
120,2,1,1,0,0,0,0
120,2,1,1,0,1,1,1
120,2,1,1,0,2,2,2
120,2,1,1,0,3,3,3
121,1,1,1,0,0,0,0
121,2,1,1,0,1,1,1
121,2,1,1,0,2,2,2
121,2,1,1,0,3,3,3
122,0,1,1,0,0,0,0
122,2,1,1,0,1,1,1
122,2,1,1,0,2,2,2
122,2,1,1,0,3,3,3
123,0,1,1,0,0,0,0
123,0,1,1,0,1,1,1
123,2,1,1,0,2,2,2
123,2,1,1,0,3,3,3
124,0,1,1,0,0,0,0
124,2,1,1,0,1,1,1
124,2,1,1,0,2,2,2
124,2,1,1,0,3,3,3
125,0,1,1,0,0,0,0
125,2,1,1,0,1,1,1
125,2,1,1,0,2,2,2
125,2,1,1,0,3,3,3
126,0,1,1,0,0,0,0
126,2,1,1,0,1,1,1
126,2,1,1,0,2,2,2
126,2,1,1,0,3,3,3
127,1,1,1,0,0,0,0
127,2,1,1,0,1,1,1
127,2,1,1,0,2,2,2
127,2,1,1,0,3,3,3
128,0,1,1,0,0,0,0
128,1,1,1,0,1,1,1
128,1,1,1,0,2,2,2
128,1,1,1,0,3,3,3
129,1,1,1,0,0,0,0
129,2,1,1,0,1,1,1
129,2,1,1,0,2,2,2
129,2,1,1,0,3,3,3
130,2,1,1,0,0,0,0
130,2,1,1,0,1,1,1
130,2,1,1,0,2,2,2
130,2,1,1,0,3,3,3
131,1,1,1,0,0,0,0
131,1,1,1,0,1,1,1
131,0,1,1,0,2,2,2
131,1,1,1,0,3,3,3
132,0,1,1,0,0,0,0
132,2,1,1,0,1,1,1
132,2,1,1,0,2,2,2
132,2,1,1,0,3,3,3
133,1,1,1,0,0,0,0
133,2,1,1,0,1,1,1
133,2,1,1,0,2,2,2
134,1,1,1,0,0,0,0
134,2,1,1,0,2,2,2
134,2,1,1,0,3,3,3
135,1,1,1,0,0,0,0
135,2,1,1,0,2,2,2
135,1,1,1,0,3,3,3
136,0,1,1,0,0,0,0
136,1,1,1,0,1,1,1
136,1,1,1,0,2,2,2
136,1,1,1,0,3,3,3
137,1,1,1,0,0,0,0
137,2,1,1,0,1,1,1
137,2,1,1,0,2,2,2
137,2,1,1,0,3,3,3
138,1,1,1,0,0,0,0
138,2,1,1,0,1,1,1
138,2,1,1,0,2,2,2
138,2,1,1,0,3,3,3
139,0,1,1,0,0,0,0
139,2,1,1,0,1,1,1
139,2,1,1,0,2,2,2
139,2,1,1,0,3,3,3
140,0,1,1,0,0,0,0
140,2,1,1,0,1,1,1
140,2,1,1,0,2,2,2
140,2,1,1,0,3,3,3
141,1,1,1,0,0,0,0
141,1,1,1,0,1,1,1
141,1,1,1,0,2,2,2
141,2,1,1,0,3,3,3
142,2,1,1,0,0,0,0
142,2,1,1,0,1,1,1
142,2,1,1,0,2,2,2
142,2,1,1,0,3,3,3
143,0,1,1,0,0,0,0
143,1,1,1,0,1,1,1
143,1,1,1,0,2,2,2
143,1,1,1,0,3,3,3
144,0,1,1,0,0,0,0
144,2,1,1,0,1,1,1
144,2,1,1,0,2,2,2
144,2,1,1,0,3,3,3
145,0,1,1,0,0,0,0
145,1,1,1,0,1,1,1
146,0,1,1,0,0,0,0
146,1,1,1,0,1,1,1
146,2,1,1,0,3,3,3
147,0,1,1,0,0,0,0
147,0,1,1,0,1,1,1
147,0,1,1,0,2,2,2
147,1,1,1,0,3,3,3
148,0,1,1,0,0,0,0
148,1,1,1,0,1,1,1
148,0,1,1,0,2,2,2
148,0,1,1,0,3,3,3
149,1,1,1,0,0,0,0
149,2,1,1,0,1,1,1
149,2,1,1,0,2,2,2
149,1,1,1,0,3,3,3
150,0,1,1,0,0,0,0
150,1,1,1,0,1,1,1
150,1,1,1,0,2,2,2
150,1,1,1,0,3,3,3
151,1,1,1,0,0,0,0
151,2,1,1,0,1,1,1
151,2,1,1,0,2,2,2
151,2,1,1,0,3,3,3
152,1,1,1,0,0,0,0
152,0,1,1,0,1,1,1
152,0,1,1,0,2,2,2
152,0,1,1,0,3,3,3
153,1,1,1,0,0,0,0
153,2,1,1,0,1,1,1
153,2,1,1,0,2,2,2
153,2,1,1,0,3,3,3
154,1,1,1,0,0,0,0
154,1,1,1,0,1,1,1
155,1,1,1,0,0,0,0
155,0,1,1,0,3,3,3
156,0,1,1,0,0,0,0
156,0,1,1,0,1,1,1
156,1,1,1,0,3,3,3
157,1,1,1,0,0,0,0
157,2,1,1,0,1,1,1
157,2,1,1,0,2,2,2
157,2,1,1,0,3,3,3
158,0,1,1,0,0,0,0
158,2,1,1,0,1,1,1
158,2,1,1,0,2,2,2
158,2,1,1,0,3,3,3
159,0,1,1,0,0,0,0
159,1,1,1,0,1,1,1
159,2,1,1,0,2,2,2
159,2,1,1,0,3,3,3
160,1,1,1,0,0,0,0
160,2,1,1,0,1,1,1
160,2,1,1,0,2,2,2
160,2,1,1,0,3,3,3
161,1,1,1,0,0,0,0
161,2,1,1,0,1,1,1
161,2,1,1,0,2,2,2
161,0,1,1,0,3,3,3
162,2,1,1,0,0,0,0
162,1,1,1,0,1,1,1
162,2,1,1,0,2,2,2
162,2,1,1,0,3,3,3
163,1,1,1,0,0,0,0
163,2,1,1,0,1,1,1
163,2,1,1,0,2,2,2
164,0,1,1,0,0,0,0
164,0,1,1,0,1,1,1
164,2,1,1,0,2,2,2
164,2,1,1,0,3,3,3
165,0,1,1,0,0,0,0
165,1,1,1,0,1,1,1
165,2,1,1,0,2,2,2
165,2,1,1,0,3,3,3
166,0,1,1,0,0,0,0
166,0,1,1,0,1,1,1
166,0,1,1,0,2,2,2
166,0,1,1,0,3,3,3
167,1,1,1,0,0,0,0
167,1,1,1,0,1,1,1
167,2,1,1,0,2,2,2
167,2,1,1,0,3,3,3
168,0,1,1,0,0,0,0
168,1,1,1,0,1,1,1
168,2,1,1,0,2,2,2
168,2,1,1,0,3,3,3
169,1,1,1,0,0,0,0
169,2,1,1,0,1,1,1
169,2,1,1,0,2,2,2
169,2,1,1,0,3,3,3
170,0,1,1,0,0,0,0
170,2,1,1,0,1,1,1
170,1,1,1,0,2,2,2
170,1,1,1,0,3,3,3
171,1,1,1,0,0,0,0
171,2,1,1,0,1,1,1
171,2,1,1,0,2,2,2
171,2,1,1,0,3,3,3
172,1,1,1,0,0,0,0
172,1,1,1,0,2,2,2
172,2,1,1,0,3,3,3
173,2,1,1,0,0,0,0
173,2,1,1,0,1,1,1
173,2,1,1,0,2,2,2
173,2,1,1,0,3,3,3
174,0,1,1,0,0,0,0
174,1,1,1,0,1,1,1
174,0,1,1,0,2,2,2
174,0,1,1,0,3,3,3
175,0,1,1,0,0,0,0
175,1,1,1,0,2,2,2
175,1,1,1,0,3,3,3
176,0,1,1,0,0,0,0
176,2,1,1,0,1,1,1
176,2,1,1,0,2,2,2
176,1,1,1,0,3,3,3
177,1,1,1,0,0,0,0
177,2,1,1,0,1,1,1
177,2,1,1,0,2,2,2
177,2,1,1,0,3,3,3
178,0,1,1,0,0,0,0
178,2,1,1,0,2,2,2
178,2,1,1,0,3,3,3
179,1,1,1,0,0,0,0
179,2,1,1,0,2,2,2
179,2,1,1,0,3,3,3
180,2,1,1,0,0,0,0
180,2,1,1,0,1,1,1
180,1,1,1,0,2,2,2
180,1,1,1,0,3,3,3
181,0,1,1,0,0,0,0
181,2,1,1,0,1,1,1
181,2,1,1,0,2,2,2
181,2,1,1,0,3,3,3
182,1,1,0,1,0,0,0
182,0,1,0,1,1,0,1
182,0,1,0,1,2,0,2
182,1,1,0,1,3,0,3
183,2,1,0,1,0,0,0
183,1,1,0,1,2,0,2
183,0,1,0,1,3,0,3
184,0,1,0,1,0,0,0
184,1,1,0,1,1,0,1
184,1,1,0,1,2,0,2
184,1,1,0,1,3,0,3
185,1,1,0,1,0,0,0
185,1,1,0,1,1,0,1
185,1,1,0,1,2,0,2
185,0,1,0,1,3,0,3
186,1,1,0,1,0,0,0
186,1,1,0,1,1,0,1
186,1,1,0,1,2,0,2
186,1,1,0,1,3,0,3
187,0,1,0,1,0,0,0
187,2,1,0,1,1,0,1
187,2,1,0,1,2,0,2
187,2,1,0,1,3,0,3
188,2,1,0,1,0,0,0
188,2,1,0,1,1,0,1
188,1,1,0,1,2,0,2
188,1,1,0,1,3,0,3
189,0,1,0,1,0,0,0
189,1,1,0,1,1,0,1
189,0,1,0,1,2,0,2
190,0,1,0,1,0,0,0
190,1,1,0,1,1,0,1
190,1,1,0,1,2,0,2
190,1,1,0,1,3,0,3
191,0,1,0,1,0,0,0
191,0,1,0,1,1,0,1
191,2,1,0,1,2,0,2
191,2,1,0,1,3,0,3
192,0,1,0,1,0,0,0
192,1,1,0,1,1,0,1
192,1,1,0,1,2,0,2
192,1,1,0,1,3,0,3
193,1,1,0,1,0,0,0
193,1,1,0,1,2,0,2
194,0,1,0,1,0,0,0
194,1,1,0,1,1,0,1
195,1,1,0,1,0,0,0
195,2,1,0,1,1,0,1
195,1,1,0,1,2,0,2
195,1,1,0,1,3,0,3
196,0,1,0,1,0,0,0
196,0,1,0,1,1,0,1
196,0,1,0,1,2,0,2
196,0,1,0,1,3,0,3
197,1,1,0,1,0,0,0
197,1,1,0,1,1,0,1
197,1,1,0,1,2,0,2
197,2,1,0,1,3,0,3
198,0,1,0,1,0,0,0
198,2,1,0,1,1,0,1
198,2,1,0,1,2,0,2
198,2,1,0,1,3,0,3
199,1,1,0,1,0,0,0
199,1,1,0,1,1,0,1
199,1,1,0,1,2,0,2
199,1,1,0,1,3,0,3
200,0,1,0,1,0,0,0
200,1,1,0,1,1,0,1
200,1,1,0,1,2,0,2
200,2,1,0,1,3,0,3
201,2,1,0,1,0,0,0
201,1,1,0,1,1,0,1
201,1,1,0,1,2,0,2
201,1,1,0,1,3,0,3
202,0,1,0,1,0,0,0
202,0,1,0,1,1,0,1
202,1,1,0,1,2,0,2
202,0,1,0,1,3,0,3
203,1,1,0,1,0,0,0
203,1,1,0,1,1,0,1
203,1,1,0,1,2,0,2
203,1,1,0,1,3,0,3
204,1,1,0,1,0,0,0
204,1,1,0,1,1,0,1
204,1,1,0,1,2,0,2
204,1,1,0,1,3,0,3
205,1,1,0,1,0,0,0
205,1,1,0,1,1,0,1
205,1,1,0,1,2,0,2
205,2,1,0,1,3,0,3
206,0,1,0,1,0,0,0
206,0,1,0,1,1,0,1
206,0,1,0,1,2,0,2
206,2,1,0,1,3,0,3
207,0,1,0,1,0,0,0
208,2,1,0,1,0,0,0
208,1,1,0,1,1,0,1
208,2,1,0,1,3,0,3
209,0,1,0,1,0,0,0
209,1,1,0,1,1,0,1
210,2,1,0,1,0,0,0
210,2,1,0,1,1,0,1
210,2,1,0,1,2,0,2
210,2,1,0,1,3,0,3
211,0,1,0,1,0,0,0
211,1,1,0,1,1,0,1
211,0,1,0,1,2,0,2
211,0,1,0,1,3,0,3
212,0,1,0,1,0,0,0
212,2,1,0,1,1,0,1
212,1,1,0,1,2,0,2
212,2,1,0,1,3,0,3
213,0,1,0,1,0,0,0
213,1,1,0,1,1,0,1
213,2,1,0,1,2,0,2
213,2,1,0,1,3,0,3
214,0,1,0,1,0,0,0
214,1,1,0,1,1,0,1
214,1,1,0,1,2,0,2
214,1,1,0,1,3,0,3
215,1,1,0,1,0,0,0
215,1,1,0,1,1,0,1
215,2,1,0,1,2,0,2
215,1,1,0,1,3,0,3
216,1,1,0,1,0,0,0
216,0,1,0,1,1,0,1
216,1,1,0,1,2,0,2
216,1,1,0,1,3,0,3
217,0,1,0,1,0,0,0
217,0,1,0,1,1,0,1
217,0,1,0,1,2,0,2
217,0,1,0,1,3,0,3
218,1,1,0,1,0,0,0
218,1,1,0,1,1,0,1
218,1,1,0,1,2,0,2
218,1,1,0,1,3,0,3
219,0,1,0,1,0,0,0
219,2,1,0,1,1,0,1
219,2,1,0,1,2,0,2
219,2,1,0,1,3,0,3
220,0,1,0,1,0,0,0
221,1,1,0,1,0,0,0
221,1,1,0,1,1,0,1
221,2,1,0,1,2,0,2
221,2,1,0,1,3,0,3
222,0,1,0,1,0,0,0
222,1,1,0,1,1,0,1
222,0,1,0,1,3,0,3
223,1,1,0,1,0,0,0
223,0,1,0,1,1,0,1
224,0,1,0,1,0,0,0
224,1,1,0,1,1,0,1
224,2,1,0,1,2,0,2
225,0,1,0,1,0,0,0
225,0,1,0,1,1,0,1
226,1,1,0,1,0,0,0
226,1,1,0,1,1,0,1
226,1,1,0,1,2,0,2
226,2,1,0,1,3,0,3
227,0,1,0,1,0,0,0
227,2,1,0,1,1,0,1
227,2,1,0,1,2,0,2
227,2,1,0,1,3,0,3
228,0,1,0,1,0,0,0
228,1,1,0,1,1,0,1
228,0,1,0,1,2,0,2
229,0,1,0,1,0,0,0
229,1,1,0,1,1,0,1
229,1,1,0,1,2,0,2
229,2,1,0,1,3,0,3
230,1,1,0,1,0,0,0
230,2,1,0,1,1,0,1
230,1,1,0,1,3,0,3
232,0,1,0,1,0,0,0
232,2,1,0,1,1,0,1
232,2,1,0,1,2,0,2
232,2,1,0,1,3,0,3
233,1,1,0,1,0,0,0
233,1,1,0,1,1,0,1
233,2,1,0,1,2,0,2
233,2,1,0,1,3,0,3
234,2,1,0,1,0,0,0
234,2,1,0,1,1,0,1
234,2,1,0,1,2,0,2
234,1,1,0,1,3,0,3
235,0,1,0,1,0,0,0
235,0,1,0,1,1,0,1
235,1,1,0,1,2,0,2
235,1,1,0,1,3,0,3
236,1,1,0,1,0,0,0
236,1,1,0,1,1,0,1
236,1,1,0,1,2,0,2
236,1,1,0,1,3,0,3
237,0,1,0,1,0,0,0
237,1,1,0,1,2,0,2
237,1,1,0,1,3,0,3
238,0,1,0,1,0,0,0
238,2,1,0,1,1,0,1
238,2,1,0,1,2,0,2
239,1,1,0,1,0,0,0
239,2,1,0,1,1,0,1
239,2,1,0,1,3,0,3
240,0,1,0,1,0,0,0
240,1,1,0,1,2,0,2
240,1,1,0,1,3,0,3
241,0,1,0,1,0,0,0
241,1,1,0,1,1,0,1
241,0,1,0,1,3,0,3
242,0,1,0,1,0,0,0
242,1,1,0,1,1,0,1
242,2,1,0,1,2,0,2
242,2,1,0,1,3,0,3
243,0,1,0,1,0,0,0
243,1,1,0,1,1,0,1
