district,person,year,score,party,class,age,religion,male
A7,AW,1,7,A,B,60,B,M
A7,AW,2,6,A,A,60,B,M
A7,AW,3,6,A,C,60,B,M
A7,AW,4,5,A,A,60,B,M
A7,AX,1,6,C,A,38,B,F
A7,AX,2,4,C,A,38,B,F
A7,AX,3,6,C,A,38,B,F
A7,AX,4,3,C,A,38,B,F
A7,AY,1,3,A,A,48,C,M
A7,AY,2,3,A,A,48,C,M
A7,AY,3,3,D,A,48,C,M
A7,AY,4,3,A,A,48,C,M
A7,AZ,1,5,C,C,35,C,M
A7,AZ,2,5,C,B,35,C,M
A7,AZ,3,4,C,B,35,C,M
A7,AZ,4,3,C,C,35,C,M
A7,Aa,1,0,C,B,73,D,M
A7,Aa,2,0,C,B,73,D,M
A7,Aa,3,1,C,C,73,D,M
A7,Aa,4,0,C,B,73,D,M
A7,Ab,1,5,A,A,55,B,F
A7,Ab,2,4,A,A,55,B,F
A7,Ab,3,6,A,A,55,B,F
A7,Ab,4,5,A,A,55,B,F
A8,Ac,1,6,C,A,31,C,M
A8,Ac,2,4,C,A,31,C,M
A8,Ac,3,6,C,A,31,C,M
A8,Ac,4,7,E,A,31,C,M
A8,Ad,1,4,A,A,46,C,F
A8,Ad,2,4,A,A,46,C,F
A8,Ad,3,2,A,A,46,C,F
A8,Ad,4,2,A,A,46,C,F
A8,Ae,1,3,A,A,54,C,M
A8,Ae,2,2,A,B,54,C,M
A8,Ae,3,5,A,A,54,C,M
A8,Ae,4,7,A,A,54,C,M
A9,Af,1,4,D,A,21,B,F
A9,Af,2,3,C,A,21,B,F
A9,Af,3,7,A,A,21,B,F
A9,Af,4,4,A,A,21,B,F
A9,Ag,1,5,A,A,23,D,F
A9,Ag,2,3,A,A,23,D,F
A9,Ag,3,3,A,A,23,D,F
A9,Ag,4,3,A,A,23,D,F
A9,Ah,1,3,A,A,20,D,M
A9,Ah,2,4,A,A,20,D,M
A9,Ah,3,3,A,A,20,D,M
A9,Ah,4,7,A,A,20,D,M
A9,Ai,1,3,D,B,25,B,M
A9,Ai,2,3,E,B,25,B,M
A9,Ai,3,3,D,A,25,B,M
A9,Ai,4,2,D,A,25,B,M
AA,Aj,1,3,C,B,67,C,F
AA,Aj,2,2,C,C,67,C,F
AA,Aj,3,2,C,A,67,C,F
AA,Aj,4,2,C,C,67,C,F
AA,Ak,1,6,E,B,73,C,F
AA,Ak,2,7,A,B,73,C,F
AA,Ak,3,5,E,B,73,C,F
AA,Ak,4,5,A,B,73,C,F
AA,Al,1,5,A,A,44,C,F
AA,Al,2,3,A,A,44,C,F
AA,Al,3,3,A,A,44,C,F
AA,Al,4,3,A,A,44,C,F
AA,Am,1,3,A,B,57,C,M
AA,Am,2,4,A,C,57,C,M
AA,Am,3,2,A,C,57,C,M
AA,Am,4,3,E,C,57,C,M
AA,An,1,7,C,B,26,C,M
AA,An,2,7,E,B,26,C,M
AA,An,3,3,C,B,26,C,M
AA,An,4,6,C,B,26,C,M
AA,Ao,1,7,A,C,28,B,M
AA,Ao,2,7,A,B,28,B,M
AA,Ao,3,7,A,B,28,B,M
AA,Ao,4,6,A,B,28,B,M
AA,Ap,1,6,C,B,35,C,M
AA,Ap,2,6,C,B,35,C,M
AA,Ap,3,7,C,B,35,C,M
AA,Ap,4,7,C,B,35,C,M
AB,Aq,1,6,A,C,33,B,F
AB,Aq,2,3,A,A,33,B,F
AB,Aq,3,4,A,A,33,B,F
AB,Aq,4,7,A,A,33,B,F
AB,Ar,1,4,B,A,76,C,F
AB,Ar,2,2,D,A,76,C,F
AB,Ar,3,4,D,A,76,C,F
AB,Ar,4,4,D,A,76,C,F
AB,As,1,4,B,A,50,A,M
AB,As,2,3,B,C,50,A,M
AB,As,3,7,A,A,50,A,M
AB,As,4,7,D,A,50,A,M
AC,At,1,6,A,C,34,B,M
AC,At,2,7,A,C,34,B,M
AC,At,3,7,A,C,34,B,M
AC,At,4,7,A,C,34,B,M
AC,Au,1,5,E,A,34,D,F
AC,Au,2,7,A,A,34,D,F
AC,Au,3,7,C,A,34,D,F
AC,Au,4,7,E,A,34,D,F
AC,Av,1,6,C,A,38,A,M
AC,Av,2,3,C,A,38,A,M
AC,Av,3,4,C,A,38,A,M
AC,Av,4,6,C,A,38,A,M
AC,Aw,1,3,A,A,25,A,F
AC,Aw,2,2,A,A,25,A,F
AC,Aw,3,3,A,A,25,A,F
AC,Aw,4,3,A,A,25,A,F
AD,Ax,1,5,A,A,50,A,M
AD,Ax,2,4,A,A,50,A,M
AD,Ax,3,6,A,A,50,A,M
AD,Ax,4,5,A,A,50,A,M
AD,Ay,1,3,A,C,19,D,M
AD,Ay,2,2,A,C,19,D,M
AD,Ay,3,3,A,C,19,D,M
AD,Ay,4,1,A,A,19,D,M
AD,Az,1,2,E,A,32,C,F
AD,Az,2,1,A,C,32,C,F
AD,Az,3,1,E,C,32,C,F
AD,Az,4,1,E,A,32,C,F
AD,B0,1,4,E,A,42,A,F
AD,B0,2,2,E,A,42,A,F
AD,B0,3,4,A,A,42,A,F
AD,B0,4,4,D,A,42,A,F
AD,B1,1,3,C,C,21,B,M
AD,B1,2,3,C,C,21,B,M
AD,B1,3,2,C,C,21,B,M
AD,B1,4,3,C,C,21,B,M
AD,B2,1,3,C,A,71,A,M
AD,B2,2,3,C,A,71,A,M
AD,B2,3,4,C,A,71,A,M
AD,B2,4,7,C,A,71,A,M
AD,B3,1,7,C,B,19,B,M
AD,B3,2,7,C,B,19,B,M
AD,B3,3,6,C,B,19,B,M
AD,B3,4,6,C,B,19,B,M
AD,B4,1,6,E,B,49,B,M
AD,B4,2,7,E,B,49,B,M
AD,B4,3,6,E,B,49,B,M
AD,B4,4,7,E,B,49,B,M
AD,B5,1,5,C,A,37,B,F
AD,B5,2,5,A,A,37,B,F
AD,B5,3,5,A,A,37,B,F
AD,B5,4,4,A,A,37,B,F
AE,B6,1,4,A,A,45,A,F
AE,B6,2,4,A,A,45,A,F
AE,B6,3,7,A,A,45,A,F
AE,B6,4,4,A,A,45,A,F
AE,B7,1,5,B,C,23,B,M
AE,B7,2,4,C,C,23,B,M
AE,B7,3,7,C,C,23,B,M
AE,B7,4,5,C,C,23,B,M
AE,B8,1,4,A,C,59,B,M
AE,B8,2,3,A,A,59,B,M
AE,B8,3,5,A,A,59,B,M
AE,B8,4,4,A,A,59,B,M
AE,B9,1,5,B,B,23,B,F
AE,B9,2,3,A,B,23,B,F
AE,B9,3,5,A,B,23,B,F
AE,B9,4,3,A,B,23,B,F
AF,BA,1,4,C,A,42,B,M
AF,BA,2,3,C,A,42,B,M
AF,BA,3,3,C,A,42,B,M
AF,BA,4,3,C,A,42,B,M
AF,BB,1,3,E,A,45,B,M
AF,BB,2,3,E,A,45,B,M
AF,BB,3,4,A,A,45,B,M
AF,BB,4,5,E,A,45,B,M
AG,BC,1,5,C,C,80,A,M
AG,BC,2,4,C,A,80,A,M
AG,BC,3,0,C,B,80,A,M
AG,BC,4,7,C,B,80,A,M
AG,BD,1,7,B,A,49,B,M
AG,BD,2,7,A,A,49,B,M
AG,BD,3,7,A,A,49,B,M
AG,BD,4,7,A,A,49,B,M
AG,BE,1,5,C,C,65,A,F
AG,BE,2,7,C,C,65,A,F
AG,BE,3,4,C,C,65,A,F
AG,BE,4,6,C,C,65,A,F
AH,BF,1,6,A,A,61,A,F
AH,BF,2,4,A,A,61,A,F
AH,BF,3,7,A,A,61,A,F
AH,BF,4,7,A,A,61,A,F
AH,BG,1,6,A,A,30,B,M
AH,BG,2,7,A,A,30,B,M
AH,BG,3,4,A,A,30,B,M
AH,BG,4,6,C,A,30,B,M
AH,BH,1,4,A,C,37,C,F
AH,BH,2,3,A,A,37,C,F
AH,BH,3,3,A,A,37,C,F
AH,BH,4,3,A,A,37,C,F
AH,BI,1,2,A,A,55,D,M
AH,BI,2,3,A,A,55,D,M
AH,BI,3,3,A,A,55,D,M
AH,BI,4,3,A,A,55,D,M
AI,BJ,1,7,A,C,29,C,F
AI,BJ,2,7,A,C,29,C,F
AI,BJ,3,7,A,B,29,C,F
AI,BJ,4,7,A,B,29,C,F
AI,BK,1,6,C,A,67,A,F
AI,BK,2,3,C,A,67,A,F
AI,BK,3,4,C,A,67,A,F
AI,BK,4,7,C,A,67,A,F
AI,BL,1,7,C,A,43,A,F
AI,BL,2,7,C,C,43,A,F
AI,BL,3,7,C,A,43,A,F
AI,BL,4,7,C,A,43,A,F
AI,BM,1,7,E,C,50,A,F
AI,BM,2,7,A,C,50,A,F
AI,BM,3,7,A,C,50,A,F
AI,BM,4,7,A,C,50,A,F
AI,BN,1,7,C,A,60,B,M
AI,BN,2,7,C,A,60,B,M
AI,BN,3,7,C,A,60,B,M
AI,BN,4,7,C,A,60,B,M
AI,BO,1,3,C,B,60,A,F
AI,BO,2,4,C,B,60,A,F
AI,BO,3,3,C,B,60,A,F
AI,BO,4,3,C,B,60,A,F
AI,BP,1,6,E,B,23,C,F
AI,BP,2,3,E,B,23,C,F
AI,BP,3,7,E,B,23,C,F
AI,BP,4,6,E,A,23,C,F
AI,BQ,1,5,A,A,48,B,F
AI,BQ,2,4,E,A,48,B,F
AI,BQ,3,5,E,A,48,B,F
AI,BQ,4,4,A,A,48,B,F
AJ,BR,1,2,E,C,57,D,F
AJ,BR,2,1,E,C,57,D,F
AJ,BR,3,1,A,C,57,D,F
AJ,BR,4,2,A,C,57,D,F
AJ,BS,1,5,A,A,45,B,F
AJ,BS,2,3,A,A,45,B,F
AJ,BS,3,4,A,A,45,B,F
AJ,BS,4,3,A,A,45,B,F
AJ,BT,1,7,E,C,45,B,F
AJ,BT,2,6,D,A,45,B,F
AJ,BT,3,6,E,A,45,B,F
AJ,BT,4,7,E,A,45,B,F
AJ,BU,1,7,A,B,26,B,F
AJ,BU,2,6,A,B,26,B,F
AJ,BU,3,7,A,B,26,B,F
AJ,BU,4,7,E,B,26,B,F
AJ,BV,1,7,E,C,56,B,F
AJ,BV,2,7,E,B,56,B,F
AJ,BV,3,7,E,A,56,B,F
AJ,BV,4,7,D,A,56,B,F
AJ,BW,1,4,A,A,31,B,M
AJ,BW,2,3,A,A,31,B,M
AJ,BW,3,5,A,A,31,B,M
AJ,BW,4,4,A,A,31,B,M
AJ,BX,1,4,A,C,64,A,F
AJ,BX,2,6,A,A,64,A,F
AJ,BX,3,2,E,A,64,A,F
AJ,BX,4,5,E,C,64,A,F
AJ,BY,1,7,A,A,67,B,M
AJ,BY,2,5,A,A,67,B,M
AJ,BY,3,7,A,A,67,B,M
AJ,BY,4,7,A,A,67,B,M
AJ,BZ,1,4,A,A,47,A,F
AJ,BZ,2,3,A,C,47,A,F
AJ,BZ,3,3,A,A,47,A,F
AJ,BZ,4,3,A,A,47,A,F
AK,Ba,1,2,A,A,37,A,M
AK,Ba,2,3,A,A,37,A,M
AK,Ba,3,5,A,A,37,A,M
AK,Ba,4,7,A,A,37,A,M
AK,Bb,1,7,C,A,38,A,F
AK,Bb,2,5,C,A,38,A,F
AK,Bb,3,7,C,A,38,A,F
AK,Bb,4,7,C,A,38,A,F
AK,Bc,1,7,C,C,33,A,F
AK,Bc,2,7,C,C,33,A,F
AK,Bc,3,7,C,C,33,A,F
AK,Bc,4,7,C,B,33,A,F
AL,Bd,1,6,E,A,32,A,F
AL,Bd,2,5,E,C,32,A,F
AL,Bd,3,6,E,C,32,A,F
AL,Bd,4,6,E,A,32,A,F
AL,Be,1,3,E,A,55,A,F
AL,Be,2,3,E,A,55,A,F
AL,Be,3,3,E,A,55,A,F
AL,Be,4,7,E,A,55,A,F
AL,Bf,1,5,C,A,80,A,F
AL,Bf,2,5,C,A,80,A,F
AL,Bf,3,7,C,A,80,A,F
AL,Bf,4,7,C,B,80,A,F
AL,Bg,1,7,E,A,62,C,F
AL,Bg,2,7,E,A,62,C,F
AL,Bg,3,6,E,A,62,C,F
AL,Bg,4,6,E,A,62,C,F
AL,Bh,1,7,A,B,42,A,F
AL,Bh,2,7,A,B,42,A,F
AL,Bh,3,7,A,B,42,A,F
AL,Bh,4,7,A,B,42,A,F
AM,Bi,1,3,A,C,25,A,F
AM,Bi,2,3,A,A,25,A,F
AM,Bi,3,5,A,A,25,A,F
AM,Bi,4,6,E,A,25,A,F
AN,Bj,1,1,B,A,30,A,F
AN,Bj,2,1,A,A,30,A,F
AN,Bj,3,5,C,A,30,A,F
AN,Bj,4,3,B,A,30,A,F
AN,Bk,1,7,A,A,60,A,F
AN,Bk,2,3,A,A,60,A,F
AN,Bk,3,4,A,A,60,A,F
AN,Bk,4,5,A,A,60,A,F
AN,Bl,1,6,B,A,37,B,M
AN,Bl,2,5,A,A,37,B,M
AN,Bl,3,0,A,A,37,B,M
AN,Bl,4,5,E,A,37,B,M
AN,Bm,1,6,A,C,79,C,F
AN,Bm,2,4,A,B,79,C,F
AN,Bm,3,4,A,B,79,C,F
AN,Bm,4,5,A,C,79,C,F
AO,Bn,1,3,C,B,65,A,M
AO,Bn,2,3,C,B,65,A,M
AO,Bn,3,3,C,B,65,A,M
AO,Bn,4,3,C,B,65,A,M
AO,Bo,1,4,C,B,63,A,F
AO,Bo,2,3,C,B,63,A,F
AO,Bo,3,5,C,B,63,A,F
AO,Bo,4,6,C,B,63,A,F
AO,Bp,1,4,E,B,30,A,F
AO,Bp,2,3,E,B,30,A,F
AO,Bp,3,4,E,B,30,A,F
AO,Bp,4,6,E,B,30,A,F
AO,Bq,1,7,C,C,35,A,M
AO,Bq,2,7,C,C,35,A,M
AO,Bq,3,7,C,C,35,A,M
AO,Bq,4,7,C,C,35,A,M
AP,Br,1,5,C,C,38,A,F
AP,Br,2,5,C,C,38,A,F
AP,Br,3,5,C,C,38,A,F
AP,Br,4,7,C,C,38,A,F
AP,Bs,1,7,C,A,53,A,F
AP,Bs,2,7,C,A,53,A,F
AP,Bs,3,7,C,A,53,A,F
AP,Bs,4,7,E,A,53,A,F
AP,Bt,1,3,A,C,39,B,M
AP,Bt,2,3,A,C,39,B,M
AP,Bt,3,3,A,C,39,B,M
AP,Bt,4,3,A,A,39,B,M
AP,Bu,1,3,C,A,46,A,F
AP,Bu,2,3,E,A,46,A,F
AP,Bu,3,3,C,A,46,A,F
AP,Bu,4,2,E,A,46,A,F
AQ,Bv,1,6,A,A,47,C,M
AQ,Bv,2,3,A,A,47,C,M
AQ,Bv,3,6,A,A,47,C,M
AQ,Bv,4,7,A,A,47,C,M
AR,Bw,1,5,A,A,29,B,F
AR,Bw,2,3,E,A,29,B,F
AR,Bw,3,3,A,A,29,B,F
AR,Bw,4,3,A,A,29,B,F
AR,Bx,1,5,C,C,53,A,M
AR,Bx,2,5,C,A,53,A,M
AR,Bx,3,7,C,C,53,A,M
AR,Bx,4,7,C,C,53,A,M
AR,By,1,3,C,A,58,A,F
AR,By,2,3,C,A,58,A,F
AR,By,3,3,C,A,58,A,F
AR,By,4,3,C,A,58,A,F
AR,Bz,1,4,B,A,38,B,F
AR,Bz,2,4,D,C,38,B,F
AR,Bz,3,5,D,A,38,B,F
AR,Bz,4,7,D,A,38,B,F
AR,C0,1,3,C,B,27,B,F
AR,C0,2,3,C,B,27,B,F
AR,C0,3,3,C,C,27,B,F
AR,C0,4,3,C,C,27,B,F
AR,C1,1,7,A,C,18,B,M
AR,C1,2,2,A,A,18,B,M
AR,C1,3,5,A,B,18,B,M
AR,C1,4,4,E,C,18,B,M
AR,C2,1,6,E,A,36,D,F
AR,C2,2,4,E,C,36,D,F
AR,C2,3,7,E,C,36,D,F
AR,C2,4,6,E,A,36,D,F
AR,C3,1,7,C,C,34,B,F
AR,C3,2,7,C,C,34,B,F
AR,C3,3,7,C,C,34,B,F
AR,C3,4,7,C,C,34,B,F
AS,C4,1,3,C,A,38,B,M
AS,C4,2,6,A,A,38,B,M
AS,C4,3,7,D,A,38,B,M
AS,C4,4,7,D,C,38,B,M
AS,C5,1,5,A,A,25,A,F
AS,C5,2,3,A,A,25,A,F
AS,C5,3,5,A,A,25,A,F
AS,C5,4,5,C,A,25,A,F
AS,C6,1,7,A,A,42,A,M
AS,C6,2,5,A,A,42,A,M
AS,C6,3,7,A,A,42,A,M
AS,C6,4,7,A,A,42,A,M
AT,C7,1,4,A,A,21,B,F
AT,C7,2,3,A,A,21,B,F
AT,C7,3,2,A,A,21,B,F
AT,C7,4,2,A,A,21,B,F
AT,C8,1,7,E,C,38,B,F
AT,C8,2,7,E,B,38,B,F
AT,C8,3,7,E,B,38,B,F
AT,C8,4,7,E,B,38,B,F
AT,C9,1,7,C,A,36,A,M
AT,C9,2,4,C,C,36,A,M
AT,C9,3,5,C,C,36,A,M
AT,C9,4,5,C,C,36,A,M
AT,CA,1,7,C,A,33,B,M
AT,CA,2,6,C,A,33,B,M
AT,CA,3,7,C,C,33,B,M
AT,CA,4,7,C,A,33,B,M
AT,CB,1,7,A,A,22,B,M
AT,CB,2,3,A,A,22,B,M
AT,CB,3,3,A,C,22,B,M
AT,CB,4,6,A,A,22,B,M
AT,CC,1,7,D,A,73,B,M
AT,CC,2,7,A,A,73,B,M
AT,CC,3,7,A,A,73,B,M
AT,CC,4,7,A,A,73,B,M
AT,CD,1,7,C,C,29,B,M
AT,CD,2,7,C,C,29,B,M
AT,CD,3,7,C,C,29,B,M
AT,CD,4,7,C,C,29,B,M
AU,CE,1,7,E,C,56,D,M
AU,CE,2,7,E,A,56,D,M
AU,CE,3,5,E,C,56,D,M
AU,CE,4,7,E,C,56,D,M
AV,CF,1,7,A,C,37,A,F
AV,CF,2,6,A,C,37,A,F
AV,CF,3,6,A,C,37,A,F
AV,CF,4,6,A,A,37,A,F
AV,CG,1,7,A,A,32,B,M
AV,CG,2,5,A,A,32,B,M
AV,CG,3,6,A,A,32,B,M
AV,CG,4,6,A,A,32,B,M
AV,CH,1,7,A,A,69,A,F
AV,CH,2,4,A,B,69,A,F
AV,CH,3,3,A,A,69,A,F
AV,CH,4,7,A,A,69,A,F
AV,CI,1,7,C,B,42,B,M
AV,CI,2,4,C,B,42,B,M
AV,CI,3,3,C,C,42,B,M
AV,CI,4,4,C,C,42,B,M
AV,CJ,1,5,A,C,56,A,M
AV,CJ,2,7,A,A,56,A,M
AV,CJ,3,7,A,C,56,A,M
AV,CJ,4,7,E,C,56,A,M
AV,CK,1,4,C,A,51,A,F
AV,CK,2,3,C,A,51,A,F
AV,CK,3,3,C,A,51,A,F
AV,CK,4,5,C,A,51,A,F
AV,CL,1,5,C,A,21,B,F
AV,CL,2,7,A,A,21,B,F
AV,CL,3,3,A,A,21,B,F
AV,CL,4,6,A,A,21,B,F
AV,CM,1,5,A,C,45,A,F
AV,CM,2,3,A,C,45,A,F
AV,CM,3,5,A,C,45,A,F
AV,CM,4,3,A,B,45,A,F
AV,CN,1,4,E,A,75,A,M
AV,CN,2,2,E,A,75,A,M
AV,CN,3,3,E,C,75,A,M
AV,CN,4,7,E,A,75,A,M
AW,CO,1,3,E,A,28,D,M
AW,CO,2,4,E,A,28,D,M
AW,CO,3,4,E,A,28,D,M
AW,CO,4,4,E,A,28,D,M
AW,CP,1,6,C,B,34,B,M
AW,CP,2,6,E,B,34,B,M
AW,CP,3,7,E,B,34,B,M
AW,CP,4,7,E,B,34,B,M
AW,CQ,1,3,C,A,24,B,F
AW,CQ,2,3,C,C,24,B,F
AW,CQ,3,5,C,C,24,B,F
AW,CQ,4,3,E,A,24,B,F
AW,CR,1,7,E,B,36,B,F
AW,CR,2,6,E,B,36,B,F
AW,CR,3,7,E,B,36,B,F
AW,CR,4,6,E,B,36,B,F
AW,CS,1,5,C,C,25,B,M
AW,CS,2,7,C,A,25,B,M
AW,CS,3,3,C,C,25,B,M
AW,CS,4,7,C,C,25,B,M
AW,CT,1,2,C,B,25,A,M
AW,CT,2,2,C,B,25,A,M
AW,CT,3,3,E,B,25,A,M
AW,CT,4,2,E,C,25,A,M
AW,CU,1,3,C,C,60,A,F
AW,CU,2,3,C,B,60,A,F
AW,CU,3,3,C,C,60,A,F
AW,CU,4,3,C,B,60,A,F
AW,CV,1,3,E,B,35,C,F
AW,CV,2,2,E,B,35,C,F
AW,CV,3,2,E,B,35,C,F
AW,CV,4,1,E,B,35,C,F
AX,CW,1,4,C,B,63,D,F
AX,CW,2,1,C,B,63,D,F
AX,CW,3,2,C,B,63,D,F
AX,CW,4,1,C,A,63,D,F
AX,CX,1,5,A,A,46,B,M
AX,CX,2,3,A,A,46,B,M
AX,CX,3,6,A,A,46,B,M
AX,CX,4,5,A,A,46,B,M
AX,CY,1,7,E,B,48,A,M
AX,CY,2,7,E,B,48,A,M
AX,CY,3,5,E,B,48,A,M
AX,CY,4,4,E,B,48,A,M
AX,CZ,1,5,E,C,62,A,F
AX,CZ,2,3,E,A,62,A,F
AX,CZ,3,4,E,A,62,A,F
AX,CZ,4,4,E,A,62,A,F
AY,Ca,1,3,C,B,49,C,M
AY,Ca,2,2,C,B,49,C,M
AY,Ca,3,6,C,B,49,C,M
AY,Ca,4,6,C,B,49,C,M
AY,Cb,1,4,E,C,24,A,M
AY,Cb,2,3,A,C,24,A,M
AY,Cb,3,4,E,C,24,A,M
AY,Cb,4,5,E,C,24,A,M
AY,Cc,1,7,B,A,27,B,F
AY,Cc,2,5,E,A,27,B,F
AY,Cc,3,7,E,A,27,B,F
AY,Cc,4,7,E,A,27,B,F
AY,Cd,1,4,C,B,74,C,F
AY,Cd,2,6,C,B,74,C,F
AY,Cd,3,7,C,B,74,C,F
AY,Cd,4,3,C,B,74,C,F
AY,Ce,1,4,A,C,25,B,M
AY,Ce,2,3,A,C,25,B,M
AY,Ce,3,6,A,C,25,B,M
AY,Ce,4,4,A,C,25,B,M
AY,Cf,1,3,E,B,39,B,M
AY,Cf,2,3,E,B,39,B,M
AY,Cf,3,3,E,B,39,B,M
AY,Cf,4,3,E,B,39,B,M
AY,Cg,1,7,A,B,26,B,F
AY,Cg,2,7,A,B,26,B,F
AY,Cg,3,7,A,B,26,B,F
AY,Cg,4,7,A,B,26,B,F
AY,Ch,1,3,B,C,60,C,F
AY,Ch,2,3,A,C,60,C,F
AY,Ch,3,3,D,C,60,C,F
AY,Ch,4,3,A,C,60,C,F
AZ,Ci,1,7,E,A,31,A,M
AZ,Ci,2,3,C,A,31,A,M
AZ,Ci,3,3,E,A,31,A,M
AZ,Ci,4,7,E,C,31,A,M
AZ,Cj,1,3,E,C,52,A,F
AZ,Cj,2,3,E,C,52,A,F
AZ,Cj,3,3,E,C,52,A,F
AZ,Cj,4,4,E,C,52,A,F
AZ,Ck,1,7,A,A,26,A,M
AZ,Ck,2,7,B,A,26,A,M
AZ,Ck,3,6,E,A,26,A,M
AZ,Ck,4,7,E,A,26,A,M
