schoolid,male,pped,rep,wt1,mses
80205,1,1,0,1,-0.14
80205,1,1,1,3,-0.14
80206,0,0,0,5,-0.23
80206,0,0,1,1,-0.23
80206,0,1,0,6,-0.23
80206,0,1,1,1,-0.23
80206,1,0,0,3,-0.23
80206,1,0,1,2,-0.23
80207,0,0,0,4,-0.49
80207,0,0,1,3,-0.49
80207,1,0,0,8,-0.49
80207,1,1,0,2,-0.49
80209,0,0,0,7,-0.42
80209,0,0,1,7,-0.42
80209,1,0,0,4,-0.42
80209,1,0,1,8,-0.42
80210,0,0,0,4,-0.14
80210,0,1,0,13,-0.14
80210,1,0,0,1,-0.14
80210,1,1,0,3,-0.14
80210,1,1,1,1,-0.14
80211,0,0,0,1,-0.3
80211,0,0,1,1,-0.3
80211,1,0,0,8,-0.3
80211,1,0,1,3,-0.3
80212,0,0,0,5,-0.46
80212,0,0,1,1,-0.46
80212,1,0,0,13,-0.46
80213,0,0,0,7,-0.25
80213,0,0,1,1,-0.25
80213,0,1,0,6,-0.25
80213,1,0,0,3,-0.25
80213,1,1,0,4,-0.25
80315,0,1,0,10,0.08
80315,0,1,1,2,0.08
80315,1,1,0,10,0.08
80315,1,1,1,4,0.08
80316,0,0,0,5,-0.13
80316,0,0,1,1,-0.13
80316,0,1,0,5,-0.13
80316,1,0,0,11,-0.13
80316,1,0,1,1,-0.13
80316,1,1,0,3,-0.13
80318,0,0,0,5,0.15
80318,0,0,1,3,0.15
80318,0,1,0,2,0.15
80318,0,1,1,3,0.15
80318,1,0,0,6,0.15
80318,1,0,1,5,0.15
80318,1,1,0,3,0.15
80318,1,1,1,2,0.15
80319,0,1,0,6,-0.05
80319,0,1,1,2,-0.05
80319,1,0,0,1,-0.05
80319,1,0,1,1,-0.05
80319,1,1,0,3,-0.05
80319,1,1,1,1,-0.05
80320,0,0,0,2,-0.51
80320,0,0,1,4,-0.51
80320,0,1,0,3,-0.51
80320,0,1,1,1,-0.51
80320,1,0,0,3,-0.51
80320,1,0,1,3,-0.51
80320,1,1,0,5,-0.51
80320,1,1,1,1,-0.51
80422,0,0,0,1,-0.31
80422,0,0,1,1,-0.31
80422,0,1,0,5,-0.31
80422,0,1,1,1,-0.31
80422,1,1,0,5,-0.31
80422,1,1,1,3,-0.31
80423,0,0,0,10,-0.21
80423,0,0,1,1,-0.21
80423,1,0,0,6,-0.21
80423,1,0,1,1,-0.21
80424,0,0,0,6,-0.34
80424,1,0,0,4,-0.34
80424,1,0,1,4,-0.34
80424,1,1,0,1,-0.34
80425,0,0,0,8,-0.47
80425,0,0,1,1,-0.47
80425,0,1,0,4,-0.47
80425,1,0,0,3,-0.47
80425,1,0,1,2,-0.47
80425,1,1,0,2,-0.47
80427,0,0,0,1,-0.28
80427,0,1,0,9,-0.28
80427,0,1,1,5,-0.28
80427,1,1,0,5,-0.28
80427,1,1,1,7,-0.28
90101,0,0,0,10,0.58
90101,0,0,1,1,0.58
90101,0,1,0,2,0.58
90101,1,0,0,5,0.58
90101,1,1,0,2,0.58
90204,0,0,0,8,-0.42
90204,0,0,1,3,-0.42
90204,0,1,0,1,-0.42
90204,1,0,0,9,-0.42
90204,1,0,1,5,-0.42
90204,1,1,0,3,-0.42
90205,0,0,0,5,-0.3
90205,0,0,1,5,-0.3
90205,0,1,0,2,-0.3
90205,1,0,0,7,-0.3
90205,1,0,1,2,-0.3
90205,1,1,0,1,-0.3
90206,0,0,0,6,-0.38
90206,0,0,1,2,-0.38
90206,0,1,0,4,-0.38
90206,1,0,0,7,-0.38
90206,1,0,1,1,-0.38
90206,1,1,0,4,-0.38
90206,1,1,1,2,-0.38
90308,0,0,0,4,0.16
90308,0,0,1,1,0.16
90308,0,1,0,2,0.16
90308,0,1,1,1,0.16
90308,1,1,0,7,0.16
90308,1,1,1,1,0.16
90309,0,0,0,5,-0.36
90309,0,0,1,2,-0.36
90309,1,0,0,6,-0.36
90309,1,0,1,7,-0.36
90310,0,0,0,9,-0.26
90310,1,0,0,12,-0.26
90310,1,0,1,7,-0.26
90310,1,1,0,1,-0.26
90311,0,0,0,2,-0.32
90311,0,0,1,1,-0.32
90311,0,1,0,2,-0.32
90311,1,0,0,4,-0.32
90311,1,0,1,2,-0.32
90311,1,1,0,3,-0.32
90311,1,1,1,2,-0.32
90312,0,0,0,8,-0.56
90312,0,0,1,2,-0.56
90312,1,0,0,5,-0.56
90312,1,0,1,2,-0.56
90313,0,0,0,3,-0.24
90313,0,0,1,2,-0.24
90313,1,0,0,6,-0.24
90313,1,0,1,4,-0.24
90313,1,1,0,1,-0.24
90315,0,0,0,4,-0.4
90315,0,1,0,1,-0.4
90315,0,1,1,1,-0.4
90315,1,0,1,2,-0.4
90315,1,1,0,3,-0.4
90315,1,1,1,1,-0.4
90316,0,0,0,6,-0.64
90316,0,0,1,3,-0.64
90316,0,1,0,6,-0.64
90316,1,0,0,5,-0.64
90316,1,0,1,1,-0.64
90316,1,1,0,5,-0.64
90417,0,0,0,1,0.04
90417,0,1,0,14,0.04
90417,1,1,0,15,0.04
100102,0,0,0,4,0.69
100102,0,0,1,1,0.69
100102,0,1,0,7,0.69
100102,0,1,1,1,0.69
100102,1,0,0,1,0.69
100102,1,0,1,1,0.69
100102,1,1,0,4,0.69
100102,1,1,1,2,0.69
100104,0,1,0,28,0.5
100105,0,1,0,12,0.34
100105,1,0,0,1,0.34
100105,1,1,0,11,0.34
100105,1,1,1,3,0.34
100106,0,0,0,2,0.49
100106,0,0,1,1,0.49
100106,0,1,0,13,0.49
100106,0,1,1,1,0.49
100106,1,0,0,1,0.49
100106,1,1,0,7,0.49
100106,1,1,1,3,0.49
100107,0,1,0,15,0.76
100107,1,0,0,2,0.76
100107,1,1,0,10,0.76
100209,0,0,0,2,0.0
100209,0,1,0,9,0.0
100209,1,0,0,3,0.0
100209,1,1,0,15,0.0
100209,1,1,1,1,0.0
100210,0,0,0,3,0.88
100210,0,0,1,1,0.88
100210,0,1,0,1,0.88
100210,1,0,0,1,0.88
100210,1,1,0,2,0.88
100211,0,1,0,7,-0.32
100211,0,1,1,1,-0.32
100211,1,1,0,4,-0.32
100211,1,1,1,2,-0.32
100212,0,0,0,6,0.13
100212,1,0,0,2,0.13
100212,1,1,0,5,0.13
100213,0,1,0,7,0.45
100213,1,1,0,8,0.45
100314,0,0,0,11,0.66
100314,0,1,0,1,0.66
100314,1,0,0,3,0.66
100314,1,0,1,1,0.66
100315,0,0,0,6,-0.19
100315,1,0,0,2,-0.19
100315,1,0,1,2,-0.19
100315,1,1,0,1,-0.19
100315,1,1,1,1,-0.19
100316,0,0,0,4,-0.38
100316,0,1,0,3,-0.38
100316,1,0,0,4,-0.38
100316,1,0,1,1,-0.38
100316,1,1,0,1,-0.38
100316,1,1,1,1,-0.38
100317,0,1,0,8,0.66
100317,1,0,0,1,0.66
100317,1,0,1,1,0.66
100317,1,1,0,3,0.66
100317,1,1,1,1,0.66
100318,0,0,0,1,0.35
100318,0,0,1,1,0.35
100318,0,1,0,3,0.35
100318,0,1,1,2,0.35
100318,1,0,0,1,0.35
100318,1,0,1,1,0.35
100318,1,1,1,5,0.35
100319,0,0,0,5,-0.14
100319,0,0,1,4,-0.14
100319,1,0,0,1,-0.14
100319,1,0,1,7,-0.14
100319,1,1,1,1,-0.14
100421,0,0,0,8,-0.39
100421,0,0,1,1,-0.39
100421,1,0,0,6,-0.39
100421,1,0,1,5,-0.39
100422,0,1,0,4,0.2
100422,1,0,0,3,0.2
100422,1,1,0,8,0.2
100422,1,1,1,1,0.2
100424,0,0,0,2,-0.14
100424,0,0,1,1,-0.14
100424,0,1,0,8,-0.14
100424,1,0,0,1,-0.14
100424,1,1,0,12,-0.14
100525,0,1,0,4,-0.07
100525,1,1,0,5,-0.07
100526,0,0,0,1,-0.44
100526,0,1,0,5,-0.44
100526,1,1,0,1,-0.44
100526,1,1,1,1,-0.44
100527,0,0,0,3,0.31
100527,0,1,0,6,0.31
100527,1,0,0,4,0.31
100527,1,1,0,9,0.31
100527,1,1,1,1,0.31
100528,0,0,0,5,0.07
100528,0,1,0,1,0.07
100528,1,0,0,3,0.07
100528,1,0,1,1,0.07
100528,1,1,0,2,0.07
100530,0,0,0,7,0.34
100530,0,0,1,1,0.34
100530,1,0,0,2,0.34
100530,1,0,1,3,0.34
100632,0,0,0,1,0.07
100632,0,0,1,4,0.07
100632,0,1,0,2,0.07
100632,1,0,1,3,0.07
100632,1,1,0,1,0.07
100633,0,0,0,3,0.81
100633,0,0,1,5,0.81
100633,1,0,1,9,0.81
100634,0,1,0,4,-0.14
100634,1,0,0,1,-0.14
100634,1,1,0,7,-0.14
100635,0,1,0,7,-0.46
100635,1,1,0,6,-0.46
100635,1,1,1,2,-0.46
100636,0,1,0,15,0.37
100636,1,1,0,9,0.37
100636,1,1,1,2,0.37
100737,0,0,0,1,0.0
100737,0,1,0,18,0.0
100737,0,1,1,1,0.0
100737,1,1,0,17,0.0
100737,1,1,1,4,0.0
110101,0,0,0,3,0.09
110101,0,0,1,2,0.09
110101,0,1,0,8,0.09
110101,1,0,0,5,0.09
110101,1,0,1,1,0.09
110101,1,1,0,4,0.09
110101,1,1,1,1,0.09
110102,0,1,0,9,0.36
110102,1,1,0,15,0.36
110204,0,0,0,4,0.88
110204,0,0,1,3,0.88
110204,1,0,0,6,0.88
110205,0,0,0,2,0.17
110205,0,0,1,1,0.17
110205,0,1,0,4,0.17
110205,1,0,0,1,0.17
110205,1,0,1,1,0.17
110205,1,1,0,2,0.17
110205,1,1,1,1,0.17
110206,0,0,1,1,-0.01
110206,0,1,0,1,-0.01
110206,1,0,0,1,-0.01
110206,1,1,0,3,-0.01
110206,1,1,1,9,-0.01
110208,0,0,0,3,0.15
110208,1,0,0,5,0.15
110208,1,1,0,1,0.15
110311,0,0,0,1,-0.21
110311,0,1,0,8,-0.21
110311,0,1,1,3,-0.21
110311,1,0,0,6,-0.21
110311,1,0,1,1,-0.21
110311,1,1,0,4,-0.21
110311,1,1,1,3,-0.21
110312,0,1,0,15,-0.1
110312,1,0,0,1,-0.1
110312,1,1,0,8,-0.1
110313,0,0,0,4,0.26
110313,0,1,0,4,0.26
110313,1,0,0,3,0.26
110313,1,0,1,2,0.26
110313,1,1,0,3,0.26
110313,1,1,1,1,0.26
110415,0,1,0,6,-0.17
110415,1,0,0,1,-0.17
110415,1,1,0,8,-0.17
110416,0,0,0,1,0.06
110416,0,0,1,1,0.06
110416,0,1,0,5,0.06
110416,1,0,0,2,0.06
110416,1,0,1,4,0.06
110416,1,1,0,4,0.06
110416,1,1,1,1,0.06
110419,0,0,0,3,0.37
110419,0,1,0,12,0.37
110419,1,0,0,5,0.37
110419,1,1,0,13,0.37
110421,0,0,0,4,-0.02
110421,0,0,1,3,-0.02
110421,0,1,0,1,-0.02
110421,1,0,0,1,-0.02
110421,1,0,1,5,-0.02
110421,1,1,0,1,-0.02
110522,0,0,0,1,-0.56
110522,0,0,1,1,-0.56
110522,0,1,0,4,-0.56
110522,0,1,1,1,-0.56
110522,1,0,0,4,-0.56
110522,1,0,1,1,-0.56
110522,1,1,0,5,-0.56
110522,1,1,1,2,-0.56
110523,0,0,0,1,0.7
110523,0,1,0,8,0.7
110523,1,1,0,7,0.7
110524,0,0,0,5,1.49
110524,0,0,1,1,1.49
110524,1,0,0,4,1.49
110524,1,0,1,3,1.49
110525,0,0,0,9,-0.25
110525,0,0,1,1,-0.25
110525,0,1,0,1,-0.25
110525,1,0,0,11,-0.25
110525,1,0,1,6,-0.25
110526,0,0,0,5,-0.25
110526,0,0,1,1,-0.25
110526,0,1,0,2,-0.25
110526,1,0,0,1,-0.25
110526,1,0,1,3,-0.25
110526,1,1,0,4,-0.25
110526,1,1,1,1,-0.25
120101,0,0,0,1,0.3
120101,0,1,0,7,0.3
120101,0,1,1,2,0.3
120101,1,0,0,7,0.3
120101,1,1,0,4,0.3
120102,0,0,0,10,0.05
120102,1,0,0,13,0.05
120102,1,0,1,5,0.05
120103,0,0,0,3,0.06
120103,0,1,0,10,0.06
120103,0,1,1,1,0.06
120103,1,0,0,4,0.06
120103,1,1,0,5,0.06
120104,0,0,0,8,-0.04
120104,0,0,1,5,-0.04
120104,1,0,0,6,-0.04
120104,1,0,1,10,-0.04
120105,0,0,0,5,-0.29
120105,1,0,0,7,-0.29
120105,1,0,1,1,-0.29
120106,0,0,0,8,-0.31
120106,0,1,0,2,-0.31
120106,1,0,0,7,-0.31
120106,1,0,1,2,-0.31
120107,0,0,0,3,-0.11
120107,0,0,1,6,-0.11
120107,1,0,0,2,-0.11
120107,1,1,0,1,-0.11
120210,0,0,0,8,-0.1
120210,0,0,1,2,-0.1
120210,1,0,0,8,-0.1
120211,0,0,0,3,0.34
120211,0,0,1,1,0.34
120211,1,0,0,4,0.34
120212,0,0,0,6,-0.15
120212,0,0,1,2,-0.15
120212,0,1,0,10,-0.15
120212,0,1,1,2,-0.15
120212,1,0,0,3,-0.15
120212,1,1,0,2,-0.15
120313,0,0,1,1,-0.77
120313,0,1,0,14,-0.77
120313,0,1,1,1,-0.77
120313,1,0,0,1,-0.77
120313,1,1,0,12,-0.77
120314,0,0,0,7,-0.15
120314,0,1,0,6,-0.15
120314,1,0,0,9,-0.15
120314,1,0,1,1,-0.15
120314,1,1,0,1,-0.15
120316,0,0,0,3,-0.31
120316,0,0,1,3,-0.31
120316,0,1,0,5,-0.31
120316,1,0,0,4,-0.31
