vrq,attain,pid,sex,sc,sid,fed,choice,med,cons,pupil
83,3,9,0,20,19,0,4,0,1,8
82,1,9,0,0,3,0,1,0,1,9
113,10,9,1,0,19,0,1,0,1,10
94,5,9,0,20,19,0,1,0,1,11
88,3,9,1,0,19,0,1,0,1,12
70,1,9,0,0,19,1,1,1,1,13
102,6,9,1,0,19,0,1,0,1,14
93,3,9,0,0,19,0,1,0,1,15
99,6,9,0,0,18,0,1,0,1,16
108,9,9,0,0,18,0,1,0,1,17
70,2,9,0,0,19,0,1,0,1,18
112,3,9,0,0,19,1,1,0,1,19
85,2,9,0,0,19,1,1,1,1,20
80,3,9,1,0,19,1,1,1,1,21
77,4,9,1,0,19,0,1,1,1,22
107,6,9,1,0,19,0,1,0,1,23
98,10,9,0,20,19,0,1,0,1,24
82,3,9,0,0,19,0,1,1,1,25
82,4,9,1,20,19,0,1,0,1,26
103,4,9,0,0,19,1,1,1,1,27
111,6,9,1,0,17,0,1,0,1,28
95,3,9,0,0,19,1,1,0,1,29
99,5,9,0,0,19,1,1,1,1,30
123,10,9,1,0,19,0,1,0,1,31
83,2,9,1,0,19,0,1,0,1,32
91,2,9,0,0,1,0,2,0,1,33
86,2,10,0,20,8,0,1,0,1,1
77,2,10,0,0,8,0,1,0,1,2
103,10,10,1,20,8,1,1,1,1,3
96,7,10,1,0,8,0,1,0,1,4
93,2,10,1,0,8,0,1,0,1,5
95,7,10,1,20,8,0,1,0,1,6
81,2,10,0,0,8,0,1,0,1,7
92,6,10,1,0,8,0,1,1,1,8
75,2,10,1,0,10,0,4,0,1,9
77,2,10,1,0,8,0,1,0,1,10
95,3,10,0,0,8,0,1,1,1,11
74,2,10,0,0,8,1,1,1,1,12
129,10,10,1,20,8,0,1,1,1,13
93,5,10,1,0,8,1,1,1,1,14
132,10,10,0,31,8,0,1,0,1,15
86,2,10,0,0,8,0,1,1,1,16
81,2,10,0,0,8,0,1,1,1,17
96,7,10,1,0,8,0,1,1,1,18
114,9,11,0,0,1,0,1,0,1,1
72,2,11,0,31,1,1,1,1,1,2
88,4,11,1,0,1,0,1,0,1,3
70,2,11,1,0,1,0,1,0,1,4
70,3,11,1,0,1,0,1,0,1,5
129,10,11,0,0,1,0,1,0,1,6
103,1,11,0,0,1,0,1,0,1,7
110,10,11,0,0,1,0,1,0,1,8
110,7,11,1,20,1,0,1,0,1,9
104,8,11,1,20,1,0,1,1,1,10
86,2,11,0,0,1,0,1,0,1,11
101,8,11,1,0,1,0,1,1,1,12
96,5,11,0,0,1,1,1,0,1,13
81,2,11,0,0,1,0,1,0,1,14
116,8,12,1,20,2,1,1,0,1,1
90,5,12,0,0,2,1,1,1,1,2
76,3,12,1,0,2,0,1,1,1,3
100,6,12,0,0,2,0,1,0,1,4
95,2,12,1,0,3,0,1,0,1,5
81,4,12,1,0,2,0,1,0,1,6
84,2,12,1,0,2,0,1,0,1,7
103,5,12,0,20,2,0,1,0,1,8
86,5,12,1,0,2,0,1,0,1,9
84,2,12,0,0,2,0,1,0,1,10
79,5,12,1,0,2,0,1,0,1,11
90,3,12,1,0,2,1,1,1,1,12
95,3,12,0,0,2,0,1,0,1,13
104,4,12,1,0,2,0,1,0,1,14
100,4,12,1,0,2,0,1,0,1,15
101,6,12,0,0,2,0,1,0,1,16
82,2,12,0,0,2,0,1,0,1,17
109,10,12,1,0,2,0,1,0,1,18
106,8,12,1,0,2,0,1,0,1,19
80,2,12,1,0,2,0,1,1,1,20
101,7,13,1,20,4,0,1,1,1,1
123,9,13,1,0,4,0,2,0,1,2
91,5,13,0,0,4,1,1,1,1,3
109,10,13,0,0,4,0,1,0,1,4
120,9,13,1,0,4,0,2,0,1,5
126,10,13,0,20,4,1,1,1,1,6
116,10,13,1,20,4,1,1,1,1,7
102,9,13,1,0,4,1,1,1,1,8
90,7,13,0,0,4,0,1,0,1,9
96,4,13,1,0,4,0,1,0,1,10
108,10,13,0,0,4,0,1,0,1,11
110,10,13,0,20,4,1,1,0,1,12
99,5,13,1,20,4,0,2,0,1,13
103,6,13,0,20,4,0,1,0,1,14
105,4,13,1,0,4,0,1,1,1,15
108,2,13,1,0,4,0,1,1,1,16
89,2,13,1,20,4,0,1,0,1,17
109,10,13,1,20,4,0,1,0,1,18
104,9,13,0,20,4,0,1,0,1,19
105,6,13,1,31,4,0,1,0,1,20
123,10,13,1,20,4,1,1,1,1,21
113,5,13,1,20,4,0,1,0,1,22
102,3,13,1,31,4,0,1,0,1,23
119,10,13,1,31,4,1,1,0,1,24
111,10,13,0,1,4,1,1,1,1,25
81,3,13,0,20,4,0,1,0,1,26
79,3,13,1,0,4,0,1,0,1,27
94,2,14,0,0,2,0,1,0,1,1
96,4,14,0,0,2,0,1,0,1,2
100,6,14,0,20,2,0,1,1,1,3
99,6,14,1,0,6,0,1,0,1,4
103,6,14,1,0,2,1,1,1,1,5
80,3,14,1,0,4,0,1,0,1,6
111,10,14,1,20,2,1,1,1,1,7
110,6,14,1,0,2,0,1,1,1,8
106,5,14,0,0,2,0,1,1,1,9
113,10,14,1,0,2,0,1,1,1,10
108,7,14,1,0,6,0,1,0,1,11
89,2,14,0,0,2,0,1,0,1,12
116,6,14,1,20,2,0,1,0,1,13
96,4,14,1,0,2,0,1,0,1,14
114,9,14,1,20,2,1,1,1,1,15
93,6,14,1,0,2,0,1,0,1,16
96,4,14,0,0,2,0,1,0,1,17
114,3,14,1,0,2,0,1,0,1,18
116,10,14,1,0,6,0,1,0,1,19
102,7,14,0,0,2,0,1,0,1,20
107,9,14,0,31,2,0,1,1,1,21
116,9,14,0,20,2,0,1,1,1,22
118,10,14,1,20,2,1,1,1,1,23
90,4,14,0,0,2,0,1,0,1,24
90,9,14,1,20,2,0,1,0,1,25
71,2,14,0,0,2,0,4,1,1,26
86,2,14,0,0,2,0,1,0,1,27
102,3,14,1,0,2,0,2,0,1,28
116,8,14,0,20,2,0,1,0,1,29
80,5,14,0,0,2,0,1,0,1,30
106,10,14,0,1,2,0,1,0,1,31
88,4,14,1,20,2,1,4,0,1,32
98,5,14,0,0,2,0,1,0,1,33
118,10,14,0,20,2,0,1,1,1,34
77,2,14,0,0,15,0,1,0,1,35
100,9,14,1,0,2,0,1,0,1,36
111,3,14,0,0,2,0,1,0,1,37
92,7,14,0,0,2,1,1,1,1,38
98,7,14,1,0,2,0,1,0,1,39
104,10,14,1,0,2,0,1,1,1,40
104,10,14,1,20,2,0,1,0,1,41
107,10,14,0,0,2,0,1,1,1,42
115,9,14,0,0,2,1,1,0,1,43
77,2,15,0,0,4,0,1,0,1,1
90,6,15,1,0,4,0,1,0,1,2
91,4,15,1,0,4,1,1,0,1,3
104,8,15,0,0,4,0,2,0,1,4
107,8,15,0,0,4,0,1,1,1,5
75,2,15,0,1,4,1,1,0,1,6
102,9,15,0,0,4,0,1,0,1,7
92,4,15,0,0,4,0,1,0,1,8
83,6,15,0,0,4,0,1,0,1,9
99,4,15,0,0,4,0,1,0,1,10
90,4,15,0,0,4,0,4,0,1,11
77,6,15,0,31,4,0,1,0,1,12
94,2,15,1,0,4,0,1,0,1,13
107,10,15,1,31,4,0,1,0,1,14
102,5,15,0,0,4,0,1,1,1,15
114,10,15,0,0,4,0,1,1,1,16
108,8,15,1,0,4,0,1,0,1,17
75,2,15,0,0,4,0,1,0,1,18
108,6,15,0,0,4,0,1,0,1,19
108,9,15,1,0,4,1,1,1,1,20
107,8,15,1,31,4,1,1,0,1,21
100,2,15,1,20,4,0,1,1,1,22
112,9,15,0,20,4,1,1,0,1,23
94,4,15,1,0,4,1,1,0,1,24
92,6,15,1,0,4,0,1,0,1,25
116,10,15,1,0,4,0,1,0,1,26
78,3,15,1,0,4,0,1,0,1,27
83,5,15,1,0,4,0,1,0,1,28
111,10,15,0,31,4,0,1,0,1,29
104,5,15,1,20,4,1,1,1,1,30
102,6,15,1,0,6,0,1,0,1,31
98,5,16,1,0,7,1,1,1,1,1
92,2,16,0,0,3,0,1,0,1,2
110,3,16,1,0,3,1,2,0,1,3
113,6,16,1,0,7,0,1,1,1,4
70,2,16,1,0,7,1,1,1,1,5
115,4,16,0,0,7,0,1,1,1,6
115,6,16,1,0,7,0,1,0,1,7
119,10,16,1,1,7,1,1,0,1,8
96,10,16,0,0,7,0,4,0,1,9
129,10,16,0,0,7,1,4,1,1,10
70,3,16,1,0,7,0,1,0,1,11
102,4,16,1,0,7,0,1,0,1,12
98,2,16,0,0,7,1,1,0,1,13
108,5,16,0,0,7,0,4,0,1,14
116,4,16,1,0,7,0,1,0,1,15
106,6,16,0,20,7,0,1,0,1,16
70,2,16,0,0,7,0,1,0,1,17
76,2,16,1,0,7,0,4,0,1,18
109,7,16,1,0,7,0,1,0,1,19
91,2,16,0,20,7,0,1,0,1,20
98,9,16,1,0,7,1,2,0,1,21
100,2,16,0,0,7,0,1,0,1,22
99,3,16,0,1,7,0,4,0,1,23
110,10,16,1,0,7,0,1,1,1,24
107,3,16,0,0,7,0,1,1,1,25
92,2,16,0,0,7,0,1,0,1,26
116,10,16,1,0,7,0,1,0,1,27
70,2,16,1,0,7,1,4,1,1,28
106,3,16,1,0,7,1,1,0,1,29
98,4,16,1,0,7,0,4,0,1,30
93,3,16,0,0,7,0,1,0,1,31
116,10,16,1,1,7,1,1,0,1,32
95,6,16,1,0,7,0,1,0,1,33
111,10,16,1,20,7,0,1,0,1,34
82,4,16,0,0,7,1,1,0,1,35
96,10,16,0,20,7,1,1,1,1,36
98,7,16,0,0,2,0,2,0,1,37
96,3,16,1,0,7,0,1,0,1,38
93,4,16,1,20,7,1,1,1,1,39
108,7,17,0,20,4,0,2,0,1,1
105,4,17,1,0,4,0,1,0,1,2
71,2,17,0,0,4,1,2,0,1,3
99,7,17,1,0,4,0,1,0,1,4
98,9,17,0,0,4,0,1,1,1,5
75,2,17,1,0,4,0,1,0,1,6
105,9,17,0,20,4,0,2,0,1,7
102,10,17,1,0,4,0,1,0,1,8
123,10,17,0,0,4,0,1,0,1,9
135,9,17,0,31,4,0,1,0,1,10
106,10,17,1,0,4,0,1,0,1,11
106,8,17,1,20,4,1,1,1,1,12
70,3,17,0,0,4,0,1,0,1,13
100,5,17,0,20,4,0,1,0,1,14
100,6,17,1,20,4,1,2,1,1,15
100,9,17,0,0,4,0,1,0,1,16
99,6,17,0,0,4,1,1,0,1,17
100,5,17,0,1,4,1,1,0,1,18
122,10,17,0,31,4,0,1,1,1,19
91,2,17,1,0,4,0,1,0,1,20
85,6,17,0,1,4,1,2,1,1,21
103,7,17,0,31,4,1,1,1,1,22
91,4,17,0,20,4,1,1,1,1,23
85,2,17,0,0,4,0,1,0,1,24
98,4,17,0,31,4,0,1,0,1,25
100,4,17,0,0,4,1,1,1,1,26
112,10,17,1,1,4,0,1,0,1,27
86,2,17,1,0,4,0,1,0,1,28
134,10,17,0,0,4,0,1,0,1,29
117,9,17,0,0,4,0,1,0,1,30
106,8,17,0,20,6,0,1,0,1,31
106,8,17,1,0,4,0,1,1,1,32
110,10,17,0,31,4,0,1,1,1,33
125,10,17,0,0,4,0,1,1,1,34
107,10,17,0,0,4,0,1,1,1,35
94,9,17,0,0,4,0,1,0,1,36
75,2,17,0,31,4,0,1,0,1,37
79,2,18,0,20,3,0,2,0,1,1
78,2,18,0,0,3,1,1,0,1,2
109,7,18,1,20,4,0,2,0,1,3
101,6,18,1,0,3,0,1,0,1,4
83,2,18,1,0,3,0,2,0,1,5
90,5,18,1,0,3,0,1,1,1,6
100,7,18,1,0,3,0,1,0,1,7
72,1,18,1,0,3,1,1,1,1,8
85,2,18,1,0,3,0,1,0,1,9
99,2,18,0,0,3,0,1,0,1,10
98,7,18,0,0,3,0,1,0,1,11
79,4,18,1,0,4,0,2,0,1,12
90,2,18,0,31,3,1,1,1,1,13
88,3,18,0,0,3,0,1,1,1,14
108,10,18,0,20,3,1,1,1,1,15
91,5,18,1,0,3,1,1,1,1,16
104,5,18,1,0,3,1,1,0,1,17
81,2,18,1,0,8,1,1,1,1,18
90,4,18,0,20,3,0,1,0,1,19
94,7,18,0,0,3,0,1,0,1,20
90,3,18,1,0,4,1,2,0,1,21
71,3,18,1,0,3,1,1,1,1,22
112,9,18,1,0,4,0,2,1,1,23
94,10,18,1,20,3,1,2,1,1,24
96,9,18,0,0,3,1,1,0,1,25
94,5,18,0,0,3,1,1,1,1,26
83,2,18,1,0,3,1,1,0,1,27
109,10,18,1,0,3,0,1,1,1,28
100,2,18,0,0,3,0,1,1,1,29
110,10,18,1,20,12,0,1,0,1,30
93,4,18,0,0,3,1,1,1,1,31
89,5,18,1,20,3,0,1,0,1,32
103,10,18,1,0,3,0,1,0,1,33
102,5,19,1,0,3,0,1,0,1,1
102,6,19,1,31,3,1,1,0,1,2
96,6,19,0,31,3,0,1,0,1,3
88,2,19,0,0,3,1,1,1,1,4
100,3,19,0,20,4,0,1,0,1,5
106,10,19,0,20,3,0,1,0,1,6
115,5,19,1,20,3,0,1,0,1,7
106,9,19,0,31,3,0,1,0,1,8
89,7,19,0,0,3,0,1,0,1,9
115,10,19,1,1,3,0,2,0,1,10
123,10,19,1,0,3,0,4,1,1,11
111,10,19,0,31,3,1,1,1,1,12
102,9,19,1,31,3,0,1,0,1,13
105,10,19,1,0,3,0,1,1,1,14
95,7,19,1,31,3,1,1,0,1,15
94,5,19,1,20,3,0,1,0,1,16
106,10,19,1,0,3,0,1,0,1,17
72,2,19,0,20,3,0,1,0,1,18
100,2,19,0,0,3,0,1,1,1,19
88,3,19,1,20,3,0,1,0,1,20
113,10,19,1,20,3,0,1,1,1,21
100,9,19,0,20,3,0,1,1,1,22
102,6,19,0,20,3,0,1,0,1,23
110,10,19,1,20,3,0,1,0,1,24
104,1,19,1,0,3,0,1,0,1,25
89,4,19,1,0,3,0,1,0,1,26
96,5,19,1,20,3,0,1,0,1,27
98,6,19,1,20,3,0,2,1,1,28
93,7,19,0,0,3,0,1,1,1,29
116,10,19,0,0,3,0,1,0,1,30
110,4,19,1,0,3,0,1,0,1,31
110,8,19,1,20,3,1,1,0,1,32
78,1,20,1,31,4,1,2,1,1,1
102,5,20,0,0,2,1,1,1,1,2
102,10,20,0,0,2,0,2,0,1,3
88,4,20,0,0,2,0,1,0,1,4
91,2,20,0,0,2,0,1,0,1,5
90,4,20,1,0,2,1,1,1,1,6
109,10,20,0,0,2,0,1,0,1,7
108,7,20,0,0,2,0,1,0,1,8
85,2,20,0,0,2,0,1,0,1,9
110,6,20,0,0,2,1,1,1,1,10
105,7,20,1,0,2,0,1,0,1,11
77,2,20,1,0,2,1,1,1,1,12
94,4,20,1,31,2,0,1,0,1,13
70,2,20,0,0,2,0,1,0,1,14
93,3,20,0,0,2,0,1,0,1,15
99,2,20,1,0,2,0,1,0,1,16
86,3,20,1,0,2,0,1,0,1,17
100,3,20,0,0,2,0,1,0,1,18
89,2,20,1,0,2,0,1,1,1,19
77,2,20,0,0,4,0,1,0,1,20
94,4,20,1,0,2,0,1,0,1,21
112,10,20,1,0,2,0,1,0,1,22
92,3,20,1,20,2,0,1,0,1,23
98,3,20,0,0,2,1,1,1,1,24
98,5,20,0,0,2,0,1,0,1,25
84,1,20,0,0,2,0,1,0,1,26
102,3,20,0,31,3,0,1,0,1,27
104,7,20,0,0,2,0,1,0,1,28
84,3,20,0,0,2,0,1,0,1,29
96,6,20,1,0,2,0,1,0,1,30
93,2,20,1,0,2,0,1,0,1,31
102,6,20,1,0,2,0,1,0,1,32
74,2,21,0,31,1,0,1,0,1,1
91,3,21,1,1,1,0,1,0,1,2
77,2,21,0,0,1,0,1,1,1,3
102,10,21,0,31,4,0,2,0,1,4
94,5,21,0,0,1,0,1,0,1,5
95,2,21,1,0,1,1,1,1,1,6
92,5,21,0,0,1,0,1,0,1,7
88,3,21,1,0,1,0,1,0,1,8
104,8,21,0,20,1,0,1,0,1,9
93,1,21,0,0,1,1,1,1,1,10
112,10,21,1,20,1,1,1,1,1,11
116,10,21,1,31,1,0,1,1,1,12
91,4,21,0,0,1,0,1,0,1,13
78,2,21,0,0,1,0,1,0,1,14
84,2,21,1,0,1,0,2,0,1,15
94,6,21,1,0,1,0,1,0,1,16
77,3,21,0,0,1,1,1,1,1,17
86,4,21,0,0,1,0,1,0,1,18
98,4,21,1,0,1,0,1,0,1,19
96,6,21,1,0,1,0,1,0,1,20
109,6,21,1,0,1,0,1,0,1,21
78,3,21,1,0,1,0,1,0,1,22
94,8,21,0,0,1,0,1,0,1,23
80,4,21,0,0,1,0,1,0,1,24
106,6,21,1,0,1,0,1,0,1,25
89,4,21,0,0,1,1,1,1,1,26
107,7,21,0,0,1,1,1,0,1,27
82,2,21,0,0,1,0,1,0,1,28
75,2,21,1,0,1,1,1,1,1,29
82,2,21,0,0,11,1,1,1,1,30
90,2,21,0,0,1,1,1,1,1,31
80,3,21,0,0,1,0,1,0,1,32
90,3,21,1,0,1,0,1,0,1,33
94,2,21,1,0,1,0,1,0,1,34
101,3,21,1,31,1,1,1,1,1,35
92,3,21,1,0,1,0,1,1,1,36
98,7,21,1,0,1,1,1,0,1,37
94,10,21,0,31,1,0,1,0,1,38
88,6,21,1,0,1,1,1,1,1,39
108,8,22,1,20,5,0,1,0,1,1
83,2,22,1,0,5,1,1,1,1,2
92,3,22,0,0,5,1,1,1,1,3
100,9,22,0,20,5,0,1,0,1,4
86,2,22,0,0,5,0,1,0,1,5
90,2,22,1,20,8,0,1,1,1,6
140,10,22,1,0,5,0,1,0,1,7
108,10,22,1,31,5,0,1,0,1,8
96,4,22,1,0,5,0,1,0,1,9
116,8,22,1,0,11,0,4,1,1,10
108,7,22,1,20,5,0,1,0,1,11
109,9,22,0,0,5,1,1,1,1,12
92,3,22,1,0,5,0,1,0,1,13
95,2,22,0,20,5,1,1,1,1,14
99,9,22,1,0,5,0,1,1,1,15
81,2,22,0,0,5,0,1,0,1,16
100,5,22,1,0,5,0,4,0,1,17
96,5,22,1,0,5,0,1,1,1,18
100,4,22,1,0,5,1,1,1,1,19
