student,gpa1,job1,gpa2,job2,gpa3,job3,gpa4,job4,gpa5,job5,gpa6,job6,sex,highgpa,admitted
40,2.5,2,2.9,2,3.2,2,3.6,2,3.3,2,3.6,2,2,3.1,
41,2.9,2,3.5,2,3.2,1,3.5,2,3.8,1,3.9,1,2,3.3,
42,2.5,2,2.5,2,3.4,1,2.6,2,2.8,2,3.0,2,1,3.9,0
43,2.0,2,2.5,2,3.1,2,3.3,2,3.2,2,3.6,2,2,2.3,1
44,3.1,2,3.0,2,3.1,2,2.9,2,3.1,2,3.2,2,2,3.5,
45,2.7,2,3.1,2,3.0,2,3.3,2,3.1,2,3.2,2,2,2.4,0
46,2.9,2,2.2,2,2.7,2,2.4,3,2.6,2,2.4,2,1,2.1,0
47,2.6,2,2.5,2,2.8,2,2.2,2,2.8,3,2.7,3,2,2.8,1
48,2.9,2,2.5,2,2.7,3,2.9,2,3.0,2,3.2,2,2,2.6,0
49,3.1,2,2.7,3,3.0,2,2.7,2,3.0,2,3.4,2,1,2.8,1
50,2.4,2,2.7,2,2.4,2,3.2,2,3.0,2,3.0,2,1,3.8,1
51,1.7,2,2.5,2,3.3,2,3.2,2,3.0,2,3.3,1,1,2.1,0
52,2.5,2,2.9,2,3.0,2,3.3,2,3.3,2,3.3,2,2,3.5,
53,2.8,2,3.4,2,2.7,2,3.0,1,2.8,2,3.0,1,1,2.3,1
54,2.8,2,2.5,2,3.3,2,3.3,2,3.2,2,3.4,2,2,2.2,
55,2.4,2,2.8,2,3.2,2,3.2,2,3.1,2,3.5,2,1,3.3,1
56,2.2,2,2.0,2,2.6,2,2.6,3,2.9,2,3.1,2,1,2.1,1
57,2.5,2,2.9,2,2.8,3,2.8,2,3.4,2,3.3,2,1,3.5,1
58,2.5,2,2.2,2,2.4,3,2.8,3,2.9,2,3.1,2,2,2.5,0
59,2.8,2,2.8,2,2.6,3,3.1,2,3.0,2,3.3,1,1,2.5,1
60,2.0,2,2.7,3,2.6,2,2.8,2,3.1,2,2.9,2,1,2.3,0
61,2.4,3,3.1,2,3.2,2,3.3,1,3.5,1,3.5,1,1,2.5,
62,2.4,2,2.2,2,2.5,2,3.0,2,2.9,2,3.4,1,1,3.0,
63,2.6,2,3.1,2,3.1,2,3.5,2,3.4,2,3.4,1,2,3.8,
64,2.4,2,2.9,2,2.7,2,3.3,2,3.2,2,3.4,2,2,2.2,1
65,1.9,3,2.9,2,2.4,2,2.8,2,2.8,2,2.7,2,1,3.6,0
66,2.3,3,2.7,2,3.2,2,3.3,2,3.4,2,3.7,2,2,3.8,
67,2.6,2,3.0,2,2.5,2,2.4,2,2.6,2,2.6,2,2,3.3,0
68,2.3,3,2.1,2,2.3,3,2.8,2,2.7,3,3.1,2,1,2.9,1
69,2.3,2,2.3,2,2.5,3,2.7,2,2.7,3,2.8,2,1,2.5,0
70,2.7,2,2.4,3,3.0,2,3.2,2,2.9,2,3.1,1,1,3.7,1
71,2.9,2,2.8,2,3.0,2,2.8,2,2.9,2,2.8,2,2,3.4,1
72,3.0,2,3.1,2,3.5,2,3.2,2,3.7,2,3.7,2,2,2.9,1
73,2.6,2,2.5,2,2.6,2,2.8,2,2.6,2,2.6,2,1,4.0,0
74,3.5,2,2.9,3,2.8,3,3.1,2,3.1,2,3.3,2,1,3.4,
75,2.5,2,2.5,2,3.2,2,3.0,2,3.2,2,3.0,2,2,2.0,0
76,2.4,2,2.9,2,2.8,2,3.4,1,3.3,1,3.5,1,1,2.9,
77,2.4,2,3.1,2,3.2,2,3.8,2,4.0,1,4.0,1,2,2.8,
78,2.4,3,2.5,2,2.1,2,2.5,2,2.3,2,2.8,2,1,2.9,0
79,2.3,2,1.8,3,2.2,3,2.3,3,2.5,2,2.8,2,2,2.6,0
80,3.1,2,2.8,3,3.0,2,3.1,2,3.4,2,3.2,2,2,3.7,
81,2.3,2,2.4,3,2.8,2,3.1,2,3.3,2,3.6,2,2,2.2,
82,3.3,2,3.2,2,2.7,2,3.2,2,3.3,2,3.6,2,2,3.6,
83,2.5,2,3.1,2,3.2,1,3.3,2,3.4,2,3.4,1,2,2.3,
84,2.3,2,2.1,3,2.4,3,2.1,2,2.2,3,2.4,3,1,3.7,0
85,2.4,3,2.8,2,3.1,2,3.3,2,3.1,2,3.3,2,2,2.8,0
86,2.7,2,2.5,2,3.0,2,2.5,2,2.6,2,2.6,2,1,2.5,1
87,2.3,2,2.7,2,2.7,2,3.2,2,3.1,2,3.2,2,2,2.1,1
88,2.7,2,2.8,2,2.5,3,2.7,2,3.1,2,3.0,2,1,2.2,1
89,2.6,2,2.8,2,3.2,2,3.0,2,3.1,2,3.5,2,1,3.7,
90,2.4,2,2.5,2,2.7,2,3.0,2,3.0,2,3.2,2,2,2.6,0
91,2.0,2,2.5,2,2.3,2,2.5,2,2.8,2,2.9,3,1,3.6,0
92,2.7,2,3.2,2,3.8,2,4.0,1,4.0,1,4.0,1,2,2.7,
93,2.9,2,3.5,2,3.2,2,3.3,2,3.4,2,3.4,2,1,3.5,
94,2.7,2,2.9,3,3.0,2,2.7,3,2.7,2,2.8,2,2,3.7,1
95,2.5,2,2.5,2,2.9,2,2.8,2,2.7,2,2.9,2,2,3.4,0
96,2.4,2,2.5,2,2.8,3,3.3,2,3.4,2,3.8,2,2,2.3,
97,2.3,3,2.5,3,3.0,2,3.2,2,2.9,2,2.9,2,1,2.6,0
98,3.3,2,2.4,2,3.2,2,3.2,2,3.1,2,3.3,2,2,3.4,
99,2.2,2,2.7,2,2.7,3,2.8,3,2.8,3,2.8,2,2,2.9,1
100,2.7,3,2.0,2,2.0,3,2.3,3,2.4,3,2.7,3,1,2.8,0
101,2.8,2,2.7,2,3.1,2,3.6,2,3.6,2,3.7,1,2,3.4,
102,3.1,2,2.9,2,2.7,2,2.6,3,2.9,2,2.7,2,1,3.5,1
103,2.2,2,2.4,2,2.8,3,2.8,2,3.1,2,2.9,3,2,2.3,1
104,2.3,2,2.8,2,2.9,2,3.0,2,3.4,2,3.4,2,2,3.5,1
105,3.4,2,3.9,2,3.9,2,3.5,2,3.9,2,3.9,2,2,3.6,
106,1.8,2,2.8,2,2.6,2,2.3,2,2.5,2,2.7,2,1,2.6,0
107,2.4,2,2.5,2,2.3,2,2.3,2,2.6,2,2.7,2,1,3.2,0
108,2.7,2,2.0,2,2.0,3,2.6,2,2.5,2,2.7,2,1,2.3,0
109,2.7,2,2.7,2,2.7,2,3.1,2,2.8,2,2.7,2,1,3.2,1
110,2.5,2,2.3,2,2.2,2,2.2,3,2.2,2,2.3,2,1,2.4,0
111,2.4,2,2.5,2,2.2,2,2.4,2,2.2,3,2.5,2,2,2.2,0
112,3.0,2,3.5,2,3.2,2,2.9,2,3.0,2,3.1,2,2,2.5,
113,2.7,2,2.4,2,3.0,2,2.5,3,2.6,3,2.8,3,1,3.7,1
114,2.8,2,2.3,2,2.8,2,2.9,2,3.0,2,3.1,2,2,4.0,1
115,2.2,2,2.1,3,3.1,2,3.0,2,3.0,2,3.2,2,2,3.6,1
116,2.5,2,2.3,2,2.8,2,2.7,3,2.9,3,3.1,2,2,2.2,0
117,2.8,2,2.1,2,3.0,2,3.1,2,3.0,2,3.1,2,2,2.3,0
118,2.5,2,2.4,2,3.0,2,3.3,2,3.3,1,3.6,2,2,2.2,
119,2.4,3,2.5,2,2.6,2,2.5,2,2.8,3,2.9,3,1,2.4,0
120,2.5,2,3.2,2,3.2,2,2.8,2,3.0,2,3.3,2,1,3.9,1
121,2.9,2,2.7,2,2.6,2,3.0,2,3.3,2,3.3,2,1,3.7,1
122,3.0,2,3.3,2,2.9,3,3.0,2,3.1,2,3.6,2,2,2.5,
123,2.9,2,2.3,2,2.3,3,2.4,2,2.2,2,2.5,2,1,2.8,1
124,2.5,2,3.1,2,2.5,2,3.3,2,3.0,2,3.4,2,2,3.6,1
125,2.8,2,2.3,3,2.7,3,2.4,2,2.6,3,3.0,2,1,3.8,0
126,2.5,2,2.7,2,2.1,2,3.1,2,3.0,2,3.0,2,2,3.1,1
127,2.7,3,2.3,3,2.4,2,2.6,2,2.3,3,2.5,3,1,2.5,0
128,3.0,2,2.7,3,2.3,2,2.7,3,2.9,2,3.1,2,2,3.8,1
129,2.7,2,2.8,3,2.7,2,2.7,2,2.9,2,2.9,3,2,3.4,1
130,2.4,2,2.9,2,3.6,2,3.1,2,3.0,1,3.1,2,1,2.9,
131,2.8,2,3.1,2,3.2,2,3.1,2,3.4,2,3.7,2,2,2.2,
132,2.2,3,2.7,2,3.4,2,3.0,2,3.3,2,3.7,2,1,2.7,0
133,2.5,2,2.8,2,2.3,2,2.1,2,2.3,2,2.5,2,1,2.0,0
134,2.5,2,3.1,2,2.8,2,2.8,2,2.9,3,3.2,2,2,2.8,1
135,3.0,2,2.7,3,3.0,2,3.1,2,3.0,2,3.0,2,2,2.3,
136,2.8,2,2.5,2,2.8,3,2.4,2,2.8,2,2.7,3,2,2.0,1
137,2.8,2,2.1,2,2.7,2,2.8,2,3.1,2,3.0,2,1,2.0,1
138,2.5,2,2.8,2,2.7,2,2.7,2,2.9,2,3.1,2,2,3.3,1
139,2.5,2,3.1,2,3.0,2,3.3,2,3.3,1,3.4,2,2,3.9,
140,2.5,2,2.9,2,2.6,2,2.6,2,2.9,2,2.8,3,1,2.8,0
141,2.7,2,3.1,2,3.1,2,3.1,2,3.4,2,3.1,2,2,2.1,
142,2.8,2,2.9,3,3.1,2,3.0,2,3.1,2,2.9,3,2,2.9,1
143,2.9,3,2.7,3,2.4,2,2.9,2,3.0,2,3.0,1,2,3.1,
144,2.5,2,3.0,2,2.9,2,3.0,2,3.0,2,3.4,2,2,3.6,1
145,2.4,2,2.5,2,2.8,2,2.9,3,2.9,3,3.2,2,2,2.8,0
146,2.6,3,2.4,2,2.3,2,2.5,2,2.5,2,2.9,3,2,3.4,0
147,2.6,2,2.9,2,3.4,2,3.5,2,3.6,2,3.9,1,1,3.4,
148,2.5,2,3.0,2,2.5,2,2.6,2,2.8,3,2.8,3,1,3.1,0
149,2.7,3,2.7,2,2.4,2,2.9,2,3.0,1,3.1,2,2,2.4,0
150,2.7,2,2.8,3,2.4,2,2.4,2,2.6,3,2.7,3,1,2.7,0
151,2.4,2,2.5,2,2.5,2,2.9,2,2.7,2,2.9,2,2,2.2,0
152,2.4,2,2.9,2,2.7,3,2.7,3,2.8,2,2.9,2,1,3.8,1
153,2.5,2,3.0,2,2.7,2,2.8,2,3.0,2,3.0,2,2,2.5,0
154,2.6,2,2.7,2,3.2,2,3.3,2,3.4,2,3.5,1,1,2.9,
155,2.7,2,3.1,2,2.5,2,2.7,2,2.7,3,2.9,3,1,2.9,0
156,2.6,2,2.7,2,2.7,2,3.0,2,2.8,2,2.8,3,1,3.9,0
157,3.3,2,3.0,2,3.1,2,3.3,2,3.4,2,3.4,2,2,2.1,
158,3.0,2,2.8,2,2.9,2,2.7,2,2.8,2,2.8,3,2,2.6,0
159,3.0,2,3.0,2,3.1,2,3.4,2,3.8,2,4.0,2,2,3.1,
160,2.9,2,2.7,2,3.2,2,3.4,2,3.7,2,3.8,2,2,3.4,
161,2.6,2,2.5,2,2.7,3,2.8,2,2.8,3,3.1,2,1,3.1,1
162,1.7,2,2.5,2,2.2,2,2.7,2,2.6,3,2.5,2,2,2.7,0
163,2.2,3,2.5,3,2.9,2,2.9,2,3.2,1,3.2,2,2,3.0,
164,2.5,3,2.4,3,2.6,2,2.8,2,2.8,2,3.3,2,1,2.5,
165,2.8,2,2.7,2,2.9,3,2.9,2,2.9,2,2.9,2,2,3.8,0
166,3.0,2,2.5,2,3.2,2,3.2,2,3.2,2,3.4,2,2,2.5,
167,2.7,2,2.9,3,3.1,1,2.8,3,3.6,1,3.5,2,1,2.8,1
168,2.9,2,2.9,2,3.0,2,3.3,2,3.4,2,3.5,2,1,3.2,
169,2.9,2,2.7,2,3.0,2,3.2,2,3.6,2,3.6,2,1,3.9,
170,2.4,2,3.1,2,3.2,1,3.7,2,3.6,2,3.9,2,1,2.0,1
171,2.3,2,2.4,2,2.7,2,2.7,3,2.5,2,2.6,3,1,2.7,0
172,2.7,2,2.8,3,3.0,2,2.4,2,2.8,2,3.2,2,2,3.4,1
173,2.2,2,3.1,2,3.0,2,3.4,2,3.7,2,3.6,2,2,3.7,1
174,2.8,2,2.7,2,2.9,3,3.2,2,3.0,1,3.4,2,2,3.2,
175,2.3,2,2.9,2,3.1,2,2.8,2,3.4,1,3.3,1,1,3.7,
176,2.9,2,2.7,2,2.8,2,2.7,2,2.6,2,2.9,3,1,3.7,0
177,2.9,2,3.0,2,3.1,1,2.8,2,3.3,2,3.4,1,1,3.9,
178,2.8,2,2.9,2,2.8,2,3.0,2,2.9,2,2.9,2,1,3.5,1
179,2.7,3,3.4,2,2.5,2,2.8,2,2.9,3,3.2,2,2,2.8,1
180,2.9,2,2.5,2,2.5,3,2.5,2,2.6,3,2.6,2,1,2.3,0
181,2.3,2,2.4,2,2.2,2,2.6,3,2.6,3,2.7,2,1,3.2,1
182,2.7,2,3.2,2,3.1,2,3.1,1,3.3,2,3.3,2,2,3.7,1
183,2.7,2,2.5,3,2.7,2,2.3,2,2.6,2,2.6,2,1,3.0,0
184,2.3,3,2.8,2,2.8,2,3.0,2,3.1,1,3.3,2,2,4.0,
185,2.6,3,3.1,2,3.0,2,3.0,2,3.2,2,2.9,3,2,3.7,1
186,2.2,2,2.4,3,3.0,2,2.9,2,3.2,2,3.1,2,2,3.4,1
187,2.4,2,2.2,2,2.1,2,2.4,2,2.8,3,2.8,3,2,2.2,1
188,2.3,2,2.7,2,3.3,2,3.2,2,3.1,2,3.6,2,2,2.1,1
189,3.3,2,3.3,2,2.8,3,3.0,2,3.1,2,3.1,2,1,2.6,
190,1.7,3,2.3,2,2.7,2,2.5,2,2.6,2,2.8,3,1,3.9,0
191,2.4,2,2.8,2,2.8,2,3.0,2,3.1,2,2.9,3,2,2.0,1
192,2.9,2,3.0,2,2.4,2,2.9,2,2.8,2,2.9,2,2,2.9,1
193,3.1,2,2.8,3,2.7,2,2.7,3,2.9,2,3.3,2,1,3.0,
194,2.4,2,2.4,3,2.6,3,3.1,2,3.4,2,3.3,2,1,2.2,0
195,2.4,2,2.7,2,2.2,3,2.2,2,2.4,2,2.5,2,1,2.5,0
196,2.2,2,2.5,2,2.7,2,3.1,2,3.3,2,3.2,2,2,3.5,
197,2.9,2,2.5,2,2.8,3,3.2,2,3.3,2,3.8,2,2,2.1,
198,2.5,2,2.9,2,3.0,2,3.2,2,3.3,1,3.4,2,1,4.0,
199,2.6,2,2.3,2,2.7,3,2.7,2,2.8,2,2.8,3,2,2.3,1
200,2.8,2,3.2,2,3.4,2,3.5,2,3.3,1,3.4,1,1,3.4,
