exp,wks,occ,ind,south,smsa,ms,fem,union,ed,blk,lwage,nr,year
7,48,0,0,1,1,1,0,0,16,0,7.09008,9,1980
8,44,0,0,1,1,1,0,0,16,0,7.17012,9,1981
9,48,0,0,1,1,1,0,0,16,0,7.20786,9,1982
3,49,0,0,1,1,1,0,0,16,0,6.39693,10,1976
4,47,0,0,1,1,1,0,0,16,0,6.43775,10,1977
5,46,0,0,1,1,1,0,0,16,0,6.43775,10,1978
6,44,0,0,1,1,1,0,0,16,0,6.43775,10,1979
7,43,0,0,1,1,1,0,0,16,0,6.52209,10,1980
8,34,0,0,1,1,1,0,0,16,0,6.61338,10,1981
9,40,0,0,1,1,1,0,0,16,0,6.73934,10,1982
24,47,1,0,0,1,0,0,1,12,0,6.65801,11,1976
25,48,1,0,0,1,0,0,1,12,0,6.72623,11,1977
26,45,1,0,0,1,0,0,1,12,0,6.80239,11,1978
27,45,1,0,0,1,1,0,1,12,0,6.90776,11,1979
28,47,1,0,0,1,1,0,1,12,0,7.03966,11,1980
29,17,1,0,0,1,1,0,1,12,0,7.12769,11,1981
30,47,1,0,0,1,1,0,1,12,0,7.24423,11,1982
21,47,1,0,1,1,1,0,1,12,0,6.55108,12,1976
22,46,1,0,1,1,1,0,1,12,0,6.62936,12,1977
23,47,1,0,1,1,1,0,1,12,0,6.72263,12,1978
24,47,1,0,1,1,1,0,1,12,0,6.7334,12,1979
25,47,1,0,1,1,1,0,1,12,0,6.72263,12,1980
26,47,1,0,1,1,1,0,1,12,0,6.95177,12,1981
27,46,1,0,1,1,1,0,1,12,0,7.05272,12,1982
26,48,1,0,1,1,1,0,0,12,0,6.90575,13,1976
27,48,1,0,1,1,1,0,0,12,0,6.90073,13,1977
28,50,1,0,1,1,1,0,0,12,0,7.17012,13,1978
29,48,1,0,1,1,1,0,0,12,0,7.26543,13,1979
30,48,1,0,1,1,1,0,0,12,0,7.25912,13,1980
31,46,0,0,1,1,1,0,0,12,0,7.25488,13,1981
32,46,1,0,1,1,1,0,0,12,0,7.40001,13,1982
15,45,0,0,1,1,1,0,0,17,0,6.80239,14,1976
16,45,0,0,1,1,1,0,0,17,0,6.80239,14,1977
17,45,0,0,1,1,1,0,0,17,0,6.9256,14,1978
18,44,0,0,1,1,1,0,0,17,0,7.00307,14,1979
19,44,0,0,1,1,1,0,0,17,0,7.1309,14,1980
20,44,0,0,1,1,1,0,0,17,0,7.12448,14,1981
21,44,0,0,1,1,1,0,0,17,0,7.12287,14,1982
9,50,0,0,0,0,0,1,0,14,0,5.94017,15,1976
10,46,0,0,0,0,0,1,0,14,0,5.86079,15,1977
11,48,0,0,0,0,0,1,0,14,0,5.99894,15,1978
12,46,0,0,0,0,0,1,0,14,0,6.0845,15,1979
13,48,0,0,0,0,0,1,0,14,0,6.39526,15,1980
14,41,0,0,0,0,0,1,0,14,0,6.47697,15,1981
15,48,0,0,0,0,0,1,0,14,0,6.47697,15,1982
16,50,1,0,1,1,0,1,0,12,1,5.97889,16,1976
17,50,1,0,1,1,0,1,0,12,1,5.78383,16,1977
18,48,1,0,1,1,0,1,0,12,1,5.85793,16,1978
19,48,1,0,1,1,0,1,0,12,1,5.95324,16,1979
20,50,1,0,1,1,0,1,0,12,1,6.14633,16,1980
21,50,1,0,1,1,0,1,0,12,1,6.17587,16,1981
22,49,1,0,1,1,0,1,0,12,1,6.38856,16,1982
16,49,0,1,0,0,1,0,0,14,0,6.62007,17,1976
17,48,0,1,0,0,1,0,0,14,0,6.49224,17,1977
18,49,0,1,0,0,1,0,0,14,0,6.77992,17,1978
19,50,0,1,0,0,1,0,0,14,0,6.74524,17,1979
20,51,0,1,0,0,1,0,0,14,0,7.09008,17,1980
21,46,0,1,0,0,1,0,0,14,0,7.1309,17,1981
22,47,0,1,0,0,1,0,0,14,0,7.1309,17,1982
25,47,0,1,1,1,1,0,0,16,0,6.90575,18,1976
26,46,0,1,1,1,1,0,0,16,0,6.90575,18,1977
27,47,0,1,1,1,1,0,0,16,0,7.6009,18,1978
28,47,0,1,1,1,1,0,0,16,0,7.64969,18,1979
29,47,0,1,1,1,1,0,0,16,0,7.71869,18,1980
30,48,0,1,1,1,1,0,0,16,0,7.78322,18,1981
31,47,0,1,1,1,1,0,0,16,0,7.80384,18,1982
40,37,1,1,0,1,1,0,1,12,0,6.38688,19,1976
41,49,1,1,0,1,1,0,1,12,0,6.47389,19,1977
42,50,1,1,0,1,1,0,1,12,0,6.54247,19,1978
43,47,1,1,0,1,1,0,1,12,0,6.67582,19,1979
44,47,1,1,0,1,1,0,1,12,0,6.7417,19,1980
45,25,1,1,0,1,1,0,1,12,0,6.83195,19,1981
46,40,1,1,0,1,1,0,1,12,0,6.93634,19,1982
25,50,0,0,0,0,1,0,0,16,0,6.78333,20,1976
26,49,0,1,0,0,1,0,0,16,0,6.85751,20,1977
27,49,0,1,0,0,1,0,0,16,0,6.98472,20,1978
28,48,0,1,0,0,1,0,0,16,0,7.0579,20,1979
29,48,0,1,0,0,1,0,0,16,0,7.20564,20,1980
30,49,0,1,0,0,1,0,0,16,0,7.10988,20,1981
31,48,0,1,0,0,1,0,0,16,0,7.26683,20,1982
28,42,1,1,1,0,1,0,1,4,0,6.05912,21,1976
29,46,1,1,1,0,1,0,1,4,0,6.05209,21,1977
30,49,1,1,1,0,1,0,1,4,0,5.99146,21,1978
31,49,1,1,1,0,1,0,1,4,0,6.21461,21,1979
32,48,1,0,1,0,1,0,1,4,0,6.32436,21,1980
33,45,1,0,1,0,1,0,1,4,0,6.44254,21,1981
34,42,1,1,1,0,1,0,1,4,0,6.44254,21,1982
20,46,0,0,0,0,1,0,0,14,0,6.59987,22,1976
21,45,0,0,0,0,1,0,0,14,0,6.59987,22,1977
22,44,0,0,0,0,1,0,0,14,0,6.68461,22,1978
23,46,0,0,0,0,1,0,0,14,0,6.72743,22,1979
24,47,0,0,0,0,1,0,0,14,0,6.88244,22,1980
25,51,0,1,0,0,1,0,0,14,0,6.95655,22,1981
26,47,0,0,0,0,1,0,0,14,0,7.04752,22,1982
11,50,0,0,0,1,1,0,0,16,0,6.90575,23,1976
12,50,0,0,0,1,1,0,0,16,0,6.90575,23,1977
13,51,0,0,0,1,1,0,0,16,0,7.49554,23,1978
14,50,0,0,0,1,1,0,0,16,0,7.66153,23,1979
15,48,0,0,0,1,1,0,0,16,0,7.86327,23,1980
16,47,0,0,0,1,1,0,0,16,0,8.03916,23,1981
17,50,0,0,0,1,1,0,0,16,0,7.89357,23,1982
5,30,0,0,0,0,0,1,0,12,0,5.43808,24,1976
6,51,0,0,0,0,0,1,0,12,0,5.52146,24,1977
7,51,1,0,0,0,0,1,0,12,0,5.57973,24,1978
8,52,1,0,0,0,0,1,0,12,0,5.66988,24,1979
9,49,1,0,0,0,0,1,0,12,0,5.73657,24,1980
10,51,1,0,0,0,0,1,1,12,0,5.84354,24,1981
11,50,1,0,0,0,0,1,0,12,0,5.85793,24,1982
8,37,0,0,0,1,1,0,1,17,0,6.52942,25,1976
9,39,0,0,0,1,1,0,1,17,0,6.57925,25,1977
10,40,0,0,0,1,1,0,1,17,0,6.71538,25,1978
11,38,0,0,0,1,1,0,1,17,0,6.68461,25,1979
12,38,0,0,0,1,1,0,1,17,0,6.79122,25,1980
13,39,0,0,0,1,1,0,1,17,0,6.97541,25,1981
14,41,0,0,0,1,1,0,1,17,0,6.90776,25,1982
14,48,0,1,1,1,1,0,0,15,0,6.47697,26,1976
15,47,1,1,1,1,1,0,0,15,0,6.55108,26,1977
16,49,0,1,1,1,1,0,0,15,0,6.86693,26,1978
17,48,0,1,1,1,1,0,0,15,0,6.85646,26,1979
18,47,0,1,1,1,1,0,0,15,0,7.27932,26,1980
19,47,0,1,1,1,1,0,0,15,0,7.54961,26,1981
20,48,0,1,1,1,1,0,0,15,0,7.36708,26,1982
8,50,0,0,0,1,0,0,0,16,0,6.01616,27,1976
9,52,0,0,0,1,0,0,0,16,0,6.90575,27,1977
10,48,0,0,0,0,0,0,0,16,0,7.04752,27,1978
11,50,0,0,0,0,0,0,0,16,0,7.26193,27,1979
12,50,0,0,0,0,0,0,0,16,0,7.09008,27,1980
13,45,0,0,0,0,0,0,0,16,0,6.96319,27,1981
14,23,0,0,0,0,0,0,0,16,0,7.31322,27,1982
26,50,1,0,0,1,1,0,0,12,0,6.7334,28,1976
27,50,1,0,0,1,1,0,0,12,0,6.69703,28,1977
28,50,1,0,0,1,1,0,0,12,0,6.68461,28,1978
29,50,1,0,0,1,1,0,0,12,0,6.74524,28,1979
30,50,1,0,0,1,1,0,0,12,0,6.73102,28,1980
31,49,1,0,0,1,1,0,0,12,0,6.80239,28,1981
32,49,1,0,0,1,1,0,0,12,0,6.74524,28,1982
31,49,0,0,0,1,1,0,0,14,0,6.90575,29,1976
32,49,0,0,0,1,1,0,0,14,0,6.90575,29,1977
33,49,0,0,0,1,1,0,0,14,0,7.06219,29,1978
34,49,0,0,0,1,1,0,0,14,0,7.57558,29,1979
35,50,0,0,0,1,1,0,0,14,0,7.67322,29,1980
36,49,0,0,0,1,1,0,0,14,0,7.47307,29,1981
37,49,0,0,0,1,1,0,0,14,0,7.56008,29,1982
17,47,0,0,1,1,0,1,0,12,0,6.19644,30,1976
18,47,0,0,1,1,0,1,0,12,0,6.29895,30,1977
19,48,0,0,1,1,0,1,0,12,0,6.3315,30,1978
20,49,0,0,1,1,0,1,0,12,0,6.36303,30,1979
21,49,0,0,1,1,0,1,0,12,0,6.48158,30,1980
22,45,0,0,1,1,0,1,0,12,0,6.57786,30,1981
23,49,0,0,1,1,0,1,0,12,0,6.64379,30,1982
22,48,0,1,0,1,1,0,0,17,0,6.90575,31,1976
23,48,0,1,0,1,1,0,0,17,0,6.90575,31,1977
24,48,0,1,0,1,1,0,0,17,0,7.31322,31,1978
25,47,0,1,0,1,1,0,0,17,0,7.24423,31,1979
26,43,0,1,0,1,1,0,0,17,0,7.48437,31,1980
27,47,0,0,0,1,1,0,0,17,0,7.54961,31,1981
28,45,0,1,0,1,1,0,0,17,0,7.61332,31,1982
30,50,0,1,0,1,1,0,0,16,0,6.90575,32,1976
31,49,0,1,0,1,1,0,0,16,0,6.90575,32,1977
32,49,0,1,0,1,1,0,0,16,0,7.46737,32,1978
33,48,0,1,0,1,1,0,0,16,0,7.40853,32,1979
34,49,0,1,0,1,1,0,0,16,0,7.60589,32,1980
35,47,0,1,0,1,1,0,0,16,0,8.04879,32,1981
36,47,0,1,0,1,1,0,0,16,0,7.74066,32,1982
14,51,0,0,0,1,1,0,0,16,0,6.90575,33,1976
15,47,0,0,0,1,1,0,0,16,0,6.90575,33,1977
16,51,0,0,0,1,1,0,0,16,0,7.17012,33,1978
17,47,0,0,0,1,1,0,0,16,0,7.27932,33,1979
18,48,0,0,0,1,1,0,0,16,0,7.24065,33,1980
19,50,0,0,0,1,1,0,0,16,0,7.37776,33,1981
20,49,0,0,0,1,1,0,0,16,0,7.46737,33,1982
45,48,1,0,1,0,1,0,0,8,0,5.7589,34,1976
46,48,1,0,1,0,1,0,0,8,0,5.86079,34,1977
47,48,1,0,1,0,1,0,0,8,0,5.82305,34,1978
48,49,1,0,1,0,1,0,0,8,0,5.94803,34,1979
49,50,1,0,1,0,1,0,0,8,0,6.24804,34,1980
50,48,1,0,1,0,1,0,0,8,0,6.20658,34,1981
51,46,1,0,1,0,1,0,0,8,0,5.98394,34,1982
8,30,1,0,0,1,1,0,1,13,1,6.51471,35,1976
9,49,1,1,0,1,1,0,1,13,1,6.6107,35,1977
10,48,1,1,0,1,1,0,1,13,1,6.39693,35,1978
11,49,1,1,0,1,1,0,1,13,1,6.75227,35,1979
12,34,1,1,0,1,1,0,1,13,1,6.88653,35,1980
13,48,1,1,0,1,1,0,1,13,1,7.01212,35,1981
14,45,1,1,0,1,1,0,1,13,1,7.02554,35,1982
15,52,1,0,1,1,1,0,0,10,0,6.62007,36,1976
16,47,0,0,1,1,1,0,0,10,0,6.77422,36,1977
17,50,0,0,1,0,1,0,0,10,0,7.1309,36,1978
18,50,0,0,1,0,1,0,0,10,0,7.08841,36,1979
19,48,0,0,1,1,1,0,0,10,0,7.1309,36,1980
20,50,0,0,1,1,1,0,0,10,0,6.90776,36,1981
21,41,0,0,1,1,1,0,0,10,0,7.18007,36,1982
12,52,0,0,0,1,1,0,0,14,0,6.90575,37,1976
13,47,0,0,0,1,1,0,0,14,0,6.7417,37,1977
14,50,0,0,0,1,1,0,0,14,0,7.00307,37,1978
15,49,0,0,0,1,1,0,0,14,0,7.1309,37,1979
16,50,0,0,0,1,1,0,0,14,0,7.14283,37,1980
17,48,0,0,0,1,1,0,0,14,0,7.28276,37,1981
18,49,0,0,0,1,0,0,0,14,0,7.40914,37,1982
10,48,1,1,0,0,1,0,1,12,0,6.05209,38,1976
11,49,1,1,0,0,1,0,1,12,0,6.05209,38,1977
12,48,1,1,0,0,1,0,1,12,0,6.05209,38,1978
13,48,1,1,0,0,1,0,1,12,0,6.36819,38,1979
14,49,1,1,0,0,1,0,1,12,0,6.43615,38,1980
15,48,0,1,0,0,1,0,1,12,0,6.54965,38,1981
16,49,1,1,0,0,1,0,1,12,0,6.52209,38,1982
6,47,0,0,0,1,1,0,0,13,0,6.47697,39,1976
7,51,0,0,0,1,0,0,0,13,0,6.58617,39,1977
8,48,0,0,0,1,0,0,0,13,0,6.47697,39,1978
9,50,0,0,0,1,0,0,0,13,0,6.52942,39,1979
10,50,0,0,0,1,0,0,0,13,0,6.80239,39,1980
11,52,0,0,0,1,0,0,0,13,0,6.77992,39,1981
12,51,0,0,0,1,1,0,0,13,0,6.80793,39,1982
30,47,0,0,1,0,1,0,1,8,0,6.35784,40,1976
31,39,0,0,1,0,1,0,1,8,0,6.49979,40,1977
32,32,0,0,1,0,1,0,1,8,0,6.58203,40,1978
33,35,0,0,1,0,1,0,1,8,0,6.69456,40,1979
34,47,0,0,1,0,1,0,1,8,0,6.78784,40,1980
35,45,0,0,1,0,1,0,1,8,0,6.90776,40,1981
36,47,0,0,1,0,1,0,1,8,0,7.35819,40,1982
20,50,0,0,1,1,1,0,0,16,0,6.90575,41,1976
21,50,0,0,1,1,1,0,0,16,0,6.90575,41,1977
22,50,0,0,1,1,1,0,0,16,0,7.37776,41,1978
23,50,0,0,1,1,1,0,0,16,0,7.49109,41,1979
24,50,0,0,1,1,1,0,0,16,0,7.57558,41,1980
25,48,0,0,1,1,1,0,0,16,0,7.52833,41,1981
26,47,0,0,1,1,1,0,0,16,0,7.745,41,1982
30,38,1,1,0,1,0,1,1,12,1,6.2186,42,1976
31,41,1,0,0,1,0,1,1,12,1,6.49375,42,1977
32,51,1,0,0,1,0,1,1,12,1,6.58064,42,1978
33,50,1,1,0,1,0,1,1,12,1,6.6896,42,1979
34,42,1,1,0,1,0,1,1,12,1,6.79347,42,1980
35,50,1,1,0,1,0,1,1,12,1,6.92461,42,1981
36,49,1,1,0,1,0,1,1,12,1,7.02554,42,1982
5,49,0,0,0,1,1,0,0,16,0,6.68461,43,1976
6,47,0,0,0,1,1,0,0,16,0,6.84375,43,1977
7,48,0,0,0,1,1,0,0,16,0,6.90776,43,1978
8,49,0,0,0,1,1,0,0,16,0,7.00307,43,1979
9,46,0,0,0,1,1,0,0,16,0,7.1309,43,1980
10,45,0,0,0,1,1,0,0,16,0,7.40853,43,1981
11,49,0,0,0,1,1,0,0,16,0,7.43838,43,1982
7,48,0,1,0,1,1,0,0,17,0,6.90575,44,1976
8,48,0,1,0,1,1,0,0,17,0,6.90575,44,1977
9,48,0,1,0,1,1,0,0,17,0,7.20786,44,1978
10,47,0,1,0,1,1,0,0,17,0,7.31322,44,1979
11,46,0,1,0,1,1,0,0,17,0,7.43838,44,1980
12,46,0,1,0,1,1,0,0,17,0,7.49332,44,1981
13,46,0,1,0,1,1,0,0,17,0,7.6009,44,1982
13,49,0,0,0,1,0,1,0,13,0,6.22456,45,1976
14,50,0,0,0,1,0,1,0,13,0,6.33328,45,1977
15,50,0,0,0,1,0,1,0,13,0,6.30992,45,1978
16,50,0,0,0,1,0,1,0,13,0,6.47697,45,1979
17,50,0,0,0,1,0,1,0,13,0,6.63332,45,1980
18,50,0,0,0,1,0,1,0,13,0,6.68211,45,1981
19,49,0,0,0,1,0,1,0,13,0,6.65286,45,1982
6,42,1,0,0,0,1,0,1,12,0,6.12687,46,1976
7,44,1,0,0,0,1,0,1,12,0,6.23245,46,1977
8,48,1,0,0,0,1,0,1,12,0,6.32615,46,1978
9,47,1,0,0,0,1,0,1,12,0,6.32436,46,1979
10,48,1,0,0,0,1,0,1,12,0,6.4677,46,1980
11,47,0,0,0,0,1,0,1,12,0,6.60665,46,1981
12,47,1,0,0,0,1,0,1,12,0,6.55108,46,1982
26,48,0,0,0,1,1,0,0,14,0,6.90575,47,1976
27,49,0,0,0,1,1,0,0,14,0,6.90575,47,1977
28,48,0,0,0,1,1,0,0,14,0,7.04752,47,1978
29,48,0,0,0,1,1,0,0,14,0,7.09008,47,1979
30,48,0,0,0,1,1,0,0,14,0,7.20786,47,1980
31,47,0,0,0,1,1,0,0,14,0,7.11802,47,1981
32,48,0,0,0,1,1,0,0,14,0,7.09008,47,1982
26,50,0,1,0,1,0,0,0,16,0,6.90575,48,1976
27,50,0,1,0,1,0,0,0,16,0,6.90575,48,1977
28,50,0,1,0,1,0,0,0,16,0,7.1309,48,1978
29,50,0,1,0,1,0,0,0,16,0,7.22621,48,1979
30,48,0,1,0,1,1,0,0,16,0,7.1309,48,1980
31,41,0,1,0,1,1,0,0,16,0,7.31322,48,1981
32,49,0,1,0,1,0,0,0,16,0,7.43838,48,1982
31,47,0,1,0,0,1,0,0,16,0,6.90575,49,1976
32,46,0,1,0,0,1,0,0,16,0,6.90575,49,1977
33,47,0,1,0,0,1,0,0,16,0,7.6009,49,1978
34,48,0,1,0,0,1,0,0,16,0,7.67601,49,1979
35,47,0,1,0,0,1,0,0,16,0,7.7021,49,1980
36,49,0,1,0,0,1,0,0,16,0,7.69621,49,1981
37,48,0,1,0,0,1,0,0,16,0,7.82084,49,1982
31,50,0,0,0,1,0,1,1,12,0,6.27099,50,1976
32,45,0,0,0,1,0,1,1,12,0,6.39859,50,1977
33,43,0,0,0,1,0,1,1,12,0,6.48311,50,1978
34,48,0,0,0,1,0,1,1,12,0,6.55678,50,1979
35,46,0,0,0,1,0,1,1,12,0,6.65544,50,1980
36,32,0,0,0,1,0,1,1,12,0,6.74876,50,1981
37,28,0,0,0,1,0,1,1,12,0,6.84907,50,1982
31,45,0,1,0,1,1,0,0,17,0,6.90575,51,1976
32,48,0,1,0,1,1,0,0,17,0,6.90575,51,1977
33,48,0,1,0,1,1,0,0,17,0,7.6009,51,1978
34,47,0,0,0,1,1,0,0,17,0,7.64969,51,1979
35,48,0,1,0,1,1,0,0,17,0,7.82405,51,1980
36,47,0,1,0,1,1,0,0,17,0,7.86327,51,1981
37,44,0,1,0,1,1,0,0,17,0,7.91936,51,1982
25,46,0,0,0,1,1,0,0,16,0,6.90575,52,1976
26,49,0,0,0,1,1,0,0,16,0,6.90575,52,1977
27,49,0,0,0,1,1,0,0,16,0,7.24423,52,1978
28,48,0,0,0,1,1,0,0,16,0,7.1309,52,1979
29,48,0,0,0,1,1,0,0,16,0,7.46737,52,1980
30,48,0,0,0,1,1,0,0,16,0,7.6009,52,1981
31,49,0,0,0,1,1,0,1,16,0,7.64969,52,1982
13,47,0,0,1,0,1,0,0,13,0,6.43615,53,1976
14,49,0,0,1,0,1,0,0,13,0,6.90575,53,1977
15,48,1,0,0,0,1,0,0,13,0,6.95655,53,1978
16,49,1,0,0,0,1,0,0,13,0,6.95655,53,1979
17,48,0,0,0,0,1,0,0,13,0,7.06048,53,1980
18,47,1,0,0,0,1,0,0,13,0,7.20786,53,1981
19,48,0,0,0,0,1,0,0,13,0,7.20786,53,1982
13,47,1,1,0,0,1,0,1,11,0,6.51175,54,1976
14,52,1,1,0,0,1,0,1,11,0,6.5903,54,1977
15,51,1,1,0,0,1,0,1,11,0,6.68461,54,1978
16,51,1,1,0,0,1,0,1,11,0,6.74524,54,1979
17,49,1,1,0,0,1,0,1,11,0,6.8977,54,1980
18,49,1,1,0,0,1,0,1,11,0,7.0775,54,1981
19,50,1,1,0,0,1,0,1,11,0,7.10003,54,1982
32,49,1,1,0,1,1,0,1,8,0,6.65415,55,1976
33,49,1,1,0,1,1,0,1,8,0,6.85013,55,1977
34,49,1,1,0,1,1,0,1,8,0,6.85646,55,1978
35,47,1,1,0,1,1,0,1,8,0,6.92363,55,1979
36,48,1,1,0,1,1,0,1,8,0,7.04141,55,1980
37,47,1,1,0,1,1,0,1,8,0,7.1333,55,1981
38,46,1,1,0,1,1,0,1,8,0,7.20786,55,1982
23,51,1,1,1,0,1,0,0,12,0,6.10925,56,1976
24,49,1,1,1,0,1,0,0,12,0,6.16331,56,1977
25,52,1,1,1,0,1,0,0,12,0,6.33328,56,1978
26,52,1,1,1,0,1,0,0,12,0,6.33328,56,1979
27,48,1,1,1,0,1,0,0,12,0,6.43775,56,1980
28,50,1,1,1,0,1,0,0,12,0,6.58617,56,1981
29,50,1,1,1,0,1,0,0,12,0,6.53379,56,1982
21,47,1,0,1,1,1,0,0,11,0,6.04025,57,1976
22,49,1,0,1,1,1,0,0,11,0,6.28972,57,1977
23,49,1,0,1,1,1,0,0,11,0,6.01616,57,1978
24,49,0,0,1,1,1,0,0,11,0,6.57786,57,1979
25,47,0,0,1,1,1,0,0,11,0,6.55108,57,1980
26,48,0,0,1,1,1,0,0,11,0,6.53233,57,1981
27,48,0,0,1,1,1,0,0,11,0,6.31355,57,1982
37,49,1,1,0,1,1,0,1,14,0,6.55108,58,1976
38,48,1,1,0,1,1,0,1,14,0,6.68461,58,1977
39,40,1,1,0,1,1,0,1,14,0,6.69703,58,1978
40,48,1,1,0,1,1,0,0,14,0,6.90776,58,1979
41,48,1,1,0,1,1,0,1,14,0,7.00307,58,1980
42,48,1,1,0,1,1,0,1,14,0,7.1624,58,1981
43,48,1,1,0,1,1,0,0,14,0,7.1309,58,1982
26,48,0,1,0,1,1,0,0,17,0,6.90575,59,1976
27,49,0,1,0,1,1,0,0,17,0,6.90575,59,1977
28,48,0,1,0,1,1,0,0,17,0,7.34601,59,1978
29,47,0,1,0,1,1,0,0,17,0,7.43838,59,1979
30,46,0,1,0,1,1,0,0,17,0,7.48156,59,1980
31,48,0,1,0,1,1,0,0,17,0,7.6009,59,1981
32,46,0,1,0,1,1,0,0,17,0,7.64969,59,1982
18,46,0,0,0,1,0,1,1,11,1,5.97635,60,1976
19,39,0,0,0,1,0,1,1,11,1,6.04025,60,1977
20,44,0,0,0,1,0,1,1,11,1,6.04025,60,1978
21,49,1,0,0,1,0,1,1,11,1,6.04025,60,1979
22,48,0,0,0,1,0,1,1,11,1,6.1203,60,1980
23,47,1,0,0,1,0,1,1,11,1,6.2186,60,1981
24,43,1,0,0,1,0,1,1,11,1,6.1717,60,1982
24,50,0,0,0,1,0,1,1,17,0,6.78559,61,1976
25,51,0,0,0,1,0,1,0,17,0,6.88857,61,1977
26,51,0,0,0,1,0,1,0,17,0,6.88755,61,1978
27,50,0,0,0,1,0,1,0,17,0,6.96885,61,1979
28,22,0,0,0,1,0,1,0,17,0,6.85646,61,1980
29,41,0,0,0,1,0,1,0,17,0,6.73815,61,1981
30,26,0,0,0,1,0,1,0,17,0,7.1309,61,1982
7,50,1,0,1,0,1,0,0,16,0,6.58064,62,1976
8,50,1,1,1,0,1,0,0,16,0,6.83518,62,1977
9,50,1,1,1,0,1,0,0,16,0,6.91274,62,1978
10,50,1,1,1,0,1,0,0,16,0,6.95845,62,1979
11,49,1,1,1,0,1,0,0,16,0,6.9256,62,1980
12,49,1,1,1,0,1,0,0,16,0,7.23778,62,1981
13,49,1,1,1,0,1,0,0,16,0,7.2724,62,1982
