year,grade,math,retained,female,black,hispanic,size,lowinc,mobility,school,child
0.5,2,-0.316,N,F,Y,N,502,83.1,18.6,A1,AR
-1.5,0,-2.097,N,F,Y,N,502,83.1,18.6,A1,AS
-0.5,1,-1.314,N,F,Y,N,502,83.1,18.6,A1,AS
0.5,2,0.003,N,F,Y,N,502,83.1,18.6,A1,AS
1.5,3,0.182,N,F,Y,N,502,83.1,18.6,A1,AS
-1.5,0,-1.538,N,F,N,Y,502,83.1,18.6,A1,AT
-0.5,1,-0.942,N,F,N,Y,502,83.1,18.6,A1,AT
0.5,2,-0.522,N,F,N,Y,502,83.1,18.6,A1,AT
1.5,3,0.632,N,F,N,Y,502,83.1,18.6,A1,AT
2.5,4,1.794,N,F,N,Y,502,83.1,18.6,A1,AT
-1.5,0,-1.898,N,M,N,Y,502,83.1,18.6,A1,AU
-0.5,1,-0.716,N,M,N,Y,502,83.1,18.6,A1,AU
0.5,2,0.716,N,M,N,Y,502,83.1,18.6,A1,AU
1.5,3,1.066,N,M,N,Y,502,83.1,18.6,A1,AU
2.5,4,2.371,N,M,N,Y,502,83.1,18.6,A1,AU
-2.5,0,-3.232,N,F,N,Y,502,83.1,18.6,A1,AV
-1.5,0,-2.188,Y,F,N,Y,502,83.1,18.6,A1,AV
-0.5,1,-1.464,N,F,N,Y,502,83.1,18.6,A1,AV
-1.5,0,-1.987,N,M,N,Y,502,83.1,18.6,A1,AW
-0.5,1,-1.616,N,M,N,Y,502,83.1,18.6,A1,AW
0.5,2,-1.665,N,M,N,Y,502,83.1,18.6,A1,AW
1.5,3,-0.35,N,M,N,Y,502,83.1,18.6,A1,AW
2.5,4,1.047,N,M,N,Y,502,83.1,18.6,A1,AW
-1.5,0,-1.772,N,M,Y,N,502,83.1,18.6,A1,AX
-0.5,1,-0.194,N,M,Y,N,502,83.1,18.6,A1,AX
0.5,2,1.678,N,M,Y,N,502,83.1,18.6,A1,AX
-1.5,0,-2.188,N,F,Y,N,502,83.1,18.6,A1,AY
-0.5,1,-1.568,N,F,Y,N,502,83.1,18.6,A1,AY
0.5,2,-1.236,N,F,Y,N,502,83.1,18.6,A1,AY
1.5,3,-0.244,N,F,Y,N,502,83.1,18.6,A1,AY
-2.5,0,-3.395,N,M,Y,N,502,83.1,18.6,A1,AZ
-1.5,0,-2.474,Y,M,Y,N,502,83.1,18.6,A1,AZ
-0.5,1,-1.966,N,M,Y,N,502,83.1,18.6,A1,AZ
0.5,2,-0.928,N,M,Y,N,502,83.1,18.6,A1,AZ
1.5,3,0.182,N,M,Y,N,502,83.1,18.6,A1,AZ
2.5,4,0.798,N,M,Y,N,502,83.1,18.6,A1,AZ
-2.5,0,-3.232,N,F,N,N,502,83.1,18.6,A1,Aa
-1.5,0,-2.535,Y,F,N,N,502,83.1,18.6,A1,Aa
-0.5,1,-0.785,N,F,N,N,502,83.1,18.6,A1,Aa
0.5,2,0.343,N,F,N,N,502,83.1,18.6,A1,Aa
1.5,3,0.573,N,F,N,N,502,83.1,18.6,A1,Aa
2.5,4,1.302,N,F,N,N,502,83.1,18.6,A1,Aa
-1.5,0,-1.276,N,F,N,N,502,83.1,18.6,A1,Ab
-0.5,1,0.338,N,F,N,N,502,83.1,18.6,A1,Ab
0.5,2,0.852,N,F,N,N,502,83.1,18.6,A1,Ab
1.5,3,0.128,N,F,N,N,502,83.1,18.6,A1,Ab
2.5,4,2.3,N,F,N,N,502,83.1,18.6,A1,Ab
-2.5,0,-3.232,N,F,Y,N,502,83.1,18.6,A1,Ac
-1.5,0,-2.225,Y,F,Y,N,502,83.1,18.6,A1,Ac
-0.5,1,-0.988,N,F,Y,N,502,83.1,18.6,A1,Ac
0.5,2,-1.236,N,F,Y,N,502,83.1,18.6,A1,Ac
1.5,3,0.021,N,F,Y,N,502,83.1,18.6,A1,Ac
-1.5,0,-1.13,N,M,Y,N,502,83.1,18.6,A1,Ad
-0.5,1,-0.427,N,M,Y,N,502,83.1,18.6,A1,Ad
0.5,2,0.995,N,M,Y,N,502,83.1,18.6,A1,Ad
-1.5,0,-2.377,N,M,N,Y,502,83.1,18.6,A1,Ae
-0.5,1,-0.427,N,M,N,Y,502,83.1,18.6,A1,Ae
0.5,2,0.995,N,M,N,Y,502,83.1,18.6,A1,Ae
-1.5,0,-2.377,N,F,N,Y,502,83.1,18.6,A1,Af
0.5,2,-1.236,N,F,N,Y,502,83.1,18.6,A1,Af
1.5,3,-0.725,N,F,N,Y,502,83.1,18.6,A1,Af
2.5,4,0.65,N,F,N,Y,502,83.1,18.6,A1,Af
0.5,2,-0.623,N,M,Y,N,777,96.6,44.4,A2,Ag
1.5,3,0.516,N,M,Y,N,777,96.6,44.4,A2,Ag
2.5,4,0.551,N,M,Y,N,777,96.6,44.4,A2,Ag
-1.5,0,-1.898,N,F,Y,N,777,96.6,44.4,A2,Ah
-0.5,1,-0.351,N,F,Y,N,777,96.6,44.4,A2,Ah
0.5,2,0.343,N,F,Y,N,777,96.6,44.4,A2,Ah
1.5,3,0.573,N,F,Y,N,777,96.6,44.4,A2,Ah
2.5,4,1.302,N,F,Y,N,777,96.6,44.4,A2,Ah
-1.5,0,-0.221,N,M,Y,N,777,96.6,44.4,A2,Ai
-0.5,1,-0.351,N,M,Y,N,777,96.6,44.4,A2,Ai
0.5,2,0.227,N,M,Y,N,777,96.6,44.4,A2,Ai
1.5,3,0.128,N,M,Y,N,777,96.6,44.4,A2,Ai
2.5,4,1.199,N,M,Y,N,777,96.6,44.4,A2,Ai
0.5,2,0.852,N,F,Y,N,777,96.6,44.4,A2,Aj
1.5,3,0.573,N,F,Y,N,777,96.6,44.4,A2,Aj
2.5,4,1.736,N,F,Y,N,777,96.6,44.4,A2,Aj
-2.5,0,-4.096,N,M,Y,N,777,96.6,44.4,A2,Ak
-1.5,0,-2.097,Y,M,Y,N,777,96.6,44.4,A2,Ak
-0.5,1,-2.136,N,M,Y,N,777,96.6,44.4,A2,Ak
0.5,2,-1.894,N,M,Y,N,777,96.6,44.4,A2,Al
1.5,3,-0.403,N,M,Y,N,777,96.6,44.4,A2,Al
2.5,4,0.452,N,M,Y,N,777,96.6,44.4,A2,Al
-0.5,1,-0.988,N,F,Y,N,777,96.6,44.4,A2,Am
0.5,2,-0.725,N,F,Y,N,777,96.6,44.4,A2,Am
1.5,3,0.074,N,F,Y,N,777,96.6,44.4,A2,Am
2.5,4,0.749,N,F,Y,N,777,96.6,44.4,A2,Am
-1.5,0,-2.225,N,F,Y,N,777,96.6,44.4,A2,An
-0.5,1,-1.568,N,F,Y,N,777,96.6,44.4,A2,An
0.5,2,-0.522,N,F,Y,N,777,96.6,44.4,A2,An
1.5,3,0.292,N,F,Y,N,777,96.6,44.4,A2,An
2.5,4,1.354,N,F,Y,N,777,96.6,44.4,A2,An
-0.5,1,-1.568,N,F,Y,N,777,96.6,44.4,A2,Ao
0.5,2,-0.725,N,F,Y,N,777,96.6,44.4,A2,Ao
1.5,3,0.237,N,F,Y,N,777,96.6,44.4,A2,Ao
2.5,4,0.947,N,F,Y,N,777,96.6,44.4,A2,Ao
-1.5,0,-2.162,N,F,Y,N,777,96.6,44.4,A2,Ap
-0.5,1,-1.568,N,F,Y,N,777,96.6,44.4,A2,Ap
0.5,2,-1.555,N,F,Y,N,777,96.6,44.4,A2,Ap
-1.5,0,-1.038,N,F,Y,N,777,96.6,44.4,A2,Aq
-0.5,1,-0.351,N,F,Y,N,777,96.6,44.4,A2,Aq
0.5,2,-0.316,N,F,Y,N,777,96.6,44.4,A2,Aq
1.5,3,0.573,N,F,Y,N,777,96.6,44.4,A2,Aq
2.5,4,1.407,N,F,Y,N,777,96.6,44.4,A2,Aq
-1.5,0,-4.258,N,F,Y,N,777,96.6,44.4,A2,Ar
-0.5,0,-2.535,Y,F,Y,N,777,96.6,44.4,A2,Ar
0.5,1,-2.053,N,F,Y,N,777,96.6,44.4,A2,Ar
1.5,2,-2.64,N,F,Y,N,777,96.6,44.4,A2,Ar
2.5,3,-1.229,N,F,Y,N,777,96.6,44.4,A2,Ar
-1.5,0,-1.218,N,F,Y,N,777,96.6,44.4,A2,As
-0.5,1,-0.351,N,F,Y,N,777,96.6,44.4,A2,As
0.5,2,0.587,N,F,Y,N,777,96.6,44.4,A2,As
-1.5,0,-3.021,N,M,Y,N,777,96.6,44.4,A2,At
-0.5,1,-0.194,N,M,Y,N,777,96.6,44.4,A2,At
0.5,2,-1.555,N,M,Y,N,777,96.6,44.4,A2,At
1.5,3,0.237,N,M,Y,N,777,96.6,44.4,A2,At
2.5,4,1.199,N,M,Y,N,777,96.6,44.4,A2,At
-2.5,0,-4.096,N,M,Y,N,777,96.6,44.4,A2,Au
-1.5,0,-1.76,Y,M,Y,N,777,96.6,44.4,A2,Au
-0.5,1,-1.185,N,M,Y,N,777,96.6,44.4,A2,Au
0.5,2,-1.132,N,M,Y,N,777,96.6,44.4,A2,Au
-1.5,0,-2.474,N,F,Y,N,777,96.6,44.4,A2,Av
-0.5,1,-2.528,N,F,Y,N,777,96.6,44.4,A2,Av
0.5,2,-2.406,N,F,Y,N,777,96.6,44.4,A2,Av
1.5,3,-1.235,N,F,Y,N,777,96.6,44.4,A2,Av
2.5,4,-0.835,N,F,Y,N,777,96.6,44.4,A2,Av
-1.5,0,-1.966,N,F,Y,N,777,96.6,44.4,A2,Aw
-0.5,1,-1.12,N,F,Y,N,777,96.6,44.4,A2,Aw
0.5,2,0.003,N,F,Y,N,777,96.6,44.4,A2,Aw
1.5,3,0.292,N,F,Y,N,777,96.6,44.4,A2,Aw
2.5,4,1.46,N,F,Y,N,777,96.6,44.4,A2,Aw
-1.5,0,-1.83,N,M,Y,N,777,96.6,44.4,A2,Ax
-0.5,0,-1.898,Y,M,Y,N,777,96.6,44.4,A2,Ax
0.5,1,-1.295,N,M,Y,N,777,96.6,44.4,A2,Ax
1.5,2,-0.702,N,M,Y,N,777,96.6,44.4,A2,Ax
2.5,3,-0.703,N,M,Y,N,777,96.6,44.4,A2,Ax
-2.5,0,-3.525,N,M,Y,N,777,96.6,44.4,A2,Ay
-1.5,0,-0.365,Y,M,Y,N,777,96.6,44.4,A2,Ay
-0.5,1,-0.574,N,M,Y,N,777,96.6,44.4,A2,Ay
-1.5,0,0.893,N,M,Y,N,777,96.6,44.4,A2,Az
-0.5,1,0.546,N,M,Y,N,777,96.6,44.4,A2,Az
0.5,2,1.485,N,M,Y,N,777,96.6,44.4,A2,Az
1.5,3,1.134,N,M,Y,N,777,96.6,44.4,A2,Az
2.5,4,1.623,N,M,Y,N,777,96.6,44.4,A2,Az
-1.5,0,-3.144,N,M,Y,N,777,96.6,44.4,A2,B0
-0.5,0,-2.162,Y,M,Y,N,777,96.6,44.4,A2,B0
0.5,1,-2.053,N,M,Y,N,777,96.6,44.4,A2,B0
1.5,2,0.22,N,M,Y,N,777,96.6,44.4,A2,B0
2.5,3,0.811,N,M,Y,N,777,96.6,44.4,A2,B0
-1.5,0,-1.541,N,M,Y,N,777,96.6,44.4,A2,B1
-0.5,1,-2.461,N,M,Y,N,777,96.6,44.4,A2,B1
0.5,2,-1.555,N,M,Y,N,777,96.6,44.4,A2,B1
1.5,3,-0.616,N,M,Y,N,777,96.6,44.4,A2,B1
2.5,4,0.749,N,M,Y,N,777,96.6,44.4,A2,B1
-0.5,1,0.658,N,M,Y,N,777,96.6,44.4,A2,B2
0.5,2,0.003,N,M,Y,N,777,96.6,44.4,A2,B2
1.5,3,0.873,N,M,Y,N,777,96.6,44.4,A2,B2
2.5,4,0.848,N,M,Y,N,777,96.6,44.4,A2,B2
-1.5,0,-1.83,N,M,Y,N,777,96.6,44.4,A2,B3
-0.5,1,-2.136,N,M,Y,N,777,96.6,44.4,A2,B3
0.5,2,-1.236,N,M,Y,N,777,96.6,44.4,A2,B3
1.5,3,0.292,N,M,Y,N,777,96.6,44.4,A2,B3
2.5,4,-0.116,N,M,Y,N,777,96.6,44.4,A2,B3
0.5,1,-1.934,N,M,Y,N,777,96.6,44.4,A2,B4
1.5,2,-0.823,N,M,Y,N,777,96.6,44.4,A2,B4
2.5,3,-0.264,N,M,Y,N,777,96.6,44.4,A2,B4
0.5,1,-1.757,N,F,Y,N,777,96.6,44.4,A2,B5
1.5,2,-1.732,N,F,Y,N,777,96.6,44.4,A2,B5
2.5,3,-0.759,N,F,Y,N,777,96.6,44.4,A2,B5
-1.5,0,-2.96,N,F,Y,N,777,96.6,44.4,A2,B6
-0.5,0,-2.032,Y,F,Y,N,777,96.6,44.4,A2,B6
0.5,1,-1.468,N,F,Y,N,777,96.6,44.4,A2,B6
1.5,2,-1.608,N,F,Y,N,777,96.6,44.4,A2,B6
2.5,4,-1.229,N,F,Y,N,777,96.6,44.4,A2,B6
-1.5,0,-3.46,N,F,Y,N,777,96.6,44.4,A2,B7
-0.5,0,-2.474,Y,F,Y,N,777,96.6,44.4,A2,B7
0.5,1,-1.295,N,F,Y,N,777,96.6,44.4,A2,B7
1.5,2,-1.303,N,F,Y,N,777,96.6,44.4,A2,B7
2.5,3,-0.264,N,F,Y,N,777,96.6,44.4,A2,B7
-1.5,0,-2.097,N,M,Y,N,777,96.6,44.4,A2,B8
-0.5,1,-2.009,N,M,Y,N,777,96.6,44.4,A2,B8
0.5,2,-1.236,N,M,Y,N,777,96.6,44.4,A2,B8
-1.5,0,-2.032,N,F,Y,N,777,96.6,44.4,A2,B9
-0.5,1,-1.568,N,F,Y,N,777,96.6,44.4,A2,B9
0.5,2,-1.778,N,F,Y,N,777,96.6,44.4,A2,B9
1.5,3,-0.945,N,F,Y,N,777,96.6,44.4,A2,B9
2.5,4,-0.975,N,F,Y,N,777,96.6,44.4,A2,B9
-1.5,0,-2.596,N,F,Y,N,777,96.6,44.4,A2,BA
-0.5,1,-2.873,N,F,Y,N,777,96.6,44.4,A2,BA
0.5,2,-1.778,N,F,Y,N,777,96.6,44.4,A2,BA
1.5,3,-1.296,N,F,Y,N,777,96.6,44.4,A2,BA
2.5,4,0.352,N,F,Y,N,777,96.6,44.4,A2,BA
-1.5,0,-2.657,N,F,Y,N,777,96.6,44.4,A2,BB
-0.5,1,-2.136,N,F,Y,N,777,96.6,44.4,A2,BB
0.5,2,-0.725,N,F,Y,N,777,96.6,44.4,A2,BB
-1.5,0,-0.221,N,F,Y,N,777,96.6,44.4,A2,BC
-0.5,1,-0.785,N,F,Y,N,777,96.6,44.4,A2,BC
0.5,2,0.995,N,F,Y,N,777,96.6,44.4,A2,BC
-0.5,1,-0.365,N,F,Y,N,777,96.6,44.4,A2,BD
0.5,2,0.003,N,F,Y,N,777,96.6,44.4,A2,BD
1.5,3,0.751,N,F,Y,N,777,96.6,44.4,A2,BD
2.5,4,0.848,N,F,Y,N,777,96.6,44.4,A2,BD
0.5,2,0.343,N,F,Y,N,777,96.6,44.4,A2,BE
1.5,3,1.498,N,F,Y,N,777,96.6,44.4,A2,BE
2.5,4,2.231,N,F,Y,N,777,96.6,44.4,A2,BE
-1.5,0,-0.733,N,M,Y,N,777,96.6,44.4,A2,BF
-0.5,1,-0.194,N,M,Y,N,777,96.6,44.4,A2,BF
0.5,2,0.716,N,M,Y,N,777,96.6,44.4,A2,BF
1.5,3,0.691,N,M,Y,N,777,96.6,44.4,A2,BF
-0.5,1,-2.009,N,F,Y,N,777,96.6,44.4,A2,BG
0.5,2,-1.665,N,F,Y,N,777,96.6,44.4,A2,BG
1.5,3,-0.456,N,F,Y,N,777,96.6,44.4,A2,BG
2.5,4,0.352,N,F,Y,N,777,96.6,44.4,A2,BG
-1.5,0,-1.898,N,M,Y,N,777,96.6,44.4,A2,BH
-0.5,1,1.194,N,M,Y,N,777,96.6,44.4,A2,BH
0.5,2,0.343,N,M,Y,N,777,96.6,44.4,A2,BH
-0.5,1,-1.054,N,F,Y,N,777,96.6,44.4,A2,BI
0.5,2,-0.522,N,F,Y,N,777,96.6,44.4,A2,BI
1.5,3,0.573,N,F,Y,N,777,96.6,44.4,A2,BI
2.5,4,1.514,N,F,Y,N,777,96.6,44.4,A2,BI
-1.5,0,-1.898,N,F,Y,N,777,96.6,44.4,A2,BJ
-0.5,1,-1.694,N,F,Y,N,777,96.6,44.4,A2,BJ
0.5,2,-1.665,N,F,Y,N,777,96.6,44.4,A2,BJ
1.5,3,-0.244,N,F,Y,N,777,96.6,44.4,A2,BJ
-1.5,0,-2.097,N,M,Y,N,777,96.6,44.4,A2,BK
-0.5,0,-2.225,Y,M,Y,N,777,96.6,44.4,A2,BK
0.5,1,-2.235,N,M,Y,N,777,96.6,44.4,A2,BK
1.5,2,-0.762,N,M,Y,N,777,96.6,44.4,A2,BK
2.5,3,-0.873,N,M,Y,N,777,96.6,44.4,A2,BK
-1.5,0,-1.616,N,M,Y,N,800,78.9,31.7,A3,BL
-0.5,1,-1.83,N,M,Y,N,800,78.9,31.7,A3,BL
0.5,2,-1.132,N,M,Y,N,800,78.9,31.7,A3,BL
1.5,3,-0.616,N,M,Y,N,800,78.9,31.7,A3,BL
2.5,4,-0.062,N,M,Y,N,800,78.9,31.7,A3,BL
-0.5,1,-2.395,N,F,Y,N,800,78.9,31.7,A3,BM
0.5,2,0.003,N,F,Y,N,800,78.9,31.7,A3,BM
1.5,3,-1.42,N,F,Y,N,800,78.9,31.7,A3,BM
2.5,4,-0.225,N,F,Y,N,800,78.9,31.7,A3,BM
-2.5,0,-2.413,N,M,Y,N,800,78.9,31.7,A3,BN
-1.5,0,-1.384,Y,M,Y,N,800,78.9,31.7,A3,BN
-0.5,1,-0.427,N,M,Y,N,800,78.9,31.7,A3,BN
0.5,2,0.114,N,M,Y,N,800,78.9,31.7,A3,BN
1.5,3,0.573,N,M,Y,N,800,78.9,31.7,A3,BN
2.5,4,1.047,N,M,Y,N,800,78.9,31.7,A3,BN
0.5,2,-1.894,N,F,Y,N,800,78.9,31.7,A3,BO
1.5,3,-1.235,N,F,Y,N,800,78.9,31.7,A3,BO
2.5,4,0.044,N,F,Y,N,800,78.9,31.7,A3,BO
-1.5,0,-2.162,N,F,Y,N,800,78.9,31.7,A3,BP
-0.5,1,-2.136,N,F,Y,N,800,78.9,31.7,A3,BP
0.5,2,-0.522,N,F,Y,N,800,78.9,31.7,A3,BP
1.5,3,0.632,N,F,Y,N,800,78.9,31.7,A3,BP
2.5,4,1.25,N,F,Y,N,800,78.9,31.7,A3,BP
0.5,2,0.716,N,M,Y,N,800,78.9,31.7,A3,BQ
1.5,3,0.237,N,M,Y,N,800,78.9,31.7,A3,BQ
2.5,4,0.897,N,M,Y,N,800,78.9,31.7,A3,BQ
0.5,2,2.14,N,F,Y,N,800,78.9,31.7,A3,BR
1.5,3,-0.403,N,F,Y,N,800,78.9,31.7,A3,BR
2.5,4,1.148,N,F,Y,N,800,78.9,31.7,A3,BR
0.5,2,0.587,N,M,Y,N,800,78.9,31.7,A3,BS
1.5,3,0.237,N,M,Y,N,800,78.9,31.7,A3,BS
