ms,hh,depend,age,f1040a,f1040ez,tpi,txrt,mr,emp,prep,tax,subject,time,lntpi,lntax
0,0,1,1,0,0,26456.994,22.0,35.0,0,1,1532.6425,101,1,10.183276,7.335401
0,0,1,0,0,1,1935.7513,0.0,0.0,0,1,0.0,102,1,7.5682507,0.0
0,0,1,0,0,1,12351.295,22.0,22.0,0,0,1464.2487,103,1,9.421516,7.28978
0,0,1,0,0,1,11648.705,19.0,19.0,0,0,1322.2798,104,1,9.36295,7.1878686
0,0,1,0,0,0,26312.953,35.0,35.0,0,0,5266.3213,105,1,10.177816,8.569277
0,0,1,0,0,1,10674.611,19.0,19.0,0,0,1145.0778,106,1,9.275623,7.0441008
0,0,1,0,0,0,30891.191,35.0,40.0,0,0,6681.865,107,1,10.338226,8.807302
0,0,1,0,0,1,2419.6892,0.0,0.0,0,0,0.0,108,1,7.791394,0.0
0,1,2,0,1,0,14063.213,20.0,20.0,0,0,1526.4249,109,1,9.551317,7.3313384
1,0,2,0,0,0,44088.082,39.0,39.0,0,0,8931.606,110,1,10.693945,9.097464
0,1,2,0,0,0,21876.684,28.0,28.0,0,0,3303.627,111,1,9.993176,8.103079
1,0,4,0,0,0,33053.887,25.0,29.0,0,0,3726.4248,112,1,10.405894,8.223473
1,0,2,0,0,0,24757.514,25.0,25.0,0,1,3477.7202,113,1,10.116884,8.15442
1,0,2,0,0,0,38059.066,33.0,33.0,0,1,7152.3315,114,1,10.546895,8.875334
1,0,2,0,0,0,24381.348,16.0,25.0,1,1,1148.1865,115,1,10.101574,7.0468097
0,1,3,0,1,0,18861.14,23.0,23.0,0,0,2356.4766,116,1,9.844859,7.765347
0,0,1,0,0,0,26746.113,31.0,35.0,0,1,4442.487,117,1,10.194144,8.399195
0,0,1,0,0,0,10255.959,16.0,19.0,0,0,534.715,118,1,9.235614,6.283602
1,0,4,0,1,0,23918.135,22.0,22.0,0,0,2787.5647,119,1,10.082393,7.9332824
1,0,2,1,0,0,98117.1,49.0,50.0,0,0,26248.705,120,1,11.4939165,10.17541
0,0,1,0,0,0,28303.627,31.0,35.0,0,1,3590.6736,121,1,10.250745,8.186374
1,0,6,0,0,0,10498.445,0.0,0.0,1,1,0.0,122,1,9.258983,0.0
1,0,5,0,0,0,38244.56,33.0,33.0,0,0,5852.8496,123,1,10.551757,8.674855
1,0,2,0,1,0,28166.84,29.0,29.0,0,0,4280.829,124,1,10.245901,8.362136
1,0,5,0,0,0,29690.156,22.0,25.0,0,0,2145.0776,125,1,10.298571,7.671397
0,1,2,0,1,0,9249.741,16.0,16.0,0,0,496.37305,126,1,9.132351,6.2093406
1,0,4,0,0,0,18623.834,16.0,19.0,1,1,1216.5803,127,1,9.832197,7.104621
1,0,4,0,1,0,24196.89,22.0,22.0,0,1,2844.5596,128,1,10.09398,7.953515
0,0,1,1,0,0,13046.632,19.0,19.0,0,0,1390.6736,129,1,9.476285,7.238262
1,0,2,0,0,0,37338.86,33.0,33.0,0,1,6174.0933,130,1,10.52779,8.728279
0,0,1,0,0,0,21403.11,31.0,31.0,0,0,3355.4404,131,1,9.971292,8.118636
0,0,1,0,0,1,8558.549,17.0,17.0,0,0,766.83936,132,1,9.054686,6.6435804
1,0,2,0,0,0,43835.234,39.0,39.0,0,1,7780.311,133,1,10.688193,8.95948
1,0,2,0,0,0,34482.902,33.0,33.0,0,1,4992.746,134,1,10.448219,8.515942
1,0,4,0,0,0,26581.348,22.0,25.0,0,1,2867.3574,135,1,10.187965,7.961495
1,0,5,0,0,0,38534.715,25.0,33.0,0,1,2940.9326,136,1,10.559315,7.986822
0,1,3,0,0,0,14239.378,20.0,20.0,0,0,820.7254,137,1,9.5637665,6.711406
1,0,6,0,1,0,29617.617,25.0,25.0,0,0,3659.0674,138,1,10.296124,8.205236
1,0,5,0,0,0,10145.078,0.0,12.0,0,0,0.0,139,1,9.224744,0.0
1,0,3,1,0,0,14540.933,16.0,16.0,0,0,768.9119,140,1,9.5847225,6.646276
1,0,2,0,0,0,46531.605,33.0,39.0,0,0,6331.6064,141,1,10.747887,8.753468
0,0,1,0,0,1,9854.922,19.0,19.0,0,0,987.56476,142,1,9.195726,6.896254
1,0,2,1,0,0,46030.05,33.0,39.0,0,1,7587.565,143,1,10.73705,8.934398
0,0,1,0,0,1,3140.9326,0.0,0.0,0,0,0.0,144,1,8.052275,0.0
1,0,5,0,1,0,19026.943,19.0,19.0,0,0,1509.8446,145,1,9.853611,7.320424
1,0,2,0,0,0,44112.953,33.0,39.0,0,0,6702.591,146,1,10.694509,8.810399
1,0,3,0,1,0,14347.15,16.0,16.0,0,0,1075.6477,147,1,9.571306,6.9816074
0,0,1,0,1,0,1934.715,0.0,0.0,0,1,0.0,148,1,7.567715,0.0
1,0,4,0,0,0,34012.434,29.0,29.0,0,0,4358.5493,149,1,10.434482,8.380124
0,0,1,0,0,0,21056.994,27.0,31.0,0,1,2477.7202,150,1,9.9549885,7.815498
1,0,5,0,0,0,33006.22,22.0,29.0,1,0,1702.5907,151,1,10.404451,7.4404936
0,0,1,0,0,1,8817.616,17.0,17.0,0,0,810.3627,152,1,9.084507,6.698715
0,0,1,0,0,1,10747.15,19.0,19.0,0,1,1154.4042,153,1,9.282396,7.0522056
0,0,1,0,0,0,20783.42,23.0,31.0,0,1,2134.715,154,1,9.941911,7.666557
1,0,3,0,0,0,42398.965,22.0,39.0,1,0,2425.9067,155,1,10.65488,7.7943726
1,0,2,0,0,0,83740.93,49.0,49.0,0,0,19398.963,156,1,11.335484,9.873027
1,0,3,0,0,0,9683.9375,14.0,14.0,0,1,0.0,157,1,9.178224,0.0
1,0,4,0,1,0,9429.016,0.0,12.0,0,0,0.0,158,1,9.151547,0.0
1,0,3,0,0,0,73739.9,33.0,49.0,1,0,7002.0728,159,1,11.2083,8.854104
1,0,5,0,1,0,26767.875,25.0,25.0,0,1,3205.1814,160,1,10.194958,8.072836
1,0,6,0,1,0,29151.295,25.0,25.0,0,0,3360.6218,161,1,10.280254,8.120179
1,0,6,0,1,0,13099.481,14.0,14.0,0,1,424.87045,162,1,9.480328,6.0541353
1,0,3,0,0,0,19673.574,19.0,19.0,0,0,2080.829,163,1,9.887032,7.641002
0,0,1,0,1,0,3043.5234,0.0,0.0,0,0,0.0,164,1,8.020771,0.0
0,1,2,0,1,0,461.1399,0.0,0.0,0,1,0.0,165,1,6.1337013,0.0
1,0,4,0,0,0,35753.367,29.0,33.0,0,1,4220.7256,166,1,10.4844,8.348
1,0,2,0,0,0,17927.46,19.0,19.0,1,1,1421.7617,167,1,9.794089,7.260355
1,0,2,1,0,0,8416.58,0.0,12.0,1,1,0.0,168,1,9.037959,0.0
1,0,3,0,1,0,31855.959,29.0,29.0,0,0,4972.0205,169,1,10.368979,8.511783
1,0,3,0,0,0,9670.467,0.0,14.0,1,1,0.0,170,1,9.176832,0.0
1,0,4,0,1,0,14508.809,16.0,16.0,0,1,918.1347,171,1,9.582511,6.823433
1,0,2,0,0,0,35208.29,29.0,33.0,0,1,5543.0054,172,1,10.469037,8.620473
0,0,1,0,0,1,11824.87,19.0,19.0,0,1,1361.6581,173,1,9.37796,7.2171926
0,1,2,0,0,0,41076.684,38.0,41.0,0,1,8398.964,174,1,10.623196,9.035983
0,0,1,0,1,0,25329.533,31.0,31.0,0,0,4956.4766,175,1,10.139727,8.508652
0,0,1,0,0,1,2305.6995,0.0,0.0,0,0,0.0,176,1,7.7431393,0.0
1,0,3,0,0,0,38276.684,29.0,33.0,0,0,5588.601,177,1,10.552596,8.628663
0,0,1,0,0,1,4850.7773,14.0,14.0,0,0,177.20207,178,1,8.486895,5.182918
1,0,2,0,0,0,41025.906,33.0,39.0,1,0,7477.72,179,1,10.621959,8.919817
0,0,1,0,0,0,29461.14,35.0,35.0,0,1,5710.881,180,1,10.290828,8.650304
1,0,4,0,0,0,56764.766,39.0,44.0,0,0,8865.285,181,1,10.9466715,9.090012
0,0,1,0,0,1,1533.6787,0.0,0.0,0,0,0.0,182,1,7.3354244,0.0
1,0,2,0,0,0,51610.363,39.0,44.0,0,1,8649.741,183,1,10.851478,9.0654
0,1,4,0,1,0,12343.005,16.0,16.0,0,0,802.0725,184,1,9.420845,6.688445
0,1,2,0,1,0,728.49744,0.0,0.0,0,0,0.0,185,1,6.590984,0.0
1,0,4,0,0,0,61937.824,39.0,44.0,0,1,9850.777,186,1,11.033886,9.195407
0,0,1,0,1,0,9663.213,17.0,17.0,0,0,951.29535,187,1,9.176082,6.8588753
1,0,3,0,0,0,70629.016,44.0,49.0,0,0,16435.232,188,1,11.165196,9.707244
1,0,2,0,0,0,11984.456,0.0,16.0,1,1,0.0,189,1,9.391366,0.0
1,0,2,0,0,0,1.0362694,0.0,0.0,1,1,0.0,190,1,0.03562718,0.0
0,0,1,0,0,1,30871.502,35.0,35.0,0,0,6925.3887,191,1,10.337589,8.843094
1,0,4,0,0,0,44169.95,33.0,39.0,0,1,7717.0986,192,1,10.6958,8.9513235
1,0,2,0,0,0,34168.91,29.0,33.0,0,1,4416.58,193,1,10.439072,8.393348
0,0,1,0,0,0,30141.969,31.0,35.0,0,0,4907.772,194,1,10.313674,8.498779
1,0,3,0,0,0,25748.188,22.0,25.0,0,1,2556.4766,195,1,10.156119,7.8467765
1,0,2,1,0,0,9292.228,12.0,12.0,0,0,137.82384,196,1,9.136933,4.9332056
1,0,4,0,0,0,49611.4,39.0,39.0,0,0,8305.699,197,1,10.8119755,9.024817
1,0,4,0,0,0,32923.316,25.0,29.0,1,1,3940.9326,198,1,10.401937,8.279427
1,0,2,1,0,0,16421.762,19.0,19.0,1,0,1461.1399,199,1,9.706363,7.2876563
1,0,2,0,0,0,38732.64,33.0,39.0,0,1,7083.938,200,1,10.564438,8.865726
1,0,2,1,0,0,27953.367,22.0,25.0,0,1,2969.9482,201,1,10.238293,7.9966364
0,0,1,0,0,0,1.0362694,0.0,0.0,1,1,0.0,202,1,0.03562718,0.0
0,0,1,0,0,1,2156.4766,0.0,0.0,0,0,0.0,203,1,7.676231,0.0
0,0,2,0,0,0,21353.367,27.0,31.0,0,1,2770.9844,204,1,9.968965,7.9273186
1,0,2,1,0,0,19931.605,19.0,19.0,1,1,1480.829,205,1,9.900062,7.3010325
1,0,3,0,0,0,20978.238,22.0,22.0,0,1,2343.0051,206,1,9.951241,7.7596164
1,0,5,0,0,0,14177.202,16.0,16.0,0,1,710.88086,207,1,9.55939,6.5679107
1,0,2,0,1,0,10901.555,16.0,16.0,0,0,694.30054,208,1,9.29666,6.544344
1,0,4,0,0,0,47913.99,29.0,39.0,0,0,5669.43,209,1,10.777163,8.643021
1,0,5,0,0,0,38625.906,29.0,33.0,0,0,3967.8757,210,1,10.561679,8.286238
0,0,1,0,0,1,8609.326,17.0,17.0,0,0,775.1295,211,1,9.060601,6.6543193
1,0,3,0,0,0,17010.363,19.0,19.0,0,1,1559.5854,212,1,9.741578,7.3528166
1,0,4,0,0,0,27461.14,19.0,25.0,0,0,1883.9379,213,1,10.220528,7.5416503
1,0,4,0,0,0,37662.176,29.0,33.0,0,1,4927.461,214,1,10.536411,8.502782
1,0,4,0,0,0,38640.414,29.0,33.0,0,0,4461.14,215,1,10.562054,8.403383
0,0,1,1,0,0,14048.705,22.0,22.0,1,1,1415.5441,216,1,9.550285,7.2559752
1,0,4,0,0,0,45150.258,29.0,39.0,1,1,4708.808,217,1,10.7177515,8.457402
1,0,3,0,0,0,13038.342,0.0,16.0,0,0,0.0,218,1,9.47565,0.0
1,0,4,0,0,0,45689.12,25.0,39.0,1,1,2396.891,219,1,10.729615,7.782345
0,1,2,1,0,0,8637.306,12.0,14.0,0,1,0.0,220,1,9.063846,0.0
1,0,2,0,0,0,38547.15,25.0,33.0,1,0,3723.3162,221,1,10.559637,8.222638
0,0,1,0,0,1,674.6114,0.0,0.0,0,0,0.0,222,1,6.514137,0.0
0,0,1,0,1,0,10282.901,16.0,19.0,0,0,402.07254,223,1,9.238237,5.9991164
0,0,1,0,0,1,6785.492,16.0,16.0,0,0,468.39377,224,1,8.822542,6.151442
0,0,1,0,0,1,12747.15,22.0,22.0,0,0,1544.0415,225,1,9.453063,7.342806
1,0,4,0,0,0,11503.627,16.0,19.0,0,0,568.9119,226,1,9.350418,6.345482
0,0,3,0,1,0,10749.223,17.0,17.0,0,0,784.45593,227,1,9.282589,6.6662645
0,0,1,0,0,1,14684.974,23.0,23.0,0,0,1979.2747,228,1,9.59458,7.590991
1,0,3,0,0,0,43296.375,29.0,39.0,0,0,5119.171,229,1,10.675824,8.540943
0,0,1,0,0,0,15765.803,23.0,23.0,0,0,2230.0518,230,1,9.665599,7.7102284
1,0,3,0,0,0,50958.55,33.0,44.0,0,1,7546.114,231,1,10.838768,8.928921
1,0,6,0,0,0,32692.229,22.0,29.0,1,1,2292.228,232,1,10.394893,7.7377157
1,0,3,0,1,0,12675.647,16.0,16.0,0,0,735.7513,233,1,9.447438,6.6022506
0,0,1,0,0,1,1404.145,0.0,0.0,0,0,0.0,234,1,7.247184,0.0
1,0,4,0,0,0,19700.518,19.0,19.0,0,0,1756.4767,235,1,9.8884,7.4716344
0,0,1,0,1,0,22767.875,31.0,31.0,0,0,4133.6787,236,1,10.033106,8.327165
1,0,2,0,0,0,78661.14,49.0,49.0,0,1,22849.74,237,1,11.272904,10.036738
1,0,2,0,0,0,76912.95,39.0,49.0,0,0,9983.42,238,1,11.250429,9.208781
1,0,2,0,0,0,55066.32,39.0,44.0,0,1,7900.518,239,1,10.916293,8.974811
0,1,4,0,0,0,13234.197,20.0,20.0,0,1,229.01555,240,1,9.49056,5.438147
0,0,1,0,0,1,1279.7927,0.0,0.0,0,0,0.0,241,1,7.1544533,0.0
1,0,2,1,0,0,13856.995,16.0,16.0,0,1,735.7513,242,1,9.536546,6.6022506
1,0,3,0,0,0,44048.703,39.0,39.0,0,1,7739.8965,243,1,10.693051,8.954273
0,0,1,0,0,1,8760.622,17.0,17.0,0,0,802.0725,244,1,9.078022,6.688445
1,0,3,0,0,0,27389.637,22.0,25.0,0,1,1806.2177,245,1,10.21792,7.4995437
0,0,3,0,0,0,25301.555,23.0,31.0,0,1,1794.8186,246,1,10.138621,7.493216
1,0,2,1,0,0,25420.725,25.0,25.0,0,1,3115.026,247,1,10.14332,8.044313
1,0,2,0,0,0,32705.7,29.0,29.0,0,1,4761.658,248,1,10.395305,8.468561
1,0,4,0,0,0,67953.37,33.0,49.0,0,1,7370.9844,249,1,11.126577,8.905442
0,0,1,0,0,0,9055.959,17.0,17.0,1,1,698.4456,250,1,9.111178,6.550288
0,0,1,0,0,0,8134.715,16.0,17.0,0,0,574.09326,251,1,9.003896,6.3545322
0,0,1,0,0,1,12861.14,22.0,22.0,0,0,1578.2383,252,1,9.461966,7.364698
0,1,2,0,0,0,18039.379,23.0,23.0,0,1,2391.71,253,1,9.800312,7.780182
0,1,4,0,0,0,8613.472,0.0,12.0,1,1,0.0,254,1,9.061083,0.0
1,0,3,0,1,0,22301.555,22.0,22.0,0,0,2536.7876,255,1,10.012412,7.839048
0,1,2,0,0,0,24307.771,23.0,28.0,0,0,2924.3523,256,1,10.098552,7.98117
1,0,3,0,1,0,21244.56,22.0,22.0,0,0,2377.2021,257,1,9.963856,7.7741
0,0,1,1,0,0,12363.73,19.0,19.0,0,1,1218.6528,258,1,9.422523,7.1063213
1,0,2,0,0,0,26238.955,23.0,23.0,0,0,3399.5984,1,2,10.175,8.131706
1,0,3,0,1,0,8930.723,13.0,13.0,0,0,102.40964,2,2,9.097253,4.638698
0,0,1,0,0,1,2378.5142,0.0,0.0,0,0,0.0,3,2,7.7742314,0.0
0,0,1,1,0,0,11882.53,15.0,17.0,0,1,602.40967,4,2,9.382825,6.4025965
1,0,2,0,0,0,26816.266,23.0,26.0,0,0,2982.9316,5,2,10.196764,8.000998
1,0,5,0,0,0,66727.914,40.0,44.0,0,0,11506.024,6,2,11.108378,9.350713
1,0,2,1,0,0,15467.871,13.0,15.0,1,1,167.67068,7,2,9.646521,5.1279483
1,0,2,0,0,0,91203.81,35.0,48.0,1,0,8438.755,8,2,11.420852,9.040709
1,0,3,0,0,0,14654.618,15.0,15.0,0,1,848.39355,9,2,9.592511,6.7445226
0,0,1,0,0,1,7836.345,15.0,15.0,0,0,488.9558,10,2,8.966528,6.1943154
1,0,2,0,1,0,28573.293,26.0,26.0,0,0,3847.3896,11,2,10.260228,8.25541
0,0,1,0,0,1,103.41366,0.0,0.0,0,0,0.0,12,2,4.638737,0.0
1,0,2,1,0,0,18494.98,15.0,17.0,0,0,871.48596,13,2,9.825254,6.7713466
1,0,5,0,0,0,36826.305,26.0,30.0,0,1,4017.0684,14,2,10.5139675,8.298556
1,0,2,0,0,0,23979.92,23.0,23.0,1,0,2753.012,15,2,10.084972,7.920814
0,0,1,0,0,0,23738.955,21.0,28.0,0,1,1283.1326,16,2,10.074873,7.157839
0,1,2,0,0,0,25035.14,25.0,25.0,0,0,3304.2168,17,2,10.128036,8.103257
1,0,2,0,0,0,35303.21,0.0,30.0,1,1,0.0,18,2,10.471729,0.0
1,0,4,0,0,0,27637.55,19.0,23.0,0,1,2134.538,19,2,10.226931,7.666474
1,0,2,0,0,0,380367.47,50.0,50.0,0,1,48192.77,20,2,12.848893,10.782985
1,0,2,0,0,0,61695.78,35.0,40.0,0,0,9382.53,21,2,11.029971,9.146711
0,0,1,0,1,0,12610.441,17.0,19.0,0,0,1061.245,22,2,9.442281,6.9681396
1,0,4,0,0,0,25420.684,19.0,23.0,0,0,2093.3735,23,2,10.143318,7.64701
0,0,1,0,1,0,20300.201,28.0,28.0,0,0,3178.7148,24,2,9.918386,8.064547
0,0,1,0,0,0,9918.675,0.0,17.0,1,0,0.0,25,2,9.202174,0.0
1,0,2,1,0,0,23084.338,11.0,19.0,1,1,128.51405,26,2,10.046909,4.8637896
1,0,2,0,0,0,18172.691,17.0,19.0,0,0,1781.1245,27,2,9.807675,7.4855614
0,1,4,0,1,0,6409.6387,11.0,11.0,0,0,0.0,28,2,8.765558,0.0
