case,wemp,husunemp,time,under1,under5,age
325,1,0,6,0,0,-13
325,1,0,7,0,0,-12
325,0,0,8,1,1,-11
325,0,0,9,0,1,-10
325,0,0,10,0,1,-9
325,0,0,11,1,1,-8
325,0,0,12,0,1,-7
328,1,0,11,0,0,-2
328,0,0,12,0,0,-1
334,1,0,4,0,0,-14
334,1,0,5,0,0,-13
334,1,0,6,0,0,-12
334,1,0,7,0,0,-11
334,1,0,8,0,0,-10
334,0,0,9,1,1,-9
334,0,0,10,0,1,-8
334,0,0,11,0,1,-7
334,0,0,12,1,1,-6
340,1,0,6,0,1,-3
340,1,0,7,1,1,-2
340,1,0,8,0,1,-1
340,1,1,9,1,1,0
340,1,1,10,0,1,1
340,1,0,11,0,1,2
340,1,0,12,0,1,3
346,1,0,2,0,0,-11
346,0,0,3,0,0,-10
346,0,0,4,1,1,-9
346,0,0,5,0,1,-8
346,0,0,6,0,1,-7
346,0,0,7,0,1,-6
346,0,0,8,1,1,-5
346,0,0,9,0,1,-4
346,1,1,10,0,1,-3
346,0,0,11,0,1,-2
346,1,0,12,0,1,-1
351,1,0,-1,0,0,-15
351,1,0,0,0,0,-14
351,1,0,1,0,0,-13
351,1,0,2,0,0,-12
351,1,0,3,0,0,-11
351,1,0,4,0,0,-10
351,0,0,5,0,0,-9
351,0,0,6,1,1,-8
351,0,0,7,1,1,-7
351,0,0,8,0,1,-6
351,0,0,9,1,1,-5
351,1,0,10,0,1,-4
351,1,0,11,0,1,-3
351,1,0,12,0,1,-2
355,1,0,-1,0,1,-7
355,1,0,0,0,1,-6
355,1,0,1,0,1,-5
355,1,0,2,0,0,-4
355,1,0,3,0,0,-3
355,1,0,4,0,0,-2
355,1,0,5,0,0,-1
355,1,0,6,0,0,0
355,1,0,7,0,0,1
355,1,0,8,0,0,2
355,1,0,9,0,0,3
355,1,0,10,0,0,4
355,1,0,11,0,0,5
355,1,0,12,0,0,6
364,0,0,-1,1,1,-15
364,0,1,0,1,1,-14
364,0,0,1,0,1,-13
364,0,0,2,0,1,-12
364,0,0,3,0,1,-11
364,0,0,4,0,1,-10
364,0,0,5,0,0,-9
364,0,0,6,0,0,-8
364,0,0,7,1,1,-7
364,0,1,8,0,1,-6
364,0,1,9,0,1,-5
364,0,1,10,0,1,-4
364,0,1,11,0,1,-3
364,0,1,12,0,0,-2
372,1,0,0,0,0,-11
372,1,0,1,0,0,-10
372,1,0,2,0,0,-9
372,1,0,3,0,0,-8
372,1,0,4,0,0,-7
372,1,0,5,0,0,-6
372,1,0,6,0,0,-5
372,1,0,7,0,0,-4
372,1,0,8,0,0,-3
372,1,0,9,0,0,-2
372,1,0,10,0,0,-1
372,1,0,11,0,0,0
372,1,0,12,0,0,1
383,1,0,9,0,0,-8
383,1,0,10,0,0,-7
383,0,0,11,1,1,-6
383,0,0,12,0,1,-5
385,1,0,7,0,0,-10
385,1,1,8,1,1,-9
385,1,0,9,0,1,-8
385,1,0,10,0,1,-7
385,0,0,11,0,1,-6
385,0,0,12,0,1,-5
390,1,0,2,0,0,-6
390,1,0,3,0,0,-5
390,1,0,4,0,0,-4
390,1,0,5,0,0,-3
390,1,0,6,0,0,-2
390,1,0,7,0,0,-1
390,1,0,8,0,0,0
390,0,0,9,1,1,1
390,0,0,10,0,1,2
390,0,0,11,1,1,3
390,0,0,12,0,1,4
392,0,1,0,0,0,-14
392,0,1,1,1,1,-13
392,1,0,2,0,1,-12
392,1,0,3,0,1,-11
392,0,1,4,0,1,-10
392,0,1,5,0,1,-9
392,0,1,6,0,0,-8
392,0,1,7,0,0,-7
392,0,1,8,0,0,-6
392,0,1,9,0,0,-5
392,0,1,10,1,1,-4
392,0,1,11,0,1,-3
392,0,1,12,0,1,-2
393,1,0,-1,0,0,-14
393,1,0,0,0,0,-13
393,1,0,1,0,0,-12
393,1,0,2,0,0,-11
393,1,0,3,0,0,-10
393,1,0,4,0,0,-9
393,1,0,5,0,0,-8
393,1,0,6,0,0,-7
393,1,0,7,0,0,-6
393,1,0,8,0,0,-5
393,1,0,9,0,0,-4
393,1,0,10,0,0,-3
393,1,0,11,0,0,-2
393,0,0,12,1,1,-1
397,0,0,-1,0,1,-6
397,1,0,0,0,1,-5
397,1,0,1,0,1,-4
397,0,0,2,0,1,-3
397,0,0,3,0,0,-2
397,1,0,4,0,0,-1
397,1,0,5,0,0,0
397,1,0,6,0,0,1
397,1,0,7,0,0,2
397,1,0,8,0,0,3
397,1,0,9,0,0,4
397,1,0,10,0,0,5
397,1,0,11,0,0,6
397,1,0,12,0,0,7
400,1,0,7,0,0,-5
400,1,0,8,0,0,-4
400,0,0,9,0,0,-3
400,0,0,10,0,0,-2
400,1,0,11,0,0,-1
400,1,0,12,0,0,0
411,1,0,6,1,1,-5
411,0,0,7,0,1,-4
411,1,0,8,0,1,-3
411,1,0,9,0,1,-2
411,1,0,10,0,1,-1
411,0,0,11,1,1,0
411,1,0,12,0,1,1
413,1,0,6,0,0,-13
413,1,0,7,0,0,-12
413,1,0,8,0,0,-11
413,1,0,9,0,0,-10
413,1,0,10,0,0,-9
413,1,0,11,0,0,-8
413,0,0,12,1,1,-7
428,1,0,11,0,0,8
428,1,0,12,0,0,9
430,0,0,-1,0,0,12
430,0,0,0,0,0,13
430,0,0,1,0,0,14
430,0,0,2,0,0,15
430,0,0,3,0,0,16
430,0,0,4,0,0,17
430,0,0,5,0,0,18
430,0,0,6,0,0,19
430,0,0,7,0,0,20
430,0,0,8,0,0,21
430,0,0,9,0,0,22
430,0,0,10,0,0,23
430,0,0,11,0,0,24
432,0,0,-1,0,1,-12
432,1,0,0,0,1,-11
432,1,0,1,0,0,-10
432,0,0,2,0,0,-9
432,1,0,3,0,0,-8
432,1,0,4,0,0,-7
432,1,0,5,0,0,-6
432,1,0,6,0,0,-5
432,1,0,7,0,0,-4
432,1,0,8,0,0,-3
432,1,0,9,0,0,-2
432,1,0,10,0,0,-1
432,1,0,11,0,0,0
432,1,0,12,0,0,1
444,1,0,3,0,0,-17
444,1,0,4,0,0,-16
444,0,0,5,1,1,-15
444,0,1,6,0,1,-14
444,1,1,7,0,1,-13
444,1,1,8,0,1,-12
444,1,1,9,0,1,-11
444,1,1,10,0,0,-10
444,1,1,11,0,0,-9
444,1,1,12,0,0,-8
453,0,1,7,0,1,-7
453,0,1,8,1,1,-6
453,0,1,9,1,1,-5
453,0,1,10,1,1,-4
453,0,1,11,0,1,-3
453,0,1,12,0,1,-2
461,1,0,12,0,0,-9
489,0,0,-1,1,1,-1
489,0,0,0,0,1,0
489,0,0,1,0,1,1
489,0,0,2,0,1,2
489,0,0,3,0,1,3
489,1,0,4,0,0,4
489,1,0,5,0,0,5
489,1,0,6,0,0,6
489,1,0,7,0,0,7
489,1,0,8,0,0,8
489,1,0,9,0,0,9
489,1,0,10,0,0,10
489,1,0,11,0,0,11
489,1,0,12,0,0,12
491,0,0,-1,0,1,-10
491,0,0,0,0,1,-9
491,1,0,1,0,1,-8
491,1,0,2,0,1,-7
491,1,0,3,0,0,-6
491,1,0,4,0,0,-5
491,1,0,5,0,0,-4
491,1,0,6,0,0,-3
491,1,0,7,0,0,-2
491,1,0,8,0,0,-1
491,1,0,9,0,0,0
491,1,0,10,0,0,1
491,1,0,11,0,0,2
491,1,0,12,0,0,3
498,1,0,10,0,0,-10
498,1,0,11,0,0,-9
498,1,0,12,0,0,-8
500,0,0,-1,1,1,-11
500,1,0,0,0,1,-10
500,1,0,1,0,1,-9
500,1,0,2,0,1,-8
500,1,0,3,0,1,-7
500,1,0,4,0,0,-6
500,1,0,5,0,0,-5
500,1,0,6,0,0,-4
500,1,0,7,0,0,-3
500,1,1,8,0,0,-2
500,1,1,9,0,0,-1
500,0,1,10,0,0,0
500,0,0,11,0,0,1
500,0,0,12,0,0,2
501,0,0,-1,0,1,-9
501,0,0,0,1,1,-8
501,0,0,1,0,1,-7
501,1,0,2,0,1,-6
501,1,0,3,0,1,-5
501,1,0,4,0,1,-4
501,1,0,5,0,0,-3
501,1,0,6,0,0,-2
501,1,0,7,0,0,-1
501,1,0,8,0,0,0
501,1,0,9,0,0,1
501,1,0,10,0,0,2
501,1,0,11,0,0,3
501,1,0,12,0,0,4
504,0,0,-1,0,0,-2
504,0,0,0,0,1,-1
504,0,0,1,0,1,0
504,0,0,2,0,1,1
504,0,0,3,0,1,2
504,0,0,4,0,1,3
504,0,0,5,0,0,4
504,0,0,6,0,0,5
504,0,0,7,0,0,6
504,0,0,8,0,0,7
504,0,0,9,0,0,8
504,0,0,10,0,0,9
504,0,0,11,0,0,10
504,0,0,12,0,0,11
513,0,0,-1,0,1,-5
513,0,0,0,0,1,-4
513,0,0,1,0,1,-3
513,0,0,2,0,1,-2
513,0,0,3,0,0,-1
513,0,0,4,0,0,0
513,0,0,5,0,0,1
513,0,0,6,0,0,2
513,1,0,7,0,0,3
513,1,0,8,0,0,4
513,1,0,9,0,0,5
513,1,0,10,0,0,6
513,1,0,11,0,0,7
513,1,0,12,0,0,8
517,0,0,9,1,1,-15
517,1,0,10,0,1,-14
517,1,0,11,1,1,-13
517,1,0,12,0,1,-12
519,0,0,7,1,1,-15
519,0,1,8,0,1,-14
519,0,1,9,1,1,-13
519,0,1,10,1,1,-12
519,0,1,11,0,1,-11
519,0,1,12,0,1,-10
523,1,0,-1,0,0,-8
523,1,0,0,0,0,-7
523,1,0,1,0,0,-6
523,1,0,2,0,0,-5
523,1,0,3,0,0,-4
523,1,0,4,0,0,-3
523,0,0,5,1,1,-2
523,0,0,6,0,1,-1
523,0,0,7,1,1,0
523,0,0,8,0,1,1
523,0,0,9,0,1,2
523,0,0,10,0,1,3
523,0,0,11,0,1,4
523,1,0,12,0,0,5
526,1,0,-1,0,0,6
526,1,0,0,0,0,7
526,1,0,1,0,0,8
526,1,0,2,0,0,9
526,1,0,3,0,0,10
526,1,0,4,0,0,11
526,1,0,5,0,0,12
526,1,0,6,0,0,13
526,1,0,7,0,0,14
526,1,0,8,0,0,15
526,1,0,9,0,0,16
526,1,0,10,0,0,17
526,1,0,11,0,0,18
526,1,0,12,0,0,19
538,1,0,7,0,0,-3
538,1,0,8,0,0,-2
538,1,0,9,0,0,-1
538,1,0,10,1,1,0
538,1,0,11,0,1,1
538,1,0,12,0,1,2
540,1,0,-1,0,1,-6
540,1,1,0,0,1,-5
540,1,0,1,0,0,-4
540,1,0,2,0,0,-3
540,1,0,3,0,0,-2
540,1,0,4,0,0,-1
540,1,0,5,0,0,0
540,1,0,6,0,0,1
540,1,1,7,0,0,2
540,1,1,8,0,0,3
540,1,0,9,0,0,4
540,1,1,10,0,0,5
540,1,0,11,0,0,6
540,1,0,12,0,0,7
549,0,0,-1,0,0,-8
549,0,0,0,0,0,-7
549,1,0,1,0,0,-6
549,1,0,2,0,0,-5
549,1,0,3,0,0,-4
549,1,0,4,0,0,-3
549,1,0,5,0,0,-2
549,1,0,6,0,0,-1
549,1,0,7,0,0,0
549,1,0,8,0,0,1
549,1,0,9,0,0,2
549,1,0,10,0,0,3
549,1,0,11,0,0,4
549,1,0,12,0,0,5
557,0,0,-1,0,1,-9
557,0,0,0,1,1,-8
557,0,0,1,0,1,-7
557,0,0,2,1,1,-6
557,0,0,3,0,1,-5
557,0,0,4,1,1,-4
557,0,0,5,0,1,-3
557,0,0,6,0,1,-2
557,0,0,7,0,1,-1
557,0,0,8,0,1,0
557,0,0,9,0,0,1
557,0,0,10,0,0,2
557,0,0,11,0,0,3
557,0,0,12,0,0,4
560,1,0,-1,0,0,5
560,1,0,0,0,0,6
560,1,0,1,0,0,7
560,1,0,2,0,0,8
560,1,0,3,0,0,9
560,1,0,4,0,0,10
560,1,0,5,0,0,11
560,1,0,6,0,0,12
560,1,1,7,0,0,13
560,1,1,8,0,0,14
560,1,0,9,0,0,15
560,1,0,10,0,0,16
560,0,1,11,0,0,17
560,0,1,12,0,0,18
562,0,0,-1,0,1,-9
562,1,0,0,0,1,-8
562,1,0,1,0,1,-7
562,1,0,2,0,1,-6
562,1,0,3,0,1,-5
562,1,0,4,0,0,-4
562,1,0,5,0,0,-3
562,0,0,6,0,0,-2
562,1,0,7,0,0,-1
562,1,0,8,0,0,0
562,1,0,9,0,0,1
562,1,0,10,0,0,2
562,1,0,11,0,0,3
562,1,0,12,0,0,4
565,0,0,-1,0,1,-11
565,0,0,0,0,1,-10
565,1,0,1,0,1,-9
565,1,0,2,0,0,-8
565,1,0,3,0,0,-7
565,1,0,4,0,0,-6
565,1,0,5,0,0,-5
565,0,0,6,1,1,-4
565,1,0,7,0,1,-3
565,1,0,8,0,1,-2
565,1,0,9,0,1,-1
565,1,0,10,0,1,0
565,1,0,11,0,0,1
565,1,1,12,0,0,2
568,0,0,-1,0,0,9
568,0,0,0,0,0,10
568,0,0,1,0,0,11
568,1,0,2,0,0,12
568,1,0,3,0,0,13
568,1,0,4,0,0,14
568,1,0,5,0,0,15
568,1,0,6,0,0,16
568,1,0,7,0,0,17
571,1,0,2,0,0,-13
571,1,0,3,0,0,-12
571,1,0,4,0,0,-11
571,1,0,5,0,0,-10
571,1,0,6,0,0,-9
571,1,0,7,0,0,-8
571,1,0,8,0,0,-7
571,1,0,9,0,0,-6
571,1,0,10,0,0,-5
571,1,0,11,0,0,-4
571,1,0,12,0,0,-3
580,0,0,10,1,1,-9
580,0,1,11,0,1,-8
580,0,0,12,0,1,-7
582,0,0,9,0,1,-13
582,0,0,10,0,1,-12
582,0,0,11,1,1,-11
582,0,0,12,0,1,-10
589,0,0,11,0,0,-11
589,0,0,12,0,0,-10
591,0,0,-1,0,1,-2
591,0,0,0,0,0,-1
591,0,0,1,0,0,0
591,0,0,2,0,0,1
591,0,0,3,0,0,2
591,1,0,4,0,0,3
591,1,0,5,0,0,4
591,0,0,6,0,0,5
591,0,0,7,0,0,6
591,0,0,8,0,0,7
591,0,0,9,0,0,8
591,0,0,10,0,0,9
591,0,0,11,0,0,10
591,0,0,12,0,0,11
593,1,0,7,0,0,16
593,1,0,8,0,0,17
593,1,0,9,0,0,18
593,1,0,10,0,0,19
593,1,0,11,0,0,20
593,1,0,12,0,0,21
599,1,0,-1,0,0,-12
599,1,0,0,0,0,-11
599,0,0,1,1,1,-10
599,0,0,2,0,1,-9
599,0,0,3,1,1,-8
599,0,0,4,0,1,-7
599,0,0,5,1,1,-6
599,0,0,6,0,1,-5
599,0,0,7,0,1,-4
599,0,1,8,0,1,-3
599,0,0,9,1,1,-2
599,0,0,10,0,1,-1
599,0,0,11,0,1,0
599,0,0,12,0,1,1
608,0,0,-1,0,0,-2
608,0,0,0,0,0,-1
608,0,0,1,0,0,0
608,0,0,2,0,0,1
608,0,0,3,0,0,2
608,0,0,4,0,0,3
608,0,0,5,0,0,4
608,0,0,6,0,0,5
608,0,0,7,0,0,6
608,0,0,8,0,0,7
608,0,0,9,0,0,8
608,0,0,10,0,0,9
608,0,0,11,0,0,10
608,0,0,12,0,0,11
613,1,0,-1,0,0,-11
