neighid,schid,attain,p7vrq,p7read,dadocc,dadunemp,daded,momed,male,deprive,dummy
659,0,0.735,-0.028,-1.866,29.226,0,1,1,0,-0.559,1
646,0,-0.36,-9.028,-11.866,-3.454,0,0,0,1,0.632,1
646,0,0.0293,1.972,-1.866,-3.454,0,0,1,1,0.632,1
689,0,0.1582,-2.028,1.134,-3.454,0,0,0,1,-0.003,1
695,0,2.4151,14.972,12.134,-11.494,0,0,0,0,-0.557,1
675,0,0.0293,-0.028,-1.866,2.316,0,0,0,0,-0.182,1
647,0,-0.5812,-6.028,-14.866,-3.454,0,0,0,0,0.206,1
667,0,0.0293,10.972,8.134,-3.454,0,0,0,0,0.15,1
665,0,-0.36,5.972,5.134,-9.094,0,0,0,1,0.382,1
647,0,-0.5812,-0.028,5.134,-3.454,1,0,0,1,0.206,1
665,0,-0.36,-4.028,-2.866,-3.454,0,0,0,1,0.382,1
666,0,0.9127,11.972,27.134,29.226,0,0,1,1,0.337,1
688,0,0.0293,-16.028,-6.866,16.196,0,1,0,0,-0.287,1
645,0,1.5177,-2.028,-1.866,-3.454,0,0,0,1,0.177,1
667,0,0.0293,-8.028,-6.866,16.196,0,0,0,1,0.15,1
646,0,0.2641,1.972,-5.866,-9.094,1,0,0,0,0.632,1
672,0,0.0293,-0.028,5.134,-3.454,0,0,0,1,0.002,1
667,0,1.5177,7.972,12.134,16.196,0,1,0,0,0.15,1
710,0,-1.3276,-14.028,-16.866,-3.454,0,0,0,0,0.174,1
659,0,1.5177,6.972,7.134,29.226,0,1,1,0,-0.559,1
690,0,-0.1325,13.972,-6.866,-11.494,0,0,0,1,0.37,1
128,1,0.1582,-0.028,1.134,-3.454,0,1,1,0,-0.441,1
127,1,-0.5812,-0.028,-10.866,-3.454,1,0,0,0,-0.189,1
139,1,-1.3276,-15.028,-9.866,-9.094,1,0,0,1,-0.168,1
126,1,-1.3276,-13.028,-31.866,-23.454,0,0,0,1,0.154,1
140,1,0.0293,-8.028,-11.866,-23.454,0,1,1,1,0.528,1
59,1,-1.3276,-22.028,-23.866,-3.454,0,0,0,1,-0.427,1
122,1,0.0293,1.972,-0.866,-3.454,1,0,1,0,0.363,1
139,1,0.0293,-6.028,-7.866,-3.454,0,0,0,0,-0.168,1
139,1,0.3917,-4.028,3.134,16.196,0,0,0,0,-0.168,1
127,1,-1.3276,-12.028,-26.866,-23.454,0,0,0,1,-0.189,1
140,1,0.0293,-4.028,2.134,-23.454,0,0,0,1,0.528,1
128,1,-0.1325,-5.028,3.134,-3.454,0,0,1,1,-0.441,1
136,1,-1.3276,-13.028,-11.866,-3.454,0,0,0,0,0.28,1
128,1,-0.5812,-9.028,-10.866,-3.454,0,0,0,1,-0.441,1
135,1,-0.36,-4.028,-3.866,-23.454,0,0,0,0,0.601,1
140,1,-0.36,-11.028,-12.866,-3.454,0,0,0,1,0.528,1
138,1,0.0293,-1.028,4.134,16.196,0,0,0,0,0.237,1
136,1,-1.3276,-14.028,-12.866,-9.094,1,0,0,0,0.28,1
140,1,-1.3276,-9.028,-6.866,-3.454,0,0,0,1,0.528,1
137,1,-1.3276,-8.028,-13.866,-3.454,0,0,0,0,0.458,1
140,1,-0.36,-7.028,0.134,-3.454,0,0,0,0,0.528,1
136,1,-1.3276,-0.028,-0.866,-11.494,0,0,0,1,0.28,1
771,2,-0.1325,-9.028,-14.866,-9.094,1,0,0,0,0.256,1
785,2,0.1582,-12.028,-5.866,-9.094,0,0,0,0,0.945,1
865,2,0.9127,7.972,13.134,2.316,0,0,0,1,-0.524,1
790,2,-1.3276,3.972,-2.866,-11.494,0,0,0,1,0.674,1
774,2,1.5177,-9.028,-16.866,2.316,0,1,0,0,0.417,1
780,2,0.0293,-0.028,-9.866,-3.454,0,0,0,1,0.017,1
799,2,-0.1325,-11.028,-20.866,-3.454,0,0,0,1,-0.347,1
789,2,-1.3276,-20.028,-31.866,16.196,1,1,0,0,0.867,1
788,2,0.0293,1.972,-13.866,-11.494,0,0,0,0,0.005,1
777,2,-1.3276,-11.028,-19.866,-3.454,0,0,0,1,0.902,1
840,2,-1.3276,-4.028,-10.866,-3.454,1,0,0,1,-0.332,1
779,2,0.3917,-7.028,-3.866,-9.094,0,1,1,1,0.527,1
838,2,-1.3276,-4.028,-2.866,2.316,0,0,0,0,-0.435,1
831,2,1.5177,25.972,26.134,29.226,0,1,1,1,-0.498,1
832,2,-1.3276,9.972,13.134,16.196,0,0,1,0,-0.025,1
776,2,-0.1325,-9.028,-0.866,-9.094,0,0,0,0,0.406,1
827,2,-0.36,-5.028,-14.866,-9.094,1,0,0,0,-0.113,1
786,2,-1.3276,-14.028,-17.866,-9.094,1,0,0,1,1.712,1
776,2,0.1582,-4.028,-7.866,-3.454,0,0,0,1,0.406,1
778,2,0.1582,-3.028,-22.866,-11.494,0,0,1,0,0.009,1
786,2,-1.3276,-13.028,-28.866,-11.494,0,0,0,1,1.712,1
785,2,-0.1325,-1.028,-7.866,-3.454,0,0,0,1,0.945,1
779,2,-0.36,-18.028,-16.866,-3.454,0,0,0,1,0.527,1
798,2,-0.5812,1.972,-3.866,-3.454,0,0,0,0,0.074,1
787,2,-0.36,-21.028,-31.866,-3.454,0,0,0,0,0.823,1
778,2,-0.5812,-2.028,-13.866,-23.454,0,1,1,0,0.009,1
778,2,-0.36,-8.028,-18.866,-11.494,0,0,0,0,0.009,1
826,2,1.1405,10.972,0.134,-3.454,0,0,0,0,0.109,1
798,2,0.9127,7.972,10.134,-23.454,0,0,0,0,0.074,1
796,2,-0.5812,-26.028,-19.866,-23.454,0,0,0,1,0.774,1
798,2,0.9127,-4.028,0.134,16.196,0,1,0,1,0.074,1
837,2,0.1582,6.972,-2.866,-3.454,0,0,0,0,-0.818,1
796,2,0.735,3.972,9.134,2.316,1,0,0,0,0.774,1
787,2,0.1582,2.972,3.134,-11.494,0,0,0,0,0.823,1
825,2,0.1582,10.972,14.134,-9.094,1,0,0,1,0.712,1
796,2,0.3917,1.972,15.134,-9.094,0,0,0,1,0.774,1
778,2,-0.5812,3.972,2.134,-3.454,0,0,0,1,0.009,1
827,2,1.1405,9.972,-1.866,-3.454,0,0,0,0,-0.113,1
789,2,-1.3276,-12.028,-27.866,-11.494,0,0,0,1,0.867,1
800,2,1.1405,8.972,7.134,-3.454,0,0,0,1,0.614,1
789,2,-0.5812,-7.028,-7.866,-3.454,0,0,0,1,0.867,1
777,2,-0.5812,-9.028,-15.866,-3.454,1,0,0,0,0.902,1
775,2,-0.1325,-5.028,-8.866,-9.094,0,0,0,1,-0.031,1
837,2,0.561,-4.028,-16.866,16.196,0,0,0,1,-0.818,1
789,2,0.1582,-7.028,-3.866,-3.454,0,0,0,1,0.867,1
828,2,-0.1325,-1.028,-6.866,2.316,0,0,0,1,-0.047,1
788,2,0.1582,-2.028,-3.866,-3.454,0,0,0,0,0.005,1
827,2,0.561,7.972,9.134,-23.454,0,0,0,0,-0.113,1
788,2,-0.36,-20.028,-27.866,-11.494,0,0,0,0,0.005,1
786,2,-1.3276,-5.028,-15.866,-11.494,0,0,0,1,1.712,1
780,2,0.0293,-0.028,-2.866,-3.454,0,0,0,1,0.017,1
779,2,-0.36,6.972,2.134,-11.494,0,0,0,1,0.527,1
796,2,-1.3276,-4.028,-9.866,-23.454,0,0,0,1,0.774,1
829,2,-1.3276,-11.028,-23.866,-3.454,1,0,0,1,-0.013,1
821,2,0.561,16.972,12.134,-3.454,0,0,1,1,0.393,1
798,2,0.3917,-4.028,-9.866,-3.454,0,0,0,1,0.074,1
795,2,-0.36,-9.028,-8.866,-3.454,0,0,0,0,1.386,1
834,2,2.4151,13.972,20.134,2.316,0,0,0,0,-0.117,1
774,2,-0.5812,-3.028,-4.866,2.316,0,0,0,0,0.417,1
838,2,-0.36,-1.028,-0.866,-3.454,0,0,0,0,-0.435,1
786,2,-1.3276,-16.028,-25.866,-3.454,0,0,0,1,1.712,1
866,2,0.1582,11.972,1.134,-3.454,0,0,0,1,-0.649,1
779,2,1.5177,16.972,10.134,-3.454,0,0,0,0,0.527,1
786,2,-1.3276,-7.028,-14.866,-3.454,0,0,0,1,1.712,1
779,2,0.1582,9.972,2.134,-3.454,0,0,0,1,0.527,1
835,2,-1.3276,-11.028,-21.866,-9.094,0,0,0,0,-0.514,1
779,2,-0.1325,1.972,-0.866,-11.494,0,0,0,1,0.527,1
779,2,-0.5812,-15.028,-13.866,-3.454,0,0,0,0,0.527,1
809,2,2.4151,-0.028,7.134,16.196,0,0,0,1,0.088,1
785,2,-1.3276,0.972,-2.866,-9.094,1,0,0,0,0.945,1
801,2,0.2641,4.972,12.134,2.316,0,1,0,0,0.188,1
775,2,0.9127,-1.028,4.134,-3.454,0,0,0,0,-0.031,1
769,2,0.561,0.972,-0.866,-3.454,1,0,0,1,0.502,1
775,2,-0.1325,-0.028,-12.866,-3.454,0,0,0,1,-0.031,1
777,2,-1.3276,-12.028,6.134,-9.094,1,0,0,0,0.902,1
775,2,-0.5812,-11.028,-13.866,-9.094,0,0,0,1,-0.031,1
836,2,0.3917,10.972,15.134,-3.454,0,0,1,1,-0.693,1
797,2,-0.1325,-5.028,-14.866,-9.094,1,0,0,0,0.597,1
769,2,-1.3276,-13.028,-23.866,-3.454,0,0,0,0,0.502,1
769,2,-1.3276,-7.028,5.134,-3.454,0,0,0,1,0.502,1
778,2,0.9127,1.972,7.134,-11.494,0,0,0,1,0.009,1
796,2,-0.36,-23.028,-24.866,-3.454,0,0,0,1,0.774,1
768,2,0.2641,5.972,-4.866,-3.454,0,0,0,1,1.017,1
798,2,0.561,-0.028,-6.866,-3.454,0,0,0,0,0.074,1
779,2,0.9127,8.972,1.134,-11.494,1,0,0,1,0.527,1
776,2,-1.3276,-3.028,-8.866,-3.454,0,0,0,1,0.406,1
866,2,0.2641,1.972,1.134,2.316,0,0,0,1,-0.649,1
797,2,-1.3276,-11.028,-18.866,-3.454,0,0,0,0,0.597,1
776,2,-1.3276,-1.028,-6.866,-9.094,1,0,0,0,0.406,1
828,2,-1.3276,-15.028,-23.866,-3.454,0,0,0,1,-0.047,1
835,2,0.735,-1.028,-3.866,-11.494,0,0,1,0,-0.514,1
785,2,0.3917,10.972,1.134,-3.454,1,0,1,1,0.945,1
788,2,-0.36,-21.028,-31.866,-11.494,0,0,0,1,0.005,1
778,2,0.561,-10.028,-5.866,-3.454,0,0,0,0,0.009,1
836,2,0.2641,4.972,19.134,-11.494,0,0,0,1,-0.693,1
785,2,0.3917,6.972,-1.866,2.316,0,0,0,0,0.945,1
826,2,-0.5812,-13.028,-13.866,-3.454,1,0,0,1,0.109,1
800,2,-0.36,-6.028,-13.866,-9.094,0,1,0,1,0.614,1
826,2,0.0293,15.972,18.134,-3.454,0,0,0,0,0.109,1
789,2,0.1582,6.972,5.134,29.226,0,0,0,1,0.867,1
798,2,0.561,-7.028,-10.866,-3.454,1,1,0,0,0.074,1
796,2,0.0293,1.972,-2.866,-3.454,0,0,1,0,0.774,1
789,2,-1.3276,-11.028,-4.866,-11.494,0,0,0,1,0.867,1
798,2,0.3917,5.972,18.134,-3.454,0,0,1,1,0.074,1
798,2,0.1582,3.972,5.134,-11.494,0,0,0,0,0.074,1
833,2,1.1405,22.972,15.134,16.196,0,0,1,0,-0.274,1
775,2,-0.36,-8.028,-22.866,-23.454,0,0,0,0,-0.031,1
796,2,0.0293,-5.028,-9.866,-11.494,0,0,0,1,0.774,1
827,2,0.3917,7.972,8.134,2.316,0,0,1,1,-0.113,1
796,2,0.9127,7.972,19.134,-3.454,0,0,0,1,0.774,1
836,2,-1.3276,-8.028,-10.866,-3.454,0,0,0,0,-0.693,1
837,2,1.1405,3.972,1.134,-3.454,0,0,0,0,-0.818,1
865,2,1.5177,14.972,7.134,-3.454,0,0,1,0,-0.524,1
839,2,-1.3276,-6.028,-10.866,-9.094,1,0,0,1,-0.424,1
769,2,-1.3276,-5.028,-5.866,-3.454,0,0,0,1,0.502,1
778,2,0.9127,-1.028,0.134,-3.454,0,0,0,0,0.009,1
839,2,-0.36,-5.028,-6.866,-11.494,0,0,0,1,-0.424,1
838,2,-0.1325,-13.028,-13.866,2.316,0,0,0,0,-0.435,1
785,2,1.5177,1.972,2.134,-3.454,0,0,0,1,0.945,1
773,2,-0.1325,-1.028,1.134,-3.454,0,0,0,1,-0.322,1
865,2,2.4151,10.972,8.134,16.196,0,1,1,1,-0.524,1
836,2,1.1405,15.972,19.134,16.196,0,1,1,0,-0.693,1
796,2,-1.3276,-17.028,-29.866,-3.454,0,0,0,1,0.774,1
798,2,-0.36,-9.028,-13.866,-11.494,0,0,0,1,0.074,1
829,2,0.1582,5.972,4.134,-3.454,0,0,1,1,-0.013,1
865,2,2.4151,10.972,28.134,29.226,0,1,1,0,-0.524,1
790,2,-0.1325,-0.028,0.134,16.196,0,0,0,0,0.674,1
776,2,0.735,4.972,7.134,-23.454,0,0,0,0,0.406,1
838,2,0.0293,4.972,4.134,16.196,0,0,0,0,-0.435,1
786,2,0.0293,9.972,9.134,-3.454,0,0,0,0,1.712,1
831,2,0.2641,7.972,-1.866,16.196,0,1,0,1,-0.498,1
768,2,-0.1325,1.972,-10.866,-9.094,1,0,0,1,1.017,1
782,2,1.5177,19.972,14.134,-9.094,0,0,0,0,1.298,1
828,2,0.2641,5.972,-7.866,-3.454,0,0,1,1,-0.047,1
771,2,0.3917,7.972,-3.866,-3.454,0,0,0,1,0.256,1
828,2,-0.1325,-3.028,-5.866,-23.454,1,0,0,1,-0.047,1
785,2,0.0293,-0.028,-7.866,-3.454,0,0,0,0,0.945,1
826,2,0.2641,-1.028,-13.866,16.196,0,1,1,1,0.109,1
797,2,-1.3276,-10.028,-7.866,-11.494,0,1,1,0,0.597,1
794,2,-0.36,-8.028,-14.866,16.196,0,0,0,0,2.33,1
813,2,-1.3276,-4.028,-5.866,-9.094,0,0,0,1,0.095,1
783,2,-1.3276,-12.028,-11.866,-9.094,0,0,0,0,-0.244,1
783,2,0.9127,7.972,16.134,-3.454,0,0,0,0,-0.244,1
785,2,0.2641,10.972,15.134,-23.454,0,0,0,1,0.945,1
826,2,1.1405,22.972,28.134,-11.494,0,1,0,0,0.109,1
797,2,-0.1325,1.972,-8.866,-9.094,1,0,0,0,0.597,1
709,3,0.561,-8.028,-0.866,2.316,0,0,0,0,-0.266,1
706,3,0.9127,14.972,19.134,16.196,0,1,0,0,-0.038,1
706,3,0.1582,6.972,18.134,-3.454,0,0,0,1,-0.038,1
714,3,0.1582,0.972,-0.866,-3.454,0,0,0,0,0.063,1
733,3,-0.5812,-6.028,2.134,-9.094,0,0,0,0,0.982,1
711,3,-0.1325,-0.028,-6.866,-11.494,0,0,0,1,-0.172,1
714,3,1.5177,9.972,13.134,2.316,0,0,0,1,0.063,1
733,3,0.735,4.972,12.134,-9.094,0,0,1,0,0.982,1
727,3,-0.1325,-13.028,-9.866,-3.454,0,0,1,1,-0.101,1
706,3,0.1582,11.972,3.134,-3.454,0,0,0,1,-0.038,1
721,3,1.1405,-17.028,9.134,-9.094,1,1,1,1,1.226,1
715,3,2.4151,-7.028,9.134,16.196,0,1,1,1,-0.254,1
683,3,0.735,-6.028,-8.866,-3.454,0,0,0,1,-0.788,1
710,3,0.9127,-7.028,4.134,-3.454,0,0,1,0,0.174,1
732,3,1.1405,14.972,8.134,16.196,0,0,0,0,0.223,1
727,3,-0.1325,0.972,20.134,-11.494,1,0,0,1,-0.101,1
715,3,-0.1325,-9.028,-1.866,-9.094,1,0,0,0,-0.254,1
712,3,-0.1325,1.972,-1.866,-3.454,0,0,0,1,0.076,1
714,3,-1.3276,-18.028,-25.866,-9.094,1,0,0,1,0.063,1
710,3,0.2641,4.972,-3.866,2.316,0,0,0,0,0.174,1
658,3,-0.1325,-11.028,5.134,2.316,0,0,0,0,-0.289,1
710,3,1.5177,16.972,21.134,-3.454,0,0,1,0,0.174,1
712,3,-0.5812,-6.028,-7.866,-3.454,0,0,0,0,0.076,1
705,3,-0.36,-12.028,-10.866,-9.094,1,1,1,1,-0.194,1
703,3,0.3917,2.972,-0.866,-3.454,0,0,0,1,-0.057,1
731,3,1.5177,8.972,28.134,29.226,0,1,1,1,-0.161,1
704,3,-0.36,-15.028,-6.866,-3.454,1,0,0,1,-0.062,1
706,3,0.561,-3.028,-11.866,-3.454,0,0,1,0,-0.038,1
710,3,-0.1325,-21.028,-18.866,-3.454,0,0,1,0,0.174,1
708,3,1.5177,6.972,13.134,-11.494,0,0,1,1,-0.738,1
711,3,0.735,-0.028,-0.866,-9.094,1,0,0,1,-0.172,1
732,3,-1.3276,-16.028,-27.866,2.316,0,0,0,1,0.223,1
704,3,-0.36,9.972,6.134,2.316,0,0,0,0,-0.062,1
707,3,0.2641,2.972,14.134,16.196,0,1,1,1,-0.241,1
722,3,-0.5812,-2.028,9.134,-3.454,0,0,0,1,0.101,1
734,3,0.735,0.972,-0.866,-9.094,0,0,0,0,0.724,1
712,3,0.1582,9.972,5.134,-11.494,0,0,0,1,0.076,1
714,3,0.735,8.972,16.134,16.196,0,0,0,0,0.063,1
711,3,0.561,-1.028,2.134,-11.494,0,0,0,0,-0.172,1
732,3,0.9127,-3.028,-4.866,-9.094,0,0,0,0,0.223,1
705,3,-0.1325,6.972,10.134,-3.454,0,0,1,1,-0.194,1
712,3,0.1582,4.972,8.134,-9.094,0,1,1,0,0.076,1
715,3,-0.1325,8.972,6.134,-3.454,0,0,0,0,-0.254,1
724,3,0.561,15.972,23.134,-3.454,0,0,0,0,-0.257,1
713,3,0.3917,10.972,21.134,-3.454,0,0,0,1,0.153,1
733,3,0.2641,8.972,-4.866,-3.454,0,0,0,1,0.982,1
709,3,0.735,5.972,3.134,-11.494,0,0,0,1,-0.266,1
728,3,0.3917,-0.028,24.134,-3.454,0,0,0,0,0.088,1
709,3,0.3917,-0.028,-1.866,-9.094,0,0,1,0,-0.266,1
719,3,0.1582,-1.028,20.134,-11.494,0,0,0,1,0.603,1
752,3,-1.3276,-4.028,-22.866,-3.454,1,0,0,1,0.102,1
706,3,-0.1325,10.972,12.134,29.226,0,1,1,1,-0.038,1
707,3,-1.3276,-10.028,-13.866,-3.454,0,1,1,1,-0.241,1
728,3,0.561,11.972,11.134,16.196,0,0,1,0,0.088,1
703,3,0.3917,-10.028,-2.866,2.316,0,1,0,1,-0.057,1
684,3,0.735,1.972,6.134,2.316,0,1,0,1,-0.975,1
