childid,s4_id,w1sesl,numrisks,profmath,s4pupri,male,prof45
0015020C,0015,0.71,0,5,1,0,1
0015021C,0015,-0.77,1,3,1,0,0
0015025C,0015,-0.4,1,4,1,1,1
0015026C,0015,1.13,0,5,1,1,1
0013009C,0020,1.75,0,4,1,1,1
0020001C,0020,-0.3,0,4,1,0,1
0020002C,0020,0.04,1,4,1,1,1
0020003C,0020,-0.22,0,4,1,0,1
0020004C,0020,-0.59,1,2,1,0,0
0020006C,0020,-0.88,1,4,1,0,1
0020007C,0020,-0.09,0,4,1,0,1
0020008C,0020,-0.48,0,4,1,1,1
0020010C,0020,0.73,0,1,1,1,0
0020013C,0020,-0.29,0,1,1,0,0
0020014C,0020,0.78,0,5,1,1,1
0020016C,0020,0.08,0,4,1,0,1
0020017C,0020,-0.28,2,3,1,1,0
0020018C,0020,0.52,0,1,1,1,0
0020019C,0020,-0.58,1,4,1,1,1
0020020C,0020,-0.83,1,3,1,0,0
0020022C,0020,-0.27,0,2,1,1,0
0023001C,0023,-0.78,1,3,1,1,0
0023006C,0023,-0.41,0,2,1,1,0
0023007C,0023,0.12,0,4,1,1,1
0023011C,0023,-0.42,0,4,1,0,1
0023012C,0023,0.44,0,4,1,1,1
0023015C,0023,0.28,0,5,1,1,1
0023016C,0023,0.55,0,5,1,0,1
0023017C,0023,0.19,0,4,1,0,1
0023018C,0023,0.63,1,5,1,1,1
0023019C,0023,-0.53,0,4,1,0,1
0023020C,0023,0.43,0,4,1,1,1
0023022C,0023,-0.13,1,4,1,0,1
0023024C,0023,-0.8,2,2,1,0,0
0009020C,0026,-0.43,0,2,1,0,0
0026001C,0026,0.36,1,4,1,1,1
0026005C,0026,0.32,0,5,1,1,1
0026006C,0026,-0.75,0,3,1,1,0
0026007C,0026,0.12,0,3,1,1,0
0026008C,0026,0.86,0,4,1,0,1
0026011C,0026,1.29,0,5,1,0,1
0026014C,0026,0.01,0,5,1,0,1
0026015C,0026,-0.44,1,4,1,1,1
0033001C,0033,1.07,0,3,1,0,0
0033003C,0033,1.11,0,3,1,0,0
0033005C,0033,0.39,0,4,1,1,1
0033006C,0033,0.02,0,3,1,0,0
0033007C,0033,-0.13,0,4,1,1,1
0033008C,0033,0.35,0,4,1,0,1
0033009C,0033,0.47,0,4,1,1,1
0033011C,0033,-0.14,0,4,1,0,1
0033012C,0033,-0.44,0,4,1,0,1
0033013C,0033,-0.71,0,3,1,1,0
0033014C,0033,-0.27,1,3,1,0,0
0033015C,0033,0.77,0,5,1,0,1
0033016C,0033,0.13,1,4,1,0,1
0033017C,0033,0.42,0,4,1,1,1
0033018C,0033,0.57,0,5,1,1,1
0033020C,0033,0.14,0,5,1,0,1
0033021C,0033,0.5,0,5,1,0,1
0033024C,0033,-0.05,0,4,1,1,1
0034006C,0034,0.32,0,3,1,0,0
0034009C,0034,-0.01,1,4,1,1,1
0034012C,0034,-0.22,0,3,1,1,0
0034013C,0034,-0.39,1,4,1,0,1
0034015C,0034,-0.67,1,3,1,0,0
0034016C,0034,-0.63,2,4,1,1,1
0034017C,0034,-0.62,1,2,1,0,0
0034018C,0034,-0.84,2,4,1,0,1
0034022C,0034,-0.58,1,4,1,1,1
0034023C,0034,-0.67,1,4,1,0,1
0039004C,0039,0.72,1,5,2,0,1
0039006C,0039,1.43,0,5,2,1,1
0039007C,0039,0.43,0,4,2,1,1
0039010C,0039,1.23,0,4,2,1,1
0039012C,0039,1.5,0,5,2,1,1
0039017C,0039,0.62,1,3,2,1,0
0039018C,0039,1.16,0,5,2,1,1
0039019C,0039,1.3,0,4,2,0,1
0039021C,0039,1.7,0,3,2,0,0
0043003C,0043,-0.17,0,3,1,0,0
0043004C,0043,0.18,0,4,1,1,1
0043006C,0043,1.21,0,5,1,0,1
0043007C,0043,-0.59,0,4,1,1,1
0043008C,0043,-0.58,1,5,1,0,1
0043009C,0043,-0.58,0,4,1,1,1
0043011C,0043,-0.67,1,3,1,1,0
0043014C,0043,-0.12,0,5,1,0,1
0043016C,0043,-0.53,0,2,1,1,0
0043019C,0043,-0.91,2,2,1,0,0
0043021C,0043,-0.87,2,3,1,1,0
0045001C,0045,1.96,0,4,1,0,1
0045003C,0045,0.34,0,4,1,0,1
0045004C,0045,0.86,0,5,1,0,1
0045005C,0045,0.47,0,5,1,1,1
0045006C,0045,1.3,0,5,1,1,1
0045007C,0045,1.26,0,4,1,1,1
0045009C,0045,0.07,0,5,1,1,1
0045010C,0045,0.95,0,4,1,0,1
0045011C,0045,-0.06,0,3,1,0,0
0045013C,0045,0.8,0,5,1,1,1
0045014C,0045,0.59,0,4,1,0,1
0045015C,0045,0.93,0,5,1,1,1
0045016C,0045,0.62,0,5,1,0,1
0045017C,0045,1.35,0,5,1,1,1
0045018C,0045,0.74,1,5,1,0,1
0045019C,0045,0.4,0,3,1,0,0
0045020C,0045,1.02,0,4,1,1,1
0045021C,0045,1.06,0,5,1,0,1
0045022C,0045,1.64,0,3,1,1,0
0045023C,0045,0.53,0,4,1,0,1
0045024C,0045,1.22,0,5,1,1,1
0046002C,0046,-1.45,2,3,1,0,0
0046003C,0046,-0.13,2,4,1,1,1
0046006C,0046,-0.95,1,3,1,1,0
0046012C,0046,-0.64,2,3,1,1,0
0046018C,0046,-0.81,1,4,1,1,1
0047004C,0047,0.89,0,4,1,1,1
0047006C,0047,0.49,0,5,1,0,1
0047007C,0047,0.76,0,2,1,0,0
0047008C,0047,0.87,0,3,1,1,0
0047009C,0047,0.79,0,5,1,0,1
0047014C,0047,1.39,0,4,1,0,1
0047015C,0047,0.37,0,5,1,0,1
0047017C,0047,-0.36,0,4,1,1,1
0047018C,0047,-0.21,0,4,1,1,1
0047019C,0047,-0.65,2,4,1,1,1
0047021C,0047,0.34,0,5,1,0,1
0047022C,0047,-0.22,0,5,1,1,1
0047024C,0047,0.05,0,4,1,1,1
0051002C,0051,0.85,0,4,2,0,1
0051005C,0051,-0.34,0,4,2,0,1
0051006C,0051,0.46,0,4,2,0,1
0051007C,0051,0.04,0,5,2,1,1
0051008C,0051,0.29,0,4,2,0,1
0051010C,0051,-0.34,0,5,2,0,1
0051011C,0051,0.06,0,3,2,0,0
0051012C,0051,-1.09,2,5,2,1,1
0051013C,0051,-0.08,0,4,2,0,1
0051016C,0051,0.18,1,5,2,0,1
0051018C,0051,0.13,0,5,2,0,1
0051019C,0051,0.97,0,4,2,1,1
0051020C,0051,0.55,0,3,2,0,0
0051024C,0051,0.41,0,4,2,1,1
0052001C,0052,-0.09,0,3,2,0,0
0052003C,0052,0.17,0,5,2,0,1
0052006C,0052,1.23,0,4,2,1,1
0052007C,0052,-0.37,0,5,2,0,1
0052008C,0052,-0.58,1,4,2,1,1
0052010C,0052,0.92,0,5,2,0,1
0052011C,0052,0.67,0,5,2,0,1
0052012C,0052,0.15,0,4,2,1,1
0052014C,0052,-0.41,0,4,2,1,1
0052018C,0052,-0.15,0,3,2,1,0
0052019C,0052,-0.32,0,4,2,0,1
0052020C,0052,0.64,0,5,2,0,1
0052021C,0052,-0.58,0,4,2,0,1
0052022C,0052,0.79,0,3,2,1,0
0053001C,0053,1.18,0,4,1,1,1
0053002C,0053,1.1,0,5,1,1,1
0053003C,0053,1.61,0,5,1,1,1
0053005C,0053,1.16,1,5,1,1,1
0053006C,0053,1.45,0,3,1,0,0
0053007C,0053,1.56,0,5,1,1,1
0053008C,0053,0.05,0,5,1,0,1
0053009C,0053,1.11,1,5,1,0,1
0053010C,0053,1.01,0,5,1,1,1
0053011C,0053,2.12,0,3,1,0,0
0053012C,0053,1.2,0,5,1,1,1
0053013C,0053,1.7,0,5,1,1,1
0053014C,0053,0.57,0,3,1,1,0
0053017C,0053,1.3,0,3,1,0,0
0053018C,0053,1.1,0,5,1,0,1
0053019C,0053,2.58,0,4,1,1,1
0053021C,0053,1.29,0,4,1,0,1
0053022C,0053,0.71,0,5,1,1,1
0053023C,0053,0.87,0,5,1,0,1
0053024C,0053,1.59,0,4,1,0,1
0055003C,0055,-0.51,0,4,1,1,1
0055004C,0055,0.72,0,4,1,1,1
0055007C,0055,-0.27,0,4,1,1,1
0055008C,0055,0.67,0,5,1,0,1
0055009C,0055,1.33,0,5,1,1,1
0055010C,0055,0.32,0,5,1,0,1
0055011C,0055,-0.79,2,4,1,0,1
0055013C,0055,-0.31,0,5,1,0,1
0055014C,0055,0.54,0,5,1,1,1
0055016C,0055,0.03,0,5,1,0,1
0055018C,0055,0.94,0,4,1,1,1
0055019C,0055,0.03,1,3,1,1,0
0055020C,0055,-0.09,0,5,1,0,1
0055021C,0055,0.16,0,5,1,1,1
0055022C,0055,1.29,0,5,1,1,1
0055023C,0055,-0.16,0,3,1,0,0
0055024C,0055,-0.09,0,4,1,1,1
0056002C,0056,0.0,1,3,1,1,0
0056003C,0056,0.22,0,4,1,0,1
0056004C,0056,1.25,0,4,1,0,1
0056005C,0056,-0.12,0,4,1,1,1
0056007C,0056,1.71,0,5,1,0,1
0056008C,0056,0.1,0,2,1,1,0
0056009C,0056,0.48,0,5,1,1,1
0056010C,0056,-0.09,0,4,1,0,1
0056011C,0056,1.35,0,5,1,1,1
0056013C,0056,-0.46,0,3,1,1,0
0056014C,0056,-0.27,0,4,1,1,1
0056015C,0056,0.3,0,3,1,1,0
0056019C,0056,1.35,0,5,1,1,1
0056021C,0056,0.39,0,4,1,0,1
0056022C,0056,0.81,0,3,1,1,0
0057001C,0057,0.65,0,4,1,1,1
0057002C,0057,1.32,0,4,1,1,1
0057003C,0057,0.74,1,4,1,1,1
0057004C,0057,1.5,0,5,1,0,1
0057005C,0057,0.51,0,4,1,0,1
0057006C,0057,1.34,0,5,1,1,1
0057007C,0057,0.5,0,4,1,0,1
0057008C,0057,0.85,0,4,1,1,1
0057009C,0057,1.91,0,5,1,0,1
0057015C,0057,1.13,0,5,1,0,1
0057016C,0057,0.45,0,4,1,0,1
0057017C,0057,1.11,0,3,1,1,0
0057018C,0057,0.63,1,4,1,1,1
0057019C,0057,1.84,0,5,1,1,1
0057021C,0057,0.22,0,5,1,0,1
0057022C,0057,1.23,0,5,1,1,1
0057023C,0057,2.16,0,5,1,1,1
0057024C,0057,0.98,0,2,1,0,0
0057026C,0057,0.98,0,1,1,1,0
0058002C,0058,-0.15,0,3,2,0,0
0058008C,0058,-0.2,0,4,2,0,1
0058012C,0058,-0.35,1,2,2,1,0
0058019C,0058,0.45,0,4,2,0,1
0058020C,0058,-0.71,1,3,2,0,0
0066001C,0066,-0.54,1,5,1,1,1
0066002C,0066,0.6,0,4,1,1,1
0066003C,0066,0.1,0,3,1,0,0
0066004C,0066,0.19,0,4,1,1,1
0066005C,0066,-0.62,2,5,1,0,1
0066007C,0066,-0.13,0,4,1,0,1
0066008C,0066,1.75,0,5,1,0,1
0066009C,0066,0.76,0,4,1,0,1
0066011C,0066,0.43,0,5,1,1,1
0066012C,0066,-0.76,1,4,1,0,1
0066014C,0066,-0.13,1,3,1,0,0
0066015C,0066,-0.47,0,5,1,1,1
0066016C,0066,0.83,0,5,1,1,1
0066018C,0066,0.47,0,4,1,0,1
0066021C,0066,0.4,0,5,1,1,1
0066024C,0066,-0.09,1,5,1,0,1
0067003C,0067,-0.14,0,4,2,1,1
0067007C,0067,0.0,0,3,2,0,0
0067008C,0067,-0.35,0,3,2,0,0
0067009C,0067,0.28,0,5,2,0,1
0067010C,0067,0.33,1,4,2,0,1
0067011C,0067,0.45,0,3,2,0,0
0067012C,0067,0.04,0,4,2,1,1
0067014C,0067,-0.32,2,4,2,1,1
0067015C,0067,0.44,0,4,2,1,1
0067016C,0067,1.15,0,5,2,1,1
0067017C,0067,1.89,0,4,2,1,1
0067018C,0067,0.99,0,3,2,0,0
0067019C,0067,-0.23,0,4,2,0,1
0067020C,0067,0.25,0,4,2,0,1
0067021C,0067,1.12,0,4,2,0,1
0067023C,0067,0.98,0,4,2,0,1
0073002C,0073,1.48,0,4,1,0,1
0073003C,0073,1.73,0,5,1,0,1
0073008C,0073,0.49,0,5,1,0,1
0073017C,0073,1.41,0,4,1,1,1
0073019C,0073,1.19,0,4,1,0,1
0073024C,0073,1.01,0,5,1,1,1
0073025C,0073,1.23,0,5,1,1,1
0075002C,0075,0.56,0,4,1,0,1
0075003C,0075,0.7,0,5,1,0,1
0075006C,0075,1.1,0,5,1,1,1
0075007C,0075,-0.09,0,3,1,1,0
0075009C,0075,-0.2,0,4,1,1,1
0075010C,0075,-0.19,0,5,1,0,1
0075011C,0075,1.02,0,4,1,0,1
0075012C,0075,1.08,0,5,1,1,1
0075013C,0075,1.42,0,4,1,1,1
0075014C,0075,0.45,0,4,1,1,1
0075015C,0075,0.97,0,4,1,1,1
0075016C,0075,0.64,0,5,1,1,1
0075017C,0075,-0.69,2,4,1,1,1
0075020C,0075,0.6,0,5,1,0,1
0075021C,0075,1.27,0,5,1,1,1
0075022C,0075,0.04,0,3,1,1,0
0075023C,0075,0.67,0,2,1,0,0
0075024C,0075,0.57,0,5,1,0,1
0077001C,0077,0.34,0,5,2,1,1
0077002C,0077,0.86,0,5,2,0,1
0077003C,0077,1.1,0,4,2,1,1
0077005C,0077,-0.44,1,2,2,1,0
0077007C,0077,1.75,0,4,2,1,1
0077009C,0077,1.09,0,5,2,1,1
0077010C,0077,0.64,0,5,2,0,1
0077012C,0077,-0.19,0,3,2,1,0
0077013C,0077,-0.04,0,3,2,1,0
0077014C,0077,0.26,0,3,2,0,0
0077020C,0077,0.59,0,4,2,1,1
0077023C,0077,0.45,0,5,2,1,1
0077024C,0077,0.34,0,5,2,1,1
0078002C,0078,1.47,0,5,1,1,1
0078003C,0078,-0.19,0,4,1,0,1
0078006C,0078,0.39,1,5,1,0,1
0078007C,0078,1.63,0,5,1,1,1
0078009C,0078,1.26,0,5,1,1,1
0078010C,0078,0.62,0,4,1,0,1
0078013C,0078,0.62,0,3,1,0,0
0078014C,0078,-0.08,0,4,1,1,1
0078016C,0078,0.32,0,5,1,1,1
0078018C,0078,0.62,0,5,1,0,1
0078020C,0078,0.2,0,5,1,1,1
0078021C,0078,-0.01,0,3,1,0,0
0078022C,0078,0.86,0,4,1,1,1
0078024C,0078,1.47,0,5,1,0,1
0081001C,0081,0.14,0,4,1,1,1
0081002C,0081,1.12,0,4,1,0,1
0081003C,0081,0.51,0,5,1,0,1
0081004C,0081,-0.11,0,4,1,1,1
0081008C,0081,1.35,0,3,1,1,0
0081009C,0081,0.16,0,3,1,1,0
0081011C,0081,0.88,0,4,1,0,1
0081015C,0081,1.8,0,4,1,1,1
0081016C,0081,1.44,0,4,1,1,1
0081018C,0081,1.36,0,3,1,1,0
0081019C,0081,1.81,0,4,1,0,1
0081020C,0081,1.01,0,3,1,1,0
0081022C,0081,-0.19,0,4,1,1,1
0081023C,0081,0.4,1,5,1,1,1
0084003C,0084,0.88,0,3,1,1,0
0084006C,0084,0.08,0,4,1,0,1
0084007C,0084,0.21,0,3,1,0,0
0084009C,0084,0.67,0,2,1,1,0
0084010C,0084,0.45,0,4,1,1,1
0084012C,0084,-0.05,0,5,1,1,1
0084013C,0084,1.62,1,3,1,0,0
0084015C,0084,0.47,0,5,1,0,1
0084016C,0084,1.44,0,5,1,0,1
0084017C,0084,0.38,0,4,1,1,1
0084018C,0084,1.22,0,3,1,1,0
0084019C,0084,0.39,0,5,1,0,1
0084020C,0084,0.32,0,5,1,0,1
0084023C,0084,1.62,0,3,1,1,0
0089002C,0089,1.86,0,5,1,1,1
0089003C,0089,-0.38,0,4,1,0,1
0089004C,0089,0.05,0,4,1,1,1
0089006C,0089,1.06,0,4,1,0,1
0089007C,0089,-0.2,1,5,1,1,1
0089008C,0089,1.22,0,4,1,0,1
0089009C,0089,-1.18,1,2,1,1,0
0089010C,0089,0.99,0,5,1,1,1
0089011C,0089,0.3,0,5,1,0,1
0089012C,0089,1.05,0,4,1,1,1
0089013C,0089,0.77,0,3,1,0,0
0089015C,0089,1.22,0,5,1,1,1
0089016C,0089,0.34,0,4,1,1,1
0089017C,0089,-0.51,0,5,1,0,1
0089018C,0089,1.36,1,3,1,1,0
0089019C,0089,-0.31,1,5,1,1,1
0089021C,0089,0.04,0,3,1,1,0
0093003C,0093,0.55,0,5,1,1,1
0093004C,0093,0.57,0,5,1,1,1
0093005C,0093,-0.11,0,4,1,0,1
0093007C,0093,-0.03,0,5,1,0,1
0093009C,0093,1.1,0,4,1,0,1
0093010C,0093,-0.17,1,4,1,1,1
0093011C,0093,0.69,0,5,1,1,1
0093012C,0093,1.48,0,5,1,1,1
0093013C,0093,-0.15,0,4,1,0,1
0093016C,0093,0.5,0,4,1,1,1
0093017C,0093,1.31,0,4,1,0,1
0093018C,0093,0.82,0,4,1,1,1
0093019C,0093,0.47,0,4,1,0,1
0093021C,0093,1.64,0,4,1,0,1
0093023C,0093,0.77,0,3,1,1,0
0093024C,0093,0.3,0,3,1,0,0
0095001C,0095,1.28,0,4,1,0,1
0095002C,0095,0.62,0,5,1,1,1
0095003C,0095,2.19,1,4,1,1,1
0095004C,0095,0.74,0,4,1,1,1
0095005C,0095,0.88,0,5,1,1,1
0095006C,0095,1.23,0,5,1,0,1
0095007C,0095,-0.52,0,3,1,1,0
0095008C,0095,0.57,0,4,1,1,1
0095010C,0095,0.98,0,4,1,0,1
0095015C,0095,0.19,0,5,1,0,1
0095016C,0095,-0.58,2,5,1,1,1
0095017C,0095,-0.01,0,4,1,0,1
0095018C,0095,0.4,0,5,1,1,1
0095022C,0095,0.22,0,5,1,0,1
0095023C,0095,1.33,0,4,1,1,1
0102008C,0102,-1.54,2,2,1,1,0
0102009C,0102,0.56,0,3,1,0,0
0104002C,0104,0.83,0,5,2,0,1
0104003C,0104,0.86,0,5,2,0,1
0104012C,0104,-0.14,0,5,2,0,1
0104025C,0104,-0.75,1,4,2,0,1
0113003C,0113,0.79,0,4,2,1,1
0113005C,0113,1.51,0,4,2,1,1
0113008C,0113,-0.68,1,4,2,1,1
0113015C,0113,0.94,0,4,2,0,1
0113017C,0113,-0.97,1,4,2,1,1
0113019C,0113,-0.86,2,4,2,0,1
0116001C,0116,1.32,1,4,1,1,1
0116002C,0116,0.51,0,4,1,0,1
0116004C,0116,1.55,0,5,1,1,1
0116006C,0116,2.0,0,5,1,0,1
0116007C,0116,-0.16,0,4,1,0,1
0116008C,0116,1.69,0,5,1,1,1
0116013C,0116,-1.44,2,4,1,1,1
0116014C,0116,-0.63,0,3,1,1,0
0116016C,0116,-0.48,0,3,1,0,0
0116017C,0116,0.74,0,3,1,0,0
0116018C,0116,0.54,1,4,1,1,1
0116019C,0116,0.53,0,4,1,1,1
0116022C,0116,2.0,0,4,1,0,1
0116024C,0116,1.13,0,4,1,0,1
0122002C,0122,0.13,0,4,2,1,1
0122005C,0122,-0.62,0,5,2,1,1
0122007C,0122,0.61,0,5,2,0,1
0122008C,0122,0.95,0,3,2,1,0
0122010C,0122,0.37,0,3,2,0,0
0122014C,0122,0.35,0,4,2,0,1
0122015C,0122,-0.34,0,4,2,0,1
0122016C,0122,0.83,0,5,2,0,1
0122017C,0122,0.32,0,4,2,1,1
0122022C,0122,-0.29,0,4,2,0,1
0122024C,0122,0.1,0,4,2,0,1
0122025C,0122,1.18,0,4,2,1,1
0122026C,0122,0.86,0,4,2,1,1
0131004C,0131,0.97,0,4,1,0,1
0131005C,0131,0.53,0,3,1,1,0
0131007C,0131,-0.76,1,5,1,1,1
0131008C,0131,-0.43,0,4,1,1,1
0131009C,0131,0.18,0,4,1,0,1
0131010C,0131,-0.63,0,2,1,0,0
0131012C,0131,1.81,0,4,1,0,1
0131013C,0131,-0.43,0,4,1,1,1
0131014C,0131,1.49,0,3,1,1,0
0131018C,0131,0.73,0,3,1,0,0
0131019C,0131,-0.35,1,4,1,1,1
0131022C,0131,0.76,1,4,1,1,1
0131023C,0131,-1.48,3,4,1,1,1
0131024C,0131,-0.45,1,4,1,1,1
0132001C,0132,0.97,1,5,1,0,1
0132003C,0132,0.98,0,4,1,0,1
0132004C,0132,0.62,0,3,1,0,0
0132005C,0132,1.14,0,4,1,1,1
0132006C,0132,0.26,1,5,1,0,1
0132007C,0132,0.1,0,3,1,1,0
0132010C,0132,0.96,0,3,1,1,0
0132011C,0132,1.23,0,5,1,1,1
0132012C,0132,2.38,0,4,1,1,1
0132013C,0132,2.13,0,4,1,0,1
0132015C,0132,0.71,0,3,1,0,0
0132017C,0132,0.89,0,5,1,0,1
0132018C,0132,1.7,0,4,1,0,1
0132019C,0132,0.15,0,3,1,0,0
0132020C,0132,1.39,0,5,1,1,1
0132021C,0132,1.15,0,5,1,1,1
0132022C,0132,0.69,0,3,1,1,0
0132023C,0132,0.88,0,3,1,0,0
0133002C,0133,0.71,0,5,1,0,1
0133003C,0133,1.45,0,5,1,0,1
0133005C,0133,-0.38,0,4,1,1,1
0133006C,0133,0.9,0,4,1,1,1
0133007C,0133,0.41,0,4,1,0,1
0133008C,0133,1.71,0,5,1,0,1
0133009C,0133,0.32,0,4,1,1,1
0133010C,0133,0.82,0,5,1,0,1
0133011C,0133,-0.65,0,4,1,0,1
0133012C,0133,0.22,0,4,1,1,1
0133014C,0133,-0.02,1,4,1,0,1
0133017C,0133,0.34,0,4,1,1,1
0133020C,0133,-0.53,0,4,1,0,1
0133023C,0133,0.44,0,4,1,0,1
0133024C,0133,0.65,0,5,1,0,1
0134001C,0134,0.66,0,3,1,0,0
0134002C,0134,0.3,0,4,1,0,1
0134004C,0134,0.6,0,5,1,1,1
0134006C,0134,0.75,0,5,1,0,1
0134007C,0134,-0.14,0,4,1,0,1
0134008C,0134,-0.15,0,3,1,0,0
0134009C,0134,-0.55,0,4,1,1,1
0134010C,0134,0.46,0,5,1,0,1
0134011C,0134,0.09,0,4,1,1,1
0134014C,0134,0.57,0,3,1,1,0
0134015C,0134,0.58,1,4,1,0,1
0134017C,0134,-0.02,0,4,1,1,1
0134019C,0134,-0.24,0,5,1,1,1
0134020C,0134,0.3,0,4,1,0,1
0134021C,0134,0.94,0,4,1,1,1
0134022C,0134,-0.71,0,4,1,1,1
0134023C,0134,-0.22,0,4,1,1,1
0134024C,0134,-0.48,0,3,1,0,0
0136001C,0136,0.97,0,4,1,1,1
0136004C,0136,-0.1,0,4,1,0,1
0136005C,0136,0.07,0,3,1,1,0
0136006C,0136,0.41,0,4,1,1,1
0136007C,0136,-0.41,0,3,1,0,0
0136008C,0136,-0.2,1,3,1,1,0
0136009C,0136,-0.78,0,4,1,0,1
0136010C,0136,-0.44,1,3,1,1,0
0136011C,0136,0.25,0,4,1,0,1
0136012C,0136,-0.46,0,4,1,0,1
0136013C,0136,-0.18,0,3,1,0,0
0136015C,0136,0.51,0,5,1,0,1
0136019C,0136,0.27,0,3,1,1,0
0136024C,0136,-0.88,1,4,1,1,1
0143001C,0143,0.67,0,4,1,1,1
0143002C,0143,-0.19,0,5,1,1,1
0143003C,0143,0.45,0,4,1,1,1
0143005C,0143,0.27,0,4,1,0,1
0143007C,0143,1.3,0,4,1,1,1
0143008C,0143,-1.05,1,5,1,0,1
0143009C,0143,0.28,0,4,1,1,1
0143013C,0143,0.71,0,3,1,0,0
0143014C,0143,0.56,1,4,1,0,1
0143016C,0143,-0.07,0,3,1,0,0
0143018C,0143,-0.41,0,4,1,0,1
0143020C,0143,1.24,0,4,1,0,1
0143022C,0143,-0.08,2,4,1,0,1
0143023C,0143,0.8,0,4,1,1,1
0143024C,0143,1.0,1,3,1,1,0
0147001C,0147,-0.67,1,3,1,1,0
0147003C,0147,1.31,0,3,1,0,0
0147004C,0147,0.3,0,4,1,1,1
0147006C,0147,-0.39,0,5,1,0,1
0147009C,0147,-0.42,0,3,1,1,0
0147012C,0147,-0.25,0,4,1,0,1
0147013C,0147,-0.32,1,4,1,1,1
0147018C,0147,-0.87,1,5,1,0,1
0147019C,0147,-0.32,0,4,1,0,1
0147020C,0147,-0.17,0,4,1,0,1
0149001C,0149,1.58,0,3,2,1,0
0149002C,0149,1.17,0,3,2,0,0
0149006C,0149,1.21,0,4,2,0,1
0149007C,0149,1.55,0,3,2,0,0
0149008C,0149,1.54,0,4,2,1,1
0149009C,0149,2.11,0,5,2,1,1
0149012C,0149,1.78,0,3,2,0,0
0149013C,0149,2.44,0,5,2,1,1
0149014C,0149,2.12,0,5,2,1,1
0149015C,0149,0.69,1,4,2,0,1
0149016C,0149,0.55,0,5,2,0,1
0149017C,0149,1.07,0,5,2,1,1
0149019C,0149,1.55,0,5,2,0,1
0149020C,0149,1.43,0,5,2,1,1
0149021C,0149,0.3,0,3,2,0,0
0149022C,0149,0.99,0,3,2,0,0
0149023C,0149,0.16,0,4,2,0,1
0150001C,0150,0.28,0,4,2,0,1
