state,year,price,pop,pop16,CPI,NDI,c,pimin,name
3,81,63.3,2794.0,2103.8,90.9,8647.558,113.8,62.7,AZ
3,82,73.3,2860.0,2153.1,96.5,8879.936,113.5,68.1,AZ
3,83,80.5,2963.0,2231.2,99.6,9579.135,111.1,79.6,AZ
3,84,92.8,3053.0,2300.7,103.9,10549.958,107.1,90.2,AZ
3,85,98.8,3161.0,2384.7,107.6,11256.387,107.1,97.5,AZ
3,86,106.7,3279.0,2483.1,109.6,11796.536,107.9,101.2,AZ
3,87,113.5,3386.0,2569.0,113.6,12367.67,106.1,103.9,AZ
3,88,113.5,3489.0,2638.0,118.3,13008.0,102.2,113.7,AZ
3,89,125.6,3556.0,2672.0,124.0,13625.0,96.8,126.4,AZ
3,90,130.2,3598.2,2703.7,130.7,13826.0,88.9,133.6,AZ
3,91,151.4,3681.7,2759.1,136.2,14232.0,81.2,146.9,AZ
3,92,165.7,3762.2,2804.8,140.3,15179.0,79.0,165.4,AZ
4,63,27.0,1907.0,1296.7,30.6,1480.3335,103.4,25.8,AR
4,64,27.3,1939.0,1320.7,31.0,1610.0797,102.6,25.7,AR
4,65,27.2,1941.0,1323.6,31.5,1710.199,100.3,26.1,AR
4,66,30.3,1963.0,1344.8,32.4,1883.875,98.9,26.2,AR
4,67,30.4,1972.0,1357.3,33.4,2004.4268,102.9,27.5,AR
4,68,30.9,1983.0,1374.6,34.8,2143.3677,104.0,29.2,AR
4,69,30.9,1995.0,1389.0,36.7,2286.395,102.9,29.9,AR
4,70,36.7,1923.0,1366.9,38.8,2493.7847,100.3,34.3,AR
4,71,38.8,1961.0,1405.4,40.5,2710.3691,104.1,36.8,AR
4,72,44.1,1999.0,1442.9,41.8,2950.4507,103.9,37.4,AR
4,73,45.1,2030.0,1474.6,44.4,3410.1816,108.0,37.3,AR
4,74,45.5,2063.0,1508.3,49.3,3807.5935,109.7,38.0,AR
4,75,48.6,2112.0,1552.5,53.8,4057.8914,114.8,43.0,AR
4,76,50.9,2113.0,1565.1,56.9,4362.3354,119.1,44.7,AR
4,77,52.6,2143.0,1596.8,60.6,4859.866,122.6,45.9,AR
4,78,56.5,2167.0,1623.7,65.2,5467.733,127.3,49.9,AR
4,79,58.4,2180.0,1641.0,72.6,6015.323,126.5,52.2,AR
4,80,61.5,2286.0,1715.1,82.4,6278.9023,131.8,57.3,AR
4,81,64.7,2296.0,1725.7,90.9,7101.31,128.7,59.9,AR
4,82,72.1,2291.0,1724.7,96.5,7390.4297,127.4,64.7,AR
4,83,82.0,2328.0,1757.4,99.6,7886.939,128.0,74.8,AR
4,84,93.6,2349.0,1776.7,103.9,8546.908,123.1,84.8,AR
4,85,98.5,2359.0,1790.1,107.6,9134.342,125.8,92.5,AR
4,86,103.6,2371.0,1804.6,109.6,9550.144,126.0,98.8,AR
4,87,113.0,2388.0,1819.0,113.6,9886.258,122.3,103.5,AR
4,88,119.9,2395.0,1823.0,118.3,10630.0,121.5,112.1,AR
4,89,127.7,2406.0,1831.0,124.0,11243.0,118.3,118.9,AR
4,90,141.2,2411.1,1834.9,130.7,12370.0,113.1,129.1,AR
4,91,146.5,2432.7,1851.2,136.2,12917.0,116.8,132.5,AR
4,92,177.3,2460.4,1876.7,140.3,13879.0,126.0,153.1,AR
5,63,25.3,17556.0,12072.0,30.6,2776.0967,142.0,23.9,CA
5,64,25.5,18003.0,12384.3,31.0,2974.9294,138.3,24.0,CA
5,65,25.3,18403.0,12673.3,31.5,3107.845,140.0,24.2,CA
5,66,25.5,18669.0,12898.5,32.4,3296.9524,136.8,29.6,CA
5,67,26.0,18992.0,13181.8,33.4,3462.2861,135.8,29.2,CA
5,68,35.4,19179.0,13370.3,34.8,3690.2957,124.3,31.3,CA
5,69,36.6,19443.0,13681.6,36.7,3919.3857,123.9,33.3,CA
5,70,38.8,19953.0,14317.6,38.8,4192.7812,123.0,37.1,CA
5,71,39.7,20266.0,14670.5,40.5,4414.307,121.0,38.5,CA
5,72,39.9,20447.0,14938.3,41.8,4650.9614,123.5,38.0,CA
5,73,39.9,20670.0,15243.7,44.4,5103.7383,124.4,38.7,CA
5,74,41.9,20915.0,15566.6,49.3,5607.304,126.7,39.2,CA
5,75,45.0,21216.0,15933.0,53.8,6138.9663,127.1,44.5,CA
5,76,48.3,21550.0,16318.7,56.9,6630.6455,128.0,44.9,CA
5,77,49.0,21900.0,16697.6,60.6,7234.7085,126.4,48.7,CA
5,78,58.7,22314.0,17117.2,65.2,8021.3955,126.1,53.6,CA
5,79,60.1,22694.0,17481.6,72.6,8957.207,121.9,57.1,CA
5,80,62.1,23669.0,20853.4,82.4,9891.9375,120.2,60.8,CA
5,81,66.4,24196.0,18670.6,90.9,10816.943,118.6,63.3,CA
5,82,72.8,24724.0,19064.1,96.5,11361.572,115.4,71.6,CA
5,83,84.9,25174.0,19419.8,99.6,12027.23,110.8,80.5,CA
5,84,94.9,25622.0,19776.5,103.9,13019.233,104.8,92.8,CA
5,85,98.0,26358.0,20215.4,107.6,13755.132,102.8,98.8,CA
5,86,104.4,27001.0,20695.9,109.6,14350.55,99.7,106.6,CA
5,87,103.9,27663.0,21156.0,113.6,15016.208,97.5,113.5,CA
5,88,117.4,28314.0,21591.0,118.3,16059.0,90.1,113.5,CA
5,89,126.4,29063.0,22081.0,124.0,16779.0,82.4,125.6,CA
5,90,163.8,29602.1,22490.6,130.7,17384.0,77.8,130.2,CA
5,91,186.8,30218.8,22694.0,136.2,17705.0,68.7,151.4,CA
5,92,201.9,30703.3,22920.0,140.3,18495.0,67.5,165.7,CA
7,63,26.8,2716.0,1883.5,30.6,2913.68,156.2,26.2,CT
7,64,27.8,2784.0,1929.7,31.0,3104.1445,143.5,26.9,CT
7,65,28.1,2830.0,1961.5,31.5,3249.668,147.0,26.5,CT
7,66,30.1,2886.0,2004.9,32.4,3493.634,144.5,30.0,CT
7,67,31.1,2918.0,2034.8,33.4,3763.2805,145.6,31.0,CT
7,68,31.3,2961.0,2075.2,34.8,3897.0337,143.2,32.1,CT
7,69,32.2,3000.0,2127.2,36.7,4135.6494,144.7,35.0,CT
7,70,42.2,3032.0,2155.2,38.8,4482.338,120.0,39.3,CT
7,71,45.5,3063.0,2201.4,40.5,4715.6035,117.6,40.2,CT
7,72,51.3,3074.0,2234.2,41.8,4948.869,110.8,41.6,CT
7,73,50.6,3076.0,2258.3,44.4,5496.722,109.3,40.6,CT
7,74,52.5,3085.0,2292.9,49.3,5949.343,112.4,41.3,CT
7,75,54.5,3097.0,2327.6,53.8,6407.314,110.2,44.3,CT
7,76,57.6,3101.0,2356.5,56.9,6838.534,113.4,52.2,CT
7,77,58.4,3107.0,2384.5,60.6,7505.16,117.3,52.3,CT
7,78,61.7,3116.0,2415.3,65.2,8309.819,117.5,56.3,CT
7,79,64.4,3115.0,2435.5,72.6,9295.313,117.4,58.7,CT
7,80,67.0,3108.0,2424.0,82.4,10384.6,118.0,60.0,CT
7,81,80.1,3134.0,2461.5,90.9,11470.676,116.4,64.5,CT
7,82,85.6,3153.0,2487.6,96.5,12380.197,114.7,71.6,CT
7,83,95.6,3138.0,2487.6,99.6,13485.534,114.1,83.1,CT
7,84,113.5,3154.0,2505.9,103.9,14927.929,112.5,94.8,CT
7,85,118.6,3175.0,2525.1,107.6,15685.507,111.0,100.3,CT
7,86,118.5,3193.0,2541.5,109.6,16486.957,108.5,101.8,CT
7,87,122.7,3211.0,2555.0,113.6,17762.428,109.0,113.5,CT
7,88,129.7,3233.0,2568.0,118.3,19559.0,104.8,121.5,CT
7,89,142.0,3239.0,2564.0,124.0,20687.0,100.6,134.8,CT
7,90,171.2,3242.9,2567.1,130.7,21447.0,91.5,150.9,CT
7,91,169.5,3246.9,2555.4,136.2,21967.0,86.7,163.3,CT
7,92,193.5,3237.0,2536.7,140.3,22891.0,83.6,175.9,CT
8,63,26.8,480.0,317.7,30.6,2261.4624,165.8,26.8,DE
8,64,27.1,494.0,326.3,31.0,2325.34,170.9,28.5,DE
8,65,27.2,503.0,332.1,31.5,2529.3674,170.8,27.9,DE
8,66,31.0,514.0,343.6,32.4,2691.4453,161.3,28.2,DE
8,67,30.7,524.0,353.2,33.4,2864.0105,158.2,29.4,DE
8,68,32.0,533.0,359.0,34.8,3061.364,164.8,30.9,DE
8,69,32.2,540.0,362.8,36.7,3287.3196,175.5,30.7,DE
8,70,39.0,584.0,378.2,38.8,3495.1606,155.0,32.6,DE
8,71,41.3,563.0,392.6,40.5,3730.6501,161.1,34.2,DE
8,72,44.7,570.0,403.1,41.8,4015.7166,156.3,34.3,DE
8,73,44.0,573.0,409.9,44.4,4438.0723,154.7,35.3,DE
8,74,44.2,576.0,416.6,49.3,4755.554,151.3,35.8,DE
8,75,45.9,579.0,424.3,53.8,5112.1255,147.6,39.5,DE
8,76,50.1,582.0,431.0,56.9,5440.0947,153.0,46.1,DE
8,77,51.7,582.0,434.8,60.6,5850.056,153.3,49.2,DE
8,78,58.7,584.0,440.6,65.2,6407.7944,155.5,52.1,DE
8,79,60.0,582.0,441.5,72.6,7017.0166,150.2,56.2,DE
8,80,62.7,595.0,454.0,82.4,7773.062,150.5,58.1,DE
8,81,66.0,598.0,458.8,90.9,8492.878,152.6,62.8,DE
8,82,74.1,602.0,463.6,96.5,9213.647,154.1,65.4,DE
8,83,82.0,606.0,469.4,99.6,10081.241,149.6,74.9,DE
8,84,91.1,613.0,476.1,103.9,10806.777,144.0,84.2,DE
8,85,98.7,622.0,481.8,107.6,11563.776,144.5,90.1,DE
8,86,105.2,633.0,492.4,109.6,12062.404,142.4,93.3,DE
8,87,111.4,644.0,502.0,113.6,12960.506,141.0,100.3,DE
8,88,119.3,660.0,513.0,118.3,14137.0,137.1,109.2,DE
8,89,124.0,673.0,522.0,124.0,14949.0,131.7,120.2,DE
8,90,140.0,681.2,528.3,130.7,16435.0,127.2,131.5,DE
8,91,143.2,695.5,537.5,136.2,16732.0,118.8,141.6,DE
8,92,174.7,704.7,543.6,140.3,18300.0,120.0,159.1,DE
9,63,23.4,792.0,563.1,30.6,2733.2266,246.4,24.7,DC
9,64,23.9,795.0,559.3,31.0,2894.0046,235.3,25.2,DC
9,65,24.1,802.0,560.2,31.5,3068.4434,246.5,25.1,DC
9,66,24.1,806.0,559.3,32.4,3215.5605,295.9,24.7,DC
9,67,26.6,808.0,559.3,33.4,3479.3206,249.8,26.3,DC
9,68,26.7,802.0,554.4,34.8,3752.5383,224.3,27.1,DC
9,69,27.2,798.0,561.2,36.7,3907.0112,212.2,28.3,DC
9,70,28.5,756.0,563.1,38.8,4202.2964,200.4,28.8,DC
9,71,32.6,750.0,560.2,40.5,4600.5635,213.0,30.2,DC
9,72,33.7,744.0,558.3,41.8,4964.1533,220.6,29.9,DC
9,73,34.5,734.0,553.4,44.4,5310.929,209.4,30.1,DC
9,74,36.0,721.0,547.6,49.3,5894.1436,182.7,31.3,DC
9,75,39.4,711.0,543.7,53.8,6587.696,176.5,33.6,DC
9,76,47.8,697.0,536.9,56.9,7003.827,167.7,37.9,DC
9,77,51.9,683.0,529.2,60.6,7770.938,136.7,38.4,DC
9,78,59.8,671.0,523.3,65.2,8369.915,130.3,42.8,DC
9,79,59.3,656.0,514.6,72.6,9306.211,128.5,45.8,DC
9,80,65.6,638.0,518.5,82.4,10605.045,129.7,48.5,DC
9,81,69.0,631.0,512.7,90.9,11612.798,131.9,51.8,DC
9,82,74.8,631.0,512.7,96.5,12167.64,132.0,56.4,DC
9,83,86.3,623.0,505.9,99.6,13222.68,124.5,68.8,DC
9,84,98.5,623.0,505.9,103.9,14479.48,124.6,76.0,DC
9,85,100.4,623.0,502.9,107.6,15439.945,122.1,83.6,DC
9,86,109.3,625.0,502.9,109.6,15675.333,117.2,91.3,DC
9,87,112.5,622.0,501.0,113.6,16632.645,113.0,94.6,DC
9,88,119.0,617.0,494.0,118.3,18397.0,105.4,102.1,DC
9,89,135.9,604.0,478.0,124.0,19937.0,101.1,109.4,DC
9,90,145.7,587.5,465.0,130.7,19351.0,84.1,128.6,DC
9,91,143.3,578.8,452.0,136.2,20231.0,82.2,136.5,DC
9,92,187.4,570.1,447.4,140.3,22101.0,82.6,157.9,DC
10,63,26.3,5532.0,3996.8,30.6,1980.6868,137.5,26.9,FL
10,64,29.7,5654.0,4087.2,31.0,2122.917,125.5,27.5,FL
10,65,29.7,5796.0,4197.7,31.5,2261.9863,131.1,29.8,FL
10,66,30.0,5914.0,4292.1,32.4,2430.5554,131.3,30.6,FL
10,67,30.2,6035.0,4401.6,33.4,2599.1245,132.8,31.5,FL
10,68,32.0,6210.0,4559.3,34.8,2861.4602,129.3,33.3,FL
10,69,41.3,6354.0,4733.1,36.7,3131.171,121.2,34.2,FL
10,70,43.5,6789.0,5188.1,38.8,3444.0771,123.6,34.3,FL
10,71,43.8,7101.0,5471.4,40.5,3693.77,123.0,35.8,FL
10,72,46.8,7407.0,5754.6,41.8,3978.2305,126.0,40.9,FL
10,73,47.4,7757.0,6073.1,44.4,4483.9375,132.6,42.1,FL
10,74,48.1,8087.0,6387.5,49.3,4813.701,136.0,42.4,FL
10,75,51.7,8253.0,6572.3,53.8,5129.768,131.9,44.5,FL
10,76,55.9,8348.0,6705.9,56.9,5436.353,130.3,47.9,FL
10,77,55.9,8481.0,6862.6,60.6,5965.239,133.1,49.5,FL
10,78,66.3,8661.0,7051.4,65.2,6677.443,133.4,54.7,FL
10,79,66.5,8860.0,7251.3,72.6,7425.4683,135.4,56.6,FL
10,80,69.8,9749.0,8052.9,82.4,8227.225,139.0,59.3,FL
10,81,72.8,10183.0,8426.6,90.9,9132.23,132.8,62.6,FL
10,82,79.0,10416.0,8626.4,96.5,9545.225,131.8,67.8,FL
10,83,90.5,10680.0,8855.5,99.6,10352.249,127.6,78.9,FL
10,84,99.3,10976.0,9113.6,103.9,11091.846,124.7,86.8,FL
10,85,104.2,11053.0,9113.6,107.6,11764.016,124.2,90.7,FL
10,86,113.8,11373.0,9384.8,109.6,12378.239,124.7,100.1,FL
10,87,120.8,12023.0,9649.0,113.6,13193.691,125.1,103.9,FL
10,88,130.5,12335.0,9870.0,118.3,14144.0,119.5,109.2,FL
10,89,139.8,12671.0,10113.0,124.0,15049.0,113.8,122.3,FL
10,90,150.1,12971.8,10353.1,130.7,15859.0,110.1,132.3,FL
10,91,174.8,13311.7,10561.6,136.2,16254.0,98.2,138.2,FL
10,92,187.0,13523.2,10664.3,140.3,17246.0,95.9,159.5,FL
11,63,26.9,4206.0,2768.4,30.6,1743.9395,108.3,26.1,GA
11,64,27.5,4304.0,2840.0,31.0,1865.9221,107.6,26.5,GA
11,65,30.9,4391.0,2903.9,31.5,2024.0862,103.5,26.2,GA
11,66,30.6,4462.0,2965.0,32.4,2193.6216,104.8,26.2,GA
11,67,31.5,4490.0,2996.5,33.4,2366.258,106.7,27.3,GA
11,68,33.3,4579.0,3077.6,34.8,2530.6248,105.0,29.5,GA
11,69,34.2,4641.0,3113.9,36.7,2730.1387,108.6,29.0,GA
11,70,34.3,4589.0,3159.7,38.8,2955.4966,109.9,32.5,GA
11,71,35.8,4679.0,3243.7,40.5,3189.1245,115.7,34.3,GA
11,72,40.9,4751.0,3314.3,41.8,3467.2039,117.0,34.1,GA
11,73,42.4,4826.0,3392.5,44.4,3885.8733,119.8,33.5,GA
11,74,42.4,4888.0,3463.1,49.3,4188.7627,123.7,35.2,GA
11,75,44.5,4926.0,3519.4,53.8,4493.7197,122.9,38.1,GA
11,76,47.9,4968.0,3581.5,56.9,4872.0728,125.9,41.0,GA
11,77,49.5,5027.0,3652.1,60.6,5279.371,127.9,42.2,GA
11,78,54.7,5075.0,3711.3,65.2,5893.4194,130.6,49.2,GA
11,79,56.6,5117.0,3764.7,72.6,6422.7007,131.0,50.2,GA
11,80,59.3,5464.0,4036.7,82.4,7014.007,134.0,52.3,GA
11,81,62.6,5574.0,4133.1,90.9,7744.869,131.7,54.7,GA
11,82,67.8,5639.0,4197.0,96.5,8357.884,131.2,61.9,GA
11,83,78.9,5732.0,4283.8,99.6,9010.182,128.6,72.4,GA
11,84,86.8,5837.0,4382.1,103.9,9955.031,126.3,81.3,GA
11,85,90.7,5973.0,4486.1,107.6,10577.35,128.8,83.0,GA
11,86,100.1,6100.0,4595.9,109.6,11423.992,129.0,88.7,GA
11,87,103.9,6222.0,4698.0,113.6,12115.572,129.3,95.3,GA
11,88,109.2,6342.0,4778.0,118.3,12925.0,124.1,99.9,GA
11,89,122.4,6436.0,4842.0,124.0,13464.0,117.1,111.9,GA
11,90,132.3,6503.3,4892.6,130.7,14354.0,113.8,125.2,GA
11,91,138.2,6648.8,4987.7,136.2,14694.0,109.6,129.0,GA
11,92,159.5,6777.3,5088.7,140.3,15943.0,109.2,151.9,GA
13,63,28.0,689.0,451.6,30.6,1938.8138,97.0,24.9,ID
13,64,29.4,687.0,453.5,31.0,2021.6064,90.1,26.2,ID
13,65,29.1,693.0,461.2,31.5,2302.4724,95.2,26.1,ID
13,66,29.8,700.0,468.9,32.4,2314.0005,94.5,26.5,ID
13,67,30.1,701.0,474.7,33.4,2445.0015,98.3,27.4,ID
13,68,32.0,709.0,485.3,34.8,2559.2344,99.1,32.3,ID
13,69,31.9,718.0,487.2,36.7,2813.9001,100.6,32.6,ID
13,70,33.8,713.0,493.0,38.8,3058.086,102.4,34.0,ID
13,71,33.6,735.0,513.2,40.5,3245.6792,108.5,34.4,ID
13,72,33.7,756.0,533.4,41.8,3615.626,126.1,34.4,ID
13,73,36.3,772.0,547.9,44.4,4165.8296,121.8,34.4,ID
13,74,38.0,794.0,568.1,49.3,4643.721,125.6,35.8,ID
13,75,40.3,815.0,586.4,53.8,4804.0664,123.3,38.6,ID
13,76,42.5,836.0,604.7,56.9,5161.437,125.1,42.6,ID
13,77,45.6,859.0,623.0,60.6,5555.488,125.0,43.4,ID
13,78,51.5,882.0,640.3,65.2,6217.8286,122.8,49.5,ID
13,79,55.4,905.0,655.7,72.6,6672.6636,117.5,51.7,ID
13,80,56.4,944.0,677.9,82.4,7348.6284,115.2,55.3,ID
13,81,59.2,959.0,687.5,90.9,8047.6494,114.1,55.9,ID
13,82,67.6,965.0,691.3,96.5,8138.826,111.5,64.3,ID
13,83,76.5,989.0,707.7,99.6,8744.574,111.3,71.0,ID
13,84,88.5,1001.0,717.3,103.9,9148.058,103.6,81.7,ID
13,85,97.6,1004.0,723.1,107.6,9493.9,100.7,87.4,ID
13,86,99.9,1002.0,726.0,109.6,9883.759,96.7,97.8,ID
13,87,107.1,998.0,726.0,113.6,10386.803,95.0,102.7,ID
13,88,121.9,1003.0,732.0,118.3,11177.0,84.5,112.9,ID
13,89,133.6,1014.0,742.0,124.0,12041.0,78.4,118.6,ID
13,90,141.3,1027.3,751.7,130.7,13318.0,90.1,129.5,ID
13,91,144.4,1059.9,777.4,136.2,14079.0,85.4,127.0,ID
13,92,167.2,1088.5,802.2,140.3,14572.0,85.1,155.1,ID
14,63,25.4,10369.0,7115.8,30.6,2655.6912,145.5,24.1,IL
14,64,25.6,10538.0,7225.6,31.0,2831.5508,144.5,25.0,IL
14,65,26.2,10641.0,7307.5,31.5,3037.7673,145.5,24.5,IL
14,66,30.0,10787.0,7425.9,32.4,3229.3289,144.2,24.7,IL
14,67,30.1,10887.0,7521.3,33.4,3391.5803,141.8,25.0,IL
14,68,35.6,10958.0,7608.9,34.8,3582.095,132.6,26.3,IL
14,69,35.2,11047.0,7738.0,36.7,3795.639,130.4,27.0,IL
14,70,41.4,11113.0,7860.3,38.8,4013.3699,124.8,28.3,IL
14,71,41.4,11172.0,7963.3,40.5,4319.031,125.6,30.1,IL
14,72,41.9,11200.0,8054.8,41.8,4560.838,126.6,30.6,IL
14,73,41.0,11179.0,8110.6,44.4,5158.552,124.4,30.6,IL
14,74,41.9,11169.0,8177.1,49.3,5603.435,131.9,31.5,IL
14,75,45.2,11178.0,8255.1,53.8,6120.5464,131.8,33.3,IL
14,76,48.4,11209.0,8342.7,56.9,6523.558,134.4,36.0,IL
14,77,49.4,11232.0,8417.9,60.6,7108.7104,134.0,36.9,IL
14,78,54.6,11238.0,8472.7,65.2,7812.1494,136.7,41.4,IL
14,79,56.8,11229.0,8505.5,72.6,8642.249,135.3,43.4,IL
14,80,60.0,11427.0,8673.1,82.4,9179.249,135.2,46.3,IL
14,81,63.1,11462.0,8714.5,90.9,10134.963,133.0,49.4,IL
14,82,69.6,11448.0,8716.4,96.5,10588.221,130.7,56.3,IL
14,83,80.8,11486.0,8759.7,99.6,11044.618,127.9,66.4,IL
14,84,89.6,11511.0,8799.2,103.9,12027.549,124.0,75.4,IL
14,85,96.7,11538.0,8832.9,107.6,12644.1045,121.6,79.3,IL
14,86,108.4,11551.0,8864.7,109.6,13314.046,118.2,85.4,IL
14,87,116.2,11582.0,8909.0,113.6,13970.38,109.5,90.5,IL
14,88,124.1,11614.0,8961.0,118.3,15103.0,107.6,94.4,IL
14,89,132.7,11658.0,9003.0,124.0,16060.0,104.6,103.8,IL
14,90,147.3,11679.5,9019.6,130.7,17510.0,94.1,115.6,IL
14,91,154.4,11793.9,9080.1,136.2,17908.0,96.1,120.5,IL
14,92,179.8,11883.8,9138.5,140.3,18914.0,94.8,135.8,IL
15,63,24.4,4780.0,3206.7,30.6,2204.3264,138.5,24.1,IN
15,64,26.0,4832.0,3244.2,31.0,2344.611,134.3,25.0,IN
15,65,26.0,4893.0,3296.9,31.5,2562.2585,135.3,24.5,IN
15,66,28.8,4973.0,3365.1,32.4,2702.5432,132.1,24.7,IN
15,67,29.1,5012.0,3411.1,33.4,2784.0322,134.8,25.0,IN
15,68,29.8,5065.0,3472.5,34.8,2970.7346,134.3,26.3,IN
15,69,29.7,5118.0,3514.8,36.7,3194.5713,132.9,27.0,IN
15,70,30.6,5193.0,3616.5,38.8,3304.9421,134.6,28.3,IN
15,71,32.2,5239.0,3681.7,40.5,3570.039,139.3,30.1,IN
15,72,32.5,5278.0,3743.1,41.8,3812.4426,149.2,30.6,IN
15,73,32.9,5304.0,3794.9,44.4,4427.2197,156.0,30.6,IN
15,74,34.5,5318.0,3840.0,49.3,4611.859,159.6,31.5,IN
15,75,36.7,5312.0,3869.8,53.8,5024.461,162.4,33.3,IN
15,76,38.7,5326.0,3912.0,56.9,5521.6465,166.6,36.0,IN
15,77,40.6,5352.0,3960.0,60.6,6012.643,173.0,36.9,IN
15,78,50.0,5387.0,4013.7,65.2,6663.5225,150.9,41.4,IN
15,79,52.5,5400.0,4045.4,72.6,7358.7573,148.9,43.4,IN
15,80,53.7,5490.0,4103.9,82.4,7760.0127,146.9,46.3,IN
15,81,58.3,5468.0,4102.0,90.9,8407.798,148.5,49.4,IN
15,82,65.1,5471.0,4115.4,96.5,8612.036,147.7,56.3,IN
15,83,75.7,5479.0,4134.6,99.6,9060.74,143.0,66.4,IN
15,84,85.2,5498.0,4164.4,103.9,10077.805,137.8,75.4,IN
15,85,88.8,5500.0,4186.4,107.6,10502.784,135.3,79.3,IN
15,86,93.6,5503.0,4211.4,109.6,11140.255,137.6,85.4,IN
15,87,100.1,5531.0,4244.0,113.6,11803.513,134.0,90.5,IN
15,88,109.3,5556.0,4275.0,118.3,12638.0,134.0,94.4,IN
15,89,119.0,5593.0,4301.0,124.0,13451.0,132.5,103.8,IN
15,90,130.8,5613.2,4316.6,130.7,14441.0,128.3,115.6,IN
15,91,135.8,5680.1,4373.5,136.2,14773.0,127.2,120.5,IN
15,92,153.5,5732.7,4430.4,140.3,15882.0,128.2,135.8,IN
16,63,26.4,2758.0,1880.7,30.6,2153.0144,114.9,25.4,IA
16,64,27.9,2763.0,1889.4,31.0,2280.5627,109.7,25.6,IA
16,65,28.1,2758.0,1897.1,31.5,2537.7,116.0,26.1,IA
16,66,31.6,2764.0,1912.5,32.4,2722.39,108.2,26.2,IA
16,67,32.0,2772.0,1930.8,33.4,2744.8384,113.7,27.5,IA
16,68,36.3,2775.0,1950.1,34.8,2918.304,109.2,29.2,IA
