s4_id,w1sesl_m,nbhoodcl,nbhclim2,pubpriv2
0247,1.26,0,0,0
0250,0.6415,0,0,1
0251,-0.03625,2,2,0
0253,-0.6211111,3,4,0
0255,-0.53,6,,0
0256,0.11125,0,0,1
0258,-0.056,0,0,0
0259,0.29642856,0,0,0
0262,0.17058824,1,1,0
0263,0.151,3,3,1
0264,0.378125,2,2,1
0265,0.44066668,0,1,0
0267,-0.47333333,0,0,0
0269,0.86777776,0,1,0
0270,-0.2064706,3,4,0
0271,1.018125,0,0,0
0272,0.625,0,0,0
0280,0.8875,0,1,0
0282,0.6,0,0,0
0284,-0.0046153846,0,0,0
0286,-0.47333333,0,0,0
0288,0.87526315,0,0,1
0290,0.15631579,2,3,0
0292,0.16,0,0,0
0296,0.012727273,1,2,0
0299,0.89933336,0,0,1
0300,0.31083333,0,0,0
0301,0.17307693,0,0,0
0303,-0.58272725,3,3,0
0310,0.141,0,0,0
0311,-0.02909091,0,0,0
0312,0.48555556,0,1,0
0313,-0.07285714,2,3,0
0314,0.95714283,0,0,1
0318,0.23818181,0,0,1
0327,-0.36153847,2,3,0
0331,-0.14875,0,0,0
0333,0.470625,2,3,0
0336,-0.7342857,4,5,0
0337,0.95666665,0,0,1
0339,0.21272728,4,5,1
0343,0.2755,3,3,1
0344,-0.355,0,0,0
0345,0.5129412,0,0,0
0346,-0.12631579,0,,0
0348,-0.45692307,6,7,0
0350,0.086666666,0,0,1
0351,-0.10230769,0,0,0
0355,-0.38714287,3,4,0
0356,0.011333333,2,2,1
0357,-0.47473684,1,2,0
0359,0.036111113,0,0,0
0360,0.21066667,0,0,0
0361,0.45409092,0,0,1
0362,-0.33222222,2,3,0
0364,0.040666666,0,0,0
0365,-0.5905882,5,6,0
0366,0.52272725,0,0,0
0369,-0.47266668,1,1,0
0370,-0.41235295,0,1,0
0375,-0.055,0,0,1
0376,0.12,0,0,1
0377,0.149375,1,1,0
0378,-0.158,0,1,1
0379,0.2864,0,0,1
0380,-0.17666666,0,0,0
0383,0.1275,0,0,0
0385,-0.21333334,5,6,1
0387,-0.7125,6,6,0
0388,-0.44625,7,7,0
0390,0.45272726,1,1,1
0393,-0.104166664,4,5,0
0395,0.33933333,0,0,0
0396,-0.5161539,0,1,0
0397,-0.158,6,6,0
0399,0.445,5,6,1
0403,0.17692308,3,4,0
0405,0.68133336,0,0,0
0417,0.7953333,0,0,0
0425,0.205,1,1,1
0429,0.8373684,0,0,1
0430,0.27105263,3,3,0
0431,0.05882353,3,3,0
0432,0.065238096,0,0,0
0433,0.043333333,0,0,0
0434,0.13692307,0,0,0
0436,0.4353846,0,0,0
0440,0.32333332,0,0,0
0441,0.12857144,0,0,0
0442,0.5152381,0,0,0
0443,0.6438095,0,1,0
0444,-0.16333333,1,1,0
0445,0.025,0,0,0
0451,-0.17210527,1,1,0
0452,0.2273913,0,0,1
0454,0.20076923,0,0,0
0455,0.6695652,0,0,0
0456,-0.465,1,1,0
0458,-0.12727273,1,2,0
0460,0.5104348,0,0,0
0461,-0.21933334,0,0,0
0462,-0.03117647,2,2,0
0463,-0.34555554,0,0,0
0466,0.020434782,0,0,1
0467,-0.27714285,0,0,0
0471,0.2175,1,1,0
0473,0.34357142,0,0,0
0474,-0.3,0,0,0
0475,0.3475,2,2,1
0480,-0.08461539,0,0,0
0481,-0.093333334,0,0,0
0482,0.153,6,7,1
0483,0.124,2,2,0
0484,-0.17818181,2,3,0
0491,-0.06933333,0,0,0
0494,-0.342,1,1,0
0495,-0.08166666,0,0,0
0500,1.0861539,0,0,1
0501,-0.26909092,1,1,0
0502,-0.414375,0,0,0
0504,-0.17625,6,6,0
0505,-0.15384616,1,1,0
0507,1.3630769,0,0,0
0508,0.78105265,0,0,1
0511,0.03,0,0,0
0515,-0.603,11,12,0
0517,-0.044615384,5,6,0
0518,-0.7784615,5,6,0
0519,-0.36166668,7,,0
0520,-0.8385714,6,,0
0521,0.16444445,6,7,1
0523,-0.425,8,,0
0527,-0.4953846,6,7,0
0528,0.45235294,0,1,0
0529,0.22785714,0,0,1
0532,0.51,0,0,0
0537,-0.546,0,1,0
0538,-0.047142856,0,0,1
0546,-0.072,3,3,0
0551,0.7182353,0,0,0
0572,0.6118182,0,0,0
0587,0.78125,0,1,0
0593,-0.012777777,0,0,0
0597,-0.602,0,0,0
0598,1.3271428,0,0,1
0602,0.98214287,0,0,0
0605,-0.0014285714,0,0,0
0609,0.31615385,0,0,0
0618,0.33764705,0,0,1
0621,-0.08555555,0,1,0
0622,-0.012666667,0,0,0
0623,-0.20642857,0,0,0
0626,0.26333332,0,0,1
0635,1.2561904,2,2,0
0638,-0.34666666,0,0,0
0639,0.11272727,0,0,0
0642,0.03818182,0,0,0
0643,1.34,0,0,1
0646,0.15333334,0,0,0
0650,-0.378,0,0,0
0651,0.16944444,1,2,0
0652,0.57,0,0,0
0653,-0.2625,6,6,0
0654,-0.14333333,5,5,0
0661,-0.017333332,0,0,0
0662,0.43266666,0,0,0
0663,0.40133333,0,0,1
0665,0.6205,1,2,0
0667,0.37461537,0,0,0
0673,-0.6675,4,4,0
0676,0.1725,1,1,0
0678,-0.16833334,0,1,0
0680,-0.071428575,0,0,0
0684,-0.16083333,0,0,0
0685,0.430625,0,0,0
0686,-0.64285713,1,1,0
0687,0.53,2,2,0
0691,-0.49625,1,2,0
0695,-0.083076924,1,2,0
0696,-0.662,4,5,0
0704,-0.12411765,4,4,0
0706,-0.70076925,8,9,0
0710,-0.92444444,5,6,0
0713,0.668125,0,0,1
0717,0.795,1,1,0
0718,0.34875,0,0,0
0728,-0.14466667,0,,0
0729,0.3917647,0,0,0
0731,-0.6457143,4,5,0
0735,-0.46545455,4,5,0
0737,0.61,3,4,1
0739,-0.144,2,3,0
0740,-0.416875,0,0,0
0743,0.28866667,0,0,0
0746,0.09263158,0,0,0
0750,-0.01,0,0,0
0751,-0.533125,4,5,0
0752,0.25642857,0,0,0
0754,-0.76411766,1,1,0
0755,-0.559375,2,2,0
0757,-0.5984615,5,6,0
0758,-0.982,0,0,0
0759,-0.79714286,5,5,0
0761,-0.7845,0,0,0
0762,-0.60058826,0,0,0
0765,-1.2266667,4,4,0
0766,-0.9205263,4,5,0
0769,0.50142854,1,1,0
0771,0.47214285,1,1,0
0775,-0.26333332,0,0,0
0776,0.24357143,0,0,0
0779,-0.27866668,0,0,0
0785,0.45916668,0,0,0
0790,0.7216667,0,0,0
0797,-0.507,4,4,0
0800,-0.38235295,0,0,0
0803,-0.71875,0,0,0
0804,-0.5164286,0,0,0
0805,-0.35647058,1,1,0
0808,-0.2382353,0,0,0
0809,-0.425625,2,3,0
0810,-0.6766667,7,7,0
0812,0.75333333,0,0,1
0815,-0.4636842,0,0,0
0816,0.33916667,0,0,0
0818,-0.49888888,0,0,0
0824,-0.585,1,1,0
0826,-0.71,5,,0
0828,0.7961111,0,0,1
0829,0.699375,2,2,1
0830,0.23588236,0,0,1
0831,-0.051,10,10,1
0833,-0.36125,1,2,0
0834,-0.237,5,6,0
0836,-0.4942857,3,4,0
0839,0.20428571,0,0,0
0840,1.4557894,0,0,1
0841,-0.60411763,2,2,0
0845,-0.48666668,2,2,0
0847,-0.07375,0,0,0
0848,-0.476,5,5,0
0849,-0.7076471,4,4,0
0850,0.82166666,0,0,1
0851,-1.139,10,10,0
0852,0.02736842,0,0,1
0853,1.055,0,0,1
0855,0.069375,0,0,0
0856,0.36333334,0,0,0
0858,-0.53833336,0,0,0
0859,-0.023571428,2,2,0
0860,-0.05090909,0,0,0
0862,-0.39333335,0,0,0
0863,-0.828,1,1,0
0865,-0.48444444,5,6,0
0867,-0.45875,2,2,0
0869,-0.023076924,0,0,0
0870,-0.09846154,0,0,0
0871,0.30916667,3,3,0
0873,-0.27375,0,1,0
0874,-0.04375,7,8,0
0876,-0.42666668,11,11,0
0878,0.09583333,2,3,0
0881,-0.4207143,1,1,0
0882,0.275625,0,0,0
0884,-0.03375,0,0,0
0885,-0.4035294,5,6,0
0886,0.004705882,0,0,0
0887,0.5793333,0,0,1
0890,-0.8870588,6,7,0
0891,-0.76916665,2,,0
0893,-0.745,2,2,0
0894,0.21090908,1,1,1
0897,0.7763636,0,,1
0906,-0.33294117,7,8,0
0907,-0.29142857,2,2,0
0908,-0.19266666,2,2,0
0909,-0.27052632,0,0,0
0913,-0.113529414,0,0,0
0915,0.111666664,6,6,0
0918,-0.82714283,0,0,0
0920,-0.636,2,2,0
0921,-0.64153844,8,,0
0926,-0.7683333,0,0,0
0932,0.8516667,0,0,0
0935,0.14714286,4,4,0
0936,-0.21571429,0,0,0
0937,0.44,1,1,0
0938,0.6125,2,3,0
0939,-0.68923074,4,5,0
0941,-0.226875,0,0,0
0942,-0.16882353,1,1,0
0944,0.7172222,0,0,1
0946,-0.56666666,4,4,0
0948,0.012105263,2,2,0
0949,-1.3730769,6,,0
0954,0.03529412,3,3,0
0955,-0.9894118,2,2,0
0962,0.016,1,1,0
0964,-0.3231818,0,0,0
0967,-0.019375,1,1,0
0968,0.40538463,0,0,0
0969,0.51133335,1,1,1
0975,0.22941177,1,1,0
0983,0.51111114,0,0,1
1000,1.044,0,0,0
1001,0.79555553,0,0,0
1002,0.5114286,3,3,0
1003,0.310625,0,0,0
1006,0.718125,0,1,1
1008,-0.20684211,3,3,0
1010,-0.23411764,0,0,0
1011,-0.13615385,2,3,0
1017,-0.10266667,1,1,0
1018,0.414,0,0,0
1019,-0.276,4,5,0
1020,-0.37142858,6,6,0
1022,-0.17733334,0,0,0
1023,-0.78818184,2,2,0
1024,1.3925,1,1,1
1025,0.43666667,0,0,0
1026,-0.456,5,,0
1031,-0.24066667,4,4,0
1033,-1.0,12,14,0
1038,0.166,8,10,0
1042,-0.45615384,1,1,0
1045,0.7147059,1,1,1
1049,0.476875,1,1,0
1053,-0.282,0,1,0
1054,0.46555555,0,0,0
1068,-0.08083333,5,6,0
1078,-0.80285716,6,6,0
1082,1.3278571,0,0,0
1083,0.98,0,0,0
1085,0.16384615,0,0,0
1088,0.31928572,2,2,0
1089,-0.5325,5,5,0
1090,0.41636363,0,0,1
1091,0.055454545,3,4,1
1092,-0.31538463,2,3,0
1094,0.59692305,0,0,1
1096,-1.025,1,2,0
1098,-0.809,9,11,0
1099,-0.8136842,12,13,0
1100,-0.82666665,6,7,0
1102,-0.92285717,10,11,0
1105,0.525,1,1,0
1107,1.3706666,0,0,0
1111,0.34833333,1,1,0
1116,-0.242,9,11,1
1118,0.0775,0,0,0
1119,1.2454545,0,0,1
1124,-0.065,2,2,1
1133,0.556875,0,0,0
1134,0.28727272,3,3,0
1137,-0.64,6,,0
1138,0.88133335,0,0,1
1142,-0.57357144,0,0,0
1148,0.4504762,3,3,1
1154,-0.7307692,2,2,0
1155,-0.81,5,5,0
1163,0.24714285,0,0,1
1164,0.2557143,0,0,1
1165,1.4213636,1,1,1
1166,-0.9635714,5,6,0
1167,-0.44066668,6,7,0
1169,-0.84727275,7,8,0
1174,-1.20625,6,6,0
1176,0.92764705,0,0,0
1179,-0.9605882,7,7,0
1186,-0.04083333,10,12,1
1188,1.0514286,0,0,1
1192,-0.32636362,3,4,0
1193,0.17,5,6,0
1198,-0.794,5,5,0
1204,0.5136842,0,0,1
1211,1.3386667,0,0,1
1213,-0.8275,8,8,0
1215,-0.9718182,2,3,0
1217,-0.9375,8,9,0
1218,-0.9906667,5,5,0
1219,-0.81363636,10,11,0
1221,0.79764706,0,0,0
1222,0.60555553,0,0,0
1223,-0.8657143,7,,0
1224,-0.759,5,5,0
1228,0.09916667,0,0,0
1229,0.23615384,0,0,0
1231,0.4507143,0,0,0
1238,-0.87777776,6,6,0
1239,0.7,0,0,1
1241,0.09875,5,6,1
1246,-0.44916666,0,0,0
1247,-0.6910526,6,7,0
1249,0.12733333,0,0,0
1251,-0.008461539,0,0,0
1252,0.32066667,4,5,0
1255,-0.33076924,0,1,0
1256,-0.44538462,5,,0
1260,-0.368,0,0,0
1264,-0.55333334,1,1,0
1265,0.051,0,0,0
1269,-0.0225,4,5,0
1271,-0.36461538,3,3,0
1272,-0.404375,0,0,0
1273,-0.0425,5,6,0
1275,-0.39588234,2,2,0
1276,-0.56526315,4,5,0
1277,-0.28842106,4,4,0
1280,-0.0055555557,1,1,0
2001,0.36555555,0,0,1
2037,1.3894737,0,0,1
2046,0.2025,0,0,1
2071,0.76666665,0,0,1
2078,-0.129375,1,1,0
2111,0.136,1,1,0
2114,0.359,1,1,0
2115,0.70714283,0,0,0
2119,-0.020909091,3,4,0
2121,0.15,4,5,0
2129,0.8844444,0,0,1
2132,0.68333334,0,0,1
2133,0.12666667,0,0,1
2134,0.21846154,0,0,1
3006,0.7285,0,0,0
3007,0.4,0,0,0
3009,-0.5335714,7,9,0
3011,0.3307143,0,0,0
3012,0.278125,4,4,0
3013,-0.114,3,,0
3014,-0.20666666,2,2,0
3015,-0.3023077,0,0,0
3016,-0.22736841,0,0,0
3019,-0.36846155,0,0,0
3020,-0.21,0,1,0
3021,-0.44846153,9,11,0
3022,0.375,0,0,0
3023,-0.56,4,4,0
3025,-0.06428572,0,0,0
3026,-0.576,5,6,0
3028,0.92368424,0,0,0
3029,-0.39571428,0,0,0
3031,-0.5683333,4,4,0
3033,0.33,1,1,0
3036,-0.16428572,1,1,0
3037,0.14875,5,6,0
3038,-0.4276923,2,2,0
3039,-0.276,2,2,0
3041,-0.020833334,0,0,0
3042,-0.5088889,2,2,0
3043,0.20142858,0,0,0
3046,-0.13461539,0,0,0
3047,0.02625,0,0,0
3048,0.8258824,0,0,0
3052,0.6807143,0,0,0
3053,-0.444,0,0,0
3062,0.026428571,3,4,0
3063,0.151,1,1,0
3068,-0.34833333,1,1,0
3070,-0.5010526,4,5,0
3071,-0.381875,4,5,0
3072,-0.42,2,2,0
3073,-0.11588235,0,0,0
3074,0.49722221,1,1,0
3077,1.2105556,1,1,0
3080,0.06285714,6,7,0
3081,1.3841667,0,0,0
3082,-0.263125,1,1,0
3084,-0.44235295,8,9,0
3094,1.3661904,0,0,0
3103,0.18733333,3,3,0
3105,0.92875,1,1,0
3106,-0.49375,7,,0
3108,-0.24235295,0,0,0
3110,-0.6988889,3,4,0
3113,-0.135,2,2,0
3114,-0.42214286,1,1,0
3115,-0.048,0,0,0
5018,-0.25,1,2,0
5029,-0.24,0,0,1
5051,-0.07,2,2,1
5190,-0.30888888,3,3,0
5241,-0.25071427,1,1,0
5287,0.14,0,0,0
5290,0.828,0,0,0
5670,0.074,0,1,0
6010,-0.07111111,1,1,0
6021,-0.2957143,0,0,0
6116,-0.13235295,0,0,0
