schid,stuid,ses,meanses,homework,white,parented,public,ratio,percmin,math,sex,race,sctype,cstr,scsize,urban,region
6053,71,1.5,0.6997727,7,1,6,0,18,3,59,1,4,4,3,3,1,2
6053,76,0.34,0.6997727,4,1,4,0,18,3,60,2,4,4,3,3,1,2
6053,77,1.57,0.6997727,1,1,6,0,18,3,48,2,4,4,3,3,1,2
6053,82,0.76,0.6997727,4,1,4,0,18,3,59,1,4,4,3,3,1,2
6053,84,0.63,0.6997727,4,0,4,0,18,3,50,2,2,4,3,3,1,2
6053,86,1.39,0.6997727,1,1,6,0,18,3,43,1,4,4,3,3,1,2
6053,87,0.07,0.6997727,2,1,4,0,18,3,48,1,4,4,3,3,1,2
6053,88,0.32,0.6997727,5,1,3,0,18,3,65,2,4,4,3,3,1,2
6053,93,0.31,0.6997727,2,0,4,0,18,3,41,2,1,4,3,3,1,2
6053,97,-0.18,0.6997727,2,0,3,0,18,3,50,1,3,4,3,3,1,2
6053,98,0.85,0.6997727,2,1,5,0,18,3,64,1,4,4,3,3,1,2
6327,4,1.0,0.6575,1,1,6,0,23,0,61,1,4,3,4,1,2,2
6327,9,0.56,0.6575,1,1,3,0,23,0,56,1,4,3,4,1,2,2
6327,13,0.3,0.6575,1,1,5,0,23,0,46,1,4,3,4,1,2,2
6327,15,0.75,0.6575,0,1,5,0,23,0,60,1,4,3,4,1,2,2
6327,70,1.08,0.6575,0,1,5,0,23,0,65,1,4,3,4,1,2,2
6327,81,-0.44,0.6575,3,1,3,0,23,0,39,2,4,3,4,1,2,2
6327,90,1.23,0.6575,0,1,6,0,23,0,67,1,4,3,4,1,2,2
6327,99,0.78,0.6575,0,1,5,0,23,0,65,1,4,3,4,1,2,2
6467,3,-0.3,-0.19400002,3,1,3,0,19,0,61,2,4,3,4,1,3,2
6467,43,-0.27,-0.19400002,0,1,3,0,19,0,42,1,4,3,4,1,3,2
6467,56,-0.49,-0.19400002,3,1,3,0,19,0,67,2,4,3,4,1,3,2
6467,58,1.16,-0.19400002,4,1,6,0,19,0,67,1,4,3,4,1,3,2
6467,88,-1.07,-0.19400002,1,1,2,0,19,0,46,1,4,3,4,1,3,2
7194,6,-0.49,-0.34333333,2,1,3,1,21,1,42,1,4,1,5,2,3,2
7194,7,0.71,-0.34333333,1,1,4,1,21,1,56,1,4,1,5,2,3,2
7194,9,-0.14,-0.34333333,2,1,2,1,21,1,40,2,4,1,5,2,3,2
7194,13,-0.52,-0.34333333,3,1,2,1,21,1,40,2,4,1,5,2,3,2
7194,15,-0.35,-0.34333333,1,0,3,1,21,1,41,1,2,1,5,2,3,2
7194,17,-0.53,-0.34333333,2,1,1,1,21,1,39,1,4,1,5,2,3,2
7194,25,-0.48,-0.34333333,2,1,2,1,21,1,48,2,4,1,5,2,3,2
7194,28,-0.04,-0.34333333,1,1,2,1,21,1,42,2,4,1,5,2,3,2
7194,29,-0.49,-0.34333333,1,1,3,1,21,1,50,2,4,1,5,2,3,2
7194,32,-0.34,-0.34333333,1,1,3,1,21,1,59,1,4,1,5,2,3,2
7194,36,-0.89,-0.34333333,0,1,2,1,21,1,62,1,4,1,5,2,3,2
7194,37,0.25,-0.34333333,0,1,3,1,21,1,42,1,4,1,5,2,3,2
7194,39,-0.17,-0.34333333,1,0,3,1,21,1,53,1,5,1,5,2,3,2
7194,40,0.03,-0.34333333,2,1,3,1,21,1,53,2,4,1,5,2,3,2
7194,54,-0.12,-0.34333333,4,1,3,1,21,1,44,2,4,1,5,2,3,2
7194,55,-0.53,-0.34333333,0,1,4,1,21,1,43,1,4,1,5,2,3,2
7194,68,-0.5,-0.34333333,1,1,3,1,21,1,62,2,4,1,5,2,3,2
7194,72,0.08,-0.34333333,1,1,3,1,21,1,64,2,4,1,5,2,3,2
7194,75,-0.63,-0.34333333,2,1,2,1,21,1,45,1,4,1,5,2,3,2
7194,81,-0.69,-0.34333333,3,1,2,1,21,1,37,1,4,1,5,2,3,2
7194,83,-0.45,-0.34333333,1,1,3,1,21,1,50,1,4,1,5,2,3,2
7194,84,-0.9,-0.34333333,2,1,1,1,21,1,58,2,4,1,5,2,3,2
7194,93,-0.41,-0.34333333,2,1,3,1,21,1,56,1,4,1,5,2,3,2
7194,94,-0.64,-0.34333333,1,1,3,1,21,1,37,1,4,1,5,2,3,2
7472,3,-0.13,-0.4826087,1,1,2,1,19,0,48,2,4,1,2,3,2,2
7472,8,-0.39,-0.4826087,0,1,2,1,19,0,48,1,4,1,2,3,2,2
7472,13,-0.8,-0.4826087,0,1,2,1,19,0,53,1,4,1,2,3,2,2
7472,17,-0.72,-0.4826087,1,1,2,1,19,0,42,1,4,1,2,3,2,2
7472,27,-0.74,-0.4826087,2,1,2,1,19,0,43,2,4,1,2,3,2,2
7472,28,-0.58,-0.4826087,1,1,2,1,19,0,57,2,4,1,2,3,2,2
7472,30,-0.83,-0.4826087,5,1,2,1,19,0,33,2,4,1,2,3,2,2
7472,36,-0.51,-0.4826087,1,1,3,1,19,0,64,1,4,1,2,3,2,2
7472,37,-0.56,-0.4826087,1,1,2,1,19,0,36,2,4,1,2,3,2,2
7472,42,0.21,-0.4826087,2,1,3,1,19,0,56,2,4,1,2,3,2,2
7472,52,-0.7,-0.4826087,1,1,2,1,19,0,48,2,4,1,2,3,2,2
7472,53,-0.19,-0.4826087,1,1,3,1,19,0,48,1,4,1,2,3,2,2
7472,61,-1.34,-0.4826087,1,1,2,1,19,0,44,1,4,1,2,3,2,2
7472,64,-1.58,-0.4826087,2,1,1,1,19,0,35,2,4,1,2,3,2,2
7472,72,-0.05,-0.4826087,1,1,2,1,19,0,50,2,4,1,2,3,2,2
7472,83,-0.5,-0.4826087,4,1,3,1,19,0,36,2,4,1,2,3,2,2
7472,84,-0.26,-0.4826087,1,1,3,1,19,0,47,2,4,1,2,3,2,2
7472,85,-0.94,-0.4826087,2,1,1,1,19,0,41,2,4,1,2,3,2,2
7472,88,-0.46,-0.4826087,1,1,3,1,19,0,42,2,4,1,2,3,2,2
7472,93,-0.39,-0.4826087,1,1,3,1,19,0,49,1,4,1,2,3,2,2
7472,94,0.58,-0.4826087,1,1,3,1,19,0,39,2,4,1,2,3,2,2
7472,96,0.48,-0.4826087,1,1,3,1,19,0,45,1,4,1,2,3,2,2
7472,99,-0.7,-0.4826087,1,1,3,1,19,0,48,2,4,1,2,3,2,2
7474,3,-0.24,-0.24647059,6,1,2,1,13,0,42,1,4,1,5,2,3,2
7474,6,-0.89,-0.24647059,1,1,3,1,13,0,48,2,4,1,5,2,3,2
7474,32,-1.05,-0.24647059,2,1,1,1,13,0,57,2,4,1,5,2,3,2
7474,36,0.4,-0.24647059,1,1,5,1,13,0,60,2,4,1,5,2,3,2
7474,38,0.94,-0.24647059,1,1,6,1,13,0,67,2,4,1,5,2,3,2
7474,41,-0.55,-0.24647059,2,0,2,1,13,0,48,1,2,1,5,2,3,2
7474,45,-0.57,-0.24647059,2,1,3,1,13,0,51,2,4,1,5,2,3,2
7474,46,-0.26,-0.24647059,1,1,3,1,13,0,46,2,4,1,5,2,3,2
7474,51,0.06,-0.24647059,2,1,2,1,13,0,44,2,4,1,5,2,3,2
7474,52,-0.5,-0.24647059,1,1,3,1,13,0,62,2,4,1,5,2,3,2
7474,58,0.46,-0.24647059,1,1,3,1,13,0,63,1,4,1,5,2,3,2
7474,59,-1.04,-0.24647059,2,1,2,1,13,0,47,1,4,1,5,2,3,2
7474,63,-0.67,-0.24647059,2,1,3,1,13,0,56,2,4,1,5,2,3,2
7474,64,0.69,-0.24647059,2,1,4,1,13,0,58,2,4,1,5,2,3,2
7474,68,0.07,-0.24647059,1,1,3,1,13,0,54,2,4,1,5,2,3,2
7474,87,-0.92,-0.24647059,2,1,2,1,13,0,54,2,4,1,5,2,3,2
7474,88,-0.12,-0.24647059,1,1,3,1,13,0,60,1,4,1,5,2,3,2
7801,5,-1.17,-0.32590908,1,0,2,1,22,2,46,1,5,1,4,4,2,2
7801,8,-0.05,-0.32590908,1,1,3,1,22,2,47,1,4,1,4,4,2,2
7801,10,0.15,-0.32590908,5,1,3,1,22,2,38,2,4,1,4,4,2,2
7801,12,0.37,-0.32590908,1,0,3,1,22,2,40,2,1,1,4,4,2,2
7801,15,-0.61,-0.32590908,2,1,3,1,22,2,39,2,4,1,4,4,2,2
7801,21,-0.28,-0.32590908,2,1,3,1,22,2,54,1,4,1,4,4,2,2
7801,24,-0.5,-0.32590908,1,0,3,1,22,2,56,1,5,1,4,4,2,2
7801,25,-1.08,-0.32590908,1,1,1,1,22,2,58,2,4,1,4,4,2,2
7801,29,-0.36,-0.32590908,2,0,4,1,22,2,62,2,2,1,4,4,2,2
7801,34,-0.66,-0.32590908,1,1,3,1,22,2,44,1,4,1,4,4,2,2
7801,42,0.06,-0.32590908,1,1,3,1,22,2,44,2,4,1,4,4,2,2
7801,46,-0.88,-0.32590908,1,0,3,1,22,2,47,2,2,1,4,4,2,2
7801,62,0.36,-0.32590908,2,1,3,1,22,2,54,1,4,1,4,4,2,2
7801,63,-0.98,-0.32590908,1,1,1,1,22,2,43,2,4,1,4,4,2,2
7801,64,-0.26,-0.32590908,1,0,3,1,22,2,67,1,2,1,4,4,2,2
7801,68,-0.53,-0.32590908,1,1,3,1,22,2,62,2,4,1,4,4,2,2
7801,72,-0.24,-0.32590908,1,1,2,1,22,2,62,1,4,1,4,4,2,2
7801,80,-0.29,-0.32590908,3,1,2,1,22,2,50,2,4,1,4,4,2,2
7801,85,0.57,-0.32590908,1,1,4,1,22,2,45,1,4,1,4,4,2,2
7801,87,-1.24,-0.32590908,2,1,2,1,22,2,50,2,4,1,4,4,2,2
7801,91,-0.02,-0.32590908,2,1,3,1,22,2,34,1,4,1,4,4,2,2
7801,99,0.47,-0.32590908,0,1,5,1,22,2,60,1,4,1,4,4,2,2
7829,0,-1.24,-0.848,2,0,3,1,18,7,58,2,3,1,5,3,1,2
7829,15,-1.54,-0.848,2,0,2,1,18,7,43,1,3,1,5,3,1,2
7829,17,-1.06,-0.848,1,0,1,1,18,7,49,1,3,1,5,3,1,2
7829,20,-0.02,-0.848,1,0,3,1,18,7,42,1,3,1,5,3,1,2
7829,24,-1.63,-0.848,5,0,1,1,18,7,35,2,3,1,5,3,1,2
7829,25,-0.39,-0.848,2,0,2,1,18,7,38,1,3,1,5,3,1,2
7829,29,-1.07,-0.848,1,0,1,1,18,7,35,1,3,1,5,3,1,2
7829,31,-0.02,-0.848,4,0,3,1,18,7,42,1,3,1,5,3,1,2
7829,34,0.11,-0.848,4,0,4,1,18,7,41,1,3,1,5,3,1,2
7829,38,0.13,-0.848,3,0,3,1,18,7,31,1,2,1,5,3,1,2
7829,44,-1.67,-0.848,2,0,1,1,18,7,41,1,3,1,5,3,1,2
7829,54,-1.64,-0.848,1,0,1,1,18,7,32,2,3,1,5,3,1,2
7829,62,-1.01,-0.848,0,0,3,1,18,7,65,1,3,1,5,3,1,2
7829,65,-1.01,-0.848,1,0,3,1,18,7,50,2,3,1,5,3,1,2
7829,66,-1.16,-0.848,3,0,1,1,18,7,37,1,3,1,5,3,1,2
7829,68,-0.29,-0.848,3,0,3,1,18,7,44,1,3,1,5,3,1,2
7829,81,-1.29,-0.848,3,0,1,1,18,7,44,2,3,1,5,3,1,2
7829,91,0.03,-0.848,2,0,3,1,18,7,41,1,3,1,5,3,1,2
7829,93,-1.09,-0.848,3,0,2,1,18,7,39,2,3,1,5,3,1,2
7829,98,-1.1,-0.848,4,0,1,1,18,7,36,2,3,1,5,3,1,2
7930,3,0.98,0.14708333,4,1,4,1,14,1,65,2,4,1,4,6,3,2
7930,8,0.24,0.14708333,3,1,3,1,14,1,62,1,4,1,4,6,3,2
7930,11,0.35,0.14708333,1,0,4,1,14,1,44,2,1,1,4,6,3,2
7930,16,0.65,0.14708333,4,1,5,1,14,1,63,1,4,1,4,6,3,2
7930,21,-0.03,0.14708333,2,1,3,1,14,1,43,2,4,1,4,6,3,2
7930,24,0.39,0.14708333,4,1,3,1,14,1,68,2,4,1,4,6,3,2
7930,26,-0.19,0.14708333,1,1,3,1,14,1,50,1,4,1,4,6,3,2
7930,34,-0.76,0.14708333,2,1,3,1,14,1,57,1,4,1,4,6,3,2
7930,43,-0.11,0.14708333,1,1,3,1,14,1,53,2,4,1,4,6,3,2
7930,52,1.21,0.14708333,1,1,6,1,14,1,48,1,4,1,4,6,3,2
7930,53,-1.85,0.14708333,2,0,1,1,14,1,53,2,1,1,4,6,3,2
7930,57,-0.9,0.14708333,1,1,2,1,14,1,47,1,4,1,4,6,3,2
7930,59,-0.87,0.14708333,0,1,2,1,14,1,36,1,4,1,4,6,3,2
7930,61,1.33,0.14708333,1,1,5,1,14,1,52,2,4,1,4,6,3,2
7930,63,1.48,0.14708333,3,1,6,1,14,1,70,2,4,1,4,6,3,2
7930,64,-0.76,0.14708333,2,0,3,1,14,1,51,2,1,1,4,6,3,2
7930,65,0.63,0.14708333,2,1,3,1,14,1,67,1,4,1,4,6,3,2
7930,68,-0.12,0.14708333,1,1,2,1,14,1,44,1,4,1,4,6,3,2
7930,71,0.03,0.14708333,3,1,3,1,14,1,70,1,4,1,4,6,3,2
7930,73,-0.12,0.14708333,1,1,3,1,14,1,33,2,4,1,4,6,3,2
7930,81,1.05,0.14708333,2,1,5,1,14,1,70,2,4,1,4,6,3,2
7930,83,0.29,0.14708333,1,1,3,1,14,1,54,2,4,1,4,6,3,2
7930,90,-0.34,0.14708333,1,1,2,1,14,1,37,1,4,1,4,6,3,2
7930,97,0.95,0.14708333,1,1,5,1,14,1,41,2,4,1,4,6,3,2
24371,6,-1.95,-0.399,2,0,1,1,20,3,38,2,3,1,4,4,2,3
24371,13,1.15,-0.399,2,1,5,1,20,3,62,1,4,1,4,4,2,3
24371,19,-0.88,-0.399,3,1,2,1,20,3,49,2,4,1,4,4,2,3
24371,22,-1.51,-0.399,1,0,1,1,20,3,43,2,3,1,4,4,2,3
24371,24,-0.04,-0.399,1,1,3,1,20,3,36,2,4,1,4,4,2,3
24371,26,-0.43,-0.399,1,1,2,1,20,3,36,1,4,1,4,4,2,3
24371,42,-0.28,-0.399,6,1,3,1,20,3,63,2,4,1,4,4,2,3
24371,47,-0.81,-0.399,2,0,2,1,20,3,42,2,3,1,4,4,2,3
24371,50,-1.03,-0.399,2,1,1,1,20,3,33,2,4,1,4,4,2,3
24371,53,-1.12,-0.399,1,1,2,1,20,3,54,2,4,1,4,4,2,3
24371,56,0.46,-0.399,4,1,3,1,20,3,65,1,4,1,4,4,2,3
24371,58,0.56,-0.399,3,1,4,1,20,3,64,2,4,1,4,4,2,3
24371,72,1.23,-0.399,1,1,6,1,20,3,47,1,4,1,4,4,2,3
24371,74,-0.54,-0.399,1,1,3,1,20,3,35,1,4,1,4,4,2,3
24371,76,1.33,-0.399,2,1,5,1,20,3,62,2,4,1,4,4,2,3
24371,79,-0.76,-0.399,1,0,2,1,20,3,39,2,1,1,4,4,2,3
24371,83,-0.45,-0.399,4,1,3,1,20,3,58,2,4,1,4,4,2,3
24371,89,-0.6,-0.399,1,1,2,1,20,3,41,2,4,1,4,4,2,3
24371,92,-1.55,-0.399,1,0,2,1,20,3,51,2,3,1,4,4,2,3
24371,94,-0.76,-0.399,1,0,3,1,20,3,49,2,3,1,4,4,2,3
24725,1,-1.67,-0.7009091,1,1,2,1,18,0,31,1,4,1,4,2,3,3
24725,5,-0.52,-0.7009091,0,1,2,1,18,0,39,1,4,1,4,2,3,3
24725,6,-0.45,-0.7009091,1,1,2,1,18,0,48,2,4,1,4,2,3,3
24725,7,-1.1,-0.7009091,1,1,1,1,18,0,34,1,4,1,4,2,3,3
24725,9,-2.04,-0.7009091,0,1,1,1,18,0,33,1,4,1,4,2,3,3
24725,10,0.06,-0.7009091,1,1,3,1,18,0,47,1,4,1,4,2,3,3
24725,13,-0.07,-0.7009091,0,1,3,1,18,0,40,2,4,1,4,2,3,3
24725,14,-1.21,-0.7009091,1,1,1,1,18,0,31,2,4,1,4,2,3,3
24725,16,-1.96,-0.7009091,2,1,1,1,18,0,36,1,4,1,4,2,3,3
24725,28,-0.38,-0.7009091,1,1,2,1,18,0,37,2,4,1,4,2,3,3
24725,30,-0.48,-0.7009091,5,1,3,1,18,0,62,2,4,1,4,2,3,3
24725,31,-1.05,-0.7009091,1,1,2,1,18,0,41,1,4,1,4,2,3,3
24725,37,-1.54,-0.7009091,1,1,2,1,18,0,41,2,4,1,4,2,3,3
24725,39,-0.14,-0.7009091,1,1,2,1,18,0,37,2,4,1,4,2,3,3
24725,51,0.92,-0.7009091,1,1,5,1,18,0,43,2,4,1,4,2,3,3
24725,54,-1.28,-0.7009091,2,1,1,1,18,0,40,2,4,1,4,2,3,3
24725,65,-1.31,-0.7009091,1,1,1,1,18,0,42,1,4,1,4,2,3,3
24725,68,-0.02,-0.7009091,5,1,3,1,18,0,64,1,4,1,4,2,3,3
24725,78,-0.6,-0.7009091,4,1,2,1,18,0,54,2,4,1,4,2,3,3
24725,85,-0.13,-0.7009091,4,1,3,1,18,0,65,1,4,1,4,2,3,3
24725,88,-0.19,-0.7009091,1,0,2,1,18,0,45,1,2,1,4,2,3,3
24725,89,-0.26,-0.7009091,2,1,3,1,18,0,48,1,4,1,4,2,3,3
25456,1,0.44,-0.19681817,0,1,3,1,12,1,62,2,4,1,4,2,3,3
25456,4,-0.75,-0.19681817,2,1,3,1,12,1,33,2,4,1,4,2,3,3
25456,9,-0.89,-0.19681817,1,1,2,1,12,1,53,2,4,1,4,2,3,3
25456,13,0.48,-0.19681817,1,1,4,1,12,1,43,1,4,1,4,2,3,3
25456,19,-0.19,-0.19681817,0,1,3,1,12,1,54,2,4,1,4,2,3,3
25456,20,-0.2,-0.19681817,0,1,3,1,12,1,60,1,4,1,4,2,3,3
25456,29,0.05,-0.19681817,2,1,3,1,12,1,58,1,4,1,4,2,3,3
25456,48,-0.43,-0.19681817,2,1,3,1,12,1,49,2,4,1,4,2,3,3
25456,51,-0.14,-0.19681817,0,1,3,1,12,1,49,2,4,1,4,2,3,3
25456,60,0.3,-0.19681817,1,1,3,1,12,1,53,1,4,1,4,2,3,3
25456,61,-0.49,-0.19681817,1,1,3,1,12,1,56,1,4,1,4,2,3,3
25456,65,-0.71,-0.19681817,1,1,3,1,12,1,58,1,4,1,4,2,3,3
25456,66,-0.21,-0.19681817,0,1,3,1,12,1,46,1,4,1,4,2,3,3
25456,67,-0.21,-0.19681817,2,1,2,1,12,1,32,1,4,1,4,2,3,3
25456,68,1.08,-0.19681817,0,1,5,1,12,1,60,2,4,1,4,2,3,3
25456,69,-1.29,-0.19681817,1,1,2,1,12,1,48,1,4,1,4,2,3,3
25456,74,0.22,-0.19681817,1,1,3,1,12,1,47,1,4,1,4,2,3,3
25456,76,-0.56,-0.19681817,0,1,3,1,12,1,52,2,4,1,4,2,3,3
25456,78,-0.53,-0.19681817,1,1,1,1,12,1,42,1,4,1,4,2,3,3
25456,84,0.23,-0.19681817,1,1,3,1,12,1,58,1,4,1,4,2,3,3
25456,97,-0.67,-0.19681817,0,1,1,1,12,1,41,2,4,1,4,2,3,3
25456,99,0.14,-0.19681817,2,1,3,1,12,1,43,2,4,1,4,2,3,3
25642,7,-0.06,-1.0685,1,0,3,1,11,6,42,1,2,1,4,4,1,3
25642,9,-2.08,-1.0685,1,0,1,1,11,6,46,2,2,1,4,4,1,3
25642,24,-1.25,-1.0685,1,0,3,1,11,6,43,2,2,1,4,4,1,3
25642,33,-0.86,-1.0685,1,0,1,1,11,6,46,2,2,1,4,4,1,3
25642,36,-0.9,-1.0685,1,0,1,1,11,6,47,1,2,1,4,4,1,3
25642,37,-2.41,-1.0685,1,0,1,1,11,6,49,2,2,1,4,4,1,3
25642,42,0.18,-1.0685,2,0,3,1,11,6,47,2,2,1,4,4,1,3
25642,44,-1.41,-1.0685,1,0,1,1,11,6,44,2,2,1,4,4,1,3
25642,45,-1.05,-1.0685,3,0,1,1,11,6,39,2,2,1,4,4,1,3
25642,57,-1.35,-1.0685,1,1,3,1,11,6,41,1,4,1,4,4,1,3
25642,59,-1.11,-1.0685,0,0,2,1,11,6,51,2,2,1,4,4,1,3
25642,63,-1.35,-1.0685,0,0,1,1,11,6,45,1,2,1,4,4,1,3
25642,67,-0.53,-1.0685,0,0,3,1,11,6,57,1,2,1,4,4,1,3
25642,73,-1.29,-1.0685,1,0,2,1,11,6,47,1,2,1,4,4,1,3
25642,76,-1.92,-1.0685,2,0,1,1,11,6,42,1,2,1,4,4,1,3
25642,80,-0.97,-1.0685,1,0,3,1,11,6,47,2,2,1,4,4,1,3
25642,83,-0.33,-1.0685,3,0,3,1,11,6,47,2,2,1,4,4,1,3
25642,84,-0.15,-1.0685,1,0,2,1,11,6,51,2,2,1,4,4,1,3
25642,86,-2.23,-1.0685,1,0,1,1,11,6,53,2,2,1,4,4,1,3
25642,95,-0.3,-1.0685,1,0,3,1,11,6,44,1,2,1,4,4,1,3
26537,8,-0.21,1.17625,1,1,3,0,10,1,52,2,4,4,3,2,2,1
26537,11,1.36,1.17625,5,1,5,0,10,1,64,2,4,4,3,2,2,1
26537,17,1.22,1.17625,5,1,5,0,10,1,62,2,4,4,3,2,2,1
26537,24,1.01,1.17625,5,1,5,0,10,1,67,2,4,4,3,2,2,1
26537,36,0.81,1.17625,1,1,5,0,10,1,48,2,4,4,3,2,2,1
26537,38,1.71,1.17625,2,0,6,0,10,1,50,2,5,4,3,2,2,1
26537,41,1.38,1.17625,2,1,5,0,10,1,59,2,4,4,3,2,2,1
26537,42,0.85,1.17625,4,1,4,0,10,1,67,2,4,4,3,2,2,1
26537,50,1.23,1.17625,1,1,4,0,10,1,43,2,4,4,3,2,2,1
26537,68,1.23,1.17625,1,0,5,0,10,1,45,2,1,4,3,2,2,1
26537,73,1.4,1.17625,5,1,5,0,10,1,55,2,4,4,3,2,2,1
26537,76,1.02,1.17625,1,1,5,0,10,1,43,2,4,4,3,2,2,1
26537,77,1.19,1.17625,3,1,5,0,10,1,64,1,4,4,3,2,2,1
26537,83,1.63,1.17625,1,1,6,0,10,1,49,2,4,4,3,2,2,1
26537,92,1.38,1.17625,1,1,6,0,10,1,63,2,4,4,3,2,2,1
26537,95,1.61,1.17625,4,1,6,0,10,1,71,2,4,4,3,2,2,1
46417,15,-0.16,-0.27956522,5,1,4,0,28,1,67,1,4,2,4,5,1,1
46417,16,-0.22,-0.27956522,1,1,2,0,28,1,57,2,4,2,4,5,1,1
46417,18,0.18,-0.27956522,2,1,3,0,28,1,58,2,4,2,4,5,1,1
46417,22,0.83,-0.27956522,4,1,4,0,28,1,69,2,4,2,4,5,1,1
46417,24,0.36,-0.27956522,1,1,4,0,28,1,49,2,4,2,4,5,1,1
46417,40,1.1,-0.27956522,1,0,5,0,28,1,70,1,2,2,4,5,1,1
46417,42,-1.0,-0.27956522,1,0,3,0,28,1,47,1,3,2,4,5,1,1
46417,49,-0.51,-0.27956522,3,1,3,0,28,1,69,1,4,2,4,5,1,1
46417,50,-0.39,-0.27956522,1,1,3,0,28,1,54,2,4,2,4,5,1,1
46417,54,-0.43,-0.27956522,1,1,2,0,28,1,49,1,4,2,4,5,1,1
46417,57,0.03,-0.27956522,1,1,3,0,28,1,54,1,4,2,4,5,1,1
46417,58,-0.12,-0.27956522,1,1,2,0,28,1,46,2,4,2,4,5,1,1
46417,65,-1.23,-0.27956522,3,1,2,0,28,1,68,1,4,2,4,5,1,1
46417,66,-0.51,-0.27956522,1,1,3,0,28,1,60,2,4,2,4,5,1,1
46417,67,-0.2,-0.27956522,1,1,2,0,28,1,58,1,4,2,4,5,1,1
46417,74,-0.89,-0.27956522,1,1,2,0,28,1,40,2,4,2,4,5,1,1
46417,78,-0.99,-0.27956522,3,1,2,0,28,1,49,1,4,2,4,5,1,1
46417,80,0.23,-0.27956522,2,1,3,0,28,1,50,2,4,2,4,5,1,1
46417,91,-0.48,-0.27956522,1,1,2,0,28,1,40,1,4,2,4,5,1,1
46417,92,-0.29,-0.27956522,1,1,2,0,28,1,44,2,4,2,4,5,1,1
46417,94,-0.29,-0.27956522,2,1,2,0,28,1,67,1,4,2,4,5,1,1
46417,95,-1.29,-0.27956522,1,1,2,0,28,1,55,1,4,2,4,5,1,1
46417,98,-0.16,-0.27956522,4,1,3,0,28,1,61,2,4,2,4,5,1,1
47583,1,1.26,0.079,2,1,6,0,25,1,69,1,4,2,5,2,3,3
47583,8,-0.62,0.079,1,1,2,0,25,1,37,2,4,2,5,2,3,3
47583,10,0.54,0.079,4,1,5,0,25,1,58,1,4,2,5,2,3,3
47583,15,-0.63,0.079,5,1,2,0,25,1,65,2,4,2,5,2,3,3
47583,21,0.31,0.079,2,1,3,0,25,1,44,2,4,2,5,2,3,3
47583,22,0.0,0.079,4,1,3,0,25,1,49,2,4,2,5,2,3,3
