id,spans,weight,marnum,censor,lower,upper,hiseduc,hereduc,heblack,sheblack,age,agediff,time1,numkid1,time2,numkid2,time3,numkid3,time4,numkid4,time5,numkid5,time6,numkid6,time7,numkid7,time8,numkid8,time9,numkid9,time10,numkid10,time11,numkid11,time12,numkid12,time13,numkid13,time14,numkid14,time15,numkid15,time16,numkid16,time17,numkid17
145,2,17,1,1,2.475,2.475,9,10,0,0,21.024,3.354,1.117,0,2.475,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,8,26,1,1,35.959,35.959,14,13,0,0,20.75,1.749,0.83,0,2.084,1,5.999,2,10.749,3,11.997,4,14.251,5,17.333,6,35.959,7,,,,,,,,,,,,,,,,,,
153,3,26,1,1,13.136,13.136,12,12,0,0,20.75,-0.252,6.081,0,9.333,1,13.136,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,3,23,1,1,5.717,5.717,12,16,0,0,28.671,0.583,0.416,0,2.828,1,5.717,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,3,23,1,1,5.717,5.717,12,16,0,0,28.088,0.583,0.416,0,2.828,1,5.717,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2,23,1,1,26.278,26.278,12,12,0,0,26.251,1.328,2.664,0,26.278,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2,23,1,0,4.29,4.372,13,10,0,0,17.254,2.251,0.496,0,4.372,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1,23,2,1,1.457,1.457,12,10,0,0,22.16,3.168,1.457,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,4,21,1,1,8.893,8.893,8,13,0,0,18.546,-3.962,1.454,0,2.998,1,4.326,2,8.893,3,,,,,,,,,,,,,,,,,,,,,,,,,,
170,4,21,1,1,15.743,15.743,12,12,0,0,20.003,0.085,0.164,0,2.084,1,7.997,2,15.743,3,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1,21,1,0,4.63,4.712,11,12,0,0,20.58,6.834,4.712,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1,25,1,1,48.356,48.356,3,3,0,0,23.499,5.684,48.356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,4,25,1,1,39.332,39.332,11,11,0,0,21.916,3.411,3.326,0,6.998,1,9.58,2,39.332,3,,,,,,,,,,,,,,,,,,,,,,,,,,
199,4,25,1,1,39.332,39.332,11,11,0,0,18.505,3.411,3.326,0,6.998,1,9.58,2,39.332,3,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2,24,1,1,61.525,61.525,12,9,0,0,25.087,3.833,2.412,0,61.525,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,24,1,1,12.999,12.999,12,12,0,0,20.498,2.352,12.999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3,23,1,1,14.817,14.817,12,12,0,0,20.682,0.69,1.207,0,2.459,1,14.817,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2,23,1,0,13.5,54.01,4,4,0,0,22.5,2.352,6.319,0,54.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1,23,2,1,18.226,18.226,4,8,0,0,66.382,-3.951,18.226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,4,23,1,1,56.999,56.999,10,8,0,0,18.5,1.96,2.267,0,4.52,1,9.52,2,56.999,3,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1,23,1,1,3.606,3.606,12,10,0,0,22.251,8.331,3.606,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,1,23,1,1,3.606,3.606,7,12,0,0,30.582,9.331,3.606,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2,28,1,1,16.999,16.999,10,10,1,1,15.499,2.352,14.448,0,16.999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1,28,1,0,40.016,44.014,11,11,1,1,22.5,2.352,44.014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,3,26,1,1,37.837,37.837,13,13,0,0,21.5,2.352,4.75,0,6.919,1,37.837,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1,24,1,1,18.16,18.16,12,12,1,1,29.339,2.352,18.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,4,24,1,1,18.018,18.018,12,12,0,0,18.752,0.83,0.501,0,3.915,1,7.751,2,18.018,3,,,,,,,,,,,,,,,,,,,,,,,,,,
254,4,25,1,0,13.322,14.012,12,12,0,0,23.751,4.586,0.997,0,2.834,1,9.667,2,14.012,3,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1,25,2,1,18.527,18.527,12,12,0,0,38.587,2.166,18.527,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,2,25,1,0,3.543,3.625,12,11,0,0,18.004,3.581,0.583,0,3.625,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,3,25,2,0,4.723,5.676,10,11,1,0,25.503,-1.503,0.917,0,2.664,1,5.676,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,2,25,1,0,2.461,2.543,10,10,0,0,21.005,2.352,0.586,0,2.543,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,4,25,2,0,15.959,16.041,10,16,0,0,26.836,4.835,6.502,0,8.249,1,9.752,2,16.041,3,,,,,,,,,,,,,,,,,,,,,,,,,,
268,2,25,1,0,14.218,15.209,16,16,0,0,25.662,2.352,0.747,0,15.209,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1,25,2,1,4.903,4.903,17,16,0,0,44.246,6.505,4.903,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,4,29,1,1,35.932,35.932,11,12,0,0,30.001,5.503,0.83,0,1.752,1,7.083,2,35.932,3,,,,,,,,,,,,,,,,,,,,,,,,,,
275,4,29,1,1,13.864,13.864,17,13,0,0,21.506,2.746,1.662,0,3.663,1,10.418,2,13.864,3,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1,25,1,0,25.467,26.136,14,12,0,0,20.274,3.874,26.136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,1,25,1,0,5.739,22.96,10,10,0,0,29.5,2.352,22.96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,1,25,2,0,4.671,5.399,10,10,0,0,48.153,2.352,5.399,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,1,25,3,0,2.415,3.307,10,10,0,0,56.142,5.908,3.307,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,1,22,1,1,57.506,57.506,6,6,0,0,18.5,2.352,57.506,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,3,23,1,0,7.877,7.953,12,12,0,0,18.585,2.352,2.084,0,7.915,1,7.953,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,2,23,2,1,9.818,9.818,12,12,0,0,28.753,-0.668,0.747,0,9.818,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,1,23,1,1,7.162,7.162,9,8,0,0,72.753,3.828,7.162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,6,25,1,1,41.971,41.971,16,12,0,0,25.919,-1.582,0.914,0,2.163,1,3.247,2,4.663,3,6.743,4,41.971,5,,,,,,,,,,,,,,,,,,,,,,
300,4,25,1,1,12.991,12.991,16,17,0,0,22.667,0.83,3.754,0,6.333,1,8.501,2,12.991,3,,,,,,,,,,,,,,,,,,,,,,,,,,
302,8,23,1,0,18.297,18.374,12,12,0,0,21.415,0.799,2.669,0,3.669,1,5.916,2,7.335,3,10.831,4,13.084,5,18.084,6,18.374,7,,,,,,,,,,,,,,,,,,
302,4,23,2,1,12.723,12.723,12,16,0,0,39.836,7.833,0.496,0,0.83,1,2.998,2,12.723,3,,,,,,,,,,,,,,,,,,,,,,,,,,
305,7,23,1,1,18.809,18.809,14,12,0,0,18.689,2.853,2.543,0,3.543,1,4.706,2,7.209,3,10.705,4,13.363,5,18.809,6,,,,,,,,,,,,,,,,,,,,
310,1,23,1,1,1.864,1.864,10,15,0,0,25.648,1.749,1.864,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,3,23,1,1,53.084,53.084,12,8,0,0,26.42,2.754,3.168,0,4.747,1,53.084,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,4,23,1,0,8.649,25.93,12,12,0,0,17.915,2.352,2.071,0,4.07,1,6.068,2,25.93,3,,,,,,,,,,,,,,,,,,,,,,,,,,
320,6,23,1,0,32.126,32.208,13,13,0,0,21.336,2.352,2.831,0,5.577,1,9.081,2,11.25,3,13.164,4,32.208,5,,,,,,,,,,,,,,,,,,,,,,
320,1,23,2,1,8.501,8.501,13,12,0,0,53.67,12.249,8.501,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,3,24,1,1,18.338,18.338,12,12,0,0,22.086,1.914,3.833,0,6.5,1,18.338,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,4,24,1,1,23.469,23.469,12,12,0,0,23.001,0.917,1.585,0,4.416,1,6.585,2,23.469,3,,,,,,,,,,,,,,,,,,,,,,,,,,
331,5,15,1,1,34.762,34.762,16,16,0,0,26.335,0.504,0.832,0,1.832,1,2.831,2,5.749,3,34.762,4,,,,,,,,,,,,,,,,,,,,,,,,
333,4,17,1,0,2.22,6.645,12,12,0,0,22.579,2.352,1.405,0,3.403,1,5.402,2,6.645,3,,,,,,,,,,,,,,,,,,,,,,,,,,
333,4,17,2,0,2.218,6.642,12,12,0,0,29.227,2.352,0.753,0,2.752,1,4.75,2,6.642,3,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1,17,3,0,2.218,6.642,12,12,0,0,35.871,2.352,6.642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1,17,4,0,2.218,6.642,12,12,0,0,42.516,2.352,6.642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1,17,5,1,18.478,18.478,12,8,0,0,49.169,1.665,18.478,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2,22,1,1,19.081,19.081,12,12,0,0,17.578,-0.747,2.408,0,19.081,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,3,22,1,0,35.132,36.561,10,10,0,0,15.417,2.352,13.829,0,18.5,1,36.561,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,1,22,2,0,0.72,2.149,10,10,0,0,51.981,2.352,2.149,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,1,22,3,0,0.903,19.143,2,10,0,0,54.133,16.227,19.143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2,26,1,0,7.206,7.288,13,13,0,0,19.833,2.352,3.997,0,7.288,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,1,26,2,0,1.624,1.7,13,13,0,0,28.92,2.352,1.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,1,26,3,1,26.546,26.546,13,10,0,0,31.666,2.831,26.546,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,3,19,1,1,28.151,28.151,14,12,0,0,25.673,6.505,2.998,0,5.914,1,28.151,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,1,25,1,0,8.003,23.992,14,14,0,0,20.375,2.352,23.992,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,1,25,2,1,11.001,11.001,14,14,0,0,44.375,2.352,11.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,1,25,3,1,1.205,1.205,14,14,0,0,65.377,2.352,1.205,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,3,22,1,0,1.717,2.708,8,8,0,0,21.333,2.352,1.333,0,2.248,1,2.708,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,2,22,2,1,32.548,32.548,8,16,0,0,25.837,2.834,3.663,0,32.548,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,3,22,1,1,8.789,8.789,16,10,0,0,20.17,3.581,3.874,0,6.5,1,8.789,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,3,22,1,1,8.789,8.789,16,13,0,0,23.751,3.581,3.874,0,6.5,1,8.789,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,3,22,1,1,17.999,17.999,19,19,0,0,30.335,2.352,2.409,0,4.496,1,17.999,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,1,22,2,1,44.082,44.082,19,14,0,0,51.335,8.668,44.082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,4,24,1,1,14.084,14.084,17,16,0,0,28.501,3.499,1.166,0,4.838,1,8.0,2,14.084,3,,,,,,,,,,,,,,,,,,,,,,,,,,
362,1,31,1,1,27.009,27.009,6,6,0,0,19.499,2.352,27.009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,1,31,1,1,42.313,42.313,11,11,1,1,29.5,-9.164,42.313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,2,19,1,1,9.002,9.002,7,9,0,0,15.496,7.138,6.335,0,9.002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,1,31,1,1,35.001,35.001,10,10,0,0,20.498,2.352,35.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,1,31,1,1,35.001,35.001,10,10,0,0,20.498,2.352,35.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,3,19,1,0,4.507,5.498,9,9,0,0,21.963,2.352,0.29,0,1.999,1,5.498,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,3,19,2,1,34.856,34.856,9,12,0,0,32.917,5.588,3.335,0,5.916,1,34.856,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,3,24,1,1,37.248,37.248,12,12,0,0,23.001,0.586,1.832,0,4.167,1,37.248,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1,24,1,1,34.653,34.653,5,5,0,0,28.498,2.352,34.653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,4,24,1,1,16.605,16.605,12,11,0,0,17.336,1.665,0.58,0,3.083,1,7.335,2,16.605,3,,,,,,,,,,,,,,,,,,,,,,,,,,
394,1,24,1,1,44.841,44.841,8,8,0,0,20.498,2.352,44.841,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,4,23,1,1,11.671,11.671,12,12,0,0,29.254,-3.756,1.248,0,4.082,1,6.664,2,11.671,3,,,,,,,,,,,,,,,,,,,,,,,,,,
399,5,23,1,1,20.504,20.504,12,12,0,0,21.169,2.418,3.083,0,7.083,1,11.165,2,15.997,3,20.504,4,,,,,,,,,,,,,,,,,,,,,,,,
405,2,23,1,1,6.913,6.913,17,17,0,0,25.747,3.751,3.083,0,6.913,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,1,17,1,1,22.404,22.404,8,11,0,0,32.449,1.013,22.404,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,2,26,1,1,31.485,31.485,8,12,0,0,33.5,-2.765,28.457,0,31.485,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,1,23,1,0,3.458,3.535,8,13,0,0,22.505,2.53,3.535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,4,23,2,1,8.991,8.991,8,12,0,0,34.42,9.67,0.58,0,1.662,1,4.999,2,8.991,3,,,,,,,,,,,,,,,,,,,,,,,,,,
425,2,29,1,1,24.0,24.0,9,9,0,0,27.499,2.352,1.999,0,24.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,2,29,1,1,33.851,33.851,8,12,0,0,25.5,2.1,4.0,0,33.851,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,2,17,1,1,14.576,14.576,14,12,0,0,18.836,0.413,5.665,0,14.576,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,2,25,1,0,1.506,2.497,8,8,0,0,16.46,2.352,2.374,0,2.497,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,4,25,2,0,25.046,26.037,8,8,0,0,21.919,2.352,0.329,0,1.829,1,5.495,2,26.037,3,,,,,,,,,,,,,,,,,,,,,,,,,,
434,3,23,1,1,52.663,52.663,12,12,0,0,21.172,2.108,0.83,0,2.081,1,52.663,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,1,23,2,1,7.094,7.094,12,8,0,0,74.919,6.086,7.094,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,1,23,1,0,1.309,3.91,11,11,0,0,23.084,2.352,3.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,1,23,2,1,13.927,13.927,11,15,0,0,27.003,-13.916,13.927,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,3,24,1,1,22.719,22.719,16,17,0,0,22.664,3.077,6.916,0,10.412,1,22.719,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,1,29,1,0,4.542,4.619,12,12,0,0,21.673,2.385,4.619,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,1,29,2,1,4.06,4.06,16,12,0,0,35.077,4.246,4.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,1,19,1,1,43.751,43.751,10,8,0,0,23.499,2.746,43.751,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1,24,1,1,42.062,42.062,8,8,0,0,18.5,2.352,42.062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,5,23,1,1,29.07,29.07,16,12,0,0,24.331,5.169,0.334,0,1.333,1,6.166,2,24.86,3,29.07,4,,,,,,,,,,,,,,,,,,,,,,,,
454,5,23,1,1,29.07,29.07,16,12,0,0,19.162,5.169,0.334,0,1.333,1,6.166,2,24.86,3,29.07,4,,,,,,,,,,,,,,,,,,,,,,,,
457,5,26,1,1,56.052,56.052,12,12,0,0,23.499,1.999,0.999,0,3.001,1,4.838,2,10.754,3,56.052,4,,,,,,,,,,,,,,,,,,,,,,,,
462,4,26,1,0,16.58,17.582,12,12,0,0,22.333,1.251,2.667,0,6.5,1,8.416,2,17.582,3,,,,,,,,,,,,,,,,,,,,,,,,,,
468,3,25,1,1,27.168,27.168,12,12,0,0,19.833,2.352,2.166,0,4.914,1,27.168,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1,25,2,1,18.486,18.486,12,12,0,0,55.335,-0.252,18.486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,1,23,1,1,6.001,6.001,10,10,0,0,18.497,2.352,6.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,1,29,1,0,5.878,5.96,14,14,0,0,24.832,2.352,5.96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,2,29,2,1,5.413,5.413,14,17,0,0,31.086,-2.749,1.829,0,5.413,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,2,29,1,1,20.0,20.0,12,12,0,0,24.498,2.352,0.999,0,20.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,2,23,1,0,10.415,10.497,16,16,0,0,25.377,2.352,3.702,0,10.497,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,1,23,2,1,26.998,26.998,16,16,0,0,36.835,-0.838,26.998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,1,23,3,1,3.888,3.888,16,13,0,0,66.415,4.498,3.888,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,1,23,1,1,26.971,26.971,8,8,0,0,19.499,2.352,26.971,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,1,23,1,1,53.84,53.84,10,10,0,0,27.499,-4.753,53.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,2,24,1,0,11.54,11.622,12,12,1,1,27.756,-0.668,1.58,0,11.622,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,4,13,1,1,22.976,22.976,16,16,1,1,22.998,0.419,4.586,0,9.169,1,14.834,2,22.976,3,,,,,,,,,,,,,,,,,,,,,,,,,,
504,1,25,1,1,32.999,32.999,11,7,0,0,21.5,7.001,32.999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,2,19,1,0,7.773,8.95,12,9,0,0,20.0,7.414,1.67,0,8.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,3,24,1,0,17.043,17.125,15,15,0,0,19.666,-6.084,7.42,0,9.916,1,17.125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,1,24,2,0,7.373,7.45,15,16,0,0,37.421,8.167,7.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
