schid,chapt1,frlnch,natvam,asian,black,hspanc,white,othrac,avgdat,stdntid,gender,race,birthmon,birthday,birthyea,classt,tchid,freelu,treads,tmaths,motivr,school,_merge,grade,class
166203,1,48,,,10,,90,0,,10969,2,1,12,29,1978,2,16620302,1,403,429,23,166203,3,0,177
168211,1,58,0,0,0,0,99,0,622,10299,2,1,1,2,1980,1,16821109,2,,510,54,168211,3,1,197
168211,1,55,0,0,0,3,97,0,652,10221,2,,6,30,1980,2,16821111,1,,,,168211,3,2,199
168211,1,57,0,0,0,1,99,0,627,10310,2,1,1,1,1980,3,16821118,1,,636,51,168211,3,3,206
168211,1,57,,,,,100,0,,10299,2,1,1,2,1980,2,16821101,2,450,484,25,168211,3,0,189
168214,1,31,0,0,0,0,99,0,558,10462,2,1,6,25,1980,1,16821404,1,,,,168214,3,1,212
168214,1,27,0,0,0,0,99,0,596,10369,2,1,3,24,1980,2,16821408,1,549,570,,168214,3,2,216
168214,1,33,0,0,0,0,99,0,630,10327,2,1,1,2,1980,1,16821411,2,636,618,55,168214,3,3,219
168214,1,22,,,,,100,0,,11449,1,1,3,28,1979,3,16821402,2,442,520,,168214,3,0,210
169219,1,16,0,1,21,0,78,0,515,10123,2,6,4,9,1980,2,16921906,1,629,601,51,169219,3,1,228
169219,2,13,0,2,16,0,82,0,537,10025,2,1,8,24,1979,2,16921910,2,,,,169219,3,2,232
169219,2,29,0,1,19,1,79,0,544,10123,2,6,4,9,1980,3,16921914,2,713,774,42,169219,3,3,236
169219,2,16,,1,21,,78,0,,10290,1,2,7,7,1979,2,16921902,2,408,454,23,169219,3,0,224
169229,1,29,0,2,34,0,64,0,825,10291,1,1,12,10,1979,2,16922916,2,468,518,51,169229,3,1,256
169229,1,20,0,2,38,0,60,0,999,10083,1,,3,1,1980,3,16922928,1,,,,169229,3,2,268
169229,2,34,0,1,38,1,60,0,935,10102,2,2,2,22,1980,3,16922931,1,610,599,,169229,3,3,271
169229,1,29,,2,34,,64,0,,10001,1,1,2,20,1980,3,16922904,2,,,23,169229,3,0,244
169231,1,60,0,0,47,0,53,0,475,10100,2,1,1,15,1980,3,16923105,1,521,518,52,169231,3,1,284
169231,1,67,0,0,43,0,57,0,481,10091,1,1,8,19,1978,2,16923111,1,,,50,169231,3,2,290
169231,1,65,0,0,46,0,54,0,501,10100,2,1,1,15,1980,3,16923114,2,,,51,169231,3,3,293
169231,1,60,,,47,,53,0,,11734,1,1,7,5,1979,3,16923101,1,447,473,24,169231,3,0,280
169280,1,20,0,0,26,0,74,0,538,10114,1,1,12,26,1979,1,16928004,2,505,520,,169280,3,1,299
169280,2,33,0,0,30,0,70,0,580,10133,1,2,3,21,1980,3,16928009,2,582,574,48,169280,3,2,304
169280,2,27,0,0,29,0,71,0,573,10031,1,2,5,2,1980,2,16928012,2,610,604,51,169280,3,3,307
169280,1,20,,,26,,74,0,,10133,1,2,3,21,1980,3,16928003,2,427,478,24,169280,3,0,298
170295,1,58,0,0,4,0,96,0,317,10000,1,1,1,22,1979,3,17029507,1,516,578,46,170295,3,1,317
170295,1,46,0,0,2,1,97,0,319,10000,1,1,1,22,1979,3,17029510,2,547,577,49,170295,3,2,320
170295,1,51,0,0,4,0,96,0,321,10000,1,1,1,22,1979,3,17029514,2,583,586,52,170295,3,3,324
170295,1,44,,,,,99,0,,12001,1,1,9,20,1979,1,17029504,1,416,468,,170295,3,0,314
173312,1,37,0,1,12,1,86,0,708,10252,1,1,1,16,1978,3,17331207,1,501,557,,173312,3,1,333
173312,1,41,0,1,12,0,86,0,754,10120,1,1,6,10,1979,2,17331210,1,568,603,47,173312,3,2,336
173312,1,36,0,0,12,0,88,0,745,10190,1,1,5,8,1979,2,17331213,1,587,564,55,173312,3,3,339
173312,1,28,,0,13,,87,0,,10300,2,1,8,12,1980,3,17331203,2,497,547,,173312,3,0,329
176329,1,77,0,0,0,0,99,0,656,10041,2,1,11,22,1979,2,17632906,1,430,486,49,176329,3,1,347
176329,1,60,0,0,0,0,99,1,660,10269,1,1,7,13,1979,3,17632910,1,550,556,42,176329,3,2,351
176329,1,63,0,0,0,0,99,1,609,10161,1,1,4,1,1979,3,17632914,1,606,591,46,176329,3,3,355
176329,1,76,,,,,100,0,,12569,2,1,12,5,1979,2,17632901,1,451,559,21,176329,3,0,342
180344,1,48,0,0,25,0,75,0,404,10766,1,1,9,17,1980,3,18034406,1,428,425,39,180344,3,1,363
180344,1,34,,,26,,74,0,,10766,1,1,9,17,1980,3,18034403,1,414,454,,180344,3,0,360
189378,1,32,0,1,1,1,97,0,635,10096,2,1,5,18,1979,3,18937807,1,540,553,49,189378,3,1,375
189378,1,32,0,1,1,0,98,0,645,10165,1,1,2,23,1979,3,18937810,2,549,626,54,189378,3,2,378
189378,1,28,0,0,2,0,98,0,632,10096,2,1,5,18,1979,3,18937813,2,,,,189378,3,3,381
189378,1,30,,,1,,99,0,,10984,2,1,11,8,1978,3,18937803,2,436,459,26,189378,3,0,371
189382,2,3,0,1,0,0,99,0,621,10280,1,1,11,7,1979,2,18938207,2,651,592,50,189378,3,1,391
189382,2,5,0,1,0,0,99,0,682,10103,1,1,4,15,1980,2,18938209,,650,639,48,189382,3,2,393
189382,2,3,0,1,0,0,99,0,663,10103,1,1,4,15,1980,2,18938214,2,661,672,50,189382,3,3,398
189382,2,10,,,,,100,0,,10281,1,1,11,27,1979,1,18938204,2,443,473,,189382,3,0,388
189396,1,43,0,0,6,0,94,0,474,10985,1,1,11,24,1978,1,18939605,1,503,518,44,189396,3,1,405
189396,1,35,0,0,7,0,93,0,507,10096,2,1,5,18,1979,1,18939608,1,650,590,,189378,3,2,408
189396,1,39,0,0,5,0,95,0,495,10357,2,1,8,18,1980,3,18939614,2,614,608,,189396,3,3,414
189396,1,39,,,3,,97,0,,10321,2,1,8,28,1980,2,18939602,1,443,484,27,189396,3,0,402
191411,1,80,0,0,0,0,99,0,491,10242,1,1,3,24,1979,3,19141105,1,457,465,46,191411,3,1,420
191411,1,85,0,0,1,0,99,0,480,10242,1,1,3,24,1979,2,19141109,1,526,533,51,191411,3,2,424
191411,1,85,0,0,0,0,99,0,551,10242,1,1,3,24,1979,2,19141112,1,,,40,191411,3,3,427
191411,1,94,,,,,100,0,,11099,1,1,1,17,1979,2,19141103,1,414,449,,191411,3,0,418
193422,1,39,0,1,9,1,89,0,436,10225,2,1,1,21,1980,2,19342206,1,,,54,193422,3,1,433
193422,1,42,0,1,9,1,89,0,464,10479,1,1,2,6,1979,2,19342210,1,549,538,55,193422,3,2,437
193422,1,39,0,1,10,0,89,0,458,10066,1,1,5,15,1979,1,19342212,1,583,583,45,193422,3,3,439
193422,1,36,,,9,,90,0,,10899,2,1,8,29,1978,3,19342201,1,443,459,,193422,3,0,428
193423,1,47,0,0,5,0,95,0,572,10155,1,1,10,27,1979,2,19342309,,448,490,48,193423,3,1,450
193423,1,49,0,0,7,0,93,0,555,10017,2,1,7,25,1980,3,19342314,1,,,44,193423,3,2,455
193423,1,50,0,0,7,0,93,0,543,10110,2,1,9,18,1979,1,19342317,1,608,589,52,193423,3,3,458
193423,1,43,,,6,,94,0,,10923,2,1,10,14,1978,1,19342301,1,,,,193423,3,0,442
201449,1,31,0,0,3,0,97,0,495,10154,2,1,6,13,1979,3,20144911,2,571,592,52,201449,3,1,471
201449,1,33,0,0,10,0,90,0,498,10048,1,,7,1,1980,1,20144918,2,,,,201449,3,2,478
201449,1,35,0,0,10,0,90,0,485,10194,2,1,12,2,1979,2,20144927,2,602,608,53,201449,3,3,487
201449,1,32,,,3,,97,0,,10285,2,1,12,22,1979,1,20144901,1,463,520,26,201449,3,0,461
203452,1,41,0,1,4,0,95,0,617,10235,2,1,3,7,1980,3,20345206,,519,545,50,203452,3,1,493
203452,1,38,0,1,4,0,95,0,591,10232,2,1,6,10,1980,3,20345214,1,631,607,52,203452,3,2,501
203452,1,31,0,0,5,0,95,0,588,10343,1,1,1,1,1979,2,20345216,2,626,659,40,203452,3,3,503
203452,1,35,,,4,,95,0,,11151,1,1,8,22,1979,2,20345205,2,461,559,26,203452,3,0,492
203457,1,43,0,0,1,0,99,0,578,10042,2,1,7,10,1979,2,20345704,1,503,538,,203457,3,1,511
203457,1,39,0,0,1,0,99,0,592,10042,2,1,7,10,1979,2,20345708,1,542,572,47,203457,3,2,515
203457,1,40,0,0,1,0,99,0,589,10042,2,1,7,10,1979,2,20345712,1,590,648,50,203457,3,3,519
203457,1,44,,,1,,99,0,,12301,2,1,11,4,1979,1,20345703,2,,,,203457,3,0,510
205488,1,45,0,0,12,0,88,0,425,10186,1,1,3,5,1979,1,20548805,2,494,557,54,205488,3,1,526
205488,1,17,0,0,6,0,94,0,431,10124,1,1,5,28,1979,3,20548808,2,530,596,48,205488,3,2,529
205488,1,19,0,0,11,0,89,0,429,10058,1,1,9,25,1978,2,20548813,1,552,552,44,205488,3,3,534
205488,2,25,,,10,,90,0,,10987,2,1,12,4,1978,2,20548802,1,428,459,,205488,3,0,523
205489,2,15,,,11,,87,0,,10332,2,2,9,19,1980,3,20548903,1,393,429,26,205489,3,0,539
205490,1,95,0,0,99,0,1,0,388,10467,1,2,10,2,1979,3,20549004,1,524,562,47,205490,3,1,544
205490,1,95,0,0,97,0,3,0,384,10467,1,2,10,2,1979,3,20549008,1,486,554,,205490,3,2,548
205490,1,98,0,0,99,0,1,0,405,10247,2,2,7,17,1980,3,20549010,1,583,603,47,205490,3,3,550
205490,1,98,,,99,,1,0,,11152,2,2,11,26,1979,1,20549001,1,419,439,23,205490,3,0,541
205491,2,7,0,1,2,0,97,0,375,10130,1,1,3,11,1980,2,20549106,2,516,518,50,205491,3,1,558
205491,2,10,0,0,2,0,98,0,456,10112,1,1,6,27,1978,1,20549109,1,627,563,48,205491,3,2,561
205491,2,8,0,0,3,0,97,0,,10130,1,1,3,11,1980,2,20549112,2,575,558,46,205491,3,3,564
205491,2,9,,1,3,,97,0,,10292,2,1,11,25,1979,3,20549104,2,472,528,24,205491,3,0,556
205492,1,99,0,0,83,0,17,0,452,10015,2,2,8,25,1980,3,20549205,1,444,542,44,205492,3,1,572
205492,1,78,0,0,87,0,13,0,530,10015,2,2,8,25,1980,3,20549209,1,512,504,51,205492,3,2,576
205492,1,95,0,0,85,0,14,1,517,10002,2,2,7,21,1979,3,20549213,,577,570,52,205492,3,3,580
205492,1,90,,,81,,19,0,,10263,2,2,11,27,1979,1,20549204,1,483,513,27,205492,3,0,571
208501,2,26,0,0,2,0,98,0,462,10458,2,1,11,28,1978,2,20850107,2,548,562,,208501,3,1,591
208501,2,28,0,0,1,0,98,0,475,10443,2,,6,1,1980,1,20850112,1,,,,208501,3,2,596
208501,2,28,0,1,1,0,98,0,509,10033,1,1,3,6,1980,1,20850116,2,,,48,128076,3,3,600
208501,2,23,,,2,,98,0,,11117,1,1,1,24,1979,3,20850102,1,407,473,30,208501,3,0,586
208503,1,46,0,0,1,0,99,0,605,12126,1,1,11,9,1979,1,20850304,2,629,578,,208503,3,1,604
208503,1,47,0,0,1,0,99,0,620,10131,2,1,1,8,1980,2,20850307,2,588,587,50,208503,3,2,607
208503,1,39,0,0,1,0,99,0,608,10131,2,1,1,8,1980,2,20850310,2,622,651,48,208503,3,3,610
208503,1,32,,0,1,,99,0,,11881,2,1,10,5,1979,1,20850302,2,400,418,29,208503,3,0,602
209510,1,43,0,0,2,0,98,0,134,10616,2,1,12,19,1979,1,20951010,2,579,562,51,209510,3,1,622
209510,1,42,0,0,1,0,99,0,649,10720,1,1,3,8,1979,3,20951014,2,529,523,49,209510,3,2,626
209510,1,60,0,0,4,1,95,0,649,10088,1,1,9,13,1979,2,20951020,2,,,52,209510,3,3,632
209510,1,35,,,1,,99,0,,11261,1,1,2,12,1979,1,20951004,2,407,412,,209510,3,0,616
212522,1,55,0,0,1,1,98,0,544,10059,1,1,4,17,1980,3,21252210,,558,567,,212522,3,1,646
212522,1,51,0,0,1,0,99,0,555,10265,2,1,4,28,1979,2,21252212,,,,50,212522,3,2,648
212522,1,54,0,0,3,0,97,0,550,10046,1,1,11,20,1979,3,21252219,,,,,212522,3,3,655
212522,1,42,,,,,100,0,,10322,2,1,8,25,1980,3,21252201,2,403,459,,212522,3,0,637
215533,1,39,0,1,15,0,84,0,605,10481,1,1,5,25,1979,1,21553311,2,490,523,49,215533,3,1,667
215533,1,33,0,1,15,0,84,0,588,10481,1,1,5,25,1979,1,21553316,2,514,528,51,215533,3,2,671
215533,1,35,0,0,15,0,85,0,568,10016,2,1,3,12,1980,1,21553325,2,,,50,215533,3,3,680
215533,1,32,,1,14,,85,0,,10481,1,1,5,25,1979,1,21553303,2,433,489,26,215533,3,0,659
216536,2,25,,,,,100,0,,11559,2,1,4,13,1979,2,21653601,2,411,454,23,216537,3,0,681
216537,1,27,0,0,1,0,99,0,527,10146,1,1,8,25,1979,2,21653703,1,468,532,50,216537,3,1,688
216537,1,25,0,0,0,0,99,0,520,10065,2,1,5,7,1980,2,21653710,2,650,570,48,216537,3,2,695
216537,1,25,0,0,1,0,99,0,530,10101,2,1,1,5,1980,3,21653717,2,599,622,50,216537,3,3,702
218562,1,44,0,0,11,0,89,0,433,10095,2,2,4,16,1979,3,21856208,1,507,468,46,218562,3,1,711
218562,1,35,0,0,11,0,89,0,526,10087,1,,12,1,1980,3,21856212,2,586,559,,218562,3,2,715
218562,1,36,0,0,11,0,89,0,522,10097,1,1,7,31,1979,3,21856216,1,580,576,51,218562,3,3,719
218562,1,48,,,8,,92,0,,10246,2,1,9,16,1980,3,21856202,2,450,494,28,218562,3,0,705
221571,1,45,0,0,25,0,75,0,739,10193,2,2,1,30,1979,2,22157109,1,,497,48,221571,3,1,728
221571,1,39,0,0,25,0,75,0,758,10447,2,1,11,17,1979,2,22157116,1,618,599,43,221571,3,2,735
221571,1,40,0,0,25,0,75,0,776,10203,1,1,11,10,1979,2,22157121,2,618,579,54,221571,3,3,740
221571,1,42,,,24,,76,0,,10331,2,2,8,19,1980,2,22157103,1,413,468,24,221571,3,0,722
221574,1,26,0,0,12,0,88,0,487,10531,1,1,9,26,1980,1,22157406,2,487,497,52,221574,3,1,746
221574,1,28,0,0,12,0,88,0,488,10040,2,1,9,24,1979,2,22157410,2,,,,221574,3,2,750
221574,1,22,0,0,12,0,88,0,474,10040,2,1,9,24,1979,2,22157414,2,,,50,221574,3,3,754
221574,1,28,,,13,,87,0,,10762,1,1,9,18,1980,2,22157404,1,,,25,221574,3,0,744
225585,1,30,0,0,5,0,95,0,624,10307,2,1,4,29,1980,2,22558507,2,536,520,49,225585,3,1,763
225585,1,26,0,0,4,0,96,0,683,10375,1,1,1,15,1980,1,22558511,2,577,577,45,225585,3,2,767
225585,1,25,0,0,3,0,97,0,578,10023,1,1,7,19,1979,1,22558515,2,,,50,225585,3,3,771
225585,1,25,,,4,,96,0,,11018,1,1,11,26,1978,2,22558503,2,421,500,29,225585,3,0,759
228606,1,26,0,0,17,0,83,0,509,10874,1,2,10,3,1978,2,22860605,1,495,502,,228606,3,1,777
228606,1,25,0,0,19,0,81,0,510,10206,1,1,7,9,1980,1,22860609,2,,,50,228606,3,2,781
228606,1,25,0,0,15,0,85,0,491,10109,2,1,6,13,1980,3,22860616,,,,,228606,3,3,788
228606,1,36,,,12,,88,0,,11013,2,1,12,28,1978,3,22860601,1,418,463,24,228606,3,0,773
230612,1,53,0,0,5,1,94,0,379,10286,1,1,11,14,1979,3,23061205,2,509,526,52,230612,3,1,793
230612,1,43,0,0,3,0,97,0,533,10286,1,1,11,14,1979,3,23061208,2,571,603,50,230612,3,2,796
230612,1,55,0,0,4,1,95,0,566,10177,2,1,6,25,1979,1,23061212,,600,586,46,230612,3,3,800
230612,1,51,,,6,,94,0,,10286,1,1,11,14,1979,2,23061203,2,472,536,27,230612,3,0,791
231616,1,51,0,0,0,0,99,0,426,10730,1,1,9,16,1978,3,23161604,1,454,497,50,231616,3,1,804
231616,1,62,0,0,0,0,99,0,429,10260,2,1,9,29,1979,2,23161607,1,643,639,53,231616,3,2,807
231616,1,62,0,0,0,0,99,0,430,10260,2,1,9,29,1979,2,23161611,1,604,659,51,231616,3,3,811
231616,1,50,,,,,100,0,,11234,1,1,1,20,1980,1,23161602,1,434,528,23,231616,3,0,802
234628,1,50,0,0,3,0,97,0,968,10054,1,4,12,1,1979,3,23462810,1,564,549,,234628,3,1,824
234628,1,38,0,1,2,1,96,0,947,10117,1,1,5,14,1978,1,23462812,1,557,577,52,234628,3,2,826
234628,1,35,0,0,3,0,97,0,919,10117,1,1,5,14,1978,1,23462817,1,572,588,52,234628,3,3,831
234628,1,29,,,3,,97,0,,10302,2,1,3,8,1980,3,23462803,1,460,576,26,234628,3,0,817
244697,1,90,0,0,99,0,1,0,811,10008,2,2,4,23,1979,2,24469708,1,483,526,50,244697,3,1,843
244697,1,85,0,0,99,0,1,0,750,10008,2,2,4,23,1979,2,24469712,1,549,572,48,244697,3,2,847
244697,1,95,0,0,99,0,1,0,712,10010,1,2,4,28,1980,3,24469720,1,599,601,,244697,3,3,855
244697,1,99,,,99,,1,0,,11086,2,2,11,11,1979,3,24469703,1,443,494,25,244806,3,0,838
244708,1,92,0,0,99,0,0,0,810,10085,1,2,12,24,1977,3,24470809,1,514,612,52,244708,3,1,866
244708,1,95,0,0,99,0,0,0,790,10024,1,2,6,1,1979,2,24470815,1,555,577,50,244708,3,2,872
244708,1,95,0,0,99,0,0,0,790,10063,1,2,5,13,1979,3,24470819,1,582,562,47,244708,3,3,876
244708,1,97,,,100,,,0,,10845,2,2,12,25,1978,2,24470804,1,,,23,244708,3,0,861
244723,1,95,0,0,99,0,1,0,694,10071,2,2,8,28,1980,2,24472308,1,482,520,,244723,3,1,889
244723,1,95,0,0,99,0,0,0,725,10174,2,2,4,20,1979,2,24472313,1,577,565,52,244723,3,2,894
244723,1,96,0,0,99,0,0,0,670,10195,2,2,8,16,1978,1,24472322,1,620,616,52,244723,3,3,903
244723,1,99,,,100,,,0,,10434,2,2,7,31,1980,3,24472301,1,400,399,,244723,3,0,882
244727,1,25,0,0,99,0,0,0,780,10051,1,2,4,20,1980,1,24472707,,454,523,50,244727,3,1,911
244727,1,30,0,0,99,0,0,0,738,10216,1,2,8,5,1979,1,24472714,2,497,520,42,244727,3,2,918
244727,1,34,0,0,99,0,0,0,732,10038,1,2,5,8,1979,2,24472718,2,569,582,51,244727,3,3,922
244727,1,37,,,100,,,0,,11315,1,2,8,25,1979,3,24472703,1,422,429,26,244727,3,0,907
244728,1,88,0,0,97,0,3,0,541,10306,1,2,3,5,1980,1,24472804,1,519,523,51,244728,3,1,927
244728,1,89,0,0,98,0,2,0,528,10306,1,2,3,5,1980,1,24472807,1,593,596,49,244728,3,2,930
244728,1,96,0,0,99,0,1,0,478,10184,2,2,7,28,1980,3,24472812,1,572,570,53,244728,3,3,935
244728,1,90,,,100,,,0,,10306,1,2,3,5,1980,1,24472801,2,,,29,244728,3,0,924
244736,1,95,0,0,99,0,0,0,437,10822,1,2,9,14,1978,2,24473605,1,468,512,,244736,3,1,941
244736,1,90,0,0,99,0,1,0,435,10249,1,2,6,4,1979,2,24473608,1,549,574,52,244736,3,2,944
244736,1,95,0,0,99,0,0,0,395,10061,1,2,5,31,1978,3,24473610,1,543,544,,244774,3,3,946
244736,1,97,,,100,,,0,,10381,2,2,6,1,1980,3,24473601,1,421,459,24,244736,3,0,937
244745,2,52,0,2,45,1,52,0,606,10655,2,5,7,7,1980,2,24474507,2,,,,244745,3,1,955
244745,1,66,0,2,52,0,46,0,590,10115,1,2,11,30,1979,2,24474512,1,593,540,50,244745,3,2,960
244745,2,59,0,2,51,1,46,0,628,10233,2,1,8,3,1979,2,24474516,1,543,541,53,244745,3,3,964
244745,2,44,,,44,,56,0,,11058,1,1,12,10,1979,2,24474503,1,453,536,24,244745,3,0,951
244746,1,88,0,0,98,0,2,0,595,10608,1,2,4,30,1979,3,24474604,1,472,526,44,244746,3,1,968
244746,1,86,0,0,88,0,12,0,580,10164,1,2,5,24,1980,2,24474609,1,582,611,,244746,3,2,973
244746,1,94,0,0,99,0,1,0,514,10079,1,2,2,24,1979,3,24474611,1,582,608,44,244746,3,3,975
244746,1,85,,,100,,,0,,11393,1,2,11,6,1979,1,24474603,1,463,536,26,244746,3,0,967
244755,1,81,0,0,99,0,0,0,861,10312,1,2,6,3,1980,2,24475513,1,516,493,,244755,3,1,991
244755,1,97,0,0,99,0,1,0,782,10077,2,2,11,26,1979,3,24475515,1,582,584,52,244755,3,2,993
244755,1,90,0,0,99,0,1,0,751,10009,2,2,4,24,1980,2,24475522,1,585,589,,244755,3,3,1000
244755,1,98,,,100,,,0,,10312,1,2,6,3,1980,2,24475504,2,411,444,26,244755,3,0,982
244764,1,83,0,0,99,0,0,0,334,10053,1,2,10,13,1979,2,24476405,1,471,523,,244764,3,1,1011
244764,1,92,0,0,99,0,0,0,338,10012,1,2,1,3,1979,2,24476407,1,,,44,244764,3,2,1013
244764,1,98,0,0,99,0,0,0,322,10013,1,2,8,24,1978,3,24476409,1,590,634,,244764,3,3,1015
244764,1,92,,,100,,,0,,11040,2,2,12,1,1978,3,24476401,1,413,468,27,244764,3,0,1007
244774,1,94,0,0,99,0,0,0,770,10373,1,2,6,18,1980,3,24477410,2,,,,244774,3,1,1027
244774,1,86,0,0,99,0,0,0,95,10006,2,2,2,5,1979,3,24477418,1,593,550,47,244774,3,2,1035
244774,1,95,0,0,99,0,0,0,779,10030,1,2,8,4,1979,3,24477424,1,587,573,,244774,3,3,1041
244774,1,95,,,100,,,0,,11069,1,2,1,19,1978,2,24477405,1,428,439,23,244774,3,0,1022
244776,1,83,0,2,97,0,1,0,722,10032,1,2,2,19,1979,2,24477614,1,503,505,,244776,3,1,1055
244776,1,80,0,0,99,0,1,0,765,10032,1,2,2,19,1979,2,24477615,1,573,577,53,244776,3,2,1056
244776,1,87,0,0,99,0,1,0,763,10032,1,2,2,19,1979,2,24477620,1,560,599,50,244776,3,3,1061
244776,1,90,,,99,,,0,,10399,2,2,9,29,1980,1,24477608,1,,,,244776,3,0,1049
244780,1,90,0,0,99,0,0,0,371,10140,1,2,2,26,1980,1,24478006,2,524,529,50,244780,3,1,1071
