grp,cohes,lead,hrs,wbeing
A1,2.0,3.0,12,3.6666667
A1,2.7142856,2.5454545,11,2.764706
A1,3.125,2.2727273,10,2.7222223
A1,3.75,2.2727273,12,4.0
A1,4.0,2.4545455,12,2.0555556
A1,3.0,3.0,14,3.2777777
A1,2.0,1.7272727,13,2.0
A1,2.875,2.4545455,18,2.6111112
A1,3.375,2.4545455,11,2.1666667
A1,3.25,1.9090909,10,2.9444444
A1,3.25,2.0,12,2.4444444
A1,4.0,3.0,8,3.1111112
A1,4.0,3.3333333,11,3.5
A1,4.25,3.6363637,10,3.1666667
A1,3.125,2.0,12,2.8888888
A1,2.125,2.7,11,0.7647059
A1,3.375,2.3636363,11,1.1666666
A1,3.5,2.5454545,12,2.1666667
A1,4.625,2.1818182,12,0.6666667
A1,2.625,2.6363637,14,2.5555556
A1,4.0,2.8333333,10,2.0
A1,3.25,1.5454545,12,2.7222223
A1,3.25,1.8181819,12,3.0
A1,2.625,1.6363636,15,1.9444444
A1,1.0,3.5,12,3.6111112
A2,3.125,2.1818182,11,3.9444444
A2,3.0,3.2727273,12,3.2777777
A2,3.0,2.6363637,12,2.764706
A2,2.0,2.0,11,4.2222223
A2,2.875,3.090909,10,3.2777777
A2,2.875,3.7272727,11,4.1666665
A2,3.25,3.3636363,8,3.0555556
A2,4.0,2.8333333,12,3.3333333
A2,4.375,4.090909,9,3.8888888
A2,4.0,3.6363637,7,3.6111112
A2,3.5,3.1818182,11,2.1111112
A2,2.0,1.1818181,11,1.4444444
A2,3.0,2.909091,11,3.0555556
A2,2.875,3.2727273,12,2.0555556
A2,3.5,3.4545455,9,3.3333333
A2,3.0,1.9090909,11,3.8888888
A2,3.25,3.1818182,9,3.2777777
A2,3.125,3.2727273,9,2.6666667
A2,4.0,4.3333335,12,2.7777777
A2,3.0,3.090909,11,2.4444444
A2,3.375,3.2727273,10,2.6111112
A2,3.625,3.1111112,13,4.0555553
A2,2.5,3.090909,10,3.2777777
A2,3.5,3.4545455,8,3.1176472
A2,2.625,3.090909,8,2.9444444
A2,3.375,3.2727273,6,3.6111112
A2,3.75,2.8181818,10,3.4444444
A2,2.875,3.0,12,3.1111112
A2,3.625,4.090909,10,3.3333333
A2,4.857143,3.6363637,12,3.2777777
A2,2.75,1.8181819,11,3.3888888
A2,2.375,2.090909,12,1.9444444
A2,3.75,3.0,11,2.9444444
A2,3.25,2.7272727,9,2.7222223
A2,2.625,2.909091,16,1.8888888
A2,4.0,3.3636363,11,2.7222223
A2,3.875,3.7272727,11,3.5555556
A2,1.375,1.8181819,12,1.5555556
A2,3.0,2.8181818,8,0.9444444
A2,4.0,3.4545455,11,3.4444444
A2,3.0,2.0,24,1.8333334
A2,2.5,1.8181819,9,1.3846154
A2,3.375,3.2727273,9,2.3888888
A2,3.142857,3.6363637,9,2.4444444
A2,4.0,3.8181818,11,2.3333333
A2,1.0,3.1666667,12,1.6666666
A2,2.75,2.5454545,10,1.6666666
A2,2.142857,1.6363636,15,1.5555556
A2,3.5,2.5454545,10,4.1666665
A2,4.0,2.7272727,10,3.3529413
A2,4.0,2.5,12,3.2222223
A2,2.25,3.7272727,12,3.1666667
A2,3.5,3.0,11,3.1111112
A2,3.875,2.7272727,9,3.5555556
A2,3.0,3.0,13,2.6666667
A2,2.875,3.3636363,11,2.7777777
A2,3.875,2.5454545,8,2.0555556
A2,2.875,2.8181818,12,3.1111112
A2,1.0,1.0,6,2.5555556
A2,3.25,3.0,12,1.3888888
A2,3.75,3.6363637,8,3.75
A2,4.0,3.5454545,7,2.3888888
A2,3.375,3.3636363,12,3.0
A2,3.625,4.181818,10,4.3333335
A2,3.25,3.5454545,10,2.8888888
A2,4.125,3.8181818,8,3.5555556
A2,2.125,2.2727273,8,2.5555556
A2,4.125,3.7272727,10,3.6666667
A2,2.75,3.4545455,12,3.2777777
A2,3.625,3.6363637,12,2.5555556
A2,3.0,3.4545455,9,2.8888888
A2,2.75,3.0,12,3.2222223
A2,4.0,4.5,12,1.8333334
A2,2.0,2.1666667,12,2.8333333
A2,1.0,3.3333333,10,1.3888888
A2,2.125,2.2727273,10,1.8888888
A2,3.0,2.0,8,1.2777778
A2,2.375,1.3636364,10,0.9444444
A2,3.875,3.3636363,11,3.3333333
A2,2.25,2.0,12,2.6111112
A2,3.875,3.8181818,10,3.4444444
A2,3.875,2.090909,11,2.0
A2,3.142857,3.090909,9,1.3333334
A2,3.5,2.8181818,10,3.4444444
A2,3.5,2.5454545,8,2.7777777
A2,3.875,3.5454545,8,3.0555556
A2,3.125,2.8181818,10,2.0
A2,3.625,2.3636363,9,2.2777777
A2,3.25,3.0,10,1.9444444
A2,4.625,2.3636363,10,2.2777777
A2,3.25,2.0,11,2.3888888
A2,4.0,3.0,11,2.1111112
A2,3.875,1.9090909,11,2.7222223
A2,3.0,2.090909,9,2.6111112
A2,1.0,2.6666667,7,2.0555556
A2,2.625,2.7272727,10,1.9444444
A3,4.5,3.1666667,18,2.6666667
A3,3.375,3.909091,16,3.7222223
A3,1.0,1.0,18,0.0
A3,3.125,3.6363637,11,4.111111
A3,2.75,3.1111112,10,3.1111112
A3,5.0,3.1666667,12,2.3888888
A3,2.625,2.4545455,12,3.5
A3,2.625,3.0,12,2.3888888
A3,2.0,2.6,12,1.8666667
A3,1.0,2.3333333,11,3.0
A3,2.25,2.090909,11,2.9444444
A3,3.0,2.5,11,3.0
A3,2.625,2.6363637,13,3.1666667
A3,5.0,1.0,11,2.6666667
A3,3.125,3.090909,12,3.6666667
A3,4.0,3.5454545,11,4.2222223
A3,4.0,3.8181818,12,4.8333335
A3,2.875,2.8181818,12,1.8333334
A3,5.0,2.8181818,12,3.2777777
A3,3.75,2.7272727,11,3.3333333
A3,4.0,3.2,13,2.6111112
A3,3.2857144,3.2727273,12,2.3888888
A3,4.625,2.4545455,8,2.1666667
A3,1.5,1.7272727,11,1.9444444
A3,3.0,2.3636363,12,2.5
A3,1.0,3.1666667,12,2.8333333
A3,2.0,2.0,12,3.1666667
A3,3.875,3.3636363,12,3.2777777
A3,3.25,4.181818,10,3.6666667
A3,1.0,1.8333334,13,2.7777777
A3,4.25,2.4545455,14,2.8888888
A3,2.875,2.8181818,14,4.3333335
A3,1.0,3.0,12,2.7222223
A3,4.0,2.8333333,12,3.2777777
A3,3.875,2.3636363,13,3.7222223
A3,2.125,3.0,11,4.388889
A3,3.25,3.1818182,12,2.8333333
A3,3.5,4.0,12,3.8333333
A3,1.125,1.1818181,13,2.5555556
A3,3.0,2.3333333,12,3.7777777
A3,2.875,2.5454545,12,2.6111112
A3,3.25,2.4545455,10,3.8888888
A4,1.25,1.0,12,2.4444444
A4,4.0,3.3636363,12,3.5555556
A4,3.25,2.4545455,12,4.0555553
A4,3.5,3.0,10,4.076923
A4,3.0,3.1818182,7,3.0
A4,2.875,2.2727273,11,1.0555556
A4,5.0,4.6363635,5,4.2777777
A4,3.0,2.909091,12,2.3333333
A4,3.5,2.8333333,10,2.9444444
A4,2.375,3.090909,10,3.1666667
A4,3.0,3.7272727,8,4.2222223
A4,4.0,3.0,12,2.7777777
A4,3.5,2.909091,10,1.7222222
A4,3.125,3.8181818,11,3.0555556
A4,2.625,3.4545455,12,2.5555556
A4,3.5,2.5,12,2.4444444
A4,3.0,3.1818182,14,3.4444444
A4,2.25,3.6363637,11,3.3888888
A4,1.5,2.5,12,2.8888888
A4,2.375,2.3636363,11,3.1111112
A4,1.75,1.9090909,11,3.0555556
A4,2.0,2.2727273,11,1.1111112
A4,3.5,2.7272727,11,2.7777777
A4,4.125,2.4545455,11,4.2777777
A4,3.5,4.0,11,4.0
A4,2.0,1.8181819,10,2.4444444
A4,2.5,3.1818182,11,2.7222223
A4,4.5,4.181818,11,2.9444444
A4,2.625,2.6363637,10,1.5
A4,3.125,2.5454545,7,3.0
A4,2.5,1.8333334,12,3.2222223
A4,2.75,3.0,8,1.7222222
A4,3.375,3.0,12,3.3888888
A4,3.625,3.7272727,8,4.111111
A4,4.125,2.6363637,12,3.5
A4,2.0,1.2727273,11,2.4444444
A4,2.375,1.7272727,13,3.2777777
A4,2.375,2.3636363,10,3.2777777
A4,2.875,2.2727273,14,1.2777778
A4,3.125,3.6363637,10,3.7777777
A4,3.0,3.6363637,8,2.3888888
A4,2.0,2.5,10,2.1666667
A4,3.4285715,3.1818182,13,3.1666667
A4,3.375,3.4545455,8,4.111111
A4,3.125,3.2727273,11,3.6111112
A4,3.625,3.5454545,9,3.8333333
A4,2.75,2.4545455,9,2.2222223
A4,3.625,3.6363637,11,1.9444444
A4,3.875,4.0,12,2.1111112
A4,3.75,1.3636364,12,0.9444444
A4,3.5,3.4,16,3.8888888
A4,2.0,2.3333333,12,2.1666667
A4,2.5,1.9090909,12,2.6111112
A4,3.5,3.5,9,3.5555556
A4,2.5,3.6666667,14,3.8333333
A4,2.375,3.7272727,10,1.6111112
A4,4.0,2.1666667,9,2.1111112
A4,3.0,2.8181818,11,3.6111112
A4,3.125,2.6363637,10,3.7222223
A4,4.0,3.6363637,10,2.8888888
A4,3.25,2.8181818,9,3.4444444
A4,1.5,3.5,10,3.1111112
A4,2.0,4.0,10,3.5555556
A4,2.0,3.8333333,9,4.0555553
A4,4.25,5.0,8,4.2777777
A4,4.25,4.2727275,9,2.7777777
A4,2.75,2.6363637,9,3.1666667
A4,3.5,3.5,8,4.6666665
A4,4.25,3.8181818,9,4.4444447
A4,3.875,4.4545455,8,2.75
A4,3.75,2.8181818,10,2.7777777
A4,4.0,3.5454545,10,4.0555553
A4,3.25,3.909091,8,3.5
A4,3.0,3.5,10,3.5
A4,3.0,3.0,8,2.5555556
A4,2.0,3.1666667,9,3.9444444
A4,3.0,3.1818182,9,2.3888888
A4,4.125,4.0,8,3.7777777
A4,3.0,3.0,8,3.1111112
A4,3.875,3.7272727,10,3.0555556
A4,4.0,3.6363637,9,4.0
A4,4.375,3.6363637,12,3.8333333
A4,2.375,3.4545455,8,3.0555556
A4,3.375,3.6363637,8,3.7222223
A4,2.375,3.7272727,9,2.6111112
A4,3.857143,3.8181818,12,3.0555556
A4,1.75,2.8181818,10,3.2777777
A4,2.875,2.6363637,10,3.8888888
A4,2.625,2.4545455,11,1.6666666
A4,4.625,4.181818,13,3.6111112
A4,3.0,3.6666667,12,3.7777777
A4,3.0,3.5,12,3.0555556
A4,4.0,3.0,8,3.3333333
A4,2.875,2.8,10,3.0588236
A4,3.25,2.8181818,12,3.9444444
A4,3.0,2.6363637,10,2.3333333
A4,4.0,4.8333335,8,4.2222223
A4,4.375,3.7272727,11,4.1666665
A4,2.0,3.8333333,8,2.6666667
A4,3.875,4.090909,9,3.0
A4,3.75,3.8181818,10,2.3529413
A4,3.625,4.0,9,4.7777777
A5,1.0,2.6666667,10,3.6111112
A5,2.25,3.1818182,12,3.3333333
A5,1.0,1.6666666,12,2.2777777
A5,3.5,2.1818182,12,2.0555556
A5,1.875,2.0,12,1.5
A5,2.0,2.1666667,12,2.4444444
A5,3.375,2.4545455,10,1.7222222
A5,1.5,3.1666667,14,3.0
A5,3.375,2.2727273,10,3.0
A5,3.875,3.4545455,9,3.1111112
A5,1.5,1.9090909,11,2.9444444
A5,3.5,3.7272727,10,2.8333333
A5,5.0,2.6666667,10,2.5
A5,3.0,2.5454545,10,2.3888888
A5,3.125,4.2222223,9,2.0555556
A5,2.375,2.8181818,10,3.1764705
A5,4.0,3.1666667,10,3.2222223
A5,2.5,3.090909,9,3.1666667
A5,2.875,1.0909091,12,1.8888888
A5,3.0,3.1666667,10,1.7777778
A5,3.5,3.1818182,11,1.2222222
A5,2.375,2.8181818,9,4.0
A5,1.5,3.1666667,12,1.5555556
A5,4.5,4.1666665,11,3.1666667
A5,2.125,2.090909,11,2.6111112
A5,4.0,4.0,11,4.2777777
A5,3.75,3.0,12,1.8333334
A5,2.75,3.4545455,11,4.6666665
A6,4.0,2.5,12,2.235294
A6,2.5,2.3636363,14,1.5555556
A6,3.1666667,2.1666667,12,3.1666667
A6,1.0,2.6666667,11,3.5555556
A6,2.5,3.0,12,2.3888888
A6,4.375,2.8181818,12,2.8333333
A6,3.25,2.4545455,12,2.4444444
A6,3.25,2.2727273,12,2.6666667
A6,2.125,1.0909091,8,2.1666667
A6,4.25,2.909091,10,3.1666667
A6,4.25,3.4545455,10,3.8333333
A6,3.875,3.7272727,12,4.0
A6,3.5,3.4545455,9,3.1666667
A6,2.7142856,2.090909,11,2.3888888
A6,4.0,3.8333333,10,2.2222223
A6,3.375,3.1818182,12,3.0
A6,3.25,2.1818182,11,3.1666667
A6,2.0,2.6666667,13,1.6666666
A6,2.375,1.0909091,11,2.6666667
A6,2.0,2.3333333,11,2.2222223
A6,3.125,1.5454545,12,2.2222223
A6,3.0,2.6363637,10,2.5555556
A6,1.0,2.1666667,12,3.5
A6,2.625,1.4545455,15,1.2222222
A6,3.0,2.6666667,12,2.0555556
A6,3.75,3.2727273,12,3.3888888
A6,3.0,3.0,9,2.2222223
A6,1.0,3.5,11,4.2777777
A6,2.125,1.0,14,1.7777778
A7,4.0,3.0,10,2.7777777
A7,3.0,3.4545455,9,2.6153846
A7,2.25,2.2727273,8,2.0
A7,3.25,2.909091,9,2.5555556
A7,3.125,3.1818182,8,2.2777777
A7,3.5,3.3636363,8,4.111111
A7,2.75,2.3333333,8,1.625
A7,4.0,3.909091,11,4.111111
A7,1.75,2.1818182,9,3.0555556
A7,3.625,2.8181818,10,2.2222223
A7,4.0,2.3333333,12,2.9444444
A7,3.0,2.0,10,1.2777778
A7,3.0,2.909091,12,1.3888888
A7,3.5,2.4545455,12,3.5
A7,4.5,3.8181818,8,4.4444447
A7,3.625,3.1818182,10,2.2777777
A7,4.0,3.3636363,10,2.7222223
A7,2.0,3.0,13,2.7222223
A7,2.5,2.5,13,1.6111112
A7,1.0,3.0,24,2.0555556
A7,3.875,3.7272727,8,2.5555556
A7,4.25,2.2727273,11,3.1111112
A7,4.0,3.5,11,3.8333333
A7,3.0,2.8333333,11,3.9444444
A7,4.5,3.6666667,10,4.4444447
A7,3.25,2.3636363,8,1.3888888
A7,3.875,4.0,11,2.9444444
A7,2.5,3.5,14,3.0
A7,3.875,2.6363637,11,3.7777777
A7,2.5,2.3636363,8,3.6111112
A7,2.125,3.1818182,11,2.7777777
A7,2.0,2.8333333,10,2.8125
A7,3.5,3.8181818,8,4.0555553
A7,4.625,4.3636365,8,4.8333335
A8,3.0,3.090909,8,3.5
A8,3.75,3.4545455,11,4.1666665
A8,3.25,2.7272727,8,3.5555556
A8,2.25,2.0,10,3.6666667
A8,5.0,4.0,11,4.8333335
A8,3.875,3.7272727,8,3.9444444
A8,3.0,3.3636363,9,2.4444444
A8,3.25,3.0,8,3.3333333
A8,3.5,3.5,12,4.0555553
A8,3.875,5.0,10,4.9444447
A8,3.0,4.0,11,3.6111112
A8,4.0,3.3333333,12,2.6666667
A8,3.0,3.7272727,8,3.6666667
A8,2.0,3.3636363,10,2.5555556
A8,3.875,3.909091,8,3.0555556
A8,2.5,3.2,9,3.1111112
A8,3.5,3.1666667,10,2.9444444
A8,3.0,2.6363637,14,1.5555556
A8,3.5,3.5454545,9,2.5555556
A8,2.625,2.5454545,12,2.8333333
A8,3.25,2.7272727,7,3.3333333
A8,3.0,3.090909,8,4.4444447
A8,3.5,4.0,10,1.0555556
A8,3.0,3.6666667,10,2.7777777
A8,2.625,2.0,11,2.0
A8,4.0,4.0,10,3.9444444
A8,4.125,4.0,10,1.3846154
A8,2.125,2.6363637,11,1.3888888
A8,3.25,3.7272727,10,3.8888888
A8,3.875,3.6363637,11,2.7222223
A8,2.75,2.7272727,15,4.6666665
A8,3.375,2.4545455,7,3.5555556
A8,3.0,2.3636363,11,2.6111112
A8,2.75,2.5454545,8,2.4444444
A8,3.875,3.7272727,8,2.7777777
A8,2.625,2.3636363,10,2.1111112
A8,2.75,2.6363637,12,3.3333333
A8,3.5,3.1818182,9,2.7222223
A8,3.875,3.3636363,9,3.3333333
A9,4.0,3.5,12,4.0555553
A9,2.25,2.4545455,16,0.2777778
A9,3.875,3.0,8,4.0
A9,2.875,3.8181818,12,2.3333333
A9,1.75,1.0,16,2.0
A9,3.125,1.3636364,14,2.6111112
A9,2.875,2.4545455,11,2.9444444
A9,4.0,2.3333333,13,2.8823528
A9,2.125,3.3636363,17,2.2777777
A9,3.0,3.1666667,10,2.25
A9,2.0,2.5454545,12,3.7222223
A9,2.125,2.3636363,16,0.5
A9,2.0,3.0,10,2.2222223
A9,2.5,2.3333333,11,4.2222223
A9,2.0,4.0,12,2.9444444
A9,3.0,3.0,12,2.3333333
A9,1.0,2.8333333,14,3.4444444
A9,3.625,2.2727273,14,2.0555556
A9,1.75,3.0,10,2.3333333
A9,1.0,3.3333333,13,3.0
A9,1.5,2.090909,15,3.6666667
A9,4.0,1.1666666,16,3.7777777
A9,4.125,2.2727273,12,1.8888888
A9,3.5,2.0,14,2.2222223
A9,3.5,3.5,12,3.8888888
A9,3.5,3.3333333,12,3.6111112
A9,3.375,2.0,9,2.6666667
A9,3.25,2.3636363,13,1.2222222
A9,4.0,3.3636363,12,3.2777777
A9,3.75,3.8181818,10,3.3333333
A9,2.5,3.1666667,13,2.6666667
A9,3.0,2.3333333,15,2.3888888
A9,2.0,2.7272727,13,3.2777777
A9,2.375,2.1818182,11,2.6666667
A9,3.0,2.8333333,10,3.0
A9,1.875,1.1818181,12,1.7777778
A9,3.857143,1.6363636,14,1.4444444
A9,2.875,2.8181818,12,2.3333333
A9,4.25,2.3636363,13,1.4444444
A9,1.0,2.5,11,3.5555556
A9,3.25,3.8181818,10,2.7222223
A9,3.75,3.3636363,15,3.3888888
A9,3.875,2.4545455,12,2.5294118
A9,2.375,2.3636363,12,4.0
A9,5.0,2.0,11,1.8333334
A9,2.875,2.7272727,12,2.1111112
A9,2.375,2.2727273,12,3.0
A9,3.25,2.4545455,12,2.7222223
A9,3.375,2.8181818,15,3.3888888
A9,3.625,2.3636363,12,4.1666665
A9,3.125,2.8181818,8,3.6666667
A9,3.5,2.0,10,2.7222223
A9,3.5,2.5,14,2.2222223
A9,3.375,3.090909,15,2.2777777
A9,3.5,2.5454545,14,2.1666667
A9,3.5,2.1666667,13,1.9333333
A9,3.5,3.4545455,18,2.3888888
A9,3.5,3.090909,12,4.111111
A9,3.125,2.8181818,5,4.0
A9,3.0,3.3333333,12,3.9444444
A9,3.0,4.0,15,4.111111
A9,2.75,2.909091,12,2.7777777
A9,3.125,2.4545455,13,1.8888888
A9,4.0,1.25,13,3.0
A9,4.0,2.8333333,11,3.8888888
AA,3.0,3.0,10,4.111111
AA,3.5,3.1666667,12,3.7222223
AA,4.0,3.1818182,10,2.4444444
AA,2.25,3.1818182,8,3.7222223
AA,4.0,3.5,12,2.2222223
AA,1.5,2.6666667,13,2.8888888
AA,1.0,2.3333333,12,2.7777777
AA,1.75,2.2727273,12,1.6666666
AA,2.0,2.5,11,1.6666666
AA,3.0,3.3333333,11,2.4444444
AA,1.5,1.3333334,13,2.0
AA,3.0,4.1666665,13,4.3333335
AA,2.875,3.2727273,12,2.9444444
AA,3.0,3.0,8,2.3888888
AA,1.5,1.9090909,12,5.0
AA,2.875,2.909091,9,3.5555556
AA,3.0,3.5,14,3.6111112
AA,4.0,3.1666667,11,3.5555556
AA,4.125,3.909091,11,3.0555556
AA,3.5,2.8181818,11,3.1666667
AA,3.75,3.6363637,12,3.3888888
AA,2.875,2.090909,13,2.6111112
AA,3.5,3.0,10,3.3888888
AA,4.5,2.1666667,10,3.8333333
AA,2.625,2.6363637,10,1.6666666
AA,3.75,3.6363637,10,2.1111112
AA,2.0,2.3333333,13,3.0555556
AA,3.0,2.8181818,8,3.1111112
AA,3.75,1.6363636,12,2.0
AA,4.0,3.8333333,10,4.2222223
AA,4.0,3.8888888,12,2.4444444
AA,3.875,2.909091,11,1.6470588
AA,2.625,2.090909,11,1.7777778
AA,2.0,4.5,12,3.9444444
AA,2.75,3.090909,4,1.6111112
AA,3.5,2.3636363,10,3.0555556
AA,2.6,2.4545455,10,2.1111112
AA,2.0,2.6666667,12,3.3333333
AA,4.0,2.0,10,3.5555556
AB,3.0,2.3636363,13,3.0555556
AB,1.0,1.1818181,17,3.1111112
AB,4.0,3.2727273,10,2.9444444
AB,1.5,2.1666667,11,1.9444444
AB,3.875,2.5454545,12,1.2777778
AB,3.5,3.5,12,4.4444447
AB,4.125,3.4545455,11,3.1111112
AB,3.0,2.4545455,10,2.3333333
AB,2.0,2.090909,14,2.5
AB,5.0,1.0,12,0.8333333
AB,3.875,2.5454545,12,1.5
AB,4.25,2.3636363,8,3.7777777
AB,3.0,2.909091,11,1.7058823
AB,2.0,2.6666667,24,2.1666667
AB,3.0,2.4545455,12,2.8888888
AB,3.0,3.0,7,3.4444444
AB,3.75,2.5454545,12,2.8333333
AB,1.25,1.0909091,8,2.5
AB,3.5,2.909091,11,3.1666667
AB,2.125,1.5454545,12,2.3333333
AB,4.0,2.909091,12,3.9444444
AB,2.875,1.0909091,14,1.7777778
AB,4.0,2.8181818,10,3.6666667
AB,2.875,1.4545455,15,2.6111112
AB,3.25,1.9090909,10,2.9444444
AB,4.125,3.4545455,10,1.9444444
AB,3.125,3.1818182,12,3.4444444
AB,2.75,1.1818181,12,2.1111112
AB,3.875,3.090909,10,4.0
AB,3.0,3.0,10,1.6666666
AB,4.8,1.1818181,12,3.5555556
AB,5.0,2.8181818,10,2.2777777
AB,3.0,1.8333334,13,2.4444444
AB,3.25,2.0,10,2.2777777
AB,4.0,3.1818182,9,2.6666667
AB,3.0,2.090909,12,2.1111112
AC,1.5,3.8333333,15,4.8333335
AC,3.75,4.0,11,4.888889
AC,2.75,2.909091,10,3.9444444
AC,3.0,2.7272727,11,3.4444444
AC,3.0,2.7272727,12,3.0555556
AC,1.0,2.5,11,3.4444444
AC,2.0,2.2727273,14,2.3333333
AC,1.5,1.8181819,12,1.7777778
AC,3.5,2.5454545,12,3.1666667
AC,4.25,3.0,10,3.5
AC,2.25,2.7272727,14,1.5
AC,4.25,3.090909,24,2.5
AC,2.5,2.6363637,8,2.3333333
AC,3.5,2.3,12,2.7222223
AC,3.375,3.0,12,3.1111112
AC,3.0,3.5,12,3.7222223
AC,2.875,3.090909,12,3.8333333
AC,2.75,2.1,12,1.2777778
AC,3.75,2.0,9,4.388889
AC,3.25,3.2727273,12,2.8333333
AC,1.375,1.0,13,1.7222222
AC,3.375,3.0,8,3.9444444
AC,2.0,3.2,12,2.3888888
AC,2.25,2.4545455,8,2.1666667
AC,3.875,2.9,11,3.2777777
AC,3.0,3.0,12,3.0
AC,3.375,3.2727273,10,2.6111112
AC,3.375,1.9090909,12,2.1666667
AC,2.625,2.7272727,12,3.0555556
AC,3.0,3.0,12,4.2777777
AC,2.0,1.5454545,11,1.3888888
AC,1.875,2.8181818,10,4.1666665
AC,1.875,2.2727273,12,2.2777777
AC,2.5,3.0,11,3.25
AC,2.625,3.0,16,3.5555556
AC,2.75,2.4545455,8,2.5555556
AC,2.125,1.3636364,20,2.6111112
AC,3.125,1.0,11,2.1111112
AC,3.2857144,3.5454545,11,3.2777777
AC,2.375,1.5454545,18,4.3333335
AC,2.625,2.8181818,12,3.2777777
