y,female,male,group,experiment,rbm,rbf,wsm,wsf
0,13,17,2,1,0,1,1,0
1,13,20,2,1,0,1,1,0
1,14,11,2,1,1,1,0,0
0,14,12,2,1,1,1,0,0
1,14,15,2,1,1,1,0,0
1,14,18,2,1,0,1,1,0
1,14,19,2,1,0,1,1,0
0,14,20,2,1,0,1,1,0
0,15,12,2,1,1,1,0,0
0,15,13,2,1,1,1,0,0
0,15,15,2,1,1,1,0,0
1,15,16,2,1,0,1,1,0
0,15,17,2,1,0,1,1,0
1,15,18,2,1,0,1,1,0
1,16,12,2,1,1,0,0,1
0,16,14,2,1,1,0,0,1
0,16,15,2,1,1,0,0,1
1,16,18,2,1,0,0,1,1
1,16,19,2,1,0,0,1,1
1,16,20,2,1,0,0,1,1
0,17,11,2,1,1,0,0,1
0,17,12,2,1,1,0,0,1
0,17,14,2,1,1,0,0,1
0,17,16,2,1,0,0,1,1
1,17,17,2,1,0,0,1,1
0,17,20,2,1,0,0,1,1
0,18,11,2,1,1,0,0,1
0,18,12,2,1,1,0,0,1
0,18,13,2,1,1,0,0,1
1,18,16,2,1,0,0,1,1
0,18,17,2,1,0,0,1,1
0,18,19,2,1,0,0,1,1
1,19,13,2,1,1,0,0,1
0,19,14,2,1,1,0,0,1
0,19,15,2,1,1,0,0,1
1,19,18,2,1,0,0,1,1
1,19,19,2,1,0,0,1,1
1,19,20,2,1,0,0,1,1
0,20,11,2,1,1,0,0,1
0,20,13,2,1,1,0,0,1
0,20,15,2,1,1,0,0,1
0,20,16,2,1,0,0,1,1
0,20,17,2,1,0,0,1,1
1,20,18,2,1,0,0,1,1
1,21,21,3,2,1,1,0,0
1,21,24,3,2,1,1,0,0
1,21,25,3,2,1,1,0,0
0,21,26,3,2,0,1,1,0
0,21,29,3,2,0,1,1,0
0,21,30,3,2,0,1,1,0
0,22,21,3,2,1,1,0,0
1,22,23,3,2,1,1,0,0
1,22,25,3,2,1,1,0,0
1,22,27,3,2,0,1,1,0
0,22,28,3,2,0,1,1,0
1,22,30,3,2,0,1,1,0
1,23,21,3,2,1,1,0,0
0,23,22,3,2,1,1,0,0
1,23,23,3,2,1,1,0,0
1,23,26,3,2,0,1,1,0
1,23,28,3,2,0,1,1,0
1,23,29,3,2,0,1,1,0
0,24,22,3,2,1,1,0,0
1,24,24,3,2,1,1,0,0
0,24,25,3,2,1,1,0,0
0,24,27,3,2,0,1,1,0
0,24,29,3,2,0,1,1,0
0,24,30,3,2,0,1,1,0
0,25,22,3,2,1,1,0,0
1,25,23,3,2,1,1,0,0
1,25,24,3,2,1,1,0,0
0,25,26,3,2,0,1,1,0
0,25,27,3,2,0,1,1,0
0,25,28,3,2,0,1,1,0
1,26,21,3,2,1,0,0,1
0,26,22,3,2,1,0,0,1
1,26,24,3,2,1,0,0,1
1,26,27,3,2,0,0,1,1
1,26,28,3,2,0,0,1,1
1,26,30,3,2,0,0,1,1
0,27,21,3,2,1,0,0,1
0,27,22,3,2,1,0,0,1
0,27,25,3,2,1,0,0,1
0,27,26,3,2,0,0,1,1
1,27,29,3,2,0,0,1,1
1,27,30,3,2,0,0,1,1
0,28,23,3,2,1,0,0,1
0,28,24,3,2,1,0,0,1
0,28,25,3,2,1,0,0,1
0,28,26,3,2,0,0,1,1
0,28,27,3,2,0,0,1,1
0,28,30,3,2,0,0,1,1
1,29,21,3,2,1,0,0,1
1,29,23,3,2,1,0,0,1
1,29,24,3,2,1,0,0,1
1,29,26,3,2,0,0,1,1
1,29,28,3,2,0,0,1,1
1,29,29,3,2,0,0,1,1
0,30,22,3,2,1,0,0,1
1,30,23,3,2,1,0,0,1
0,30,25,3,2,1,0,0,1
1,30,27,3,2,0,0,1,1
1,30,28,3,2,0,0,1,1
1,30,29,3,2,0,0,1,1
0,31,32,4,2,1,1,0,0
0,31,33,4,2,1,1,0,0
1,31,34,4,2,1,1,0,0
0,31,36,4,2,0,1,1,0
1,31,39,4,2,0,1,1,0
1,31,40,4,2,0,1,1,0
1,32,31,4,2,1,1,0,0
1,32,33,4,2,1,1,0,0
1,32,34,4,2,1,1,0,0
0,32,37,4,2,0,1,1,0
1,32,38,4,2,0,1,1,0
0,32,39,4,2,0,1,1,0
0,33,31,4,2,1,1,0,0
0,33,34,4,2,1,1,0,0
0,33,35,4,2,1,1,0,0
1,33,36,4,2,0,1,1,0
0,33,37,4,2,0,1,1,0
1,33,40,4,2,0,1,1,0
1,34,31,4,2,1,1,0,0
1,34,32,4,2,1,1,0,0
1,34,35,4,2,1,1,0,0
1,34,38,4,2,0,1,1,0
0,34,39,4,2,0,1,1,0
1,34,40,4,2,0,1,1,0
0,35,32,4,2,1,1,0,0
1,35,33,4,2,1,1,0,0
0,35,35,4,2,1,1,0,0
1,35,36,4,2,0,1,1,0
0,35,37,4,2,0,1,1,0
1,35,38,4,2,0,1,1,0
0,36,32,4,2,1,0,0,1
0,36,34,4,2,1,0,0,1
0,36,35,4,2,1,0,0,1
1,36,38,4,2,0,0,1,1
1,36,39,4,2,0,0,1,1
0,36,40,4,2,0,0,1,1
0,37,31,4,2,1,0,0,1
0,37,32,4,2,1,0,0,1
0,37,34,4,2,1,0,0,1
1,37,36,4,2,0,0,1,1
0,37,37,4,2,0,0,1,1
1,37,40,4,2,0,0,1,1
0,38,31,4,2,1,0,0,1
0,38,32,4,2,1,0,0,1
0,38,33,4,2,1,0,0,1
1,38,36,4,2,0,0,1,1
1,38,37,4,2,0,0,1,1
1,38,39,4,2,0,0,1,1
1,39,33,4,2,1,0,0,1
0,39,34,4,2,1,0,0,1
0,39,35,4,2,1,0,0,1
1,39,38,4,2,0,0,1,1
1,39,39,4,2,0,0,1,1
0,39,40,4,2,0,0,1,1
0,40,31,4,2,1,0,0,1
0,40,33,4,2,1,0,0,1
0,40,35,4,2,1,0,0,1
0,40,36,4,2,0,0,1,1
0,40,37,4,2,0,0,1,1
0,40,38,4,2,0,0,1,1
1,41,41,5,3,1,1,0,0
1,41,44,5,3,1,1,0,0
1,41,45,5,3,1,1,0,0
0,41,46,5,3,0,1,1,0
1,41,49,5,3,0,1,1,0
1,41,50,5,3,0,1,1,0
0,42,41,5,3,1,1,0,0
0,42,43,5,3,1,1,0,0
0,42,45,5,3,1,1,0,0
0,42,47,5,3,0,1,1,0
1,42,48,5,3,0,1,1,0
0,42,50,5,3,0,1,1,0
1,43,41,5,3,1,1,0,0
1,43,42,5,3,1,1,0,0
1,43,43,5,3,1,1,0,0
1,43,46,5,3,0,1,1,0
1,43,48,5,3,0,1,1,0
0,43,49,5,3,0,1,1,0
1,44,42,5,3,1,1,0,0
1,44,44,5,3,1,1,0,0
0,44,45,5,3,1,1,0,0
0,44,47,5,3,0,1,1,0
0,44,49,5,3,0,1,1,0
1,44,50,5,3,0,1,1,0
1,45,42,5,3,1,1,0,0
0,45,43,5,3,1,1,0,0
1,45,44,5,3,1,1,0,0
0,45,46,5,3,0,1,1,0
0,45,47,5,3,0,1,1,0
1,45,48,5,3,0,1,1,0
0,46,41,5,3,1,0,0,1
0,46,42,5,3,1,0,0,1
0,46,44,5,3,1,0,0,1
0,46,47,5,3,0,0,1,1
1,46,48,5,3,0,0,1,1
0,46,50,5,3,0,0,1,1
0,47,41,5,3,1,0,0,1
0,47,42,5,3,1,0,0,1
0,47,45,5,3,1,0,0,1
0,47,46,5,3,0,0,1,1
1,47,49,5,3,0,0,1,1
1,47,50,5,3,0,0,1,1
0,48,43,5,3,1,0,0,1
0,48,44,5,3,1,0,0,1
0,48,45,5,3,1,0,0,1
0,48,46,5,3,0,0,1,1
1,48,47,5,3,0,0,1,1
1,48,50,5,3,0,0,1,1
0,49,41,5,3,1,0,0,1
0,49,43,5,3,1,0,0,1
0,49,44,5,3,1,0,0,1
0,49,46,5,3,0,0,1,1
1,49,48,5,3,0,0,1,1
1,49,49,5,3,0,0,1,1
0,50,42,5,3,1,0,0,1
0,50,43,5,3,1,0,0,1
0,50,45,5,3,1,0,0,1
0,50,47,5,3,0,0,1,1
1,50,48,5,3,0,0,1,1
1,50,49,5,3,0,0,1,1
1,51,52,6,3,1,1,0,0
1,51,53,6,3,1,1,0,0
1,51,54,6,3,1,1,0,0
1,51,56,6,3,0,1,1,0
0,51,59,6,3,0,1,1,0
1,51,60,6,3,0,1,1,0
0,52,51,6,3,1,1,0,0
1,52,53,6,3,1,1,0,0
0,52,54,6,3,1,1,0,0
0,52,57,6,3,0,1,1,0
0,52,58,6,3,0,1,1,0
0,52,59,6,3,0,1,1,0
1,53,51,6,3,1,1,0,0
0,53,54,6,3,1,1,0,0
1,53,55,6,3,1,1,0,0
1,53,56,6,3,0,1,1,0
1,53,57,6,3,0,1,1,0
1,53,60,6,3,0,1,1,0
0,54,51,6,3,1,1,0,0
0,54,52,6,3,1,1,0,0
1,54,55,6,3,1,1,0,0
1,54,58,6,3,0,1,1,0
1,54,59,6,3,0,1,1,0
0,54,60,6,3,0,1,1,0
1,55,52,6,3,1,1,0,0
1,55,53,6,3,1,1,0,0
1,55,55,6,3,1,1,0,0
1,55,56,6,3,0,1,1,0
0,55,57,6,3,0,1,1,0
1,55,58,6,3,0,1,1,0
0,56,52,6,3,1,0,0,1
0,56,54,6,3,1,0,0,1
0,56,55,6,3,1,0,0,1
1,56,58,6,3,0,0,1,1
0,56,59,6,3,0,0,1,1
1,56,60,6,3,0,0,1,1
0,57,51,6,3,1,0,0,1
0,57,52,6,3,1,0,0,1
0,57,54,6,3,1,0,0,1
1,57,56,6,3,0,0,1,1
1,57,57,6,3,0,0,1,1
1,57,60,6,3,0,0,1,1
1,58,51,6,3,1,0,0,1
0,58,52,6,3,1,0,0,1
1,58,53,6,3,1,0,0,1
1,58,56,6,3,0,0,1,1
0,58,57,6,3,0,0,1,1
0,58,59,6,3,0,0,1,1
1,59,53,6,3,1,0,0,1
0,59,54,6,3,1,0,0,1
1,59,55,6,3,1,0,0,1
0,59,58,6,3,0,0,1,1
0,59,59,6,3,0,0,1,1
1,59,60,6,3,0,0,1,1
0,60,51,6,3,1,0,0,1
0,60,53,6,3,1,0,0,1
1,60,55,6,3,1,0,0,1
1,60,56,6,3,0,0,1,1
1,60,57,6,3,0,0,1,1
1,60,58,6,3,0,0,1,1
