class,time,event,cons,male,cc,tv,cc_tv,school,_merge
199106,1,0,1,1,0,1,0,199,3
199106,1,1,1,1,0,1,0,199,3
199106,3,0,1,0,0,1,0,199,3
199106,2,1,1,1,0,1,0,199,3
199106,2,0,1,1,0,1,0,199,3
199106,2,1,1,0,0,1,0,199,3
401101,3,1,1,0,1,1,1,401,3
401101,2,1,1,0,1,1,1,401,3
401101,1,1,1,1,1,1,1,401,3
401101,1,1,1,0,1,1,1,401,3
401101,3,0,1,1,1,1,1,401,3
401101,2,1,1,0,1,1,1,401,3
401101,3,0,1,0,1,1,1,401,3
401101,2,0,1,0,1,1,1,401,3
401102,1,1,1,1,1,1,1,401,3
401102,2,0,1,1,1,1,1,401,3
401102,1,0,1,0,1,1,1,401,3
401102,1,1,1,0,1,1,1,401,3
401102,3,0,1,0,1,1,1,401,3
401102,1,0,1,0,1,1,1,401,3
401102,1,0,1,1,1,1,1,401,3
401102,3,0,1,1,1,1,1,401,3
401102,3,0,1,0,1,1,1,401,3
401102,1,0,1,0,1,1,1,401,3
402101,3,0,1,0,0,0,0,402,3
402101,3,0,1,0,0,0,0,402,3
402101,2,1,1,1,0,0,0,402,3
402101,3,0,1,1,0,0,0,402,3
402101,3,0,1,0,0,0,0,402,3
402101,2,0,1,0,0,0,0,402,3
402101,3,1,1,1,0,0,0,402,3
402101,1,1,1,1,0,0,0,402,3
402101,2,1,1,1,0,0,0,402,3
402102,3,0,1,1,0,0,0,402,3
402102,3,0,1,1,0,0,0,402,3
402102,1,1,1,1,0,0,0,402,3
402102,3,0,1,0,0,0,0,402,3
402102,2,0,1,0,0,0,0,402,3
402102,2,0,1,1,0,0,0,402,3
402102,3,0,1,0,0,0,0,402,3
402102,3,0,1,1,0,0,0,402,3
403101,1,0,1,1,1,0,0,403,3
403101,2,0,1,1,1,0,0,403,3
403101,3,0,1,1,1,0,0,403,3
403101,1,1,1,1,1,0,0,403,3
403101,3,1,1,1,1,0,0,403,3
403101,3,0,1,1,1,0,0,403,3
403101,3,1,1,0,1,0,0,403,3
403101,1,1,1,1,1,0,0,403,3
403101,3,0,1,1,1,0,0,403,3
403101,2,0,1,1,1,0,0,403,3
403101,2,1,1,1,1,0,0,403,3
403101,3,0,1,1,1,0,0,403,3
403101,3,0,1,0,1,0,0,403,3
403101,3,0,1,1,1,0,0,403,3
403101,1,0,1,1,1,0,0,403,3
403101,3,1,1,0,1,0,0,403,3
403101,3,0,1,0,1,0,0,403,3
403101,3,0,1,1,1,0,0,403,3
403102,3,0,1,0,1,0,0,403,3
403102,3,1,1,0,1,0,0,403,3
403102,3,0,1,1,1,0,0,403,3
403102,3,0,1,0,1,0,0,403,3
403102,1,1,1,1,1,0,0,403,3
403102,3,0,1,1,1,0,0,403,3
403102,3,0,1,1,1,0,0,403,3
404101,1,1,1,1,1,1,1,404,3
404101,3,1,1,1,1,1,1,404,3
404101,3,0,1,0,1,1,1,404,3
404101,2,1,1,0,1,1,1,404,3
404101,2,0,1,1,1,1,1,404,3
404101,2,0,1,0,1,1,1,404,3
404101,3,1,1,0,1,1,1,404,3
404101,2,0,1,0,1,1,1,404,3
404101,2,1,1,0,1,1,1,404,3
404101,1,0,1,0,1,1,1,404,3
404101,1,1,1,0,1,1,1,404,3
404101,2,1,1,1,1,1,1,404,3
404101,3,0,1,1,1,1,1,404,3
404101,3,1,1,1,1,1,1,404,3
404102,1,1,1,0,1,1,1,404,3
404102,3,0,1,0,1,1,1,404,3
404102,2,0,1,0,1,1,1,404,3
404102,2,0,1,0,1,1,1,404,3
404102,2,1,1,1,1,1,1,404,3
404102,3,0,1,1,1,1,1,404,3
404102,1,0,1,0,1,1,1,404,3
404102,3,0,1,1,1,1,1,404,3
404102,2,0,1,0,1,1,1,404,3
404102,2,0,1,1,1,1,1,404,3
404102,2,1,1,0,1,1,1,404,3
404103,2,0,1,0,1,1,1,404,3
404103,1,1,1,1,1,1,1,404,3
405101,3,0,1,1,0,1,0,405,3
405101,2,0,1,0,0,1,0,405,3
405101,3,0,1,1,0,1,0,405,3
405101,1,1,1,1,0,1,0,405,3
405102,3,0,1,0,0,1,0,405,3
405102,1,0,1,0,0,1,0,405,3
405102,3,0,1,1,0,1,0,405,3
405102,2,1,1,0,0,1,0,405,3
405102,1,0,1,1,0,1,0,405,3
405102,2,0,1,1,0,1,0,405,3
405102,1,1,1,0,0,1,0,405,3
405102,2,0,1,1,0,1,0,405,3
405103,3,0,1,0,0,1,0,405,3
405103,3,0,1,1,0,1,0,405,3
405103,3,1,1,1,0,1,0,405,3
405103,1,1,1,0,0,1,0,405,3
405103,2,1,1,0,0,1,0,405,3
405103,3,0,1,1,0,1,0,405,3
405103,3,1,1,1,0,1,0,405,3
407101,1,0,1,0,0,1,0,407,3
407101,3,0,1,0,0,1,0,407,3
407101,1,1,1,1,0,1,0,407,3
407101,1,1,1,1,0,1,0,407,3
407101,3,0,1,0,0,1,0,407,3
407101,2,1,1,1,0,1,0,407,3
407101,3,0,1,0,0,1,0,407,3
407101,2,0,1,0,0,1,0,407,3
407101,3,1,1,0,0,1,0,407,3
407101,2,1,1,0,0,1,0,407,3
407101,1,1,1,1,0,1,0,407,3
407101,3,0,1,1,0,1,0,407,3
407101,1,1,1,1,0,1,0,407,3
407102,3,0,1,0,0,1,0,407,3
407102,2,1,1,0,0,1,0,407,3
407102,2,1,1,0,0,1,0,407,3
407102,3,0,1,0,0,1,0,407,3
407102,1,1,1,0,0,1,0,407,3
407102,3,0,1,0,0,1,0,407,3
407102,3,0,1,0,0,1,0,407,3
407102,1,1,1,0,0,1,0,407,3
407102,2,0,1,0,0,1,0,407,3
407102,2,1,1,0,0,1,0,407,3
407102,1,1,1,1,0,1,0,407,3
407102,2,1,1,0,0,1,0,407,3
407103,3,0,1,1,0,1,0,407,3
407103,2,0,1,1,0,1,0,407,3
407103,3,0,1,0,0,1,0,407,3
407103,1,0,1,0,0,1,0,407,3
407103,2,0,1,1,0,1,0,407,3
407103,2,1,1,1,0,1,0,407,3
408101,1,1,1,1,1,0,0,408,3
408101,1,1,1,0,1,0,0,408,3
408101,1,1,1,0,1,0,0,408,3
408101,3,0,1,0,1,0,0,408,3
408101,1,1,1,0,1,0,0,408,3
408101,3,1,1,0,1,0,0,408,3
408101,2,0,1,0,1,0,0,408,3
408101,1,0,1,1,1,0,0,408,3
408101,1,1,1,0,1,0,0,408,3
408101,3,0,1,0,1,0,0,408,3
408102,3,0,1,0,1,0,0,408,3
408102,1,0,1,1,1,0,0,408,3
408102,3,1,1,1,1,0,0,408,3
408102,3,1,1,1,1,0,0,408,3
408102,2,1,1,1,1,0,0,408,3
408102,1,1,1,0,1,0,0,408,3
408103,3,0,1,0,1,0,0,408,3
408103,3,0,1,0,1,0,0,408,3
408103,2,1,1,0,1,0,0,408,3
408103,3,0,1,1,1,0,0,408,3
408103,3,0,1,1,1,0,0,408,3
408103,3,0,1,1,1,0,0,408,3
408103,1,1,1,0,1,0,0,408,3
408103,3,0,1,0,1,0,0,408,3
408103,3,0,1,1,1,0,0,408,3
408103,1,1,1,1,1,0,0,408,3
408103,3,0,1,1,1,0,0,408,3
408103,3,0,1,0,1,0,0,408,3
408103,2,1,1,0,1,0,0,408,3
408103,3,1,1,0,1,0,0,408,3
408103,1,1,1,1,1,0,0,408,3
408104,1,0,1,0,1,0,0,408,3
408104,2,1,1,0,1,0,0,408,3
408104,1,1,1,1,1,0,0,408,3
408104,2,0,1,0,1,0,0,408,3
408104,1,0,1,0,1,0,0,408,3
408104,3,1,1,1,1,0,0,408,3
408104,3,0,1,0,1,0,0,408,3
408104,3,0,1,1,1,0,0,408,3
408104,3,0,1,0,1,0,0,408,3
409101,3,0,1,0,0,0,0,409,3
409101,1,1,1,1,0,0,0,409,3
409101,2,0,1,0,0,0,0,409,3
409101,1,0,1,1,0,0,0,409,3
409101,3,1,1,0,0,0,0,409,3
409101,3,0,1,0,0,0,0,409,3
409101,1,1,1,0,0,0,0,409,3
409101,1,0,1,1,0,0,0,409,3
409101,2,0,1,0,0,0,0,409,3
409101,1,1,1,1,0,0,0,409,3
409101,1,0,1,1,0,0,0,409,3
409101,2,1,1,0,0,0,0,409,3
409102,1,1,1,0,0,0,0,409,3
409102,3,0,1,1,0,0,0,409,3
409102,2,1,1,0,0,0,0,409,3
409102,2,0,1,0,0,0,0,409,3
409102,1,1,1,0,0,0,0,409,3
409102,1,1,1,0,0,0,0,409,3
409102,1,1,1,0,0,0,0,409,3
409102,2,1,1,1,0,0,0,409,3
409102,3,0,1,1,0,0,0,409,3
409102,1,0,1,0,0,0,0,409,3
409102,2,1,1,1,0,0,0,409,3
409102,1,0,1,0,0,0,0,409,3
409102,2,0,1,0,0,0,0,409,3
409102,2,1,1,0,0,0,0,409,3
409102,1,0,1,1,0,0,0,409,3
409102,3,1,1,0,0,0,0,409,3
409102,1,0,1,0,0,0,0,409,3
409103,3,0,1,0,0,0,0,409,3
409103,3,1,1,0,0,0,0,409,3
409103,2,0,1,1,0,0,0,409,3
409103,2,0,1,1,0,0,0,409,3
409103,3,0,1,0,0,0,0,409,3
409103,2,0,1,1,0,0,0,409,3
409103,1,0,1,1,0,0,0,409,3
409103,2,0,1,1,0,0,0,409,3
409103,3,0,1,0,0,0,0,409,3
409103,1,1,1,0,0,0,0,409,3
409104,1,1,1,0,0,0,0,409,3
409104,3,1,1,0,0,0,0,409,3
409104,3,1,1,0,0,0,0,409,3
409104,1,1,1,1,0,0,0,409,3
409104,3,0,1,0,0,0,0,409,3
409104,2,1,1,0,0,0,0,409,3
409104,2,1,1,1,0,0,0,409,3
409104,2,1,1,1,0,0,0,409,3
409104,3,0,1,0,0,0,0,409,3
409104,3,0,1,0,0,0,0,409,3
409104,3,0,1,1,0,0,0,409,3
409104,1,1,1,1,0,0,0,409,3
410101,3,0,1,1,1,1,1,410,3
410101,1,1,1,0,1,1,1,410,3
410101,1,1,1,1,1,1,1,410,3
410101,3,0,1,1,1,1,1,410,3
410101,2,0,1,1,1,1,1,410,3
410101,1,1,1,1,1,1,1,410,3
410101,1,1,1,0,1,1,1,410,3
410101,3,0,1,0,1,1,1,410,3
410101,2,0,1,1,1,1,1,410,3
410102,1,1,1,1,1,1,1,410,3
410102,3,0,1,1,1,1,1,410,3
410102,3,0,1,0,1,1,1,410,3
410102,1,0,1,0,1,1,1,410,3
410102,1,1,1,0,1,1,1,410,3
410102,2,1,1,1,1,1,1,410,3
410102,2,1,1,1,1,1,1,410,3
410103,3,0,1,0,1,1,1,410,3
410103,3,0,1,1,1,1,1,410,3
410103,1,1,1,1,1,1,1,410,3
410103,2,0,1,1,1,1,1,410,3
410103,3,1,1,1,1,1,1,410,3
410104,2,1,1,0,1,1,1,410,3
410104,3,0,1,0,1,1,1,410,3
410104,2,1,1,1,1,1,1,410,3
410104,3,0,1,1,1,1,1,410,3
410104,1,0,1,0,1,1,1,410,3
410104,1,0,1,0,1,1,1,410,3
411101,3,0,1,1,0,1,0,411,3
411101,2,1,1,1,0,1,0,411,3
411101,2,1,1,0,0,1,0,411,3
411101,1,1,1,1,0,1,0,411,3
411101,2,1,1,1,0,1,0,411,3
411101,3,0,1,0,0,1,0,411,3
411101,1,0,1,1,0,1,0,411,3
411101,3,0,1,1,0,1,0,411,3
411101,3,0,1,1,0,1,0,411,3
411101,3,0,1,1,0,1,0,411,3
411102,1,1,1,1,0,1,0,411,3
411102,1,1,1,1,0,1,0,411,3
411102,3,0,1,0,0,1,0,411,3
411102,1,0,1,0,0,1,0,411,3
411102,3,1,1,0,0,1,0,411,3
411102,1,0,1,1,0,1,0,411,3
411102,2,0,1,1,0,1,0,411,3
411102,3,0,1,1,0,1,0,411,3
411102,2,0,1,0,0,1,0,411,3
411102,1,0,1,0,0,1,0,411,3
411102,2,1,1,0,0,1,0,411,3
411102,2,0,1,0,0,1,0,411,3
411102,1,1,1,1,0,1,0,411,3
412101,1,1,1,1,1,0,0,412,3
412101,2,1,1,1,1,0,0,412,3
412101,1,1,1,0,1,0,0,412,3
412101,3,1,1,1,1,0,0,412,3
412101,1,1,1,1,1,0,0,412,3
412101,3,0,1,1,1,0,0,412,3
412101,3,0,1,1,1,0,0,412,3
412101,3,1,1,0,1,0,0,412,3
412101,2,1,1,0,1,0,0,412,3
412101,3,0,1,0,1,0,0,412,3
412101,1,1,1,1,1,0,0,412,3
412101,1,1,1,1,1,0,0,412,3
412101,3,0,1,0,1,0,0,412,3
412102,3,1,1,0,1,0,0,412,3
412102,3,0,1,1,1,0,0,412,3
412102,3,1,1,1,1,0,0,412,3
412102,3,0,1,1,1,0,0,412,3
412102,1,1,1,1,1,0,0,412,3
412102,2,0,1,0,1,0,0,412,3
412102,1,1,1,1,1,0,0,412,3
412102,2,0,1,1,1,0,0,412,3
412102,2,0,1,0,1,0,0,412,3
412103,3,0,1,1,1,0,0,412,3
412103,1,1,1,0,1,0,0,412,3
412103,2,0,1,1,1,0,0,412,3
412103,3,0,1,1,1,0,0,412,3
412103,3,1,1,1,1,0,0,412,3
412103,3,0,1,0,1,0,0,412,3
412103,3,0,1,0,1,0,0,412,3
412103,3,0,1,0,1,0,0,412,3
412103,2,1,1,1,1,0,0,412,3
412103,1,1,1,1,1,0,0,412,3
412103,3,0,1,0,1,0,0,412,3
412103,1,1,1,0,1,0,0,412,3
412103,2,1,1,0,1,0,0,412,3
412103,3,1,1,0,1,0,0,412,3
412103,1,1,1,1,1,0,0,412,3
412103,3,0,1,1,1,0,0,412,3
412104,3,0,1,1,1,0,0,412,3
412104,1,1,1,1,1,0,0,412,3
412104,1,1,1,0,1,0,0,412,3
412104,2,1,1,0,1,0,0,412,3
412104,3,0,1,1,1,0,0,412,3
412104,3,0,1,1,1,0,0,412,3
412104,3,1,1,0,1,0,0,412,3
412104,3,0,1,1,1,0,0,412,3
412104,2,1,1,1,1,0,0,412,3
412104,3,1,1,1,1,0,0,412,3
412104,3,0,1,1,1,0,0,412,3
412104,2,0,1,0,1,0,0,412,3
412104,1,1,1,1,1,0,0,412,3
412105,3,0,1,1,1,0,0,412,3
412105,1,1,1,1,1,0,0,412,3
412105,2,0,1,0,1,0,0,412,3
412105,1,1,1,0,1,0,0,412,3
412105,1,0,1,1,1,0,0,412,3
412105,2,1,1,1,1,0,0,412,3
412105,1,1,1,0,1,0,0,412,3
412105,1,1,1,1,1,0,0,412,3
412105,3,1,1,1,1,0,0,412,3
412105,1,1,1,1,1,0,0,412,3
412105,3,1,1,0,1,0,0,412,3
412105,2,0,1,0,1,0,0,412,3
412105,3,0,1,0,1,0,0,412,3
412106,1,1,1,1,1,0,0,412,3
412106,2,0,1,0,1,0,0,412,3
412106,3,0,1,0,1,0,0,412,3
412106,3,0,1,1,1,0,0,412,3
412106,3,0,1,1,1,0,0,412,3
412106,2,0,1,0,1,0,0,412,3
412106,2,1,1,0,1,0,0,412,3
412106,3,0,1,0,1,0,0,412,3
412106,3,0,1,0,1,0,0,412,3
412106,2,0,1,0,1,0,0,412,3
412106,3,0,1,1,1,0,0,412,3
412106,3,0,1,1,1,0,0,412,3
412106,3,1,1,0,1,0,0,412,3
412106,2,0,1,0,1,0,0,412,3
412106,2,0,1,0,1,0,0,412,3
414101,2,1,1,1,1,0,0,414,3
414101,2,0,1,1,1,0,0,414,3
414101,2,1,1,0,1,0,0,414,3
414101,1,0,1,0,1,0,0,414,3
414102,3,0,1,0,1,0,0,414,3
414102,1,0,1,0,1,0,0,414,3
414102,3,1,1,0,1,0,0,414,3
414102,3,0,1,0,1,0,0,414,3
414102,2,0,1,1,1,0,0,414,3
414102,1,1,1,1,1,0,0,414,3
414102,3,0,1,0,1,0,0,414,3
414102,1,1,1,1,1,0,0,414,3
414102,3,0,1,1,1,0,0,414,3
414102,1,1,1,0,1,0,0,414,3
414102,2,1,1,0,1,0,0,414,3
414102,3,1,1,1,1,0,0,414,3
414102,2,1,1,0,1,0,0,414,3
414102,2,1,1,1,1,0,0,414,3
414104,1,1,1,0,1,0,0,414,3
414104,3,1,1,1,1,0,0,414,3
414104,3,1,1,1,1,0,0,414,3
414104,2,1,1,0,1,0,0,414,3
414104,3,0,1,0,1,0,0,414,3
414104,1,0,1,1,1,0,0,414,3
414104,1,1,1,1,1,0,0,414,3
414104,3,0,1,1,1,0,0,414,3
414104,2,1,1,0,1,0,0,414,3
414104,3,0,1,1,1,0,0,414,3
414104,2,1,1,1,1,0,0,414,3
414104,3,0,1,0,1,0,0,414,3
414104,3,0,1,0,1,0,0,414,3
414105,3,1,1,0,1,0,0,414,3
414105,3,0,1,0,1,0,0,414,3
414106,3,1,1,1,1,0,0,414,3
414106,1,1,1,0,1,0,0,414,3
414106,1,1,1,0,1,0,0,414,3
414106,1,1,1,1,1,0,0,414,3
414106,2,1,1,1,1,0,0,414,3
414106,1,1,1,0,1,0,0,414,3
415101,3,1,1,1,1,1,1,415,3
415101,3,0,1,1,1,1,1,415,3
415101,3,0,1,0,1,1,1,415,3
415101,3,0,1,1,1,1,1,415,3
415101,2,0,1,1,1,1,1,415,3
415101,3,0,1,1,1,1,1,415,3
415101,2,0,1,1,1,1,1,415,3
415101,3,0,1,1,1,1,1,415,3
415101,1,0,1,0,1,1,1,415,3
415101,3,0,1,0,1,1,1,415,3
415101,2,1,1,0,1,1,1,415,3
415101,3,0,1,0,1,1,1,415,3
415102,2,0,1,0,1,1,1,415,3
415102,2,1,1,0,1,1,1,415,3
415102,2,0,1,0,1,1,1,415,3
415102,3,0,1,1,1,1,1,415,3
415102,2,1,1,0,1,1,1,415,3
415102,3,0,1,1,1,1,1,415,3
415102,3,0,1,1,1,1,1,415,3
415102,2,0,1,0,1,1,1,415,3
415103,3,1,1,0,1,1,1,415,3
415103,3,1,1,1,1,1,1,415,3
415103,2,0,1,1,1,1,1,415,3
415103,3,0,1,0,1,1,1,415,3
415103,1,1,1,1,1,1,1,415,3
415103,1,1,1,1,1,1,1,415,3
415103,3,0,1,1,1,1,1,415,3
415103,1,1,1,1,1,1,1,415,3
415103,1,0,1,0,1,1,1,415,3
415103,1,0,1,1,1,1,1,415,3
415103,3,0,1,0,1,1,1,415,3
415103,3,0,1,0,1,1,1,415,3
415103,3,0,1,1,1,1,1,415,3
415104,3,0,1,1,1,1,1,415,3
415104,3,0,1,1,1,1,1,415,3
415104,2,0,1,0,1,1,1,415,3
