school,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,cito,isi,ses,gender,v24
3,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0.8412,-0.8968,0,
3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,-1.1206,-0.5954,0,
3,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1.2939,0.4594,0,
3,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,-0.8188,1.3635,0,
4,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0.0866,0.4594,1,
4,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0.2376,-0.294,1,
4,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.3885,-0.5954,1,
4,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1.143,1.2128,0,
4,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0.2376,0.9114,0,
4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,-0.9697,0.9114,0,
4,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0.2376,-1.1981,0,
4,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-0.9697,-0.5954,0,
4,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0.3885,-0.8968,1,
4,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,-0.9697,0.9114,1,
4,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,-0.8188,0.9114,1,
5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,-1.4224,0.0073,0,
5,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,-0.8188,-1.8009,0,
5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1.1206,1.8155,0,
5,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,-1.5733,0.0073,0,
5,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,-0.6679,-0.4447,0,
5,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0.0866,0.0073,0,
5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,-1.4224,-0.8968,1,
5,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,-2.3278,0.9114,0,
5,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1.143,-0.8968,1,
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.6903,1.5142,1,
5,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,-0.8188,-0.5954,0,
5,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,-1.1206,-0.294,0,
5,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-0.2152,0.9114,0,
5,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,-0.9697,0.0073,1,
5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0643,0.2334,0,
5,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,-0.3661,0.9114,0,
5,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0.2376,-0.2187,1,
5,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,-0.2152,1.8155,1,
5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5394,0.9114,0,
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,-1.2715,0.4594,1,
5,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0.0866,0.4594,1,
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5011,0.4594,0,
5,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0.8412,0.9114,0,
5,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,-0.0643,0.9114,1,
5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,-0.9697,0.2334,0,
5,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.2376,-0.5954,1,
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8412,0.4594,0,
5,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0.5394,-1.8009,1,
5,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,-1.4224,0.0073,1,
5,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,-0.0643,-1.8009,1,
5,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,-1.1206,1.3635,0,
5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.2376,-0.8968,0,
5,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,-1.8751,-0.5954,1,
5,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0.2376,0.9114,1,
5,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,-0.6679,-0.6707,0,
5,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,-1.8751,1.8155,1,
5,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,-1.8751,-0.294,0,
5,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,-3.2332,0.0073,0,
5,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,-1.1206,1.8155,1,
5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1.2715,0.6101,1,
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5394,1.3635,0,
6,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0.0866,0.6854,0,
6,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,-0.3661,-0.294,1,
6,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,-0.517,1.8155,1,
6,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0.6903,0.6101,0,
6,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1.7466,-0.8968,0,
6,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0.6903,0.3087,0,
6,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1.2939,-0.4447,1,
6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-0.3661,1.8155,0,
6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1.5957,-0.294,0,
6,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,-0.6679,-0.8968,1,
6,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0.8412,0.2334,1,
6,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1.143,0.6854,0,
6,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,-0.2152,-0.2187,1,
6,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1.2939,-0.8968,0,
6,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0.0866,-0.5954,0,
6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.7466,0.9114,1,
6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.8412,-0.294,1,
6,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0.3885,0.4594,0,
6,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0.6903,1.2128,0,
6,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0.2376,-0.8968,1,
6,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1.2715,1.8155,1,
6,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,-0.2152,0.0073,0,
6,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1.143,-1.1228,1,
6,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,-1.1206,-0.5954,1,
6,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,-0.3661,-0.5954,0,
7,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,-0.6679,0.0073,1,
7,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0.3885,-0.8968,0,
7,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0.8412,0.4594,0,
7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.2152,-0.8968,1,
7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0.8412,1.3635,0,
7,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1.143,-0.5954,0,
7,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0.9921,-0.5954,0,
7,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0.6903,-0.294,0,
7,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0.2376,0.0073,0,
7,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,-0.517,-0.6707,1,
7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.9921,0.6854,1,
7,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0.3885,-1.3488,0,
7,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,-2.1769,-0.8968,0,
7,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,-0.6679,0.9114,0,
7,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-1.2715,-0.4447,1,
7,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,-1.2715,-1.3488,1,
8,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,-0.0643,-0.294,1,
8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.2376,0.3087,0,
8,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0.3885,-0.5954,1,
8,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,-2.026,0.0073,0,
8,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0.3885,1.3635,0,
8,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,-0.2152,0.0073,0,
8,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-1.4224,-0.2187,1,
8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-0.9697,-0.2187,1,
8,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0.2376,0.9114,0,
8,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0.6903,0.2334,1,
8,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.2715,0.0073,0,
8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,-0.9697,-0.8968,0,
8,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,-0.0643,0.4594,1,
8,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,-1.1206,-0.8968,0,
8,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.4448,0.4594,1,
8,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0.9921,1.1375,0,
8,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,-0.0643,-0.5954,0,
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,-0.517,-0.4447,0,
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0.9921,0.9114,0,
9,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,-0.8188,-1.1228,1,
9,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0.2376,0.4594,1,
9,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0.3885,-0.4447,0,
9,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0.2376,0.9114,1,
9,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,-1.7242,-1.4995,1,
9,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0.5394,1.1375,0,
9,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0.6903,-0.5954,0,
9,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.5394,-0.5954,0,
9,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0.8412,-0.5954,0,
9,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,-0.9697,0.0073,1,
9,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,-0.6679,-0.8968,0,
9,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,-0.2152,0.2334,0,
9,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0.0866,-0.5954,0,
9,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,-0.8188,-0.8968,1,
10,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0.3885,0.0073,0,
10,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,-0.3661,-0.294,1,
10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.8412,1.3635,0,
10,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.2376,0.9114,1,
10,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,-2.4787,0.6101,1,
10,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,-0.0643,0.0073,0,
10,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0.0866,1.5142,1,
10,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0.3885,1.8155,0,
10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.2939,1.8155,1,
10,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1.2939,1.8155,1,
10,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,2.0484,1.8155,1,
10,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1.4448,1.8155,0,
10,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1.4448,1.5142,0,
11,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0.2376,1.3635,0,
11,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.6903,0.4594,0,
11,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0.2376,1.8155,0,
11,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,-0.3661,-0.8968,1,
11,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,-0.3661,1.5895,0,
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9921,1.8155,1,
11,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0.6903,1.3635,1,
11,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0.0866,1.3635,0,
11,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0.2376,0.9114,1,
11,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-1.5733,1.2128,0,
11,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,-0.0643,1.1375,1,
11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.9921,1.8155,0,
11,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,-1.2715,-1.1228,1,
11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-0.0643,-0.8968,0,
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.1993,1.8155,0,
11,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0.0866,1.8155,1,
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.9921,1.3635,0,
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.6679,-0.8968,0,
11,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0.0866,1.8155,1,
11,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0.0866,1.3635,1,
11,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,-1.4224,-0.8968,0,
11,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,-0.8188,-0.8968,1,
11,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0.3885,-0.8968,1,
11,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.517,1.8155,0,
11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.7466,1.8155,0,
11,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0.8412,1.1375,1,
11,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0.3885,1.5142,1,
11,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,-0.2152,-0.6707,0,
11,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,-1.2715,-1.1228,1,
11,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-0.3661,1.3635,0,
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9921,0.2334,1,
11,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,-0.0643,-1.1228,1,
12,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,-1.1206,-1.4995,0,
12,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1.2939,0.6101,0,
12,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,-1.8751,0.0073,1,
12,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0.6903,0.3087,1,
12,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2939,0.3087,0,
12,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,-0.517,1.8155,1,
12,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,-0.517,0.3087,1,
12,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0.9921,-0.294,1,
12,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,-0.2152,1.3635,0,
12,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1.8975,-0.294,0,
12,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0.5394,0.4594,1,
12,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1.2939,1.8155,1,
12,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,-0.517,1.5142,1,
12,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,-0.8188,-0.8968,1,
13,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.4448,0.6854,0,
13,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0.6903,-0.8968,0,
13,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3885,0.9114,0,
13,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,-0.2152,0.0073,0,
13,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,-0.0643,-0.8968,0,
13,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.0866,0.9114,0,
13,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-0.2152,0.9114,0,
13,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,-1.1206,-0.8968,0,
13,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,-1.7242,-0.8968,0,
13,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-0.8188,-0.8968,0,
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2939,1.8155,0,
13,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0.2376,0.0073,0,
13,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,-1.4224,-0.2187,1,
13,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,-1.4224,-0.8968,1,
13,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-1.4224,-0.5954,1,
13,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,-0.8188,-0.294,1,
13,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,-0.0643,0.2334,1,
13,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,-0.8188,-0.8968,1,
13,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,-0.2152,-0.294,1,
13,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,-1.2715,-0.8968,1,
13,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,-0.6679,-0.8968,1,
13,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0.6903,0.0073,1,
13,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,-0.8188,0.3087,1,
14,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,-1.2715,-0.8968,1,
