id,read0,math0,age0,read1,math1,age1,read2,math2,age2,read3,math3,age3,female,minority
37301,,,,,,,,,,,,,0,0
37401,21.428572,17.857143,67,,,,45.238094,22.619047,95,,,,1,0
39001,21.428572,15.476191,84,,,,,,,35.714287,48.809525,114,0,1
39101,,,,19.047619,15.476191,77,26.190475,25.0,98,36.904762,35.714287,121,1,1
39901,28.571428,21.428572,69,,,,86.90476,55.95238,92,,,,1,0
40101,,,,21.428572,14.285714,79,52.38095,30.952381,101,,,,0,0
40201,7.142857,7.142857,60,21.428572,21.428572,91,50.0,53.57143,112,,,,0,0
41401,21.428572,20.238094,71,,,,,,,,,,1,0
41601,22.619047,33.333332,75,,,,47.61905,38.095238,100,,,,0,0
42801,,,,,,,52.38095,46.42857,96,,,,1,0
43701,,,,,,,41.666668,51.190475,92,60.714287,60.714287,114,0,0
46501,21.428572,32.142857,75,,,,38.095238,38.095238,98,,,,0,0
46701,33.333332,33.333332,65,54.761906,44.04762,88,,,,,,,1,0
49401,,,,30.952381,28.571428,83,,,,,,,1,0
49501,,,,23.809525,19.047619,76,,,,,,,0,0
49901,,,,29.761906,28.571428,89,,,,,,,1,0
50301,17.857143,13.095238,61,29.761906,25.0,89,,,,,,,1,0
50701,,,,27.380953,14.285714,87,,,,,,,0,0
51401,21.428572,17.857143,72,,,,,,,,,,1,1
52801,,,,29.761906,40.47619,85,,,,47.61905,65.47619,110,0,0
53601,10.714286,17.857143,78,,,,,,,,,,1,0
54601,,,,,,,,,,,,,1,0
54801,,,,36.904762,33.333332,92,,,,47.61905,48.809525,115,1,0
55001,21.428572,16.666666,67,,,,,,,52.38095,57.142857,97,1,0
55201,21.428572,26.190475,68,36.904762,46.42857,88,,,,,,,0,0
58801,,,,25.0,26.190475,78,,,,,,,1,0
58901,15.476191,11.904762,72,,,,,,,,,,1,0
61501,21.428572,14.285714,62,,,,27.380953,21.428572,86,44.04762,44.04762,109,0,0
61801,,,,,,,,,,,,,0,0
62101,20.238094,14.285714,66,,,,,,,,,,1,1
62301,21.428572,15.476191,76,,,,45.238094,40.47619,103,,,,1,1
63501,,,,30.952381,29.761906,78,,,,50.0,50.0,108,0,0
64001,27.380953,29.761906,80,,,,,,,,,,1,0
64801,,,,21.428572,26.190475,75,,,,65.47619,48.809525,100,0,0
68901,20.238094,23.809525,69,,,,,,,,,,1,0
69101,16.666666,13.095238,76,,,,23.809525,20.238094,101,,,,0,0
69201,,,,,,,27.380953,26.190475,84,52.38095,48.809525,107,1,0
70301,17.857143,14.285714,62,,,,46.42857,36.904762,93,64.28571,55.95238,117,0,0
70401,25.0,33.333332,67,,,,,,,54.761906,48.809525,96,0,0
70801,21.428572,14.285714,73,,,,26.190475,34.52381,101,,,,0,0
71301,10.714286,15.476191,61,,,,,,,,,,0,0
72001,11.904762,13.095238,66,26.190475,23.809525,94,,,,34.52381,42.857143,118,0,0
72101,21.428572,14.285714,73,,,,,,,,,,1,0
72401,,,,,,,45.238094,40.47619,87,,,,0,0
73601,21.428572,22.619047,78,,,,,,,51.190475,46.42857,104,0,0
73901,,,,,,,40.47619,38.095238,94,,,,0,0
74001,21.428572,22.619047,85,,,,53.57143,41.666668,108,,,,0,0
74401,17.857143,15.476191,71,,,,,,,27.380953,20.238094,101,0,1
75601,,,,30.952381,19.047619,87,,,,57.142857,51.190475,109,1,1
75701,21.428572,16.666666,69,,,,,,,,,,0,1
76101,23.809525,23.809525,79,,,,,,,46.42857,52.38095,109,0,0
76401,21.428572,29.761906,74,,,,,,,,,,0,1
76801,20.238094,17.857143,76,,,,44.04762,42.857143,104,,,,1,0
77001,19.047619,14.285714,67,,,,29.761906,29.761906,94,,,,0,0
77501,16.666666,15.476191,67,44.04762,36.904762,89,,,,,,,1,0
78301,,,,,,,,,,,,,0,1
78901,,,,20.238094,17.857143,80,30.952381,48.809525,104,,,,1,0
79201,20.238094,19.047619,69,30.952381,32.142857,92,,,,55.95238,40.47619,116,1,0
80101,,,,,,,64.28571,60.714287,84,,,,1,0
80301,16.666666,10.714286,62,34.52381,29.761906,88,,,,54.761906,50.0,113,1,0
80401,20.238094,21.428572,78,,,,,,,,,,0,0
81201,21.428572,26.190475,81,,,,,,,,,,1,0
81401,,,,21.428572,22.619047,72,,,,42.857143,36.904762,96,0,0
83001,23.809525,19.047619,78,,,,,,,47.61905,46.42857,106,1,1
83101,,,,23.809525,17.857143,76,34.52381,30.952381,96,,,,1,1
83401,,,,21.428572,17.857143,82,42.857143,41.666668,103,,,,1,1
83601,,,,32.142857,23.809525,80,,,,,,,0,1
84001,,,,,,,29.761906,29.761906,101,,,,1,1
84101,,,,45.238094,33.333332,88,,,,,,,0,0
84301,26.190475,27.380953,77,,,,,,,48.809525,47.61905,103,1,0
85201,,,,21.428572,30.952381,82,,,,44.04762,52.38095,106,0,0
85401,22.619047,20.238094,80,,,,,,,,,,0,0
85601,14.285714,14.285714,61,,,,29.761906,30.952381,88,34.52381,46.42857,110,1,0
86601,19.047619,7.142857,68,,,,,,,,,,1,0
88001,,,,39.285713,16.666666,77,,,,67.85714,47.61905,104,1,0
88901,20.238094,17.857143,74,,,,,,,50.0,50.0,105,1,0
89301,21.428572,23.809525,71,28.571428,33.333332,94,,,,,,,0,0
92301,,,,,,,29.761906,55.95238,105,,,,0,0
92801,,,,,,,,,,63.095238,40.47619,109,0,0
93501,21.428572,21.428572,69,35.714287,38.095238,92,,,,,,,1,0
93601,21.428572,19.047619,76,,,,,,,,,,0,0
93901,21.428572,15.476191,82,,,,,,,41.666668,40.47619,110,0,0
94001,,,,21.428572,32.142857,71,,,,58.333332,52.38095,96,1,0
94901,,,,20.238094,28.571428,85,39.285713,35.714287,108,,,,1,0
95301,,,,27.380953,36.904762,91,,,,,,,1,0
96201,,,,,,,39.285713,35.714287,91,54.761906,34.52381,114,1,0
97801,,,,28.571428,17.857143,75,57.142857,42.857143,96,,,,1,0
97901,23.809525,19.047619,87,,,,,,,41.666668,42.857143,112,0,0
98601,17.857143,13.095238,60,,,,,,,,,,1,1
99801,21.428572,26.190475,77,,,,54.761906,51.190475,102,,,,0,0
99901,,,,38.095238,40.47619,93,,,,,,,0,0
101501,42.857143,30.952381,73,,,,69.04762,55.95238,98,,,,1,0
102501,,,,,,,,,,,,,0,1
103301,19.047619,10.714286,86,,,,,,,,,,0,1
103501,,,,25.0,26.190475,73,48.809525,34.52381,96,,,,1,0
105601,21.428572,13.095238,72,,,,42.857143,30.952381,101,,,,0,0
106501,21.428572,19.047619,69,,,,,,,,,,0,0
106901,,,,21.428572,19.047619,73,,,,29.761906,47.61905,120,0,0
107601,,,,,,,45.238094,44.04762,93,,,,0,1
107901,21.428572,14.285714,67,,,,38.095238,35.714287,95,52.38095,51.190475,120,0,1
108301,,,,26.190475,29.761906,76,55.95238,55.95238,98,,,,1,0
109001,15.476191,7.142857,64,29.761906,21.428572,92,,,,54.761906,55.95238,116,1,0
110101,20.238094,20.238094,61,,,,,,,,,,1,1
111201,,,,,,,47.61905,38.095238,93,,,,0,0
112801,20.238094,11.904762,61,,,,,,,,,,1,1
113201,21.428572,21.428572,67,34.52381,34.52381,90,,,,,,,0,1
114101,20.238094,19.047619,70,,,,27.380953,21.428572,94,,,,1,0
116001,,,,25.0,23.809525,72,50.0,45.238094,95,,,,1,1
116101,,,,,,,,,,,,,0,1
116301,21.428572,19.047619,71,,,,,,,66.666664,53.57143,102,1,0
116601,4.7619047,15.476191,78,,,,29.761906,26.190475,102,,,,1,1
116801,,,,42.857143,38.095238,90,,,,,,,0,1
117201,11.904762,15.476191,60,,,,,,,57.142857,44.04762,106,1,0
117901,9.523809,15.476191,64,26.190475,25.0,87,,,,,,,0,0
118401,,,,,,,45.238094,46.42857,84,,,,1,0
118901,,,,,,,,,,,,,1,1
119101,10.714286,7.142857,67,,,,32.142857,15.476191,93,46.42857,29.761906,113,1,1
120201,,,,26.190475,19.047619,79,,,,,,,0,1
121301,,,,,,,27.380953,14.285714,84,,,,0,1
121401,,,,,,,,,,35.714287,23.809525,103,1,1
122001,,,,22.619047,19.047619,71,30.952381,25.0,93,,,,1,1
122801,,,,20.238094,27.380953,77,,,,,,,1,0
123301,20.238094,20.238094,71,,,,,,,29.761906,28.571428,100,0,0
124101,,,,,,,,,,32.142857,34.52381,99,0,0
124401,,,,,,,,,,39.285713,33.333332,97,1,0
124601,14.285714,8.333333,71,32.142857,33.333332,92,,,,,,,1,0
125101,,,,22.619047,29.761906,83,,,,32.142857,32.142857,107,0,0
125401,,,,34.52381,23.809525,77,57.142857,48.809525,98,,,,1,0
125801,,,,30.952381,41.666668,87,,,,,,,1,0
125901,20.238094,17.857143,59,,,,,,,,,,1,0
126901,,,,,,,,,,50.0,34.52381,104,1,1
127901,,,,,,,77.38095,61.904762,105,,,,0,0
129601,16.666666,11.904762,64,,,,28.571428,27.380953,88,,,,1,0
130501,21.428572,26.190475,72,,,,,,,,,,0,0
130601,,,,,,,,,,42.857143,51.190475,118,0,0
132201,,,,28.571428,19.047619,85,,,,,,,0,0
132401,22.619047,23.809525,73,,,,,,,,,,1,0
133601,,,,26.190475,22.619047,75,,,,50.0,46.42857,104,1,0
134301,21.428572,13.095238,72,,,,35.714287,35.714287,100,,,,1,0
135201,17.857143,8.333333,64,,,,48.809525,27.380953,94,59.52381,46.42857,117,1,0
136101,,,,21.428572,22.619047,80,,,,,,,0,0
137701,21.428572,21.428572,68,,,,51.190475,27.380953,95,,,,0,1
138101,7.142857,19.047619,67,20.238094,17.857143,92,,,,28.571428,35.714287,115,0,1
138801,,,,23.809525,30.952381,85,,,,,,,0,1
139401,22.619047,17.857143,74,,,,57.142857,44.04762,103,,,,0,0
140901,7.142857,14.285714,61,,,,35.714287,22.619047,84,60.714287,55.95238,108,0,0
141001,27.380953,17.857143,67,,,,,,,53.57143,55.95238,99,0,0
141101,,,,27.380953,23.809525,81,60.714287,47.61905,102,,,,0,0
141201,21.428572,13.095238,77,,,,46.42857,45.238094,101,,,,0,0
141601,,,,22.619047,29.761906,82,,,,45.238094,58.333332,112,0,0
141901,,,,26.190475,22.619047,94,,,,45.238094,41.666668,119,1,1
143601,,,,,,,21.428572,21.428572,91,,,,1,1
143701,,,,,,,,,,50.0,47.61905,114,0,1
144001,21.428572,26.190475,66,,,,,,,,,,1,1
145901,,,,,,,32.142857,40.47619,91,54.761906,47.61905,112,1,0
146901,,,,,,,,,,,,,0,0
147401,,,,32.142857,29.761906,84,,,,,,,0,0
148401,22.619047,16.666666,82,,,,,,,53.57143,53.57143,107,0,1
148901,9.523809,7.142857,67,,,,25.0,66.666664,94,,,,0,1
149001,,,,,,,32.142857,15.476191,86,,,,1,1
149101,21.428572,13.095238,66,28.571428,26.190475,94,,,,,,,1,1
149301,,,,,,,44.04762,36.904762,86,59.52381,50.0,109,0,0
149901,21.428572,15.476191,62,40.47619,36.904762,86,,,,52.38095,41.666668,108,1,0
152401,,,,,,,20.238094,33.333332,102,,,,0,1
152501,,,,,,,,,,,,,0,0
153201,21.428572,25.0,77,,,,38.095238,35.714287,102,,,,1,0
153301,19.047619,19.047619,82,,,,48.809525,33.333332,104,,,,1,1
153801,16.666666,14.285714,68,26.190475,28.571428,90,,,,,,,0,1
153901,21.428572,23.809525,79,,,,51.190475,34.52381,102,,,,1,0
154901,8.333333,14.285714,69,21.428572,25.0,93,,,,34.52381,51.190475,115,0,0
155101,22.619047,16.666666,70,41.666668,40.47619,97,,,,58.333332,57.142857,122,0,0
155201,,,,,,,,,,,,,0,0
155901,,,,,,,,,,59.52381,51.190475,110,0,0
156201,20.238094,17.857143,77,,,,,,,41.666668,30.952381,103,1,0
156601,,,,,,,57.142857,50.0,101,,,,1,0
158401,,,,17.857143,17.857143,79,39.285713,30.952381,102,,,,1,0
158701,40.47619,21.428572,76,,,,,,,,,,0,0
159301,11.904762,13.095238,71,28.571428,46.42857,93,,,,,,,1,0
159901,,,,39.285713,35.714287,82,,,,59.52381,39.285713,107,1,0
161701,20.238094,20.238094,77,,,,,,,,,,1,0
162901,26.190475,25.0,74,,,,58.333332,36.904762,97,,,,0,0
164001,,,,,,,28.571428,44.04762,98,,,,1,0
164201,,,,17.857143,15.476191,74,33.333332,19.047619,99,,,,1,1
164901,,,,15.476191,16.666666,81,,,,,,,0,1
165001,,,,25.0,20.238094,73,,,,25.0,32.142857,95,1,1
165201,,,,54.761906,46.42857,81,,,,,,,1,0
165501,19.047619,14.285714,78,,,,,,,,,,0,0
165601,,,,,,,42.857143,17.857143,91,,,,1,0
166101,21.428572,19.047619,61,,,,,,,,,,1,0
166201,21.428572,20.238094,82,,,,52.38095,36.904762,107,,,,0,0
166601,20.238094,11.904762,71,,,,,,,,,,1,1
167101,,,,,,,,,,44.04762,33.333332,93,1,0
167401,,,,29.761906,38.095238,82,,,,,,,0,0
167601,17.857143,15.476191,64,,,,,,,,,,0,0
170401,,,,,,,29.761906,39.285713,91,,,,1,1
172001,,,,25.0,21.428572,85,,,,,,,1,1
173201,21.428572,16.666666,68,28.571428,28.571428,88,,,,,,,1,0
173401,,,,21.428572,17.857143,73,,,,,,,1,0
174901,25.0,8.333333,74,,,,46.42857,20.238094,102,,,,1,1
175101,17.857143,19.047619,77,,,,36.904762,34.52381,102,,,,0,1
175201,,,,21.428572,26.190475,85,29.761906,53.57143,108,,,,1,1
176601,,,,,,,57.142857,35.714287,97,,,,0,0
176901,,,,,,,,,,23.809525,27.380953,104,0,0
177001,13.095238,9.523809,62,,,,,,,29.761906,48.809525,109,1,0
177501,20.238094,17.857143,74,,,,,,,,,,1,1
178501,21.428572,16.666666,66,,,,45.238094,61.904762,94,,,,1,0
178601,20.238094,21.428572,68,,,,,,,,,,0,0
178901,21.428572,21.428572,68,,,,,,,,,,1,0
179401,13.095238,11.904762,62,29.761906,25.0,84,,,,,,,0,0
180401,,,,30.952381,44.04762,78,,,,,,,0,0
180801,,,,,,,64.28571,51.190475,101,,,,0,0
181601,,,,,,,,,,38.095238,32.142857,91,0,1
182601,,,,44.04762,32.142857,87,,,,,,,1,0
183201,,,,,,,41.666668,30.952381,88,,,,1,1
183401,,,,,,,,,,54.761906,48.809525,102,0,1
183801,23.809525,16.666666,75,,,,,,,34.52381,33.333332,99,1,1
183901,8.333333,13.095238,66,,,,,,,,,,1,1
184401,,,,55.95238,53.57143,83,,,,,,,1,0
184701,23.809525,22.619047,72,,,,42.857143,47.61905,102,,,,1,1
184801,20.238094,16.666666,64,40.47619,30.952381,88,,,,,,,0,1
185301,,,,41.666668,35.714287,82,,,,,,,0,0
185801,22.619047,30.952381,80,,,,61.904762,64.28571,102,,,,1,0
186201,,,,,,,,,,,,,0,0
186501,21.428572,19.047619,72,,,,45.238094,36.904762,95,,,,1,0
186801,21.428572,13.095238,65,,,,42.857143,34.52381,94,,,,1,0
187001,25.0,21.428572,77,,,,,,,,,,1,0
189801,21.428572,19.047619,64,48.809525,45.238094,91,,,,69.04762,59.52381,117,0,0
190001,21.428572,25.0,72,,,,,,,59.52381,48.809525,101,0,0
190401,21.428572,13.095238,69,,,,,,,40.47619,44.04762,100,0,0
192601,22.619047,20.238094,79,,,,,,,,,,1,0
192701,,,,34.52381,27.380953,80,60.714287,46.42857,102,,,,0,0
194701,20.238094,13.095238,74,,,,,,,46.42857,44.04762,106,1,0
197401,,,,44.04762,20.238094,75,63.095238,48.809525,98,,,,1,0
198001,16.666666,10.714286,70,25.0,42.857143,94,,,,,,,0,0
199001,,,,36.904762,32.142857,85,,,,55.95238,57.142857,110,0,0
199701,19.047619,17.857143,63,50.0,28.571428,93,,,,72.61905,60.714287,117,0,0
200201,,,,,,,,,,63.095238,30.952381,102,0,0
200801,29.761906,19.047619,64,,,,,,,,,,0,0
201201,32.142857,16.666666,74,,,,,,,64.28571,35.714287,99,0,0
202701,20.238094,25.0,70,,,,42.857143,53.57143,97,,,,0,0
205001,19.047619,11.904762,63,,,,38.095238,33.333332,93,63.095238,48.809525,116,0,0
205201,,,,,,,,,,,,,1,0
205701,,,,27.380953,27.380953,97,,,,,,,0,0
206201,16.666666,19.047619,70,29.761906,47.61905,93,,,,,,,1,0
206301,,,,23.809525,26.190475,85,61.904762,52.38095,109,,,,0,0
206401,21.428572,16.666666,65,44.04762,33.333332,89,,,,,,,1,0
206601,13.095238,15.476191,71,26.190475,21.428572,94,,,,36.904762,29.761906,117,1,0
207201,20.238094,23.809525,74,,,,,,,,,,0,0
207401,22.619047,29.761906,77,,,,63.095238,45.238094,101,,,,1,0
207901,,,,,,,,,,55.95238,41.666668,108,0,0
209801,21.428572,16.666666,72,30.952381,23.809525,95,,,,,,,1,0
210401,20.238094,25.0,72,,,,48.809525,46.42857,101,,,,0,0
212001,21.428572,16.666666,70,45.238094,40.47619,92,,,,,,,1,0
212501,,,,23.809525,28.571428,75,,,,61.904762,54.761906,98,0,0
213001,,,,,,,,,,,,,1,0
213201,5.952381,17.857143,65,36.904762,32.142857,89,,,,,,,0,0
213401,,,,26.190475,33.333332,93,,,,41.666668,52.38095,119,0,0
213701,20.238094,19.047619,72,,,,,,,52.38095,47.61905,98,1,0
213901,20.238094,22.619047,64,39.285713,28.571428,85,,,,,,,1,0
214201,,,,22.619047,32.142857,76,41.666668,41.666668,99,,,,1,0
215301,21.428572,19.047619,74,,,,47.61905,51.190475,96,,,,0,0
217401,20.238094,15.476191,65,28.571428,40.47619,94,,,,,,,0,0
217501,,,,,,,,,,60.714287,58.333332,111,1,0
217901,21.428572,23.809525,69,,,,,,,59.52381,36.904762,100,1,0
219001,28.571428,16.666666,73,,,,,,,50.0,27.380953,98,0,0
219301,,,,,,,29.761906,28.571428,85,46.42857,40.47619,108,1,0
220601,,,,,,,41.666668,41.666668,95,,,,1,0
221001,,,,22.619047,21.428572,72,67.85714,27.380953,94,,,,0,1
221101,,,,21.428572,17.857143,75,41.666668,34.52381,97,,,,1,1
221201,21.428572,15.476191,71,,,,,,,,,,0,1
221401,16.666666,13.095238,66,27.380953,25.0,90,,,,48.809525,42.857143,114,1,1
221701,,,,,,,48.809525,46.42857,101,,,,0,0
223401,19.047619,11.904762,70,,,,,,,,,,1,0
224001,21.428572,17.857143,70,,,,40.47619,36.904762,100,,,,0,0
224301,21.428572,15.476191,70,,,,58.333332,52.38095,94,,,,1,0
224901,15.476191,16.666666,61,,,,30.952381,30.952381,85,50.0,41.666668,107,1,0
225401,,,,16.666666,8.333333,87,25.0,20.238094,110,,,,0,1
226001,22.619047,11.904762,67,,,,,,,44.04762,19.047619,98,1,1
226801,,,,30.952381,28.571428,81,,,,,,,1,1
227501,20.238094,11.904762,70,,,,,,,45.238094,52.38095,96,1,0
227801,22.619047,28.571428,74,,,,75.0,59.52381,98,,,,1,0
228501,,,,23.809525,32.142857,76,,,,33.333332,58.333332,98,0,0
229901,35.714287,54.761906,82,,,,,,,,,,1,0
231301,22.619047,21.428572,72,,,,,,,63.095238,51.190475,102,1,0
231501,,,,27.380953,28.571428,91,,,,,,,0,0
231901,,,,,,,33.333332,46.42857,95,,,,1,0
234201,19.047619,10.714286,64,28.571428,30.952381,93,,,,33.333332,41.666668,118,0,0
234701,23.809525,21.428572,83,,,,29.761906,36.904762,110,,,,0,1
234801,,,,,,,,,,,,,1,1
235501,20.238094,17.857143,77,,,,,,,51.190475,51.190475,125,1,1
235901,,,,27.380953,21.428572,84,,,,48.809525,39.285713,108,1,1
236201,21.428572,19.047619,72,,,,,,,28.571428,27.380953,101,1,1
236801,30.952381,27.380953,70,,,,53.57143,52.38095,97,,,,0,0
238301,5.952381,11.904762,68,32.142857,19.047619,91,,,,52.38095,50.0,112,1,1
239501,,,,,,,20.238094,30.952381,104,,,,0,1
239601,,,,,,,,,,46.42857,40.47619,107,1,1
239901,,,,,,,,,,40.47619,53.57143,112,0,0
240801,21.428572,17.857143,65,,,,,,,,,,1,0
240901,14.285714,14.285714,64,30.952381,33.333332,86,,,,,,,1,0
241001,,,,21.428572,21.428572,69,,,,,,,0,0
241201,15.476191,38.095238,74,,,,,,,,,,0,0
241801,,,,26.190475,15.476191,91,,,,,,,1,0
242001,,,,,,,35.714287,34.52381,93,,,,1,0
243601,,,,21.428572,22.619047,83,25.0,21.428572,105,,,,0,0
244101,,,,25.0,27.380953,73,46.42857,47.61905,97,,,,0,0
244701,,,,,,,33.333332,36.904762,92,,,,1,0
245901,,,,,,,30.952381,26.190475,87,,,,0,0
247401,,,,,,,,,,,,,0,0
247801,30.952381,32.142857,80,,,,63.095238,52.38095,102,,,,0,0
248301,,,,23.809525,22.619047,82,,,,39.285713,42.857143,108,0,0
248401,21.428572,15.476191,72,36.904762,29.761906,95,,,,,,,0,0
248501,,,,52.38095,28.571428,90,,,,,,,0,0
249901,21.428572,33.333332,75,,,,42.857143,40.47619,104,,,,0,0
250701,21.428572,17.857143,72,58.333332,48.809525,91,,,,,,,1,0
251401,,,,17.857143,39.285713,81,47.61905,52.38095,104,,,,0,0
253801,16.666666,16.666666,77,,,,,,,,,,1,0
254201,19.047619,29.761906,73,,,,,,,,,,0,0
254401,20.238094,16.666666,79,,,,,,,,,,1,0
254901,21.428572,20.238094,72,,,,,,,,,,1,0
255401,15.476191,20.238094,65,,,,,,,,,,1,0
255901,19.047619,15.476191,82,,,,,,,25.0,15.476191,106,0,0
256601,21.428572,19.047619,73,,,,,,,,,,1,0
256901,,,,42.857143,30.952381,92,,,,,,,1,0
257001,19.047619,15.476191,70,36.904762,27.380953,92,,,,60.714287,53.57143,114,0,0
257701,20.238094,15.476191,83,,,,,,,35.714287,35.714287,108,0,0
259101,,,,42.857143,34.52381,84,,,,72.61905,51.190475,110,0,0
259201,20.238094,22.619047,81,,,,,,,48.809525,33.333332,106,1,0
259901,10.714286,8.333333,69,,,,,,,,,,0,0
260501,14.285714,20.238094,60,,,,30.952381,34.52381,84,,,,1,0
262301,19.047619,16.666666,64,36.904762,47.61905,92,,,,63.095238,44.04762,117,1,0
263501,21.428572,25.0,77,,,,65.47619,41.666668,100,,,,0,0
263801,,,,28.571428,34.52381,74,,,,,,,1,0
264501,21.428572,21.428572,74,,,,46.42857,44.04762,101,,,,1,1
264601,28.571428,27.380953,77,,,,,,,,,,0,1
265101,,,,34.52381,45.238094,85,,,,,,,0,1
265401,17.857143,14.285714,73,40.47619,13.095238,94,,,,,,,1,1
265901,15.476191,19.047619,76,,,,,,,,,,0,1
266201,21.428572,16.666666,78,,,,,,,34.52381,27.380953,105,0,1
266901,19.047619,14.285714,73,,,,,,,,,,0,1
267001,20.238094,16.666666,82,,,,41.666668,33.333332,106,,,,1,1
267501,8.333333,13.095238,65,36.904762,26.190475,90,,,,,,,0,1
267901,25.0,17.857143,70,,,,63.095238,27.380953,98,,,,0,1
268101,14.285714,15.476191,63,,,,25.0,14.285714,84,,,,0,1
269001,5.952381,15.476191,63,36.904762,13.095238,90,,,,54.761906,42.857143,117,0,1
269201,9.523809,5.952381,64,27.380953,28.571428,91,,,,39.285713,53.57143,115,0,1
269901,10.714286,7.142857,69,,,,,,,47.61905,38.095238,117,0,1
271001,,,,22.619047,23.809525,82,34.52381,40.47619,102,,,,1,1
271201,21.428572,17.857143,60,,,,,,,,,,1,1
272201,,,,44.04762,28.571428,87,,,,,,,0,0
272901,,,,,,,,,,,,,0,0
273501,,,,20.238094,35.714287,69,40.47619,48.809525,93,,,,0,1
273601,21.428572,22.619047,66,,,,50.0,59.52381,94,,,,1,0
273701,,,,,,,28.571428,29.761906,96,57.142857,30.952381,118,0,0
274301,,,,25.0,19.047619,81,,,,30.952381,28.571428,106,1,1
274401,23.809525,15.476191,68,,,,,,,,,,1,0
274801,,,,26.190475,25.0,78,82.14286,45.238094,103,,,,1,0
275801,20.238094,20.238094,80,,,,,,,,,,1,0
276901,,,,,,,20.238094,14.285714,87,25.0,15.476191,112,1,1
277101,11.904762,7.142857,62,28.571428,29.761906,91,,,,58.333332,48.809525,115,0,1
277501,23.809525,20.238094,71,,,,58.333332,41.666668,100,,,,0,0
278101,21.428572,26.190475,73,,,,45.238094,48.809525,102,,,,1,0
278401,25.0,19.047619,79,,,,,,,,,,1,1
278501,20.238094,15.476191,71,,,,39.285713,40.47619,98,,,,0,0
278901,,,,,,,52.38095,34.52381,90,,,,1,1
279001,,,,22.619047,17.857143,82,,,,,,,1,1
280801,9.523809,8.333333,65,,,,,,,27.380953,44.04762,112,0,0
280901,21.428572,20.238094,67,,,,40.47619,25.0,95,,,,0,0
281401,19.047619,14.285714,61,,,,,,,,,,1,0
281701,16.666666,15.476191,68,,,,32.142857,32.142857,96,,,,1,0
282301,28.571428,8.333333,78,,,,51.190475,30.952381,102,,,,1,0
