schid,stid,girl,written,coursework
22908,24,1,52.0,-1.0
22908,42,1,-1.0,52.7
22908,66,1,-1.0,46.2
22908,69,1,60.0,71.2
23208,1,1,60.0,84.2
23208,9,1,33.0,95.3
23208,11,1,44.0,78.7
23208,12,1,45.0,38.8
23208,13,0,58.0,88.8
23208,18,1,36.0,78.7
23208,28,1,38.0,90.7
23208,30,0,76.0,78.7
23208,31,1,33.0,87.0
23208,37,1,45.0,78.7
23208,39,1,49.0,83.3
23208,40,0,82.0,69.4
23208,43,1,44.0,56.4
23208,46,1,48.0,91.6
23208,48,1,58.0,82.4
23208,51,0,48.0,-1.0
23208,53,1,52.0,80.5
23208,60,1,52.0,83.3
23208,61,1,26.0,80.5
23208,65,1,43.0,83.3
23208,80,0,76.0,80.5
23208,83,0,-1.0,87.0
23208,91,1,-1.0,78.7
25241,5047,0,59.0,-1.0
25241,5049,0,67.0,67.5
25241,5111,0,64.0,72.2
25241,5146,0,68.0,72.2
25241,5156,1,-1.0,72.2
30474,8,0,71.0,89.8
30474,12,0,61.0,95.3
30474,16,0,68.0,-1.0
30474,18,0,30.0,87.0
30474,20,0,48.0,56.4
30474,27,0,55.0,75.0
30474,28,0,49.0,-1.0
30474,34,0,68.0,77.7
30474,39,0,83.0,-1.0
30474,45,0,62.0,76.8
30474,46,0,80.0,79.6
30474,49,0,56.0,67.5
30474,54,0,64.0,87.9
30474,62,0,53.0,89.8
30474,80,0,68.0,98.1
30474,83,0,71.0,90.7
30474,89,0,60.0,78.7
30474,95,0,-1.0,82.4
30474,97,0,63.0,84.2
30474,100,0,39.0,74.0
30474,104,0,66.0,83.3
30474,106,0,63.0,81.4
30474,107,0,53.0,87.9
30474,116,1,36.0,64.8
30474,118,1,43.0,61.1
30474,132,1,61.0,76.8
30474,152,1,46.0,66.6
30474,153,1,-1.0,80.5
30474,154,1,-1.0,77.7
30474,157,1,51.0,75.0
30474,160,1,-1.0,83.3
30474,163,1,79.0,86.1
30474,164,1,-1.0,91.6
30474,165,1,48.0,-1.0
30474,166,1,-1.0,67.5
30474,183,1,-1.0,87.9
30474,186,1,41.0,94.4
30474,187,1,79.0,98.1
30474,190,1,53.0,93.5
30474,192,1,65.0,97.2
30474,194,1,46.0,85.1
30474,197,1,53.0,88.8
30474,203,1,51.0,86.1
30474,208,1,40.0,85.1
30474,232,1,55.0,-1.0
35270,13,1,46.0,62.0
35270,14,1,46.0,56.4
35270,15,0,-1.0,63.8
35270,16,0,41.0,-1.0
35270,27,1,64.0,69.4
35270,28,0,28.0,50.0
35270,29,1,63.0,69.4
35270,33,1,46.0,59.2
35270,34,0,55.0,67.5
35270,40,0,65.0,58.3
35270,45,0,-1.0,58.3
35270,46,0,52.0,48.1
37224,5,1,52.0,58.3
37224,9,0,40.0,64.8
37224,12,1,59.0,62.0
37224,14,0,48.0,68.5
37224,24,0,44.0,59.2
37224,26,1,50.0,61.1
37224,29,0,53.0,-1.0
37224,36,0,59.0,87.0
37224,40,1,35.0,70.3
37224,53,0,48.0,38.8
37224,68,0,31.0,71.2
37224,73,1,28.0,65.7
37224,77,1,52.0,50.9
37224,78,0,-1.0,62.0
37224,81,0,37.0,51.8
37224,88,0,60.0,70.3
37224,106,0,40.0,55.5
37224,110,1,37.0,63.8
37224,116,0,51.0,75.9
37224,122,0,26.0,65.7
37224,124,0,43.0,73.1
37224,129,0,-1.0,81.4
37224,137,1,-1.0,73.1
37224,143,1,51.0,78.7
37224,144,0,53.0,73.1
37224,145,0,52.0,57.4
37224,148,1,44.0,75.0
37224,154,0,46.0,69.4
37224,157,1,43.0,51.8
37224,180,0,37.0,-1.0
37224,185,1,55.0,75.9
37224,189,0,46.0,71.2
37224,200,1,44.0,73.1
37224,203,0,68.0,73.1
37224,204,0,41.0,62.9
37224,221,0,41.0,69.4
37224,231,0,30.0,65.7
37224,265,1,48.0,80.5
37224,268,1,49.0,68.5
37224,272,1,-1.0,72.2
37224,282,0,51.0,61.1
37224,286,1,50.0,-1.0
37224,293,1,44.0,65.7
37224,295,1,43.0,46.2
47627,93,1,46.0,67.5
47627,97,1,53.0,69.4
47627,101,0,71.0,75.0
47627,105,0,37.0,58.3
47627,106,0,50.0,17.5
47627,107,0,70.0,67.5
50627,8,0,57.0,60.1
50627,32,0,53.0,-1.0
50627,40,0,62.0,57.4
50627,52,0,50.0,54.6
50627,53,0,39.0,31.4
50627,57,0,41.0,50.0
50627,69,0,45.0,55.5
50627,76,0,49.0,33.3
50627,81,0,45.0,52.7
50627,86,0,62.0,55.5
50627,94,0,46.0,48.1
50627,96,0,58.0,35.1
50627,107,1,40.0,58.3
50627,109,1,48.0,81.4
50627,122,1,41.0,61.1
50627,128,1,71.0,72.2
50627,131,1,41.0,-1.0
50627,148,1,46.0,63.8
50627,152,1,30.0,47.2
50627,161,1,30.0,60.1
50627,165,1,-1.0,63.8
50627,166,1,-1.0,40.7
50627,174,1,-1.0,65.7
50627,183,1,52.0,59.2
50631,5014,1,43.0,78.7
50631,5026,0,48.0,72.2
50631,5030,1,58.0,83.3
50631,5034,1,48.0,79.6
50631,5037,1,38.0,83.3
50631,5041,0,73.0,96.2
50631,5051,1,55.0,-1.0
50631,5055,1,48.0,100.0
50631,5056,0,52.0,98.1
50631,5058,1,64.0,98.1
50631,5060,1,43.0,99.0
50631,5070,0,56.0,80.5
50631,5086,1,45.0,98.1
50631,5105,1,65.0,100.0
50631,5110,1,49.0,94.4
50631,5140,1,28.0,75.0
50631,5151,1,50.0,100.0
50631,5160,0,-1.0,97.2
50631,5168,1,40.0,98.1
50631,5177,0,60.0,94.4
50631,5191,1,36.0,66.6
60421,8,1,41.0,93.5
60421,17,1,33.0,76.8
60421,104,1,44.0,90.7
60421,140,0,57.0,65.7
60421,142,1,51.0,76.8
60427,15,0,26.0,49.0
60427,24,0,48.0,100.0
60427,37,0,-1.0,52.7
60427,50,0,46.0,86.1
60427,58,0,65.0,99.0
60427,70,0,35.0,-1.0
60427,83,0,46.0,95.3
60427,92,0,-1.0,78.7
60427,96,0,46.0,86.1
60427,112,0,45.0,93.5
60427,114,0,20.0,53.7
60427,210,1,71.0,100.0
60427,211,1,63.0,100.0
60427,223,1,52.0,100.0
60427,224,1,63.0,100.0
60427,234,1,33.0,77.7
60427,240,1,44.0,-1.0
60427,242,1,49.0,-1.0
60427,250,1,63.0,100.0
60427,255,1,36.0,98.1
60427,265,1,62.0,100.0
60427,284,1,18.0,-1.0
60427,295,1,25.0,89.8
60427,304,1,38.0,97.2
60427,308,1,65.0,100.0
60427,310,1,38.0,94.4
60427,316,1,27.0,71.2
60437,19,0,48.0,89.8
60437,49,0,48.0,99.0
60437,50,1,55.0,93.5
60437,60,1,48.0,95.3
60437,66,0,46.0,82.4
60437,69,0,53.0,89.8
60437,77,1,-1.0,95.3
60437,86,1,35.0,74.0
60437,99,1,70.0,91.6
60437,103,0,56.0,96.2
60437,104,1,46.0,90.7
60437,119,1,-1.0,97.2
60437,126,1,48.0,100.0
60437,129,0,64.0,84.2
60437,139,1,39.0,83.3
60437,148,0,45.0,87.0
60437,149,1,70.0,99.0
60437,153,0,53.0,99.0
60437,167,0,39.0,59.2
60437,194,1,46.0,84.2
60439,1009,0,46.0,87.0
60439,1012,1,41.0,60.1
60439,1016,1,57.0,-1.0
60439,1031,1,53.0,86.1
60439,1037,0,55.0,71.2
60439,1045,0,38.0,-1.0
60439,1088,0,-1.0,70.3
60439,1094,1,58.0,77.7
60439,1120,0,64.0,86.1
60439,1123,0,73.0,81.4
60439,1133,1,76.0,84.2
60439,1147,0,-1.0,69.4
60439,1152,1,60.0,61.1
60441,201,1,38.0,81.4
60441,204,1,41.0,66.6
60441,211,0,39.0,63.8
60441,222,1,45.0,75.0
60441,237,1,57.0,57.4
60441,241,0,46.0,59.2
60441,284,1,33.0,82.4
60441,290,1,46.0,79.6
60441,292,1,53.0,79.6
60441,293,1,51.0,70.3
60441,294,1,40.0,78.7
60441,297,1,21.0,58.3
60441,326,1,33.0,74.0
60441,330,0,44.0,53.7
60441,344,0,41.0,-1.0
60441,374,1,49.0,71.2
60441,377,0,56.0,62.0
60455,1003,1,44.0,84.2
60455,1008,0,37.0,62.0
60455,1009,0,20.0,48.1
60455,1010,0,63.0,59.2
60455,1011,1,53.0,93.5
60455,1016,1,61.0,89.8
60455,1017,1,62.0,93.5
60455,1018,1,64.0,92.5
60455,1020,1,39.0,75.0
60455,1021,0,57.0,68.5
60455,1022,1,60.0,94.4
60455,1023,0,61.0,56.4
60455,1027,1,53.0,94.4
60455,1028,0,49.0,-1.0
60455,1030,1,63.0,96.2
60455,1035,1,33.0,57.4
60455,1037,1,68.0,96.2
60455,1047,0,41.0,57.4
60455,1049,1,43.0,82.4
60455,1052,1,55.0,-1.0
60455,1053,0,65.0,-1.0
60455,1055,0,56.0,85.1
60455,1057,1,48.0,84.2
60455,1060,1,69.0,87.9
60455,1065,1,25.0,61.1
60455,1074,1,52.0,89.8
60455,1079,0,48.0,64.8
60455,1080,0,-1.0,79.6
60455,1081,1,45.0,95.3
60455,1083,0,59.0,97.2
60455,1091,1,48.0,95.3
60455,1098,0,48.0,79.6
60455,1108,0,60.0,86.1
60455,1116,1,45.0,90.7
60455,1125,0,57.0,-1.0
60455,1130,1,53.0,87.9
60455,1133,0,52.0,-1.0
60455,1135,0,61.0,93.5
60455,1137,1,40.0,79.6
60455,1144,1,48.0,83.3
60455,1145,0,43.0,71.2
60455,1149,0,55.0,83.3
60457,1,0,41.0,85.1
60457,3,1,60.0,100.0
60457,11,1,59.0,98.1
60457,12,0,20.0,81.4
60457,13,1,37.0,82.4
60457,18,0,62.0,98.1
60457,22,0,37.0,-1.0
60457,27,0,71.0,72.2
60457,31,1,37.0,90.7
60457,33,0,-1.0,83.3
60457,40,0,58.0,74.0
60457,43,0,52.0,78.7
60457,44,1,62.0,96.2
60457,48,0,63.0,77.7
60457,52,0,-1.0,94.4
60457,56,0,71.0,95.3
60457,62,1,53.0,89.8
60457,65,0,43.0,90.7
60457,70,0,60.0,95.3
60457,71,1,48.0,93.5
60457,76,1,58.0,92.5
60457,77,1,-1.0,71.2
60457,79,1,57.0,98.1
60457,81,0,43.0,60.1
60457,94,1,58.0,79.6
60457,98,1,-1.0,99.0
60457,99,0,66.0,-1.0
60457,109,0,-1.0,77.7
60457,110,1,53.0,95.3
60457,120,0,53.0,91.6
60457,121,0,50.0,59.2
60457,130,1,48.0,97.2
60457,132,0,52.0,81.4
60457,134,1,51.0,98.1
60457,142,1,69.0,99.0
60457,143,1,40.0,90.7
60457,146,0,-1.0,85.1
60457,151,0,58.0,83.3
60457,152,0,78.0,82.4
60457,155,0,34.0,54.6
60457,159,0,41.0,82.4
60457,163,1,43.0,84.2
60457,169,1,68.0,93.5
60457,174,0,70.0,72.2
60457,178,1,43.0,88.8
60457,184,0,64.0,78.7
60457,185,0,51.0,-1.0
60457,198,0,56.0,76.8
60457,210,0,70.0,84.2
60457,221,1,50.0,98.1
60457,222,0,41.0,87.0
60457,224,0,62.0,77.7
60457,231,1,46.0,96.2
60457,234,0,-1.0,73.1
60501,6,1,57.0,80.5
60501,26,0,61.0,88.8
60501,28,1,33.0,50.0
60501,30,0,41.0,72.2
60501,31,1,58.0,96.2
60501,36,0,43.0,44.4
60501,44,0,65.0,92.5
60501,46,0,44.0,69.4
60501,48,1,-1.0,67.5
60501,51,0,48.0,91.6
60501,52,1,60.0,96.2
60501,54,1,56.0,61.1
60501,58,1,51.0,92.5
60501,59,1,35.0,62.9
60501,66,1,36.0,87.9
60501,67,0,60.0,87.9
60501,78,1,48.0,66.6
60501,92,1,44.0,-1.0
60501,109,0,46.0,48.1
60501,110,1,55.0,94.4
60501,111,1,36.0,49.0
60501,116,0,43.0,67.5
60501,121,1,51.0,76.8
60501,146,1,45.0,88.8
60501,163,1,62.0,97.2
60501,164,0,-1.0,83.3
60729,263,0,52.0,-1.0
60729,264,0,46.0,82.4
60729,272,1,65.0,92.5
60729,302,0,56.0,86.1
60729,331,0,69.0,94.4
60729,337,1,53.0,94.4
60729,342,1,76.0,92.5
60741,4006,1,41.0,84.2
60741,4010,1,53.0,87.9
60741,4012,1,61.0,75.9
60741,4016,1,46.0,86.1
60741,4028,1,39.0,64.8
60741,4030,0,-1.0,56.4
60741,4031,1,48.0,81.4
60741,4040,1,-1.0,82.4
60741,4042,1,50.0,86.1
60741,4050,0,43.0,41.6
60741,4056,1,38.0,80.5
60741,4057,1,-1.0,69.4
60741,4064,1,43.0,76.8
60741,4066,1,25.0,51.8
60741,4074,1,43.0,71.2
60741,4085,1,48.0,77.7
60741,4091,1,46.0,67.5
60741,4097,0,39.0,54.6
60741,4106,1,48.0,86.1
60741,4116,1,44.0,72.2
60741,4120,0,37.0,33.3
60741,4122,0,50.0,77.7
60741,4124,1,36.0,79.6
60741,4148,0,-1.0,76.8
60741,4151,1,44.0,81.4
60741,4154,0,62.0,76.8
63619,4,0,61.0,73.1
63619,55,0,59.0,74.0
63619,59,0,48.0,71.2
63619,77,1,40.0,54.6
63833,9,0,41.0,-1.0
63833,5012,0,41.0,65.7
63833,5023,0,36.0,57.4
63833,5047,1,59.0,79.6
63833,5079,0,50.0,65.7
63833,5083,0,61.0,71.2
63833,5092,1,71.0,83.3
63833,5112,1,64.0,75.9
63833,5140,0,57.0,71.2
63833,5196,0,36.0,65.7
63833,5209,0,-1.0,72.2
63833,5212,0,45.0,67.5
64251,1007,1,65.0,97.2
64251,1009,1,50.0,91.6
64251,1019,0,65.0,81.4
64251,1020,1,59.0,-1.0
64251,1022,0,62.0,76.8
64251,1030,0,43.0,-1.0
64251,1031,0,53.0,71.2
64251,1098,0,-1.0,69.4
64251,1104,0,-1.0,74.0
64251,1107,1,40.0,-1.0
64251,1120,0,44.0,87.0
64251,1122,1,57.0,90.7
64251,1126,1,61.0,85.1
64251,1131,1,-1.0,94.4
64251,1132,1,61.0,87.0
64251,1133,1,44.0,88.8
64251,1136,1,-1.0,93.5
64251,1144,0,-1.0,82.4
64251,1150,1,76.0,92.5
64251,1151,1,71.0,93.5
64251,1162,0,61.0,81.4
64251,1175,0,44.0,88.8
64251,1179,1,63.0,-1.0
64251,1184,1,56.0,86.1
64251,1191,1,55.0,76.8
64251,1196,0,46.0,87.0
64251,1198,1,53.0,86.1
64251,1204,1,51.0,97.2
64251,1208,1,65.0,93.5
64251,1226,1,49.0,87.0
64251,1239,1,37.0,95.3
64251,1246,0,59.0,80.5
64251,1263,0,55.0,88.8
64251,1266,1,60.0,83.3
64251,1272,1,46.0,92.5
64251,1296,1,50.0,-1.0
64321,5001,0,46.0,61.1
64321,5004,1,74.0,92.5
64321,5007,1,44.0,52.7
64321,5014,1,58.0,-1.0
64321,5021,1,48.0,70.3
64321,5024,1,52.0,82.4
64321,5025,1,60.0,70.3
64321,5031,0,51.0,32.4
64321,5041,1,65.0,70.3
64321,5044,1,53.0,76.8
64321,5046,1,-1.0,73.1
64321,5051,0,70.0,75.0
64321,5053,1,53.0,86.1
64321,5056,0,55.0,61.1
64321,5057,0,33.0,-1.0
64321,5064,1,28.0,-1.0
64321,5065,1,-1.0,72.2
64321,5069,0,45.0,-1.0
64321,5080,0,60.0,78.7
64321,5084,1,60.0,57.4
64321,5086,1,50.0,47.2
64321,5089,1,53.0,-1.0
64321,5092,0,41.0,37.0
64321,5094,0,45.0,37.9
64321,5097,0,61.0,62.0
64321,5100,0,57.0,62.0
64321,5102,1,65.0,86.1
64321,5107,1,49.0,42.5
64321,5110,0,49.0,54.6
64321,5122,0,53.0,49.0
64321,5124,1,-1.0,68.5
64321,5132,1,46.0,51.8
64321,5149,1,-1.0,50.9
64321,5155,1,46.0,-1.0
64321,5163,0,60.0,40.7
64321,5167,1,78.0,81.4
64327,5,0,33.0,-1.0
64327,10,0,39.0,65.7
64327,11,0,36.0,74.0
64327,19,1,11.0,87.0
64327,27,1,40.0,90.7
64327,40,0,44.0,75.9
64327,41,1,45.0,85.1
64327,48,0,53.0,78.7
64327,49,0,35.0,66.6
64327,56,0,55.0,70.3
64327,57,0,46.0,78.7
64327,59,1,52.0,83.3
64327,63,1,45.0,79.6
64327,76,0,37.0,74.0
64327,77,1,61.0,84.2
64327,78,1,46.0,87.0
64327,84,0,-1.0,90.7
64327,89,0,48.0,74.0
64327,90,0,55.0,82.4
64327,93,0,41.0,80.5
64327,118,1,48.0,93.5
64327,125,0,30.0,64.8
64327,126,0,41.0,68.5
64327,134,1,53.0,93.5
64327,137,1,41.0,83.3
64327,147,1,-1.0,75.9
64327,149,0,55.0,75.0
64327,158,0,53.0,83.3
64327,163,0,40.0,69.4
64327,176,0,-1.0,65.7
64327,177,0,53.0,89.8
64327,181,1,44.0,80.5
64343,2,0,38.0,78.7
64343,17,1,78.0,98.1
64343,24,1,62.0,100.0
64343,30,1,50.0,90.7
64343,36,1,55.0,80.5
64343,37,0,34.0,9.25
64343,42,0,73.0,82.4
64343,51,1,40.0,87.9
64343,52,1,41.0,99.0
64343,53,0,60.0,16.6
64343,55,1,39.0,94.4
64343,60,1,55.0,96.2
64343,61,0,-1.0,40.7
64343,62,1,36.0,-1.0
64343,63,0,-1.0,40.7
64343,65,1,63.0,100.0
64343,70,1,59.0,79.6
64343,76,1,60.0,90.7
64343,79,1,31.0,89.8
64343,85,1,45.0,98.1
64343,86,1,55.0,91.6
64343,87,1,61.0,98.1
64343,88,0,58.0,54.6
64343,100,1,68.0,100.0
64343,107,0,43.0,96.2
64343,109,1,-1.0,90.7
64343,112,1,30.0,25.9
64343,113,0,63.0,84.2
64343,121,0,71.0,80.5
64343,122,1,36.0,100.0
64343,124,0,37.0,57.4
64343,133,1,41.0,98.1
64343,135,1,36.0,-1.0
64343,138,0,59.0,46.2
64343,145,0,38.0,48.1
64343,149,1,46.0,-1.0
64343,192,1,51.0,85.1
64343,197,1,56.0,95.3
64359,160,0,-1.0,86.1
64359,238,0,70.0,96.2
64359,259,0,74.0,87.0
64359,262,0,45.0,77.7
64359,310,1,45.0,78.7
64359,412,1,34.0,58.3
64359,417,1,43.0,-1.0
64359,423,1,60.0,-1.0
64359,596,0,70.0,87.9
64359,637,0,70.0,90.7
64359,699,1,55.0,75.9
64359,720,1,53.0,87.0
64359,734,1,53.0,78.7
64359,735,1,-1.0,57.4
64359,757,1,63.0,89.8
64359,794,1,56.0,80.5
64428,91,1,36.0,93.5
64428,119,1,50.0,62.9
64428,158,0,83.0,-1.0
64428,1290,0,46.0,62.9
64428,1291,0,55.0,50.9
65385,41,1,60.0,91.6
65385,129,0,53.0,90.7
65385,151,0,51.0,76.8
65385,195,0,57.0,85.1
66365,46,0,44.0,62.9
66365,109,1,53.0,97.2
66365,116,1,26.0,73.1
66365,134,1,57.0,86.1
66365,136,1,32.0,-1.0
66365,138,1,43.0,85.1
67051,16,0,36.0,37.0
67051,50,1,45.0,87.0
67051,60,1,45.0,78.7
67051,81,1,20.0,50.9
67051,89,0,43.0,40.7
67051,115,1,45.0,89.8
67051,159,0,35.0,69.4
67051,175,0,46.0,67.5
67051,208,1,-1.0,74.0
67105,14,1,45.0,25.9
67105,27,1,-1.0,63.8
67105,30,1,43.0,-1.0
67105,34,1,74.0,55.5
67105,40,1,58.0,68.5
67105,60,1,62.0,18.5
67105,68,0,78.0,77.7
67105,72,1,53.0,52.7
67105,96,1,71.0,66.6
67105,97,1,-1.0,72.2
67105,99,1,46.0,59.2
67105,103,1,50.0,59.2
67105,109,0,68.0,-1.0
67105,113,1,-1.0,39.8
67105,116,1,53.0,61.1
67105,120,0,-1.0,57.4
67105,128,1,79.0,75.9
67105,131,1,45.0,82.4
67105,132,1,65.0,55.5
67105,146,1,53.0,48.1
67105,147,0,55.0,85.1
67105,155,1,64.0,38.8
67105,156,0,67.0,57.4
67105,160,0,60.0,74.0
67105,192,1,55.0,60.1
67105,193,1,60.0,86.1
67105,196,0,57.0,74.0
67105,201,1,58.0,83.3
67105,207,1,62.0,57.4
67105,208,0,66.0,79.6
67105,209,1,57.0,72.2
67311,6,1,34.0,81.4
67311,17,0,61.0,78.7
67311,18,1,-1.0,86.1
67311,36,0,55.0,74.0
67311,44,1,-1.0,88.8
67311,50,1,65.0,92.5
67311,70,0,39.0,92.5
67311,83,1,-1.0,73.1
67311,87,1,38.0,87.9
67311,130,1,36.0,90.7
67311,141,1,59.0,91.6
67311,144,0,58.0,93.5
68107,5,1,53.0,90.7
68107,12,1,53.0,97.2
68107,18,1,52.0,87.9
68107,22,1,51.0,88.8
68107,25,1,49.0,84.2
68107,26,1,78.0,93.5
68107,28,1,45.0,71.2
68107,37,0,68.0,87.9
68107,45,1,67.0,83.3
68107,48,0,49.0,-1.0
68107,60,1,-1.0,77.7
68107,65,0,41.0,61.1
68107,66,1,22.0,64.8
68107,70,1,49.0,70.3
68107,73,1,55.0,78.7
68107,74,0,-1.0,86.1
68107,77,1,30.0,75.0
68107,78,0,65.0,78.7
68107,80,1,43.0,80.5
68107,83,0,51.0,81.4
68107,87,0,44.0,64.8
68107,90,1,41.0,-1.0
68107,92,1,28.0,86.1
68107,96,1,38.0,79.6
68107,98,1,39.0,-1.0
68107,99,0,73.0,92.5
68107,101,1,62.0,91.6
68107,110,1,55.0,83.3
68107,118,0,46.0,82.4
68107,123,1,-1.0,84.2
68107,126,1,46.0,83.3
68107,128,1,49.0,74.0
68107,132,1,-1.0,64.8
68107,133,1,36.0,67.5
68107,138,1,55.0,86.1
68107,139,1,36.0,-1.0
68107,140,1,-1.0,75.9
68107,141,0,-1.0,62.9
68107,144,1,16.0,63.8
68107,146,1,35.0,68.5
68107,147,1,25.0,-1.0
68107,148,1,23.0,47.2
68107,153,1,34.0,68.5
68107,156,1,34.0,68.5
68107,160,1,65.0,86.1
68107,163,1,41.0,69.4
68107,165,1,51.0,-1.0
68107,167,1,50.0,-1.0
68107,168,0,41.0,66.6
68107,171,1,32.0,65.7
68107,172,0,60.0,77.7
68107,174,0,43.0,69.4
68107,175,1,-1.0,85.1
68107,178,0,-1.0,69.4
68107,179,1,44.0,91.6
68107,180,0,57.0,78.7
68107,183,0,-1.0,53.7
68107,184,0,49.0,65.7
68107,185,1,51.0,70.3
68107,186,1,43.0,-1.0
68107,187,0,45.0,74.0
68107,188,0,46.0,61.1
68107,190,0,-1.0,75.9
68107,191,1,37.0,62.0
68107,193,1,-1.0,62.0
68107,197,1,32.0,69.4
68107,201,1,28.0,67.5
68107,204,0,44.0,-1.0
68107,205,0,28.0,55.5
68107,206,1,43.0,62.0
68107,209,0,48.0,80.5
68107,210,0,39.0,67.5
68107,211,1,18.0,64.8
68107,212,0,59.0,69.4
68107,216,1,38.0,-1.0
68107,217,1,-1.0,60.1
68107,219,0,33.0,74.0
68107,220,0,30.0,50.0
68107,221,0,-1.0,79.6
68111,7,1,53.0,80.5
68111,8,1,48.0,76.8
68111,9,1,33.0,76.8
68111,11,1,-1.0,83.3
68111,21,1,-1.0,87.9
68111,22,0,58.0,75.0
68111,24,0,39.0,-1.0
68111,25,0,45.0,-1.0
68111,33,1,-1.0,66.6
68111,34,1,45.0,86.1
68111,38,1,44.0,82.4
68111,43,1,38.0,77.7
68111,46,1,60.0,94.4
68111,49,1,56.0,75.9
68111,56,1,55.0,73.1
68111,57,1,60.0,82.4
68111,69,1,46.0,79.6
68111,70,0,50.0,74.0
68111,76,1,40.0,61.1
68111,82,1,-1.0,86.1
68111,84,0,41.0,69.4
68111,85,0,39.0,59.2
68111,88,0,53.0,82.4
68111,92,0,41.0,71.2
68111,95,1,58.0,85.1
68111,99,0,53.0,63.8
68111,109,0,49.0,74.0
68111,113,1,60.0,89.8
68111,120,0,37.0,73.1
68111,121,0,55.0,85.1
68121,5000,1,52.0,77.7
68121,5002,0,46.0,78.7
68121,5003,1,40.0,-1.0
68121,5010,1,51.0,-1.0
68121,5014,1,38.0,92.5
68121,5024,1,43.0,86.1
68121,5032,1,-1.0,82.4
68121,5036,1,38.0,53.7
68121,5039,1,33.0,59.2
68121,5070,1,33.0,37.9
68121,5075,1,35.0,88.8
68121,5080,1,43.0,83.3
68121,5089,1,-1.0,88.8
68121,5095,1,52.0,98.1
68121,5105,1,-1.0,80.5
68121,5107,0,55.0,61.1
68121,5117,1,45.0,96.2
68121,5124,1,39.0,41.6
68121,5131,1,41.0,61.1
68121,5132,0,51.0,72.2
68121,5146,1,67.0,94.4
68121,5153,0,-1.0,65.7
68125,14,0,56.0,71.2
68125,15,0,56.0,91.6
68125,16,1,40.0,64.8
68125,18,1,55.0,98.1
68125,19,1,28.0,-1.0
68125,27,0,45.0,74.0
68125,41,1,60.0,93.5
68125,42,1,35.0,86.1
