dam,sex,rat,dose,w
8,1,9,0,5.56
9,0,1,0,5.37
9,0,2,0,5.58
9,0,3,0,5.51
9,0,4,0,5.19
9,0,5,0,5.34
9,0,6,0,5.77
9,0,7,0,5.17
9,0,8,0,4.57
9,0,9,0,5.39
9,0,10,0,5.62
9,0,11,0,5.4
9,0,12,0,5.77
9,0,13,0,5.24
9,1,1,0,5.37
9,1,2,0,5.33
9,1,3,0,5.44
9,1,4,0,5.14
10,0,1,0,7.3
10,0,2,0,6.6
10,0,3,0,6.58
10,0,4,0,6.68
10,0,5,0,6.46
10,0,6,0,6.38
10,1,1,0,6.44
10,1,2,0,6.67
10,1,3,0,6.43
10,1,4,0,6.53
10,1,5,0,5.92
10,1,6,0,6.52
10,1,7,0,6.44
11,0,1,1,5.65
11,0,2,1,5.78
11,0,3,1,6.23
11,0,4,1,5.7
11,0,5,1,5.73
11,0,6,1,6.1
11,0,7,1,5.55
11,0,8,1,5.71
11,0,9,1,5.81
11,0,10,1,6.1
11,1,1,1,5.54
11,1,2,1,5.72
11,1,3,1,5.5
11,1,4,1,5.64
11,1,5,1,5.42
12,1,1,1,6.89
12,1,2,1,7.73
13,0,1,1,5.83
13,0,2,1,5.97
13,0,3,1,6.39
13,0,4,1,5.69
13,0,5,1,5.69
13,0,6,1,5.97
13,0,7,1,6.04
13,0,8,1,5.46
13,1,1,1,6.09
13,1,2,1,5.39
13,1,3,1,5.89
13,1,4,1,5.14
14,0,1,1,5.92
14,0,2,1,5.72
14,0,3,1,6.22
14,0,4,1,5.96
14,0,5,1,5.59
14,0,6,1,5.79
14,0,7,1,6.23
14,0,8,1,5.88
14,0,9,1,6.02
14,1,1,1,5.66
14,1,2,1,5.76
14,1,3,1,5.73
14,1,4,1,5.33
14,1,5,1,5.58
14,1,6,1,5.88
15,0,1,1,6.0
15,0,2,1,6.11
15,0,3,1,6.4
15,0,4,1,6.06
15,0,5,1,6.39
15,0,6,1,6.09
15,0,7,1,6.32
15,1,1,1,5.96
15,1,2,1,6.32
15,1,3,1,5.83
15,1,4,1,5.97
15,1,5,1,5.87
15,1,6,1,5.67
16,0,1,1,6.43
16,0,2,1,6.13
16,0,3,1,5.87
16,1,1,1,6.09
16,1,2,1,5.63
16,1,3,1,5.84
16,1,4,1,6.2
16,1,5,1,6.42
16,1,6,1,5.9
16,1,7,1,5.62
16,1,8,1,6.23
16,1,9,1,5.85
16,1,10,1,5.89
17,0,1,1,5.81
17,0,2,1,5.44
17,0,3,1,5.65
17,0,4,1,5.25
17,0,5,1,5.45
17,0,6,1,5.32
17,0,7,1,5.89
17,1,1,1,5.63
17,1,2,1,5.12
17,1,3,1,5.65
17,1,4,1,5.29
17,1,5,1,5.13
17,1,6,1,5.6
17,1,7,1,5.08
18,0,1,1,6.77
18,0,2,1,7.13
18,0,3,1,6.85
18,1,1,1,6.49
18,1,2,1,6.09
18,1,3,1,6.09
18,1,4,1,5.99
18,1,5,1,6.01
18,1,6,1,6.11
18,1,7,1,6.15
18,1,8,1,4.75
18,1,9,1,5.69
18,1,10,1,6.19
18,1,11,1,5.72
18,1,12,1,6.14
19,0,1,1,6.72
19,0,2,1,6.34
19,0,3,1,6.48
19,0,4,1,5.74
19,1,1,1,6.11
19,1,2,1,5.71
19,1,3,1,6.41
19,1,4,1,6.21
19,1,5,1,6.11
19,1,6,1,5.81
20,0,1,1,5.9
20,0,2,1,6.22
20,0,3,1,6.67
20,0,4,1,6.23
20,0,5,1,6.24
20,0,6,1,6.26
20,0,7,1,6.38
20,0,8,1,6.05
20,0,9,1,5.89
20,0,10,1,6.29
20,1,1,1,6.12
20,1,2,1,5.4
20,1,3,1,5.5
20,1,4,1,5.46
20,1,5,1,5.97
20,1,6,1,6.11
21,0,1,2,5.09
21,0,2,2,5.57
21,0,3,2,5.69
21,0,4,2,5.5
21,0,5,2,5.45
21,0,6,2,5.24
21,0,7,2,5.36
21,0,8,2,5.26
21,0,9,2,5.36
21,0,10,2,5.01
21,0,11,2,5.03
21,1,1,2,5.23
21,1,2,2,5.13
21,1,3,2,4.48
22,0,1,2,5.3
22,0,2,2,5.4
22,0,3,2,5.55
22,0,4,2,6.02
22,0,5,2,5.27
22,1,1,2,5.19
22,1,2,2,5.42
22,1,3,2,5.4
22,1,4,2,5.12
22,1,5,2,5.4
23,0,1,2,7.7
23,1,1,2,7.68
23,1,2,2,6.33
24,0,1,2,6.28
24,0,2,2,5.74
24,0,3,2,6.29
24,1,1,2,5.68
24,1,2,2,5.76
24,1,3,2,6.03
24,1,4,2,5.3
24,1,5,2,5.55
24,1,6,2,6.53
24,1,7,2,5.76
24,1,8,2,5.77
24,1,9,2,5.49
25,0,1,2,6.5
25,0,2,2,7.1
25,0,3,2,7.0
25,0,4,2,7.0
25,0,5,2,5.85
25,1,1,2,6.1
25,1,2,2,6.63
25,1,3,2,6.33
26,0,1,2,7.0
26,0,2,2,6.15
26,1,1,2,6.22
26,1,2,2,6.2
26,1,3,2,5.76
26,1,4,2,6.21
26,1,5,2,6.42
26,1,6,2,6.42
26,1,7,2,6.3
27,0,1,2,5.64
27,0,2,2,6.06
27,0,3,2,6.56
27,0,4,2,6.29
27,0,5,2,5.69
27,0,6,2,6.36
27,1,1,2,5.39
27,1,2,2,5.74
27,1,3,2,5.74
