region,herd,cow,obs,lact,cfs,lncfs,fscr,heifer,ai
1,25,697,124,3,34,3.5263605,1,0,1
1,25,698,125,1,99,4.59512,0,1,1
1,25,698,126,2,72,4.276666,0,0,1
1,25,699,127,2,55,4.0073333,1,0,1
1,25,699,128,3,44,3.7841897,1,0,1
1,25,700,129,4,50,3.912023,1,0,1
1,25,701,130,1,38,3.637586,1,1,1
1,25,701,131,2,47,3.8501475,0,0,1
1,25,702,132,3,39,3.6635616,1,0,1
1,25,702,133,4,51,3.9318256,1,0,1
1,25,703,134,2,130,4.8675346,1,0,1
1,25,703,135,3,88,4.477337,0,0,1
1,25,704,136,2,46,3.8286414,1,0,1
1,25,704,137,4,36,3.583519,0,0,1
1,25,705,138,1,56,4.0253515,1,1,1
1,25,705,139,2,89,4.4886365,1,0,1
1,25,705,140,3,55,4.0073333,0,0,1
1,25,705,141,4,53,3.9702919,0,0,1
1,25,706,142,1,46,3.8286414,1,1,1
1,25,706,143,2,41,3.713572,0,0,1
1,25,706,144,4,45,3.8066626,1,0,1
1,25,707,145,1,122,4.804021,1,1,0
1,25,707,146,2,47,3.8501475,0,0,1
1,25,707,147,3,79,4.3694477,1,0,1
1,25,708,148,1,39,3.6635616,1,1,1
1,25,708,149,5,49,3.8918202,1,0,1
1,25,709,150,1,54,3.988984,1,1,1
1,25,709,151,2,55,4.0073333,1,0,1
1,25,709,152,3,52,3.9512436,1,0,1
1,25,710,153,1,96,4.564348,1,1,1
1,25,711,154,1,43,3.7612002,0,1,1
1,25,711,155,2,47,3.8501475,0,0,1
1,25,712,156,1,93,4.5325994,0,1,1
1,25,713,157,1,56,4.0253515,0,1,1
1,25,714,158,1,163,5.09375,0,1,1
1,50,1548,159,2,58,4.060443,0,0,1
1,50,1548,160,3,123,4.8121843,0,0,1
1,50,1549,161,1,90,4.4998097,0,1,1
1,50,1549,162,2,69,4.2341065,1,0,1
1,50,1549,163,3,94,4.543295,0,0,1
1,50,1550,164,1,49,3.8918202,0,1,1
1,50,1550,165,3,148,4.9972124,0,0,0
1,50,1551,166,1,131,4.8751974,1,1,1
1,50,1551,167,2,338,5.8230457,1,0,1
1,50,1552,168,2,125,4.828314,1,0,1
1,50,1553,169,3,60,4.0943446,1,0,1
1,50,1553,170,4,79,4.3694477,1,0,1
1,50,1553,171,5,146,4.983607,0,0,1
1,50,1554,172,1,67,4.204693,0,1,1
1,50,1554,173,3,149,5.0039463,1,0,1
1,50,1555,174,1,30,3.4011974,1,1,1
1,50,1555,175,2,45,3.8066626,1,0,1
1,50,1555,176,3,72,4.276666,0,0,1
1,50,1555,177,4,81,4.394449,0,0,1
1,50,1556,178,7,50,3.912023,1,0,1
1,50,1556,179,9,54,3.988984,0,0,1
1,50,1556,180,10,77,4.3438053,1,0,1
1,50,1557,181,8,43,3.7612002,0,0,1
1,50,1557,182,9,33,3.4965076,1,0,1
1,50,1557,183,10,94,4.543295,1,0,1
1,50,1558,184,7,95,4.553877,1,0,1
1,50,1558,185,8,46,3.8286414,0,0,1
1,50,1558,186,9,71,4.26268,0,0,1
1,50,1558,187,10,96,4.564348,0,0,0
1,50,1559,188,7,31,3.4339871,0,0,1
1,50,1559,189,8,49,3.8918202,0,0,1
1,50,1560,190,5,40,3.6888795,1,0,1
1,50,1561,191,4,105,4.65396,0,0,1
1,50,1561,192,6,79,4.3694477,0,0,1
1,50,1562,193,1,198,5.288267,0,1,1
1,50,1562,194,2,37,3.6109178,1,0,1
1,50,1562,195,3,137,4.919981,1,0,1
1,50,1563,196,2,52,3.9512436,1,0,1
1,50,1563,197,3,42,3.7376697,0,0,1
1,50,1564,198,3,47,3.8501475,1,0,1
1,50,1564,199,4,57,4.0430512,0,0,0
1,50,1564,200,5,88,4.477337,0,0,1
1,50,1565,201,2,30,3.4011974,0,0,1
1,50,1565,202,3,107,4.6728287,0,0,1
1,50,1565,203,4,97,4.574711,1,0,1
1,50,1566,204,3,196,5.278115,1,0,1
1,50,1566,205,4,82,4.406719,1,0,1
1,50,1567,206,2,53,3.9702919,1,0,1
1,50,1567,207,3,72,4.276666,1,0,1
1,50,1568,208,2,39,3.6635616,0,0,1
1,50,1568,209,3,42,3.7376697,0,0,1
1,50,1568,210,4,146,4.983607,1,0,1
1,50,1569,211,1,66,4.189655,0,1,1
1,50,1569,212,2,52,3.9512436,0,0,1
1,50,1570,213,1,213,5.3612924,0,1,1
1,50,1570,214,2,126,4.836282,0,0,1
1,50,1571,215,2,126,4.836282,0,0,1
1,50,1572,216,1,70,4.248495,1,1,1
1,50,1572,217,2,84,4.4308167,1,0,1
1,50,1572,218,3,99,4.59512,1,0,1
1,50,1573,219,1,109,4.691348,0,1,1
1,50,1573,220,2,52,3.9512436,0,0,0
1,50,1573,221,3,57,4.0430512,0,0,1
1,50,1574,222,1,88,4.477337,0,1,1
1,50,1574,223,2,77,4.3438053,0,0,1
1,50,1574,224,3,33,3.4965076,0,0,1
1,50,1575,225,1,30,3.4011974,0,1,1
1,50,1575,226,3,88,4.477337,0,0,1
2,26,715,227,1,83,4.4188404,0,1,1
2,26,716,228,2,130,4.8675346,0,0,1
2,26,717,229,2,87,4.465908,0,0,1
2,26,718,230,1,56,4.0253515,0,1,1
2,26,719,231,3,142,4.955827,0,0,1
2,26,720,232,1,59,4.0775375,1,1,1
2,26,721,233,2,84,4.4308167,0,0,1
2,26,722,234,2,60,4.0943446,1,0,1
2,26,723,235,2,299,5.7004437,1,0,1
2,26,724,236,1,58,4.060443,1,1,1
2,26,725,237,2,97,4.574711,0,0,1
2,26,726,238,1,78,4.356709,0,1,1
2,26,726,239,2,38,3.637586,0,0,1
2,26,727,240,1,89,4.4886365,0,1,1
2,26,728,241,1,51,3.9318256,0,1,1
2,26,728,242,2,101,4.6151204,0,0,1
2,26,728,243,3,61,4.1108737,1,0,1
2,26,729,244,1,57,4.0430512,0,1,1
2,26,730,245,7,125,4.828314,0,0,1
2,26,731,246,6,156,5.049856,1,0,1
2,26,732,247,3,56,4.0253515,0,0,1
2,26,733,248,4,215,5.370638,0,0,1
2,26,733,249,6,77,4.3438053,0,0,1
2,26,734,250,3,159,5.0689044,1,0,1
2,26,735,251,5,121,4.7957907,1,0,1
2,26,736,252,3,89,4.4886365,0,0,1
2,26,736,253,4,80,4.3820267,1,0,1
2,26,737,254,3,50,3.912023,0,0,1
2,26,737,255,4,143,4.962845,1,0,0
2,26,737,256,5,53,3.9702919,1,0,1
2,26,738,257,3,55,4.0073333,1,0,1
2,26,738,258,5,32,3.465736,1,0,1
2,26,739,259,2,57,4.0430512,0,0,1
2,26,740,260,2,154,5.0369525,0,0,1
2,26,740,261,4,137,4.919981,1,0,1
2,26,741,262,3,50,3.912023,1,0,1
2,26,742,263,2,62,4.1271343,1,0,1
2,26,743,264,2,65,4.1743875,0,0,1
2,26,743,265,3,53,3.9702919,1,0,1
2,26,743,266,4,129,4.8598123,1,0,1
2,26,744,267,2,117,4.762174,1,0,1
2,26,744,268,3,115,4.744932,1,0,1
2,26,745,269,2,46,3.8286414,0,0,1
2,26,745,270,3,111,4.7095304,0,0,1
2,26,746,271,2,64,4.158883,0,0,1
2,26,746,272,3,43,3.7612002,0,0,1
2,26,747,273,2,58,4.060443,0,0,1
2,26,747,274,3,99,4.59512,0,0,1
2,26,748,275,3,95,4.553877,0,0,1
2,26,749,276,2,110,4.7004805,0,0,1
2,26,749,277,4,72,4.276666,1,0,1
2,26,750,278,2,178,5.1817837,0,0,1
2,26,750,279,3,72,4.276666,0,0,1
2,26,751,280,2,64,4.158883,1,0,1
2,26,751,281,4,76,4.3307333,1,0,1
2,26,752,282,2,107,4.6728287,1,0,1
2,26,752,283,3,126,4.836282,1,0,0
2,26,753,284,2,64,4.158883,0,0,1
2,26,754,285,2,62,4.1271343,1,0,1
2,26,754,286,4,96,4.564348,1,0,1
2,26,755,287,2,121,4.7957907,0,0,1
2,26,756,288,2,44,3.7841897,0,0,1
2,26,756,289,4,57,4.0430512,1,0,1
2,26,757,290,1,65,4.1743875,1,1,1
2,26,757,291,2,74,4.304065,1,0,1
2,26,757,292,3,35,3.5553482,0,0,1
2,26,758,293,2,39,3.6635616,0,0,1
2,26,759,294,2,45,3.8066626,1,0,1
2,26,759,295,3,64,4.158883,1,0,1
2,26,759,296,4,46,3.8286414,1,0,1
2,26,760,297,3,141,4.94876,0,0,1
2,26,760,298,4,69,4.2341065,0,0,1
2,26,761,299,1,30,3.4011974,0,1,1
2,26,762,300,1,154,5.0369525,1,1,1
2,26,762,301,2,104,4.644391,1,0,1
2,26,763,302,1,54,3.988984,1,1,1
2,26,763,303,2,45,3.8066626,0,0,1
2,26,764,304,2,72,4.276666,1,0,1
2,26,765,305,2,90,4.4998097,1,0,1
2,26,766,306,2,88,4.477337,1,0,1
2,26,767,307,1,102,4.624973,1,1,1
2,26,768,308,1,62,4.1271343,0,1,1
2,26,768,309,2,45,3.8066626,0,0,1
2,26,769,310,1,152,5.0238805,1,1,1
2,27,770,311,1,137,4.919981,1,1,1
2,27,771,312,1,162,5.0875964,0,1,1
2,27,772,313,1,119,4.7791233,0,1,1
2,27,773,314,5,57,4.0430512,1,0,1
2,27,773,315,6,100,4.6051702,0,0,1
2,27,774,316,5,70,4.248495,1,0,1
2,27,774,317,6,61,4.1108737,0,0,1
2,27,775,318,2,104,4.644391,1,0,1
2,27,775,319,3,89,4.4886365,0,0,1
2,27,776,320,2,78,4.356709,0,0,1
2,27,777,321,1,63,4.1431346,0,1,1
2,27,777,322,2,69,4.2341065,0,0,1
2,27,778,323,3,138,4.9272537,0,0,1
2,27,779,324,2,78,4.356709,0,0,1
2,27,779,325,3,92,4.5217886,0,0,1
2,27,780,326,2,59,4.0775375,1,0,1
2,27,780,327,3,43,3.7612002,0,0,1
2,27,781,328,1,70,4.248495,0,1,1
2,27,782,329,1,81,4.394449,1,1,1
2,27,783,330,1,48,3.871201,0,1,1
2,27,784,331,1,62,4.1271343,0,1,1
2,27,785,332,4,54,3.988984,0,0,1
2,27,786,333,1,80,4.3820267,0,1,1
2,27,786,334,2,45,3.8066626,1,0,1
2,27,787,335,2,43,3.7612002,0,0,0
2,27,787,336,3,50,3.912023,0,0,1
2,27,788,337,2,54,3.988984,0,0,1
2,27,789,338,1,66,4.189655,1,1,1
2,27,790,339,1,47,3.8501475,1,1,0
2,27,791,340,1,53,3.9702919,0,1,1
2,27,792,341,1,86,4.454347,0,1,1
2,27,793,342,1,76,4.3307333,1,1,1
2,27,794,343,3,83,4.4188404,1,0,1
2,27,795,344,2,84,4.4308167,1,0,1
2,27,795,345,3,75,4.317488,0,0,1
2,27,796,346,3,52,3.9512436,0,0,1
2,27,797,347,2,48,3.871201,1,0,1
2,27,797,348,3,48,3.871201,0,0,1
2,27,797,349,4,50,3.912023,1,0,1
2,27,798,350,2,66,4.189655,0,0,1
2,27,798,351,3,73,4.2904596,0,0,1
2,27,799,352,1,79,4.3694477,0,1,1
2,27,800,353,8,205,5.32301,1,0,1
2,27,800,354,9,97,4.574711,0,0,1
2,27,801,355,6,80,4.3820267,0,0,1
2,27,802,356,7,52,3.9512436,1,0,1
2,27,803,357,6,88,4.477337,1,0,1
2,27,803,358,7,109,4.691348,0,0,1
2,27,804,359,4,196,5.278115,0,0,1
2,27,805,360,3,162,5.0875964,0,0,1
2,27,806,361,3,46,3.8286414,0,0,1
2,27,806,362,4,53,3.9702919,1,0,1
2,27,807,363,4,87,4.465908,1,0,1
2,27,807,364,5,59,4.0775375,0,0,1
2,27,808,365,4,105,4.65396,1,0,1
2,27,809,366,3,67,4.204693,0,0,1
2,27,810,367,2,42,3.7376697,0,0,1
2,27,811,368,3,58,4.060443,1,0,1
2,27,811,369,4,143,4.962845,0,0,1
2,27,812,370,2,47,3.8501475,0,0,1
2,27,812,371,3,99,4.59512,0,0,1
2,27,812,372,4,140,4.9416423,1,0,0
2,27,813,373,2,65,4.1743875,0,0,1
2,27,813,374,3,68,4.2195077,1,0,0
2,27,813,375,4,75,4.317488,1,0,0
2,27,814,376,2,64,4.158883,1,0,1
2,27,814,377,3,145,4.9767337,1,0,0
2,27,815,378,3,108,4.6821313,1,0,1
2,27,815,379,4,100,4.6051702,0,0,1
2,27,816,380,2,93,4.5325994,1,0,0
2,27,817,381,2,46,3.8286414,1,0,0
2,27,817,382,3,56,4.0253515,1,0,1
2,27,818,383,5,74,4.304065,0,0,1
2,27,818,384,6,54,3.988984,0,0,1
2,27,819,385,2,59,4.0775375,1,0,0
2,27,819,386,3,114,4.7361984,1,0,1
2,27,820,387,3,50,3.912023,0,0,1
2,27,820,388,4,50,3.912023,0,0,1
2,27,821,389,1,82,4.406719,0,1,1
2,27,821,390,2,87,4.465908,0,0,1
2,27,821,391,3,193,5.26269,0,0,1
2,27,822,392,1,91,4.5108595,0,1,1
2,27,822,393,2,96,4.564348,0,0,1
2,27,822,394,3,160,5.075174,0,0,1
2,27,823,395,3,43,3.7612002,0,0,1
2,27,824,396,3,47,3.8501475,0,0,1
2,27,825,397,1,67,4.204693,1,1,1
2,27,825,398,2,94,4.543295,1,0,1
2,27,825,399,3,221,5.398163,1,0,1
2,27,826,400,1,69,4.2341065,0,1,1
2,27,826,401,3,192,5.2574954,1,0,1
2,27,827,402,1,131,4.8751974,0,1,1
2,27,827,403,2,64,4.158883,0,0,1
2,27,827,404,3,65,4.1743875,0,0,1
2,27,828,405,2,183,5.209486,1,0,1
2,27,828,406,3,60,4.0943446,0,0,1
2,27,829,407,1,33,3.4965076,0,1,1
2,27,829,408,2,52,3.9512436,0,0,1
2,27,830,409,1,59,4.0775375,1,1,1
2,27,830,410,2,91,4.5108595,0,0,1
2,27,831,411,1,73,4.2904596,1,1,1
2,27,831,412,2,46,3.8286414,1,0,1
2,27,831,413,3,93,4.5325994,0,0,1
2,27,832,414,1,98,4.5849676,1,1,1
2,27,832,415,2,98,4.5849676,1,0,0
2,27,832,416,3,89,4.4886365,0,0,0
2,27,833,417,1,82,4.406719,1,1,0
2,27,833,418,2,53,3.9702919,1,0,1
2,27,834,419,1,109,4.691348,0,1,1
2,27,835,420,1,107,4.6728287,1,1,1
2,27,835,421,2,57,4.0430512,0,0,1
2,27,836,422,1,75,4.317488,1,1,1
2,27,836,423,2,94,4.543295,0,0,1
2,27,837,424,1,85,4.4426513,0,1,1
2,27,838,425,1,49,3.8918202,0,1,1
2,27,839,426,1,67,4.204693,0,1,1
2,27,840,427,1,41,3.713572,0,1,1
2,27,841,428,1,50,3.912023,1,1,1
2,27,842,429,1,46,3.8286414,0,1,1
2,27,843,430,1,59,4.0775375,0,1,1
2,27,844,431,1,69,4.2341065,0,1,1
2,27,845,432,1,49,3.8918202,1,1,1
2,27,846,433,1,61,4.1108737,0,1,1
2,27,847,434,1,63,4.1431346,1,1,0
2,28,848,435,3,80,4.3820267,1,0,1
2,28,849,436,1,59,4.0775375,0,1,1
2,28,850,437,3,35,3.5553482,0,0,1
2,28,851,438,3,361,5.888878,1,0,1
2,28,852,439,1,111,4.7095304,1,1,1
2,28,853,440,5,84,4.4308167,0,0,1
2,28,854,441,2,230,5.4380794,0,0,1
2,28,855,442,6,54,3.988984,0,0,1
2,28,856,443,6,91,4.5108595,0,0,1
2,28,857,444,5,122,4.804021,1,0,1
2,28,858,445,4,106,4.6634393,1,0,1
2,28,858,446,5,123,4.8121843,0,0,1
2,28,858,447,6,85,4.4426513,0,0,1
2,28,859,448,6,60,4.0943446,0,0,1
2,28,859,449,7,89,4.4886365,0,0,1
2,28,860,450,3,101,4.6151204,1,0,1
2,28,860,451,4,123,4.8121843,0,0,1
2,28,861,452,6,336,5.817111,1,0,1
2,28,862,453,3,74,4.304065,1,0,1
2,28,862,454,4,121,4.7957907,1,0,1
2,28,862,455,5,55,4.0073333,0,0,1
2,28,863,456,5,101,4.6151204,0,0,1
2,28,864,457,2,50,3.912023,1,0,1
2,28,865,458,2,115,4.744932,1,0,1
2,28,865,459,3,126,4.836282,1,0,1
2,28,865,460,4,216,5.3752785,1,0,1
2,28,866,461,2,127,4.8441873,0,0,1
2,28,866,462,3,164,5.0998664,1,0,1
2,28,867,463,3,121,4.7957907,0,0,1
2,28,867,464,4,190,5.247024,0,0,1
2,28,868,465,2,47,3.8501475,0,0,1
2,28,869,466,2,56,4.0253515,1,0,1
2,28,869,467,3,139,4.934474,1,0,1
2,28,869,468,4,111,4.7095304,1,0,1
2,28,869,469,5,79,4.3694477,0,0,1
2,28,870,470,1,78,4.356709,1,1,1
2,28,870,471,2,211,5.351858,0,0,1
2,28,870,472,3,257,5.549076,1,0,1
2,28,871,473,2,64,4.158883,1,0,1
2,28,871,474,3,118,4.7706847,0,0,1
2,28,871,475,4,156,5.049856,1,0,0
2,28,872,476,2,58,4.060443,1,0,1
2,28,872,477,3,62,4.1271343,1,0,1
2,28,872,478,4,81,4.394449,1,0,1
2,28,873,479,2,118,4.7706847,1,0,1
2,28,873,480,3,44,3.7841897,1,0,1
2,28,873,481,4,135,4.905275,1,0,1
2,28,874,482,4,64,4.158883,0,0,1
2,28,875,483,1,70,4.248495,1,1,1
2,28,875,484,2,88,4.477337,0,0,1
2,28,875,485,3,50,3.912023,0,0,1
2,28,876,486,1,58,4.060443,0,1,1
2,28,876,487,2,59,4.0775375,1,0,1
2,28,877,488,1,162,5.0875964,1,1,1
2,28,877,489,2,233,5.4510384,1,0,0
2,28,878,490,1,138,4.9272537,0,1,1
2,28,878,491,2,173,5.1532917,0,0,1
2,28,879,492,1,82,4.406719,1,1,1
2,28,880,493,1,191,5.2522736,1,1,1
2,28,881,494,1,154,5.0369525,1,1,1
2,29,882,495,1,104,4.644391,0,1,1
2,29,883,496,1,161,5.081404,0,1,1
2,29,884,497,1,189,5.241747,1,1,1
2,29,885,498,1,62,4.1271343,0,1,1
2,29,886,499,3,61,4.1108737,0,0,1
2,29,886,500,4,75,4.317488,0,0,1
2,29,886,501,5,85,4.4426513,0,0,1
2,29,887,502,1,196,5.278115,1,1,1
2,29,887,503,3,30,3.4011974,1,0,1
2,29,888,504,1,39,3.6635616,0,1,1
2,29,888,505,2,35,3.5553482,0,0,1
2,29,889,506,9,36,3.583519,0,0,1
2,29,890,507,14,283,5.645447,0,0,1
2,29,890,508,16,113,4.727388,0,0,1
2,29,891,509,9,74,4.304065,1,0,1
2,29,891,510,11,65,4.1743875,0,0,1
2,29,891,511,13,40,3.6888795,0,0,1
2,29,892,512,9,67,4.204693,0,0,1
2,29,892,513,11,86,4.454347,0,0,1
2,29,893,514,4,74,4.304065,1,0,1
2,29,894,515,3,49,3.8918202,0,0,1
2,29,894,516,5,111,4.7095304,0,0,1
2,29,895,517,6,111,4.7095304,1,0,1
2,29,896,518,2,54,3.988984,0,0,1
2,29,897,519,3,73,4.2904596,0,0,1
2,29,897,520,5,83,4.4188404,0,0,1
2,29,897,521,6,44,3.7841897,0,0,1
2,29,898,522,3,56,4.0253515,0,0,1
2,29,898,523,5,44,3.7841897,1,0,1
2,29,898,524,7,79,4.3694477,1,0,1
2,29,898,525,9,116,4.75359,1,0,1
2,29,899,526,3,33,3.4965076,1,0,1
2,29,899,527,5,35,3.5553482,1,0,1
2,29,899,528,7,73,4.2904596,0,0,1
2,29,899,529,9,53,3.9702919,1,0,1
2,29,900,530,3,72,4.276666,0,0,1
2,29,900,531,5,75,4.317488,1,0,1
2,29,900,532,7,41,3.713572,0,0,1
2,29,901,533,3,39,3.6635616,0,0,1
2,29,901,534,5,87,4.465908,0,0,1
2,29,901,535,7,64,4.158883,1,0,1
2,29,902,536,1,105,4.65396,1,1,1
2,29,902,537,3,52,3.9512436,0,0,1
2,29,902,538,5,99,4.59512,1,0,1
2,29,902,539,6,51,3.9318256,0,0,1
2,29,903,540,1,39,3.6635616,1,1,1
2,29,903,541,3,82,4.406719,1,0,1
2,29,903,542,5,34,3.5263605,0,0,1
2,29,904,543,1,69,4.2341065,0,1,1
2,29,904,544,3,36,3.583519,1,0,1
2,29,904,545,4,50,3.912023,1,0,1
2,29,905,546,1,43,3.7612002,0,1,1
2,29,905,547,3,34,3.5263605,1,0,1
2,29,906,548,2,44,3.7841897,0,0,1
2,29,907,549,1,40,3.6888795,0,1,1
2,29,907,550,2,102,4.624973,0,0,1
2,29,908,551,1,47,3.8501475,1,1,1
2,29,909,552,1,57,4.0430512,0,1,1
2,29,910,553,1,95,4.553877,0,1,1
2,30,911,554,1,53,3.9702919,1,1,1
2,30,911,555,3,82,4.406719,1,0,1
2,30,912,556,1,141,4.94876,0,1,1
2,30,913,557,1,91,4.5108595,1,1,1
2,30,913,558,2,49,3.8918202,1,0,1
2,30,913,559,3,87,4.465908,0,0,1
2,30,914,560,1,72,4.276666,0,1,1
2,30,914,561,2,56,4.0253515,1,0,1
2,30,914,562,3,44,3.7841897,0,0,1
2,30,915,563,1,110,4.7004805,0,1,1
2,30,915,564,2,42,3.7376697,1,0,1
2,30,915,565,3,57,4.0430512,0,0,1
2,30,916,566,1,47,3.8501475,0,1,1
2,30,917,567,1,115,4.744932,0,1,1
2,30,918,568,1,43,3.7612002,0,1,1
2,30,918,569,2,73,4.2904596,0,0,1
2,30,918,570,3,58,4.060443,1,0,1
2,30,919,571,1,84,4.4308167,0,1,1
2,30,920,572,3,55,4.0073333,0,0,1
2,30,921,573,2,142,4.955827,0,0,1
2,30,921,574,3,118,4.7706847,0,0,1
2,30,921,575,4,79,4.3694477,1,0,1
2,30,921,576,5,51,3.9318256,0,0,1
2,30,922,577,2,102,4.624973,1,0,0
2,30,923,578,3,35,3.5553482,0,0,1
2,30,923,579,5,89,4.4886365,0,0,1
2,30,924,580,2,53,3.9702919,0,0,1
2,30,925,581,1,87,4.465908,0,1,1
2,30,925,582,2,78,4.356709,0,0,1
2,30,926,583,1,67,4.204693,1,1,1
2,30,926,584,2,51,3.9318256,1,0,1
2,30,927,585,1,42,3.7376697,1,1,1
2,30,927,586,2,42,3.7376697,1,0,1
2,30,927,587,3,106,4.6634393,0,0,1
