dur,event,undgrad,phdmed,phdprest,art1,art2,art3,art4,art5,art6,art7,art8,art9,art10,cit1,cit2,cit3,cit4,cit5,cit6,cit7,cit8,cit9,cit10,prest1,prest2,jobtime,id
4,1,4.0,1,1.76,6,7,7,10,,,,,,,62,67,67,78,,,,,,,2.88,2.88,,67
10,1,7.0,0,4.25,4,4,4,4,6,6,6,7,8,11,73,73,73,73,84,84,84,90,92,106,4.48,1.95,10,68
6,1,7.0,1,2.58,4,4,5,6,7,8,,,,,24,24,28,42,55,80,,,,,2.5,2.5,,69
6,1,6.0,1,2.83,1,1,1,1,2,3,,,,,9,9,9,9,25,56,,,,,3.36,3.04,6,70
3,1,6.0,1,3.4,18,21,23,,,,,,,,344,381,400,,,,,,,,4.64,3.36,3,71
6,1,5.0,0,2.86,0,0,0,2,3,3,,,,,0,0,0,6,12,12,,,,,3.2,3.2,,72
9,1,7.0,0,4.62,0,1,1,1,1,1,1,2,3,,0,20,20,20,20,20,20,22,28,,3.04,3.04,,73
8,1,4.0,0,2.86,3,4,4,5,7,7,8,8,,,31,47,47,50,52,52,56,56,,,1.4,2.39,4,74
7,0,7.0,1,3.69,1,4,6,6,6,7,7,,,,20,27,47,47,47,73,73,,,,3.52,3.52,,75
4,1,3.0,1,3.92,3,3,4,5,,,,,,,10,10,10,14,,,,,,,3.52,3.52,,76
5,1,6.0,1,2.87,5,16,17,18,19,,,,,,17,181,196,278,312,,,,,,3.84,2.88,5,77
3,0,4.0,1,2.54,3,3,4,,,,,,,,22,22,30,,,,,,,,2.88,2.88,,78
9,0,3.0,1,2.83,4,5,6,6,6,7,8,8,8,,26,26,31,31,31,43,46,46,46,,3.04,3.68,4,79
9,0,4.0,1,4.62,6,8,9,15,20,20,32,44,49,,133,149,157,216,294,294,496,724,864,,2.52,2.52,,80
9,1,5.0,1,3.4,4,5,9,10,10,12,13,15,15,,17,24,38,59,59,67,69,75,75,,3.52,2.52,5,81
7,0,6.0,1,3.54,2,2,2,2,2,2,2,,,,37,37,37,37,37,37,37,,,,2.15,2.15,,82
4,1,2.0,1,1.51,4,5,6,6,,,,,,,8,11,13,13,,,,,,,2.88,2.88,,83
8,1,5.0,0,2.0,1,1,5,8,10,12,14,16,,,6,6,11,19,21,29,34,39,,,1.74,2.39,3,84
6,0,4.0,1,1.68,1,1,1,3,6,9,,,,,7,7,7,18,23,31,,,,,1.9,1.9,,85
5,1,7.0,1,4.62,11,12,14,20,28,,,,,,166,185,236,306,428,,,,,,4.64,3.52,5,86
10,1,1.0,1,1.68,5,5,5,11,14,16,18,18,18,18,14,14,14,57,120,176,194,194,194,194,2.11,2.11,,87
5,1,7.0,1,2.83,4,5,5,8,8,,,,,,18,18,18,94,94,,,,,,1.53,1.37,3,88
6,1,7.0,0,4.14,2,5,7,7,10,11,,,,,16,32,36,36,51,55,,,,,4.32,3.52,6,89
7,1,7.0,0,4.14,1,1,3,3,5,7,8,,,,20,20,29,29,35,83,83,,,,3.68,3.68,,90
7,0,4.95,1,4.62,2,2,2,2,2,5,5,,,,28,28,28,28,28,84,84,,,,2.52,2.52,,91
3,1,6.0,1,3.36,0,1,1,,,,,,,,0,10,10,,,,,,,,2.88,1.5,3,92
5,1,4.0,0,4.54,2,2,2,3,3,,,,,,11,11,11,11,11,,,,,,1.65,1.65,,93
5,1,6.0,1,2.54,1,1,5,7,7,,,,,,0,0,7,8,8,,,,,,1.91,1.47,5,94
5,1,5.0,0,2.0,2,2,3,3,4,,,,,,9,9,15,15,36,,,,,,2.56,3.2,4,95
4,1,7.0,0,4.54,10,10,10,12,,,,,,,59,59,59,66,,,,,,,2.45,2.56,2,96
4,1,4.95,0,4.54,4,6,6,8,,,,,,,13,38,38,44,,,,,,,1.94,1.94,,97
3,1,6.0,0,1.42,3,3,5,,,,,,,,1,1,5,,,,,,,,1.75,1.75,,98
7,1,7.0,1,4.62,3,7,7,7,7,7,8,,,,28,77,77,77,77,77,82,,,,1.68,1.68,,99
2,0,4.0,1,2.96,0,1,,,,,,,,,0,5,,,,,,,,,2.88,2.88,,100
8,1,6.0,1,3.47,1,2,2,3,4,6,8,9,,,1,1,1,11,11,16,21,23,,,2.88,2.88,,101
10,0,4.0,1,4.29,2,2,2,2,2,4,6,8,8,8,6,6,6,6,6,6,8,19,19,19,2.21,2.21,,102
7,1,4.0,1,2.61,0,1,2,3,3,3,3,,,,0,2,3,7,7,7,7,,,,1.22,1.94,7,103
6,1,4.0,0,2.76,6,8,9,13,13,17,,,,,29,31,40,61,61,83,,,,,3.2,1.47,6,104
6,1,6.0,1,4.29,2,3,3,4,5,6,,,,,1,1,1,1,6,9,,,,,2.1,2.1,,105
5,0,5.0,1,2.1,1,3,3,4,4,,,,,,3,12,12,18,18,,,,,,1.63,1.63,,106
7,1,4.95,1,3.62,3,3,5,10,14,23,31,,,,3,3,14,26,45,93,149,,,,3.04,3.04,,107
6,1,4.0,1,3.59,5,6,6,8,8,8,,,,,14,16,16,29,29,29,,,,,3.68,3.2,6,108
8,1,7.0,1,3.41,4,8,14,16,21,22,23,23,,,29,95,146,208,329,340,366,366,,,2.11,2.88,6,109
3,1,5.0,1,3.59,10,11,13,,,,,,,,84,98,101,,,,,,,,3.36,3.36,,110
4,1,7.0,0,4.29,2,3,6,7,,,,,,,3,3,9,11,,,,,,,3.36,3.36,,111
6,1,6.0,1,2.15,4,6,8,8,10,11,,,,,12,22,27,27,29,30,,,,,3.04,3.04,,112
5,1,5.0,1,4.29,4,4,4,5,6,,,,,,19,19,19,31,37,,,,,,2.1,2.1,,113
8,1,6.0,1,4.29,4,4,4,4,7,8,9,13,,,3,3,3,3,21,21,23,55,,,1.94,1.94,,114
8,0,4.95,1,4.29,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,2.72,2.72,,115
10,0,6.0,1,4.29,5,6,8,11,13,15,17,17,20,23,23,23,27,32,35,39,45,45,67,97,3.36,3.36,,116
7,1,6.0,0,3.62,5,6,7,8,10,11,13,,,,23,38,42,49,60,62,74,,,,2.56,2.18,7,117
6,1,7.0,0,2.61,3,6,11,13,20,29,,,,,54,100,137,149,178,222,,,,,3.68,3.68,,118
5,1,5.0,1,2.5,3,5,5,7,7,,,,,,8,16,16,23,23,,,,,,2.72,3.2,5,119
4,1,5.0,1,4.29,0,0,1,2,,,,,,,0,0,7,10,,,,,,,1.9,3.36,4,120
7,1,6.0,1,2.14,0,0,1,3,4,6,7,,,,0,0,5,33,46,90,164,,,,1.96,1.96,,121
9,0,5.0,0,4.29,2,2,3,3,9,11,17,19,26,,26,26,35,35,70,78,95,113,152,,2.56,2.56,,122
3,0,7.0,0,3.41,5,6,8,,,,,,,,65,101,139,,,,,,,,3.52,1.0,3,123
4,0,5.0,1,4.29,5,7,7,7,,,,,,,30,31,31,31,,,,,,,3.36,3.36,,124
6,1,3.0,0,4.29,0,0,0,1,2,4,,,,,0,0,0,4,5,7,,,,,1.5,1.5,,125
6,0,5.0,1,2.36,1,1,1,2,4,5,,,,,2,2,2,5,8,8,,,,,2.72,2.72,,126
5,1,5.0,1,2.76,5,5,5,6,7,,,,,,80,80,80,95,104,,,,,,3.2,3.2,,127
3,1,5.0,0,4.29,0,0,0,,,,,,,,0,0,0,,,,,,,,2.72,3.36,3,128
5,1,4.95,1,4.29,0,0,1,2,4,,,,,,0,0,1,5,27,,,,,,2.72,3.36,5,129
3,0,4.0,0,2.05,1,1,1,,,,,,,,0,0,0,,,,,,,,1.32,1.0,3,130
8,1,3.0,1,4.29,0,1,3,4,6,8,10,10,,,0,2,18,21,45,53,58,58,,,2.56,2.56,,131
2,0,3.0,0,3.59,12,15,,,,,,,,,333,375,,,,,,,,,3.84,1.0,2,132
10,0,4.0,0,4.29,5,5,7,8,9,11,11,11,11,12,24,24,28,40,44,57,57,57,57,72,2.5,2.5,,133
5,1,5.0,0,4.29,5,9,13,17,25,,,,,,78,99,127,159,185,,,,,,3.04,3.04,,134
5,1,5.0,1,3.41,12,12,14,14,15,,,,,,420,420,566,566,579,,,,,,3.36,3.36,,135
7,1,6.0,1,3.59,0,0,0,0,1,2,2,,,,0,0,0,0,9,12,12,,,,3.04,3.04,,136
10,1,7.0,1,2.26,1,1,2,2,2,2,2,2,2,3,1,1,3,3,3,3,3,3,3,3,3.68,3.68,,137
6,0,4.0,0,4.47,0,1,1,4,5,6,,,,,0,3,3,14,14,14,,,,,3.36,3.36,,138
5,1,5.0,1,3.19,2,2,2,2,2,,,,,,13,13,13,13,13,,,,,,1.56,1.56,,139
4,1,4.0,1,3.47,6,7,7,10,,,,,,,14,16,16,19,,,,,,,3.36,3.36,,140
3,1,5.0,1,4.29,5,5,5,,,,,,,,9,9,9,,,,,,,,2.02,2.02,,141
6,1,4.0,0,2.1,1,1,2,2,4,6,,,,,0,0,0,0,3,6,,,,,3.52,3.52,,142
7,1,6.0,0,3.59,3,3,4,4,6,8,9,,,,8,8,8,8,12,19,22,,,,3.04,3.68,7,143
4,1,5.0,0,4.29,0,1,1,6,,,,,,,0,5,5,23,,,,,,,3.84,3.84,,144
4,1,3.0,1,1.81,3,4,4,7,,,,,,,15,18,18,54,,,,,,,1.94,1.94,,145
6,1,6.0,1,3.59,6,8,11,15,18,20,,,,,80,89,140,255,389,424,,,,,3.36,3.36,,146
4,0,4.0,0,4.29,10,12,14,14,,,,,,,95,100,101,101,,,,,,,1.63,1.63,,147
10,0,6.0,1,2.1,2,2,2,2,2,3,3,3,5,6,7,7,7,7,7,14,14,14,26,30,2.37,2.37,,148
4,1,7.0,0,4.29,7,8,8,11,,,,,,,196,209,209,262,,,,,,,3.84,3.84,,149
10,0,3.0,1,2.51,4,5,6,7,10,13,18,22,27,29,8,8,13,14,39,62,86,100,134,141,1.96,1.96,,150
3,1,5.0,0,3.15,9,12,13,,,,,,,,179,188,205,,,,,,,,3.2,3.2,,151
4,1,4.0,0,3.15,5,5,6,9,,,,,,,34,34,35,44,,,,,,,1.9,1.9,,152
5,0,7.0,1,4.62,3,3,3,7,8,,,,,,105,105,105,120,131,,,,,,2.23,2.23,,153
5,1,5.0,1,1.86,1,1,2,3,4,,,,,,5,5,6,7,7,,,,,,1.53,1.53,,154
6,1,3.0,1,2.56,4,5,5,6,6,7,,,,,31,40,40,41,41,45,,,,,0.65,0.65,,155
3,1,7.0,1,4.25,4,5,6,,,,,,,,72,78,82,,,,,,,,2.56,2.56,,156
3,1,3.0,1,2.96,21,27,36,,,,,,,,105,126,173,,,,,,,,2.56,2.56,,157
5,1,5.0,1,3.54,6,7,10,11,11,,,,,,68,71,84,84,84,,,,,,1.9,1.9,,158
5,1,7.0,0,2.96,3,6,7,9,10,,,,,,34,56,74,94,99,,,,,,1.86,1.86,,159
6,1,4.0,1,4.54,5,6,7,9,9,11,,,,,59,61,80,114,114,150,,,,,2.3,2.3,,160
2,1,4.95,1,2.83,7,8,,,,,,,,,18,18,,,,,,,,,3.2,3.2,,161
6,1,4.0,1,2.39,2,2,3,3,6,6,,,,,6,6,9,9,13,13,,,,,1.53,1.53,,162
5,1,4.95,0,3.69,2,2,3,5,6,,,,,,20,20,25,48,57,,,,,,4.0,4.0,,163
7,1,4.0,1,3.4,1,1,1,1,1,1,1,,,,20,20,20,20,20,20,20,,,,3.52,3.52,,164
9,1,6.0,1,1.97,7,8,9,10,12,14,15,16,17,,35,47,48,61,67,95,130,160,218,,3.52,3.52,,165
6,1,7.0,1,3.36,4,4,5,6,7,8,,,,,36,36,38,41,45,45,,,,,2.02,2.02,,166
6,1,7.0,1,2.83,5,5,5,6,6,8,,,,,32,32,32,32,32,43,,,,,2.72,2.72,,167
5,1,4.0,0,4.54,3,3,4,6,10,,,,,,70,70,72,86,117,,,,,,2.88,2.88,,168
5,1,4.0,0,4.62,1,2,4,4,4,,,,,,5,13,32,32,32,,,,,,2.09,1.99,3,169
6,1,5.0,1,2.5,7,9,10,11,12,15,,,,,37,43,49,53,56,62,,,,,1.48,1.48,,170
9,1,3.0,1,2.58,6,9,9,9,11,13,14,17,21,,66,66,66,66,73,91,103,154,233,,2.11,2.11,,171
7,1,4.0,0,1.72,8,11,13,13,13,14,16,,,,61,76,91,91,91,92,104,,,,1.84,1.84,,172
4,1,7.0,1,3.69,3,3,4,6,,,,,,,123,123,138,182,,,,,,,2.3,2.3,,173
10,0,5.0,1,3.92,8,9,9,9,10,10,10,10,10,10,125,126,126,126,126,126,126,126,126,126,2.56,2.56,,174
6,0,4.0,0,1.22,0,1,1,3,7,7,,,,,0,2,2,4,7,7,,,,,1.44,1.0,6,175
4,0,4.95,1,1.68,0,0,0,0,,,,,,,0,0,0,0,,,,,,,1.1,1.0,4,176
6,0,3.0,0,2.96,0,1,1,1,1,1,,,,,0,0,0,0,0,0,,,,,1.4,1.4,,177
7,1,5.0,1,2.96,2,3,3,3,3,9,10,,,,6,24,24,24,24,49,50,,,,2.4,2.4,,178
6,1,5.0,1,3.15,8,8,10,10,10,11,,,,,59,59,66,66,66,86,,,,,1.7,1.7,,179
4,1,4.0,1,2.51,4,7,8,8,,,,,,,89,149,165,165,,,,,,,3.84,1.37,3,180
5,1,4.95,1,4.54,15,15,17,20,22,,,,,,103,103,121,221,238,,,,,,2.36,2.36,,181
6,0,4.0,0,4.54,5,5,5,5,5,5,,,,,27,27,27,27,27,27,,,,,3.04,3.04,,182
5,1,5.0,0,2.96,1,3,4,5,5,,,,,,1,3,17,17,17,,,,,,2.24,2.24,,183
9,0,3.0,1,1.42,0,0,0,0,0,1,1,3,4,,0,0,0,0,0,2,2,4,6,,1.84,1.84,,184
7,1,5.0,0,3.09,7,8,9,11,14,18,22,,,,35,36,39,47,59,70,74,,,,2.24,2.24,,185
10,0,5.0,1,2.54,11,11,13,13,15,16,17,17,18,18,187,187,199,199,199,244,245,245,245,245,1.47,1.47,,186
4,1,4.0,1,4.14,0,0,6,7,,,,,,,0,0,26,26,,,,,,,3.2,3.2,,187
3,0,5.0,1,2.21,2,2,2,,,,,,,,18,18,18,,,,,,,,2.49,2.49,,188
4,0,4.0,1,2.0,1,1,2,4,,,,,,,1,1,19,35,,,,,,,2.56,2.56,,189
3,0,1.0,1,1.18,0,0,0,,,,,,,,0,0,0,,,,,,,,1.5,1.5,,190
3,0,7.0,1,3.69,4,7,7,,,,,,,,100,143,143,,,,,,,,3.36,3.36,,191
6,1,6.0,1,2.21,8,8,8,10,11,11,,,,,173,173,173,186,190,190,,,,,2.4,2.56,6,192
2,0,7.0,0,3.36,1,1,,,,,,,,,1,1,,,,,,,,,2.52,2.52,,193
3,1,7.0,1,3.4,6,7,7,,,,,,,,35,45,45,,,,,,,,2.56,2.56,,194
4,1,4.0,1,2.86,10,13,16,16,,,,,,,38,40,46,46,,,,,,,1.48,1.48,,195
7,1,5.0,1,2.2,0,0,0,0,2,2,2,,,,0,0,0,0,1,1,1,,,,2.15,2.15,,196
6,1,4.95,0,2.54,12,14,14,15,22,25,,,,,154,175,175,180,238,257,,,,,3.52,3.52,,197
7,0,7.0,0,4.25,8,9,9,10,10,12,14,,,,263,267,267,268,268,287,313,,,,2.88,1.0,7,198
2,0,7.0,1,1.76,4,4,,,,,,,,,40,40,,,,,,,,,1.94,1.94,,199
7,1,4.95,1,3.69,5,6,9,10,11,12,16,,,,30,35,68,76,83,117,169,,,,3.36,3.36,,200
5,1,4.95,1,2.51,2,3,5,9,10,,,,,,17,22,37,64,77,,,,,,3.84,3.84,,201
7,1,2.0,1,1.68,3,3,5,5,6,6,6,,,,6,6,11,11,13,13,13,,,,1.8,1.8,,202
4,1,7.0,0,2.83,5,6,6,7,,,,,,,59,79,79,91,,,,,,,3.36,3.36,,203
5,1,4.95,0,4.54,7,8,9,11,12,,,,,,73,80,97,113,113,,,,,,2.88,2.88,,204
4,0,4.0,0,2.87,4,4,5,6,,,,,,,39,39,44,50,,,,,,,2.22,2.22,,205
7,1,5.0,0,3.4,4,4,4,5,7,10,13,,,,42,42,42,56,68,94,108,,,,3.52,3.52,,206
5,0,4.95,1,2.56,1,5,11,17,23,,,,,,22,47,89,155,187,,,,,,2.72,2.72,,207
4,1,5.0,0,2.96,2,2,2,3,,,,,,,0,0,0,4,,,,,,,3.04,3.04,,208
7,1,5.0,0,4.54,1,1,2,3,4,6,7,,,,5,5,13,22,31,40,41,,,,2.47,2.47,,209
6,1,6.0,1,0.92,0,1,1,1,3,5,,,,,0,22,22,22,25,62,,,,,0.98,2.24,3,210
3,1,4.0,0,2.96,8,10,13,,,,,,,,23,25,29,,,,,,,,1.82,1.82,,211
5,1,6.0,1,3.54,3,3,5,6,6,,,,,,11,11,27,30,30,,,,,,1.94,1.94,,212
6,1,7.0,0,3.69,4,4,5,7,8,8,,,,,48,48,49,68,76,76,,,,,3.68,1.58,6,213
6,1,7.0,1,4.62,8,9,10,10,12,16,,,,,60,60,61,61,72,102,,,,,4.64,4.64,,214
7,1,6.0,1,3.15,4,5,7,7,9,10,10,,,,58,71,82,82,90,94,94,,,,3.2,3.2,,215
3,1,7.0,1,4.62,8,12,16,,,,,,,,45,183,227,,,,,,,,3.52,3.52,,216
1,0,4.0,0,2.96,10,,,,,,,,,,165,,,,,,,,,,3.52,3.52,,217
4,1,5.0,1,4.25,4,5,8,12,,,,,,,46,70,96,129,,,,,,,3.52,3.52,,218
5,0,4.0,1,1.97,2,2,2,2,2,,,,,,3,3,3,3,3,,,,,,3.52,3.52,,219
10,0,4.95,1,2.51,0,0,0,0,1,1,2,3,4,4,0,0,0,0,0,0,1,2,9,9,2.1,2.1,,220
2,0,5.0,0,2.96,0,0,,,,,,,,,0,0,,,,,,,,,3.2,3.2,,221
6,1,4.95,1,2.39,3,4,5,5,5,5,,,,,10,12,20,20,20,20,,,,,3.36,1.4,6,222
7,1,5.0,0,3.09,5,6,6,7,8,9,10,,,,44,53,53,60,63,66,71,,,,2.56,2.56,,223
7,1,4.0,0,2.55,1,5,5,5,5,7,8,,,,7,54,54,54,54,65,72,,,,1.88,1.88,,224
10,0,7.0,0,4.14,1,1,1,1,2,4,6,6,6,7,1,1,1,1,5,6,10,10,10,10,3.04,1.4,9,225
4,1,4.95,0,2.86,10,14,18,21,,,,,,,16,20,23,69,,,,,,,2.52,2.72,2,226
10,0,5.0,1,2.32,1,1,2,2,2,2,3,3,3,5,4,4,4,4,4,4,6,6,6,26,3.04,3.04,,227
3,0,4.0,0,1.52,0,0,3,,,,,,,,0,0,2,,,,,,,,1.3,1.3,,228
6,1,3.0,0,2.55,2,4,7,9,9,11,,,,,2,4,28,37,37,39,,,,,1.32,1.32,,229
5,1,6.0,1,4.62,4,7,7,7,7,,,,,,20,40,40,40,40,,,,,,2.52,2.52,,230
5,0,4.0,0,3.19,3,3,3,3,3,,,,,,31,31,31,31,31,,,,,,2.56,1.0,5,231
5,0,5.0,0,4.29,0,0,0,3,3,,,,,,0,0,0,20,20,,,,,,1.94,1.94,,232
10,0,1.0,0,2.76,2,2,3,3,4,6,6,8,8,11,2,2,3,3,3,6,6,7,7,16,2.72,2.18,4,233
10,0,5.0,1,2.12,1,1,2,2,2,2,2,2,2,2,4,4,7,7,7,7,7,7,7,7,4.0,1.84,3,234
4,1,7.0,1,4.34,3,6,10,12,,,,,,,16,26,66,80,,,,,,,2.12,2.12,,235
7,0,5.0,0,4.29,2,2,3,4,5,7,8,,,,2,2,2,3,3,5,7,,,,1.84,1.84,,236
8,1,3.0,1,4.29,4,4,5,6,10,13,17,18,,,21,21,24,35,44,52,72,77,,,3.36,3.36,,237
10,0,1.0,1,2.61,2,3,3,3,4,4,5,5,5,5,11,14,14,14,19,19,23,23,23,23,2.88,2.88,,238
5,1,6.0,1,3.47,3,3,6,7,11,,,,,,27,27,70,101,124,,,,,,3.2,3.2,,239
6,1,6.0,1,2.5,3,6,8,10,11,12,,,,,2,11,15,20,21,21,,,,,1.9,1.9,,240
5,1,4.95,1,1.81,3,3,4,4,6,,,,,,21,21,37,37,58,,,,,,1.94,1.94,,241
6,1,5.0,0,4.29,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,2.72,2.72,,242
