stops,pop,arrests,precinct,eth,crime,totp,prblack,prhisp
96,56304,806,3,3,4,62029,0.03372616,0.05856938
203,5699,93,4,1,1,44189,0.12896875,0.57681775
116,5699,33,4,1,2,44189,0.12896875,0.57681775
24,5699,41,4,1,3,44189,0.12896875,0.57681775
42,5699,304,4,1,4,44189,0.12896875,0.57681775
328,25489,212,4,2,1,44189,0.12896875,0.57681775
324,25489,65,4,2,2,44189,0.12896875,0.57681775
88,25489,59,4,2,3,44189,0.12896875,0.57681775
157,25489,560,4,2,4,44189,0.12896875,0.57681775
26,13001,42,4,3,1,44189,0.12896875,0.57681775
27,13001,27,4,3,2,44189,0.12896875,0.57681775
30,13001,17,4,3,3,44189,0.12896875,0.57681775
46,13001,360,4,3,4,44189,0.12896875,0.57681775
112,6265,256,5,1,1,61910,0.10119528,0.33873364
260,6265,96,5,1,2,61910,0.10119528,0.33873364
63,6265,299,5,1,3,61910,0.10119528,0.33873364
82,6265,1068,5,1,4,61910,0.10119528,0.33873364
170,20971,328,5,2,1,61910,0.10119528,0.33873364
377,20971,157,5,2,2,61910,0.10119528,0.33873364
47,20971,171,5,2,3,61910,0.10119528,0.33873364
218,20971,1259,5,2,4,61910,0.10119528,0.33873364
88,34674,194,5,3,1,61910,0.10119528,0.33873364
66,34674,43,5,3,2,61910,0.10119528,0.33873364
35,34674,400,5,3,3,61910,0.10119528,0.33873364
82,34674,1087,5,3,4,61910,0.10119528,0.33873364
182,2105,225,6,1,1,23367,0.09008431,0.26147985
178,2105,75,6,1,2,23367,0.09008431,0.26147985
87,2105,201,6,1,3,23367,0.09008431,0.26147985
188,2105,307,6,1,4,23367,0.09008431,0.26147985
90,6110,167,6,2,1,23367,0.09008431,0.26147985
125,6110,73,6,2,2,23367,0.09008431,0.26147985
78,6110,117,6,2,3,23367,0.09008431,0.26147985
152,6110,214,6,2,4,23367,0.09008431,0.26147985
37,15152,134,6,3,1,23367,0.09008431,0.26147985
54,15152,35,6,3,2,23367,0.09008431,0.26147985
48,15152,89,6,3,3,23367,0.09008431,0.26147985
78,15152,130,6,3,4,23367,0.09008431,0.26147985
143,6054,240,7,1,1,86165,0.07026055,0.105321184
70,6054,74,7,1,2,86165,0.07026055,0.105321184
35,6054,543,7,1,3,86165,0.07026055,0.105321184
53,6054,189,7,1,4,86165,0.07026055,0.105321184
34,9075,134,7,2,1,86165,0.07026055,0.105321184
61,9075,45,7,2,2,86165,0.07026055,0.105321184
28,9075,264,7,2,3,86165,0.07026055,0.105321184
38,9075,127,7,2,4,86165,0.07026055,0.105321184
48,71036,174,7,3,1,86165,0.07026055,0.105321184
46,71036,67,7,3,2,86165,0.07026055,0.105321184
30,71036,210,7,3,3,86165,0.07026055,0.105321184
63,71036,233,7,3,4,86165,0.07026055,0.105321184
294,3060,586,8,1,1,24450,0.12515338,0.21137014
452,3060,215,8,1,2,24450,0.12515338,0.21137014
74,3060,2270,8,1,3,24450,0.12515338,0.21137014
105,3060,2596,8,1,4,24450,0.12515338,0.21137014
143,5168,345,8,2,1,24450,0.12515338,0.21137014
192,5168,168,8,2,2,24450,0.12515338,0.21137014
62,5168,1393,8,2,3,24450,0.12515338,0.21137014
38,5168,644,8,2,4,24450,0.12515338,0.21137014
38,16222,218,8,3,1,24450,0.12515338,0.21137014
98,16222,66,8,3,2,24450,0.12515338,0.21137014
53,16222,660,8,3,3,24450,0.12515338,0.21137014
23,16222,547,8,3,4,24450,0.12515338,0.21137014
37,1747,86,9,1,1,68615,0.025460904,0.05711579
58,1747,42,9,1,2,68615,0.025460904,0.05711579
34,1747,120,9,1,3,68615,0.025460904,0.05711579
15,1747,72,9,1,4,68615,0.025460904,0.05711579
49,3919,83,9,2,1,68615,0.025460904,0.05711579
25,3919,25,9,2,2,68615,0.025460904,0.05711579
9,3919,67,9,2,3,68615,0.025460904,0.05711579
8,3919,37,9,2,4,68615,0.025460904,0.05711579
10,62949,106,9,3,1,68615,0.025460904,0.05711579
26,62949,31,9,3,2,68615,0.025460904,0.05711579
8,62949,75,9,3,3,68615,0.025460904,0.05711579
6,62949,35,9,3,4,68615,0.025460904,0.05711579
233,3104,312,10,1,1,40028,0.07754572,0.20752972
206,3104,98,10,1,2,40028,0.07754572,0.20752972
75,3104,543,10,1,3,40028,0.07754572,0.20752972
46,3104,514,10,1,4,40028,0.07754572,0.20752972
124,8307,212,10,2,1,40028,0.07754572,0.20752972
228,8307,66,10,2,2,40028,0.07754572,0.20752972
58,8307,320,10,2,3,40028,0.07754572,0.20752972
43,8307,365,10,2,4,40028,0.07754572,0.20752972
60,28617,193,10,3,1,40028,0.07754572,0.20752972
53,28617,47,10,3,2,40028,0.07754572,0.20752972
22,28617,332,10,3,3,40028,0.07754572,0.20752972
8,28617,317,10,3,4,40028,0.07754572,0.20752972
261,6613,212,11,1,1,202268,0.032694247,0.055915914
77,6613,53,11,1,2,202268,0.032694247,0.055915914
44,6613,390,11,1,3,202268,0.032694247,0.055915914
5,6613,84,11,1,4,202268,0.032694247,0.055915914
129,11310,166,11,2,1,202268,0.032694247,0.055915914
44,11310,61,11,2,2,202268,0.032694247,0.055915914
44,11310,230,11,2,3,202268,0.032694247,0.055915914
22,11310,48,11,2,4,202268,0.032694247,0.055915914
57,184345,348,11,3,1,202268,0.032694247,0.055915914
12,184345,62,11,3,2,202268,0.032694247,0.055915914
136,184345,239,11,3,3,202268,0.032694247,0.055915914
7,184345,81,11,3,4,202268,0.032694247,0.055915914
230,5209,168,12,1,1,94128,0.055339538,0.09729305
58,5209,30,12,1,2,94128,0.055339538,0.09729305
61,5209,229,12,1,3,94128,0.055339538,0.09729305
49,5209,161,12,1,4,94128,0.055339538,0.09729305
85,9158,84,12,2,1,94128,0.055339538,0.09729305
36,9158,31,12,2,2,94128,0.055339538,0.09729305
110,9158,153,12,2,3,94128,0.055339538,0.09729305
38,9158,49,12,2,4,94128,0.055339538,0.09729305
25,79761,89,12,3,1,94128,0.055339538,0.09729305
27,79761,28,12,3,2,94128,0.055339538,0.09729305
32,79761,152,12,3,3,94128,0.055339538,0.09729305
133,79761,42,12,3,4,94128,0.055339538,0.09729305
297,21822,441,13,1,1,65692,0.33218658,0.5728399
624,21822,151,13,1,2,65692,0.33218658,0.5728399
54,21822,151,13,1,3,65692,0.33218658,0.5728399
81,21822,668,13,1,4,65692,0.33218658,0.5728399
233,37631,446,13,2,1,65692,0.33218658,0.5728399
654,37631,147,13,2,2,65692,0.33218658,0.5728399
69,37631,195,13,2,3,65692,0.33218658,0.5728399
123,37631,696,13,2,4,65692,0.33218658,0.5728399
17,6239,41,13,3,1,65692,0.33218658,0.5728399
31,6239,6,13,3,2,65692,0.33218658,0.5728399
14,6239,19,13,3,3,65692,0.33218658,0.5728399
18,6239,172,13,3,4,65692,0.33218658,0.5728399
243,17774,269,14,1,1,109401,0.16246653,0.26894635
103,17774,97,14,1,2,109401,0.16246653,0.26894635
72,17774,273,14,1,3,109401,0.16246653,0.26894635
60,17774,653,14,1,4,109401,0.16246653,0.26894635
186,29423,282,14,2,1,109401,0.16246653,0.26894635
270,29423,105,14,2,2,109401,0.16246653,0.26894635
65,29423,131,14,2,3,109401,0.16246653,0.26894635
67,29423,501,14,2,4,109401,0.16246653,0.26894635
55,62204,64,14,3,1,109401,0.16246653,0.26894635
21,62204,31,14,3,2,109401,0.16246653,0.26894635
12,62204,64,14,3,3,109401,0.16246653,0.26894635
11,62204,117,14,3,4,109401,0.16246653,0.26894635
263,23191,461,15,1,1,42514,0.5454909,0.41492215
684,23191,246,15,1,2,42514,0.5454909,0.41492215
190,23191,248,15,1,3,42514,0.5454909,0.41492215
228,23191,1045,15,1,4,42514,0.5454909,0.41492215
166,17640,256,15,2,1,42514,0.5454909,0.41492215
463,17640,97,15,2,2,42514,0.5454909,0.41492215
67,17640,69,15,2,3,42514,0.5454909,0.41492215
163,17640,676,15,2,4,42514,0.5454909,0.41492215
8,1683,24,15,3,1,42514,0.5454909,0.41492215
74,1683,9,15,3,2,42514,0.5454909,0.41492215
21,1683,10,15,3,3,42514,0.5454909,0.41492215
46,1683,218,15,3,4,42514,0.5454909,0.41492215
333,14072,333,16,1,1,42708,0.3294933,0.21405825
178,14072,172,16,1,2,42708,0.3294933,0.21405825
54,14072,178,16,1,3,42708,0.3294933,0.21405825
94,14072,598,16,1,4,42708,0.3294933,0.21405825
61,9142,106,16,2,1,42708,0.3294933,0.21405825
133,9142,35,16,2,2,42708,0.3294933,0.21405825
10,9142,32,16,2,3,42708,0.3294933,0.21405825
65,9142,198,16,2,4,42708,0.3294933,0.21405825
13,19494,34,16,3,1,42708,0.3294933,0.21405825
13,19494,13,16,3,2,42708,0.3294933,0.21405825
6,19494,13,16,3,3,42708,0.3294933,0.21405825
5,19494,46,16,3,4,42708,0.3294933,0.21405825
223,29510,905,17,1,1,34942,0.8445424,0.13050197
446,29510,440,17,1,2,34942,0.8445424,0.13050197
52,29510,542,17,1,3,34942,0.8445424,0.13050197
104,29510,1640,17,1,4,34942,0.8445424,0.13050197
11,4560,115,17,2,1,34942,0.8445424,0.13050197
48,4560,30,17,2,2,34942,0.8445424,0.13050197
7,4560,53,17,2,3,34942,0.8445424,0.13050197
9,4560,145,17,2,4,34942,0.8445424,0.13050197
1,872,11,17,3,1,34942,0.8445424,0.13050197
36,872,4,17,3,2,34942,0.8445424,0.13050197
2,872,28,17,3,3,34942,0.8445424,0.13050197
7,872,67,17,3,4,34942,0.8445424,0.13050197
239,28599,612,18,1,1,59127,0.48368767,0.48874456
710,28599,301,18,1,2,59127,0.48368767,0.48874456
92,28599,1535,18,1,3,59127,0.48368767,0.48874456
85,28599,2655,18,1,4,59127,0.48368767,0.48874456
110,28898,377,18,2,1,59127,0.48368767,0.48874456
823,28898,233,18,2,2,59127,0.48368767,0.48874456
79,28898,459,18,2,3,59127,0.48368767,0.48874456
106,28898,1704,18,2,4,59127,0.48368767,0.48874456
5,1630,24,18,3,1,59127,0.48368767,0.48874456
61,1630,25,18,3,2,59127,0.48368767,0.48874456
18,1630,112,18,3,3,59127,0.48368767,0.48874456
31,1630,305,18,3,4,59127,0.48368767,0.48874456
271,57509,1018,19,1,1,63030,0.9124068,0.08039029
705,57509,501,19,1,2,63030,0.9124068,0.08039029
48,57509,366,19,1,3,63030,0.9124068,0.08039029
139,57509,1612,19,1,4,63030,0.9124068,0.08039029
22,5067,47,19,2,1,63030,0.9124068,0.08039029
86,5067,49,19,2,2,63030,0.9124068,0.08039029
8,5067,39,19,2,3,63030,0.9124068,0.08039029
8,5067,107,19,2,4,63030,0.9124068,0.08039029
5,454,11,19,3,1,63030,0.9124068,0.08039029
19,454,13,19,3,2,63030,0.9124068,0.08039029
0,454,12,19,3,3,63030,0.9124068,0.08039029
0,454,27,19,3,4,63030,0.9124068,0.08039029
131,15833,183,20,1,1,81823,0.19350305,0.7112548
237,15833,98,20,1,2,81823,0.19350305,0.7112548
31,15833,511,20,1,3,81823,0.19350305,0.7112548
71,15833,1210,20,1,4,81823,0.19350305,0.7112548
152,58197,592,20,2,1,81823,0.19350305,0.7112548
553,58197,277,20,2,2,81823,0.19350305,0.7112548
87,58197,501,20,2,3,81823,0.19350305,0.7112548
171,58197,1910,20,2,4,81823,0.19350305,0.7112548
14,7793,57,20,3,1,81823,0.19350305,0.7112548
72,7793,47,20,3,2,81823,0.19350305,0.7112548
8,7793,417,20,3,3,81823,0.19350305,0.7112548
39,7793,1242,20,3,4,81823,0.19350305,0.7112548
98,6963,123,21,1,1,110497,0.06301528,0.67028064
73,6963,59,21,1,2,110497,0.06301528,0.67028064
28,6963,126,21,1,3,110497,0.06301528,0.67028064
44,6963,557,21,1,4,110497,0.06301528,0.67028064
370,74064,652,21,2,1,110497,0.06301528,0.67028064
475,74064,264,21,2,2,110497,0.06301528,0.67028064
164,74064,402,21,2,3,110497,0.06301528,0.67028064
258,74064,1448,21,2,4,110497,0.06301528,0.67028064
33,29470,58,21,3,1,110497,0.06301528,0.67028064
41,29470,22,21,3,2,110497,0.06301528,0.67028064
6,29470,72,21,3,3,110497,0.06301528,0.67028064
23,29470,740,21,3,4,110497,0.06301528,0.67028064
533,24373,450,22,1,1,76126,0.32016656,0.65955126
992,24373,174,22,1,2,76126,0.32016656,0.65955126
118,24373,189,22,1,3,76126,0.32016656,0.65955126
194,24373,1057,22,1,4,76126,0.32016656,0.65955126
473,50209,552,22,2,1,76126,0.32016656,0.65955126
1170,50209,226,22,2,2,76126,0.32016656,0.65955126
172,50209,251,22,2,3,76126,0.32016656,0.65955126
314,50209,1664,22,2,4,76126,0.32016656,0.65955126
3,1544,65,22,3,1,76126,0.32016656,0.65955126
29,1544,12,22,3,2,76126,0.32016656,0.65955126
15,1544,35,22,3,3,76126,0.32016656,0.65955126
17,1544,154,22,3,4,76126,0.32016656,0.65955126
180,8726,385,23,1,1,40824,0.21374682,0.7690084
488,8726,211,23,1,2,40824,0.21374682,0.7690084
86,8726,310,23,1,3,40824,0.21374682,0.7690084
86,8726,692,23,1,4,40824,0.21374682,0.7690084
206,31394,454,23,2,1,40824,0.21374682,0.7690084
727,31394,323,23,2,2,40824,0.21374682,0.7690084
192,31394,489,23,2,3,40824,0.21374682,0.7690084
230,31394,1653,23,2,4,40824,0.21374682,0.7690084
19,704,35,23,3,1,40824,0.21374682,0.7690084
61,704,15,23,3,2,40824,0.21374682,0.7690084
17,704,236,23,3,3,40824,0.21374682,0.7690084
42,704,534,23,3,4,40824,0.21374682,0.7690084
370,31753,483,24,1,1,56130,0.56570464,0.42593977
1031,31753,280,24,1,2,56130,0.56570464,0.42593977
129,31753,179,24,1,3,56130,0.56570464,0.42593977
201,31753,686,24,1,4,56130,0.56570464,0.42593977
129,23908,289,24,2,1,56130,0.56570464,0.42593977
587,23908,140,24,2,2,56130,0.56570464,0.42593977
91,23908,146,24,2,3,56130,0.56570464,0.42593977
66,23908,504,24,2,4,56130,0.56570464,0.42593977
5,469,34,24,3,1,56130,0.56570464,0.42593977
7,469,12,24,3,2,56130,0.56570464,0.42593977
6,469,18,24,3,3,56130,0.56570464,0.42593977
0,469,34,24,3,4,56130,0.56570464,0.42593977
697,53765,756,25,1,1,159959,0.3361174,0.54328924
905,53765,243,25,1,2,159959,0.3361174,0.54328924
84,53765,470,25,1,3,159959,0.3361174,0.54328924
256,53765,1250,25,1,4,159959,0.3361174,0.54328924
358,86904,635,25,2,1,159959,0.3361174,0.54328924
883,86904,285,25,2,2,159959,0.3361174,0.54328924
159,86904,606,25,2,3,159959,0.3361174,0.54328924
266,86904,1327,25,2,4,159959,0.3361174,0.54328924
3,19290,81,25,3,1,159959,0.3361174,0.54328924
29,19290,36,25,3,2,159959,0.3361174,0.54328924
20,19290,82,25,3,3,159959,0.3361174,0.54328924
25,19290,209,25,3,4,159959,0.3361174,0.54328924
185,49265,1082,26,1,1,115748,0.4256229,0.54824275
558,49265,507,26,1,2,115748,0.4256229,0.54824275
98,49265,450,26,1,3,115748,0.4256229,0.54824275
45,49265,1708,26,1,4,115748,0.4256229,0.54824275
92,63458,883,26,2,1,115748,0.4256229,0.54824275
358,63458,562,26,2,2,115748,0.4256229,0.54824275
139,63458,400,26,2,3,115748,0.4256229,0.54824275
47,63458,1329,26,2,4,115748,0.4256229,0.54824275
3,3025,43,26,3,1,115748,0.4256229,0.54824275
10,3025,22,26,3,2,115748,0.4256229,0.54824275
6,3025,48,26,3,3,115748,0.4256229,0.54824275
0,3025,97,26,3,4,115748,0.4256229,0.54824275
237,17685,179,27,1,1,96931,0.18244937,0.13683961
250,17685,75,27,1,2,96931,0.18244937,0.13683961
171,17685,154,27,1,3,96931,0.18244937,0.13683961
53,17685,73,27,1,4,96931,0.18244937,0.13683961
172,13264,172,27,2,1,96931,0.18244937,0.13683961
195,13264,72,27,2,2,96931,0.18244937,0.13683961
208,13264,130,27,2,3,96931,0.18244937,0.13683961
66,13264,48,27,2,4,96931,0.18244937,0.13683961
128,65982,243,27,3,1,96931,0.18244937,0.13683961
106,65982,58,27,3,2,96931,0.18244937,0.13683961
337,65982,95,27,3,3,96931,0.18244937,0.13683961
82,65982,43,27,3,4,96931,0.18244937,0.13683961
110,46669,931,28,1,1,118419,0.3941006,0.58246565
222,46669,335,28,1,2,118419,0.3941006,0.58246565
19,46669,588,28,1,3,118419,0.3941006,0.58246565
63,46669,1612,28,1,4,118419,0.3941006,0.58246565
119,68975,898,28,2,1,118419,0.3941006,0.58246565
235,68975,432,28,2,2,118419,0.3941006,0.58246565
31,68975,502,28,2,3,118419,0.3941006,0.58246565
94,68975,2135,28,2,4,118419,0.3941006,0.58246565
0,2775,52,28,3,1,118419,0.3941006,0.58246565
7,2775,25,28,3,2,118419,0.3941006,0.58246565
0,2775,57,28,3,3,118419,0.3941006,0.58246565
2,2775,204,28,3,4,118419,0.3941006,0.58246565
615,76262,901,29,1,1,122445,0.6228266,0.18193474
1283,76262,458,29,1,2,122445,0.6228266,0.18193474
317,76262,283,29,1,3,122445,0.6228266,0.18193474
177,76262,1325,29,1,4,122445,0.6228266,0.18193474
117,22277,169,29,2,1,122445,0.6228266,0.18193474
191,22277,39,29,2,2,122445,0.6228266,0.18193474
53,22277,89,29,2,3,122445,0.6228266,0.18193474
29,22277,204,29,2,4,122445,0.6228266,0.18193474
9,23906,85,29,3,1,122445,0.6228266,0.18193474
38,23906,58,29,3,2,122445,0.6228266,0.18193474
51,23906,45,29,3,3,122445,0.6228266,0.18193474
8,23906,193,29,3,4,122445,0.6228266,0.18193474
279,17125,598,30,1,1,65259,0.26241592,0.58546716
468,17125,158,30,1,2,65259,0.26241592,0.58546716
103,17125,399,30,1,3,65259,0.26241592,0.58546716
96,17125,844,30,1,4,65259,0.26241592,0.58546716
222,38207,738,30,2,1,65259,0.26241592,0.58546716
669,38207,267,30,2,2,65259,0.26241592,0.58546716
105,38207,536,30,2,3,65259,0.26241592,0.58546716
130,38207,1226,30,2,4,65259,0.26241592,0.58546716
20,9927,55,30,3,1,65259,0.26241592,0.58546716
36,9927,17,30,3,2,65259,0.26241592,0.58546716
10,9927,98,30,3,3,65259,0.26241592,0.58546716
19,9927,246,30,3,4,65259,0.26241592,0.58546716
150,14356,220,31,1,1,98765,0.14535514,0.2411178
260,14356,114,31,1,2,98765,0.14535514,0.2411178
113,14356,79,31,1,3,98765,0.14535514,0.2411178
108,14356,84,31,1,4,98765,0.14535514,0.2411178
195,23814,247,31,2,1,98765,0.14535514,0.2411178
250,23814,113,31,2,2,98765,0.14535514,0.2411178
142,23814,94,31,2,3,98765,0.14535514,0.2411178
194,23814,158,31,2,4,98765,0.14535514,0.2411178
79,60595,161,31,3,1,98765,0.14535514,0.2411178
118,60595,90,31,3,2,98765,0.14535514,0.2411178
132,60595,72,31,3,3,98765,0.14535514,0.2411178
64,60595,75,31,3,4,98765,0.14535514,0.2411178
130,11593,144,32,1,1,91945,0.12608625,0.25292295
75,11593,48,32,1,2,91945,0.12608625,0.25292295
100,11593,115,32,1,3,91945,0.12608625,0.25292295
40,11593,82,32,1,4,91945,0.12608625,0.25292295
166,23255,179,32,2,1,91945,0.12608625,0.25292295
132,23255,45,32,2,2,91945,0.12608625,0.25292295
155,23255,130,32,2,3,91945,0.12608625,0.25292295
118,23255,136,32,2,4,91945,0.12608625,0.25292295
19,57097,96,32,3,1,91945,0.12608625,0.25292295
20,57097,6,32,3,2,91945,0.12608625,0.25292295
54,57097,66,32,3,3,91945,0.12608625,0.25292295
32,57097,59,32,3,4,91945,0.12608625,0.25292295
306,23281,398,33,1,1,116526,0.19979233,0.53435284
485,23281,217,33,1,2,116526,0.19979233,0.53435284
208,23281,319,33,1,3,116526,0.19979233,0.53435284
66,23281,646,33,1,4,116526,0.19979233,0.53435284
407,62266,633,33,2,1,116526,0.19979233,0.53435284
805,62266,287,33,2,2,116526,0.19979233,0.53435284
320,62266,337,33,2,3,116526,0.19979233,0.53435284
160,62266,834,33,2,4,116526,0.19979233,0.53435284
42,30979,99,33,3,1,116526,0.19979233,0.53435284
73,30979,40,33,3,2,116526,0.19979233,0.53435284
81,30979,99,33,3,3,116526,0.19979233,0.53435284
13,30979,209,33,3,4,116526,0.19979233,0.53435284
526,21349,361,34,1,1,99223,0.2151618,0.15897524
678,21349,177,34,1,2,99223,0.2151618,0.15897524
179,21349,123,34,1,3,99223,0.2151618,0.15897524
136,21349,483,34,1,4,99223,0.2151618,0.15897524
184,15774,244,34,2,1,99223,0.2151618,0.15897524
356,15774,106,34,2,2,99223,0.2151618,0.15897524
137,15774,106,34,2,3,99223,0.2151618,0.15897524
68,15774,308,34,2,4,99223,0.2151618,0.15897524
98,62100,285,34,3,1,99223,0.2151618,0.15897524
110,62100,92,34,3,2,99223,0.2151618,0.15897524
243,62100,142,34,3,3,99223,0.2151618,0.15897524
95,62100,282,34,3,4,99223,0.2151618,0.15897524
75,3070,108,35,1,1,128972,0.023803616,0.062556215
69,3070,39,35,1,2,128972,0.023803616,0.062556215
51,3070,76,35,1,3,128972,0.023803616,0.062556215
12,3070,112,35,1,4,128972,0.023803616,0.062556215
17,8068,49,35,2,1,128972,0.023803616,0.062556215
41,8068,29,35,2,2,128972,0.023803616,0.062556215
42,8068,40,35,2,3,128972,0.023803616,0.062556215
19,8068,51,35,2,4,128972,0.023803616,0.062556215
58,117834,329,35,3,1,128972,0.023803616,0.062556215
149,117834,95,35,3,2,128972,0.023803616,0.062556215
144,117834,236,35,3,3,128972,0.023803616,0.062556215
47,117834,385,35,3,4,128972,0.023803616,0.062556215
55,854,58,36,1,1,132790,0.006431207,0.0852022
19,854,8,36,1,2,132790,0.006431207,0.0852022
34,854,44,36,1,3,132790,0.006431207,0.0852022
10,854,7,36,1,4,132790,0.006431207,0.0852022
85,11314,86,36,2,1,132790,0.006431207,0.0852022
77,11314,26,36,2,2,132790,0.006431207,0.0852022
102,11314,98,36,2,3,132790,0.006431207,0.0852022
34,11314,49,36,2,4,132790,0.006431207,0.0852022
211,120622,393,36,3,1,132790,0.006431207,0.0852022
167,120622,112,36,3,2,132790,0.006431207,0.0852022
300,120622,209,36,3,3,132790,0.006431207,0.0852022
95,120622,136,36,3,4,132790,0.006431207,0.0852022
252,20160,211,37,1,1,93594,0.21539842,0.056916043
316,20160,88,37,1,2,93594,0.21539842,0.056916043
157,20160,317,37,1,3,93594,0.21539842,0.056916043
8,20160,45,37,1,4,93594,0.21539842,0.056916043
18,5327,36,37,2,1,93594,0.21539842,0.056916043
21,5327,8,37,2,2,93594,0.21539842,0.056916043
19,5327,34,37,2,3,93594,0.21539842,0.056916043
0,5327,12,37,2,4,93594,0.21539842,0.056916043
35,68107,131,37,3,1,93594,0.21539842,0.056916043
66,68107,45,37,3,2,93594,0.21539842,0.056916043
84,68107,81,37,3,3,93594,0.21539842,0.056916043
21,68107,70,37,3,4,93594,0.21539842,0.056916043
133,4924,94,38,1,1,139253,0.0353601,0.12928985
33,4924,24,38,1,2,139253,0.0353601,0.12928985
145,4924,95,38,1,3,139253,0.0353601,0.12928985
10,4924,48,38,1,4,139253,0.0353601,0.12928985
295,18004,214,38,2,1,139253,0.0353601,0.12928985
79,18004,103,38,2,2,139253,0.0353601,0.12928985
395,18004,121,38,2,3,139253,0.0353601,0.12928985
55,18004,209,38,2,4,139253,0.0353601,0.12928985
107,116325,165,38,3,1,139253,0.0353601,0.12928985
72,116325,59,38,3,2,139253,0.0353601,0.12928985
448,116325,130,38,3,3,139253,0.0353601,0.12928985
36,116325,126,38,3,4,139253,0.0353601,0.12928985
529,144170,2042,39,1,1,160441,0.8985858,0.06431648
1315,144170,839,39,1,2,160441,0.8985858,0.06431648
279,144170,618,39,1,3,160441,0.8985858,0.06431648
248,144170,2149,39,1,4,160441,0.8985858,0.06431648
8,10319,55,39,2,1,160441,0.8985858,0.06431648
26,10319,17,39,2,2,160441,0.8985858,0.06431648
15,10319,18,39,2,3,160441,0.8985858,0.06431648
4,10319,96,39,2,4,160441,0.8985858,0.06431648
1,5952,31,39,3,1,160441,0.8985858,0.06431648
13,5952,12,39,3,2,160441,0.8985858,0.06431648
11,5952,17,39,3,3,160441,0.8985858,0.06431648
15,5952,79,39,3,4,160441,0.8985858,0.06431648
15,1248,30,40,1,1,100595,0.012406183,0.07843332
6,1248,4,40,1,2,100595,0.012406183,0.07843332
38,1248,41,40,1,3,100595,0.012406183,0.07843332
1,1248,5,40,1,4,100595,0.012406183,0.07843332
139,7890,79,40,2,1,100595,0.012406183,0.07843332
60,7890,36,40,2,2,100595,0.012406183,0.07843332
140,7890,71,40,2,3,100595,0.012406183,0.07843332
15,7890,64,40,2,4,100595,0.012406183,0.07843332
147,91457,316,40,3,1,100595,0.012406183,0.07843332
62,91457,91,40,3,2,100595,0.012406183,0.07843332
199,91457,100,40,3,3,100595,0.012406183,0.07843332
37,91457,108,40,3,4,100595,0.012406183,0.07843332
397,11447,435,41,1,1,58194,0.19670413,0.08921882
682,11447,173,41,1,2,58194,0.19670413,0.08921882
413,11447,154,41,1,3,58194,0.19670413,0.08921882
62,11447,211,41,1,4,58194,0.19670413,0.08921882
46,5192,39,41,2,1,58194,0.19670413,0.08921882
58,5192,18,41,2,2,58194,0.19670413,0.08921882
68,5192,6,41,2,3,58194,0.19670413,0.08921882
6,5192,15,41,2,4,58194,0.19670413,0.08921882
12,41555,71,41,3,1,58194,0.19670413,0.08921882
23,41555,26,41,3,2,58194,0.19670413,0.08921882
191,41555,25,41,3,3,58194,0.19670413,0.08921882
21,41555,41,41,3,4,58194,0.19670413,0.08921882
551,71994,848,42,1,1,152515,0.47204536,0.1418549
979,71994,404,42,1,2,152515,0.47204536,0.1418549
367,71994,445,42,1,3,152515,0.47204536,0.1418549
282,71994,1036,42,1,4,152515,0.47204536,0.1418549
97,21635,147,42,2,1,152515,0.47204536,0.1418549
