nation,region,county,deaths,expected,const,uv
4,25,84,11,16.107,1,-1.7997
4,25,85,8,14.536,1,-0.1498
4,25,86,16,27.318,1,-1.2866
4,25,87,3,10.988,1,-0.7599
4,27,89,9,24.309,1,0.556
4,27,90,13,12.305,1,1.5737
4,27,91,8,11.309,1,2.3619
4,27,92,3,6.614,1,0.2315
4,28,93,12,21.7029,1,-1.6795
4,28,94,42,59.658,1,-2.1093
4,29,95,77,110.18,1,-0.7146
4,29,96,15,39.0169,1,-0.6373
4,29,97,40,55.986,1,-0.6373
4,29,98,16,47.549,1,-0.4819
4,29,99,34,73.008,1,-0.5598
4,29,100,30,68.653,1,-0.7916
4,29,101,41,61.691,1,-0.7146
4,29,102,18,43.2799,1,-0.9447
4,30,103,5,13.526,1,4.9606
4,30,104,16,24.9669,1,6.4726
4,30,105,18,32.234,1,6.8973
4,30,106,2,3.893,1,3.8485
4,30,107,11,14.999,1,7.4113
4,31,108,5,12.176,1,2.3668
4,31,109,9,7.43,1,1.7567
4,31,110,11,17.697,1,2.0165
4,32,111,14,37.07,1,-1.1375
4,32,112,7,10.434,1,-1.2866
4,32,113,28,52.611,1,-1.4346
4,32,114,10,20.114,1,-0.836
4,33,115,5,7.086,1,4.9606
4,33,116,7,14.022,1,4.1319
4,33,117,13,38.879,1,4.6719
4,33,118,7,9.045,1,4.0649
4,33,119,5,7.619,1,3.2342
4,33,120,9,11.514,1,5.4555
4,33,121,3,17.152,1,4.2907
4,33,122,7,9.279,1,3.693
4,34,123,63,127.379,1,-2.6671
4,34,124,35,71.2149,1,-2.5983
4,35,125,25,46.6059,1,0.546
4,35,126,17,31.93,1,0.8774
4,35,127,6,13.1,1,-0.375
4,35,128,12,24.968,1,0.2517
4,35,129,14,22.656,1,1.3832
4,36,130,9,27.546,1,-1.7997
4,36,131,8,31.518,1,-1.9671
4,36,132,10,27.393,1,-2.0155
4,37,133,12,17.1089,1,2.1037
4,37,134,19,25.061,1,2.1911
4,37,135,9,17.264,1,1.3294
4,37,136,4,18.202,1,1.4143
4,38,137,3,5.811,1,5.949
4,38,138,1,5.021,1,5.5376
4,38,139,22,39.851,1,6.7371
4,38,140,44,82.774,1,6.5751
4,38,141,17,31.927,1,7.6517
4,38,142,11,20.07,1,5.5807
4,39,143,12,19.569,1,2.0421
4,39,144,10,13.0,1,4.9771
4,39,145,14,18.246,1,5.077
4,39,146,22,44.3569,1,3.0487
4,39,147,22,37.924,1,2.3947
4,39,148,50,72.6869,1,2.2178
4,39,149,5,15.791,1,2.9576
4,39,150,18,23.312,1,2.4166
5,40,151,20,22.275,1,-4.1278
5,40,152,27,25.771,1,-4.1117
5,40,153,28,22.983,1,-3.5871
5,41,154,31,34.16,1,-5.349
5,41,155,32,31.839,1,-4.5569
5,41,156,16,20.391,1,-4.5581
5,41,157,28,19.7619,1,-4.1686
5,41,158,35,37.16,1,-4.5581
5,42,159,31,43.8629,1,-5.8745
5,42,160,9,21.638,1,-5.7101
5,42,161,18,17.792,1,-5.7463
5,42,162,23,23.259,1,-5.7101
5,42,163,11,11.074,1,-6.0027
5,43,164,65,100.349,1,-4.8949
5,43,165,52,57.973,1,-4.8358
5,43,166,34,34.959,1,-4.7168
5,43,167,43,50.9399,1,-4.845
5,44,168,313,258.859,1,-3.4478
5,44,169,27,19.326,1,-3.9394
5,44,170,24,25.9939,1,-3.5556
5,44,171,20,20.354,1,-3.7487
5,44,172,36,23.072,1,-2.494
5,44,173,74,54.3909,1,-3.3243
5,44,174,65,56.8989,1,-2.9639
5,44,175,45,35.991,1,-3.7487
5,44,176,10,4.183,1,-2.1284
5,44,177,69,54.576,1,-2.8121
5,44,178,29,21.622,1,-3.7487
5,44,179,53,37.761,1,-3.0985
5,44,180,39,23.0259,1,-2.2713
5,45,181,33,34.5589,1,-3.3399
5,45,182,28,15.505,1,-2.3696
5,45,183,47,35.685,1,-2.5787
5,45,184,27,21.468,1,-2.4239
5,45,185,22,18.778,1,-3.7487
5,45,186,21,15.633,1,-2.9639
5,45,187,21,20.084,1,-3.2739
5,46,188,97,104.3,1,-4.5987
5,46,189,27,23.268,1,-3.9394
5,46,190,15,13.895,1,-4.5569
5,46,191,26,38.2659,1,-4.7772
5,46,192,12,17.95,1,-4.4179
5,47,193,47,49.7179,1,-5.2817
5,47,194,63,78.1279,1,-5.3949
5,47,195,38,31.921,1,-5.2609
5,47,196,31,25.1959,1,-5.4875
5,48,197,13,14.35,1,-4.5581
5,48,198,17,12.173,1,-3.6662
5,48,199,15,16.632,1,-3.4712
5,48,200,11,8.487,1,-4.1992
5,48,201,19,20.365,1,-3.513
5,48,202,4,4.116,1,-4.4784
5,48,203,11,14.492,1,-3.3399
5,48,204,15,13.68,1,-3.5779
5,49,205,8,7.207,1,-7.5623
5,49,206,23,17.322,1,-7.1104
5,49,207,19,15.02,1,-6.7138
5,49,208,13,12.891,1,-6.5611
5,49,209,28,27.885,1,-6.3218
5,49,210,1,3.725,1,-6.456
5,49,211,7,10.387,1,-6.8106
5,49,212,74,91.539,1,-6.4214
5,49,213,3,5.425,1,-6.0713
5,49,214,2,0.69,1,-8.1163
5,49,215,0,0.81,1,-8.9002
5,49,216,0,1.137,1,-7.7158
5,50,217,16,21.333,1,-5.8011
5,50,218,10,11.689,1,-5.8943
5,50,219,4,8.604,1,-5.451
5,50,220,4,7.776,1,-5.6191
6,51,221,9,9.498,1,6.1548
6,51,222,6,8.586,1,5.8535
6,51,223,9,9.007,1,6.0541
6,51,224,8,11.587,1,6.2558
6,52,225,6,13.32,1,9.1951
6,52,226,5,6.53,1,9.1951
6,53,227,10,23.039,1,10.38
6,53,228,9,23.648,1,10.832
6,53,229,5,18.9109,1,11.54
6,54,230,10,23.02,1,8.0301
6,54,231,4,9.343,1,8.0301
6,54,232,31,91.023,1,8.2438
6,54,233,4,14.02,1,8.2438
6,54,234,13,31.947,1,8.4584
6,55,235,11,9.031,1,2.1828
6,55,236,18,12.623,1,3.5676
6,55,237,9,12.86,1,3.7546
6,55,238,19,18.353,1,3.1433
6,55,239,31,29.354,1,3.3254
6,55,240,10,12.17,1,3.0526
6,55,241,16,11.409,1,3.4169
6,55,242,20,18.7509,1,3.6007
6,56,243,22,16.622,1,1.9864
6,56,244,9,4.56,1,2.0737
6,56,245,17,9.043,1,2.6858
6,56,246,8,8.452,1,2.0737
6,57,247,8,8.476,1,5.3026
6,57,248,4,4.628,1,5.3026
6,57,249,109,114.889,1,7.5343
6,57,250,12,13.44,1,7.961
6,57,251,9,14.459,1,7.8539
6,58,252,4,7.19,1,6.7371
6,58,253,10,9.584,1,4.4435
6,58,254,36,33.443,1,4.3472
6,58,255,13,7.682,1,4.7941
6,59,256,23,24.339,1,1.5821
6,59,257,24,23.7339,1,1.4973
6,59,258,4,5.577,1,1.2448
6,59,259,128,126.519,1,1.8379
6,59,260,15,27.8279,1,1.6671
6,59,261,12,31.7509,1,1.7524
6,59,262,16,16.452,1,2.0962
6,59,263,9,10.499,1,3.3818
6,59,264,13,11.984,1,3.2893
6,60,265,8,10.451,1,3.8784
6,60,266,13,13.384,1,4.3196
6,60,267,8,9.18,1,4.6044
6,60,268,6,11.04,1,5.6539
6,61,269,6,7.471,1,8.1386
6,61,270,2,2.997,1,8.0307
6,62,271,88,75.414,1,2.7823
6,62,272,14,12.566,1,2.6035
6,62,273,21,15.924,1,1.8379
6,62,274,13,17.599,1,3.4169
6,62,275,8,6.967,1,3.0526
6,62,276,25,15.076,1,2.9622
6,63,277,15,21.753,1,8.5727
6,63,278,22,45.473,1,8.7536
6,63,279,12,17.7649,1,9.4174
6,63,280,8,12.285,1,9.3061
6,63,281,9,23.4559,1,9.5289
6,64,282,11,13.59,1,9.5634
6,64,283,2,8.831,1,10.203
6,64,284,15,22.905,1,10.38
6,64,285,1,5.02,1,9.7085
6,65,286,6,13.423,1,13.104
6,65,287,20,37.2879,1,12.983
6,65,288,11,21.167,1,11.312
6,65,289,9,15.452,1,12.769
6,65,290,5,9.413,1,12.652
6,65,291,2,6.551,1,12.535
6,65,292,11,31.489,1,12.652
6,65,293,4,8.516,1,13.359
6,65,294,12,12.52,1,13.122
6,66,295,5,6.445,1,4.7941
6,66,296,8,12.059,1,4.9901
6,66,297,8,8.275,1,5.4666
6,66,298,44,37.2589,1,5.5673
6,66,299,6,10.894,1,5.2862
6,66,300,14,12.16,1,5.0885
6,66,301,9,9.964,1,5.8711
6,66,302,5,8.214,1,6.0751
6,66,303,11,7.16,1,6.6938
6,67,304,13,13.623,1,1.2744
6,67,305,15,13.922,1,1.614
6,68,306,9,18.2169,1,4.6307
6,68,307,12,7.25,1,5.1093
6,69,308,6,3.685,1,2.2492
6,70,309,19,24.068,1,1.8379
6,70,310,19,22.534,1,2.4836
6,70,311,10,7.001,1,1.8994
6,70,312,22,22.193,1,2.3947
6,70,313,29,26.4629,1,2.5727
6,70,314,35,25.282,1,2.6622
6,70,315,8,8.019,1,2.7823
7,71,316,1,5.604,1,-5.322
7,71,317,0,0.964,1,-5.9527
7,71,318,3,3.789,1,-5.6017
7,71,319,0,1.847,1,-5.4906
7,71,320,2,1.805,1,-5.9527
7,72,321,0,1.277,1,-4.6169
7,72,322,21,30.641,1,-4.7764
7,72,323,4,3.269,1,-4.7168
7,72,324,1,2.309,1,-4.5569
7,72,325,0,1.701,1,-4.9944
7,72,326,2,1.04,1,-5.2993
7,72,327,2,2.794,1,-5.6963
7,72,328,2,3.024,1,-5.2423
7,72,329,0,1.933,1,-5.1101
7,72,330,1,1.984,1,-5.185
7,72,331,2,3.17,1,-3.8836
7,72,332,1,2.718,1,-4.5968
7,73,333,1,2.845,1,-4.7772
7,73,334,7,12.902,1,-4.1911
7,73,335,3,4.032,1,-4.4179
7,73,336,5,5.144,1,-4.5987
7,73,337,1,4.461,1,-4.5569
7,73,338,3,2.843,1,-4.314
7,74,339,1,1.835,1,-5.751
7,74,340,3,4.064,1,-5.9293
7,74,341,1,1.698,1,-5.8596
8,75,342,2,2.353,1,-2.3466
8,75,343,2,3.427,1,-2.3678
8,75,344,19,16.5529,1,-2.2769
9,76,345,14,17.68,1,-4.972
9,76,346,26,18.495,1,-4.8547
9,76,347,11,13.456,1,-4.7363
9,77,348,34,32.5779,1,-4.1278
9,77,349,62,53.824,1,-3.8761
9,78,350,32,28.011,1,-3.9394
9,78,351,107,74.903,1,-4.2127
9,78,352,150,97.6399,1,-4.1911
9,78,353,15,11.01,1,-3.8761
9,79,354,64,65.7699,1,-3.6846
9,79,355,31,34.471,1,-3.6436
