y,price,contract,local,known,tod,seasonal,experiment,id
0,0,0,0,0,1,0,35,3
0,0,5,1,0,0,1,35,3
0,9,5,0,1,0,0,35,3
0,0,0,0,0,1,0,36,3
0,0,1,0,1,0,1,36,3
1,7,5,0,0,0,0,36,3
0,9,0,0,0,0,0,36,3
0,9,0,0,0,0,0,37,4
1,0,0,0,1,0,1,37,4
0,0,1,1,0,1,0,37,4
0,7,5,0,1,0,0,37,4
0,0,0,0,0,1,0,38,4
0,7,5,0,0,0,0,38,4
1,0,0,1,0,0,1,38,4
0,9,1,0,1,0,0,38,4
1,0,1,0,0,1,0,39,4
0,9,5,0,1,0,0,39,4
0,0,5,0,1,0,1,39,4
0,7,0,0,0,0,0,39,4
0,9,0,1,0,0,0,40,4
0,7,5,0,0,0,0,40,4
1,0,1,0,1,0,1,40,4
0,0,1,0,0,1,0,40,4
0,0,0,1,0,1,0,41,4
0,7,1,0,0,0,0,41,4
0,9,5,0,1,0,0,41,4
1,0,5,0,1,0,1,41,4
0,9,5,0,1,0,0,42,4
0,0,0,0,0,0,1,42,4
0,7,1,0,0,0,0,42,4
1,0,0,1,0,1,0,42,4
1,7,0,0,0,0,0,43,4
0,0,0,0,1,1,0,43,4
0,0,5,0,1,0,1,43,4
0,9,1,0,0,0,0,43,4
0,7,5,1,0,0,0,44,4
0,0,1,0,0,0,1,44,4
0,0,5,0,0,1,0,44,4
1,9,0,0,1,0,0,44,4
1,0,0,0,1,0,1,45,4
0,0,1,0,0,1,0,45,4
0,9,0,0,1,0,0,45,4
0,7,5,1,0,0,0,45,4
0,0,5,0,0,0,1,46,4
0,0,1,0,0,1,0,46,4
0,9,5,1,0,0,0,46,4
1,7,0,0,1,0,0,46,4
0,9,5,0,1,0,0,47,4
0,0,0,0,1,1,0,47,4
0,0,5,1,0,0,1,47,4
1,7,1,0,0,0,0,47,4
0,9,1,0,1,0,0,48,4
1,7,0,1,0,0,0,48,4
0,0,5,0,1,1,0,48,4
0,0,0,0,0,0,1,48,4
1,7,5,0,1,0,0,49,5
0,9,1,1,0,0,0,49,5
0,0,0,0,0,0,1,49,5
0,0,5,0,1,1,0,49,5
1,7,0,0,1,0,0,50,5
0,9,5,0,1,0,0,50,5
0,0,1,1,0,1,0,50,5
0,0,5,0,0,0,1,50,5
0,9,5,0,0,0,0,51,5
1,7,1,0,1,0,0,51,5
0,0,0,0,1,1,0,51,5
0,0,0,1,0,0,1,51,5
0,0,1,0,1,0,1,52,5
0,9,1,0,0,0,0,52,5
1,7,0,1,0,0,0,52,5
0,0,5,0,1,1,0,52,5
0,0,0,1,0,1,0,53,5
0,9,1,0,1,0,0,53,5
0,0,0,0,0,0,1,53,5
1,7,5,0,1,0,0,53,5
0,0,0,0,0,0,1,54,5
0,9,0,0,0,0,0,54,5
0,0,1,1,0,1,0,54,5
1,7,5,0,1,0,0,54,5
0,0,5,0,1,0,1,55,5
0,9,0,0,0,0,0,55,5
0,0,1,0,0,1,0,55,5
1,7,5,1,0,0,0,55,5
0,9,0,0,1,0,0,56,5
1,7,1,0,0,0,0,56,5
0,0,1,1,0,0,1,56,5
0,0,5,0,0,1,0,56,5
0,0,5,0,1,0,1,57,5
0,0,5,0,0,1,0,57,5
0,9,0,0,1,0,0,57,5
1,7,1,0,0,0,0,57,5
0,0,1,0,1,0,1,58,5
0,0,5,1,0,1,0,58,5
1,7,0,0,0,0,0,58,5
0,9,0,0,1,0,0,58,5
0,9,5,0,1,0,0,59,5
0,0,0,0,1,1,0,59,5
0,0,5,1,0,0,1,59,5
1,7,1,0,0,0,0,59,5
0,0,1,0,1,1,0,60,5
1,7,5,0,0,0,0,60,5
0,9,5,1,0,0,0,60,5
0,0,0,0,1,0,1,60,5
1,7,5,1,0,0,0,61,6
0,0,1,0,1,0,1,61,6
0,0,0,0,0,1,0,61,6
0,9,0,0,0,0,0,61,6
0,0,5,0,1,1,0,62,6
0,0,5,0,0,0,1,62,6
1,9,1,1,0,0,0,62,6
0,7,0,0,1,0,0,62,6
0,0,1,0,0,0,1,63,6
0,7,0,0,0,0,0,63,6
1,9,0,1,0,0,0,63,6
0,0,5,0,1,1,0,63,6
1,9,1,1,0,0,0,64,6
0,7,1,0,1,0,0,64,6
0,0,0,0,1,1,0,64,6
0,0,5,0,0,0,1,64,6
0,0,5,0,0,1,0,65,6
1,7,0,1,0,0,0,65,6
0,0,1,0,1,0,1,65,6
0,9,0,0,0,0,0,65,6
0,0,5,1,0,0,1,66,6
1,7,1,0,1,0,0,66,6
0,0,0,0,0,1,0,66,6
0,9,1,0,0,0,0,66,6
0,7,1,0,0,0,0,67,6
1,9,0,0,1,0,0,67,6
0,0,5,0,0,1,0,67,6
0,0,1,1,0,0,1,67,6
1,9,0,0,1,0,0,68,6
0,7,0,0,0,0,0,68,6
0,0,1,0,1,0,1,68,6
0,0,5,1,0,1,0,68,6
0,0,0,1,0,0,1,69,6
0,0,1,0,0,1,0,69,6
0,9,1,0,0,0,0,69,6
1,9,5,0,1,0,0,69,6
1,9,0,0,1,0,0,70,6
0,7,5,0,0,0,0,70,6
0,0,1,1,0,0,1,70,6
0,0,0,0,0,1,0,70,6
0,0,1,0,1,0,1,71,6
0,9,0,0,1,0,0,71,6
0,0,0,0,0,1,0,71,6
1,7,5,1,0,0,0,71,6
0,0,5,0,1,0,1,72,6
1,9,0,0,1,0,0,72,6
0,7,1,0,0,0,0,72,6
0,0,0,0,0,1,0,72,6
0,9,5,0,0,0,0,73,7
0,0,0,0,1,0,1,73,7
0,0,1,1,0,1,0,73,7
1,7,5,0,1,0,0,73,7
0,0,0,0,1,0,1,74,7
0,0,5,0,0,1,0,74,7
0,9,5,0,0,0,0,74,7
1,7,1,0,1,0,0,74,7
0,0,1,0,1,1,0,75,7
0,9,5,1,0,0,0,75,7
1,0,5,0,1,0,1,75,7
0,7,0,0,0,0,0,75,7
0,9,0,0,1,0,0,76,7
0,0,1,0,0,0,1,76,7
1,0,1,0,1,1,0,76,7
0,7,5,0,0,0,0,76,7
0,0,5,0,0,0,1,77,7
0,0,0,0,0,1,0,77,7
0,9,1,0,1,0,0,77,7
1,7,1,0,1,0,0,77,7
0,7,5,0,0,0,0,78,7
1,0,1,0,1,1,0,78,7
0,0,0,0,1,0,1,78,7
0,9,1,0,0,0,0,78,7
0,9,5,0,0,0,0,79,7
0,0,1,0,0,1,0,79,7
1,7,5,0,1,0,0,79,7
0,0,0,1,0,0,1,79,7
0,9,5,0,0,0,0,80,7
0,7,0,0,0,0,0,80,7
0,0,0,0,1,1,0,80,7
1,0,1,0,1,0,1,80,7
0,0,0,0,1,0,1,81,7
0,9,1,1,0,0,0,81,7
0,7,5,0,0,0,0,81,7
1,0,5,0,1,1,0,81,7
0,7,0,0,1,0,0,82,7
1,0,5,0,1,1,0,82,7
0,9,1,1,0,0,0,82,7
0,0,1,0,0,0,1,82,7
0,0,5,1,0,1,0,83,7
1,9,1,0,1,0,0,83,7
0,7,0,0,0,0,0,83,7
0,0,0,0,1,0,1,83,7
0,0,1,0,1,1,0,84,7
1,9,5,0,1,0,0,84,7
0,7,0,1,0,0,0,84,7
0,0,1,0,1,0,1,84,7
0,9,0,0,0,0,0,85,8
1,0,0,0,1,0,1,85,8
0,0,1,1,0,1,0,85,8
0,7,5,0,1,0,0,85,8
0,0,0,0,0,1,0,86,8
1,7,5,0,0,0,0,86,8
0,0,0,1,0,0,1,86,8
0,9,1,0,1,0,0,86,8
0,0,1,0,0,1,0,87,8
1,9,5,0,1,0,0,87,8
0,0,5,0,1,0,1,87,8
0,7,0,0,0,0,0,87,8
0,9,0,1,0,0,0,88,8
1,7,5,0,0,0,0,88,8
0,0,1,0,1,0,1,88,8
0,0,1,0,0,1,0,88,8
0,0,0,1,0,1,0,89,8
1,7,1,0,0,0,0,89,8
0,9,5,0,1,0,0,89,8
0,0,5,0,1,0,1,89,8
0,9,5,0,1,0,0,90,8
0,0,0,0,0,0,1,90,8
1,7,1,0,0,0,0,90,8
0,0,0,1,0,1,0,90,8
1,7,0,0,0,0,0,91,8
0,0,0,0,1,1,0,91,8
0,0,5,0,1,0,1,91,8
0,9,1,0,0,0,0,91,8
1,7,5,1,0,0,0,92,8
0,0,1,0,0,0,1,92,8
0,0,5,0,0,1,0,92,8
0,9,0,0,1,0,0,92,8
0,0,0,0,1,0,1,93,8
0,0,1,0,0,1,0,93,8
0,9,0,0,1,0,0,93,8
1,7,5,1,0,0,0,93,8
0,0,5,0,0,0,1,94,8
0,0,1,0,0,1,0,94,8
0,9,5,1,0,0,0,94,8
1,7,0,0,1,0,0,94,8
0,9,5,0,1,0,0,95,8
0,0,0,0,1,1,0,95,8
0,0,5,1,0,0,1,95,8
1,7,1,0,0,0,0,95,8
0,9,1,0,1,0,0,96,8
1,7,0,1,0,0,0,96,8
0,0,5,0,1,1,0,96,8
0,0,0,0,0,0,1,96,8
0,0,5,0,1,1,0,97,9
0,9,0,1,0,0,0,97,9
1,0,1,0,1,0,1,97,9
0,7,5,0,0,0,0,97,9
1,0,5,1,0,0,1,98,9
0,7,1,0,0,0,0,98,9
0,0,0,0,0,1,0,98,9
0,9,1,0,0,0,0,98,9
0,0,1,0,0,1,0,99,9
1,7,5,0,1,0,0,99,9
0,0,0,0,0,1,0,99,9
0,0,1,0,0,0,1,99,9
0,9,0,0,1,0,0,100,9
0,7,0,0,0,0,0,100,9
0,0,1,0,1,0,1,100,9
1,0,5,1,0,1,0,100,9
1,7,5,1,0,0,0,101,9
0,0,1,0,1,0,1,101,9
0,0,0,0,0,1,0,101,9
0,9,0,0,0,0,0,101,9
0,0,5,0,1,1,0,102,9
1,0,5,0,0,0,1,102,9
0,9,1,1,0,0,0,102,9
0,7,0,0,1,0,0,102,9
0,0,1,0,0,0,1,103,9
0,7,0,0,0,0,0,103,9
0,9,0,1,0,0,0,103,9
1,0,5,0,1,1,0,103,9
0,9,1,1,0,0,0,104,9
0,7,1,0,1,0,0,104,9
0,0,0,0,1,1,0,104,9
1,0,5,0,0,0,1,104,9
1,0,5,0,0,1,0,105,9
0,7,0,1,0,0,0,105,9
0,0,1,0,1,0,1,105,9
0,9,0,0,0,0,0,105,9
1,0,5,1,0,0,1,106,9
0,7,1,0,1,0,0,106,9
0,0,0,0,0,1,0,106,9
0,9,1,0,0,0,0,106,9
1,7,1,0,0,0,0,107,9
0,9,0,0,1,0,0,107,9
0,0,5,0,0,1,0,107,9
0,0,1,1,0,0,1,107,9
0,9,0,0,1,0,0,108,9
0,7,0,0,0,0,0,108,9
1,0,1,0,1,0,1,108,9
0,0,5,1,0,1,0,108,9
0,0,0,1,0,0,1,109,10
0,7,5,0,1,0,0,109,10
0,0,1,0,0,1,0,109,10
1,9,1,0,1,0,0,109,10
0,7,5,0,0,0,0,110,10
1,0,1,0,1,1,0,110,10
0,0,0,0,1,0,1,110,10
0,9,5,1,0,0,0,110,10
0,9,1,0,0,0,0,111,10
0,0,1,0,0,1,0,111,10
0,7,5,0,1,0,0,111,10
1,0,0,1,0,0,1,111,10
0,7,5,0,1,0,0,112,10
0,9,1,0,0,0,0,112,10
0,0,0,0,1,1,0,112,10
1,0,1,1,0,0,1,112,10
0,7,5,0,1,0,0,113,10
0,9,1,1,0,0,0,113,10
1,0,0,0,0,0,1,113,10
0,0,5,0,1,1,0,113,10
1,7,0,0,1,0,0,114,10
0,9,5,0,1,0,0,114,10
0,0,1,1,0,1,0,114,10
0,0,5,0,0,0,1,114,10
0,9,5,0,0,0,0,115,10
0,7,1,0,1,0,0,115,10
0,0,0,0,1,1,0,115,10
1,0,0,1,0,0,1,115,10
1,0,1,0,1,0,1,116,10
0,9,1,0,0,0,0,116,10
0,7,0,1,0,0,0,116,10
0,0,5,0,1,1,0,116,10
0,0,0,1,0,1,0,117,10
0,9,1,0,1,0,0,117,10
1,0,0,0,0,0,1,117,10
0,7,5,0,1,0,0,117,10
1,0,0,0,0,0,1,118,10
0,9,0,0,0,0,0,118,10
0,0,1,1,0,1,0,118,10
0,7,5,0,1,0,0,118,10
0,0,5,0,1,0,1,119,10
1,9,0,0,0,0,0,119,10
0,0,1,0,0,1,0,119,10
0,7,5,1,0,0,0,119,10
0,9,0,0,1,0,0,120,10
1,7,1,0,0,0,0,120,10
0,0,1,1,0,0,1,120,10
0,0,5,0,0,1,0,120,10
1,9,0,0,0,0,0,121,11
0,0,0,0,1,0,1,121,11
0,0,1,1,0,1,0,121,11
0,7,5,0,1,0,0,121,11
0,0,0,0,0,1,0,122,11
0,7,5,0,0,0,0,122,11
0,0,0,1,0,0,1,122,11
1,9,1,0,1,0,0,122,11
0,0,1,0,0,1,0,123,11
0,9,5,0,1,0,0,123,11
0,0,5,0,1,0,1,123,11
1,7,0,0,0,0,0,123,11
1,9,0,1,0,0,0,124,11
0,7,5,0,0,0,0,124,11
0,0,1,0,1,0,1,124,11
0,0,1,0,0,1,0,124,11
1,0,0,1,0,1,0,125,11
0,7,1,0,0,0,0,125,11
0,9,5,0,1,0,0,125,11
0,0,5,0,1,0,1,125,11
0,9,5,0,1,0,0,126,11
0,0,0,0,0,0,1,126,11
0,7,1,0,0,0,0,126,11
1,0,0,1,0,1,0,126,11
0,7,0,0,0,0,0,127,11
1,0,0,0,1,1,0,127,11
0,0,5,0,1,0,1,127,11
0,9,1,0,0,0,0,127,11
0,7,5,1,0,0,0,128,11
0,0,1,0,0,0,1,128,11
0,0,5,0,0,1,0,128,11
1,9,0,0,1,0,0,128,11
0,0,0,0,1,0,1,129,11
0,0,1,0,0,1,0,129,11
1,9,0,0,1,0,0,129,11
0,7,5,1,0,0,0,129,11
0,0,5,0,0,0,1,130,11
0,0,1,0,0,1,0,130,11
0,9,5,1,0,0,0,130,11
1,7,0,0,1,0,0,130,11
0,9,5,0,1,0,0,131,11
1,0,0,0,1,1,0,131,11
0,0,5,1,0,0,1,131,11
0,7,1,0,0,0,0,131,11
0,9,1,0,1,0,0,132,11
1,7,0,1,0,0,0,132,11
0,0,5,0,1,1,0,132,11
0,0,0,0,0,0,1,132,11
1,7,5,1,0,0,0,133,12
0,0,1,0,1,0,1,133,12
0,0,0,0,0,1,0,133,12
0,9,0,0,0,0,0,133,12
0,0,5,0,1,1,0,134,12
0,0,5,0,0,0,1,134,12
0,9,1,1,0,0,0,134,12
1,7,0,0,1,0,0,134,12
0,0,1,0,0,0,1,135,12
0,7,0,0,0,0,0,135,12
0,9,0,1,0,0,0,135,12
1,0,5,0,1,1,0,135,12
0,9,1,1,0,0,0,136,12
1,7,1,0,1,0,0,136,12
0,0,0,0,1,1,0,136,12
0,0,5,0,0,0,1,136,12
0,0,5,0,0,1,0,137,12
0,7,0,1,0,0,0,137,12
1,0,1,0,1,0,1,137,12
0,9,0,0,0,0,0,137,12
0,0,5,1,0,0,1,138,12
1,7,1,0,1,0,0,138,12
0,0,0,0,0,1,0,138,12
0,9,1,0,0,0,0,138,12
0,7,1,0,0,0,0,139,12
1,9,0,0,1,0,0,139,12
0,0,5,0,0,1,0,139,12
0,0,1,1,0,0,1,139,12
0,9,0,0,1,0,0,140,12
0,7,0,0,0,0,0,140,12
1,0,1,0,1,0,1,140,12
0,0,5,1,0,1,0,140,12
0,0,0,1,0,0,1,141,12
0,0,1,0,0,1,0,141,12
0,9,1,0,0,0,0,141,12
1,9,5,0,1,0,0,141,12
0,9,0,0,1,0,0,142,12
0,7,5,0,0,0,0,142,12
1,0,1,1,0,0,1,142,12
0,0,0,0,0,1,0,142,12
0,0,1,0,1,0,1,143,12
1,9,0,0,1,0,0,143,12
0,0,0,0,0,1,0,143,12
0,7,5,1,0,0,0,143,12
1,0,5,0,1,0,1,144,12
0,9,0,0,1,0,0,144,12
0,7,1,0,0,0,0,144,12
0,0,0,0,0,1,0,144,12
1,0,5,0,1,1,0,145,13
0,9,0,1,0,0,0,145,13
0,0,1,0,1,0,1,145,13
0,7,5,0,0,0,0,145,13
1,0,5,1,0,0,1,146,13
0,7,1,0,0,0,0,146,13
0,0,0,0,0,1,0,146,13
0,9,1,0,0,0,0,146,13
0,0,1,0,0,1,0,147,13
1,7,5,0,1,0,0,147,13
0,0,0,0,0,1,0,147,13
0,0,1,0,0,0,1,147,13
0,9,0,0,1,0,0,148,13
0,7,0,0,0,0,0,148,13
1,0,1,0,1,0,1,148,13
0,0,5,1,0,1,0,148,13
1,7,5,1,0,0,0,149,13
0,0,1,0,1,0,1,149,13
0,0,0,0,0,1,0,149,13
0,9,0,0,0,0,0,149,13
0,0,5,0,1,1,0,150,13
0,0,5,0,0,0,1,150,13
0,9,1,1,0,0,0,150,13
1,7,0,0,1,0,0,150,13
0,9,1,1,0,0,0,151,13
1,7,1,0,1,0,0,151,13
0,0,0,0,1,1,0,151,13
0,0,5,0,0,0,1,151,13
0,0,5,0,0,1,0,152,13
1,7,0,1,0,0,0,152,13
0,0,1,0,1,0,1,152,13
0,9,0,0,0,0,0,152,13
0,0,5,1,0,0,1,153,13
1,7,1,0,1,0,0,153,13
0,0,0,0,0,1,0,153,13
0,9,1,0,0,0,0,153,13
1,7,1,0,0,0,0,154,13
0,9,0,0,1,0,0,154,13
0,0,5,0,0,1,0,154,13
0,0,1,1,0,0,1,154,13
0,9,0,0,1,0,0,155,13
1,7,0,0,0,0,0,155,13
0,0,1,0,1,0,1,155,13
0,0,5,1,0,1,0,155,13
0,7,5,1,0,0,0,156,14
1,0,1,0,1,0,1,156,14
0,0,0,0,0,1,0,156,14
0,9,0,0,0,0,0,156,14
0,0,5,0,1,1,0,157,14
0,0,5,0,0,0,1,157,14
0,9,1,1,0,0,0,157,14
1,7,0,0,1,0,0,157,14
0,0,1,0,0,0,1,158,14
0,7,0,0,0,0,0,158,14
1,9,0,1,0,0,0,158,14
0,0,5,0,1,1,0,158,14
0,9,1,1,0,0,0,159,14
1,7,1,0,1,0,0,159,14
0,0,0,0,1,1,0,159,14
0,0,5,0,0,0,1,159,14
0,0,5,0,0,1,0,160,14
0,7,0,1,0,0,0,160,14
1,0,1,0,1,0,1,160,14
0,9,0,0,0,0,0,160,14
1,0,5,1,0,0,1,161,14
0,7,1,0,1,0,0,161,14
0,0,0,0,0,1,0,161,14
0,9,1,0,0,0,0,161,14
0,7,1,0,0,0,0,162,14
0,9,0,0,1,0,0,162,14
0,0,5,0,0,1,0,162,14
1,0,1,1,0,0,1,162,14
0,9,0,0,1,0,0,163,14
0,7,0,0,0,0,0,163,14
1,0,1,0,1,0,1,163,14
0,0,5,1,0,1,0,163,14
1,0,0,1,0,0,1,164,14
0,0,1,0,0,1,0,164,14
0,9,1,0,0,0,0,164,14
0,9,5,0,1,0,0,164,14
0,9,0,0,1,0,0,165,14
0,7,5,0,0,0,0,165,14
1,0,1,1,0,0,1,165,14
0,0,0,0,0,1,0,165,14
1,0,1,0,1,0,1,166,14
0,9,0,0,1,0,0,166,14
0,0,0,0,0,1,0,166,14
0,7,5,1,0,0,0,166,14
0,0,5,0,1,0,1,167,14
0,9,0,0,1,0,0,167,14
1,7,1,0,0,0,0,167,14
0,0,0,0,0,1,0,167,14
0,7,5,1,0,0,0,168,15
1,0,1,0,1,0,1,168,15
0,0,0,0,0,1,0,168,15
0,9,0,0,0,0,0,168,15
0,0,5,0,1,1,0,169,15
0,0,5,0,0,0,1,169,15
0,9,1,1,0,0,0,169,15
1,7,0,0,1,0,0,169,15
0,0,1,0,0,0,1,170,15
1,7,0,0,0,0,0,170,15
0,9,0,1,0,0,0,170,15
0,0,5,0,1,1,0,170,15
0,9,1,1,0,0,0,171,15
1,7,1,0,1,0,0,171,15
0,0,0,0,1,1,0,171,15
0,0,5,0,0,0,1,171,15
0,0,5,0,0,1,0,172,15
1,7,0,1,0,0,0,172,15
0,0,1,0,1,0,1,172,15
0,9,0,0,0,0,0,172,15
0,0,5,1,0,0,1,173,15
1,7,1,0,1,0,0,173,15
0,0,0,0,0,1,0,173,15
0,9,1,0,0,0,0,173,15
1,7,1,0,0,0,0,174,15
0,9,0,0,1,0,0,174,15
0,0,5,0,0,1,0,174,15
0,0,1,1,0,0,1,174,15
0,9,0,0,1,0,0,175,15
1,7,0,0,0,0,0,175,15
0,0,1,0,1,0,1,175,15
0,0,5,1,0,1,0,175,15
0,0,0,1,0,0,1,176,15
0,0,1,0,0,1,0,176,15
1,9,1,0,0,0,0,176,15
0,9,5,0,1,0,0,176,15
0,9,0,0,1,0,0,177,15
1,7,5,0,0,0,0,177,15
0,0,1,1,0,0,1,177,15
0,0,0,0,0,1,0,177,15
0,0,1,0,1,0,1,178,15
0,9,0,0,1,0,0,178,15
0,0,0,0,0,1,0,178,15
1,7,5,1,0,0,0,178,15
0,0,5,0,1,0,1,179,15
0,9,0,0,1,0,0,179,15
1,7,1,0,0,0,0,179,15
0,0,0,0,0,1,0,179,15
0,0,5,0,1,1,0,180,16
0,9,0,1,0,0,0,180,16
1,0,1,0,1,0,1,180,16
0,7,5,0,0,0,0,180,16
0,0,5,1,0,0,1,181,16
1,7,1,0,0,0,0,181,16
0,0,0,0,0,1,0,181,16
0,9,1,0,0,0,0,181,16
0,0,1,0,0,1,0,182,16
0,7,5,0,1,0,0,182,16
0,0,0,0,0,1,0,182,16
1,0,1,0,0,0,1,182,16
0,9,0,0,1,0,0,183,16
0,7,0,0,0,0,0,183,16
1,0,1,0,1,0,1,183,16
0,0,5,1,0,1,0,183,16
0,7,5,1,0,0,0,184,16
1,0,1,0,1,0,1,184,16
0,0,0,0,0,1,0,184,16
0,9,0,0,0,0,0,184,16
0,0,5,0,1,1,0,185,16
0,0,5,0,0,0,1,185,16
1,9,1,1,0,0,0,185,16
0,7,0,0,1,0,0,185,16
1,0,1,0,0,0,1,186,16
0,7,0,0,0,0,0,186,16
0,9,0,1,0,0,0,186,16
0,0,5,0,1,1,0,186,16
0,9,1,1,0,0,0,187,16
1,7,1,0,1,0,0,187,16
0,0,0,0,1,1,0,187,16
0,0,5,0,0,0,1,187,16
0,0,5,0,0,1,0,188,16
0,7,0,1,0,0,0,188,16
1,0,1,0,1,0,1,188,16
0,9,0,0,0,0,0,188,16
0,0,5,1,0,0,1,189,16
1,7,1,0,1,0,0,189,16
0,0,0,0,0,1,0,189,16
0,9,1,0,0,0,0,189,16
0,7,1,0,0,0,0,190,16
1,9,0,0,1,0,0,190,16
0,0,5,0,0,1,0,190,16
0,0,1,1,0,0,1,190,16
0,9,0,0,1,0,0,191,16
0,7,0,0,0,0,0,191,16
1,0,1,0,1,0,1,191,16
0,0,5,1,0,1,0,191,16
1,7,5,1,0,0,0,192,17
0,0,1,0,1,0,1,192,17
0,0,0,0,0,1,0,192,17
0,9,0,0,0,0,0,192,17
0,0,5,0,1,1,0,193,17
0,0,5,0,0,0,1,193,17
1,9,1,1,0,0,0,193,17
0,7,0,0,1,0,0,193,17
0,0,1,0,0,0,1,194,17
0,7,0,0,0,0,0,194,17
1,9,0,1,0,0,0,194,17
