school,class,thk,prethk,cc,tv
198,198102,2,2,1,1
198,198102,4,1,1,1
198,198102,3,0,1,1
198,198102,4,3,1,1
198,198102,4,2,1,1
198,198102,2,1,1,1
198,198102,2,0,1,1
198,198102,2,1,1,1
198,198102,1,2,1,1
198,198102,1,2,1,1
198,198102,4,2,1,1
198,198102,2,1,1,1
198,198102,2,1,1,1
198,198102,1,3,1,1
198,198102,2,2,1,1
198,198103,2,2,1,1
198,198103,1,0,1,1
198,198103,2,3,1,1
198,198103,3,2,1,1
198,198103,3,1,1,1
198,198103,4,5,1,1
198,198103,3,1,1,1
198,198103,2,2,1,1
198,198103,2,2,1,1
198,198103,3,1,1,1
198,198103,1,1,1,1
198,198103,1,5,1,1
198,198103,1,1,1,1
198,198103,2,1,1,1
198,198103,3,4,1,1
199,199101,1,1,0,1
199,199101,4,4,0,1
199,199101,2,3,0,1
199,199101,1,0,0,1
199,199101,2,3,0,1
199,199101,1,2,0,1
199,199101,3,2,0,1
199,199101,3,1,0,1
199,199101,2,0,0,1
199,199101,3,1,0,1
199,199101,2,1,0,1
199,199101,4,1,0,1
199,199101,2,2,0,1
199,199102,1,1,0,1
199,199102,1,3,0,1
199,199103,3,2,0,1
199,199103,2,2,0,1
199,199103,1,1,0,1
199,199103,3,3,0,1
199,199103,1,2,0,1
199,199103,4,3,0,1
199,199103,1,1,0,1
199,199103,2,1,0,1
199,199103,4,1,0,1
199,199103,2,2,0,1
199,199103,3,3,0,1
199,199103,1,1,0,1
199,199103,2,4,0,1
199,199103,4,2,0,1
199,199104,1,1,0,1
199,199104,1,0,0,1
199,199104,3,2,0,1
199,199104,3,2,0,1
199,199104,1,2,0,1
199,199104,2,1,0,1
199,199104,3,2,0,1
199,199104,1,4,0,1
199,199104,3,2,0,1
199,199104,2,0,0,1
199,199104,1,2,0,1
199,199104,3,2,0,1
199,199104,1,2,0,1
199,199105,1,0,0,1
199,199106,4,2,0,1
199,199106,2,0,0,1
199,199106,2,3,0,1
199,199106,1,4,0,1
199,199106,2,2,0,1
199,199106,4,1,0,1
199,199106,3,0,0,1
199,199106,4,1,0,1
199,199106,2,3,0,1
199,199106,1,1,0,1
199,199106,2,1,0,1
199,199106,4,3,0,1
401,401101,4,3,1,1
401,401101,3,1,1,1
401,401101,1,3,1,1
401,401101,3,3,1,1
401,401101,2,1,1,1
401,401101,3,2,1,1
401,401101,3,1,1,1
401,401101,3,0,1,1
401,401101,4,3,1,1
401,401101,3,1,1,1
401,401101,3,3,1,1
401,401101,3,5,1,1
401,401101,4,2,1,1
401,401101,4,2,1,1
401,401101,2,0,1,1
401,401101,1,0,1,1
401,401101,4,2,1,1
401,401101,4,2,1,1
401,401102,4,2,1,1
401,401102,3,5,1,1
401,401102,4,3,1,1
401,401102,1,3,1,1
401,401102,2,0,1,1
401,401102,3,2,1,1
401,401102,3,4,1,1
401,401102,4,2,1,1
401,401102,2,3,1,1
401,401102,4,2,1,1
401,401102,3,2,1,1
401,401102,4,1,1,1
401,401102,3,4,1,1
401,401102,1,2,1,1
401,401102,2,2,1,1
401,401102,4,5,1,1
401,401102,4,2,1,1
401,401102,3,2,1,1
401,401102,3,2,1,1
401,401102,4,3,1,1
401,401102,3,3,1,1
402,402101,2,2,0,0
402,402101,4,3,0,0
402,402101,4,3,0,0
402,402101,2,2,0,0
402,402101,2,4,0,0
402,402101,3,2,0,0
402,402101,2,2,0,0
402,402101,2,3,0,0
402,402101,3,2,0,0
402,402101,4,4,0,0
402,402101,2,1,0,0
402,402101,4,1,0,0
402,402101,2,2,0,0
402,402101,4,2,0,0
402,402101,2,4,0,0
402,402101,2,1,0,0
402,402101,1,5,0,0
402,402102,3,0,0,0
402,402102,2,2,0,0
402,402102,2,2,0,0
402,402102,1,2,0,0
402,402102,2,3,0,0
402,402102,1,2,0,0
402,402102,1,1,0,0
402,402102,1,2,0,0
402,402102,1,3,0,0
402,402102,3,3,0,0
402,402102,1,2,0,0
402,402102,3,1,0,0
402,402102,4,4,0,0
402,402102,4,4,0,0
402,402102,4,6,0,0
402,402102,1,2,0,0
405,405101,3,3,0,1
405,405101,4,2,0,1
405,405101,3,1,0,1
405,405101,2,3,0,1
405,405101,2,3,0,1
405,405101,2,3,0,1
405,405101,4,3,0,1
405,405101,1,1,0,1
405,405101,3,2,0,1
405,405101,4,2,0,1
405,405101,2,2,0,1
405,405101,1,2,0,1
405,405101,4,5,0,1
405,405101,4,2,0,1
405,405101,4,4,0,1
405,405102,2,2,0,1
405,405102,2,0,0,1
405,405102,2,3,0,1
405,405102,1,1,0,1
405,405102,1,1,0,1
405,405102,4,4,0,1
405,405102,4,4,0,1
405,405102,1,2,0,1
405,405102,4,5,0,1
405,405102,1,1,0,1
405,405102,1,1,0,1
405,405102,3,2,0,1
405,405102,1,1,0,1
405,405102,1,1,0,1
405,405102,1,2,0,1
405,405102,2,3,0,1
405,405103,2,2,0,1
405,405103,1,2,0,1
405,405103,3,2,0,1
405,405103,4,5,0,1
405,405103,1,4,0,1
405,405103,4,4,0,1
405,405103,4,2,0,1
405,405103,1,2,0,1
405,405103,4,4,0,1
405,405103,3,2,0,1
405,405103,3,3,0,1
405,405103,3,0,0,1
405,405103,4,2,0,1
405,405103,1,2,0,1
405,405103,1,1,0,1
405,405103,2,0,0,1
405,405103,4,1,0,1
405,405103,3,4,0,1
405,405103,2,2,0,1
405,405103,3,1,0,1
405,405103,1,2,0,1
407,407101,4,1,0,1
407,407101,3,1,0,1
407,407101,1,2,0,1
407,407101,4,4,0,1
407,407101,3,1,0,1
407,407101,4,3,0,1
407,407101,4,2,0,1
407,407101,4,3,0,1
407,407101,4,1,0,1
407,407101,4,0,0,1
407,407101,4,1,0,1
407,407101,4,3,0,1
407,407101,4,3,0,1
407,407101,3,0,0,1
407,407101,4,2,0,1
407,407101,2,1,0,1
407,407101,3,1,0,1
407,407101,1,1,0,1
407,407101,4,3,0,1
407,407101,2,2,0,1
407,407101,3,3,0,1
407,407102,3,1,0,1
407,407102,2,2,0,1
407,407102,1,1,0,1
407,407102,4,3,0,1
407,407102,4,2,0,1
407,407102,3,0,0,1
407,407102,4,2,0,1
407,407102,4,2,0,1
407,407102,3,2,0,1
407,407102,3,2,0,1
407,407102,4,2,0,1
407,407102,2,2,0,1
407,407102,2,1,0,1
407,407102,3,1,0,1
407,407102,2,5,0,1
407,407102,3,2,0,1
407,407102,1,2,0,1
407,407102,4,2,0,1
407,407102,3,1,0,1
407,407102,1,1,0,1
407,407102,2,2,0,1
407,407102,1,0,0,1
407,407102,4,1,0,1
407,407102,4,1,0,1
407,407102,2,0,0,1
407,407102,4,3,0,1
407,407102,3,2,0,1
407,407103,1,3,0,1
407,407103,3,4,0,1
407,407103,4,2,0,1
407,407103,2,2,0,1
407,407103,1,1,0,1
407,407103,2,1,0,1
407,407103,3,3,0,1
407,407103,1,3,0,1
407,407103,4,5,0,1
407,407103,2,2,0,1
407,407103,1,1,0,1
407,407103,1,2,0,1
407,407103,4,1,0,1
407,407103,2,4,0,1
407,407103,2,4,0,1
407,407103,4,2,0,1
407,407103,3,3,0,1
408,408101,1,2,1,0
408,408101,1,2,1,0
408,408101,1,1,1,0
408,408102,1,0,1,0
408,408102,1,1,1,0
408,408103,3,3,1,0
408,408103,1,1,1,0
408,408103,4,5,1,0
408,408103,4,4,1,0
408,408103,4,4,1,0
408,408103,3,2,1,0
408,408103,4,4,1,0
408,408103,4,2,1,0
408,408103,2,2,1,0
408,408103,4,5,1,0
408,408103,4,2,1,0
408,408103,3,2,1,0
408,408103,2,1,1,0
408,408103,4,5,1,0
408,408103,4,4,1,0
408,408104,3,3,1,0
408,408104,3,1,1,0
408,408104,2,0,1,0
408,408104,3,0,1,0
408,408104,4,4,1,0
408,408104,2,2,1,0
408,408104,2,4,1,0
409,409101,2,1,0,0
409,409101,2,1,0,0
409,409101,4,4,0,0
409,409101,4,4,0,0
409,409101,3,1,0,0
409,409101,2,1,0,0
409,409101,1,3,0,0
409,409101,1,1,0,0
409,409101,4,3,0,0
409,409101,2,2,0,0
409,409101,4,4,0,0
409,409101,1,1,0,0
409,409101,1,2,0,0
409,409101,3,4,0,0
409,409101,1,2,0,0
409,409101,1,2,0,0
409,409101,2,1,0,0
409,409101,3,2,0,0
409,409101,4,0,0,0
409,409101,4,2,0,0
409,409101,4,1,0,0
409,409101,1,0,0,0
409,409101,3,3,0,0
409,409101,3,2,0,0
409,409102,1,2,0,0
409,409102,3,4,0,0
409,409102,4,2,0,0
409,409102,1,1,0,0
409,409102,1,2,0,0
409,409102,2,3,0,0
409,409102,2,1,0,0
409,409102,2,3,0,0
409,409102,3,1,0,0
409,409102,1,0,0,0
409,409102,3,4,0,0
409,409102,3,2,0,0
409,409102,3,5,0,0
409,409102,4,3,0,0
409,409102,1,4,0,0
409,409102,4,2,0,0
409,409102,1,3,0,0
409,409102,3,1,0,0
409,409102,1,2,0,0
409,409102,4,2,0,0
409,409102,2,0,0,0
409,409102,3,1,0,0
409,409103,3,3,0,0
409,409103,3,2,0,0
409,409103,1,2,0,0
409,409103,3,2,0,0
409,409103,3,0,0,0
409,409103,1,2,0,0
409,409103,2,1,0,0
409,409103,1,2,0,0
409,409103,2,1,0,0
409,409103,2,2,0,0
409,409103,1,1,0,0
409,409103,2,3,0,0
409,409103,1,1,0,0
409,409103,2,3,0,0
409,409103,1,1,0,0
409,409104,4,3,0,0
409,409104,2,3,0,0
409,409104,1,1,0,0
409,409104,4,5,0,0
409,409104,2,2,0,0
409,409104,4,2,0,0
409,409104,3,2,0,0
409,409104,2,2,0,0
409,409104,2,3,0,0
409,409104,3,4,0,0
409,409104,3,2,0,0
409,409104,2,2,0,0
409,409104,4,3,0,0
409,409104,4,3,0,0
409,409104,3,3,0,0
409,409104,4,2,0,0
409,409104,4,3,0,0
409,409104,1,3,0,0
409,409104,4,3,0,0
410,410101,1,3,1,1
410,410101,1,2,1,1
410,410101,1,0,1,1
410,410101,1,0,1,1
410,410101,4,4,1,1
410,410101,2,1,1,1
410,410101,3,1,1,1
410,410102,3,1,1,1
410,410102,3,1,1,1
410,410102,1,2,1,1
410,410102,1,4,1,1
410,410102,3,1,1,1
410,410102,2,0,1,1
410,410102,4,2,1,1
410,410102,2,2,1,1
410,410102,3,2,1,1
410,410102,3,3,1,1
410,410102,2,1,1,1
410,410102,2,2,1,1
410,410103,4,2,1,1
410,410103,2,2,1,1
410,410103,1,1,1,1
410,410103,3,3,1,1
410,410103,3,2,1,1
410,410103,1,1,1,1
410,410103,4,1,1,1
410,410103,1,5,1,1
410,410104,1,4,1,1
410,410104,2,1,1,1
410,410104,2,1,1,1
410,410104,1,0,1,1
410,410104,1,3,1,1
410,410104,2,0,1,1
411,411101,3,3,0,1
411,411101,2,1,0,1
411,411101,3,3,0,1
411,411101,3,4,0,1
411,411101,3,2,0,1
411,411101,4,2,0,1
411,411101,4,3,0,1
411,411101,4,6,0,1
411,411101,2,4,0,1
411,411101,4,1,0,1
411,411101,3,3,0,1
411,411102,4,5,0,1
411,411102,4,3,0,1
411,411102,4,4,0,1
411,411102,3,3,0,1
411,411102,4,4,0,1
411,411102,2,4,0,1
411,411102,1,0,0,1
412,412101,3,1,1,0
412,412101,4,3,1,0
412,412101,4,1,1,0
412,412101,3,2,1,0
412,412101,4,1,1,0
412,412101,2,1,1,0
412,412101,1,2,1,0
412,412102,1,1,1,0
412,412102,3,2,1,0
412,412102,4,4,1,0
412,412102,1,2,1,0
412,412102,1,1,1,0
412,412102,3,2,1,0
412,412102,4,3,1,0
412,412102,4,1,1,0
412,412103,1,3,1,0
412,412103,3,3,1,0
412,412103,2,1,1,0
412,412104,3,2,1,0
412,412104,2,0,1,0
412,412104,4,1,1,0
412,412104,3,1,1,0
412,412104,3,0,1,0
412,412105,3,1,1,0
412,412105,1,0,1,0
412,412105,2,4,1,0
412,412105,4,3,1,0
412,412105,2,2,1,0
412,412105,1,1,1,0
412,412105,2,0,1,0
412,412105,3,1,1,0
412,412106,3,3,1,0
412,412106,4,1,1,0
412,412106,3,0,1,0
414,414101,3,1,1,0
414,414101,2,1,1,0
414,414101,2,2,1,0
414,414101,4,3,1,0
414,414101,4,2,1,0
414,414101,1,1,1,0
414,414101,3,0,1,0
414,414101,2,3,1,0
414,414102,2,3,1,0
414,414102,3,0,1,0
414,414102,3,4,1,0
414,414102,3,0,1,0
414,414102,4,4,1,0
414,414102,4,0,1,0
414,414102,2,1,1,0
414,414102,4,1,1,0
414,414102,2,2,1,0
414,414104,4,2,1,0
414,414104,1,2,1,0
414,414104,2,1,1,0
414,414104,4,0,1,0
414,414104,2,3,1,0
414,414104,4,1,1,0
414,414104,2,2,1,0
414,414104,2,1,1,0
414,414105,4,3,1,0
414,414105,2,4,1,0
414,414106,3,1,1,0
414,414106,3,2,1,0
414,414106,1,2,1,0
414,414106,4,2,1,0
414,414106,3,2,1,0
414,414106,3,2,1,0
414,414106,2,0,1,0
414,414106,4,2,1,0
414,414106,2,3,1,0
414,414106,4,3,1,0
414,414106,3,2,1,0
415,415101,4,4,1,1
415,415101,4,4,1,1
415,415101,2,5,1,1
415,415101,3,2,1,1
415,415101,2,0,1,1
415,415101,3,2,1,1
415,415101,4,2,1,1
415,415101,4,3,1,1
415,415101,4,1,1,1
415,415102,3,2,1,1
415,415102,4,2,1,1
415,415102,4,1,1,1
415,415102,4,1,1,1
415,415102,2,1,1,1
415,415102,4,1,1,1
415,415102,3,1,1,1
415,415102,4,6,1,1
415,415102,4,1,1,1
415,415102,1,2,1,1
415,415102,4,4,1,1
415,415102,3,2,1,1
415,415102,4,0,1,1
415,415102,4,5,1,1
415,415102,3,3,1,1
415,415102,1,1,1,1
415,415102,4,1,1,1
415,415102,2,1,1,1
415,415102,4,1,1,1
415,415102,3,1,1,1
415,415102,2,0,1,1
415,415103,3,1,1,1
415,415103,4,2,1,1
415,415103,4,3,1,1
415,415103,4,4,1,1
415,415103,2,1,1,1
415,415103,4,2,1,1
415,415103,4,3,1,1
415,415103,1,3,1,1
415,415103,3,3,1,1
415,415103,3,3,1,1
415,415103,4,6,1,1
415,415103,4,1,1,1
415,415103,3,3,1,1
415,415104,2,2,1,1
415,415104,3,0,1,1
415,415104,3,2,1,1
415,415104,4,3,1,1
415,415104,4,3,1,1
415,415104,2,1,1,1
415,415104,3,3,1,1
415,415104,4,2,1,1
415,415104,3,4,1,1
415,415104,3,3,1,1
415,415104,1,1,1,1
415,415104,2,0,1,1
415,415105,4,2,1,1
415,415105,3,4,1,1
415,415105,4,3,1,1
415,415105,4,2,1,1
415,415105,4,1,1,1
415,415105,2,1,1,1
415,415105,3,3,1,1
415,415105,1,2,1,1
415,415105,2,0,1,1
415,415105,4,2,1,1
415,415105,4,5,1,1
415,415105,1,3,1,1
505,505101,1,2,1,1
505,505101,2,2,1,1
505,505101,1,1,1,1
505,505101,1,2,1,1
505,505101,1,5,1,1
505,505101,2,3,1,1
505,505101,2,3,1,1
505,505101,4,2,1,1
505,505101,3,0,1,1
505,505101,1,1,1,1
505,505101,2,1,1,1
505,505101,2,1,1,1
505,505101,3,3,1,1
505,505101,4,4,1,1
505,505102,4,1,1,1
505,505102,2,2,1,1
505,505102,3,2,1,1
505,505102,1,2,1,1
505,505102,3,1,1,1
505,505102,3,2,1,1
505,505102,3,2,1,1
505,505102,3,0,1,1
505,505102,4,3,1,1
505,505103,4,2,1,1
505,505103,1,2,1,1
505,505103,4,1,1,1
505,505103,3,2,1,1
505,505103,4,1,1,1
505,505103,2,3,1,1
505,505104,2,2,1,1
505,505104,3,2,1,1
505,505104,2,2,1,1
505,505104,4,3,1,1
505,505104,2,0,1,1
505,505104,2,1,1,1
505,505104,4,3,1,1
505,505104,1,0,1,1
505,505104,1,1,1,1
505,505104,4,2,1,1
505,505104,2,1,1,1
505,505105,2,1,1,1
505,505105,3,4,1,1
505,505105,2,0,1,1
505,505105,3,3,1,1
505,505105,3,2,1,1
505,505105,1,2,1,1
505,505105,3,2,1,1
505,505105,4,2,1,1
505,505105,1,0,1,1
505,505105,4,1,1,1
505,505106,2,3,1,1
505,505106,3,2,1,1
505,505106,4,2,1,1
505,505106,2,1,1,1
505,505106,3,1,1,1
505,505106,3,0,1,1
505,505106,3,4,1,1
505,505106,4,2,1,1
505,505106,2,6,1,1
505,505106,3,1,1,1
505,505106,3,1,1,1
505,505106,3,2,1,1
505,505107,4,2,1,1
505,505107,1,3,1,1
505,505107,1,1,1,1
505,505107,3,2,1,1
505,505107,2,2,1,1
505,505107,3,0,1,1
505,505107,2,3,1,1
505,505107,1,0,1,1
505,505107,1,2,1,1
505,505107,1,4,1,1
505,505107,4,4,1,1
506,506102,4,2,0,1
506,506102,2,2,0,1
506,506102,4,6,0,1
506,506102,4,2,0,1
506,506102,3,3,0,1
506,506102,4,3,0,1
506,506103,2,0,0,1
506,506103,4,3,0,1
506,506103,1,2,0,1
506,506103,4,0,0,1
506,506103,1,1,0,1
506,506103,1,1,0,1
506,506105,3,1,0,1
506,506105,4,1,0,1
506,506105,2,3,0,1
506,506105,3,2,0,1
506,506105,1,1,0,1
506,506105,1,3,0,1
506,506105,1,2,0,1
506,506105,2,0,0,1
506,506105,2,1,0,1
506,506105,1,1,0,1
506,506105,3,3,0,1
506,506105,2,3,0,1
506,506105,4,2,0,1
506,506105,3,1,0,1
506,506107,1,1,0,1
506,506107,1,0,0,1
506,506107,2,1,0,1
506,506107,2,1,0,1
506,506107,2,3,0,1
506,506107,1,3,0,1
506,506107,2,0,0,1
506,506107,2,2,0,1
506,506107,1,2,0,1
506,506107,3,4,0,1
506,506110,2,4,0,1
506,506110,2,1,0,1
506,506110,1,1,0,1
506,506110,2,3,0,1
506,506110,2,1,0,1
506,506110,3,1,0,1
506,506110,1,0,0,1
506,506110,2,2,0,1
506,506110,2,0,0,1
506,506110,4,1,0,1
506,506110,2,1,0,1
506,506110,1,1,0,1
506,506110,2,2,0,1
506,506110,1,2,0,1
506,506111,1,4,0,1
506,506111,1,3,0,1
506,506112,1,2,0,1
506,506112,1,0,0,1
506,506112,2,1,0,1
506,506113,3,0,0,1
506,506113,2,1,0,1
506,506114,3,2,0,1
506,506114,1,2,0,1
506,506114,3,1,0,1
506,506114,1,0,0,1
506,506115,1,0,0,1
506,506115,1,2,0,1
506,506115,1,4,0,1
506,506116,2,2,0,1
506,506116,1,2,0,1
506,506116,1,3,0,1
506,506116,2,2,0,1
506,506116,4,0,0,1
506,506116,1,4,0,1
507,507101,4,1,0,1
507,507101,2,2,0,1
507,507101,1,1,0,1
507,507101,4,3,0,1
507,507101,1,1,0,1
507,507101,2,2,0,1
507,507101,1,0,0,1
507,507101,4,1,0,1
507,507101,3,0,0,1
507,507101,4,2,0,1
507,507102,1,1,0,1
507,507102,2,2,0,1
507,507102,1,1,0,1
507,507102,4,1,0,1
507,507102,3,2,0,1
507,507102,3,4,0,1
507,507102,4,1,0,1
507,507102,1,0,0,1
507,507102,3,2,0,1
507,507102,3,1,0,1
507,507102,2,1,0,1
507,507102,1,1,0,1
507,507102,4,1,0,1
507,507102,1,1,0,1
507,507103,4,1,0,1
507,507103,1,1,0,1
507,507103,2,3,0,1
507,507103,4,0,0,1
507,507103,2,3,0,1
507,507103,1,2,0,1
507,507103,1,0,0,1
507,507103,2,1,0,1
507,507103,3,3,0,1
507,507103,3,2,0,1
507,507103,2,4,0,1
507,507104,3,2,0,1
507,507104,1,1,0,1
507,507104,3,1,0,1
507,507104,1,0,0,1
507,507104,3,3,0,1
507,507104,1,0,0,1
507,507105,1,0,0,1
507,507105,4,2,0,1
507,507105,1,2,0,1
507,507105,2,1,0,1
507,507105,2,4,0,1
507,507105,3,2,0,1
507,507105,2,1,0,1
507,507105,1,1,0,1
507,507105,1,5,0,1
507,507105,2,4,0,1
507,507105,4,2,0,1
507,507105,1,1,0,1
507,507105,1,3,0,1
507,507105,2,5,0,1
507,507105,4,3,0,1
507,507105,4,1,0,1
507,507105,1,2,0,1
507,507105,2,1,0,1
507,507105,2,2,0,1
507,507105,1,3,0,1
507,507105,1,1,0,1
507,507105,2,4,0,1
507,507106,1,2,0,1
507,507106,3,4,0,1
507,507106,2,1,0,1
507,507106,1,2,0,1
507,507107,3,2,0,1
507,507107,1,1,0,1
507,507107,1,2,0,1
507,507107,3,1,0,1
507,507107,2,1,0,1
507,507107,4,3,0,1
507,507107,2,1,0,1
508,508101,3,1,0,1
508,508101,3,4,0,1
508,508101,2,1,0,1
508,508101,4,5,0,1
508,508101,4,1,0,1
508,508101,3,3,0,1
508,508101,2,3,0,1
508,508101,3,3,0,1
508,508101,1,0,0,1
508,508101,1,1,0,1
508,508101,2,1,0,1
508,508101,3,4,0,1
508,508101,2,3,0,1
508,508101,2,2,0,1
508,508101,3,2,0,1
508,508101,3,3,0,1
508,508101,4,4,0,1
508,508101,3,4,0,1
508,508101,3,3,0,1
508,508101,4,3,0,1
508,508101,4,3,0,1
508,508101,2,3,0,1
508,508102,4,3,0,1
508,508102,2,1,0,1
508,508102,4,5,0,1
508,508102,3,2,0,1
508,508102,1,4,0,1
508,508102,4,2,0,1
508,508102,3,2,0,1
508,508102,4,4,0,1
508,508102,4,5,0,1
508,508102,4,3,0,1
508,508102,3,4,0,1
508,508102,3,3,0,1
508,508102,3,2,0,1
508,508102,4,2,0,1
508,508102,2,2,0,1
508,508102,3,3,0,1
508,508102,1,1,0,1
508,508102,3,1,0,1
508,508103,4,4,0,1
508,508103,3,3,0,1
508,508103,2,1,0,1
508,508103,3,3,0,1
508,508103,4,3,0,1
508,508103,4,5,0,1
508,508103,4,2,0,1
