obsno,year,cusip,ardssic,scisect,logk,sumpat,pat,pat1,pat2,pat3,pat4,logr,logr1,logr2,logr3,logr4,logr5
6,3,10202,3,0,5.98276,393,68,52,41,36,38,2.60261,2.56625,2.56063,2.59761,2.47475,2.42241
6,4,10202,3,0,5.98276,393,74,68,52,41,36,2.67044,2.60261,2.56625,2.56063,2.59761,2.47475
6,5,10202,3,0,5.98276,393,60,74,68,52,41,2.68509,2.67044,2.60261,2.56625,2.56063,2.59761
7,1,13068,4,1,2.79009,18,2,5,1,2,2,-0.31797,0.04103,0.37104,0.35697,0.22398,0.01098
7,2,13068,4,1,2.79009,18,3,2,5,1,2,-0.18955,-0.31797,0.04103,0.37104,0.35697,0.22398
7,3,13068,4,1,2.79009,18,0,3,2,5,1,-0.19877,-0.18955,-0.31797,0.04103,0.37104,0.35697
7,4,13068,4,1,2.79009,18,2,0,3,2,5,0.07882,-0.19877,-0.18955,-0.31797,0.04103,0.37104
7,5,13068,4,1,2.79009,18,3,2,0,3,2,0.19361,0.07882,-0.19877,-0.18955,-0.31797,0.04103
8,1,17753,19,0,0.67784,11,0,1,0,2,1,-1.80004,-1.36064,-1.71438,-2.73337,-0.59328,-2.30701
8,2,17753,19,0,0.67784,11,1,0,1,0,2,-1.73242,-1.80004,-1.36064,-1.71438,-2.73337,-0.59328
8,3,17753,19,0,0.67784,11,5,1,0,1,0,-1.56029,-1.73242,-1.80004,-1.36064,-1.71438,-2.73337
8,4,17753,19,0,0.67784,11,2,5,1,0,1,-1.54363,-1.56029,-1.73242,-1.80004,-1.36064,-1.71438
8,5,17753,19,0,0.67784,11,0,2,5,1,0,-1.55975,-1.54363,-1.56029,-1.73242,-1.80004,-1.36064
9,1,19087,3,1,7.11358,1000,122,130,126,137,166,3.30975,3.27165,3.29677,3.34836,3.46926,3.44862
9,2,19087,3,1,7.11358,1000,122,122,130,126,137,3.43661,3.30975,3.27165,3.29677,3.34836,3.46926
9,3,19087,3,1,7.11358,1000,146,122,122,130,126,3.60049,3.43661,3.30975,3.27165,3.29677,3.34836
9,4,19087,3,1,7.11358,1000,128,146,122,122,130,3.60264,3.60049,3.43661,3.30975,3.27165,3.29677
9,5,19087,3,1,7.11358,1000,89,128,146,122,122,3.71275,3.60264,3.60049,3.43661,3.30975,3.27165
10,1,19645,-999,0,5.42898,748,105,108,93,136,73,3.44062,3.4012,3.49331,3.52046,3.50446,3.56445
10,2,19645,-999,0,5.42898,748,95,105,108,93,136,3.50288,3.44062,3.4012,3.49331,3.52046,3.50446
10,3,19645,-999,0,5.42898,748,72,95,105,108,93,3.56964,3.50288,3.44062,3.4012,3.49331,3.52046
10,4,19645,-999,0,5.42898,748,65,72,95,105,108,3.63635,3.56964,3.50288,3.44062,3.4012,3.49331
10,5,19645,-999,0,5.42898,748,74,65,72,95,105,3.53468,3.63635,3.56964,3.50288,3.44062,3.4012
11,1,25321,3,1,6.67779,1583,232,183,193,176,216,3.95663,3.91726,3.80746,3.78773,3.79842,3.92833
11,2,25321,3,1,6.67779,1583,188,232,183,193,176,4.11358,3.95663,3.91726,3.80746,3.78773,3.79842
11,3,25321,3,1,6.67779,1583,244,188,232,183,193,4.19056,4.11358,3.95663,3.91726,3.80746,3.78773
11,4,25321,3,1,6.67779,1583,165,244,188,232,183,4.23052,4.19056,4.11358,3.95663,3.91726,3.80746
11,5,25321,3,1,6.67779,1583,202,165,244,188,232,4.28021,4.23052,4.19056,4.11358,3.95663,3.91726
12,1,26681,4,1,4.88654,250,31,30,28,23,26,2.28737,2.23322,2.22208,2.13842,2.01155,1.83232
12,2,26681,4,1,4.88654,250,30,31,30,28,23,2.52511,2.28737,2.23322,2.22208,2.13842,2.01155
12,3,26681,4,1,4.88654,250,34,30,31,30,28,2.74853,2.52511,2.28737,2.23322,2.22208,2.13842
12,4,26681,4,1,4.88654,250,35,34,30,31,30,2.94944,2.74853,2.52511,2.28737,2.23322,2.22208
12,5,26681,4,1,4.88654,250,39,35,34,30,31,3.01069,2.94944,2.74853,2.52511,2.28737,2.23322
13,1,27339,1,0,3.81924,6,0,1,1,4,0,-0.72076,-0.75848,-0.7083,-0.43541,-0.24402,-0.57463
13,2,27339,1,0,3.81924,6,0,0,1,1,4,-1.00137,-0.72076,-0.75848,-0.7083,-0.43541,-0.24402
13,3,27339,1,0,3.81924,6,0,0,0,1,1,-0.48311,-1.00137,-0.72076,-0.75848,-0.7083,-0.43541
13,4,27339,1,0,3.81924,6,0,0,0,0,1,-0.35768,-0.48311,-1.00137,-0.72076,-0.75848,-0.7083
13,5,27339,1,0,3.81924,6,0,0,0,0,0,-0.4216,-0.35768,-0.48311,-1.00137,-0.72076,-0.75848
14,1,31105,17,1,3.64447,54,4,12,11,9,13,0.9582,0.90977,0.90685,1.00173,0.87791,1.01501
14,2,31105,17,1,3.64447,54,3,4,12,11,9,1.05276,0.9582,0.90977,0.90685,1.00173,0.87791
14,3,31105,17,1,3.64447,54,5,3,4,12,11,1.19086,1.05276,0.9582,0.90977,0.90685,1.00173
14,4,31105,17,1,3.64447,54,5,5,3,4,12,1.28748,1.19086,1.05276,0.9582,0.90977,0.90685
14,5,31105,17,1,3.64447,54,5,5,5,3,4,1.51296,1.28748,1.19086,1.05276,0.9582,0.90977
15,1,31897,13,1,4.48365,892,102,127,147,89,98,3.4128,3.67164,3.67563,3.4012,3.22305,3.27677
15,2,31897,13,1,4.48365,892,114,102,127,147,89,3.54193,3.4128,3.67164,3.67563,3.4012,3.22305
15,3,31897,13,1,4.48365,892,105,114,102,127,147,3.68269,3.54193,3.4128,3.67164,3.67563,3.4012
15,4,31897,13,1,4.48365,892,107,105,114,102,127,3.85108,3.68269,3.54193,3.4128,3.67164,3.67563
15,5,31897,13,1,4.48365,892,101,107,105,114,102,3.95865,3.85108,3.68269,3.54193,3.4128,3.67164
16,1,53186,9,0,2.45549,21,2,0,6,4,7,-0.93594,-0.88267,-0.9367,-1.07587,-1.32542,1.19666
16,2,53186,9,0,2.45549,21,1,2,0,6,4,-0.90243,-0.93594,-0.88267,-0.9367,-1.07587,-1.32542
16,3,53186,9,0,2.45549,21,2,1,2,0,6,-0.90538,-0.90243,-0.93594,-0.88267,-0.9367,-1.07587
16,4,53186,9,0,2.45549,21,4,2,1,2,0,-0.91027,-0.90538,-0.90243,-0.93594,-0.88267,-0.9367
16,5,53186,9,0,2.45549,21,2,4,2,1,2,-1.00003,-0.91027,-0.90538,-0.90243,-0.93594,-0.88267
17,1,54303,4,1,5.36305,36,2,4,4,15,4,2.29908,2.52347,2.85243,2.66507,2.50022,2.35001
17,2,54303,4,1,5.36305,36,3,2,4,4,15,2.29662,2.29908,2.52347,2.85243,2.66507,2.50022
17,3,54303,4,1,5.36305,36,2,3,2,4,4,2.37953,2.29662,2.29908,2.52347,2.85243,2.66507
17,4,54303,4,1,5.36305,36,4,2,3,2,4,2.59846,2.37953,2.29662,2.29908,2.52347,2.85243
17,5,54303,4,1,5.36305,36,2,4,2,3,2,2.67435,2.59846,2.37953,2.29662,2.29908,2.52347
18,1,56525,17,1,2.49286,16,3,4,2,0,1,0.07854,0.37009,0.43205,0.53591,0.61654,3.12561
18,2,56525,17,1,2.49286,16,3,3,4,2,0,-0.15722,0.07854,0.37009,0.43205,0.53591,0.61654
18,3,56525,17,1,2.49286,16,0,3,3,4,2,-0.25997,-0.15722,0.07854,0.37009,0.43205,0.53591
18,4,56525,17,1,2.49286,16,2,0,3,3,4,-0.08142,-0.25997,-0.15722,0.07854,0.37009,0.43205
18,5,56525,17,1,2.49286,16,2,2,0,3,3,-0.18839,-0.08142,-0.25997,-0.15722,0.07854,0.37009
19,1,67131,10,0,2.95488,16,1,2,4,6,12,0.35519,-0.09215,0.27444,0.40547,0.45046,0.50418
19,2,67131,10,0,2.95488,16,0,1,2,4,6,0.21414,0.35519,-0.09215,0.27444,0.40547,0.45046
19,3,67131,10,0,2.95488,16,0,0,1,2,4,0.29621,0.21414,0.35519,-0.09215,0.27444,0.40547
19,4,67131,10,0,2.95488,16,1,0,0,1,2,0.50828,0.29621,0.21414,0.35519,-0.09215,0.27444
19,5,67131,10,0,2.95488,16,2,1,0,0,1,0.45016,0.50828,0.29621,0.21414,0.35519,-0.09215
20,1,67797,14,0,0.40603,13,2,0,4,5,6,-0.69082,-0.61587,-0.21054,-0.18152,-0.13293,-0.11448
20,2,67797,14,0,0.40603,13,1,2,0,4,5,-1.54265,-0.69082,-0.61587,-0.21054,-0.18152,-0.13293
20,3,67797,14,0,0.40603,13,1,1,2,0,4,-1.27179,-1.54265,-0.69082,-0.61587,-0.21054,-0.18152
20,4,67797,14,0,0.40603,13,0,1,1,2,0,-1.37933,-1.27179,-1.54265,-0.69082,-0.61587,-0.21054
20,5,67797,14,0,0.40603,13,0,0,1,1,2,-1.44998,-1.37933,-1.27179,-1.54265,-0.69082,-0.61587
21,1,67806,9,0,3.67371,1,0,0,1,0,0,-0.74015,-0.7404,-0.8107,-0.86988,-0.93583,-0.81757
21,2,67806,9,0,3.67371,1,0,0,0,1,0,-0.62156,-0.74015,-0.7404,-0.8107,-0.86988,-0.93583
21,3,67806,9,0,3.67371,1,0,0,0,0,1,-0.67616,-0.62156,-0.74015,-0.7404,-0.8107,-0.86988
21,4,67806,9,0,3.67371,1,0,0,0,0,0,-0.60381,-0.67616,-0.62156,-0.74015,-0.7404,-0.8107
21,5,67806,9,0,3.67371,1,0,0,0,0,0,-0.48857,-0.60381,-0.67616,-0.62156,-0.74015,-0.7404
22,1,68797,19,0,1.43417,0,0,0,0,0,0,-1.22892,-1.22703,-1.16165,-1.04412,-1.01921,-1.05647
22,2,68797,19,0,1.43417,0,0,0,0,0,0,-1.17097,-1.22892,-1.22703,-1.16165,-1.04412,-1.01921
22,3,68797,19,0,1.43417,0,0,0,0,0,0,-0.79782,-1.17097,-1.22892,-1.22703,-1.16165,-1.04412
22,4,68797,19,0,1.43417,0,0,0,0,0,0,-0.68366,-0.79782,-1.17097,-1.22892,-1.22703,-1.16165
22,5,68797,19,0,1.43417,0,0,0,0,0,0,-0.54819,-0.68366,-0.79782,-1.17097,-1.22892,-1.22703
23,1,71707,17,1,3.9704,114,18,7,17,18,24,2.00053,1.92043,1.77962,1.73413,1.65123,1.83514
23,2,71707,17,1,3.9704,114,16,18,7,17,18,2.06482,2.00053,1.92043,1.77962,1.73413,1.65123
23,3,71707,17,1,3.9704,114,14,16,18,7,17,2.07627,2.06482,2.00053,1.92043,1.77962,1.73413
23,4,71707,17,1,3.9704,114,13,14,16,18,7,2.09231,2.07627,2.06482,2.00053,1.92043,1.77962
23,5,71707,17,1,3.9704,114,11,13,14,16,18,2.04253,2.09231,2.07627,2.06482,2.00053,1.92043
24,1,71892,4,1,5.0562,445,47,48,30,32,48,3.0391,2.90569,2.80427,2.63741,2.57073,2.4013
24,2,71892,4,1,5.0562,445,59,47,48,30,32,3.21251,3.0391,2.90569,2.80427,2.63741,2.57073
24,3,71892,4,1,5.0562,445,67,59,47,48,30,3.23648,3.21251,3.0391,2.90569,2.80427,2.63741
24,4,71892,4,1,5.0562,445,69,67,59,47,48,3.2456,3.23648,3.21251,3.0391,2.90569,2.80427
24,5,71892,4,1,5.0562,445,93,69,67,59,47,3.30799,3.2456,3.23648,3.21251,3.0391,2.90569
25,1,75815,17,1,3.39302,337,28,33,42,46,31,2.52164,2.48562,2.49775,2.53099,2.52723,2.68686
25,2,75815,17,1,3.39302,337,47,28,33,42,46,2.57002,2.52164,2.48562,2.49775,2.53099,2.52723
25,3,75815,17,1,3.39302,337,42,47,28,33,42,2.73082,2.57002,2.52164,2.48562,2.49775,2.53099
25,4,75815,17,1,3.39302,337,49,42,47,28,33,2.83836,2.73082,2.57002,2.52164,2.48562,2.49775
25,5,75815,17,1,3.39302,337,50,49,42,47,28,2.9603,2.83836,2.73082,2.57002,2.52164,2.48562
26,1,75887,4,1,4.68902,276,21,55,27,37,22,2.63119,2.59977,2.49084,2.44634,2.5131,2.53312
26,2,75887,4,1,4.68902,276,26,21,55,27,37,2.69185,2.63119,2.59977,2.49084,2.44634,2.5131
26,3,75887,4,1,4.68902,276,44,26,21,55,27,2.87938,2.69185,2.63119,2.59977,2.49084,2.44634
26,4,75887,4,1,4.68902,276,34,44,26,21,55,2.86182,2.87938,2.69185,2.63119,2.59977,2.49084
26,5,75887,4,1,4.68902,276,32,34,44,26,21,2.96404,2.86182,2.87938,2.69185,2.63119,2.59977
27,1,77455,8,0,3.00195,26,4,1,3,3,2,0.35192,0.3986,0.29704,0.27763,0.23562,0.26677
27,2,77455,8,0,3.00195,26,3,4,1,3,3,0.50182,0.35192,0.3986,0.29704,0.27763,0.23562
27,3,77455,8,0,3.00195,26,4,3,4,1,3,0.59265,0.50182,0.35192,0.3986,0.29704,0.27763
27,4,77455,8,0,3.00195,26,2,4,3,4,1,0.66117,0.59265,0.50182,0.35192,0.3986,0.29704
27,5,77455,8,0,3.00195,26,6,2,4,3,4,0.8376,0.66117,0.59265,0.50182,0.35192,0.3986
28,1,77851,17,1,4.17209,469,67,62,63,82,66,2.82193,2.89567,3.10297,3.10808,2.91011,3.02188
28,2,77851,17,1,4.17209,469,70,67,62,63,82,2.74531,2.82193,2.89567,3.10297,3.10808,2.91011
28,3,77851,17,1,4.17209,469,43,70,67,62,63,2.84901,2.74531,2.82193,2.89567,3.10297,3.10808
28,4,77851,17,1,4.17209,469,48,43,70,67,62,2.7072,2.84901,2.74531,2.82193,2.89567,3.10297
28,5,77851,17,1,4.17209,469,34,48,43,70,67,2.74556,2.7072,2.84901,2.74531,2.82193,2.89567
29,1,87509,8,0,8.10571,240,18,34,38,48,34,3.37624,3.31682,3.26659,3.16125,3.14958,3.29739
29,2,87509,8,0,8.10571,240,29,18,34,38,48,3.46913,3.37624,3.31682,3.26659,3.16125,3.14958
29,3,87509,8,0,8.10571,240,26,29,18,34,38,3.37645,3.46913,3.37624,3.31682,3.26659,3.16125
29,4,87509,8,0,8.10571,240,23,26,29,18,34,3.16063,3.37645,3.46913,3.37624,3.31682,3.26659
29,5,87509,8,0,8.10571,240,24,23,26,29,18,3.17485,3.16063,3.37645,3.46913,3.37624,3.31682
30,1,90743,5,0,3.53432,23,3,4,4,4,3,0.02003,-0.05625,-0.12818,-0.23193,-0.34805,-0.39886
30,2,90743,5,0,3.53432,23,4,3,4,4,4,0.15236,0.02003,-0.05625,-0.12818,-0.23193,-0.34805
30,3,90743,5,0,3.53432,23,2,4,3,4,4,0.18586,0.15236,0.02003,-0.05625,-0.12818,-0.23193
30,4,90743,5,0,3.53432,23,1,2,4,3,4,0.17188,0.18586,0.15236,0.02003,-0.05625,-0.12818
30,5,90743,5,0,3.53432,23,1,1,2,4,3,0.22877,0.17188,0.18586,0.15236,0.02003,-0.05625
31,1,97023,16,0,6.46371,739,84,93,74,41,32,4.98568,5.02478,3.96085,3.94412,4.10117,4.28988
31,2,97023,16,0,6.46371,739,97,84,93,74,41,4.94405,4.98568,5.02478,3.96085,3.94412,4.10117
31,3,97023,16,0,6.46371,739,116,97,84,93,74,5.02312,4.94405,4.98568,5.02478,3.96085,3.94412
31,4,97023,16,0,6.46371,739,120,116,97,84,93,5.16778,5.02312,4.94405,4.98568,5.02478,3.96085
31,5,97023,16,0,6.46371,739,114,120,116,97,84,5.72262,5.16778,5.02312,4.94405,4.98568,5.02478
32,1,97383,18,0,6.81298,40,6,5,2,3,7,0.57517,0.80617,0.75023,0.74146,1.65444,1.60279
32,2,97383,18,0,6.81298,40,5,6,5,2,3,0.88449,0.57517,0.80617,0.75023,0.74146,1.65444
32,3,97383,18,0,6.81298,40,4,5,6,5,2,1.00051,0.88449,0.57517,0.80617,0.75023,0.74146
32,4,97383,18,0,6.81298,40,7,4,5,6,5,1.00027,1.00051,0.88449,0.57517,0.80617,0.75023
32,5,97383,18,0,6.81298,40,8,7,4,5,6,1.11592,1.00027,1.00051,0.88449,0.57517,0.80617
33,1,99725,15,0,6.15716,667,78,83,74,90,93,3.49166,3.58542,3.65677,3.75352,3.71436,3.78719
33,2,99725,15,0,6.15716,667,112,78,83,74,90,3.4805,3.49166,3.58542,3.65677,3.75352,3.71436
33,3,99725,15,0,6.15716,667,97,112,78,83,74,3.54422,3.4805,3.49166,3.58542,3.65677,3.75352
33,4,99725,15,0,6.15716,667,58,97,112,78,83,3.62625,3.54422,3.4805,3.49166,3.58542,3.65677
33,5,99725,15,0,6.15716,667,75,58,97,112,78,3.48061,3.62625,3.54422,3.4805,3.49166,3.58542
34,1,106763,9,0,1.50704,8,0,1,1,1,0,-2.25324,-2.70805,-2.00695,-1.20397,-0.8225,-0.95111
34,2,106763,9,0,1.50704,8,3,0,1,1,1,-2.15338,-2.25324,-2.70805,-2.00695,-1.20397,-0.8225
34,3,106763,9,0,1.50704,8,0,3,0,1,1,-2.77465,-2.15338,-2.25324,-2.70805,-2.00695,-1.20397
34,4,106763,9,0,1.50704,8,2,0,3,0,1,-2.6973,-2.77465,-2.15338,-2.25324,-2.70805,-2.00695
34,5,106763,9,0,1.50704,8,0,2,0,3,0,-2.42504,-2.6973,-2.77465,-2.15338,-2.25324,-2.70805
35,1,110097,4,1,5.61542,529,71,52,54,64,40,3.9186,3.87632,3.83708,3.84018,3.77146,3.73722
35,2,110097,4,1,5.61542,529,66,71,52,54,64,3.95105,3.9186,3.87632,3.83708,3.84018,3.77146
35,3,110097,4,1,5.61542,529,75,66,71,52,54,4.01256,3.95105,3.9186,3.87632,3.83708,3.84018
35,4,110097,4,1,5.61542,529,79,75,66,71,52,4.05317,4.01256,3.95105,3.9186,3.87632,3.83708
35,5,110097,4,1,5.61542,529,68,79,75,66,71,4.09372,4.05317,4.01256,3.95105,3.9186,3.87632
36,1,117421,8,0,3.76713,7,1,1,1,4,1,0.49451,0.58731,0.61244,0.64972,0.50305,0.4833
36,2,117421,8,0,3.76713,7,0,1,1,1,4,0.48387,0.49451,0.58731,0.61244,0.64972,0.50305
36,3,117421,8,0,3.76713,7,0,0,1,1,1,0.53172,0.48387,0.49451,0.58731,0.61244,0.64972
36,4,117421,8,0,3.76713,7,0,0,0,1,1,0.52157,0.53172,0.48387,0.49451,0.58731,0.61244
36,5,117421,8,0,3.76713,7,0,0,0,0,1,0.68643,0.52157,0.53172,0.48387,0.49451,0.58731
37,1,118745,10,0,3.82627,30,4,6,8,0,15,2.011,1.84448,1.5474,1.96291,1.96705,1.89048
37,2,118745,10,0,3.82627,30,4,4,6,8,0,2.30918,2.011,1.84448,1.5474,1.96291,1.96705
37,3,118745,10,0,3.82627,30,1,4,4,6,8,2.28948,2.30918,2.011,1.84448,1.5474,1.96291
37,4,118745,10,0,3.82627,30,4,1,4,4,6,2.30702,2.28948,2.30918,2.011,1.84448,1.5474
37,5,118745,10,0,3.82627,30,3,4,1,4,4,2.2622,2.30702,2.28948,2.30918,2.011,1.84448
38,1,120655,14,0,5.02772,360,38,40,41,43,58,1.25332,2.03532,1.77613,1.74344,2.43376,2.49661
38,2,120655,14,0,5.02772,360,39,38,40,41,43,0.97271,1.25332,2.03532,1.77613,1.74344,2.43376
38,3,120655,14,0,5.02772,360,67,39,38,40,41,1.19086,0.97271,1.25332,2.03532,1.77613,1.74344
38,4,120655,14,0,5.02772,360,53,67,39,38,40,1.7399,1.19086,0.97271,1.25332,2.03532,1.77613
38,5,120655,14,0,5.02772,360,39,53,67,39,38,1.32648,1.7399,1.19086,0.97271,1.25332,2.03532
39,1,121691,2,0,6.74115,104,17,10,14,20,27,1.35868,1.63476,1.5474,1.79176,2.03287,2.15284
39,2,121691,2,0,6.74115,104,15,17,10,14,20,1.30122,1.35868,1.63476,1.5474,1.79176,2.03287
39,3,121691,2,0,6.74115,104,9,15,17,10,14,1.23169,1.30122,1.35868,1.63476,1.5474,1.79176
39,4,121691,2,0,6.74115,104,9,9,15,17,10,1.15645,1.23169,1.30122,1.35868,1.63476,1.5474
39,5,121691,2,0,6.74115,104,10,9,9,15,17,1.16359,1.15645,1.23169,1.30122,1.35868,1.63476
40,1,122781,11,1,6.68149,859,132,83,90,84,97,4.36389,4.29081,4.1216,3.92715,3.9032,3.90538
40,2,122781,11,1,6.68149,859,93,132,83,90,84,4.37339,4.36389,4.29081,4.1216,3.92715,3.9032
40,3,122781,11,1,6.68149,859,143,93,132,83,90,4.4293,4.37339,4.36389,4.29081,4.1216,3.92715
40,4,122781,11,1,6.68149,859,105,143,93,132,83,4.50671,4.4293,4.37339,4.36389,4.29081,4.1216
40,5,122781,11,1,6.68149,859,129,105,143,93,132,4.5906,4.50671,4.4293,4.37339,4.36389,4.29081
41,1,124884,-999,0,3.02225,3,0,1,0,1,3,-0.66779,-0.52807,-0.07512,-0.16252,-0.46583,0.19402
41,2,124884,-999,0,3.02225,3,1,0,1,0,1,-0.62705,-0.66779,-0.52807,-0.07512,-0.16252,-0.46583
41,3,124884,-999,0,3.02225,3,0,1,0,1,0,-0.63652,-0.62705,-0.66779,-0.52807,-0.07512,-0.16252
41,4,124884,-999,0,3.02225,3,0,0,1,0,1,-0.7568,-0.63652,-0.62705,-0.66779,-0.52807,-0.07512
41,5,124884,-999,0,3.02225,3,0,0,0,1,0,-0.04707,-0.7568,-0.63652,-0.62705,-0.66779,-0.52807
42,1,126149,1,0,6.45013,131,13,23,26,13,20,2.82655,2.71859,2.71218,2.79423,2.9519,2.93193
42,2,126149,1,0,6.45013,131,16,13,23,26,13,2.89045,2.82655,2.71859,2.71218,2.79423,2.9519
42,3,126149,1,0,6.45013,131,13,16,13,23,26,2.86093,2.89045,2.82655,2.71859,2.71218,2.79423
42,4,126149,1,0,6.45013,131,11,13,16,13,23,2.87922,2.86093,2.89045,2.82655,2.71859,2.71218
42,5,126149,1,0,6.45013,131,16,11,13,16,13,2.98225,2.87922,2.86093,2.89045,2.82655,2.71859
43,1,127055,8,1,5.6196,105,15,19,13,14,11,2.30686,2.27959,2.23734,2.37146,2.46243,2.3992
43,2,127055,8,1,5.6196,105,16,15,19,13,14,2.2812,2.30686,2.27959,2.23734,2.37146,2.46243
43,3,127055,8,1,5.6196,105,12,16,15,19,13,2.32011,2.2812,2.30686,2.27959,2.23734,2.37146
43,4,127055,8,1,5.6196,105,8,12,16,15,19,2.32571,2.32011,2.2812,2.30686,2.27959,2.23734
43,5,127055,8,1,5.6196,105,8,8,12,16,15,2.36399,2.32571,2.32011,2.2812,2.30686,2.27959
44,1,146285,4,1,3.38284,18,5,2,4,3,3,1.95355,1.81833,2.07591,2.11288,2.03684,2.21135
44,2,146285,4,1,3.38284,18,0,5,2,4,3,1.90957,1.95355,1.81833,2.07591,2.11288,2.03684
44,3,146285,4,1,3.38284,18,1,0,5,2,4,1.88568,1.90957,1.95355,1.81833,2.07591,2.11288
44,4,146285,4,1,3.38284,18,3,1,0,5,2,1.93504,1.88568,1.90957,1.95355,1.81833,2.07591
44,5,146285,4,1,3.38284,18,0,3,1,0,5,1.96159,1.93504,1.88568,1.90957,1.95355,1.81833
45,1,149123,10,0,6.83828,2288,428,278,213,191,166,4.54338,4.49981,4.48232,4.6511,4.65515,4.52953
45,2,149123,10,0,6.83828,2288,388,428,278,213,191,4.48177,4.54338,4.49981,4.48232,4.6511,4.65515
45,3,149123,10,0,6.83828,2288,378,388,428,278,213,4.63088,4.48177,4.54338,4.49981,4.48232,4.6511
45,4,149123,10,0,6.83828,2288,217,378,388,428,278,4.64077,4.63088,4.48177,4.54338,4.49981,4.48232
45,5,149123,10,0,6.83828,2288,195,217,378,388,428,4.70849,4.64077,4.63088,4.48177,4.54338,4.49981
46,1,149645,4,1,-0.24946,33,5,5,1,1,1,0.17647,-0.07819,-0.14,-0.16724,-0.21767,-0.08761
46,2,149645,4,1,-0.24946,33,8,5,5,1,1,0.54279,0.17647,-0.07819,-0.14,-0.16724,-0.21767
46,3,149645,4,1,-0.24946,33,6,8,5,5,1,0.59869,0.54279,0.17647,-0.07819,-0.14,-0.16724
46,4,149645,4,1,-0.24946,33,2,6,8,5,5,0.56622,0.59869,0.54279,0.17647,-0.07819,-0.14
46,5,149645,4,1,-0.24946,33,5,2,6,8,5,0.46241,0.56622,0.59869,0.54279,0.17647,-0.07819
47,1,150843,3,1,7.20084,578,68,84,78,82,129,3.90812,3.90344,3.82978,3.95508,3.98269,4.07653
47,2,150843,3,1,7.20084,578,71,68,84,78,82,3.94028,3.90812,3.90344,3.82978,3.95508,3.98269
