school,student,gcse,lrt,girl,schgend,avslrt,schav,vrband
2,31,4.0267,16.935001,1,3,3.9515,3,1
2,32,-19.621,-4.5541,1,3,3.9515,3,2
2,33,3.2807002,13.629,1,3,3.9515,3,1
2,34,-14.386999,-27.697,1,3,3.9515,3,3
2,35,20.397,2.8845,1,3,3.9515,3,2
2,36,6.1073,-4.5541,1,3,3.9515,3,2
2,37,-5.5511,-1.2479999,1,3,3.9515,3,2
2,38,20.397,3.711,1,3,3.9515,3,2
2,39,-6.2304997,-16.952,1,3,3.9515,3,3
2,40,-11.186,-6.2071,1,3,3.9515,3,2
2,41,7.4723,0.40499002,1,3,3.9515,3,2
2,42,18.138,24.374,1,3,3.9515,3,1
2,43,19.771,20.241001,1,3,3.9515,3,1
2,44,-12.195,2.058,1,3,3.9515,3,2
2,45,4.0267,12.803,1,3,3.9515,3,1
2,46,11.094,21.894,1,3,3.9515,3,1
2,47,10.396,16.109001,1,3,3.9515,3,1
2,48,-2.6516,-5.3806,1,3,3.9515,3,2
2,49,16.618,7.0171,1,3,3.9515,3,1
2,50,21.029999,21.894,1,3,3.9515,3,1
2,51,31.34,12.803,1,3,3.9515,3,1
2,52,6.1073,-4.5541,1,3,3.9515,3,2
2,53,6.1073,-0.42152,1,3,3.9515,3,2
2,54,-13.353,-11.166,1,3,3.9515,3,3
2,55,-8.5267,-11.166,1,3,3.9515,3,3
3,1,-1.9761001,-0.42152,1,1,5.1415997,3,2
3,2,29.247,13.629,1,1,5.1415997,3,1
3,3,-6.9951,13.629,1,1,5.1415997,3,1
3,4,24.087,14.456,0,1,5.1415997,3,1
3,5,8.9657,-1.2479999,0,1,5.1415997,3,2
3,6,1.3406999,-5.3806,0,1,5.1415997,3,2
3,7,-6.9951,7.0171,0,1,5.1415997,3,1
3,8,0.043218,-0.42152,0,1,5.1415997,3,2
3,9,-0.62088,-18.605,0,1,5.1415997,3,3
3,10,11.757999,1.2315,1,1,5.1415997,3,2
3,11,19.771,24.374,0,1,5.1415997,3,1
3,12,-2.6516,12.803,1,1,5.1415997,3,1
3,13,6.7876,-6.2071,1,1,5.1415997,3,2
3,14,2.6132,11.976,1,1,5.1415997,3,1
3,15,9.6758995,2.058,1,1,5.1415997,3,2
3,16,15.061999,-2.0746,1,1,5.1415997,3,2
3,17,13.747,3.711,0,1,5.1415997,3,1
3,18,2.6132,-2.0746,0,1,5.1415997,3,2
3,19,18.138,11.976,0,1,5.1415997,3,1
3,20,1.3406999,3.711,1,1,5.1415997,3,2
3,21,-11.186,-11.166,0,1,5.1415997,3,3
3,22,4.0267,2.8845,1,1,5.1415997,3,2
3,23,15.792,7.0171,1,1,5.1415997,3,1
3,24,7.4723,6.1906,0,1,5.1415997,3,1
3,25,4.0267,2.8845,1,1,5.1415997,3,2
3,26,18.138,12.803,1,1,5.1415997,3,1
3,27,20.397,24.374,0,1,5.1415997,3,1
3,28,22.031,18.588001,0,1,5.1415997,3,1
3,29,8.2199,10.323,1,1,5.1415997,3,1
3,30,20.397,9.4967,1,1,5.1415997,3,1
3,31,19.771,24.374,0,1,5.1415997,3,1
3,32,14.3949995,7.0171,0,1,5.1415997,3,1
3,33,15.792,9.4967,1,1,5.1415997,3,1
3,34,12.405,10.323,0,1,5.1415997,3,1
3,35,13.747,3.711,1,1,5.1415997,3,2
3,36,8.9657,11.976,1,1,5.1415997,3,1
3,37,8.2199,-6.2071,0,1,5.1415997,3,2
3,38,21.029999,9.4967,1,1,5.1415997,3,1
3,39,-3.3884,-9.5132,0,1,5.1415997,3,2
3,40,10.396,0.40499002,0,1,5.1415997,3,2
3,41,14.3949995,0.40499002,0,1,5.1415997,3,2
3,42,1.3406999,6.1906,0,1,5.1415997,3,1
3,43,11.094,2.058,0,1,5.1415997,3,2
3,44,15.061999,9.4967,1,1,5.1415997,3,1
3,45,-9.3938,-2.9011,0,1,5.1415997,3,2
3,46,-2.6516,-8.6867,0,1,5.1415997,3,2
3,47,6.1073,12.803,1,1,5.1415997,3,1
3,48,7.4723,5.3640995,0,1,5.1415997,3,1
3,49,-4.9278,2.8845,1,1,5.1415997,3,2
3,50,-1.9761001,6.1906,0,1,5.1415997,3,1
3,51,9.6758995,5.3640995,0,1,5.1415997,3,2
3,52,22.031,-0.42152,0,1,5.1415997,3,2
4,1,6.7876,3.711,1,1,0.91764003,2,2
4,2,4.7819,-2.0746,0,1,0.91764003,2,2
4,3,2.6132,18.588001,0,1,0.91764003,2,1
4,4,1.9415,1.2315,1,1,0.91764003,2,2
4,5,-17.239,-12.819,0,1,0.91764003,2,3
4,6,-4.198,-5.3806,0,1,0.91764003,2,2
4,7,4.0267,-3.7276,1,1,0.91764003,2,2
4,8,-1.9761001,-4.5541,0,1,0.91764003,2,2
4,9,0.73536,8.6701,1,1,0.91764003,2,1
4,10,-15.267,-8.6867,0,1,0.91764003,2,2
4,11,-2.6516,-2.9011,1,1,0.91764003,2,2
4,12,-8.5267,-10.34,0,1,0.91764003,2,2
4,13,3.2807002,19.414999,0,1,0.91764003,2,1
4,14,-8.5267,-7.0336003,0,1,0.91764003,2,2
4,15,4.0267,-0.42152,0,1,0.91764003,2,2
4,16,-6.9951,-2.0746,0,1,0.91764003,2,2
4,17,6.7876,-4.5541,1,1,0.91764003,2,2
4,18,25.324,8.6701,1,1,0.91764003,2,1
4,19,15.792,3.711,0,1,0.91764003,2,2
4,20,-16.237,-23.564,0,1,0.91764003,2,3
4,21,-3.3884,2.8845,0,1,0.91764003,2,2
4,22,-4.198,-1.2479999,1,1,0.91764003,2,2
4,23,-6.2304997,2.058,0,1,0.91764003,2,2
4,24,13.101,6.1906,1,1,0.91764003,2,1
4,25,6.7876,9.4967,1,1,0.91764003,2,1
4,26,-2.6516,-8.6867,0,1,0.91764003,2,2
4,27,-22.917,-8.6867,1,1,0.91764003,2,2
4,28,-6.9951,-11.993,0,1,0.91764003,2,3
4,29,-14.386999,-17.778,1,1,0.91764003,2,3
4,30,-1.2908,6.1906,0,1,0.91764003,2,1
4,31,1.9415,-0.42152,0,1,0.91764003,2,2
4,32,5.4434004,5.3640995,0,1,0.91764003,2,1
4,33,6.7876,-7.0336003,0,1,0.91764003,2,2
4,34,-0.62088,9.4967,0,1,0.91764003,2,1
4,35,11.094,3.711,0,1,0.91764003,2,1
4,36,-6.9951,7.8436,0,1,0.91764003,2,1
4,37,-8.5267,3.711,1,1,0.91764003,2,2
4,38,-13.353,-18.605,0,1,0.91764003,2,3
4,39,-22.917,-18.605,0,1,0.91764003,2,3
4,40,1.9415,-5.3806,1,1,0.91764003,2,2
4,41,14.3949995,6.1906,1,1,0.91764003,2,1
4,42,1.3406999,0.40499002,1,1,0.91764003,2,2
4,43,-5.5511,0.40499002,1,1,0.91764003,2,2
4,44,-5.5511,-9.5132,0,1,0.91764003,2,2
4,45,8.9657,1.2315,1,1,0.91764003,2,2
4,46,-5.5511,-2.0746,0,1,0.91764003,2,2
4,47,20.397,17.762001,1,1,0.91764003,2,1
4,48,8.2199,0.40499002,0,1,0.91764003,2,2
4,49,15.792,-5.3806,1,1,0.91764003,2,2
4,50,10.396,0.40499002,1,1,0.91764003,2,2
4,51,21.029999,22.721,1,1,0.91764003,2,1
4,52,5.4434004,11.976,0,1,0.91764003,2,1
4,53,19.771,23.547,0,1,0.91764003,2,1
4,54,6.7876,15.282001,1,1,0.91764003,2,1
4,55,7.4723,7.0171,0,1,0.91764003,2,1
4,56,15.061999,21.068,0,1,0.91764003,2,1
4,57,21.029999,8.6701,1,1,0.91764003,2,1
4,58,-5.5511,-7.0336003,0,1,0.91764003,2,2
4,59,-5.5511,-6.2071,1,1,0.91764003,2,2
4,60,-0.62088,8.6701,1,1,0.91764003,2,1
4,61,-10.290999,2.058,0,1,0.91764003,2,2
4,62,-6.2304997,1.2315,0,1,0.91764003,2,2
4,63,-4.9278,-7.8602,1,1,0.91764003,2,2
4,64,-9.3938,-17.778,1,1,0.91764003,2,3
4,65,-10.290999,-7.8602,1,1,0.91764003,2,2
4,66,0.73536,6.1906,1,1,0.91764003,2,1
4,67,11.757999,16.935001,0,1,0.91764003,2,1
4,68,-12.195,-7.0336003,0,1,0.91764003,2,2
4,69,-6.2304997,-0.42152,0,1,0.91764003,2,2
4,70,23.136002,4.5376,1,1,0.91764003,2,2
4,71,-16.237,-9.5132,0,1,0.91764003,2,2
4,72,-5.5511,0.40499002,0,1,0.91764003,2,2
4,73,-2.6516,7.8436,1,1,0.91764003,2,1
4,74,-8.5267,-2.9011,0,1,0.91764003,2,2
4,75,7.4723,7.8436,1,1,0.91764003,2,1
4,76,11.094,18.588001,1,1,0.91764003,2,1
4,77,19.003,14.456,0,1,0.91764003,2,1
4,78,-0.62088,-5.3806,0,1,0.91764003,2,2
4,79,3.2807002,1.2315,0,1,0.91764003,2,2
5,1,10.396,-3.7276,1,1,2.1052,3,2
5,2,10.396,2.058,0,1,2.1052,3,2
5,3,1.9415,2.8845,1,1,2.1052,3,2
5,4,1.9415,0.40499002,0,1,2.1052,3,2
5,5,2.6132,9.4967,0,1,2.1052,3,1
5,6,15.061999,7.0171,1,1,2.1052,3,1
5,7,3.2807002,11.976,1,1,2.1052,3,1
5,8,-1.2908,-3.7276,1,1,2.1052,3,2
5,9,-11.186,-3.7276,1,1,2.1052,3,2
5,10,1.9415,5.3640995,1,1,2.1052,3,2
5,11,3.2807002,-1.2479999,0,1,2.1052,3,2
5,12,11.094,17.762001,0,1,2.1052,3,1
5,13,7.4723,4.5376,1,1,2.1052,3,2
5,14,-0.62088,-3.7276,0,1,2.1052,3,2
5,15,4.0267,-2.0746,0,1,2.1052,3,2
5,16,21.029999,20.241001,1,1,2.1052,3,1
5,17,3.2807002,-6.2071,0,1,2.1052,3,2
5,18,15.792,-2.0746,0,1,2.1052,3,2
5,19,6.1073,2.8845,1,1,2.1052,3,2
5,20,6.7876,6.1906,1,1,2.1052,3,1
5,21,1.9415,5.3640995,0,1,2.1052,3,1
5,22,-1.2908,-11.993,1,1,2.1052,3,2
5,23,11.757999,-3.7276,1,1,2.1052,3,2
5,24,2.6132,7.0171,0,1,2.1052,3,1
5,25,14.3949995,11.976,1,1,2.1052,3,1
5,26,4.7819,1.2315,0,1,2.1052,3,2
5,27,-12.195,-7.0336003,1,1,2.1052,3,2
5,28,-4.9278,-2.9011,0,1,2.1052,3,2
5,29,13.101,4.5376,0,1,2.1052,3,2
5,30,6.1073,5.3640995,0,1,2.1052,3,1
5,31,-7.7611,-7.8602,1,1,2.1052,3,2
5,32,-12.195,-3.7276,1,1,2.1052,3,2
5,33,11.757999,8.6701,0,1,2.1052,3,1
5,34,4.0267,5.3640995,1,1,2.1052,3,1
5,35,-4.198,-2.9011,1,1,2.1052,3,2
6,1,6.1073,-4.5541,1,3,6.3766003,3,2
6,2,10.396,4.5376,1,3,6.3766003,3,1
6,3,8.9657,5.3640995,1,3,6.3766003,3,1
6,4,4.0267,8.6701,1,3,6.3766003,3,1
6,5,1.9415,15.282001,1,3,6.3766003,3,1
6,6,19.003,8.6701,1,3,6.3766003,3,1
6,7,0.73536,19.414999,1,3,6.3766003,3,1
6,8,13.101,16.109001,1,3,6.3766003,3,1
6,9,20.397,8.6701,1,3,6.3766003,3,1
6,10,15.792,6.1906,1,3,6.3766003,3,1
6,11,19.003,2.058,1,3,6.3766003,3,2
6,12,-2.6516,2.058,1,3,6.3766003,3,2
6,13,19.771,21.894,1,3,6.3766003,3,1
6,14,8.2199,6.1906,1,3,6.3766003,3,1
6,15,7.4723,-10.34,1,3,6.3766003,3,3
6,16,16.618,22.721,1,3,6.3766003,3,1
6,17,23.136002,5.3640995,1,3,6.3766003,3,1
6,18,13.747,5.3640995,1,3,6.3766003,3,1
6,19,17.348999,11.976,1,3,6.3766003,3,1
6,20,6.7876,7.8436,1,3,6.3766003,3,1
6,21,22.031,18.588001,1,3,6.3766003,3,1
6,22,14.3949995,1.2315,1,3,6.3766003,3,2
6,23,4.0267,0.40499002,1,3,6.3766003,3,2
6,24,10.396,-1.2479999,1,3,6.3766003,3,2
6,25,-4.198,-3.7276,1,3,6.3766003,3,2
6,26,2.6132,-10.34,1,3,6.3766003,3,2
6,27,12.405,12.803,1,3,6.3766003,3,1
6,28,4.7819,8.6701,1,3,6.3766003,3,1
6,29,10.396,-9.5132,1,3,6.3766003,3,3
6,30,8.9657,8.6701,1,3,6.3766003,3,1
6,31,21.029999,23.547,1,3,6.3766003,3,1
6,32,5.4434004,-3.7276,1,3,6.3766003,3,2
6,33,9.6758995,21.894,1,3,6.3766003,3,1
6,34,15.792,12.803,1,3,6.3766003,3,1
6,35,26.266998,20.241001,1,3,6.3766003,3,1
6,36,12.405,3.711,1,3,6.3766003,3,1
6,37,6.1073,9.4967,1,3,6.3766003,3,1
6,38,13.747,8.6701,1,3,6.3766003,3,1
6,39,12.405,2.8845,1,3,6.3766003,3,2
6,40,19.771,14.456,1,3,6.3766003,3,1
6,41,8.2199,1.2315,1,3,6.3766003,3,2
6,42,-17.239,-14.471999,1,3,6.3766003,3,3
6,43,0.73536,6.1906,1,3,6.3766003,3,1
6,44,15.792,11.976,1,3,6.3766003,3,1
6,45,15.792,9.4967,1,3,6.3766003,3,1
6,46,23.136002,11.976,1,3,6.3766003,3,1
6,47,1.9415,3.711,1,3,6.3766003,3,2
6,48,17.348999,22.721,1,3,6.3766003,3,1
6,49,17.348999,18.588001,1,3,6.3766003,3,1
6,50,0.043218,-3.7276,1,3,6.3766003,3,2
6,51,9.6758995,-2.0746,1,3,6.3766003,3,2
6,52,13.747,-1.2479999,1,3,6.3766003,3,2
6,53,13.101,20.241001,1,3,6.3766003,3,1
6,54,5.4434004,2.8845,1,3,6.3766003,3,2
6,55,15.792,13.629,1,3,6.3766003,3,1
6,56,-6.9951,0.40499002,1,3,6.3766003,3,2
6,57,12.405,16.935001,1,3,6.3766003,3,1
6,58,11.757999,5.3640995,1,3,6.3766003,3,2
6,59,4.0267,2.058,1,3,6.3766003,3,2
6,60,17.348999,11.976,1,3,6.3766003,3,1
6,61,-9.3938,2.8845,1,3,6.3766003,3,2
6,62,4.0267,3.711,1,3,6.3766003,3,1
6,63,13.101,6.1906,1,3,6.3766003,3,1
6,64,0.043218,-0.42152,1,3,6.3766003,3,2
6,65,11.094,-2.9011,1,3,6.3766003,3,2
6,66,8.9657,0.40499002,1,3,6.3766003,3,2
6,67,-4.9278,-2.0746,1,3,6.3766003,3,2
6,68,4.7819,-6.2071,1,3,6.3766003,3,2
6,69,8.2199,8.6701,1,3,6.3766003,3,1
6,70,6.7876,1.2315,1,3,6.3766003,3,2
6,71,18.138,10.323,1,3,6.3766003,3,1
6,72,15.061999,11.15,1,3,6.3766003,3,1
6,73,9.6758995,1.2315,1,3,6.3766003,3,2
6,74,3.2807002,-3.7276,1,3,6.3766003,3,2
6,75,-4.198,4.5376,1,3,6.3766003,3,2
6,76,3.2807002,-1.2479999,1,3,6.3766003,3,2
6,77,3.2807002,16.109001,1,3,6.3766003,3,1
6,78,-6.2304997,5.3640995,1,3,6.3766003,3,1
6,79,19.771,11.15,1,3,6.3766003,3,1
6,80,13.101,2.8845,1,3,6.3766003,3,2
7,1,-21.085999,2.8845,1,3,-0.29003,2,2
7,2,-4.198,-23.564,1,3,-0.29003,2,3
7,3,4.7819,-7.0336003,1,3,-0.29003,2,2
7,4,2.6132,-3.7276,1,3,-0.29003,2,2
7,5,-13.353,-11.166,1,3,-0.29003,2,3
7,6,7.4723,2.058,1,3,-0.29003,2,2
7,7,-4.198,1.2315,1,3,-0.29003,2,2
7,8,0.043218,-4.5541,1,3,-0.29003,2,2
7,9,4.7819,0.40499002,1,3,-0.29003,2,2
7,10,15.792,10.323,1,3,-0.29003,2,1
7,11,16.618,-10.34,1,3,-0.29003,2,3
7,12,8.9657,-1.2479999,1,3,-0.29003,2,2
7,13,9.6758995,0.40499002,1,3,-0.29003,2,2
7,14,13.747,9.4967,1,3,-0.29003,2,1
7,15,8.2199,-2.0746,1,3,-0.29003,2,2
7,16,3.2807002,-3.7276,1,3,-0.29003,2,2
7,17,12.405,4.5376,1,3,-0.29003,2,1
7,18,0.043218,5.3640995,1,3,-0.29003,2,1
7,19,-4.9278,-5.3806,1,3,-0.29003,2,2
7,20,8.9657,-2.0746,1,3,-0.29003,2,2
7,21,5.4434004,-2.9011,1,3,-0.29003,2,2
7,22,-2.6516,-0.42152,1,3,-0.29003,2,2
7,23,1.9415,-5.3806,1,3,-0.29003,2,2
7,24,19.771,16.935001,1,3,-0.29003,2,1
7,25,13.101,-1.2479999,1,3,-0.29003,2,2
7,26,17.348999,-2.9011,1,3,-0.29003,2,2
7,27,4.7819,-7.0336003,1,3,-0.29003,2,2
7,28,11.094,-2.0746,1,3,-0.29003,2,2
7,29,12.405,24.374,1,3,-0.29003,2,1
7,30,6.7876,18.588001,1,3,-0.29003,2,1
7,31,-8.5267,-8.6867,1,3,-0.29003,2,2
7,32,6.1073,-7.0336003,1,3,-0.29003,2,2
7,33,-5.5511,-0.42152,1,3,-0.29003,2,2
7,34,14.3949995,19.414999,1,3,-0.29003,2,1
7,35,1.9415,-5.3806,1,3,-0.29003,2,2
7,36,7.4723,-2.0746,1,3,-0.29003,2,2
7,37,8.2199,22.721,1,3,-0.29003,2,1
7,38,12.405,0.40499002,1,3,-0.29003,2,2
7,39,3.2807002,1.2315,1,3,-0.29003,2,2
7,40,8.2199,-1.2479999,1,3,-0.29003,2,2
7,41,11.757999,13.629,1,3,-0.29003,2,1
7,42,0.73536,-4.5541,1,3,-0.29003,2,2
7,43,8.2199,-4.5541,1,3,-0.29003,2,2
7,44,-6.2304997,-3.7276,1,3,-0.29003,2,2
7,45,11.757999,-12.819,1,3,-0.29003,2,3
7,46,-6.2304997,-2.9011,1,3,-0.29003,2,2
7,47,-1.9761001,-7.8602,1,3,-0.29003,2,2
7,48,4.7819,-2.0746,1,3,-0.29003,2,2
7,49,-1.2908,-1.2479999,1,3,-0.29003,2,2
7,50,1.3406999,0.40499002,1,3,-0.29003,2,2
7,51,5.4434004,1.2315,1,3,-0.29003,2,2
7,52,4.7819,6.1906,1,3,-0.29003,2,1
7,53,1.9415,0.40499002,1,3,-0.29003,2,2
7,54,16.618,-16.952,1,3,-0.29003,2,3
7,55,-13.353,-8.6867,1,3,-0.29003,2,2
7,56,9.6758995,-4.5541,1,3,-0.29003,2,2
7,57,2.6132,2.8845,1,3,-0.29003,2,2
7,58,11.094,7.8436,1,3,-0.29003,2,1
7,59,3.2807002,-1.2479999,1,3,-0.29003,2,2
7,60,2.6132,-9.5132,1,3,-0.29003,2,2
7,61,-6.2304997,11.976,1,3,-0.29003,2,1
7,62,-10.290999,10.323,1,3,-0.29003,2,1
7,63,9.6758995,13.629,1,3,-0.29003,2,1
7,64,10.396,6.1906,1,3,-0.29003,2,1
7,65,4.7819,-6.2071,1,3,-0.29003,2,2
7,66,3.2807002,-7.8602,1,3,-0.29003,2,2
7,67,-8.5267,-19.431,1,3,-0.29003,2,3
7,68,11.094,-2.0746,1,3,-0.29003,2,2
7,69,-0.62088,-4.5541,1,3,-0.29003,2,2
7,70,8.2199,2.058,1,3,-0.29003,2,2
7,71,3.2807002,13.629,1,3,-0.29003,2,1
7,72,-4.198,-7.8602,1,3,-0.29003,2,2
7,73,-1.9761001,20.241001,1,3,-0.29003,2,1
7,74,-1.9761001,-9.5132,1,3,-0.29003,2,2
7,75,-9.3938,2.8845,1,3,-0.29003,2,2
7,76,9.6758995,3.711,1,3,-0.29003,2,2
7,77,1.9415,-2.0746,1,3,-0.29003,2,2
7,78,-3.3884,-7.0336003,1,3,-0.29003,2,2
7,79,3.2807002,-7.0336003,1,3,-0.29003,2,2
7,80,15.061999,-2.9011,1,3,-0.29003,2,2
7,81,1.9415,4.5376,1,3,-0.29003,2,2
7,82,0.73536,2.8845,1,3,-0.29003,2,2
7,83,6.7876,5.3640995,1,3,-0.29003,2,1
7,84,10.396,-3.7276,1,3,-0.29003,2,2
7,85,15.061999,-0.42152,1,3,-0.29003,2,2
7,86,4.7819,2.058,1,3,-0.29003,2,2
7,87,-7.7611,-10.34,1,3,-0.29003,2,2
7,88,3.2807002,-4.5541,1,3,-0.29003,2,2
8,1,-4.198,-7.0336003,1,3,-0.40532,2,2
8,2,1.3406999,16.109001,1,3,-0.40532,2,1
8,3,13.747,9.4967,1,3,-0.40532,2,1
8,4,9.6758995,25.2,1,3,-0.40532,2,1
8,5,-10.290999,-2.9011,1,3,-0.40532,2,2
8,6,-11.186,-22.737,1,3,-0.40532,2,3
8,7,19.003,9.4967,1,3,-0.40532,2,1
8,8,7.4723,11.976,1,3,-0.40532,2,1
8,9,-16.237,-11.166,1,3,-0.40532,2,3
8,10,-11.186,-7.8602,1,3,-0.40532,2,2
8,11,23.136002,16.109001,1,3,-0.40532,2,1
8,12,7.4723,0.40499002,1,3,-0.40532,2,2
8,13,10.396,12.803,1,3,-0.40532,2,1
8,14,-8.5267,1.2315,1,3,-0.40532,2,2
8,15,0.73536,-21.911,1,3,-0.40532,2,3
8,16,8.2199,6.1906,1,3,-0.40532,2,1
8,17,-5.5511,-9.5132,1,3,-0.40532,2,2
8,18,-1.2908,-21.911,1,3,-0.40532,2,3
8,19,-3.3884,-13.646,1,3,-0.40532,2,3
8,20,-13.353,-0.42152,1,3,-0.40532,2,2
8,21,7.4723,-3.7276,1,3,-0.40532,2,2
8,22,0.043218,-11.993,1,3,-0.40532,2,3
8,23,-1.2908,19.414999,1,3,-0.40532,2,1
8,24,0.73536,9.4967,1,3,-0.40532,2,1
8,25,6.7876,8.6701,1,3,-0.40532,2,1
8,26,8.2199,-6.2071,1,3,-0.40532,2,2
8,27,11.094,2.8845,1,3,-0.40532,2,2
8,28,1.9415,5.3640995,1,3,-0.40532,2,1
8,29,-14.386999,-4.5541,1,3,-0.40532,2,2
8,30,-8.5267,-4.5541,1,3,-0.40532,2,2
8,31,-6.9951,-6.2071,1,3,-0.40532,2,2
8,32,-8.5267,-10.34,1,3,-0.40532,2,2
8,33,-9.3938,-5.3806,1,3,-0.40532,2,2
8,34,-2.6516,2.058,1,3,-0.40532,2,2
