G,Y,U,A
128,112,1.0,Y
128,103,1.5,Y
128,92,2.0,Y
129,126,1.0,Y
129,126,1.5,Y
129,104,2.0,Y
134,100,1.0,Y
134,105,1.5,Y
134,96,2.0,Y
135,112,1.0,Y
135,113,1.5,Y
135,116,2.0,Y
136,117,1.0,Y
136,126,1.5,Y
136,114,2.0,Y
137,115,1.0,Y
137,105,1.5,Y
137,100,2.0,Y
143,122,1.0,Y
143,121,1.5,Y
143,100,2.0,Y
144,122,1.0,Y
144,116,1.5,Y
144,92,2.0,Y
145,126,1.0,Y
145,131,1.5,Y
145,108,2.0,Y
146,128,1.0,Y
146,128,1.5,Y
146,84,2.0,Y
148,128,1.0,Y
148,124,1.5,Y
148,116,2.0,Y
149,103,1.0,Y
149,105,1.5,Y
149,92,2.0,Y
151,131,1.0,Y
151,123,1.5,Y
151,104,2.0,Y
152,119,1.0,Y
152,136,1.5,Y
152,100,2.0,Y
902,119,1.0,N
902,93,1.5,N
902,99,2.0,N
904,112,1.0,N
904,98,1.5,N
904,79,2.0,N
906,89,1.0,N
906,66,1.5,N
906,81,2.0,N
908,117,1.0,N
908,90,1.5,N
908,76,2.0,N
909,98,1.0,N
909,85,1.5,N
909,77,2.0,N
911,134,1.0,N
911,132,1.5,N
911,104,2.0,N
913,122,1.0,N
913,93,1.5,N
913,96,2.0,N
916,93,1.0,N
916,73,1.5,N
916,77,2.0,N
917,102,1.0,N
917,76,1.5,N
917,81,2.0,N
919,115,1.0,N
919,88,1.5,N
919,81,2.0,N
924,106,1.0,N
924,98,1.5,N
924,88,2.0,N
925,91,1.0,N
925,90,1.5,N
925,77,2.0,N
926,109,1.0,N
926,70,1.5,N
926,80,2.0,N
929,119,1.0,N
929,85,1.5,N
929,85,2.0,N
931,120,1.0,N
931,103,1.5,N
931,77,2.0,N
934,115,1.0,N
934,96,1.5,N
934,85,2.0,N
935,109,1.0,N
935,105,1.5,N
935,100,2.0,N
936,117,1.0,N
936,93,1.5,N
936,85,2.0,N
938,109,1.0,N
938,81,1.5,N
938,77,2.0,N
940,98,1.0,N
940,98,1.5,N
940,92,2.0,N
941,122,1.0,N
941,105,1.5,N
941,81,2.0,N
942,93,1.0,N
942,90,1.5,N
942,81,2.0,N
944,122,1.0,N
944,102,1.5,N
944,104,2.0,N
947,112,1.0,N
947,105,1.5,N
947,104,2.0,N
949,96,1.0,N
949,85,1.5,N
949,84,2.0,N
950,110,1.0,N
950,83,1.5,N
950,77,2.0,N
953,100,1.0,N
953,88,1.5,N
953,92,2.0,N
960,128,1.0,N
960,127,1.5,N
960,121,2.0,N
964,117,1.0,N
964,105,1.5,N
964,92,2.0,N
966,106,1.0,N
966,85,1.5,N
966,77,2.0,N
967,115,1.0,N
967,100,1.5,N
967,100,2.0,N
968,112,1.0,N
968,96,1.5,N
968,88,2.0,N
969,118,1.0,N
969,100,1.5,N
969,87,2.0,N
970,83,1.0,N
970,76,1.5,N
970,66,2.0,N
971,106,1.0,N
971,88,1.5,N
971,85,2.0,N
972,117,1.0,N
972,106,1.5,N
972,92,2.0,N
973,126,1.0,N
973,123,1.5,N
973,96,2.0,N
975,96,1.0,N
975,103,1.5,N
975,87,2.0,N
976,117,1.0,N
976,111,1.5,N
976,100,2.0,N
977,89,1.0,N
977,106,1.5,N
977,84,2.0,N
979,80,1.0,N
979,103,1.5,N
979,77,2.0,N
980,109,1.0,N
980,121,1.5,N
980,96,2.0,N
982,98,1.0,N
982,109,1.5,N
982,78,2.0,N
984,106,1.0,N
984,89,1.5,N
984,99,2.0,N
985,112,1.0,N
985,96,1.5,N
985,88,2.0,N
