G,Phase,list,H,Y,S,T,U,V,W,X,Z
66,2,6,9,1776.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
66,4,6,15,1474.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
66,4,6,14,1637.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
66,4,6,20,963.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
66,4,6,19,1102.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
66,6,6,24,1184.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
66,6,6,25,905.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
66,6,6,29,806.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
66,6,6,30,789.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
66,8,6,34,1300.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
66,8,6,35,1068.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
66,8,6,40,789.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
66,8,6,39,1172.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
67,2,1,9,1486.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
67,2,1,10,1346.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
67,2,1,4,1079.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
67,2,1,5,1160.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
67,4,1,19,1648.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
67,4,1,20,1346.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
67,4,1,15,1079.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
67,4,1,14,998.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
67,6,1,29,1634.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,6,1,30,998.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,6,1,24,946.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
67,6,1,25,934.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
67,8,1,39,1126.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,8,1,40,2006.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,8,1,34,870.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
67,8,1,35,922.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
68,2,5,10,952.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
68,2,5,9,1137.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
68,2,5,4,1718.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
68,2,5,5,905.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
68,4,5,19,1265.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
68,4,5,20,1486.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
68,4,5,15,1056.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
68,4,5,14,1184.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
68,6,5,30,1015.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
68,6,5,29,1126.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
68,6,5,24,905.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
68,6,5,25,824.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
68,8,5,40,835.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
68,8,5,39,975.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
68,8,5,35,940.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
68,8,5,34,847.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
69,2,6,4,1068.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
69,2,6,5,1300.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
69,2,6,10,1323.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
69,2,6,9,2234.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
69,4,6,15,3297.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
69,4,6,14,1729.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
69,4,6,19,2670.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
69,4,6,20,1834.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
69,6,6,24,2461.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
69,6,6,25,969.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
69,6,6,30,1091.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
69,6,6,29,1149.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
69,8,6,35,1184.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
69,8,6,34,3385.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
69,8,6,40,1068.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
69,8,6,39,1010.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
70,2,1,10,1799.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
70,2,1,9,2990.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
70,2,1,4,1265.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
70,2,1,5,1126.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
70,4,1,20,1699.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
70,4,1,19,2072.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
70,4,1,15,1462.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
70,4,1,14,1021.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
70,6,1,29,1741.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,6,1,30,1656.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,6,1,24,864.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
70,6,1,25,1282.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
70,8,1,40,1659.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,8,1,39,2185.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,8,1,34,922.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
70,8,1,35,1073.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
71,2,5,10,1641.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
71,2,5,9,3110.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
71,2,5,4,1393.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
71,2,5,5,1294.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
71,4,5,19,1980.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
71,4,5,20,661.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
71,4,5,14,2527.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
71,4,5,15,1190.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
71,6,5,30,2002.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
71,6,5,29,1282.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
71,6,5,24,1718.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
71,6,5,25,1474.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
71,8,5,40,1811.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
71,8,5,39,3152.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
71,8,5,34,1478.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
71,8,5,35,1131.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
72,2,6,5,1811.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
72,2,6,4,2008.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
72,2,6,9,1648.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
72,2,6,10,2391.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
72,4,6,15,1973.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
72,4,6,14,2647.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
72,4,6,20,1578.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
72,4,6,19,1462.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
72,6,6,25,1695.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
72,6,6,24,2275.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
72,6,6,30,1486.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
72,6,6,29,1172.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
72,8,6,35,1904.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
72,8,6,34,2554.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
72,8,6,39,1787.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
72,8,6,40,1532.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
73,2,2,5,1555.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
73,2,2,4,1973.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
73,2,2,10,1474.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
73,2,2,9,1555.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
73,4,2,15,1578.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
73,4,2,14,1811.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
73,4,2,20,1160.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
73,4,2,19,1648.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
73,6,2,25,1451.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,6,2,24,1625.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,6,2,30,905.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
73,6,2,29,1404.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
73,8,2,35,1509.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,8,2,34,1746.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,8,2,39,1520.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
73,8,2,40,1369.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
74,2,2,4,2031.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
74,2,2,5,3564.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
74,2,2,9,1195.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
74,2,2,10,1520.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
74,4,2,15,1428.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
74,4,2,14,1830.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
74,4,2,20,1451.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
74,4,2,19,1509.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
74,6,2,24,1648.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,6,2,25,1149.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,6,2,29,1787.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
74,6,2,30,1729.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
74,8,2,35,2563.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,8,2,34,1369.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,8,2,39,1120.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
74,8,2,40,1160.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
75,2,1,9,1137.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
75,2,1,10,2020.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
75,2,1,5,1102.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
75,2,1,4,1149.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
75,4,1,19,2293.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
75,4,1,20,1772.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
75,4,1,14,1288.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
75,4,1,15,1323.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
75,6,1,29,2948.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,6,1,30,1973.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,6,1,25,882.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
75,6,1,24,1468.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
75,8,1,39,1695.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,8,1,40,2058.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,8,1,34,1282.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
75,8,1,35,1137.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
77,2,1,9,3227.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
77,2,1,10,3204.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
77,2,1,5,2716.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
77,2,1,4,1764.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
77,4,1,20,2368.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
77,4,1,19,2159.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
77,4,1,15,1184.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
77,4,1,14,1439.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
77,6,1,30,2600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,6,1,29,3434.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,6,1,24,1120.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
77,6,1,25,1358.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
77,8,1,39,4216.074999999991,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,8,1,40,3320.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,8,1,34,1300.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
77,8,1,35,1637.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
78,2,2,4,2031.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
78,2,2,5,2205.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
78,2,2,10,1358.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
78,2,2,9,1753.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
78,4,2,14,4040.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
78,4,2,15,4216.074999999991,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
78,4,2,20,2089.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
78,4,2,19,1555.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
78,6,2,25,1660.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,6,2,24,2414.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,6,2,29,1369.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
78,6,2,30,1056.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
78,8,2,35,2031.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,8,2,34,1834.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,8,2,40,1509.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
78,8,2,39,1451.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
79,2,1,9,4216.074999999991,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
79,2,1,10,4216.074999999991,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
79,2,1,4,2728.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
79,2,1,5,2577.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
79,4,1,19,4216.074999999991,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
79,4,1,20,2252.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
79,4,1,15,2031.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
79,4,1,14,1509.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
79,6,1,29,2623.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,6,1,30,2414.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,6,1,24,1062.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
79,6,1,25,1160.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
79,8,1,39,4121.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,8,1,40,1590.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,8,1,35,1073.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
79,8,1,34,1085.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
80,2,5,10,2182.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
80,2,5,9,2937.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
80,2,5,5,2530.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
80,2,5,4,1486.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
80,4,5,20,2638.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
80,4,5,19,1980.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
80,4,5,14,1790.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
80,4,5,15,1370.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
80,6,5,29,1973.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
