m,t,g,i,Y,ut,G,A,T,U,V,W,X,Z
2,1,m,91.0,67.0,2/1,1:2,m:2,0.0,0.0,0.0,0.0,91.0,0.0
2,1,m,96.0,64.0,2/1,1:2,m:2,0.0,0.0,0.0,0.0,96.0,0.0
2,1,m,95.0,65.0,2/1,1:2,m:2,0.0,0.0,0.0,0.0,95.0,0.0
2,1,m,84.0,52.0,2/1,1:2,m:2,0.0,0.0,0.0,0.0,84.0,0.0
2,2,f,105.0,73.0,2/2,2:2,f:2,0.0,105.0,0.0,0.0,0.0,0.0
2,2,f,110.0,78.0,2/2,2:2,f:2,0.0,110.0,0.0,0.0,0.0,0.0
2,2,f,98.0,75.0,2/2,2:2,f:2,0.0,98.0,0.0,0.0,0.0,0.0
2,2,f,92.0,65.0,2/2,2:2,f:2,0.0,92.0,0.0,0.0,0.0,0.0
2,2,m,104.0,75.0,2/2,2:2,m:2,0.0,0.0,0.0,0.0,104.0,0.0
2,2,m,105.0,78.0,2/2,2:2,m:2,0.0,0.0,0.0,0.0,105.0,0.0
2,2,m,82.0,58.0,2/2,2:2,m:2,0.0,0.0,0.0,0.0,82.0,0.0
2,2,m,109.0,75.0,2/2,2:2,m:2,0.0,0.0,0.0,0.0,109.0,0.0
2,3,f,141.0,97.0,2/3,3:2,f:2,0.0,141.0,0.0,0.0,0.0,0.0
2,3,f,107.0,68.0,2/3,3:2,f:2,0.0,107.0,0.0,0.0,0.0,0.0
2,3,f,116.0,82.0,2/3,3:2,f:2,0.0,116.0,0.0,0.0,0.0,0.0
2,3,f,105.0,86.0,2/3,3:2,f:2,0.0,105.0,0.0,0.0,0.0,0.0
2,3,m,93.0,71.0,2/3,3:2,m:2,0.0,0.0,0.0,0.0,93.0,0.0
2,3,m,113.0,82.0,2/3,3:2,m:2,0.0,0.0,0.0,0.0,113.0,0.0
2,3,m,92.0,72.0,2/3,3:2,m:2,0.0,0.0,0.0,0.0,92.0,0.0
2,3,m,115.0,77.0,2/3,3:2,m:2,0.0,0.0,0.0,0.0,115.0,0.0
2,4,f,112.0,74.0,2/4,4:2,f:2,0.0,112.0,0.0,0.0,0.0,0.0
2,4,f,96.0,76.0,2/4,4:2,f:2,0.0,96.0,0.0,0.0,0.0,0.0
2,4,f,103.0,78.0,2/4,4:2,f:2,0.0,103.0,0.0,0.0,0.0,0.0
2,4,f,105.0,77.0,2/4,4:2,f:2,0.0,105.0,0.0,0.0,0.0,0.0
2,4,m,111.0,75.0,2/4,4:2,m:2,0.0,0.0,0.0,0.0,111.0,0.0
2,4,m,121.0,86.0,2/4,4:2,m:2,0.0,0.0,0.0,0.0,121.0,0.0
2,4,m,87.0,68.0,2/4,4:2,m:2,0.0,0.0,0.0,0.0,87.0,0.0
2,4,m,90.0,74.0,2/4,4:2,m:2,0.0,0.0,0.0,0.0,90.0,0.0
3,1,f,87.0,71.0,3/1,1:3,f:3,0.0,0.0,87.0,0.0,0.0,0.0
3,1,f,78.0,71.0,3/1,1:3,f:3,0.0,0.0,78.0,0.0,0.0,0.0
3,1,f,117.0,85.0,3/1,1:3,f:3,0.0,0.0,117.0,0.0,0.0,0.0
3,1,f,108.0,87.0,3/1,1:3,f:3,0.0,0.0,108.0,0.0,0.0,0.0
3,1,m,92.0,65.0,3/1,1:3,m:3,0.0,0.0,0.0,0.0,0.0,92.0
3,1,m,111.0,72.0,3/1,1:3,m:3,0.0,0.0,0.0,0.0,0.0,111.0
3,1,m,126.0,85.0,3/1,1:3,m:3,0.0,0.0,0.0,0.0,0.0,126.0
3,1,m,123.0,78.0,3/1,1:3,m:3,0.0,0.0,0.0,0.0,0.0,123.0
3,2,f,126.0,91.0,3/2,2:3,f:3,0.0,0.0,126.0,0.0,0.0,0.0
3,2,f,112.0,80.0,3/2,2:3,f:3,0.0,0.0,112.0,0.0,0.0,0.0
3,2,f,108.0,75.0,3/2,2:3,f:3,0.0,0.0,108.0,0.0,0.0,0.0
3,2,f,92.0,65.0,3/2,2:3,f:3,0.0,0.0,92.0,0.0,0.0,0.0
3,2,m,95.0,73.0,3/2,2:3,m:3,0.0,0.0,0.0,0.0,0.0,95.0
3,2,m,109.0,73.0,3/2,2:3,m:3,0.0,0.0,0.0,0.0,0.0,109.0
3,2,m,115.0,78.0,3/2,2:3,m:3,0.0,0.0,0.0,0.0,0.0,115.0
3,2,m,115.0,71.0,3/2,2:3,m:3,0.0,0.0,0.0,0.0,0.0,115.0
3,3,f,102.0,82.0,3/3,3:3,f:3,0.0,0.0,102.0,0.0,0.0,0.0
3,3,f,96.0,72.0,3/3,3:3,f:3,0.0,0.0,96.0,0.0,0.0,0.0
3,3,f,113.0,87.0,3/3,3:3,f:3,0.0,0.0,113.0,0.0,0.0,0.0
3,3,f,127.0,91.0,3/3,3:3,f:3,0.0,0.0,127.0,0.0,0.0,0.0
3,3,m,112.0,85.0,3/3,3:3,m:3,0.0,0.0,0.0,0.0,0.0,112.0
3,3,m,96.0,68.0,3/3,3:3,m:3,0.0,0.0,0.0,0.0,0.0,96.0
3,3,m,114.0,86.0,3/3,3:3,m:3,0.0,0.0,0.0,0.0,0.0,114.0
3,3,m,101.0,78.0,3/3,3:3,m:3,0.0,0.0,0.0,0.0,0.0,101.0
3,4,f,95.0,86.0,3/4,4:3,f:3,0.0,0.0,95.0,0.0,0.0,0.0
3,4,f,105.0,91.0,3/4,4:3,f:3,0.0,0.0,105.0,0.0,0.0,0.0
3,4,f,95.0,81.0,3/4,4:3,f:3,0.0,0.0,95.0,0.0,0.0,0.0
3,4,f,102.0,85.0,3/4,4:3,f:3,0.0,0.0,102.0,0.0,0.0,0.0
3,4,m,80.0,68.0,3/4,4:3,m:3,0.0,0.0,0.0,0.0,0.0,80.0
3,4,m,97.0,81.0,3/4,4:3,m:3,0.0,0.0,0.0,0.0,0.0,97.0
3,4,m,114.0,89.0,3/4,4:3,m:3,0.0,0.0,0.0,0.0,0.0,114.0
3,4,m,100.0,87.0,3/4,4:3,m:3,0.0,0.0,0.0,0.0,0.0,100.0
