i,t,b,h,y,l,ch
259,5.0,647,442.0,96,19,-20.240694789081886
260,7.0,647,442.0,96,19,-20.240694789081886
261,25.0,648,443.0,96,20,-19.240694789081886
262,11.0,648,443.0,96,20,-19.240694789081886
263,6.0,648,443.0,96,20,-19.240694789081886
264,4.0,648,443.0,96,20,-19.240694789081886
265,7.0,648,443.0,96,20,-19.240694789081886
266,4.0,650,425.0,96,12,-37.240694789081886
267,6.0,650,425.0,96,12,-37.240694789081886
268,2.0,650,425.0,96,12,-37.240694789081886
269,5.0,651,439.0,96,18,-23.240694789081886
270,3.0,651,439.0,96,18,-23.240694789081886
271,7.0,651,439.0,96,18,-23.240694789081886
272,3.0,652,444.0,96,21,-18.240694789081886
273,1.0,701,450.0,97,25,-12.240694789081886
274,4.0,701,450.0,97,25,-12.240694789081886
275,4.0,701,450.0,97,25,-12.240694789081886
276,2.0,701,450.0,97,25,-12.240694789081886
277,5.0,701,450.0,97,25,-12.240694789081886
278,3.0,702,446.0,97,22,-16.240694789081886
279,0.0,702,446.0,97,22,-16.240694789081886
280,3.0,702,446.0,97,22,-16.240694789081886
281,1.0,702,446.0,97,22,-16.240694789081886
282,2.0,702,446.0,97,22,-16.240694789081886
283,3.0,702,446.0,97,22,-16.240694789081886
284,1.0,704,472.0,97,36,9.759305210918114
285,0.0,704,472.0,97,36,9.759305210918114
286,4.0,704,472.0,97,36,9.759305210918114
287,0.0,704,472.0,97,36,9.759305210918114
288,0.0,704,472.0,97,36,9.759305210918114
289,0.0,705,472.0,97,36,9.759305210918114
290,0.0,706,460.0,97,30,-2.2406947890818856
291,0.0,706,460.0,97,30,-2.2406947890818856
292,0.0,706,460.0,97,30,-2.2406947890818856
293,1.0,708,442.0,97,19,-20.240694789081886
294,3.0,708,442.0,97,19,-20.240694789081886
295,4.0,708,442.0,97,19,-20.240694789081886
296,0.0,708,442.0,97,19,-20.240694789081886
297,4.0,708,442.0,97,19,-20.240694789081886
298,2.0,708,442.0,97,19,-20.240694789081886
299,0.0,709,525.0,97,62,62.759305210918114
300,0.0,709,525.0,97,62,62.759305210918114
301,1.0,709,525.0,97,62,62.759305210918114
302,0.0,710,533.0,97,63,70.75930521091811
303,1.0,710,533.0,97,63,70.75930521091811
304,2.0,710,533.0,97,63,70.75930521091811
305,0.0,710,533.0,97,63,70.75930521091811
306,0.0,710,533.0,97,63,70.75930521091811
307,0.0,710,533.0,97,63,70.75930521091811
308,1.0,711,513.0,97,57,50.759305210918114
309,0.0,711,513.0,97,57,50.759305210918114
310,0.0,711,513.0,97,57,50.759305210918114
311,1.0,711,513.0,97,57,50.759305210918114
312,1.0,711,513.0,97,57,50.759305210918114
313,0.0,711,513.0,97,57,50.759305210918114
314,0.0,711,513.0,97,57,50.759305210918114
315,0.0,712,514.0,97,58,51.759305210918114
316,0.0,712,514.0,97,58,51.759305210918114
317,0.0,713,511.0,97,56,48.759305210918114
318,0.0,713,511.0,97,56,48.759305210918114
319,1.0,713,511.0,97,56,48.759305210918114
320,0.0,713,511.0,97,56,48.759305210918114
321,0.0,713,511.0,97,56,48.759305210918114
322,0.0,714,511.0,97,56,48.759305210918114
323,0.0,714,511.0,97,56,48.759305210918114
324,1.0,714,511.0,97,56,48.759305210918114
325,0.0,714,511.0,97,56,48.759305210918114
326,0.0,714,511.0,97,56,48.759305210918114
327,0.0,714,511.0,97,56,48.759305210918114
328,0.0,715,496.0,97,51,33.759305210918114
329,0.0,715,496.0,97,51,33.759305210918114
330,0.0,715,496.0,97,51,33.759305210918114
331,0.0,715,496.0,97,51,33.759305210918114
332,1.0,716,494.0,97,49,31.759305210918114
333,0.0,716,494.0,97,49,31.759305210918114
334,0.0,717,494.0,97,49,31.759305210918114
335,0.0,717,494.0,97,49,31.759305210918114
336,0.0,717,494.0,97,49,31.759305210918114
337,2.0,718,411.0,97,4,-51.240694789081886
338,4.0,718,411.0,97,4,-51.240694789081886
339,4.0,718,411.0,97,4,-51.240694789081886
340,1.0,718,411.0,97,4,-51.240694789081886
341,2.0,718,411.0,97,4,-51.240694789081886
342,2.0,719,411.0,97,4,-51.240694789081886
343,1.0,719,411.0,97,4,-51.240694789081886
344,4.0,719,411.0,97,4,-51.240694789081886
345,1.0,719,411.0,97,4,-51.240694789081886
346,3.0,719,411.0,97,4,-51.240694789081886
347,3.0,719,411.0,97,4,-51.240694789081886
348,2.0,720,423.0,97,10,-39.240694789081886
349,0.0,720,423.0,97,10,-39.240694789081886
350,3.0,721,424.0,97,11,-38.240694789081886
351,2.0,722,403.0,97,1,-59.240694789081886
352,0.0,722,403.0,97,1,-59.240694789081886
353,1.0,722,403.0,97,1,-59.240694789081886
354,0.0,723,409.0,97,2,-53.240694789081886
355,3.0,723,409.0,97,2,-53.240694789081886
356,1.0,723,409.0,97,2,-53.240694789081886
357,10.0,724,434.0,97,16,-28.240694789081886
358,4.0,724,434.0,97,16,-28.240694789081886
359,1.0,724,434.0,97,16,-28.240694789081886
360,2.0,725,477.0,97,39,14.759305210918114
361,0.0,725,477.0,97,39,14.759305210918114
362,1.0,725,477.0,97,39,14.759305210918114
363,0.0,727,472.0,97,36,9.759305210918114
364,0.0,728,468.0,97,34,5.759305210918114
365,0.0,728,468.0,97,34,5.759305210918114
366,0.0,729,470.0,97,35,7.759305210918114
367,0.0,730,486.0,97,43,23.759305210918114
368,0.0,731,495.0,97,50,32.759305210918114
369,0.0,731,495.0,97,50,32.759305210918114
370,0.0,731,495.0,97,50,32.759305210918114
371,0.0,731,495.0,97,50,32.759305210918114
372,0.0,731,495.0,97,50,32.759305210918114
373,0.0,732,483.0,97,41,20.759305210918114
374,0.0,732,483.0,97,41,20.759305210918114
375,2.0,732,483.0,97,41,20.759305210918114
376,2.0,733,442.0,97,19,-20.240694789081886
377,2.0,733,442.0,97,19,-20.240694789081886
378,0.0,734,457.0,97,28,-5.240694789081886
379,4.0,736,457.0,97,28,-5.240694789081886
380,5.0,736,457.0,97,28,-5.240694789081886
381,2.0,737,457.0,97,28,-5.240694789081886
382,3.0,737,457.0,97,28,-5.240694789081886
383,2.0,737,457.0,97,28,-5.240694789081886
384,2.0,737,457.0,97,28,-5.240694789081886
385,1.0,737,457.0,97,28,-5.240694789081886
386,2.0,737,457.0,97,28,-5.240694789081886
387,0.0,737,457.0,97,28,-5.240694789081886
388,2.0,738,464.0,97,31,1.7593052109181144
389,0.0,738,464.0,97,31,1.7593052109181144
390,1.0,738,464.0,97,31,1.7593052109181144
391,0.0,739,433.0,97,15,-29.240694789081886
392,3.0,739,433.0,97,15,-29.240694789081886
393,1.0,739,433.0,97,15,-29.240694789081886
394,0.0,739,433.0,97,15,-29.240694789081886
395,0.0,740,442.0,97,19,-20.240694789081886
396,0.0,740,442.0,97,19,-20.240694789081886
397,0.0,741,433.0,97,15,-29.240694789081886
398,1.0,741,433.0,97,15,-29.240694789081886
399,0.0,741,433.0,97,15,-29.240694789081886
400,0.0,742,430.0,97,14,-32.240694789081886
401,0.0,742,430.0,97,14,-32.240694789081886
402,2.0,743,450.0,97,25,-12.240694789081886
403,0.0,743,450.0,97,25,-12.240694789081886
