a,g,item,resp,id,b,s,m,r2
21,F,S1WantCurse,perhaps,166,curse,other,want,Y
24,M,S1WantCurse,perhaps,167,curse,other,want,Y
20,F,S1WantCurse,yes,168,curse,other,want,Y
16,M,S1WantCurse,yes,169,curse,other,want,Y
14,F,S1WantCurse,perhaps,170,curse,other,want,Y
14,F,S1WantCurse,perhaps,171,curse,other,want,Y
20,M,S1WantCurse,perhaps,172,curse,other,want,Y
23,F,S1WantCurse,no,173,curse,other,want,N
23,M,S1WantCurse,no,174,curse,other,want,N
23,F,S1WantCurse,perhaps,175,curse,other,want,Y
23,F,S1WantCurse,yes,176,curse,other,want,Y
18,M,S1WantCurse,perhaps,177,curse,other,want,Y
22,F,S1WantCurse,no,178,curse,other,want,N
20,F,S1WantCurse,no,179,curse,other,want,N
23,F,S1WantCurse,yes,180,curse,other,want,Y
16,M,S1WantCurse,no,181,curse,other,want,N
18,F,S1WantCurse,yes,182,curse,other,want,Y
12,F,S1WantCurse,perhaps,183,curse,other,want,Y
17,F,S1WantCurse,yes,184,curse,other,want,Y
21,F,S1WantCurse,no,185,curse,other,want,N
21,F,S1WantCurse,no,186,curse,other,want,N
16,F,S1WantCurse,no,187,curse,other,want,N
19,M,S1WantCurse,no,188,curse,other,want,N
19,M,S1WantCurse,perhaps,189,curse,other,want,Y
13,M,S1WantCurse,yes,190,curse,other,want,Y
31,M,S1WantCurse,no,191,curse,other,want,N
23,F,S1WantCurse,perhaps,192,curse,other,want,Y
25,F,S1WantCurse,yes,193,curse,other,want,Y
19,F,S1WantCurse,perhaps,194,curse,other,want,Y
11,F,S1WantCurse,yes,195,curse,other,want,Y
28,F,S1WantCurse,no,196,curse,other,want,N
27,F,S1WantCurse,no,197,curse,other,want,N
16,M,S1WantCurse,no,198,curse,other,want,N
16,M,S1WantCurse,no,199,curse,other,want,N
16,F,S1WantCurse,no,200,curse,other,want,N
13,F,S1WantCurse,yes,201,curse,other,want,Y
21,M,S1WantCurse,yes,202,curse,other,want,Y
19,M,S1WantCurse,yes,203,curse,other,want,Y
20,F,S1WantCurse,yes,204,curse,other,want,Y
13,M,S1WantCurse,no,205,curse,other,want,N
15,M,S1WantCurse,perhaps,206,curse,other,want,Y
14,F,S1WantCurse,yes,207,curse,other,want,Y
15,F,S1WantCurse,no,208,curse,other,want,N
23,M,S1WantCurse,yes,209,curse,other,want,Y
13,M,S1WantCurse,perhaps,210,curse,other,want,Y
21,M,S1WantCurse,perhaps,211,curse,other,want,Y
19,F,S1WantCurse,yes,212,curse,other,want,Y
23,F,S1WantCurse,perhaps,213,curse,other,want,Y
20,M,S1WantCurse,no,214,curse,other,want,N
19,M,S1WantCurse,perhaps,215,curse,other,want,Y
14,F,S1WantCurse,yes,216,curse,other,want,Y
18,M,S1WantCurse,perhaps,217,curse,other,want,Y
22,M,S1WantCurse,yes,218,curse,other,want,Y
23,M,S1WantCurse,perhaps,219,curse,other,want,Y
24,M,S1WantCurse,yes,220,curse,other,want,Y
20,F,S1WantCurse,perhaps,221,curse,other,want,Y
22,F,S1WantCurse,yes,222,curse,other,want,Y
19,F,S1WantCurse,perhaps,223,curse,other,want,Y
19,F,S1WantCurse,perhaps,224,curse,other,want,Y
11,M,S1WantCurse,no,225,curse,other,want,N
26,F,S1WantCurse,no,226,curse,other,want,N
19,F,S1WantCurse,no,227,curse,other,want,N
11,M,S1WantCurse,yes,228,curse,other,want,Y
13,F,S1WantCurse,no,229,curse,other,want,N
19,F,S1WantCurse,perhaps,230,curse,other,want,Y
17,F,S1WantCurse,yes,231,curse,other,want,Y
16,M,S1WantCurse,no,232,curse,other,want,N
18,F,S1WantCurse,yes,233,curse,other,want,Y
27,M,S1WantCurse,yes,234,curse,other,want,Y
18,F,S1WantCurse,perhaps,235,curse,other,want,Y
17,F,S1WantCurse,no,236,curse,other,want,N
20,F,S1WantCurse,yes,237,curse,other,want,Y
18,F,S1WantCurse,perhaps,238,curse,other,want,Y
14,F,S1WantCurse,no,239,curse,other,want,N
17,F,S1WantCurse,no,240,curse,other,want,N
18,F,S1WantCurse,yes,241,curse,other,want,Y
15,F,S1WantCurse,yes,242,curse,other,want,Y
18,F,S1WantCurse,perhaps,243,curse,other,want,Y
27,F,S1WantCurse,yes,244,curse,other,want,Y
22,F,S1WantCurse,no,245,curse,other,want,N
18,F,S1WantCurse,yes,246,curse,other,want,Y
30,M,S1WantCurse,no,247,curse,other,want,N
13,F,S1WantCurse,yes,248,curse,other,want,Y
22,M,S1WantCurse,perhaps,249,curse,other,want,Y
19,F,S1WantCurse,yes,250,curse,other,want,Y
13,F,S1WantCurse,no,251,curse,other,want,N
34,F,S1WantCurse,yes,252,curse,other,want,Y
19,F,S1WantCurse,perhaps,253,curse,other,want,Y
23,M,S1WantCurse,yes,254,curse,other,want,Y
21,F,S1WantCurse,no,255,curse,other,want,N
18,F,S1WantCurse,perhaps,256,curse,other,want,Y
18,F,S1WantCurse,perhaps,257,curse,other,want,Y
15,M,S1WantCurse,perhaps,258,curse,other,want,Y
21,M,S1WantCurse,yes,259,curse,other,want,Y
26,F,S1WantCurse,no,260,curse,other,want,N
19,F,S1WantCurse,yes,261,curse,other,want,Y
34,F,S1WantCurse,yes,262,curse,other,want,Y
20,F,S1WantCurse,yes,263,curse,other,want,Y
21,F,S1WantCurse,yes,264,curse,other,want,Y
26,F,S1WantCurse,perhaps,265,curse,other,want,Y
23,F,S1WantCurse,yes,266,curse,other,want,Y
14,F,S1WantCurse,perhaps,267,curse,other,want,Y
23,F,S1WantCurse,no,268,curse,other,want,N
17,F,S1WantCurse,no,269,curse,other,want,N
18,F,S1WantCurse,yes,270,curse,other,want,Y
19,F,S1WantCurse,yes,271,curse,other,want,Y
25,F,S1WantCurse,yes,272,curse,other,want,Y
20,M,S1WantCurse,yes,273,curse,other,want,Y
26,F,S1WantCurse,yes,274,curse,other,want,Y
21,F,S1WantCurse,yes,275,curse,other,want,Y
15,F,S1WantCurse,yes,276,curse,other,want,Y
18,F,S1WantCurse,no,277,curse,other,want,N
21,F,S1WantCurse,perhaps,278,curse,other,want,Y
17,F,S1WantCurse,no,279,curse,other,want,N
15,F,S1WantCurse,no,280,curse,other,want,N
22,F,S1WantCurse,yes,281,curse,other,want,Y
19,M,S1WantCurse,yes,282,curse,other,want,Y
19,M,S1WantCurse,perhaps,283,curse,other,want,Y
18,F,S1WantCurse,perhaps,284,curse,other,want,Y
18,F,S1WantCurse,perhaps,285,curse,other,want,Y
16,M,S1WantCurse,no,286,curse,other,want,N
22,F,S1WantCurse,yes,287,curse,other,want,Y
19,F,S1WantCurse,yes,288,curse,other,want,Y
25,F,S1WantCurse,yes,289,curse,other,want,Y
17,M,S1WantCurse,perhaps,290,curse,other,want,Y
30,F,S1WantCurse,yes,291,curse,other,want,Y
29,F,S1WantCurse,perhaps,292,curse,other,want,Y
27,F,S1WantCurse,yes,293,curse,other,want,Y
18,F,S1WantCurse,perhaps,294,curse,other,want,Y
27,F,S1WantCurse,yes,295,curse,other,want,Y
31,F,S1WantCurse,no,296,curse,other,want,N
19,F,S1WantCurse,no,297,curse,other,want,N
18,M,S1WantCurse,no,298,curse,other,want,N
17,F,S1WantCurse,no,299,curse,other,want,N
15,F,S1WantCurse,perhaps,300,curse,other,want,Y
20,F,S1WantCurse,perhaps,301,curse,other,want,Y
24,F,S1WantCurse,no,302,curse,other,want,N
12,M,S1WantCurse,yes,303,curse,other,want,Y
16,M,S1WantCurse,perhaps,304,curse,other,want,Y
20,F,S1WantCurse,yes,305,curse,other,want,Y
33,M,S1WantCurse,perhaps,306,curse,other,want,Y
17,F,S1WantCurse,no,307,curse,other,want,N
13,F,S1WantCurse,no,308,curse,other,want,N
14,F,S1WantCurse,yes,309,curse,other,want,Y
23,F,S1WantCurse,yes,310,curse,other,want,Y
24,M,S1WantCurse,yes,311,curse,other,want,Y
17,M,S1WantCurse,yes,312,curse,other,want,Y
20,F,S1WantCurse,yes,313,curse,other,want,Y
25,F,S1WantCurse,no,314,curse,other,want,N
23,F,S1WantCurse,yes,315,curse,other,want,Y
12,F,S1WantCurse,perhaps,316,curse,other,want,Y
20,M,S1WantScold,no,1,scold,other,want,N
11,M,S1WantScold,no,2,scold,other,want,N
17,F,S1WantScold,perhaps,3,scold,other,want,Y
21,F,S1WantScold,perhaps,4,scold,other,want,Y
17,F,S1WantScold,no,5,scold,other,want,N
21,F,S1WantScold,yes,6,scold,other,want,Y
39,F,S1WantScold,yes,7,scold,other,want,Y
21,F,S1WantScold,no,8,scold,other,want,N
24,F,S1WantScold,no,9,scold,other,want,N
16,F,S1WantScold,yes,10,scold,other,want,Y
15,F,S1WantScold,yes,11,scold,other,want,Y
18,F,S1WantScold,yes,12,scold,other,want,Y
36,M,S1WantScold,no,13,scold,other,want,N
22,M,S1WantScold,yes,14,scold,other,want,Y
16,F,S1WantScold,no,15,scold,other,want,N
18,F,S1WantScold,no,16,scold,other,want,N
23,F,S1WantScold,no,17,scold,other,want,N
16,F,S1WantScold,no,18,scold,other,want,N
21,F,S1WantScold,no,19,scold,other,want,N
25,F,S1WantScold,perhaps,20,scold,other,want,Y
22,F,S1WantScold,perhaps,21,scold,other,want,Y
15,F,S1WantScold,yes,22,scold,other,want,Y
26,F,S1WantScold,yes,23,scold,other,want,Y
13,F,S1WantScold,no,24,scold,other,want,N
33,F,S1WantScold,no,25,scold,other,want,N
17,F,S1WantScold,no,26,scold,other,want,N
17,F,S1WantScold,yes,27,scold,other,want,Y
22,F,S1WantScold,yes,28,scold,other,want,Y
21,M,S1WantScold,perhaps,29,scold,other,want,Y
17,F,S1WantScold,no,30,scold,other,want,N
19,F,S1WantScold,yes,31,scold,other,want,Y
18,M,S1WantScold,perhaps,32,scold,other,want,Y
33,M,S1WantScold,no,33,scold,other,want,N
19,F,S1WantScold,perhaps,34,scold,other,want,Y
25,F,S1WantScold,yes,35,scold,other,want,Y
17,F,S1WantScold,perhaps,36,scold,other,want,Y
12,F,S1WantScold,no,37,scold,other,want,N
14,F,S1WantScold,no,38,scold,other,want,N
25,M,S1WantScold,no,39,scold,other,want,N
22,M,S1WantScold,no,40,scold,other,want,N
20,F,S1WantScold,perhaps,41,scold,other,want,Y
25,F,S1WantScold,no,42,scold,other,want,N
12,F,S1WantScold,no,43,scold,other,want,N
16,F,S1WantScold,no,44,scold,other,want,N
23,F,S1WantScold,perhaps,45,scold,other,want,Y
19,F,S1WantScold,perhaps,46,scold,other,want,Y
22,F,S1WantScold,yes,47,scold,other,want,Y
15,F,S1WantScold,no,48,scold,other,want,N
25,F,S1WantScold,no,49,scold,other,want,N
35,F,S1WantScold,no,50,scold,other,want,N
24,F,S1WantScold,no,51,scold,other,want,N
24,F,S1WantScold,no,52,scold,other,want,N
13,F,S1WantScold,perhaps,53,scold,other,want,Y
26,F,S1WantScold,perhaps,54,scold,other,want,Y
25,F,S1WantScold,no,55,scold,other,want,N
20,F,S1WantScold,perhaps,56,scold,other,want,Y
27,F,S1WantScold,no,57,scold,other,want,N
19,F,S1WantScold,no,58,scold,other,want,N
15,M,S1WantScold,no,59,scold,other,want,N
18,F,S1WantScold,no,60,scold,other,want,N
26,F,S1WantScold,yes,61,scold,other,want,Y
26,F,S1WantScold,yes,62,scold,other,want,Y
23,F,S1WantScold,perhaps,63,scold,other,want,Y
20,F,S1WantScold,no,64,scold,other,want,N
18,F,S1WantScold,no,65,scold,other,want,N
30,F,S1WantScold,no,66,scold,other,want,N
24,F,S1WantScold,no,67,scold,other,want,N
22,F,S1WantScold,yes,68,scold,other,want,Y
19,F,S1WantScold,no,69,scold,other,want,N
13,F,S1WantScold,no,70,scold,other,want,N
17,F,S1WantScold,no,71,scold,other,want,N
29,F,S1WantScold,no,72,scold,other,want,N
12,F,S1WantScold,no,73,scold,other,want,N
19,F,S1WantScold,perhaps,74,scold,other,want,Y
23,F,S1WantScold,no,75,scold,other,want,N
11,F,S1WantScold,no,76,scold,other,want,N
18,F,S1WantScold,no,77,scold,other,want,N
22,F,S1WantScold,no,78,scold,other,want,N
22,M,S1WantScold,no,79,scold,other,want,N
19,M,S1WantScold,no,80,scold,other,want,N
19,M,S1WantScold,perhaps,81,scold,other,want,Y
21,F,S1WantScold,yes,82,scold,other,want,Y
25,F,S1WantScold,no,83,scold,other,want,N
19,F,S1WantScold,no,84,scold,other,want,N
26,F,S1WantScold,yes,85,scold,other,want,Y
18,F,S1WantScold,no,86,scold,other,want,N
20,F,S1WantScold,yes,87,scold,other,want,Y
17,F,S1WantScold,perhaps,88,scold,other,want,Y
17,M,S1WantScold,no,89,scold,other,want,N
16,F,S1WantScold,no,90,scold,other,want,N
22,F,S1WantScold,no,91,scold,other,want,N
16,F,S1WantScold,no,92,scold,other,want,N
19,M,S1WantScold,yes,93,scold,other,want,Y
20,M,S1WantScold,no,94,scold,other,want,N
22,F,S1WantScold,perhaps,95,scold,other,want,Y
18,F,S1WantScold,perhaps,96,scold,other,want,Y
26,F,S1WantScold,no,97,scold,other,want,N
23,F,S1WantScold,yes,98,scold,other,want,Y
15,F,S1WantScold,no,99,scold,other,want,N
18,F,S1WantScold,no,100,scold,other,want,N
27,F,S1WantScold,yes,101,scold,other,want,Y
21,F,S1WantScold,perhaps,102,scold,other,want,Y
21,F,S1WantScold,yes,103,scold,other,want,Y
15,F,S1WantScold,yes,104,scold,other,want,Y
17,F,S1WantScold,yes,105,scold,other,want,Y
15,F,S1WantScold,no,106,scold,other,want,N
23,F,S1WantScold,no,107,scold,other,want,N
23,F,S1WantScold,perhaps,108,scold,other,want,Y
19,F,S1WantScold,no,109,scold,other,want,N
21,F,S1WantScold,no,110,scold,other,want,N
18,F,S1WantScold,no,111,scold,other,want,N
18,F,S1WantScold,no,112,scold,other,want,N
16,F,S1WantScold,yes,113,scold,other,want,Y
20,F,S1WantScold,no,114,scold,other,want,N
24,F,S1WantScold,yes,115,scold,other,want,Y
26,F,S1WantScold,yes,116,scold,other,want,Y
20,F,S1WantScold,yes,117,scold,other,want,Y
22,F,S1WantScold,yes,118,scold,other,want,Y
16,M,S1WantScold,no,119,scold,other,want,N
18,M,S1WantScold,no,120,scold,other,want,N
19,F,S1WantScold,perhaps,121,scold,other,want,Y
25,F,S1WantScold,yes,122,scold,other,want,Y
22,F,S1WantScold,no,123,scold,other,want,N
23,M,S1WantScold,yes,124,scold,other,want,Y
21,F,S1WantScold,perhaps,125,scold,other,want,Y
13,F,S1WantScold,no,126,scold,other,want,N
16,F,S1WantScold,perhaps,127,scold,other,want,Y
21,F,S1WantScold,perhaps,128,scold,other,want,Y
15,F,S1WantScold,perhaps,129,scold,other,want,Y
23,F,S1WantScold,yes,130,scold,other,want,Y
17,F,S1WantScold,perhaps,131,scold,other,want,Y
14,F,S1WantScold,perhaps,132,scold,other,want,Y
29,F,S1WantScold,no,133,scold,other,want,N
24,F,S1WantScold,no,134,scold,other,want,N
15,F,S1WantScold,yes,135,scold,other,want,Y
25,F,S1WantScold,no,136,scold,other,want,N
17,F,S1WantScold,no,137,scold,other,want,N
17,M,S1WantScold,yes,138,scold,other,want,Y
28,M,S1WantScold,perhaps,139,scold,other,want,Y
15,F,S1WantScold,no,140,scold,other,want,N
19,F,S1WantScold,perhaps,141,scold,other,want,Y
26,F,S1WantScold,yes,142,scold,other,want,Y
18,F,S1WantScold,perhaps,143,scold,other,want,Y
11,F,S1WantScold,yes,144,scold,other,want,Y
25,F,S1WantScold,yes,145,scold,other,want,Y
28,F,S1WantScold,no,146,scold,other,want,N
25,F,S1WantScold,yes,147,scold,other,want,Y
14,F,S1WantScold,perhaps,148,scold,other,want,Y
17,F,S1WantScold,yes,149,scold,other,want,Y
18,F,S1WantScold,perhaps,150,scold,other,want,Y
22,M,S1WantScold,perhaps,151,scold,other,want,Y
17,F,S1WantScold,yes,152,scold,other,want,Y
15,M,S1WantScold,yes,153,scold,other,want,Y
16,M,S1WantScold,perhaps,154,scold,other,want,Y
22,M,S1WantScold,yes,155,scold,other,want,Y
21,F,S1WantScold,no,156,scold,other,want,N
19,F,S1WantScold,no,157,scold,other,want,N
21,F,S1WantScold,yes,158,scold,other,want,Y
16,F,S1WantScold,perhaps,159,scold,other,want,Y
17,F,S1WantScold,yes,160,scold,other,want,Y
15,M,S1WantScold,perhaps,161,scold,other,want,Y
27,M,S1WantScold,no,162,scold,other,want,N
21,M,S1WantScold,perhaps,163,scold,other,want,Y
19,F,S1WantScold,perhaps,164,scold,other,want,Y
17,F,S1WantScold,yes,165,scold,other,want,Y
21,F,S1WantScold,perhaps,166,scold,other,want,Y
24,M,S1WantScold,perhaps,167,scold,other,want,Y
20,F,S1WantScold,no,168,scold,other,want,N
16,M,S1WantScold,yes,169,scold,other,want,Y
14,F,S1WantScold,no,170,scold,other,want,N
14,F,S1WantScold,no,171,scold,other,want,N
20,M,S1WantScold,no,172,scold,other,want,N
23,F,S1WantScold,yes,173,scold,other,want,Y
23,M,S1WantScold,no,174,scold,other,want,N
23,F,S1WantScold,perhaps,175,scold,other,want,Y
23,F,S1WantScold,no,176,scold,other,want,N
18,M,S1WantScold,perhaps,177,scold,other,want,Y
22,F,S1WantScold,no,178,scold,other,want,N
20,F,S1WantScold,no,179,scold,other,want,N
23,F,S1WantScold,yes,180,scold,other,want,Y
16,M,S1WantScold,no,181,scold,other,want,N
18,F,S1WantScold,no,182,scold,other,want,N
12,F,S1WantScold,perhaps,183,scold,other,want,Y
17,F,S1WantScold,yes,184,scold,other,want,Y
21,F,S1WantScold,no,185,scold,other,want,N
21,F,S1WantScold,no,186,scold,other,want,N
16,F,S1WantScold,perhaps,187,scold,other,want,Y
19,M,S1WantScold,perhaps,188,scold,other,want,Y
19,M,S1WantScold,perhaps,189,scold,other,want,Y
13,M,S1WantScold,no,190,scold,other,want,N
31,M,S1WantScold,no,191,scold,other,want,N
23,F,S1WantScold,no,192,scold,other,want,N
25,F,S1WantScold,yes,193,scold,other,want,Y
19,F,S1WantScold,perhaps,194,scold,other,want,Y
11,F,S1WantScold,perhaps,195,scold,other,want,Y
28,F,S1WantScold,no,196,scold,other,want,N
27,F,S1WantScold,no,197,scold,other,want,N
16,M,S1WantScold,no,198,scold,other,want,N
16,M,S1WantScold,no,199,scold,other,want,N
16,F,S1WantScold,no,200,scold,other,want,N
13,F,S1WantScold,yes,201,scold,other,want,Y
21,M,S1WantScold,yes,202,scold,other,want,Y
19,M,S1WantScold,yes,203,scold,other,want,Y
20,F,S1WantScold,no,204,scold,other,want,N
13,M,S1WantScold,no,205,scold,other,want,N
15,M,S1WantScold,perhaps,206,scold,other,want,Y
14,F,S1WantScold,yes,207,scold,other,want,Y
15,F,S1WantScold,no,208,scold,other,want,N
23,M,S1WantScold,yes,209,scold,other,want,Y
13,M,S1WantScold,perhaps,210,scold,other,want,Y
21,M,S1WantScold,perhaps,211,scold,other,want,Y
19,F,S1WantScold,yes,212,scold,other,want,Y
