H,G,student,Y,gender,age,gcsescore,U
1,2,40,10.0,M,3.0,8.0,1.7143157114303298
1,2,41,10.0,M,-6.0,6.6,0.31431571143032944
2,3,42,8.0,F,3.0,6.555,0.2693157114303295
2,3,43,0.0,F,-1.0,4.75,-1.5356842885696702
2,3,44,6.0,M,0.0,4.625,-1.6606842885696702
2,4,45,6.0,M,0.0,5.25,-1.0356842885696702
2,4,46,10.0,M,5.0,6.0,-0.2856842885696702
2,4,47,10.0,M,-3.0,6.375,0.08931571143032979
2,4,48,10.0,M,1.0,6.75,0.4643157114303298
2,4,49,2.0,M,3.0,6.0,-0.2856842885696702
2,4,50,10.0,M,3.0,6.25,-0.03568428856967021
2,4,51,10.0,F,3.0,7.0,0.7143157114303298
2,5,52,8.0,M,5.0,6.25,-0.03568428856967021
2,5,53,0.0,F,3.0,4.285,-2.00068428856967
2,5,54,6.0,M,-2.0,6.75,0.4643157114303298
2,5,55,4.0,M,4.0,6.375,0.08931571143032979
2,5,56,6.0,M,-2.0,6.777,0.4913157114303299
2,5,57,8.0,F,0.0,7.125,0.8393157114303298
2,5,58,6.0,F,-3.0,6.285,-0.0006842885696700662
2,5,59,8.0,M,-4.0,7.25,0.9643157114303298
2,5,60,2.0,M,-5.0,5.25,-1.0356842885696702
2,5,61,8.0,F,4.0,5.8,-0.4856842885696704
2,5,62,6.0,F,5.0,6.0,-0.2856842885696702
2,5,63,4.0,F,-1.0,5.75,-0.5356842885696702
2,5,64,8.0,M,4.0,6.875,0.5893157114303298
2,5,65,6.0,M,5.0,5.75,-0.5356842885696702
2,5,66,2.0,M,-3.0,5.142,-1.1436842885696699
2,5,67,6.0,F,2.0,7.125,0.8393157114303298
2,6,68,10.0,F,2.0,8.0,1.7143157114303298
2,6,69,4.0,F,0.0,7.0,0.7143157114303298
2,6,70,4.0,F,3.0,5.777,-0.5086842885696701
2,6,71,2.0,F,-2.0,7.0,0.7143157114303298
2,6,72,2.0,F,-1.0,5.666,-0.6196842885696698
2,6,73,2.0,M,0.0,6.5,0.2143157114303298
2,6,74,10.0,F,1.0,7.875,1.5893157114303298
2,6,75,10.0,F,-5.0,7.666,1.3803157114303302
2,6,76,0.0,M,1.0,6.888,0.6023157114303297
2,6,77,8.0,F,0.0,6.555,0.2693157114303295
2,6,78,0.0,F,2.0,5.666,-0.6196842885696698
2,6,79,8.0,M,0.0,6.5,0.2143157114303298
2,6,80,2.0,F,-4.0,5.777,-0.5086842885696701
2,6,81,4.0,F,4.0,7.0,0.7143157114303298
2,7,82,4.0,F,-5.0,5.2,-1.08568428856967
2,7,83,0.0,F,-3.0,5.0,-1.2856842885696702
2,7,84,4.0,F,5.0,6.777,0.4913157114303299
2,7,85,0.0,F,1.0,4.555,-1.7306842885696705
2,8,86,10.0,F,0.0,7.111,0.8253157114303296
2,8,87,4.0,M,-1.0,5.285,-1.00068428856967
2,8,88,8.0,F,-6.0,7.0,0.7143157114303298
2,8,89,6.0,M,0.0,5.8,-0.4856842885696704
2,8,90,10.0,F,2.0,7.111,0.8253157114303296
2,8,91,8.0,F,-3.0,5.555,-0.7306842885696705
2,8,92,6.0,F,-2.0,5.6,-0.6856842885696706
2,8,93,4.0,M,5.0,5.714,-0.5716842885696698
2,8,94,8.0,F,-3.0,6.875,0.5893157114303298
2,8,95,8.0,M,5.0,5.0,-1.2856842885696702
2,8,96,6.0,F,-1.0,6.375,0.08931571143032979
2,9,97,10.0,M,-2.0,6.875,0.5893157114303298
2,9,98,6.0,M,-1.0,5.875,-0.4106842885696702
2,9,99,10.0,M,-5.0,8.0,1.7143157114303298
2,9,100,10.0,F,2.0,6.625,0.3393157114303298
2,9,101,8.0,M,-4.0,6.125,-0.1606842885696702
2,9,102,10.0,M,1.0,7.25,0.9643157114303298
2,9,103,6.0,M,1.0,5.428,-0.8576842885696703
2,9,104,0.0,F,5.0,4.555,-1.7306842885696705
2,9,105,10.0,F,-2.0,7.0,0.7143157114303298
2,9,106,6.0,M,4.0,6.375,0.08931571143032979
2,9,107,6.0,F,1.0,6.222,-0.06368428856966979
2,9,108,8.0,M,5.0,7.5,1.2143157114303298
2,9,109,2.0,M,-1.0,6.375,0.08931571143032979
2,9,110,2.0,M,-5.0,5.125,-1.1606842885696702
2,9,111,2.0,M,-5.0,6.0,-0.2856842885696702
2,9,112,4.0,F,-4.0,5.125,-1.1606842885696702
2,9,113,10.0,M,-4.0,7.625,1.3393157114303298
2,9,114,8.0,F,-6.0,6.625,0.3393157114303298
2,9,115,8.0,F,3.0,6.5,0.2143157114303298
2,9,116,8.0,M,0.0,6.125,-0.1606842885696702
2,9,117,10.0,F,-4.0,6.6,0.31431571143032944
2,9,118,6.0,F,2.0,6.375,0.08931571143032979
2,9,119,10.0,M,3.0,8.0,1.7143157114303298
2,10,120,8.0,F,-3.0,6.555,0.2693157114303295
2,11,121,10.0,M,-1.0,7.444,1.1583157114303297
2,11,122,10.0,M,5.0,7.777,1.49131571143033
2,11,123,8.0,M,2.0,6.888,0.6023157114303297
2,11,124,10.0,M,-3.0,6.875,0.5893157114303298
2,11,125,10.0,M,-3.0,6.888,0.6023157114303297
2,11,126,10.0,M,2.0,7.5,1.2143157114303298
2,11,127,0.0,M,-5.0,6.0,-0.2856842885696702
2,11,128,10.0,M,-3.0,7.1,0.8143157114303294
2,11,129,2.0,M,5.0,6.285,-0.0006842885696700662
2,11,130,8.0,M,3.0,7.333,1.04731571143033
2,11,131,8.0,M,3.0,6.9,0.6143157114303301
2,11,132,10.0,M,-4.0,7.555,1.2693157114303295
2,11,133,8.0,M,5.0,7.333,1.04731571143033
2,11,134,6.0,M,-6.0,6.8,0.5143157114303296
2,11,135,4.0,M,0.0,6.555,0.2693157114303295
2,11,136,6.0,M,-4.0,7.111,0.8253157114303296
2,11,137,8.0,M,4.0,6.888,0.6023157114303297
2,11,138,10.0,M,-4.0,7.555,1.2693157114303295
2,11,139,6.0,M,4.0,6.555,0.2693157114303295
2,11,140,10.0,M,2.0,7.5,1.2143157114303298
2,11,141,10.0,M,3.0,7.666,1.3803157114303302
2,11,142,10.0,M,0.0,6.888,0.6023157114303297
2,11,143,10.0,M,0.0,8.0,1.7143157114303298
2,11,144,10.0,M,4.0,7.444,1.1583157114303297
2,11,145,10.0,M,-1.0,7.111,0.8253157114303296
2,11,146,8.0,M,-2.0,7.111,0.8253157114303296
2,11,147,10.0,M,1.0,7.333,1.04731571143033
2,12,148,8.0,F,2.0,7.0,0.7143157114303298
2,12,149,10.0,F,-3.0,7.0,0.7143157114303298
2,12,150,10.0,F,-5.0,7.375,1.0893157114303298
2,12,151,10.0,F,0.0,7.555,1.2693157114303295
2,12,152,2.0,F,-2.0,6.375,0.08931571143032979
2,12,153,4.0,F,-3.0,6.875,0.5893157114303298
2,12,154,10.0,F,2.0,7.285,0.9993157114303299
2,12,155,4.0,F,-2.0,6.285,-0.0006842885696700662
2,12,156,10.0,F,4.0,7.375,1.0893157114303298
2,12,157,10.0,F,-4.0,6.75,0.4643157114303298
2,12,158,4.0,F,-3.0,7.0,0.7143157114303298
2,12,159,10.0,F,1.0,7.5,1.2143157114303298
2,12,160,8.0,F,1.0,6.888,0.6023157114303297
2,12,161,10.0,F,-5.0,7.25,0.9643157114303298
2,12,162,10.0,F,-3.0,7.875,1.5893157114303298
2,12,163,10.0,F,3.0,7.222,0.9363157114303302
2,12,164,0.0,F,-6.0,6.375,0.08931571143032979
2,12,165,4.0,F,2.0,6.285,-0.0006842885696700662
2,12,166,8.0,F,-5.0,6.888,0.6023157114303297
2,12,167,8.0,F,1.0,7.222,0.9363157114303302
2,12,168,8.0,F,-3.0,7.0,0.7143157114303298
2,12,169,10.0,F,3.0,7.4,1.1143157114303301
2,12,170,10.0,F,-2.0,7.5,1.2143157114303298
2,12,171,10.0,F,-1.0,7.444,1.1583157114303297
2,12,172,8.0,F,-6.0,6.625,0.3393157114303298
2,12,173,8.0,F,5.0,7.5,1.2143157114303298
2,12,174,8.0,F,1.0,6.888,0.6023157114303297
2,12,175,2.0,F,0.0,6.75,0.4643157114303298
2,12,176,8.0,F,5.0,7.0,0.7143157114303298
2,12,177,10.0,F,4.0,7.666,1.3803157114303302
2,13,178,4.0,F,-3.0,6.0,-0.2856842885696702
2,13,179,0.0,M,-2.0,5.625,-0.6606842885696702
2,13,180,10.0,M,4.0,6.5,0.2143157114303298
2,13,181,4.0,M,4.0,6.0,-0.2856842885696702
2,13,182,2.0,F,-5.0,6.0,-0.2856842885696702
2,14,183,4.0,M,3.0,5.125,-1.1606842885696702
2,14,184,0.0,M,4.0,5.125,-1.1606842885696702
2,15,185,2.0,F,3.0,3.888,-2.3976842885696703
3,16,186,6.0,M,-5.0,5.6,-0.6856842885696706
3,17,187,4.0,M,-6.0,4.571,-1.7146842885696705
3,17,188,4.0,M,2.0,6.777,0.4913157114303299
3,17,189,4.0,F,-3.0,7.0,0.7143157114303298
3,17,190,4.0,F,-1.0,6.25,-0.03568428856967021
3,17,191,4.0,F,2.0,5.875,-0.4106842885696702
3,17,192,6.0,F,-2.0,6.625,0.3393157114303298
3,17,193,2.0,M,2.0,4.5,-1.7856842885696702
3,17,194,6.0,F,-4.0,5.555,-0.7306842885696705
3,17,195,8.0,F,3.0,7.555,1.2693157114303295
3,17,196,6.0,F,-2.0,5.222,-1.0636842885696698
3,17,197,4.0,F,-4.0,6.625,0.3393157114303298
3,17,198,4.0,F,5.0,6.625,0.3393157114303298
3,17,199,4.0,M,-3.0,5.125,-1.1606842885696702
3,17,200,10.0,M,-3.0,6.555,0.2693157114303295
3,18,201,10.0,M,3.0,6.9,0.6143157114303301
3,18,202,8.0,F,3.0,6.1,-0.18568428856967056
3,18,203,4.0,F,-3.0,5.7,-0.58568428856967
3,18,204,6.0,F,4.0,6.9,0.6143157114303301
3,19,205,6.0,F,1.0,6.25,-0.03568428856967021
3,19,206,4.0,M,1.0,7.333,1.04731571143033
3,19,207,0.0,M,-1.0,6.222,-0.06368428856966979
3,19,208,0.0,F,5.0,6.0,-0.2856842885696702
3,19,209,4.0,F,0.0,5.875,-0.4106842885696702
3,19,210,4.0,M,2.0,6.4,0.11431571143033015
3,20,211,0.0,F,1.0,3.25,-3.03568428856967
3,20,212,2.0,F,-5.0,5.125,-1.1606842885696702
3,21,213,4.0,M,-1.0,6.222,-0.06368428856966979
3,21,214,4.0,M,-1.0,5.777,-0.5086842885696701
3,21,215,4.0,F,2.0,6.375,0.08931571143032979
3,21,216,0.0,F,1.0,6.777,0.4913157114303299
3,21,217,0.0,M,-1.0,6.333,0.047315711430329976
3,21,218,10.0,M,-5.0,7.666,1.3803157114303302
3,21,219,10.0,M,2.0,6.666,0.38031571143033016
3,21,220,4.0,F,3.0,7.222,0.9363157114303302
3,21,221,4.0,M,2.0,6.222,-0.06368428856966979
3,21,222,4.0,M,-6.0,6.222,-0.06368428856966979
3,21,223,10.0,M,-3.0,8.0,1.7143157114303298
3,21,224,6.0,M,-2.0,6.0,-0.2856842885696702
3,21,225,8.0,M,4.0,5.2,-1.08568428856967
3,22,226,2.0,F,1.0,6.555,0.2693157114303295
3,22,227,4.0,F,1.0,6.333,0.047315711430329976
3,22,228,8.0,F,2.0,6.9,0.6143157114303301
3,22,229,0.0,F,0.0,5.25,-1.0356842885696702
3,22,230,2.0,F,-3.0,7.1,0.8143157114303294
3,22,231,6.0,F,-5.0,6.1,-0.18568428856967056
3,22,232,2.0,F,2.0,7.1,0.8143157114303294
3,23,233,4.0,F,3.0,6.125,-0.1606842885696702
3,23,234,2.0,M,5.0,2.777,-3.50868428856967
3,23,235,6.0,M,-6.0,3.555,-2.73068428856967
4,24,236,4.0,F,-5.0,6.222,-0.06368428856966979
4,24,237,6.0,F,2.0,6.666,0.38031571143033016
4,24,238,6.0,F,4.0,7.222,0.9363157114303302
4,25,239,0.0,F,-1.0,4.8,-1.4856842885696704
4,25,240,0.0,F,3.0,3.9,-2.3856842885696703
4,25,241,0.0,F,-5.0,3.555,-2.73068428856967
4,25,242,0.0,F,-2.0,4.555,-1.7306842885696705
4,25,243,0.0,F,0.0,5.555,-0.7306842885696705
4,25,244,0.0,F,0.0,4.222,-2.06368428856967
4,26,245,0.0,F,2.0,5.0,-1.2856842885696702
4,26,246,0.0,F,-6.0,5.125,-1.1606842885696702
4,26,247,0.0,F,2.0,4.625,-1.6606842885696702
4,26,248,0.0,F,-3.0,4.75,-1.5356842885696702
4,27,249,8.0,F,-1.0,5.142,-1.1436842885696699
4,27,250,0.0,M,4.0,3.125,-3.16068428856967
4,27,251,10.0,M,-2.0,6.625,0.3393157114303298
4,27,252,2.0,F,-2.0,5.25,-1.0356842885696702
4,27,253,0.0,M,0.0,5.333,-0.95268428856967
4,27,254,10.0,F,-5.0,6.0,-0.2856842885696702
4,27,255,0.0,M,-6.0,5.142,-1.1436842885696699
4,27,256,0.0,F,-3.0,3.857,-2.42868428856967
4,27,257,8.0,F,-2.0,7.375,1.0893157114303298
5,28,258,4.0,F,2.0,5.888,-0.3976842885696703
5,28,259,0.0,F,-6.0,5.7,-0.58568428856967
5,28,260,8.0,F,0.0,6.75,0.4643157114303298
5,28,261,6.0,F,-4.0,6.0,-0.2856842885696702
5,28,262,0.0,F,3.0,5.375,-0.9106842885696702
5,28,263,8.0,F,2.0,7.0,0.7143157114303298
5,28,264,0.0,F,-3.0,4.333,-1.95268428856967
5,28,265,2.0,F,-1.0,5.444,-0.8416842885696703
5,28,266,4.0,F,2.0,7.0,0.7143157114303298
5,28,267,8.0,F,-2.0,6.8,0.5143157114303296
5,28,268,6.0,F,-4.0,6.75,0.4643157114303298
5,29,269,4.0,M,1.0,5.125,-1.1606842885696702
5,29,270,2.0,F,-1.0,5.0,-1.2856842885696702
5,29,271,10.0,F,-4.0,6.777,0.4913157114303299
5,29,272,8.0,M,-2.0,6.714,0.4283157114303302
5,30,273,6.0,F,-6.0,6.9,0.6143157114303301
5,30,274,8.0,F,-1.0,7.666,1.3803157114303302
5,30,275,4.0,M,-2.0,5.555,-0.7306842885696705
5,30,276,8.0,M,-5.0,6.25,-0.03568428856967021
5,30,277,4.0,M,-4.0,6.777,0.4913157114303299
5,30,278,0.0,M,4.0,5.777,-0.5086842885696701
5,30,279,0.0,F,-3.0,6.555,0.2693157114303295
5,30,280,10.0,M,5.0,7.1,0.8143157114303294
5,30,281,6.0,M,0.0,5.6,-0.6856842885696706
5,30,282,10.0,M,2.0,7.0,0.7143157114303298
5,30,283,4.0,M,-5.0,5.375,-0.9106842885696702
5,30,284,4.0,F,-1.0,5.555,-0.7306842885696705
5,30,285,8.0,M,4.0,6.333,0.047315711430329976
5,30,286,6.0,M,5.0,6.5,0.2143157114303298
5,30,287,6.0,M,-3.0,6.1,-0.18568428856967056
5,30,288,4.0,M,2.0,5.555,-0.7306842885696705
5,30,289,8.0,F,-6.0,6.444,0.15831571143032974
5,30,290,6.0,M,-5.0,5.125,-1.1606842885696702
5,30,291,4.0,M,1.0,5.4,-0.8856842885696699
5,30,292,2.0,F,-3.0,6.6,0.31431571143032944
5,30,293,6.0,M,-1.0,5.666,-0.6196842885696698
5,30,294,6.0,M,-4.0,6.0,-0.2856842885696702
5,30,295,4.0,F,-4.0,6.875,0.5893157114303298
5,30,296,6.0,M,2.0,6.222,-0.06368428856966979
5,31,297,10.0,F,0.0,7.875,1.5893157114303298
5,31,298,8.0,F,2.0,7.125,0.8393157114303298
5,31,299,8.0,F,-5.0,6.875,0.5893157114303298
5,31,300,4.0,F,-1.0,6.428,0.14231571143032973
5,31,301,10.0,F,-3.0,7.875,1.5893157114303298
5,31,302,6.0,F,4.0,6.625,0.3393157114303298
5,31,303,10.0,F,2.0,7.5,1.2143157114303298
5,31,304,6.0,F,4.0,7.777,1.49131571143033
5,31,305,8.0,F,-6.0,7.5,1.2143157114303298
5,31,306,8.0,F,1.0,7.1,0.8143157114303294
5,31,307,8.0,F,0.0,6.571,0.2853157114303295
5,31,308,10.0,F,-3.0,7.875,1.5893157114303298
5,31,309,10.0,F,-5.0,7.75,1.4643157114303298
5,31,310,10.0,F,4.0,7.5,1.2143157114303298
5,31,311,10.0,F,1.0,7.444,1.1583157114303297
5,31,312,8.0,F,2.0,7.25,0.9643157114303298
5,31,313,8.0,F,-1.0,7.25,0.9643157114303298
5,31,314,10.0,F,1.0,7.285,0.9993157114303299
5,31,315,8.0,F,3.0,7.125,0.8393157114303298
5,31,316,10.0,F,-3.0,7.25,0.9643157114303298
5,31,317,10.0,F,-5.0,7.666,1.3803157114303302
5,31,318,10.0,F,5.0,7.25,0.9643157114303298
5,31,319,6.0,F,5.0,7.25,0.9643157114303298
5,32,320,10.0,F,-2.0,7.333,1.04731571143033
5,32,321,10.0,F,-4.0,7.875,1.5893157114303298
5,32,322,10.0,F,-2.0,7.5,1.2143157114303298
5,32,323,8.0,F,4.0,6.333,0.047315711430329976
5,32,324,8.0,F,1.0,6.857,0.57131571143033
5,32,325,10.0,F,5.0,7.875,1.5893157114303298
5,32,326,8.0,F,-4.0,6.5,0.2143157114303298
5,32,327,10.0,F,-6.0,7.625,1.3393157114303298
5,32,328,6.0,F,2.0,7.0,0.7143157114303298
5,32,329,8.0,F,-3.0,7.375,1.0893157114303298
5,32,330,8.0,F,1.0,6.75,0.4643157114303298
5,32,331,10.0,F,0.0,7.181,0.8953157114303298
5,32,332,10.0,F,-4.0,7.625,1.3393157114303298
5,32,333,8.0,F,2.0,6.75,0.4643157114303298
5,32,334,10.0,F,-4.0,7.5,1.2143157114303298
5,32,335,8.0,F,-6.0,6.625,0.3393157114303298
5,32,336,10.0,F,-5.0,7.111,0.8253157114303296
5,32,337,10.0,F,-5.0,7.111,0.8253157114303296
5,32,338,6.0,F,5.0,7.125,0.8393157114303298
5,32,339,6.0,F,-3.0,6.25,-0.03568428856967021
5,32,340,10.0,F,2.0,7.6,1.3143157114303294
5,32,341,8.0,F,-1.0,6.625,0.3393157114303298
5,32,342,2.0,F,-1.0,6.285,-0.0006842885696700662
5,32,343,10.0,F,0.0,7.285,0.9993157114303299
5,32,344,8.0,F,0.0,7.0,0.7143157114303298
5,33,345,8.0,M,5.0,7.2,0.91431571143033
5,33,346,10.0,M,-6.0,7.4,1.1143157114303301
5,33,347,8.0,M,-6.0,7.5,1.2143157114303298
5,33,348,8.0,M,5.0,6.9,0.6143157114303301
5,33,349,4.0,M,0.0,6.6,0.31431571143032944
5,33,350,10.0,M,-3.0,7.7,1.41431571143033
5,33,351,4.0,M,3.0,7.1,0.8143157114303294
5,33,352,10.0,M,1.0,7.2,0.91431571143033
5,33,353,10.0,M,2.0,7.5,1.2143157114303298
5,33,354,6.0,M,-5.0,6.9,0.6143157114303301
5,33,355,10.0,M,-1.0,7.2,0.91431571143033
5,33,356,10.0,M,1.0,7.4,1.1143157114303301
5,33,357,6.0,M,-1.0,7.3,1.0143157114303296
5,33,358,2.0,M,-1.0,6.6,0.31431571143032944
5,33,359,10.0,M,-2.0,7.25,0.9643157114303298
5,33,360,10.0,M,-4.0,7.3,1.0143157114303296
5,33,361,10.0,M,-6.0,7.9,1.6143157114303301
5,33,362,8.0,M,2.0,7.111,0.8253157114303296
5,33,363,8.0,M,4.0,7.0,0.7143157114303298
5,33,364,4.0,M,0.0,6.375,0.08931571143032979
5,33,365,10.0,M,2.0,7.5,1.2143157114303298
5,33,366,10.0,M,2.0,7.6,1.3143157114303294
5,33,367,10.0,M,0.0,7.4,1.1143157114303301
5,33,368,10.0,M,3.0,6.777,0.4913157114303299
5,33,369,10.0,M,1.0,7.8,1.5143157114303296
5,33,370,10.0,M,1.0,6.7,0.41431571143032997
5,33,371,8.0,M,3.0,7.2,0.91431571143033
5,33,372,6.0,M,-5.0,7.0,0.7143157114303298
5,33,373,8.0,M,-6.0,6.5,0.2143157114303298
5,33,374,10.0,M,-6.0,7.4,1.1143157114303301
5,33,375,8.0,M,-6.0,7.3,1.0143157114303296
5,33,376,10.0,M,5.0,7.5,1.2143157114303298
5,33,377,8.0,M,-6.0,7.9,1.6143157114303301
5,34,378,4.0,M,-3.0,6.222,-0.06368428856966979
5,34,379,0.0,F,4.0,3.5,-2.78568428856967
5,34,380,4.0,M,-3.0,5.5,-0.7856842885696702
5,34,381,0.0,F,5.0,5.111,-1.1746842885696704
5,34,382,2.0,F,-2.0,6.444,0.15831571143032974
5,34,383,0.0,M,2.0,4.888,-1.3976842885696703
5,34,384,2.0,M,5.0,5.555,-0.7306842885696705
5,34,385,0.0,M,1.0,4.111,-2.1746842885696704
6,35,386,0.0,M,5.0,4.875,-1.4106842885696702
6,35,387,10.0,M,-6.0,7.625,1.3393157114303298
6,35,388,0.0,M,0.0,4.142,-2.14368428856967
6,36,389,4.0,F,-6.0,6.555,0.2693157114303295
6,37,390,0.0,M,5.0,5.888,-0.3976842885696703
6,37,391,0.0,M,-4.0,5.625,-0.6606842885696702
6,37,392,0.0,M,-2.0,4.625,-1.6606842885696702
6,38,393,2.0,F,2.0,5.75,-0.5356842885696702
6,38,394,8.0,M,3.0,5.25,-1.0356842885696702
6,38,395,10.0,M,-4.0,5.875,-0.4106842885696702
6,38,396,10.0,F,2.0,7.444,1.1583157114303297
6,38,397,2.0,F,-2.0,6.0,-0.2856842885696702
6,38,398,2.0,M,1.0,4.777,-1.50868428856967
6,38,399,6.0,F,-4.0,6.666,0.38031571143033016
6,38,400,4.0,F,-2.0,5.777,-0.5086842885696701
6,38,401,4.0,M,1.0,6.111,-0.17468428856967044
6,38,402,4.0,M,-5.0,6.0,-0.2856842885696702
6,38,403,6.0,M,-4.0,5.875,-0.4106842885696702
6,38,404,8.0,M,-3.0,6.25,-0.03568428856967021
6,38,405,10.0,M,1.0,7.5,1.2143157114303298
6,38,406,10.0,M,-1.0,7.222,0.9363157114303302
6,38,407,6.0,F,-3.0,6.222,-0.06368428856966979
6,38,408,2.0,M,-6.0,4.714,-1.5716842885696698
6,38,409,4.0,F,-1.0,5.0,-1.2856842885696702
6,38,410,8.0,M,4.0,6.875,0.5893157114303298
6,38,411,4.0,F,2.0,6.25,-0.03568428856967021
6,38,412,2.0,F,2.0,4.888,-1.3976842885696703
6,38,413,2.0,F,-1.0,5.125,-1.1606842885696702
6,38,414,10.0,F,3.0,7.333,1.04731571143033
6,38,415,6.0,M,4.0,6.25,-0.03568428856967021
6,38,416,0.0,F,-5.0,4.666,-1.6196842885696698
6,38,417,4.0,M,-1.0,5.222,-1.0636842885696698
6,38,418,8.0,M,5.0,6.555,0.2693157114303295
6,38,419,6.0,F,4.0,6.777,0.4913157114303299
6,38,420,8.0,F,3.0,6.888,0.6023157114303297
7,39,421,6.0,M,2.0,5.625,-0.6606842885696702
7,39,422,8.0,M,1.0,6.375,0.08931571143032979
7,39,423,2.0,M,1.0,6.0,-0.2856842885696702
7,40,424,8.0,M,4.0,6.0,-0.2856842885696702
7,40,425,10.0,M,-6.0,6.333,0.047315711430329976
7,40,426,10.0,M,1.0,6.4,0.11431571143033015
7,41,427,2.0,M,-1.0,5.555,-0.7306842885696705
7,41,428,10.0,F,-5.0,7.666,1.3803157114303302
7,41,429,0.0,F,-4.0,6.222,-0.06368428856966979
7,41,430,8.0,M,1.0,7.0,0.7143157114303298
7,41,431,8.0,F,-6.0,7.25,0.9643157114303298
7,41,432,0.0,M,-5.0,5.818,-0.4676842885696706
7,41,433,4.0,M,-5.0,6.166,-0.11968428856966984
7,41,434,4.0,M,4.0,5.555,-0.7306842885696705
7,41,435,2.0,F,1.0,6.75,0.4643157114303298
7,41,436,0.0,F,5.0,6.2,-0.08568428856967003
7,41,437,4.0,F,-2.0,7.0,0.7143157114303298
7,41,438,2.0,F,2.0,5.8,-0.4856842885696704
7,41,439,4.0,F,4.0,6.375,0.08931571143032979
7,41,440,10.0,M,2.0,7.666,1.3803157114303302
7,42,441,6.0,F,2.0,7.0,0.7143157114303298
7,42,442,4.0,F,-1.0,6.375,0.08931571143032979
7,42,443,10.0,F,1.0,8.0,1.7143157114303298
7,43,444,0.0,F,-1.0,6.25,-0.03568428856967021
7,44,445,8.0,F,5.0,6.9,0.6143157114303301
7,44,446,6.0,M,1.0,6.125,-0.1606842885696702
7,45,447,2.0,F,-4.0,6.0,-0.2856842885696702
7,45,448,0.0,F,-4.0,5.7,-0.58568428856967
7,46,449,4.0,F,4.0,6.1,-0.18568428856967056
7,46,450,2.0,M,2.0,5.333,-0.95268428856967
7,46,451,8.0,F,2.0,6.857,0.57131571143033
7,46,452,0.0,F,-6.0,5.0,-1.2856842885696702
7,46,453,8.0,F,4.0,5.777,-0.5086842885696701
7,46,454,0.0,M,1.0,5.444,-0.8416842885696703
7,46,455,6.0,M,-4.0,5.0,-1.2856842885696702
7,46,456,6.0,M,5.0,6.25,-0.03568428856967021
7,46,457,10.0,F,2.0,6.777,0.4913157114303299
7,47,458,0.0,M,-5.0,4.7,-1.58568428856967
7,47,459,4.0,M,4.0,6.1,-0.18568428856967056
7,47,460,2.0,M,2.0,4.75,-1.5356842885696702
7,47,461,10.0,F,5.0,7.0,0.7143157114303298
7,47,462,2.0,F,-2.0,6.0,-0.2856842885696702
7,48,463,8.0,F,-5.0,6.222,-0.06368428856966979
7,49,464,2.0,M,-5.0,7.0,0.7143157114303298
7,49,465,6.0,F,4.0,6.2,-0.08568428856967003
7,49,466,10.0,M,3.0,6.625,0.3393157114303298
7,49,467,4.0,F,0.0,6.5,0.2143157114303298
7,50,468,6.0,M,0.0,6.25,-0.03568428856967021
