G,H,studage,lectage,A,I,Y
AAg,CU,8,4,N,l,1
AAg,Ed,8,4,Y,d,4
AAg,Ee,8,6,Y,f,5
AAg,Dj,8,5,N,l,4
AAg,CO,8,3,N,l,4
AAg,Ef,8,6,Y,f,4
AAg,Eg,8,3,Y,f,5
AAg,Eh,8,6,Y,d,2
AAg,CX,8,6,N,l,2
AAg,Ei,8,3,N,l,3
AAg,Ej,8,6,Y,f,2
AAg,Ek,8,5,Y,f,1
AAg,El,8,6,Y,o,3
AAg,Dl,8,5,N,l,4
AAg,CY,8,6,N,l,3
AAg,Em,8,4,Y,h,1
AAg,En,8,3,N,l,5
AAg,Eo,8,3,N,l,2
AAg,Cb,8,4,N,l,3
AAg,Ep,8,3,N,l,4
AAg,Eq,8,4,Y,h,1
AAg,Cf,8,3,N,l,1
AAg,Er,8,3,N,l,4
AAg,Dm,8,5,N,l,5
AAg,Es,8,4,Y,d,4
AAg,Et,8,6,N,l,2
AAg,Eu,8,6,Y,d,5
AAg,Ev,8,6,Y,d,2
AAg,Ch,8,4,N,l,5
AAg,Ew,8,4,Y,h,3
AAg,Ex,8,6,Y,d,4
AAg,Ey,8,5,N,l,2
AAg,Ez,8,2,Y,f,4
AAg,FA,8,5,N,l,1
AAg,FB,8,6,Y,f,4
AAg,FC,8,3,Y,h,1
AAg,FD,8,3,Y,f,4
AAg,FE,8,1,N,l,1
AAg,FF,8,3,N,l,2
AAg,Ci,8,4,N,l,1
AAg,FG,8,6,Y,f,5
AAg,FH,8,4,Y,d,5
AAg,Dt,8,5,N,l,5
AAg,FI,8,3,N,l,4
AAg,FJ,8,3,N,l,5
AAg,Dw,8,5,N,l,2
AAg,FK,8,6,Y,k,1
AAg,FL,8,3,N,l,3
AAg,FM,8,3,Y,f,4
AAg,FN,8,1,N,l,4
AAg,FO,8,3,N,l,3
AAg,CQ,8,3,N,l,5
AAg,FP,8,4,Y,d,3
AAg,Cj,8,6,Y,f,3
AAg,Ck,8,4,N,l,3
AAg,EU,8,3,Y,h,4
AAg,Dy,8,5,Y,b,3
AAg,FQ,8,6,N,l,2
AAg,FR,8,6,N,l,3
AAg,FS,8,3,Y,f,3
AAg,EA,8,5,N,l,4
AAg,Bh,8,6,Y,k,2
AAg,EB,8,5,N,l,1
AAg,Co,8,4,N,l,2
AAg,FT,8,1,Y,f,2
AAg,Cq,8,4,N,l,4
AAg,Cs,8,6,Y,f,2
AAh,FU,4,3,Y,i,4
AAh,FV,4,6,N,n,2
AAh,FW,4,3,N,n,2
AAh,FX,4,5,N,n,4
AAh,FY,4,6,Y,a,3
AAh,CS,4,4,N,n,5
AAh,FZ,4,6,Y,a,3
AAh,Fa,4,4,N,n,4
AAh,Fb,4,3,N,n,3
AAh,Fc,4,4,N,n,3
AAh,Fd,4,5,N,n,4
AAh,CE,4,5,N,n,2
AAh,Fe,4,5,Y,a,5
AAh,Ff,4,5,N,n,2
AAh,Fg,4,5,N,n,2
AAh,Bu,4,5,N,n,2
AAh,By,4,4,N,n,1
AAh,CA,4,6,N,n,4
AAi,Fh,6,2,N,d,3
AAi,Eb,6,6,N,d,4
AAi,Fi,6,6,N,d,5
AAi,Fj,6,6,Y,h,3
AAi,Fk,6,5,N,d,4
AAi,Fl,6,6,N,d,2
AAi,Fm,6,6,Y,k,3
AAi,Fn,6,6,Y,b,2
AAi,Fo,6,5,N,d,2
AAi,Fp,6,6,Y,g,3
AAi,Fq,6,6,Y,f,4
AAi,An,6,3,N,d,1
AAi,Ah,6,6,Y,h,2
AAi,Fr,6,2,Y,a,3
AAi,Fs,6,2,N,d,5
AAi,Ft,6,5,N,d,1
AAi,Fu,6,5,Y,h,4
AAi,Fv,6,6,N,d,2
AAi,Dm,6,6,Y,l,3
AAi,Fw,6,6,Y,g,1
AAi,Fx,6,6,N,d,3
AAi,Fy,6,2,N,d,2
AAi,Fz,6,5,N,d,3
AAi,FC,6,6,Y,h,1
AAi,GA,6,5,Y,g,1
AAi,GB,6,6,N,d,1
AAi,Ap,6,3,Y,g,1
AAi,GC,6,5,N,d,4
AAi,GD,6,5,N,d,1
AAi,GE,6,6,N,d,5
AAi,FP,6,6,N,d,1
AAi,GF,6,6,Y,c,4
AAi,Ar,6,5,Y,g,5
AAi,GG,6,5,N,d,4
AAi,As,6,2,N,d,5
AAi,GH,6,6,Y,f,1
AAi,GI,6,6,Y,b,4
AAi,GJ,6,5,Y,j,2
AAi,GK,6,5,N,d,4
AAi,GL,6,6,N,d,2
AAi,Am,6,6,Y,h,4
AAi,GM,6,6,N,d,2
AAi,GN,6,5,Y,g,1
AAj,CG,8,6,N,o,5
AAj,GO,8,2,N,o,2
AAj,Af,8,3,N,o,5
AAj,Ea,8,5,N,o,4
AAj,Eb,8,4,Y,d,3
AAj,GP,8,2,N,o,4
AAj,GQ,8,5,Y,d,3
AAj,GR,8,3,N,o,5
AAj,GS,8,4,N,o,2
AAj,GT,8,2,N,o,3
AAj,GU,8,3,N,o,2
AAj,GV,8,6,N,o,1
AAj,GW,8,2,N,o,4
AAj,GX,8,5,N,o,4
AAj,GY,8,6,N,o,3
AAj,GZ,8,6,N,o,3
AAj,Ah,8,4,Y,h,5
AAj,Ga,8,6,N,o,5
AAj,Gb,8,4,N,o,4
AAj,Gc,8,2,N,o,4
AAj,Gd,8,2,N,o,3
AAj,Ge,8,2,N,o,5
AAj,Gf,8,6,N,o,2
AAj,Gg,8,2,N,o,4
AAj,Gh,8,4,N,o,5
AAj,GB,8,4,Y,d,5
AAj,Gi,8,4,N,o,3
AAj,Gj,8,3,N,o,3
AAj,AY,8,6,Y,b,4
AAj,Gk,8,3,N,o,4
AAj,Gl,8,3,Y,a,5
AAj,Gm,8,6,N,o,3
AAj,Gn,8,2,N,o,4
AAj,Go,8,2,N,o,4
AAj,Gp,8,6,N,o,5
AAj,Gq,8,4,N,o,5
AAj,Gr,8,3,N,o,5
AAj,Al,8,1,N,o,4
AAj,Gs,8,5,Y,d,4
AAj,Gt,8,2,N,o,5
AAj,Gu,8,2,N,o,3
AAj,Gv,8,2,N,o,3
AAj,Gw,8,5,Y,d,5
AAj,EB,8,5,Y,l,4
AAj,Gx,8,4,N,o,2
AAj,Gy,8,3,N,o,1
AAj,Gz,8,2,N,o,3
AAj,HA,8,6,N,o,4
AAj,HB,8,6,N,o,3
AAj,HC,8,3,N,o,3
AAj,Am,8,6,Y,h,4
AAj,HD,8,5,Y,l,5
AAj,HE,8,5,N,o,3
AAk,HF,6,3,N,l,4
AAk,HG,6,3,N,l,3
AAk,GP,6,5,Y,o,5
AAk,CT,6,6,N,l,3
AAk,Ec,6,4,N,l,4
AAk,Di,6,6,N,l,3
AAk,HH,6,5,N,l,2
AAk,Dj,6,6,N,l,3
AAk,HI,6,3,N,l,5
AAk,CO,6,5,N,l,5
AAk,FY,6,5,Y,a,5
AAk,Ei,6,4,N,l,4
AAk,Ek,6,6,Y,f,2
AAk,HJ,6,3,N,l,3
AAk,Dl,6,6,N,l,5
AAk,En,6,5,N,l,5
AAk,HK,6,5,Y,a,3
AAk,Cb,6,6,N,l,2
AAk,Ep,6,4,N,l,5
AAk,HL,6,6,Y,d,4
AAk,Er,6,6,N,l,4
AAk,Dm,6,6,N,l,5
AAk,HM,6,5,N,l,3
AAk,Eu,6,6,Y,d,5
AAk,Ev,6,6,Y,d,5
AAk,Ex,6,6,Y,d,5
AAk,Ey,6,6,N,l,2
AAk,Ez,6,6,Y,f,2
AAk,FA,6,6,N,l,2
AAk,FE,6,3,N,l,2
AAk,HN,6,6,N,l,4
AAk,FG,6,6,Y,f,2
AAk,Dt,6,6,N,l,3
AAk,HO,6,3,N,l,4
AAk,Du,6,6,Y,k,4
AAk,HP,6,5,Y,f,5
AAk,Dw,6,6,N,l,5
AAk,FN,6,5,N,l,4
AAk,CQ,6,5,N,l,4
AAk,Cj,6,6,Y,f,4
AAk,HQ,6,3,Y,a,4
AAk,EV,6,5,Y,h,4
AAk,FR,6,6,N,l,3
AAk,HR,6,4,N,l,2
AAk,EA,6,6,N,l,3
AAk,EB,6,6,N,l,5
AAk,Co,6,6,N,l,3
AAk,HS,6,5,Y,a,5
AAk,HT,6,6,N,l,1
AAk,HB,6,6,Y,o,5
AAk,FT,6,5,Y,f,1
AAk,HU,6,3,N,l,5
AAk,HV,6,6,N,l,4
AAk,Cs,6,6,Y,f,5
AAk,HW,6,6,Y,b,2
AAl,HX,8,2,Y,n,2
AAl,EG,8,6,N,c,3
AAl,EI,8,5,N,c,3
AAl,CB,8,5,N,c,4
AAl,HY,8,6,Y,h,3
AAl,EJ,8,6,Y,k,4
AAl,CC,8,5,N,c,1
AAl,EK,8,6,Y,b,5
AAl,EL,8,6,N,c,3
AAl,EM,8,5,N,c,5
AAl,HZ,8,6,Y,h,5
AAl,Cx,8,4,N,c,5
AAl,EN,8,6,Y,k,4
AAl,Ha,8,4,N,c,4
AAl,EO,8,6,N,c,5
AAl,EQ,8,3,N,c,1
AAl,Aw,8,6,Y,k,3
AAl,DB,8,6,N,c,5
AAl,EW,8,4,N,c,5
AAl,CJ,8,5,N,c,2
AAl,EZ,8,5,N,c,5
AAl,CA,8,6,Y,n,4
AAm,Hb,2,3,N,i,4
AAm,Hc,2,3,Y,n,5
AAm,Hd,2,3,N,i,5
AAm,He,2,3,N,i,5
AAm,Hf,2,3,N,i,1
AAm,Hg,2,3,N,i,5
AAm,Ba,2,4,N,i,3
AAm,DH,2,3,N,i,5
AAm,Hh,2,3,N,i,4
AAn,Bj,8,4,N,b,2
AAn,DN,8,6,N,b,1
AAn,Hi,8,5,Y,k,4
AAn,Hj,8,3,N,b,3
AAn,Bk,8,2,Y,k,4
AAn,Az,8,3,N,b,2
AAn,BX,8,6,Y,k,4
AAn,Hk,8,6,Y,k,3
AAn,AW,8,5,N,b,5
AAn,Ah,8,6,Y,h,1
AAn,EK,8,4,N,b,4
AAn,Hl,8,6,N,b,2
AAn,Hm,8,6,N,b,3
AAn,Hn,8,5,N,b,4
AAn,AZ,8,2,N,b,5
AAn,Ho,8,6,Y,k,3
AAn,FK,8,6,Y,k,2
AAn,Ab,8,5,N,b,4
AAn,Hp,8,4,N,b,1
AAn,Hq,8,6,Y,k,5
AAn,Hr,8,6,Y,h,4
AAn,Hs,8,6,Y,h,5
AAo,Eb,8,6,N,d,4
AAo,GQ,8,6,N,d,3
AAo,Fj,8,6,Y,h,5
AAo,Fk,8,6,N,d,2
AAo,Fn,8,6,Y,b,5
AAo,Ht,8,3,Y,j,5
AAo,Fp,8,6,Y,g,5
AAo,Em,8,6,Y,h,2
AAo,Fr,8,6,Y,a,4
AAo,Fs,8,4,N,d,5
AAo,Ft,8,6,N,d,2
AAo,Hu,8,6,Y,j,5
AAo,Fv,8,6,N,d,5
AAo,HL,8,6,N,d,4
AAo,Hv,8,6,N,d,5
AAo,Ew,8,6,Y,h,3
AAo,Hw,8,6,N,d,3
AAo,Fz,8,6,N,d,5
AAo,GB,8,6,N,d,4
AAo,Hx,8,6,N,d,5
AAo,Hn,8,6,Y,b,4
AAo,Hy,8,6,N,d,3
AAo,Hz,8,5,N,d,3
AAo,IA,8,5,N,d,2
AAo,GC,8,6,N,d,4
AAo,IB,8,6,Y,j,5
AAo,IC,8,3,Y,c,5
AAo,GD,8,6,N,d,1
AAo,GE,8,6,N,d,2
AAo,FP,8,6,N,d,2
AAo,GF,8,6,Y,c,5
AAo,ID,8,6,Y,b,4
AAo,Ar,8,6,Y,g,2
AAo,GG,8,6,N,d,5
AAo,As,8,4,N,d,2
AAo,GJ,8,6,Y,j,3
AAo,GK,8,6,N,d,2
AAo,IE,8,6,Y,j,1
AAo,DD,8,6,Y,c,1
AAo,IF,8,6,N,d,5
AAo,GN,8,6,Y,g,2
AAp,Eb,6,3,Y,d,1
AAp,AJ,6,6,N,j,3
AAp,IG,6,6,Y,d,3
AAp,Fj,6,6,Y,h,4
AAp,Fl,6,6,Y,d,3
AAp,Ht,6,6,N,j,2
AAp,IH,6,6,Y,h,2
AAp,II,6,3,N,j,3
AAp,AL,6,3,N,j,3
AAp,IJ,6,2,Y,d,2
AAp,Ah,6,3,Y,h,5
AAp,IK,6,6,Y,l,2
AAp,Hu,6,2,N,j,1
AAp,IL,6,3,N,j,2
AAp,IM,6,6,N,j,3
AAp,GA,6,3,Y,g,2
AAp,GB,6,6,Y,d,1
AAp,IN,6,3,Y,d,1
AAp,IO,6,6,Y,d,4
AAp,IB,6,6,N,j,3
AAp,IP,6,2,Y,f,1
AAp,GE,6,6,Y,d,5
AAp,IQ,6,3,N,j,2
AAp,IR,6,3,Y,d,2
AAp,IS,6,2,N,j,1
AAp,Gw,6,6,Y,d,2
AAp,IT,6,6,Y,c,4
AAp,BT,6,3,N,j,2
AAp,IU,6,2,N,j,4
AAp,IV,6,2,Y,c,3
AAp,IW,6,6,Y,b,3
AAq,IX,6,4,N,o,4
AAq,CG,6,6,N,o,4
AAq,IY,6,6,N,o,4
AAq,Ea,6,5,N,o,3
AAq,Eb,6,4,Y,d,3
AAq,GP,6,2,N,o,5
AAq,IZ,6,2,N,o,5
AAq,Ia,6,3,N,o,1
AAq,GR,6,5,N,o,2
AAq,GS,6,6,N,o,4
AAq,GU,6,2,N,o,3
AAq,Ib,6,3,N,o,3
AAq,Ic,6,3,N,o,3
AAq,Id,6,3,N,o,5
AAq,Ie,6,3,N,o,3
AAq,GV,6,6,N,o,4
AAq,GW,6,2,N,o,5
AAq,GX,6,5,N,o,5
AAq,GY,6,6,N,o,1
AAq,GZ,6,6,N,o,3
AAq,Ah,6,3,Y,h,5
AAq,Ga,6,6,N,o,4
AAq,Gb,6,4,N,o,2
AAq,If,6,4,N,o,2
AAq,Gd,6,2,N,o,1
AAq,Ge,6,2,N,o,4
AAq,Ex,6,6,Y,d,1
AAq,Gf,6,6,N,o,2
AAq,Gg,6,2,N,o,3
AAq,Ig,6,5,N,o,3
AAq,GB,6,4,Y,d,1
AAq,Gi,6,2,N,o,3
AAq,Dt,6,6,Y,l,4
AAq,Gj,6,2,N,o,3
AAq,AY,6,6,Y,b,3
AAq,Ih,6,3,Y,h,5
AAq,Gk,6,2,N,o,5
AAq,Gm,6,6,N,o,2
AAq,Go,6,2,N,o,4
AAq,Gp,6,2,N,o,3
AAq,Gr,6,6,N,o,4
AAq,Al,6,2,N,o,5
AAq,Ii,6,5,N,o,4
AAq,Gs,6,5,Y,d,3
AAq,Ij,6,3,N,o,2
AAq,Gt,6,2,N,o,3
AAq,Gu,6,2,N,o,3
AAq,Gv,6,5,N,o,2
AAq,Ik,6,4,N,o,4
AAq,FR,6,6,Y,l,2
AAq,Gw,6,4,Y,d,3
AAq,Gx,6,4,N,o,4
AAq,Gy,6,5,N,o,1
AAq,Gz,6,5,N,o,5
AAq,HA,6,6,N,o,1
AAq,HB,6,6,N,o,2
AAq,HC,6,3,N,o,3
AAq,Il,6,3,N,o,2
AAq,Im,6,6,N,o,1
AAq,Am,6,6,Y,h,3
AAq,HD,6,6,Y,l,3
AAq,HE,6,6,N,o,1
AAr,CT,6,6,N,l,3
AAr,Ec,6,6,N,l,3
AAr,Di,6,6,N,l,5
AAr,Dj,6,6,N,l,1
AAr,In,6,4,N,l,1
AAr,CO,6,6,N,l,4
AAr,Eh,6,4,Y,d,5
AAr,Ei,6,6,N,l,3
AAr,Ek,6,6,Y,f,3
AAr,HY,6,6,Y,h,2
AAr,Dl,6,6,N,l,5
AAr,Em,6,3,Y,h,1
AAr,Cb,6,6,N,l,1
AAr,Ep,6,6,N,l,5
AAr,Io,6,4,N,l,3
AAr,HZ,6,6,Y,h,3
AAr,Ip,6,5,Y,d,5
AAr,Er,6,6,N,l,2
AAr,Iq,6,6,N,l,2
AAr,Dm,6,6,N,l,4
AAr,Eu,6,5,Y,d,5
AAr,Gc,6,5,Y,o,5
AAr,Gd,6,3,Y,o,5
AAr,Ev,6,5,Y,d,4
AAr,Ew,6,3,Y,h,2
AAr,Ex,6,5,Y,d,2
AAr,Ey,6,6,N,l,3
AAr,CF,6,5,Y,h,4
AAr,Ez,6,4,Y,f,3
AAr,FA,6,6,N,l,3
AAr,FE,6,3,N,l,2
AAr,Ir,6,6,Y,h,5
AAr,FG,6,6,Y,f,1
AAr,Dt,6,6,N,l,3
AAr,Is,6,4,Y,d,3
AAr,Du,6,6,Y,k,1
AAr,HP,6,3,Y,f,5
AAr,Gn,6,4,Y,o,5
AAr,FJ,6,5,N,l,3
AAr,Dw,6,6,N,l,5
AAr,FL,6,5,N,l,5
AAr,FN,6,3,N,l,3
AAr,Cj,6,6,Y,f,4
