G,Y,B,U,A
2,1.4395322,girls,0.0404992,F
2,1.0396082,girls,-0.290107,F
2,0.0043222,girls,-0.620713,F
2,0.4026692,girls,0.7843622,F
2,-0.623051,girls,-0.786016,F
2,1.3101422,girls,1.9414832,F
2,-1.029067,girls,-0.868667,F
2,2.4086922,girls,1.9414832,F
2,0.8219882,girls,-0.372758,F
2,0.6107292,girls,0.1231502,F
2,2.7018012,girls,2.0241342,F
2,1.7348992,girls,1.9414832,F
2,0.4026692,girls,1.6935282,F
2,-1.962075,girls,-0.45541,F
2,0.3280722,girls,1.3629222,F
2,-1.438662,girls,-2.76965,F
2,2.0397092,girls,0.2884532,F
2,0.6107292,girls,-0.45541,F
2,-0.555112,girls,-0.124804,F
2,2.0397092,girls,0.3711052,F
2,-0.623051,girls,-1.695182,F
2,-1.118624,girls,-0.620713,F
2,0.7472282,girls,0.0404992,F
2,1.8138272,girls,2.4373912,F
2,1.9771072,girls,2.0241342,F
2,-1.219486,girls,0.2058022,F
2,0.4026692,girls,1.2802712,F
2,1.1094382,girls,2.1894372,F
2,1.0396082,girls,1.6108772,F
2,-0.265159,girls,-0.538061,F
2,1.6618062,girls,0.7017112,F
2,2.1029752,girls,2.1894372,F
2,3.1340482,girls,1.2802712,F
2,0.6107292,girls,-0.45541,F
2,0.6107292,girls,-0.042152,F
2,-1.335315,girls,-1.116621,F
2,-0.85267,girls,-1.116621,F
3,-0.197611,mixed,-0.042152,F
3,2.9246672,mixed,1.3629222,F
3,-0.699505,mixed,1.3629222,F
3,2.4086922,mixed,1.4455742,M
3,0.8965662,mixed,-0.124804,M
3,0.1340672,mixed,-0.538061,M
3,-0.699505,mixed,0.7017112,M
3,0.0043222,mixed,-0.042152,M
3,-0.062088,mixed,-1.860484,M
3,1.1758492,mixed,0.1231502,F
3,1.9771072,mixed,2.4373912,M
3,-0.265159,mixed,1.2802712,F
3,0.6787592,mixed,-0.620713,F
3,0.2613242,mixed,1.1976192,F
3,0.9675862,mixed,0.2058022,F
3,1.5061852,mixed,-0.207455,F
3,1.3747412,mixed,0.3711052,M
3,0.2613242,mixed,-0.207455,M
3,1.8138272,mixed,1.1976192,M
3,0.1340672,mixed,0.3711052,F
3,-1.118624,mixed,-1.116621,M
3,0.4026692,mixed,0.2884532,F
3,1.5792202,mixed,0.7017112,F
3,0.7472282,mixed,0.6190592,M
3,0.4026692,mixed,0.2884532,F
3,1.8138272,mixed,1.2802712,F
3,2.0397092,mixed,2.4373912,M
3,2.2031212,mixed,1.8588312,M
3,0.8219882,mixed,1.0323172,F
3,2.0397092,mixed,0.9496652,F
3,1.9771072,mixed,2.4373912,M
3,1.4395322,mixed,0.7017112,M
3,1.5792202,mixed,0.9496652,F
3,1.2405332,mixed,1.0323172,M
3,1.3747412,mixed,0.3711052,F
3,0.8965662,mixed,1.1976192,F
3,0.8219882,mixed,-0.620713,M
3,2.1029752,mixed,0.9496652,F
3,-0.338842,mixed,-0.951318,M
3,1.0396082,mixed,0.0404992,M
3,1.4395322,mixed,0.0404992,M
3,0.1340672,mixed,0.6190592,M
3,1.1094382,mixed,0.2058022,M
3,1.5061852,mixed,0.9496652,F
3,-0.939378,mixed,-0.290107,M
3,-0.265159,mixed,-0.868667,M
3,0.6107292,mixed,1.2802712,F
3,0.7472282,mixed,0.5364082,M
3,-0.492781,mixed,0.2884532,F
3,-0.197611,mixed,0.6190592,M
3,0.9675862,mixed,0.5364082,M
3,2.2031212,mixed,-0.042152,M
4,0.6787592,mixed,0.3711052,F
4,0.4781942,mixed,-0.207455,M
4,0.2613242,mixed,1.8588312,M
4,0.1941492,mixed,0.1231502,F
4,-1.723882,mixed,-1.281924,M
4,-0.419801,mixed,-0.538061,M
4,0.4026692,mixed,-0.372758,F
4,-0.197611,mixed,-0.45541,M
4,0.0735362,mixed,0.8670142,F
4,-1.526653,mixed,-0.868667,M
4,-0.265159,mixed,-0.290107,F
4,-0.85267,mixed,-1.03397,M
4,0.3280722,mixed,1.9414832,M
4,-0.85267,mixed,-0.703364,M
4,0.4026692,mixed,-0.042152,M
4,-0.699505,mixed,-0.207455,M
4,0.6787592,mixed,-0.45541,F
4,2.5323522,mixed,0.8670142,F
4,1.5792202,mixed,0.3711052,M
4,-1.62373,mixed,-2.356393,M
4,-0.338842,mixed,0.2884532,M
4,-0.419801,mixed,-0.124804,F
4,-0.623051,mixed,0.2058022,M
4,1.3101422,mixed,0.6190592,F
4,0.6787592,mixed,0.9496652,F
4,-0.265159,mixed,-0.868667,M
4,-2.291731,mixed,-0.868667,F
4,-0.699505,mixed,-1.199273,M
4,-1.438662,mixed,-1.777833,F
4,-0.129085,mixed,0.6190592,M
4,0.1941492,mixed,-0.042152,M
4,0.5443412,mixed,0.5364082,M
4,0.6787592,mixed,-0.703364,M
4,-0.062088,mixed,0.9496652,M
4,1.1094382,mixed,0.3711052,M
4,-0.699505,mixed,0.7843622,M
4,-0.85267,mixed,0.3711052,F
4,-1.335315,mixed,-1.860484,M
4,-2.291731,mixed,-1.860484,M
4,0.1941492,mixed,-0.538061,F
4,1.4395322,mixed,0.6190592,F
4,0.1340672,mixed,0.0404992,F
4,-0.555112,mixed,0.0404992,F
4,-0.555112,mixed,-0.951318,M
4,0.8965662,mixed,0.1231502,F
4,-0.555112,mixed,-0.207455,M
4,2.0397092,mixed,1.7761802,F
4,0.8219882,mixed,0.0404992,M
4,1.5792202,mixed,-0.538061,F
4,1.0396082,mixed,0.0404992,F
4,2.1029752,mixed,2.2720892,F
4,0.5443412,mixed,1.1976192,M
4,1.9771072,mixed,2.3547402,M
4,0.6787592,mixed,1.5282252,F
4,0.7472282,mixed,0.7017112,M
4,1.5061852,mixed,2.1067862,M
4,2.1029752,mixed,0.8670142,F
4,-0.555112,mixed,-0.703364,M
4,-0.555112,mixed,-0.620713,F
4,-0.062088,mixed,0.8670142,F
4,-1.029067,mixed,0.2058022,M
4,-0.623051,mixed,0.1231502,M
4,-0.492781,mixed,-0.786016,F
4,-0.939378,mixed,-1.777833,F
4,-1.029067,mixed,-0.786016,F
4,0.0735362,mixed,0.6190592,F
4,1.1758492,mixed,1.6935282,M
4,-1.219486,mixed,-0.703364,M
4,-0.623051,mixed,-0.042152,M
4,2.3136012,mixed,0.4537562,F
4,-1.62373,mixed,-0.951318,M
4,-0.555112,mixed,0.0404992,M
4,-0.265159,mixed,0.7843622,F
4,-0.85267,mixed,-0.290107,M
4,0.7472282,mixed,0.7843622,F
4,1.1094382,mixed,1.8588312,F
4,1.9003352,mixed,1.4455742,M
4,-0.062088,mixed,-0.538061,M
4,0.3280722,mixed,0.1231502,M
5,1.0396082,mixed,-0.372758,F
5,1.0396082,mixed,0.2058022,M
5,0.1941492,mixed,0.2884532,F
5,0.1941492,mixed,0.0404992,M
5,0.2613242,mixed,0.9496652,M
5,1.5061852,mixed,0.7017112,F
5,0.3280722,mixed,1.1976192,F
5,-0.129085,mixed,-0.372758,F
5,-1.118624,mixed,-0.372758,F
5,0.1941492,mixed,0.5364082,F
5,0.3280722,mixed,-0.124804,M
5,1.1094382,mixed,1.7761802,M
5,0.7472282,mixed,0.4537562,F
5,-0.062088,mixed,-0.372758,M
5,0.4026692,mixed,-0.207455,M
5,2.1029752,mixed,2.0241342,F
5,0.3280722,mixed,-0.620713,M
5,1.5792202,mixed,-0.207455,M
5,0.6107292,mixed,0.2884532,F
5,0.6787592,mixed,0.6190592,F
5,0.1941492,mixed,0.5364082,M
5,-0.129085,mixed,-1.199273,F
5,1.1758492,mixed,-0.372758,F
5,0.2613242,mixed,0.7017112,M
5,1.4395322,mixed,1.1976192,F
5,0.4781942,mixed,0.1231502,M
5,-1.219486,mixed,-0.703364,F
5,-0.492781,mixed,-0.290107,M
5,1.3101422,mixed,0.4537562,M
5,0.6107292,mixed,0.5364082,M
5,-0.776109,mixed,-0.786016,F
5,-1.219486,mixed,-0.372758,F
5,1.1758492,mixed,0.8670142,M
5,0.4026692,mixed,0.5364082,F
5,-0.419801,mixed,-0.290107,F
6,0.6107292,girls,-0.45541,F
6,1.0396082,girls,0.4537562,F
6,0.8965662,girls,0.5364082,F
6,0.4026692,girls,0.8670142,F
6,0.1941492,girls,1.5282252,F
6,1.9003352,girls,0.8670142,F
6,0.0735362,girls,1.9414832,F
6,1.3101422,girls,1.6108772,F
6,2.0397092,girls,0.8670142,F
6,1.5792202,girls,0.6190592,F
6,1.9003352,girls,0.2058022,F
6,-0.265159,girls,0.2058022,F
6,1.9771072,girls,2.1894372,F
6,0.8219882,girls,0.6190592,F
6,0.7472282,girls,-1.03397,F
6,1.6618062,girls,2.2720892,F
6,2.3136012,girls,0.5364082,F
6,1.3747412,girls,0.5364082,F
6,1.7348992,girls,1.1976192,F
6,0.6787592,girls,0.7843622,F
6,2.2031212,girls,1.8588312,F
6,1.4395322,girls,0.1231502,F
6,0.4026692,girls,0.0404992,F
6,1.0396082,girls,-0.124804,F
6,-0.419801,girls,-0.372758,F
6,0.2613242,girls,-1.03397,F
6,1.2405332,girls,1.2802712,F
6,0.4781942,girls,0.8670142,F
6,1.0396082,girls,-0.951318,F
6,0.8965662,girls,0.8670142,F
6,2.1029752,girls,2.3547402,F
6,0.5443412,girls,-0.372758,F
6,0.9675862,girls,2.1894372,F
6,1.5792202,girls,1.2802712,F
6,2.6267392,girls,2.0241342,F
6,1.2405332,girls,0.3711052,F
6,0.6107292,girls,0.9496652,F
6,1.3747412,girls,0.8670142,F
6,1.2405332,girls,0.2884532,F
6,1.9771072,girls,1.4455742,F
6,0.8219882,girls,0.1231502,F
6,-1.723882,girls,-1.447227,F
6,0.0735362,girls,0.6190592,F
6,1.5792202,girls,1.1976192,F
6,1.5792202,girls,0.9496652,F
6,2.3136012,girls,1.1976192,F
6,0.1941492,girls,0.3711052,F
6,1.7348992,girls,2.2720892,F
6,1.7348992,girls,1.8588312,F
6,0.0043222,girls,-0.372758,F
6,0.9675862,girls,-0.207455,F
6,1.3747412,girls,-0.124804,F
6,1.3101422,girls,2.0241342,F
6,0.5443412,girls,0.2884532,F
6,1.5792202,girls,1.3629222,F
6,-0.699505,girls,0.0404992,F
6,1.2405332,girls,1.6935282,F
6,1.1758492,girls,0.5364082,F
6,0.4026692,girls,0.2058022,F
6,1.7348992,girls,1.1976192,F
6,-0.939378,girls,0.2884532,F
6,0.4026692,girls,0.3711052,F
6,1.3101422,girls,0.6190592,F
6,0.0043222,girls,-0.042152,F
6,1.1094382,girls,-0.290107,F
6,0.8965662,girls,0.0404992,F
6,-0.492781,girls,-0.207455,F
6,0.4781942,girls,-0.620713,F
6,0.8219882,girls,0.8670142,F
6,0.6787592,girls,0.1231502,F
6,1.8138272,girls,1.0323172,F
6,1.5061852,girls,1.1149682,F
6,0.9675862,girls,0.1231502,F
6,0.3280722,girls,-0.372758,F
6,-0.419801,girls,0.4537562,F
6,0.3280722,girls,-0.124804,F
6,0.3280722,girls,1.6108772,F
6,-0.623051,girls,0.5364082,F
6,1.9771072,girls,1.1149682,F
6,1.3101422,girls,0.2884532,F
7,-2.108644,girls,0.2884532,F
7,-0.419801,girls,-2.356393,F
7,0.4781942,girls,-0.703364,F
7,0.2613242,girls,-0.372758,F
7,-1.335315,girls,-1.116621,F
7,0.7472282,girls,0.2058022,F
7,-0.419801,girls,0.1231502,F
7,0.0043222,girls,-0.45541,F
7,0.4781942,girls,0.0404992,F
7,1.5792202,girls,1.0323172,F
7,1.6618062,girls,-1.03397,F
7,0.8965662,girls,-0.124804,F
7,0.9675862,girls,0.0404992,F
7,1.3747412,girls,0.9496652,F
7,0.8219882,girls,-0.207455,F
7,0.3280722,girls,-0.372758,F
7,1.2405332,girls,0.4537562,F
7,0.0043222,girls,0.5364082,F
7,-0.492781,girls,-0.538061,F
7,0.8965662,girls,-0.207455,F
7,0.5443412,girls,-0.290107,F
7,-0.265159,girls,-0.042152,F
7,0.1941492,girls,-0.538061,F
7,1.9771072,girls,1.6935282,F
7,1.3101422,girls,-0.124804,F
7,1.7348992,girls,-0.290107,F
7,0.4781942,girls,-0.703364,F
7,1.1094382,girls,-0.207455,F
7,1.2405332,girls,2.4373912,F
7,0.6787592,girls,1.8588312,F
7,-0.85267,girls,-0.868667,F
7,0.6107292,girls,-0.703364,F
7,-0.555112,girls,-0.042152,F
7,1.4395322,girls,1.9414832,F
7,0.1941492,girls,-0.538061,F
7,0.7472282,girls,-0.207455,F
7,0.8219882,girls,2.2720892,F
7,1.2405332,girls,0.0404992,F
7,0.3280722,girls,0.1231502,F
7,0.8219882,girls,-0.124804,F
7,1.1758492,girls,1.3629222,F
7,0.0735362,girls,-0.45541,F
7,0.8219882,girls,-0.45541,F
7,-0.623051,girls,-0.372758,F
7,1.1758492,girls,-1.281924,F
7,-0.623051,girls,-0.290107,F
7,-0.197611,girls,-0.786016,F
7,0.4781942,girls,-0.207455,F
7,-0.129085,girls,-0.124804,F
7,0.1340672,girls,0.0404992,F
7,0.5443412,girls,0.1231502,F
7,0.4781942,girls,0.6190592,F
7,0.1941492,girls,0.0404992,F
7,1.6618062,girls,-1.695182,F
7,-1.335315,girls,-0.868667,F
7,0.9675862,girls,-0.45541,F
7,0.2613242,girls,0.2884532,F
7,1.1094382,girls,0.7843622,F
7,0.3280722,girls,-0.124804,F
7,0.2613242,girls,-0.951318,F
7,-0.623051,girls,1.1976192,F
7,-1.029067,girls,1.0323172,F
7,0.9675862,girls,1.3629222,F
7,1.0396082,girls,0.6190592,F
7,0.4781942,girls,-0.620713,F
7,0.3280722,girls,-0.786016,F
7,-0.85267,girls,-1.943136,F
7,1.1094382,girls,-0.207455,F
7,-0.062088,girls,-0.45541,F
7,0.8219882,girls,0.2058022,F
7,0.3280722,girls,1.3629222,F
7,-0.419801,girls,-0.786016,F
7,-0.197611,girls,2.0241342,F
7,-0.197611,girls,-0.951318,F
7,-0.939378,girls,0.2884532,F
7,0.9675862,girls,0.3711052,F
7,0.1941492,girls,-0.207455,F
7,-0.338842,girls,-0.703364,F
7,0.3280722,girls,-0.703364,F
7,1.5061852,girls,-0.290107,F
7,0.1941492,girls,0.4537562,F
7,0.0735362,girls,0.2884532,F
7,0.6787592,girls,0.5364082,F
7,1.0396082,girls,-0.372758,F
7,1.5061852,girls,-0.042152,F
7,0.4781942,girls,0.2058022,F
7,-0.776109,girls,-1.03397,F
7,0.3280722,girls,-0.45541,F
8,-0.419801,girls,-0.703364,F
8,0.1340672,girls,1.6108772,F
8,1.3747412,girls,0.9496652,F
8,0.9675862,girls,2.5200432,F
8,-1.029067,girls,-0.290107,F
8,-1.118624,girls,-2.273742,F
8,1.9003352,girls,0.9496652,F
8,0.7472282,girls,1.1976192,F
8,-1.62373,girls,-1.116621,F
8,-1.118624,girls,-0.786016,F
8,2.3136012,girls,1.6108772,F
8,0.7472282,girls,0.0404992,F
8,1.0396082,girls,1.2802712,F
8,-0.85267,girls,0.1231502,F
8,0.0735362,girls,-2.19109,F
8,0.8219882,girls,0.6190592,F
8,-0.555112,girls,-0.951318,F
8,-0.129085,girls,-2.19109,F
8,-0.338842,girls,-1.364576,F
8,-1.335315,girls,-0.042152,F
8,0.7472282,girls,-0.372758,F
8,0.0043222,girls,-1.199273,F
8,-0.129085,girls,1.9414832,F
8,0.0735362,girls,0.9496652,F
8,0.6787592,girls,0.8670142,F
8,0.8219882,girls,-0.620713,F
8,1.1094382,girls,0.2884532,F
8,0.1941492,girls,0.5364082,F
8,-1.438662,girls,-0.45541,F
8,-0.85267,girls,-0.45541,F
8,-0.699505,girls,-0.620713,F
8,-0.85267,girls,-1.03397,F
8,-0.939378,girls,-0.538061,F
8,-0.265159,girls,0.2058022,F
8,0.7472282,girls,-0.042152,F
8,0.3280722,girls,1.0323172,F
8,0.2613242,girls,-0.45541,F
8,-0.419801,girls,0.2884532,F
8,0.5443412,girls,0.0404992,F
8,-0.129085,girls,-0.703364,F
8,0.9675862,girls,0.9496652,F
8,0.0043222,girls,0.7843622,F
8,1.9003352,girls,0.7843622,F
8,-0.265159,girls,-0.703364,F
8,-1.029067,girls,-1.364576,F
8,-1.62373,girls,-1.199273,F
8,0.9675862,girls,0.6190592,F
8,-0.129085,girls,-1.447227,F
8,-0.197611,girls,-0.703364,F
8,0.6107292,girls,-0.042152,F
8,-1.836687,girls,-0.786016,F
8,-0.419801,girls,2.8506492,F
8,-1.029067,girls,-0.620713,F
8,0.5443412,girls,-0.703364,F
8,1.8138272,girls,0.9496652,F
8,0.0043222,girls,0.2884532,F
8,-1.335315,girls,0.6190592,F
8,0.1941492,girls,0.1231502,F
8,-0.776109,girls,-1.281924,F
8,-0.062088,girls,0.2058022,F
8,1.4395322,girls,0.1231502,F
8,0.3280722,girls,-0.372758,F
8,0.1941492,girls,-0.372758,F
8,1.8138272,girls,-0.207455,F
8,2.5323522,girls,2.8506492,F
8,0.3280722,girls,-0.290107,F
8,-0.419801,girls,-0.620713,F
8,-1.962075,girls,0.8670142,F
8,-1.836687,girls,-1.943136,F
8,2.3136012,girls,3.0159522,F
8,-0.776109,girls,-0.868667,F
8,0.4026692,girls,0.2884532,F
8,-0.197611,girls,-0.45541,F
8,-0.129085,girls,-0.207455,F
8,-2.108644,girls,0.3711052,F
8,0.1340672,girls,0.1231502,F
8,1.7348992,girls,2.0241342,F
8,0.0735362,girls,-0.042152,F
8,-0.555112,girls,-0.207455,F
8,0.1941492,girls,0.1231502,F
8,-0.555112,girls,-0.538061,F
8,-1.438662,girls,-2.025787,F
8,-0.492781,girls,1.2802712,F
8,-0.492781,girls,-0.290107,F
8,1.6618062,girls,1.2802712,F
8,-0.555112,girls,-0.538061,F
8,-1.438662,girls,-2.19109,F
8,-0.623051,girls,-1.03397,F
8,-0.939378,girls,1.0323172,F
8,-0.338842,girls,0.0404992,F
8,1.2405332,girls,0.5364082,F
8,0.6107292,girls,0.6190592,F
8,-0.062088,girls,-0.538061,F
8,-2.291731,girls,-2.439045,F
8,0.0735362,girls,-0.620713,F
8,-0.492781,girls,0.0404992,F
8,-0.699505,girls,-0.45541,F
8,-1.836687,girls,-0.868667,F
8,-1.335315,girls,-0.786016,F
8,0.3280722,girls,0.2058022,F
8,0.2613242,girls,0.2058022,F
8,1.3101422,girls,0.7843622,F
9,-1.526653,mixed,0.2058022,M
9,-1.118624,mixed,0.2058022,M
9,-1.335315,mixed,-2.934953,M
9,1.5792202,mixed,-0.703364,M
9,-0.492781,mixed,-1.61253,M
9,-0.555112,mixed,-0.703364,M
9,-0.699505,mixed,-2.19109,F
9,0.4026692,mixed,0.6190592,M
9,-0.939378,mixed,-1.61253,F
9,-0.623051,mixed,-1.777833,M
9,0.8965662,mixed,1.0323172,M
9,0.0735362,mixed,0.2058022,M
9,0.7472282,mixed,0.6190592,F
9,-0.062088,mixed,-0.703364,M
9,-0.623051,mixed,-0.786016,F
9,-0.699505,mixed,0.5364082,M
9,-1.029067,mixed,-0.290107,M
9,-0.555112,mixed,0.9496652,F
9,-0.265159,mixed,-1.777833,F
9,-1.335315,mixed,-1.364576,M
9,0.4781942,mixed,0.1231502,F
9,-0.265159,mixed,-0.124804,M
9,0.5443412,mixed,-0.042152,F
9,-1.62373,mixed,-2.686999,M
9,-2.108644,mixed,-2.934953,M
9,-0.129085,mixed,0.3711052,M
9,0.0735362,mixed,0.8670142,M
9,0.0735362,mixed,0.8670142,M
9,-1.335315,mixed,-0.620713,F
9,-1.118624,mixed,-0.620713,F
9,-1.526653,mixed,-0.45541,M
9,0.4781942,mixed,1.1976192,F
9,-0.197611,mixed,-0.786016,F
9,0.0043222,mixed,0.1231502,F
10,0.4026692,mixed,1.1149682,M
10,-0.338842,mixed,-0.538061,M
10,0.2613242,mixed,-1.447227,F
10,-0.419801,mixed,-0.372758,M
10,0.1340672,mixed,0.7017112,M
10,-0.338842,mixed,-0.372758,M
10,1.5792202,mixed,0.2884532,M
10,0.0735362,mixed,-0.207455,F
10,0.1340672,mixed,0.2884532,F
10,0.0043222,mixed,-0.042152,M
10,0.0043222,mixed,0.5364082,M
10,-0.623051,mixed,1.0323172,M
10,-0.062088,mixed,0.7017112,F
10,-0.419801,mixed,1.1149682,M
10,0.1340672,mixed,-0.042152,M
10,0.0043222,mixed,0.0404992,M
10,-0.419801,mixed,0.2058022,M
10,-0.939378,mixed,0.1231502,M
10,-0.129085,mixed,0.0404992,F
10,-0.265159,mixed,0.1231502,M
10,-0.338842,mixed,0.6190592,F
10,-0.939378,mixed,-0.45541,F
10,0.4026692,mixed,0.5364082,M
10,-0.623051,mixed,1.0323172,F
10,-0.623051,mixed,-0.207455,F
10,-1.118624,mixed,0.6190592,M
10,-0.338842,mixed,-0.786016,M
10,-0.265159,mixed,0.5364082,M
10,-0.776109,mixed,0.0404992,F
10,0.0043222,mixed,1.8588312,M
10,-1.62373,mixed,0.5364082,M
10,-1.029067,mixed,-0.868667,F
10,0.2613242,mixed,-0.290107,F
10,0.0735362,mixed,0.1231502,F
10,-1.029067,mixed,-1.116621,M
10,1.5792202,mixed,2.0241342,F
10,-0.492781,mixed,0.0404992,F
10,-1.526653,mixed,-0.703364,M
10,0.2613242,mixed,0.9496652,F
10,-0.492781,mixed,-0.042152,M
10,-1.219486,mixed,-0.042152,M
10,-0.129085,mixed,1.6108772,M
10,-0.265159,mixed,0.8670142,M
10,0.6787592,mixed,1.3629222,F
10,-1.526653,mixed,0.4537562,M
10,-0.699505,mixed,-0.45541,M
10,-0.062088,mixed,-0.290107,F
10,-0.939378,mixed,-0.951318,M
10,0.0735362,mixed,-0.786016,M
10,0.4781942,mixed,-0.042152,F
11,0.3280722,boys,0.4537562,M
11,0.0043222,boys,-0.620713,M
11,0.5443412,boys,1.1976192,M
11,0.8965662,boys,-0.45541,M
11,1.0396082,boys,-0.372758,M
11,1.6618062,boys,0.2884532,M
11,0.8219882,boys,1.6935282,M
11,2.0397092,boys,1.9414832,M
11,0.4026692,boys,0.6190592,M
11,1.9003352,boys,0.7017112,M
11,1.3101422,boys,1.3629222,M
11,0.0043222,boys,0.1231502,M
11,-1.62373,boys,-1.364576,M
11,0.0735362,boys,1.1149682,M
11,0.0043222,boys,1.9414832,M
11,0.0735362,boys,-0.124804,M
11,2.2031212,boys,1.2802712,M
11,-0.623051,boys,0.0404992,M
11,2.2031212,boys,2.4373912,M
11,0.3280722,boys,0.0404992,M
11,0.6787592,boys,0.1231502,M
11,0.4781942,boys,-0.538061,M
11,1.9003352,boys,0.5364082,M
11,0.5443412,boys,0.6190592,M
11,0.3280722,boys,0.2058022,M
11,0.0043222,boys,0.3711052,M
11,0.1340672,boys,0.5364082,M
11,-1.029067,boys,0.6190592,M
11,1.7348992,boys,1.4455742,M
11,0.1941492,boys,-1.116621,M
11,0.4781942,boys,-0.538061,M
11,0.1941492,boys,1.2802712,M
11,-2.108644,boys,-0.538061,M
11,-0.85267,boys,-0.290107,M
11,1.5061852,boys,2.2720892,M
11,0.1340672,boys,2.8506492,M
11,1.1758492,boys,0.0404992,M
11,0.2613242,boys,-0.951318,M
11,0.8219882,boys,-0.951318,M
11,0.9675862,boys,0.2884532,M
11,0.1941492,boys,0.7843622,M
11,1.3747412,boys,1.1149682,M
11,0.6787592,boys,1.1149682,M
11,1.9003352,boys,2.0241342,M
11,-0.492781,boys,0.2884532,M
11,-0.062088,boys,1.0323172,M
11,0.3280722,boys,0.5364082,M
11,1.3747412,boys,1.3629222,M
11,1.0396082,boys,1.6108772,M
11,0.7472282,boys,1.8588312,M
11,-0.419801,boys,-1.447227,M
11,1.5792202,boys,1.6935282,M
11,0.5443412,boys,0.3711052,M
11,0.3280722,boys,0.3711052,M
11,1.0396082,boys,1.6935282,M
11,0.9675862,boys,2.1067862,M
11,0.1941492,boys,1.2802712,M
11,1.1758492,boys,1.1976192,M
11,-0.85267,boys,-0.124804,M
11,0.4781942,boys,-0.207455,M
11,0.7472282,boys,1.3629222,M
11,0.5443412,boys,0.7843622,M
12,-0.623051,mixed,-0.951318,F
12,0.7472282,mixed,0.6190592,F
12,-1.723882,mixed,-1.116621,M
12,0.0043222,mixed,1.1149682,F
12,0.5443412,mixed,0.7017112,M
12,0.4026692,mixed,0.1231502,F
12,0.5443412,mixed,0.7017112,F
12,-1.118624,mixed,-0.703364,M
