d,r,y,n,p,c,g,a,rel
4,56,1983,7,labour,lower working,male,27,Roman Catholic
4,56,1984,5,labour,upper working,male,27,Roman Catholic
4,56,1985,7,labour,upper working,male,27,Roman Catholic
4,56,1986,7,labour,upper working,male,27,Roman Catholic
4,60,1983,4,conservative,upper working,female,72,Protestant
4,60,1984,3,conservative,middle,female,72,Protestant
4,60,1985,5,conservative,middle,female,72,Protestant
4,60,1986,5,conservative,upper working,female,72,Protestant
5,100,1983,5,labour,lower working,male,66,others
5,100,1984,3,labour,lower working,male,66,others
5,100,1985,3,labour,lower working,male,66,others
5,100,1986,3,labour,lower working,male,66,others
5,104,1983,7,labour,lower working,female,35,Protestant
5,104,1984,7,labour,lower working,female,35,Protestant
5,104,1985,7,labour,lower working,female,35,Protestant
5,104,1986,6,labour,lower working,female,35,Protestant
5,108,1983,1,Lib/SDP/Alliance,lower working,female,54,others
5,108,1984,3,Lib/SDP/Alliance,lower working,female,54,others
5,108,1985,3,Lib/SDP/Alliance,lower working,female,54,others
5,108,1986,3,Lib/SDP/Alliance,lower working,female,54,others
5,116,1983,7,labour,lower working,female,34,none
5,116,1984,6,labour,lower working,female,34,none
5,116,1985,7,labour,lower working,female,34,none
5,116,1986,7,labour,lower working,female,34,none
6,152,1983,1,none,upper working,male,18,Roman Catholic
6,152,1984,3,others,lower working,male,18,Roman Catholic
6,152,1985,5,others,lower working,male,18,Roman Catholic
6,152,1986,3,others,lower working,male,18,Roman Catholic
6,155,1983,4,conservative,lower working,male,28,none
6,155,1984,4,conservative,lower working,male,28,none
6,155,1985,7,conservative,lower working,male,28,none
6,155,1986,5,conservative,lower working,male,28,none
7,211,1983,3,labour,upper working,female,51,others
7,211,1984,3,labour,upper working,female,51,others
7,211,1985,3,Lib/SDP/Alliance,upper working,female,51,others
7,211,1986,3,Lib/SDP/Alliance,lower working,female,51,others
7,212,1983,1,labour,lower working,male,56,others
7,212,1984,3,labour,lower working,male,56,others
7,212,1985,2,others,lower working,male,56,others
7,212,1986,1,others,upper working,male,56,others
7,215,1983,7,labour,lower working,male,36,none
7,215,1984,7,labour,lower working,male,36,none
7,215,1985,7,labour,lower working,male,36,none
7,215,1986,7,labour,lower working,male,36,none
7,216,1983,5,labour,middle,female,27,Roman Catholic
7,216,1984,3,others,upper working,female,27,Roman Catholic
7,216,1985,7,labour,upper working,female,27,Roman Catholic
7,216,1986,6,labour,lower working,female,27,Roman Catholic
7,223,1983,6,conservative,upper working,male,33,others
7,223,1984,3,conservative,upper working,male,33,others
7,223,1985,7,conservative,upper working,male,33,others
7,223,1986,6,conservative,upper working,male,33,others
7,224,1983,7,Lib/SDP/Alliance,lower working,female,24,none
7,224,1984,5,labour,lower working,female,24,none
7,224,1985,3,labour,lower working,female,24,none
7,224,1986,6,labour,lower working,female,24,none
7,238,1983,5,labour,upper working,female,65,others
7,238,1984,5,labour,lower working,female,65,others
7,238,1985,4,labour,upper working,female,65,others
7,238,1986,5,Lib/SDP/Alliance,lower working,female,65,others
8,272,1983,5,labour,lower working,female,19,none
8,272,1984,3,labour,lower working,female,19,none
8,272,1985,3,labour,middle,female,19,none
8,272,1986,3,labour,lower working,female,19,none
8,274,1983,6,conservative,lower working,male,31,none
8,274,1984,5,conservative,lower working,male,31,none
8,274,1985,6,conservative,lower working,male,31,none
8,274,1986,6,conservative,lower working,male,31,none
8,278,1983,3,labour,lower working,female,65,others
8,278,1984,4,labour,lower working,female,65,others
8,278,1985,3,labour,lower working,female,65,others
8,278,1986,3,labour,lower working,female,65,others
8,283,1983,7,labour,middle,male,60,none
8,283,1984,6,labour,lower working,male,60,none
8,283,1985,6,labour,upper working,male,60,none
8,283,1986,5,labour,lower working,male,60,none
8,286,1983,6,conservative,lower working,female,38,none
8,286,1984,4,conservative,lower working,female,38,none
8,286,1985,6,conservative,lower working,female,38,none
8,286,1986,3,conservative,lower working,female,38,none
8,288,1983,3,labour,lower working,male,48,others
8,288,1984,3,labour,lower working,male,48,others
8,288,1985,3,others,lower working,male,48,others
8,288,1986,3,labour,lower working,male,48,others
8,295,1983,5,conservative,upper working,male,35,others
8,295,1984,5,conservative,middle,male,35,others
8,295,1985,4,conservative,middle,male,35,others
8,295,1986,3,conservative,upper working,male,35,others
8,296,1983,0,conservative,middle,male,73,Roman Catholic
8,296,1984,0,conservative,middle,male,73,Roman Catholic
8,296,1985,1,conservative,upper working,male,73,Roman Catholic
8,296,1986,0,conservative,middle,male,73,Roman Catholic
8,298,1983,5,labour,lower working,female,55,none
8,298,1984,4,labour,lower working,female,55,none
8,298,1985,6,labour,lower working,female,55,none
8,298,1986,5,labour,lower working,female,55,none
9,348,1983,6,conservative,lower working,male,31,others
9,348,1984,4,conservative,lower working,male,31,others
9,348,1985,6,conservative,lower working,male,31,others
9,348,1986,7,Lib/SDP/Alliance,lower working,male,31,others
9,359,1983,4,labour,lower working,female,46,others
9,359,1984,4,labour,lower working,female,46,others
9,359,1985,2,labour,lower working,female,46,others
9,359,1986,2,labour,lower working,female,46,others
9,360,1983,3,labour,lower working,male,54,others
9,360,1984,2,labour,middle,male,54,others
9,360,1985,5,labour,lower working,male,54,others
9,360,1986,7,labour,lower working,male,54,others
10,396,1983,4,others,lower working,female,21,none
10,396,1984,3,conservative,lower working,female,21,none
10,396,1985,7,labour,lower working,female,21,none
10,396,1986,4,labour,lower working,female,21,none
10,411,1983,5,labour,lower working,female,23,Roman Catholic
10,411,1984,3,labour,lower working,female,23,Roman Catholic
10,411,1985,3,labour,lower working,female,23,Roman Catholic
10,411,1986,3,labour,lower working,female,23,Roman Catholic
10,412,1983,3,labour,lower working,male,20,Roman Catholic
10,412,1984,4,labour,lower working,male,20,Roman Catholic
10,412,1985,3,labour,lower working,male,20,Roman Catholic
10,412,1986,7,labour,lower working,male,20,Roman Catholic
10,414,1983,3,others,middle,male,25,none
10,414,1984,3,Lib/SDP/Alliance,middle,male,25,none
10,414,1985,3,others,lower working,male,25,none
10,414,1986,2,others,lower working,male,25,none
11,452,1983,3,conservative,middle,female,67,others
11,452,1984,2,conservative,upper working,female,67,others
11,452,1985,2,conservative,lower working,female,67,others
11,452,1986,2,conservative,upper working,female,67,others
11,455,1983,6,Lib/SDP/Alliance,middle,female,73,others
11,455,1984,7,labour,middle,female,73,others
11,455,1985,5,Lib/SDP/Alliance,middle,female,73,others
11,455,1986,5,labour,middle,female,73,others
11,458,1983,5,labour,lower working,female,44,others
11,458,1984,3,labour,lower working,female,44,others
11,458,1985,3,labour,lower working,female,44,others
11,458,1986,3,labour,lower working,female,44,others
11,463,1983,3,labour,middle,male,57,others
11,463,1984,4,labour,upper working,male,57,others
11,463,1985,2,labour,upper working,male,57,others
11,463,1986,3,Lib/SDP/Alliance,upper working,male,57,others
11,466,1983,7,conservative,middle,male,26,others
11,466,1984,7,Lib/SDP/Alliance,middle,male,26,others
11,466,1985,3,conservative,middle,male,26,others
11,466,1986,6,conservative,middle,male,26,others
11,470,1983,7,labour,upper working,male,28,none
11,470,1984,7,labour,middle,male,28,none
11,470,1985,7,labour,middle,male,28,none
11,470,1986,6,labour,middle,male,28,none
11,471,1983,6,conservative,middle,male,35,others
11,471,1984,6,conservative,middle,male,35,others
11,471,1985,7,conservative,middle,male,35,others
11,471,1986,7,conservative,middle,male,35,others
12,522,1983,6,labour,upper working,female,33,none
12,522,1984,3,labour,lower working,female,33,none
12,522,1985,4,labour,lower working,female,33,none
12,522,1986,7,labour,lower working,female,33,none
12,530,1983,4,none,lower working,female,76,others
12,530,1984,2,others,lower working,female,76,others
12,530,1985,4,others,lower working,female,76,others
12,530,1986,4,others,lower working,female,76,others
12,540,1983,4,none,lower working,male,50,Protestant
12,540,1984,3,none,upper working,male,50,Protestant
12,540,1985,7,labour,lower working,male,50,Protestant
12,540,1986,7,others,lower working,male,50,Protestant
13,616,1983,6,labour,upper working,male,34,none
13,616,1984,7,labour,upper working,male,34,none
13,616,1985,7,labour,upper working,male,34,none
13,616,1986,7,labour,upper working,male,34,none
13,618,1983,5,Lib/SDP/Alliance,lower working,female,34,Roman Catholic
13,618,1984,7,labour,lower working,female,34,Roman Catholic
13,618,1985,7,conservative,lower working,female,34,Roman Catholic
13,618,1986,7,Lib/SDP/Alliance,lower working,female,34,Roman Catholic
13,626,1983,6,conservative,lower working,male,38,Protestant
13,626,1984,3,conservative,lower working,male,38,Protestant
13,626,1985,4,conservative,lower working,male,38,Protestant
13,626,1986,6,conservative,lower working,male,38,Protestant
13,628,1983,3,labour,lower working,female,25,Protestant
13,628,1984,2,labour,lower working,female,25,Protestant
13,628,1985,3,labour,lower working,female,25,Protestant
13,628,1986,3,labour,lower working,female,25,Protestant
14,661,1983,5,labour,lower working,male,50,Protestant
14,661,1984,4,labour,lower working,male,50,Protestant
14,661,1985,6,labour,lower working,male,50,Protestant
14,661,1986,5,labour,lower working,male,50,Protestant
14,662,1983,3,labour,upper working,male,19,Roman Catholic
14,662,1984,2,labour,upper working,male,19,Roman Catholic
14,662,1985,3,labour,upper working,male,19,Roman Catholic
14,662,1986,1,labour,lower working,male,19,Roman Catholic
14,669,1983,2,Lib/SDP/Alliance,lower working,female,32,others
14,669,1984,1,labour,upper working,female,32,others
14,669,1985,1,Lib/SDP/Alliance,upper working,female,32,others
14,669,1986,1,Lib/SDP/Alliance,lower working,female,32,others
14,676,1983,4,Lib/SDP/Alliance,lower working,female,42,Protestant
14,676,1984,2,Lib/SDP/Alliance,lower working,female,42,Protestant
14,676,1985,4,labour,lower working,female,42,Protestant
14,676,1986,4,others,lower working,female,42,Protestant
14,677,1983,3,conservative,upper working,male,21,none
14,677,1984,3,conservative,upper working,male,21,none
14,677,1985,2,conservative,upper working,male,21,none
14,677,1986,3,conservative,upper working,male,21,none
14,682,1983,3,conservative,lower working,male,71,Protestant
14,682,1984,3,conservative,lower working,male,71,Protestant
14,682,1985,4,conservative,lower working,male,71,Protestant
14,682,1986,7,conservative,lower working,male,71,Protestant
14,686,1983,7,conservative,middle,male,19,none
14,686,1984,7,conservative,middle,male,19,none
14,686,1985,6,conservative,middle,male,19,none
14,686,1986,6,conservative,middle,male,19,none
14,688,1983,6,Lib/SDP/Alliance,middle,male,49,none
14,688,1984,7,Lib/SDP/Alliance,middle,male,49,none
14,688,1985,6,Lib/SDP/Alliance,middle,male,49,none
14,688,1986,7,Lib/SDP/Alliance,middle,male,49,none
14,689,1983,5,conservative,lower working,female,37,none
14,689,1984,5,labour,lower working,female,37,none
14,689,1985,5,labour,lower working,female,37,none
14,689,1986,4,labour,lower working,female,37,none
15,729,1983,4,labour,lower working,female,45,Protestant
15,729,1984,4,labour,lower working,female,45,Protestant
15,729,1985,7,labour,lower working,female,45,Protestant
15,729,1986,4,labour,lower working,female,45,Protestant
15,732,1983,5,none,upper working,male,23,none
15,732,1984,4,conservative,upper working,male,23,none
15,732,1985,7,conservative,upper working,male,23,none
15,732,1986,5,conservative,upper working,male,23,none
15,736,1983,4,labour,upper working,male,59,none
15,736,1984,3,labour,lower working,male,59,none
15,736,1985,5,labour,lower working,male,59,none
15,736,1986,4,labour,lower working,male,59,none
15,742,1983,5,none,middle,female,23,none
15,742,1984,3,labour,middle,female,23,none
15,742,1985,5,labour,middle,female,23,none
15,742,1986,3,labour,middle,female,23,none
16,781,1983,4,conservative,lower working,male,42,none
16,781,1984,3,conservative,lower working,male,42,none
16,781,1985,3,conservative,lower working,male,42,none
16,781,1986,3,conservative,lower working,male,42,none
16,789,1983,3,Lib/SDP/Alliance,lower working,male,45,none
16,789,1984,3,Lib/SDP/Alliance,lower working,male,45,none
16,789,1985,4,labour,lower working,male,45,none
16,789,1986,5,Lib/SDP/Alliance,lower working,male,45,none
17,850,1983,5,conservative,upper working,male,80,Protestant
17,850,1984,4,conservative,lower working,male,80,Protestant
17,850,1985,0,conservative,middle,male,80,Protestant
17,850,1986,7,conservative,middle,male,80,Protestant
17,857,1983,7,none,lower working,male,49,none
17,857,1984,7,labour,lower working,male,49,none
17,857,1985,7,labour,lower working,male,49,none
17,857,1986,7,labour,lower working,male,49,none
17,869,1983,5,conservative,upper working,female,65,Protestant
17,869,1984,7,conservative,upper working,female,65,Protestant
17,869,1985,4,conservative,upper working,female,65,Protestant
17,869,1986,6,conservative,upper working,female,65,Protestant
18,910,1983,6,labour,lower working,female,61,Protestant
18,910,1984,4,labour,lower working,female,61,Protestant
18,910,1985,7,labour,lower working,female,61,Protestant
18,910,1986,7,labour,lower working,female,61,Protestant
18,916,1983,6,labour,lower working,male,30,none
18,916,1984,7,labour,lower working,male,30,none
18,916,1985,4,labour,lower working,male,30,none
18,916,1986,6,conservative,lower working,male,30,none
18,922,1983,4,labour,upper working,female,37,others
18,922,1984,3,labour,lower working,female,37,others
18,922,1985,3,labour,lower working,female,37,others
18,922,1986,3,labour,lower working,female,37,others
18,929,1983,2,labour,lower working,male,55,Roman Catholic
18,929,1984,3,labour,lower working,male,55,Roman Catholic
18,929,1985,3,labour,lower working,male,55,Roman Catholic
18,929,1986,3,labour,lower working,male,55,Roman Catholic
19,1024,1983,7,labour,upper working,female,29,others
19,1024,1984,7,labour,upper working,female,29,others
19,1024,1985,7,labour,middle,female,29,others
19,1024,1986,7,labour,middle,female,29,others
19,1029,1983,6,conservative,lower working,female,67,Protestant
19,1029,1984,3,conservative,lower working,female,67,Protestant
19,1029,1985,4,conservative,lower working,female,67,Protestant
19,1029,1986,7,conservative,lower working,female,67,Protestant
19,1034,1983,7,conservative,lower working,female,43,Protestant
19,1034,1984,7,conservative,upper working,female,43,Protestant
19,1034,1985,7,conservative,lower working,female,43,Protestant
19,1034,1986,7,conservative,lower working,female,43,Protestant
19,1036,1983,7,Lib/SDP/Alliance,upper working,female,50,Protestant
19,1036,1984,7,labour,upper working,female,50,Protestant
19,1036,1985,7,labour,upper working,female,50,Protestant
19,1036,1986,7,labour,upper working,female,50,Protestant
19,1040,1983,7,conservative,lower working,male,60,none
19,1040,1984,7,conservative,lower working,male,60,none
19,1040,1985,7,conservative,lower working,male,60,none
19,1040,1986,7,conservative,lower working,male,60,none
19,1041,1983,3,conservative,middle,female,60,Protestant
19,1041,1984,4,conservative,middle,female,60,Protestant
19,1041,1985,3,conservative,middle,female,60,Protestant
19,1041,1986,3,conservative,middle,female,60,Protestant
19,1046,1983,6,Lib/SDP/Alliance,middle,female,23,others
19,1046,1984,3,Lib/SDP/Alliance,middle,female,23,others
19,1046,1985,7,Lib/SDP/Alliance,middle,female,23,others
19,1046,1986,6,Lib/SDP/Alliance,lower working,female,23,others
19,1050,1983,5,labour,lower working,female,48,none
19,1050,1984,4,Lib/SDP/Alliance,lower working,female,48,none
19,1050,1985,5,Lib/SDP/Alliance,lower working,female,48,none
19,1050,1986,4,labour,lower working,female,48,none
20,1082,1983,2,Lib/SDP/Alliance,upper working,female,57,Roman Catholic
20,1082,1984,1,Lib/SDP/Alliance,upper working,female,57,Roman Catholic
20,1082,1985,1,labour,upper working,female,57,Roman Catholic
20,1082,1986,2,labour,upper working,female,57,Roman Catholic
20,1090,1983,5,labour,lower working,female,45,none
20,1090,1984,3,labour,lower working,female,45,none
20,1090,1985,4,labour,lower working,female,45,none
20,1090,1986,3,labour,lower working,female,45,none
20,1093,1983,7,Lib/SDP/Alliance,upper working,female,45,none
20,1093,1984,6,others,lower working,female,45,none
20,1093,1985,6,Lib/SDP/Alliance,lower working,female,45,none
20,1093,1986,7,Lib/SDP/Alliance,lower working,female,45,none
20,1096,1983,7,labour,middle,female,26,none
20,1096,1984,6,labour,middle,female,26,none
20,1096,1985,7,labour,middle,female,26,none
20,1096,1986,7,Lib/SDP/Alliance,middle,female,26,none
20,1097,1983,7,Lib/SDP/Alliance,upper working,female,56,none
20,1097,1984,7,Lib/SDP/Alliance,middle,female,56,none
20,1097,1985,7,Lib/SDP/Alliance,lower working,female,56,none
20,1097,1986,7,others,lower working,female,56,none
20,1100,1983,4,labour,lower working,male,31,none
20,1100,1984,3,labour,lower working,male,31,none
20,1100,1985,5,labour,lower working,male,31,none
20,1100,1986,4,labour,lower working,male,31,none
20,1102,1983,4,labour,upper working,female,64,Protestant
20,1102,1984,6,labour,lower working,female,64,Protestant
20,1102,1985,2,Lib/SDP/Alliance,lower working,female,64,Protestant
20,1102,1986,5,Lib/SDP/Alliance,upper working,female,64,Protestant
20,1105,1983,7,labour,lower working,male,67,none
20,1105,1984,5,labour,lower working,male,67,none
20,1105,1985,7,labour,lower working,male,67,none
20,1105,1986,7,labour,lower working,male,67,none
20,1106,1983,4,labour,lower working,female,47,Protestant
20,1106,1984,3,labour,upper working,female,47,Protestant
20,1106,1985,3,labour,lower working,female,47,Protestant
20,1106,1986,3,labour,lower working,female,47,Protestant
21,1144,1983,2,labour,lower working,male,37,Protestant
21,1144,1984,3,labour,lower working,male,37,Protestant
21,1144,1985,5,labour,lower working,male,37,Protestant
21,1144,1986,7,labour,lower working,male,37,Protestant
21,1153,1983,7,conservative,lower working,female,38,Protestant
21,1153,1984,5,conservative,lower working,female,38,Protestant
21,1153,1985,7,conservative,lower working,female,38,Protestant
21,1153,1986,7,conservative,lower working,female,38,Protestant
21,1154,1983,7,conservative,upper working,female,33,Protestant
21,1154,1984,7,conservative,upper working,female,33,Protestant
21,1154,1985,7,conservative,upper working,female,33,Protestant
21,1154,1986,7,conservative,middle,female,33,Protestant
22,1204,1983,6,Lib/SDP/Alliance,lower working,female,32,Protestant
22,1204,1984,5,Lib/SDP/Alliance,upper working,female,32,Protestant
22,1204,1985,6,Lib/SDP/Alliance,upper working,female,32,Protestant
22,1204,1986,6,Lib/SDP/Alliance,lower working,female,32,Protestant
22,1208,1983,3,Lib/SDP/Alliance,lower working,female,55,Protestant
22,1208,1984,3,Lib/SDP/Alliance,lower working,female,55,Protestant
22,1208,1985,3,Lib/SDP/Alliance,lower working,female,55,Protestant
22,1208,1986,7,Lib/SDP/Alliance,lower working,female,55,Protestant
22,1216,1983,5,conservative,lower working,female,80,Protestant
22,1216,1984,5,conservative,lower working,female,80,Protestant
22,1216,1985,7,conservative,lower working,female,80,Protestant
22,1216,1986,7,conservative,middle,female,80,Protestant
22,1225,1983,7,Lib/SDP/Alliance,lower working,female,62,others
22,1225,1984,7,Lib/SDP/Alliance,lower working,female,62,others
22,1225,1985,6,Lib/SDP/Alliance,lower working,female,62,others
22,1225,1986,6,Lib/SDP/Alliance,lower working,female,62,others
22,1228,1983,7,labour,middle,female,42,Protestant
22,1228,1984,7,labour,middle,female,42,Protestant
22,1228,1985,7,labour,middle,female,42,Protestant
22,1228,1986,7,labour,middle,female,42,Protestant
23,1278,1983,3,labour,upper working,female,25,Protestant
23,1278,1984,3,labour,lower working,female,25,Protestant
23,1278,1985,5,labour,lower working,female,25,Protestant
23,1278,1986,6,Lib/SDP/Alliance,lower working,female,25,Protestant
24,1324,1983,1,none,lower working,female,30,Protestant
24,1324,1984,1,labour,lower working,female,30,Protestant
24,1324,1985,5,conservative,lower working,female,30,Protestant
24,1324,1986,3,none,lower working,female,30,Protestant
24,1326,1983,7,labour,lower working,female,60,Protestant
24,1326,1984,3,labour,lower working,female,60,Protestant
24,1326,1985,4,labour,lower working,female,60,Protestant
24,1326,1986,5,labour,lower working,female,60,Protestant
24,1337,1983,6,none,lower working,male,37,none
24,1337,1984,5,labour,lower working,male,37,none
24,1337,1985,0,labour,lower working,male,37,none
24,1337,1986,5,Lib/SDP/Alliance,lower working,male,37,none
24,1348,1983,6,labour,upper working,female,79,others
24,1348,1984,4,labour,middle,female,79,others
24,1348,1985,4,labour,middle,female,79,others
24,1348,1986,5,labour,upper working,female,79,others
25,1382,1983,3,conservative,middle,male,65,Protestant
25,1382,1984,3,conservative,middle,male,65,Protestant
25,1382,1985,3,conservative,middle,male,65,Protestant
25,1382,1986,3,conservative,middle,male,65,Protestant
25,1388,1983,4,conservative,middle,female,63,Protestant
25,1388,1984,3,conservative,middle,female,63,Protestant
25,1388,1985,5,conservative,middle,female,63,Protestant
25,1388,1986,6,conservative,middle,female,63,Protestant
25,1393,1983,4,Lib/SDP/Alliance,middle,female,30,Protestant
25,1393,1984,3,Lib/SDP/Alliance,middle,female,30,Protestant
25,1393,1985,4,Lib/SDP/Alliance,middle,female,30,Protestant
25,1393,1986,6,Lib/SDP/Alliance,middle,female,30,Protestant
25,1394,1983,7,conservative,upper working,male,35,Protestant
25,1394,1984,7,conservative,upper working,male,35,Protestant
25,1394,1985,7,conservative,upper working,male,35,Protestant
25,1394,1986,7,conservative,upper working,male,35,Protestant
26,1450,1983,5,conservative,upper working,female,38,Protestant
26,1450,1984,5,conservative,upper working,female,38,Protestant
26,1450,1985,5,conservative,upper working,female,38,Protestant
26,1450,1986,7,conservative,upper working,female,38,Protestant
26,1453,1983,7,conservative,lower working,female,53,Protestant
26,1453,1984,7,conservative,lower working,female,53,Protestant
26,1453,1985,7,conservative,lower working,female,53,Protestant
26,1453,1986,7,Lib/SDP/Alliance,lower working,female,53,Protestant
26,1460,1983,3,labour,upper working,male,39,none
26,1460,1984,3,labour,upper working,male,39,none
26,1460,1985,3,labour,upper working,male,39,none
26,1460,1986,3,labour,lower working,male,39,none
26,1462,1983,3,conservative,lower working,female,46,Protestant
26,1462,1984,3,Lib/SDP/Alliance,lower working,female,46,Protestant
26,1462,1985,3,conservative,lower working,female,46,Protestant
26,1462,1986,2,Lib/SDP/Alliance,lower working,female,46,Protestant
27,548,1983,6,labour,lower working,male,47,others
27,548,1984,3,labour,lower working,male,47,others
27,548,1985,6,labour,lower working,male,47,others
27,548,1986,7,labour,lower working,male,47,others
28,3061,1983,5,labour,lower working,female,29,none
28,3061,1984,3,Lib/SDP/Alliance,lower working,female,29,none
28,3061,1985,3,labour,lower working,female,29,none
28,3061,1986,3,labour,lower working,female,29,none
28,3065,1983,5,conservative,upper working,male,53,Protestant
28,3065,1984,5,conservative,lower working,male,53,Protestant
28,3065,1985,7,conservative,upper working,male,53,Protestant
28,3065,1986,7,conservative,upper working,male,53,Protestant
28,3077,1983,3,conservative,lower working,female,58,Protestant
28,3077,1984,3,conservative,lower working,female,58,Protestant
28,3077,1985,3,conservative,lower working,female,58,Protestant
28,3077,1986,3,conservative,lower working,female,58,Protestant
28,3078,1983,4,none,lower working,female,38,none
28,3078,1984,4,others,upper working,female,38,none
28,3078,1985,5,others,lower working,female,38,none
28,3078,1986,7,others,lower working,female,38,none
28,3080,1983,3,conservative,middle,female,27,none
28,3080,1984,3,conservative,middle,female,27,none
28,3080,1985,3,conservative,upper working,female,27,none
28,3080,1986,3,conservative,upper working,female,27,none
28,3081,1983,7,labour,upper working,male,18,none
28,3081,1984,2,labour,lower working,male,18,none
28,3081,1985,5,labour,middle,male,18,none
28,3081,1986,4,Lib/SDP/Alliance,upper working,male,18,none
28,3088,1983,6,Lib/SDP/Alliance,lower working,female,36,Roman Catholic
28,3088,1984,4,Lib/SDP/Alliance,upper working,female,36,Roman Catholic
28,3088,1985,7,Lib/SDP/Alliance,upper working,female,36,Roman Catholic
28,3088,1986,6,Lib/SDP/Alliance,lower working,female,36,Roman Catholic
28,3090,1983,7,conservative,upper working,female,34,none
28,3090,1984,7,conservative,upper working,female,34,none
28,3090,1985,7,conservative,upper working,female,34,none
28,3090,1986,7,conservative,upper working,female,34,none
29,1534,1983,3,conservative,lower working,male,38,none
29,1534,1984,6,labour,lower working,male,38,none
29,1534,1985,7,others,lower working,male,38,none
29,1534,1986,7,others,upper working,male,38,none
29,1547,1983,5,labour,lower working,female,25,Protestant
29,1547,1984,3,labour,lower working,female,25,Protestant
29,1547,1985,5,labour,lower working,female,25,Protestant
29,1547,1986,5,conservative,lower working,female,25,Protestant
29,1560,1983,7,labour,lower working,male,42,Protestant
29,1560,1984,5,labour,lower working,male,42,Protestant
29,1560,1985,7,labour,lower working,male,42,Protestant
29,1560,1986,7,labour,lower working,male,42,Protestant
30,1591,1983,4,labour,lower working,female,21,none
30,1591,1984,3,labour,lower working,female,21,none
30,1591,1985,2,labour,lower working,female,21,none
30,1591,1986,2,labour,lower working,female,21,none
30,1594,1983,7,Lib/SDP/Alliance,upper working,female,38,none
30,1594,1984,7,Lib/SDP/Alliance,middle,female,38,none
30,1594,1985,7,Lib/SDP/Alliance,middle,female,38,none
30,1594,1986,7,Lib/SDP/Alliance,middle,female,38,none
30,1600,1983,7,conservative,lower working,male,36,Protestant
30,1600,1984,4,conservative,upper working,male,36,Protestant
30,1600,1985,5,conservative,upper working,male,36,Protestant
30,1600,1986,5,conservative,upper working,male,36,Protestant
30,1602,1983,7,conservative,lower working,male,33,none
30,1602,1984,6,conservative,lower working,male,33,none
30,1602,1985,7,conservative,upper working,male,33,none
30,1602,1986,7,conservative,lower working,male,33,none
30,1607,1983,7,labour,lower working,male,22,none
30,1607,1984,3,labour,lower working,male,22,none
30,1607,1985,3,labour,upper working,male,22,none
