rep,A,B,Y,G
6,C,175,24,6:C
6,C,185,33,6:C
6,C,195,30,6:C
6,C,205,30,6:C
6,C,215,37,6:C
6,C,225,35,6:C
7,A,175,26,7:A
7,A,185,23,7:A
7,A,195,25,7:A
7,A,205,27,7:A
7,A,215,33,7:A
7,A,225,35,7:A
7,B,175,22,7:B
7,B,185,25,7:B
7,B,195,26,7:B
7,B,205,26,7:B
7,B,215,29,7:B
7,B,225,36,7:B
7,C,175,20,7:C
7,C,185,21,7:C
7,C,195,31,7:C
7,C,205,24,7:C
7,C,215,30,7:C
7,C,225,33,7:C
8,A,175,24,8:A
8,A,185,33,8:A
8,A,195,23,8:A
8,A,205,32,8:A
8,A,215,31,8:A
8,A,225,34,8:A
8,B,175,26,8:B
8,B,185,23,8:B
8,B,195,24,8:B
8,B,205,31,8:B
8,B,215,27,8:B
8,B,225,37,8:B
8,C,175,24,8:C
8,C,185,23,8:C
8,C,195,21,8:C
8,C,205,24,8:C
8,C,215,21,8:C
8,C,225,35,8:C
9,A,175,24,9:A
9,A,185,27,9:A
9,A,195,28,9:A
9,A,205,33,9:A
9,A,215,34,9:A
9,A,225,23,9:A
9,B,175,27,9:B
9,B,185,26,9:B
9,B,195,32,9:B
9,B,205,28,9:B
9,B,215,32,9:B
9,B,225,33,9:B
9,C,175,24,9:C
9,C,185,18,9:C
9,C,195,21,9:C
9,C,205,26,9:C
9,C,215,28,9:C
9,C,225,28,9:C
10,A,175,24,10:A
10,A,185,33,10:A
10,A,195,27,10:A
10,A,205,31,10:A
10,A,215,30,10:A
10,A,225,33,10:A
10,B,175,21,10:B
10,B,185,24,10:B
10,B,195,24,10:B
10,B,205,27,10:B
10,B,215,37,10:B
10,B,225,30,10:B
10,C,175,26,10:C
10,C,185,28,10:C
10,C,195,27,10:C
10,C,205,27,10:C
10,C,215,35,10:C
10,C,225,35,10:C
11,A,175,33,11:A
11,A,185,39,11:A
11,A,195,33,11:A
11,A,205,28,11:A
11,A,215,33,11:A
11,A,225,30,11:A
11,B,175,20,11:B
11,B,185,27,11:B
11,B,195,33,11:B
11,B,205,31,11:B
11,B,215,28,11:B
11,B,225,33,11:B
11,C,175,28,11:C
11,C,185,25,11:C
11,C,195,26,11:C
11,C,205,25,11:C
11,C,215,38,11:C
11,C,225,28,11:C
12,A,175,28,12:A
12,A,185,31,12:A
12,A,195,27,12:A
12,A,205,39,12:A
12,A,215,35,12:A
12,A,225,43,12:A
12,B,175,23,12:B
12,B,185,28,12:B
12,B,195,31,12:B
12,B,205,34,12:B
12,B,215,31,12:B
12,B,225,29,12:B
12,C,175,24,12:C
12,C,185,30,12:C
12,C,195,28,12:C
12,C,205,35,12:C
12,C,215,33,12:C
12,C,225,28,12:C
13,A,175,29,13:A
13,A,185,28,13:A
13,A,195,31,13:A
13,A,205,29,13:A
13,A,215,37,13:A
13,A,225,33,13:A
13,B,175,32,13:B
13,B,185,35,13:B
13,B,195,30,13:B
13,B,205,27,13:B
13,B,215,35,13:B
13,B,225,30,13:B
13,C,175,28,13:C
13,C,185,29,13:C
13,C,195,43,13:C
13,C,205,28,13:C
13,C,215,33,13:C
13,C,225,37,13:C
14,A,175,24,14:A
14,A,185,40,14:A
14,A,195,29,14:A
14,A,205,40,14:A
14,A,215,40,14:A
14,A,225,31,14:A
14,B,175,23,14:B
14,B,185,25,14:B
14,B,195,22,14:B
14,B,205,19,14:B
14,B,215,21,14:B
14,B,225,35,14:B
14,C,175,19,14:C
14,C,185,22,14:C
14,C,195,27,14:C
14,C,205,25,14:C
14,C,215,25,14:C
14,C,225,35,14:C
15,A,175,26,15:A
15,A,185,28,15:A
15,A,195,32,15:A
15,A,205,25,15:A
15,A,215,37,15:A
15,A,225,33,15:A
15,B,175,21,15:B
15,B,185,21,15:B
15,B,195,28,15:B
15,B,205,26,15:B
15,B,215,27,15:B
15,B,225,20,15:B
15,C,175,21,15:C
15,C,185,28,15:C
15,C,195,25,15:C
15,C,205,25,15:C
15,C,215,31,15:C
15,C,225,25,15:C
