G,H,Y,U,V,W
24,1,-0.18,-1,-1.0,1.0
24,9,0.0,1,1.0,1.0
24,2,0.22,-1,-1.0,1.0
24,7,0.0,-1,1.0,-1.0
24,11,0.0,1,-1.0,-1.0
24,3,0.0,-1,-1.0,1.0
24,12,0.0,1,1.0,1.0
24,8,0.0,-1,1.0,-1.0
24,5,0.0,1,-1.0,-1.0
25,8,-0.57,1,-1.0,-1.0
25,11,0.0,-1,1.0,-1.0
25,12,0.0,-1,-1.0,1.0
25,6,0.0,1,-1.0,-1.0
25,10,0.0,-1,-1.0,1.0
25,1,0.0,1,1.0,1.0
25,9,0.0,-1,-1.0,1.0
25,4,0.0,-1,1.0,-1.0
25,7,0.0,1,-1.0,-1.0
25,3,0.0,1,1.0,1.0
25,2,0.0,1,1.0,1.0
25,5,0.0,-1,1.0,-1.0
26,6,0.0,-1,-1.0,1.0
26,7,0.0,-1,-1.0,1.0
26,1,0.0,-1,1.0,-1.0
26,5,0.0,1,1.0,1.0
26,8,0.0,-1,-1.0,1.0
26,2,0.0,-1,1.0,-1.0
26,9,-0.03,1,-1.0,-1.0
26,11,0.0,1,1.0,1.0
26,3,0.0,-1,1.0,-1.0
26,10,0.33999999999999997,1,-1.0,-1.0
26,12,0.0,1,-1.0,-1.0
26,4,0.0,1,1.0,1.0
27,11,0.05,-1,-1.0,1.0
27,12,-0.010000000000000002,-1,1.0,-1.0
27,4,-0.03,-1,-1.0,1.0
27,1,0.05,1,-1.0,-1.0
27,9,-0.07,-1,1.0,-1.0
27,6,0.13999999999999999,1,1.0,1.0
27,3,0.0,1,-1.0,-1.0
27,2,0.0,1,-1.0,-1.0
27,8,0.0,1,1.0,1.0
27,10,-0.38,-1,1.0,-1.0
27,7,0.04,1,1.0,1.0
27,5,-0.02,-1,-1.0,1.0
28,9,-0.96,1,1.0,1.0
28,3,-1.0,-1,-1.0,1.0
28,2,0.0,-1,-1.0,1.0
28,7,1.0,-1,1.0,-1.0
28,4,0.0,1,-1.0,-1.0
28,5,-0.08,1,-1.0,-1.0
28,6,-0.01,-1,1.0,-1.0
28,11,0.06,1,-1.0,-1.0
28,8,1.0,-1,1.0,-1.0
28,10,0.09,1,1.0,1.0
28,12,-0.68,1,1.0,1.0
28,1,-0.38000000000000006,-1,-1.0,1.0
29,8,0.0,1,-1.0,-1.0
29,3,0.0,1,1.0,1.0
29,4,0.0,-1,1.0,-1.0
29,1,0.0,1,1.0,1.0
29,2,0.0,1,1.0,1.0
29,9,0.0,-1,-1.0,1.0
29,11,1.0,-1,1.0,-1.0
29,12,0.0,-1,-1.0,1.0
29,10,0.0,-1,-1.0,1.0
29,6,0.0,1,-1.0,-1.0
29,5,0.0,-1,1.0,-1.0
29,7,0.0,1,-1.0,-1.0
30,5,0.0,1,1.0,1.0
30,8,0.0,-1,-1.0,1.0
30,4,0.0,1,1.0,1.0
30,2,0.0,-1,1.0,-1.0
30,12,0.0,1,-1.0,-1.0
30,10,0.0,1,-1.0,-1.0
30,3,0.0,-1,1.0,-1.0
30,11,0.0,1,1.0,1.0
30,1,0.0,-1,1.0,-1.0
30,9,0.01999999999999999,1,-1.0,-1.0
30,6,0.0,-1,-1.0,1.0
30,7,0.0,-1,-1.0,1.0
31,6,0.05,1,1.0,1.0
31,9,-0.039999999999999994,-1,1.0,-1.0
31,5,0.0,-1,-1.0,1.0
31,2,0.06,1,-1.0,-1.0
31,1,0.17,1,-1.0,-1.0
31,10,0.45,-1,1.0,-1.0
31,3,0.0,1,-1.0,-1.0
31,7,0.0,1,1.0,1.0
31,11,0.0,-1,-1.0,1.0
31,12,0.0,-1,1.0,-1.0
31,8,0.11,1,1.0,1.0
31,4,0.0,-1,-1.0,1.0
32,9,0.0,1,1.0,1.0
32,12,0.01,1,1.0,1.0
32,5,0.0,1,-1.0,-1.0
32,4,0.0,1,-1.0,-1.0
32,3,0.0,-1,-1.0,1.0
32,8,-1.42,-1,1.0,-1.0
32,1,0.0,-1,-1.0,1.0
32,11,0.0,1,-1.0,-1.0
32,7,0.0,-1,1.0,-1.0
32,6,0.3,-1,1.0,-1.0
32,2,-0.01,-1,-1.0,1.0
32,10,0.0,1,1.0,1.0
33,6,0.07,1,-1.0,-1.0
33,8,0.29,1,-1.0,-1.0
33,4,-0.29000000000000004,-1,1.0,-1.0
33,7,-0.08,1,-1.0,-1.0
33,5,-0.09,-1,1.0,-1.0
33,12,0.01,-1,-1.0,1.0
33,10,0.11,-1,-1.0,1.0
33,2,0.0,1,1.0,1.0
33,3,-0.009999999999999995,1,1.0,1.0
33,9,0.12000000000000001,-1,-1.0,1.0
33,1,0.0,1,1.0,1.0
33,11,0.01,-1,1.0,-1.0
34,11,0.009999999999999995,1,1.0,1.0
34,3,-0.31,-1,1.0,-1.0
34,12,-0.08,1,-1.0,-1.0
34,2,-0.01,-1,1.0,-1.0
34,7,-0.060000000000000005,-1,-1.0,1.0
34,8,0.02,-1,-1.0,1.0
34,5,-0.05,1,1.0,1.0
34,6,0.0,-1,-1.0,1.0
34,10,0.0,1,-1.0,-1.0
34,9,-0.2,1,-1.0,-1.0
34,1,0.0,-1,1.0,-1.0
34,4,0.0,1,1.0,1.0
35,1,0.0,1,-1.0,-1.0
35,12,0.09,-1,1.0,-1.0
35,5,0.19,-1,-1.0,1.0
35,11,0.18,-1,-1.0,1.0
35,8,0.15000000000000002,1,1.0,1.0
35,7,0.1,1,1.0,1.0
35,4,-0.09,-1,-1.0,1.0
35,2,-0.049999999999999996,1,-1.0,-1.0
35,3,-0.030000000000000002,1,-1.0,-1.0
35,9,-0.9,-1,1.0,-1.0
35,6,0.01,1,1.0,1.0
35,10,-0.56,-1,1.0,-1.0
36,6,0.0,-1,1.0,-1.0
36,2,0.08,-1,-1.0,1.0
36,7,0.0,-1,1.0,-1.0
36,8,0.0,-1,1.0,-1.0
36,12,0.0,1,1.0,1.0
36,10,-0.04,1,1.0,1.0
36,4,0.010000000000000002,1,-1.0,-1.0
36,5,-0.010000000000000009,1,-1.0,-1.0
36,1,-0.07999999999999999,-1,-1.0,1.0
36,9,0.12000000000000001,1,1.0,1.0
36,11,0.0,1,-1.0,-1.0
36,3,0.0,-1,-1.0,1.0
37,6,0.0,1,-1.0,-1.0
37,2,0.0,1,1.0,1.0
37,12,0.84,-1,-1.0,1.0
37,5,1.0,-1,1.0,-1.0
37,8,0.48,1,-1.0,-1.0
37,9,1.0,-1,-1.0,1.0
37,11,1.0,-1,1.0,-1.0
37,7,0.0,1,-1.0,-1.0
37,4,1.0,-1,1.0,-1.0
37,3,0.009999999999999998,1,1.0,1.0
37,10,0.0,-1,-1.0,1.0
37,1,0.0,1,1.0,1.0
38,8,-0.3,-1,-1.0,1.0
38,11,-0.01,1,1.0,1.0
38,12,0.0,1,-1.0,-1.0
38,10,0.0,1,-1.0,-1.0
38,7,-0.01,-1,-1.0,1.0
38,4,0.0,1,1.0,1.0
38,5,0.03,1,1.0,1.0
38,3,-0.01,-1,1.0,-1.0
38,2,0.0,-1,1.0,-1.0
38,9,0.0,1,-1.0,-1.0
38,1,0.0,-1,1.0,-1.0
38,6,-0.01,-1,-1.0,1.0
39,4,0.0,-1,-1.0,1.0
39,6,0.01,1,1.0,1.0
39,7,-0.01,1,1.0,1.0
39,9,0.01,-1,1.0,-1.0
39,12,0.010000000000000002,-1,1.0,-1.0
39,11,-0.010000000000000002,-1,-1.0,1.0
39,2,0.41000000000000003,1,-1.0,-1.0
39,3,0.0,1,-1.0,-1.0
39,5,0.0,-1,-1.0,1.0
39,10,0.02,-1,1.0,-1.0
39,8,0.0,1,1.0,1.0
39,1,0.0,1,-1.0,-1.0
40,5,0.53,1,-1.0,-1.0
40,6,0.0,-1,1.0,-1.0
40,7,0.0,-1,1.0,-1.0
40,9,0.0,1,1.0,1.0
40,10,0.11,1,1.0,1.0
40,12,0.0,1,1.0,1.0
40,3,0.0,-1,-1.0,1.0
40,2,0.0,-1,-1.0,1.0
40,4,0.0,1,-1.0,-1.0
40,1,0.020000000000000004,-1,-1.0,1.0
40,11,0.06,1,-1.0,-1.0
40,8,0.0,-1,1.0,-1.0
41,10,0.0,-1,-1.0,1.0
41,5,0.0,-1,1.0,-1.0
41,8,0.0,1,-1.0,-1.0
41,2,0.52,1,1.0,1.0
41,12,0.05,-1,-1.0,1.0
41,11,-0.05,-1,1.0,-1.0
41,7,-0.02,1,-1.0,-1.0
41,3,-0.010000000000000009,1,1.0,1.0
41,4,0.009999999999999998,-1,1.0,-1.0
41,9,-0.06,-1,-1.0,1.0
41,1,0.0,1,1.0,1.0
41,6,0.0,1,-1.0,-1.0
42,6,-0.26,-1,-1.0,1.0
42,1,0.0,-1,1.0,-1.0
42,9,0.22000000000000003,1,-1.0,-1.0
42,12,0.0,1,-1.0,-1.0
42,7,0.0,-1,-1.0,1.0
42,3,-1.11,-1,1.0,-1.0
42,10,-0.21000000000000002,1,-1.0,-1.0
42,4,0.33999999999999997,1,1.0,1.0
42,8,-0.23,-1,-1.0,1.0
42,5,0.0,1,1.0,1.0
42,11,-0.09,1,1.0,1.0
42,2,0.0,-1,1.0,-1.0
43,11,0.010000000000000009,-1,-1.0,1.0
43,12,0.01,-1,1.0,-1.0
43,6,0.0,1,1.0,1.0
43,3,0.0,1,-1.0,-1.0
43,8,0.0,1,1.0,1.0
43,1,0.0,1,-1.0,-1.0
43,10,0.0,-1,1.0,-1.0
43,7,-0.6799999999999999,1,1.0,1.0
43,5,0.02999999999999997,-1,-1.0,1.0
43,4,-0.009999999999999998,-1,-1.0,1.0
43,9,0.0,-1,1.0,-1.0
43,2,0.0,1,-1.0,-1.0
44,6,1.02,-1,1.0,-1.0
44,11,0.009999999999999998,1,-1.0,-1.0
44,2,0.25,-1,-1.0,1.0
44,7,1.0,-1,1.0,-1.0
44,10,0.0,1,1.0,1.0
44,12,2.0,1,1.0,1.0
44,1,2.0,-1,-1.0,1.0
44,5,-0.79,1,-1.0,-1.0
44,8,2.0,-1,1.0,-1.0
44,9,0.0,1,1.0,1.0
44,4,0.0,1,-1.0,-1.0
44,3,0.18000000000000005,-1,-1.0,1.0
45,2,-0.6399999999999999,1,1.0,1.0
45,6,-0.76,1,-1.0,-1.0
45,12,0.85,-1,-1.0,1.0
45,3,-0.24,1,1.0,1.0
45,1,0.0,1,1.0,1.0
45,8,0.0,1,-1.0,-1.0
45,7,0.04,1,-1.0,-1.0
45,10,0.0,-1,-1.0,1.0
45,9,-0.10999999999999999,-1,-1.0,1.0
45,11,0.9299999999999999,-1,1.0,-1.0
45,5,-0.77,-1,1.0,-1.0
45,4,-0.050000000000000044,-1,1.0,-1.0
46,7,-0.1,-1,-1.0,1.0
46,5,0.0,1,1.0,1.0
46,9,0.06,1,-1.0,-1.0
46,3,0.0,-1,1.0,-1.0
46,4,1.07,1,1.0,1.0
46,11,0.78,1,1.0,1.0
46,1,0.07,-1,1.0,-1.0
46,12,0.92,1,-1.0,-1.0
46,8,0.06999999999999999,-1,-1.0,1.0
46,6,-0.07999999999999996,-1,-1.0,1.0
46,10,0.44000000000000006,1,-1.0,-1.0
46,2,1.0,-1,1.0,-1.0
47,8,0.0,1,1.0,1.0
47,3,0.0,1,-1.0,-1.0
47,10,0.0,-1,1.0,-1.0
47,9,-0.03,-1,1.0,-1.0
47,12,0.0,-1,1.0,-1.0
47,1,0.0,1,-1.0,-1.0
47,11,0.0,-1,-1.0,1.0
47,7,0.29000000000000004,1,1.0,1.0
47,5,-0.74,-1,-1.0,1.0
47,6,0.27,1,1.0,1.0
47,2,0.0,1,-1.0,-1.0
47,4,0.0,-1,-1.0,1.0
48,5,-0.21999999999999997,1,-1.0,-1.0
48,11,0.04,1,-1.0,-1.0
48,8,-0.030000000000000002,-1,1.0,-1.0
48,9,-0.12000000000000001,1,1.0,1.0
48,4,0.06,1,-1.0,-1.0
48,3,0.08000000000000002,-1,-1.0,1.0
48,1,0.33,-1,-1.0,1.0
48,7,-0.27,-1,1.0,-1.0
48,10,0.019999999999999997,1,1.0,1.0
48,6,0.94,-1,1.0,-1.0
48,12,0.0,1,1.0,1.0
48,2,0.02,-1,-1.0,1.0
49,5,0.08000000000000002,-1,1.0,-1.0
49,4,0.0,-1,1.0,-1.0
49,11,0.0,-1,1.0,-1.0
49,10,-0.94,-1,-1.0,1.0
49,12,0.02,-1,-1.0,1.0
49,8,0.0,1,-1.0,-1.0
49,9,0.05,-1,-1.0,1.0
49,3,0.0,1,1.0,1.0
49,6,0.0,1,-1.0,-1.0
49,1,-0.65,1,1.0,1.0
49,7,0.0,1,-1.0,-1.0
49,2,-0.03,1,1.0,1.0
50,4,-0.7,1,1.0,1.0
50,11,-0.030000000000000002,1,1.0,1.0
50,5,0.02,1,1.0,1.0
50,9,0.16999999999999998,1,-1.0,-1.0
50,12,0.28,1,-1.0,-1.0
50,8,0.16,-1,-1.0,1.0
50,10,0.03,1,-1.0,-1.0
50,1,-0.009999999999999953,-1,1.0,-1.0
50,3,0.0,-1,1.0,-1.0
50,2,1.0,-1,1.0,-1.0
50,6,-0.24999999999999997,-1,-1.0,1.0
50,7,0.04,-1,-1.0,1.0
51,2,0.039999999999999994,1,-1.0,-1.0
51,7,0.08,1,1.0,1.0
51,9,0.99,-1,1.0,-1.0
51,12,1.6,-1,1.0,-1.0
51,8,0.05,1,1.0,1.0
51,4,-0.78,-1,-1.0,1.0
51,5,1.76,-1,-1.0,1.0
51,10,0.89,-1,1.0,-1.0
51,1,-1.44,1,-1.0,-1.0
51,6,-0.18000000000000002,1,1.0,1.0
51,3,0.17999999999999994,1,-1.0,-1.0
51,11,-0.97,-1,-1.0,1.0
52,5,-0.009999999999999981,1,-1.0,-1.0
52,2,0.41,-1,-1.0,1.0
52,10,0.0,1,1.0,1.0
52,8,0.0,-1,1.0,-1.0
52,1,0.25,-1,-1.0,1.0
52,9,0.0,1,1.0,1.0
52,12,-1.0,1,1.0,1.0
52,6,0.07,-1,1.0,-1.0
52,11,0.22,1,-1.0,-1.0
52,4,-0.03,1,-1.0,-1.0
52,7,0.0,-1,1.0,-1.0
52,3,0.0,-1,-1.0,1.0
53,10,0.0,-1,-1.0,1.0
53,3,0.0,1,1.0,1.0
53,7,0.0,1,-1.0,-1.0
53,12,-0.020000000000000018,-1,-1.0,1.0
53,5,0.0,-1,1.0,-1.0
53,1,0.0,1,1.0,1.0
53,9,0.0,-1,-1.0,1.0
53,4,0.0,-1,1.0,-1.0
53,11,0.0,-1,1.0,-1.0
53,8,0.0,1,-1.0,-1.0
53,2,0.0,1,1.0,1.0
53,6,0.02,1,-1.0,-1.0
54,4,-0.05000000000000002,1,1.0,1.0
54,9,0.009999999999999995,1,-1.0,-1.0
54,12,0.0,1,-1.0,-1.0
54,2,-0.020000000000000018,-1,1.0,-1.0
54,1,0.0,-1,1.0,-1.0
54,10,-0.45,1,-1.0,-1.0
54,11,-0.43,1,1.0,1.0
54,6,-0.04,-1,-1.0,1.0
54,3,0.0,-1,1.0,-1.0
54,5,0.049999999999999996,1,1.0,1.0
54,8,0.0,-1,-1.0,1.0
54,7,0.0,-1,-1.0,1.0
55,9,-0.18000000000000002,-1,1.0,-1.0
55,4,-0.01,-1,-1.0,1.0
55,6,0.0,1,1.0,1.0
55,12,0.009999999999999995,-1,1.0,-1.0
55,10,0.1,-1,1.0,-1.0
55,7,0.01,1,1.0,1.0
55,1,1.28,1,-1.0,-1.0
55,11,0.09999999999999999,-1,-1.0,1.0
55,3,0.0,1,-1.0,-1.0
55,5,0.0,-1,-1.0,1.0
55,2,-0.18000000000000002,1,-1.0,-1.0
55,8,0.59,1,1.0,1.0
56,3,0.0,-1,-1.0,1.0
56,7,0.0,-1,1.0,-1.0
56,5,0.0,1,-1.0,-1.0
56,1,0.0,-1,-1.0,1.0
56,2,0.0,-1,-1.0,1.0
56,10,0.0,1,1.0,1.0
56,12,0.0,1,1.0,1.0
56,9,0.0,1,1.0,1.0
56,11,-0.28,1,-1.0,-1.0
56,6,2.0,-1,1.0,-1.0
56,8,0.98,-1,1.0,-1.0
56,4,-0.03,1,-1.0,-1.0
57,4,0.0,-1,1.0,-1.0
57,7,0.0,1,-1.0,-1.0
57,6,0.13,1,-1.0,-1.0
57,1,0.0,1,1.0,1.0
57,9,0.26,-1,-1.0,1.0
57,12,-0.01,-1,-1.0,1.0
57,8,-0.010000000000000002,1,-1.0,-1.0
57,10,0.0,-1,-1.0,1.0
57,3,1.35,1,1.0,1.0
57,2,1.03,1,1.0,1.0
57,11,-0.010000000000000009,-1,1.0,-1.0
57,5,0.03,-1,1.0,-1.0
58,5,0.03,1,1.0,1.0
