id,sch,gr,cltype,hdeg,clad,exp,trace,read,math,ses,schtype,sx,eth,birthq,birthy,yrs,tch
100302,20,1,reg,BS/BA,1,4,W,590,549,N,suburb,F,B,1980:2,1980,1.0,316
100302,20,2,reg,BS/BA,NOT,4,B,579,559,N,suburb,F,B,1980:2,1980,2.0,321
100302,20,3,reg,BS/BA,1,7,B,610,618,N,suburb,F,B,1980:2,1980,3.0,327
100318,72,K,small,MS/MA/MEd,1,6,W,514,559,F,rural,F,W,1980:2,1980,0.0,1250
100318,72,1,small,MS/MA/MEd,1,7,W,590,601,N,rural,F,W,1980:2,1980,1.0,1255
100318,72,2,small,BS/BA,1,10,W,659,648,F,rural,F,W,1980:2,1980,2.0,1261
100335,54,2,small,BS/BA,NOT,15,B,,,F,suburb,M,B,1980:1,1980,2.0,934
100345,29,2,reg+A,MS/MA/MEd,1,12,W,526,561,F,inner,M,B,1978:3,1978,2.0,511
100361,21,K,small,MS/MA/MEd,1,14,B,451,500,N,suburb,F,W,1980:3,1980,0.0,330
100361,21,1,reg,MS/MA/MEd,1,33,W,564,488,F,suburb,F,W,1980:3,1980,1.0,339
100361,21,2,small,BS/BA,1,25,B,555,530,N,suburb,F,W,1980:3,1980,2.0,342
100361,21,3,small,BS/BA,NOT,21,W,608,540,F,suburb,F,W,1980:3,1980,3.0,346
100375,58,K,reg+A,BS/BA,1,17,W,451,559,N,suburb,M,W,1979:4,1979,0.0,998
100375,58,1,reg,BS/BA,PROB,0,W,571,567,N,suburb,M,W,1979:4,1979,1.0,1001
100375,58,2,reg,BS/BA,PROB,3,W,669,674,N,suburb,M,W,1979:4,1979,2.0,1006
100375,58,3,reg,BS/BA,1,11,W,654,663,N,suburb,M,W,1979:4,1979,3.0,1012
100394,24,K,reg,BS/BA,1,6,W,,,F,suburb,F,B,1979:3,1979,0.0,401
100394,24,1,reg,BS/BA,1,3,B,,529,N,suburb,F,B,1979:3,1979,1.0,405
100409,41,2,reg,Ed.S,1,15,W,538,563,N,suburb,F,W,1979:3,1979,2.0,704
100422,9,2,small,MS/MA/MEd,APPR,23,W,,,F,urban,M,B,1979:4,1979,2.0,150
10044,49,K,reg+A,BS/BA,1,9,W,424,528,F,rural,F,W,1980:2,1980,0.0,816
10044,49,1,reg+A,MS/MA/MEd,1,11,B,509,529,F,rural,F,W,1980:2,1980,1.0,819
10044,49,2,reg+A,BS/BA,1,7,W,566,593,F,rural,F,W,1980:2,1980,2.0,823
10044,49,3,reg+A,MS/MA/MEd,2,17,W,620,610,F,rural,F,W,1980:2,1980,3.0,827
100443,17,K,reg+A,BS/BA,1,8,B,393,506,F,suburb,F,B,1980:3,1980,0.0,269
100443,17,1,reg,BS/BA,1,16,W,466,484,F,suburb,F,B,1980:3,1980,1.0,272
100443,17,2,reg,BS/BA,NOT,12,W,,,F,suburb,F,B,1980:3,1980,2.0,276
100443,17,3,reg,MS/MA/MEd,1,19,B,610,603,F,suburb,F,B,1980:3,1980,3.0,280
100462,52,1,reg,BS/BA,APPR,2,B,629,567,F,suburb,F,W,1980:2,1980,1.0,898
100462,52,2,reg+A,BS/BA,1,18,W,659,584,N,suburb,F,W,1980:2,1980,2.0,904
100462,52,3,reg+A,BS/BA,1,21,W,654,651,N,suburb,F,W,1980:2,1980,3.0,909
100473,68,1,reg,BS/BA,1,5,W,477,505,N,rural,M,W,1979:3,1979,1.0,1184
100473,68,2,reg,BS/BA,1,31,W,557,552,N,rural,M,W,1979:3,1979,2.0,1191
100473,68,3,reg,BS/BA,1,8,W,577,550,N,rural,M,W,1979:3,1979,3.0,1197
100497,17,1,reg+A,BS/BA,1,20,W,471,470,F,suburb,F,B,1979:1,1979,1.0,273
100497,17,2,reg+A,BS/BA,1,12,B,517,536,F,suburb,F,B,1979:1,1979,2.0,277
100497,17,3,reg+A,MS/MA/MEd,1,18,W,567,597,F,suburb,F,B,1979:1,1979,3.0,281
100506,53,K,reg,MS/MA/MEd,PROB,3,B,,,F,inner,F,W,1980:3,1980,0.0,911
100523,18,K,reg,BS/BA,1,9,B,442,478,N,inner,M,B,1980:3,1980,0.0,283
100540,17,1,reg+A,BS/BA,1,20,W,453,474,F,suburb,M,B,1980:2,1980,1.0,273
100557,8,K,reg+A,MS/MA/MEd,1,12,W,431,489,F,rural,F,W,1979:2,1979,0.0,115
100577,71,K,reg,BS/BA,1,6,W,424,500,N,rural,M,W,1980:1,1980,0.0,1236
100577,71,1,reg+A,BS/BA,1,31,W,536,535,F,rural,M,W,1980:1,1980,1.0,1241
100577,71,2,reg+A,BS/BA,PROB,1,W,604,603,,rural,M,W,1980:1,1980,2.0,1245
100577,71,3,reg+A,BS/BA,1,12,W,657,639,N,rural,M,W,1980:1,1980,3.0,1249
100592,14,K,reg+A,BS/BA,APPR,1,B,419,405,F,inner,M,B,1980:1,1980,0.0,217
100598,9,1,reg+A,BS/BA,1,10,W,483,535,F,urban,M,W,1978:4,1978,1.0,147
10061,18,K,reg,BS/BA,1,9,B,421,484,N,inner,M,B,1980:2,1980,0.0,283
100619,15,K,reg,MS/MA/MEd,1,11,B,434,449,F,inner,M,B,1980:3,1980,0.0,230
100619,15,1,reg,MS/MA/MEd,1,11,W,459,484,F,inner,M,B,1980:3,1980,1.0,234
100619,15,2,reg,MS/MA/MEd,1,11,W,532,525,F,inner,M,B,1980:3,1980,2.0,237
100638,2,1,reg,BS/BA,1,5,W,629,538,N,urban,M,W,1980:2,1980,1.0,23
100638,2,2,reg,MS/MA/MEd,1,8,W,622,639,N,urban,M,W,1980:2,1980,2.0,26
100638,2,3,reg,MS/MA/MEd,1,15,W,686,691,N,urban,M,W,1980:2,1980,3.0,29
100653,31,2,reg+A,BS/BA,NOT,0,W,517,523,F,inner,M,B,1979:2,1979,2.0,537
100653,31,3,reg+A,BS/BA,NOT,17,B,562,561,F,inner,M,B,1979:2,1979,3.0,540
100670,29,1,reg+A,BS/BA,APPR,1,B,472,526,F,inner,M,B,1979:2,1979,1.0,507
100681,1,3,small,MS/MA/MEd,APPR,1,W,575,629,N,rural,M,W,1979:3,1979,3.0,15
100697,30,2,small,BS/BA,NOT,2,W,614,620,N,inner,M,B,1980:3,1980,2.0,523
100697,30,3,small,BS/BA,PROB,3,B,661,636,N,inner,M,B,1980:3,1980,3.0,526
100721,17,K,reg+A,BS/BA,1,8,B,425,513,N,suburb,M,W,1980:1,1980,0.0,269
100721,17,1,reg,BS/BA,1,5,B,485,538,N,suburb,M,W,1980:1,1980,1.0,271
100727,29,K,small,BS/BA,1,5,W,425,439,F,inner,M,B,1979:4,1979,0.0,502
10074,1,K,reg,BS/BA,,5,W,450,494,N,rural,M,W,1980:3,1980,0.0,2
10074,1,1,reg,BS/BA,APPR,2,W,524,529,N,rural,M,W,1980:3,1980,1.0,6
10074,1,2,reg,MS/MA/MEd,1,12,B,618,570,N,rural,M,W,1980:3,1980,2.0,12
10074,1,3,reg,BS/BA,1,5,W,633,603,N,rural,M,W,1980:3,1980,3.0,17
100751,75,3,small,Ed.S,1,13,W,,,F,rural,M,W,1979:1,1979,3.0,1317
100766,50,K,reg,MS/MA/MEd,1,13,W,424,489,F,rural,M,B,1980:2,1980,0.0,830
100766,50,1,reg,BS/BA,NOT,12,W,462,515,,rural,M,B,1980:2,1980,1.0,836
100766,50,2,reg,BS/BA,NOT,13,W,517,543,F,rural,M,B,1980:2,1980,2.0,842
100766,50,3,reg,MS/MA/MEd,1,8,W,564,582,F,rural,M,B,1980:2,1980,3.0,847
100780,36,K,reg,BS/BA,1,15,W,443,478,N,suburb,F,W,1980:2,1980,0.0,624
100780,36,1,reg,MS/MA/MEd,3,18,W,524,542,N,suburb,F,W,1980:2,1980,1.0,628
100780,36,2,reg,BS/BA,1,12,W,618,607,,suburb,F,W,1980:2,1980,2.0,631
100780,36,3,reg,BS/BA,PROB,22,B,602,616,N,suburb,F,W,1980:2,1980,3.0,636
100791,21,3,small,BS/BA,NOT,21,W,641,639,F,suburb,M,B,1979:4,1979,3.0,346
100810,75,K,reg,MS/MA/MEd,1,11,W,514,520,N,rural,M,W,1980:3,1980,0.0,1304
100810,75,1,small,BS/BA,1,14,W,604,592,N,rural,M,W,1980:3,1980,1.0,1307
100810,75,2,small,BS/BA,1,5,W,608,626,N,rural,M,W,1980:3,1980,2.0,1313
100810,75,3,small,BS/BA,1,22,W,639,711,N,rural,M,W,1980:3,1980,3.0,1318
100827,21,1,small,BS/BA,1,4,W,482,493,F,suburb,M,B,1980:3,1980,1.0,336
100842,19,2,reg+A,MS/MA/MEd,,2,W,488,485,F,inner,M,,1980:3,1980,2.0,302
100854,76,K,reg+A,MS/MA/MEd,1,13,W,460,559,N,rural,F,W,1979:4,1979,0.0,1327
100854,77,1,reg,BS/BA,PROB,0,W,530,549,N,rural,F,W,1979:4,1979,1.0,1330
100854,77,2,reg,BS/BA,1,20,W,611,593,N,rural,F,W,1979:4,1979,2.0,1337
100854,77,3,reg,BS/BA,1,28,W,606,642,N,rural,F,W,1979:4,1979,3.0,1343
100873,51,1,reg+A,BS/BA,PROB,2,W,524,535,N,suburb,F,W,1980:3,1980,1.0,867
100873,51,2,reg+A,MS/MA/MEd,1,15,W,659,599,N,suburb,F,W,1980:3,1980,2.0,881
100897,48,K,reg+A,,,,,,454,N,urban,F,W,1980:1,1980,0.0,797
100897,48,1,reg+A,BS/BA,NOT,0,W,444,479,F,urban,F,W,1980:1,1980,1.0,802
10090,16,K,reg+A,BS/BA,1,6,W,397,418,F,inner,M,B,1980:3,1980,0.0,245
100913,54,1,reg+A,BS/BA,PROB,4,W,448,479,N,suburb,M,W,1980:1,1980,1.0,932
100925,72,K,reg,BS/BA,1,8,W,527,506,N,rural,F,W,1980:2,1980,0.0,1252
100925,72,1,reg+A,MS/MA/MEd,1,7,W,651,584,N,rural,F,W,1980:2,1980,1.0,1259
100925,72,2,reg+A,MS/MA/MEd,PROB,13,W,732,699,N,rural,F,W,1980:2,1980,2.0,1265
100925,72,3,reg+A,MS/MA/MEd,1,7,W,702,639,N,rural,F,W,1980:2,1980,3.0,1269
100943,63,K,reg,BS/BA,1,10,W,467,494,N,rural,M,W,1980:1,1980,0.0,1078
100943,63,1,reg+A,BS/BA,1,16,W,579,557,F,rural,M,W,1980:1,1980,1.0,1088
100959,34,3,reg,BS/BA,1,14,W,636,663,F,rural,M,W,1980:1,1980,3.0,603
100967,8,1,reg,BS/BA,1,15,W,475,490,N,rural,M,W,1979:4,1979,1.0,120
100967,8,2,reg,MS/MA/MEd,1,10,W,577,533,N,rural,M,W,1979:4,1979,2.0,124
100992,5,K,reg+A,BS/BA,1,8,W,419,439,F,rural,F,W,1980:1,1980,0.0,69
101005,2,2,reg,MS/MA/MEd,1,8,W,547,590,F,urban,F,W,1979:2,1979,2.0,26
101005,2,3,reg,MS/MA/MEd,1,15,W,578,608,F,urban,F,W,1979:2,1979,3.0,29
101020,69,1,small,BS/BA,1,13,W,,,F,rural,F,W,1980:2,1980,1.0,1203
101041,17,2,small,BS/BA,1,23,W,569,563,N,suburb,F,W,1980:1,1980,2.0,275
101041,17,3,small,BS/BA,2,14,B,647,634,N,suburb,F,W,1980:1,1980,3.0,279
101047,54,K,small,MS/MA/MEd,1,12,W,460,494,N,suburb,F,W,1979:4,1979,0.0,926
101047,54,1,small,BS/BA,1,23,W,536,545,N,suburb,F,W,1979:4,1979,1.0,930
101047,54,2,small,BS/BA,NOT,15,B,602,611,N,suburb,F,W,1979:4,1979,2.0,934
101047,54,3,small,MS/MA/MEd,1,20,W,647,606,N,suburb,F,W,1979:4,1979,3.0,937
101069,59,1,reg,MS/MA/MEd,1,8,W,512,553,F,urban,M,B,1979:2,1979,1.0,1024
101069,59,2,reg,BS/BA,APPR,1,W,602,579,F,urban,M,B,1979:2,1979,2.0,1028
101069,59,3,reg,MS/MA/MEd,1,7,W,622,645,F,urban,M,B,1979:2,1979,3.0,1032
101084,20,K,reg+A,BS/BA,,12,B,425,463,N,suburb,M,B,1980:2,1980,0.0,313
101084,20,1,reg,BS/BA,1,11,W,540,505,N,suburb,M,B,1980:2,1980,1.0,317
101084,20,2,reg+A,BS/BA,1,4,B,602,556,N,suburb,M,B,1980:2,1980,2.0,323
101084,20,3,reg+A,BS/BA,1,4,W,608,614,N,suburb,M,B,1980:2,1980,3.0,328
101095,49,1,reg,BS/BA,1,20,W,454,490,F,rural,F,W,1979:4,1979,1.0,818
101095,49,2,reg,MS/MA/MEd,1,11,W,500,556,F,rural,F,W,1979:4,1979,2.0,822
101095,50,K,reg,MS/MA/MEd,1,13,W,410,429,F,rural,F,W,1979:4,1979,0.0,830
10111,5,2,reg,BS/BA,1,9,W,562,,F,rural,F,W,1979:1,1979,2.0,76
10111,5,3,reg,BS/BA,1,8,W,577,567,F,rural,F,W,1979:1,1979,3.0,80
101117,5,K,reg,BS/BA,1,8,W,382,454,F,rural,F,B,1980:2,1980,0.0,68
101117,5,1,reg,BS/BA,PROB,0,W,456,488,F,rural,F,B,1980:2,1980,1.0,72
101130,28,K,small,MS/MA/MEd,1,8,W,474,602,N,inner,F,B,1980:3,1980,0.0,480
101130,28,1,small,BS/BA,1,8,W,571,584,F,inner,F,B,1980:3,1980,1.0,486
101130,28,2,small,MS/MA/MEd,1,21,B,650,593,F,inner,F,B,1980:3,1980,2.0,493
101130,28,3,small,MS/MA/MEd,NOT,11,A,633,642,F,inner,F,B,1980:3,1980,3.0,497
101146,41,3,reg,MS/MA/MEd,1,19,W,650,606,N,suburb,F,W,1980:3,1980,3.0,708
101167,69,2,reg,BS/BA,1,31,W,,,F,rural,M,W,1980:1,1980,2.0,1208
101167,70,3,reg,MS/MA/MEd,1,14,W,,634,F,rural,M,W,1980:1,1980,3.0,1231
101178,27,1,reg+A,BS/BA,1,24,B,521,562,F,inner,F,B,1979:3,1979,1.0,462
101178,27,2,reg,MS/MA/MEd,PROB,24,B,544,554,F,inner,F,B,1979:3,1979,2.0,466
101178,27,3,reg+A,BS/BA,1,25,B,,,F,inner,F,B,1979:3,1979,3.0,475
101198,72,K,reg+A,MS/MA/MEd,1,10,W,448,494,N,rural,M,W,1980:2,1980,0.0,1254
101198,72,1,reg+A,MS/MA/MEd,1,7,W,558,584,N,rural,M,W,1980:2,1980,1.0,1259
101198,72,2,reg+A,MS/MA/MEd,PROB,13,W,569,639,N,rural,M,W,1980:2,1980,2.0,1265
101198,72,3,reg+A,MS/MA/MEd,1,7,W,585,651,N,rural,M,W,1980:2,1980,3.0,1269
101213,34,1,reg+A,MS/MA/MEd,1,15,W,487,481,F,rural,M,W,1980:2,1980,1.0,596
101213,35,K,reg+A,BS/BA,1,12,W,407,454,F,rural,M,W,1980:2,1980,0.0,608
101229,27,K,small,BS/BA,1,11,W,450,500,F,inner,M,B,1980:2,1980,0.0,447
101229,27,1,small,MS/MA/MEd,1,17,W,462,510,F,inner,M,B,1980:2,1980,1.0,454
101229,27,2,small,BS/BA,1,5,W,524,570,F,inner,M,B,1980:2,1980,2.0,464
101229,27,3,reg,MS/MA/MEd,3,14,W,554,606,F,inner,M,B,1980:2,1980,3.0,473
101243,30,K,reg,BS/BA,1,10,B,467,547,F,inner,F,B,1980:3,1980,0.0,517
101243,30,1,reg,BS/BA,APPR,2,W,540,520,F,inner,F,B,1980:3,1980,1.0,520
101243,30,2,reg,BS/BA,APPR,1,W,564,556,F,inner,F,B,1980:3,1980,2.0,524
101243,30,3,reg,BS/BA,NOT,3,W,639,612,F,inner,F,B,1980:3,1980,3.0,527
10125,27,K,reg,BS/BA,PROB,0,B,450,439,F,inner,F,B,1980:2,1980,0.0,448
10125,27,1,reg+A,BS/BA,1,24,B,,557,F,inner,F,B,1980:2,1980,1.0,462
10125,27,2,reg,MS/MA/MEd,PROB,24,B,552,611,F,inner,F,B,1980:2,1980,2.0,466
10125,27,3,small,MS/MA/MEd,2,9,B,585,571,F,inner,F,B,1980:2,1980,3.0,470
101255,51,K,reg,BS/BA,1,11,W,447,528,N,suburb,M,W,1979:4,1979,0.0,852
101255,51,1,reg+A,BS/BA,1,4,W,514,572,N,suburb,M,W,1979:4,1979,1.0,868
101255,51,2,reg+A,Ed.S,1,9,W,582,603,N,suburb,M,W,1979:4,1979,2.0,879
101255,51,3,reg+A,MS/MA/MEd,2,15,W,610,603,N,suburb,M,W,1979:4,1979,3.0,889
101281,56,1,reg,BS/BA,PROB,3,W,,497,F,rural,F,B,1979:1,1979,1.0,964
101297,23,K,small,BS/BA,PROB,0,W,472,576,N,suburb,M,W,1980:1,1980,0.0,379
101310,60,K,reg+A,BS/BA,APPR,5,W,440,494,F,urban,F,W,1980:2,1980,0.0,1037
101321,49,3,small,MS/MA/MEd,1,17,W,,,N,rural,F,W,1979:3,1979,3.0,826
101345,48,2,reg,BS/BA,1,28,W,542,535,,urban,M,W,1979:1,1979,2.0,806
101345,48,3,reg,BS/BA,PROB,1,W,560,573,F,urban,M,W,1979:1,1979,3.0,811
101361,21,1,reg+A,BS/BA,1,19,W,590,572,N,suburb,M,W,1980:1,1980,1.0,340
101361,21,2,reg+A,MS/MA/MEd,1,18,B,627,,N,suburb,M,W,1980:1,1980,2.0,345
101361,21,3,reg+A,BS/BA,1,25,B,713,645,N,suburb,M,W,1980:1,1980,3.0,349
101374,74,K,small,BS/BA,1,12,W,437,463,N,rural,F,W,1979:2,1979,0.0,1287
101374,74,1,reg+A,BS/BA,NOT,23,W,514,529,N,rural,F,W,1979:2,1979,1.0,1294
101374,74,2,reg+A,MS/MA/MEd,1,21,B,538,565,N,rural,F,W,1979:2,1979,2.0,1298
101374,74,3,reg+A,MS/MA/MEd,1,36,W,555,562,N,rural,F,W,1979:2,1979,3.0,1302
10139,20,K,reg,BS/BA,,4,W,410,473,F,suburb,M,B,1980:3,1980,0.0,311
10139,20,1,reg,BS/BA,1,4,W,512,538,F,suburb,M,B,1980:3,1980,1.0,316
10139,20,2,reg,BS/BA,NOT,4,B,566,541,F,suburb,M,B,1980:3,1980,2.0,321
10139,20,3,reg,BS/BA,1,7,B,597,559,F,suburb,M,B,1980:3,1980,3.0,327
101390,72,K,reg,BS/BA,1,8,W,436,520,F,rural,F,W,1980:2,1980,0.0,1252
101400,34,2,reg+A,MS/MA/MEd,1,20,W,659,648,F,rural,M,W,1979:4,1979,2.0,601
101400,34,3,reg+A,BS/BA,1,9,W,654,691,F,rural,M,W,1979:4,1979,3.0,604
101416,19,3,reg+A,BS/BA,1,26,B,572,608,F,inner,M,B,1980:4,1980,3.0,308
101437,33,K,reg+A,MS/MA/MEd,1,5,W,398,459,F,inner,M,B,1980:2,1980,0.0,570
101437,33,1,reg+A,BS/BA,NOT,36,B,509,490,F,inner,M,B,1980:2,1980,1.0,578
101456,30,3,reg+A,BS/BA,1,18,B,604,603,F,inner,F,B,1979:1,1979,3.0,528
101470,53,K,reg+A,BS/BA,1,9,W,424,494,N,inner,F,W,1980:2,1980,0.0,912
101470,53,1,reg+A,BS/BA,1,7,W,509,542,N,inner,F,W,1980:2,1980,1.0,917
101470,53,2,reg+A,MS/MA/MEd,1,10,W,593,570,N,inner,F,W,1980:2,1980,2.0,921
101470,53,3,reg+A,BS/BA,1,7,W,620,612,N,inner,F,W,1980:2,1980,3.0,925
101482,60,1,reg+A,MS/MA/MEd,1,15,W,579,545,F,urban,F,W,1980:3,1980,1.0,1040
101482,60,2,reg+A,MS/MA/MEd,1,20,W,650,611,F,urban,F,W,1980:3,1980,2.0,1043
101502,26,K,reg+A,BS/BA,1,6,B,422,468,F,inner,F,B,1980:2,1980,0.0,435
101502,26,1,small,MS/MA/MEd,1,30,B,519,507,F,inner,F,B,1980:2,1980,1.0,437
101502,26,2,small,BS/BA,PROB,3,W,536,557,F,inner,F,B,1980:2,1980,2.0,439
101502,26,3,small,BS/BA,PROB,2,B,565,586,F,inner,F,B,1980:2,1980,3.0,443
101514,71,2,reg+A,BS/BA,PROB,1,W,577,603,,rural,M,W,1979:3,1979,2.0,1245
101514,71,3,reg+A,BS/BA,1,12,W,639,655,N,rural,M,W,1979:3,1979,3.0,1249
10153,74,K,small,BS/BA,1,14,W,510,626,N,rural,F,W,1980:3,1980,0.0,1288
10153,74,1,small,MS/MA/MEd,1,13,W,604,601,N,rural,F,W,1980:3,1980,1.0,1291
10153,74,2,small,MS/MA/MEd,1,10,W,659,699,N,rural,F,W,1980:3,1980,2.0,1295
10153,74,3,small,,1,30,W,693,700,N,rural,F,W,1980:3,1980,3.0,1299
101537,54,K,reg+A,BS/BA,1,7,W,455,494,N,suburb,M,W,1980:1,1980,0.0,928
101537,54,1,reg,BS/BA,APPR,3,W,536,612,N,suburb,M,W,1980:1,1980,1.0,931
101552,32,1,reg+A,BS/BA,1,10,W,471,502,F,inner,M,B,1979:1,1979,1.0,553
101552,32,2,reg+A,BS/BA,1,19,W,552,572,F,inner,M,B,1979:1,1979,2.0,560
101562,43,1,reg+A,MS/MA/MEd,NOT,18,W,571,549,N,suburb,M,W,1979:3,1979,1.0,721
101562,43,2,reg+A,BS/BA,1,10,W,,,,suburb,M,W,1979:3,1979,2.0,725
101578,51,1,reg,MS/MA/MEd,1,12,W,521,535,N,suburb,M,W,1979:3,1979,1.0,863
101578,51,2,reg,MS/MA/MEd,1,17,B,557,543,N,suburb,M,W,1979:3,1979,2.0,877
101578,51,3,reg,BS/BA,PROB,5,W,562,574,N,suburb,M,W,1979:3,1979,3.0,886
101601,64,3,small,BS/BA,3,17,W,693,684,N,rural,F,W,1981:1,1981,3.0,1118
101614,58,3,reg,BS/BA,1,22,W,631,622,F,suburb,F,W,1980:2,1980,3.0,1013
101627,27,K,reg,BS/BA,,6,B,456,528,F,inner,M,B,1980:3,1980,0.0,449
101627,27,1,reg,BS/BA,PROB,5,W,499,520,F,inner,M,B,1980:3,1980,1.0,457
101627,27,2,reg+A,BS/BA,1,35,B,614,607,F,inner,M,B,1980:3,1980,2.0,468
101644,74,1,reg+A,BS/BA,NOT,23,W,558,542,N,rural,M,W,1980:2,1980,1.0,1294
101644,74,2,reg+A,MS/MA/MEd,1,21,B,614,590,F,rural,M,W,1980:2,1980,2.0,1298
101644,74,3,reg+A,MS/MA/MEd,1,19,B,626,599,N,rural,M,W,1980:2,1980,3.0,1301
101658,74,K,small,BS/BA,1,14,W,476,602,N,rural,M,O,1979:3,1979,0.0,1288
101658,74,1,small,MS/MA/MEd,1,13,W,604,592,N,rural,M,O,1979:3,1979,1.0,1291
101658,74,2,small,MS/MA/MEd,1,10,W,684,699,N,rural,M,O,1979:3,1979,2.0,1295
101658,74,3,small,,1,30,W,686,672,N,rural,M,O,1979:3,1979,3.0,1299
101677,60,1,reg,BS/BA,1,11,W,,497,F,urban,M,W,1978:2,1978,1.0,1039
101677,60,2,small,MS/MA/MEd,1,14,W,515,550,F,urban,M,W,1978:2,1978,2.0,1042
101677,60,3,small,BS/BA,NOT,29,W,529,591,F,urban,M,W,1978:2,1978,3.0,1045
101690,55,1,reg,BS/BA,1,11,W,445,481,F,rural,M,W,1979:3,1979,1.0,947
101690,55,2,reg,MS/MA/MEd,2,13,W,533,504,F,rural,M,W,1979:3,1979,2.0,951
10170,79,1,reg,BS/BA,1,17,W,492,512,F,rural,F,W,1979:3,1979,1.0,1365
