H,G,U,Y,A,V
2020,AQ,-1.5,-1.898,M,380
2020,AQ,-0.5,-0.921,M,380
2020,AQ,0.5,0.587,M,380
2020,AQ,1.5,1.578,M,380
2020,AQ,2.5,2.3,M,380
2020,AR,0.5,0.003,M,380
2020,AR,1.5,0.573,M,380
2020,AR,2.5,1.148,M,380
2020,AS,-1.5,-0.733,M,380
2020,AS,-0.5,-0.645,M,380
2020,AS,0.5,1.146,M,380
2020,AT,-1.5,-0.733,F,380
2020,AT,-0.5,-0.112,F,380
2020,AT,0.5,1.146,F,380
2020,AU,-1.5,-2.474,F,380
2020,AU,-0.5,-1.505,F,380
2020,AU,0.5,-0.623,F,380
2020,AU,1.5,-0.35,F,380
2040,AV,-2.5,-2.188,F,502
2040,AV,-1.5,-1.541,F,502
2040,AV,-0.5,-0.351,F,502
2040,AV,0.5,1.309,F,502
2040,AV,1.5,1.421,F,502
2040,AV,2.5,2.682,F,502
2040,AW,-1.5,-3.395,M,502
2040,AW,-0.5,-3.232,M,502
2040,AW,0.5,-2.053,M,502
2040,AX,-1.5,-1.987,F,502
2040,AX,0.5,-0.419,F,502
2040,AX,1.5,-0.244,F,502
2040,AY,-0.5,-0.785,F,502
2040,AY,0.5,0.587,F,502
2040,AY,1.5,1.421,F,502
2040,AZ,-1.5,-2.162,F,502
2040,AZ,-0.5,0.241,F,502
2040,AZ,0.5,0.227,F,502
2040,AZ,1.5,1.273,F,502
2040,AZ,2.5,3.055,F,502
2040,Aa,-1.5,-1.83,F,502
2040,Aa,-0.5,-1.185,F,502
2040,Aa,0.5,0.852,F,502
2040,Aa,1.5,0.573,F,502
2040,Aa,2.5,1.736,F,502
2040,Ab,-1.5,-3.144,M,502
2040,Ab,-0.5,-2.097,M,502
2040,Ab,0.5,-0.316,M,502
2040,Ac,-1.5,-2.097,M,502
2040,Ac,-0.5,-1.314,M,502
2040,Ac,0.5,0.003,M,502
2040,Ac,1.5,0.182,M,502
2040,Ad,-1.5,-1.538,M,502
2040,Ad,-0.5,-0.942,M,502
2040,Ad,0.5,-0.522,M,502
2040,Ad,1.5,0.632,M,502
2040,Ad,2.5,1.794,M,502
2040,Ae,-1.5,-1.898,F,502
2040,Ae,-0.5,-0.716,F,502
2040,Ae,0.5,0.716,F,502
2040,Ae,1.5,1.066,F,502
2040,Ae,2.5,2.371,F,502
2040,Af,-2.5,-3.232,M,502
2040,Af,-1.5,-2.188,M,502
2040,Af,-0.5,-1.464,M,502
2040,Ag,-1.5,-1.987,F,502
2040,Ag,-0.5,-1.616,F,502
2040,Ag,0.5,-1.665,F,502
2040,Ag,1.5,-0.35,F,502
2040,Ag,2.5,1.047,F,502
2040,Ah,-1.5,-1.772,F,502
2040,Ah,-0.5,-0.194,F,502
2040,Ah,0.5,1.678,F,502
2040,Ai,-1.5,-2.188,M,502
2040,Ai,-0.5,-1.568,M,502
2040,Ai,0.5,-1.236,M,502
2040,Ai,1.5,-0.244,M,502
2040,Aj,-2.5,-3.395,F,502
2040,Aj,-1.5,-2.474,F,502
2040,Aj,-0.5,-1.966,F,502
2040,Aj,0.5,-0.928,F,502
2040,Aj,1.5,0.182,F,502
2040,Aj,2.5,0.798,F,502
2040,Ak,-2.5,-3.232,M,502
2040,Ak,-1.5,-2.535,M,502
2040,Ak,-0.5,-0.785,M,502
2040,Ak,0.5,0.343,M,502
2040,Ak,1.5,0.573,M,502
2040,Ak,2.5,1.302,M,502
2040,Al,-1.5,-1.276,M,502
2040,Al,-0.5,0.338,M,502
2040,Al,0.5,0.852,M,502
2040,Al,1.5,0.128,M,502
2040,Al,2.5,2.3,M,502
2040,Am,-2.5,-3.232,M,502
2040,Am,-1.5,-2.225,M,502
2040,Am,-0.5,-0.988,M,502
2040,Am,0.5,-1.236,M,502
2040,Am,1.5,0.021,M,502
2040,An,-1.5,-1.13,F,502
2040,An,-0.5,-0.427,F,502
2040,An,0.5,0.995,F,502
2040,Ao,-1.5,-2.377,F,502
2040,Ao,-0.5,-0.427,F,502
2040,Ao,0.5,0.995,F,502
2040,Ap,-1.5,-2.377,M,502
2040,Ap,0.5,-1.236,M,502
2040,Ap,1.5,-0.725,M,502
2040,Ap,2.5,0.65,M,502
2180,Aq,0.5,-0.623,F,777
2180,Aq,1.5,0.516,F,777
2180,Aq,2.5,0.551,F,777
2180,Ar,-1.5,-1.898,M,777
2180,Ar,-0.5,-0.351,M,777
2180,Ar,0.5,0.343,M,777
2180,Ar,1.5,0.573,M,777
2180,Ar,2.5,1.302,M,777
2180,As,-1.5,-0.221,F,777
2180,As,-0.5,-0.351,F,777
2180,As,0.5,0.227,F,777
2180,As,1.5,0.128,F,777
2180,As,2.5,1.199,F,777
2180,At,0.5,0.852,M,777
2180,At,1.5,0.573,M,777
2180,At,2.5,1.736,M,777
2180,Au,-2.5,-4.096,F,777
2180,Au,-1.5,-2.097,F,777
2180,Au,-0.5,-2.136,F,777
2180,Av,0.5,-1.894,F,777
2180,Av,1.5,-0.403,F,777
2180,Av,2.5,0.452,F,777
2180,Aw,-0.5,-0.988,M,777
2180,Aw,0.5,-0.725,M,777
2180,Aw,1.5,0.074,M,777
2180,Aw,2.5,0.749,M,777
2180,Ax,-1.5,-2.225,M,777
2180,Ax,-0.5,-1.568,M,777
2180,Ax,0.5,-0.522,M,777
2180,Ax,1.5,0.292,M,777
2180,Ax,2.5,1.354,M,777
2180,Ay,-0.5,-1.568,M,777
2180,Ay,0.5,-0.725,M,777
2180,Ay,1.5,0.237,M,777
2180,Ay,2.5,0.947,M,777
2180,Az,-1.5,-2.162,M,777
2180,Az,-0.5,-1.568,M,777
2180,Az,0.5,-1.555,M,777
2180,BA,-1.5,-1.038,M,777
2180,BA,-0.5,-0.351,M,777
2180,BA,0.5,-0.316,M,777
2180,BA,1.5,0.573,M,777
2180,BA,2.5,1.407,M,777
2180,BB,-1.5,-4.258,M,777
2180,BB,-0.5,-2.535,M,777
2180,BB,0.5,-2.053,M,777
2180,BB,1.5,-2.64,M,777
2180,BB,2.5,-1.229,M,777
2180,BC,-1.5,-1.218,M,777
2180,BC,-0.5,-0.351,M,777
2180,BC,0.5,0.587,M,777
2180,BD,-1.5,-3.021,F,777
2180,BD,-0.5,-0.194,F,777
2180,BD,0.5,-1.555,F,777
2180,BD,1.5,0.237,F,777
2180,BD,2.5,1.199,F,777
2180,BE,-2.5,-4.096,F,777
2180,BE,-1.5,-1.76,F,777
2180,BE,-0.5,-1.185,F,777
2180,BE,0.5,-1.132,F,777
2180,BF,-1.5,-2.474,M,777
2180,BF,-0.5,-2.528,M,777
2180,BF,0.5,-2.406,M,777
2180,BF,1.5,-1.235,M,777
2180,BF,2.5,-0.835,M,777
2180,BG,-1.5,-1.966,M,777
2180,BG,-0.5,-1.12,M,777
2180,BG,0.5,0.003,M,777
2180,BG,1.5,0.292,M,777
2180,BG,2.5,1.46,M,777
2180,BH,-1.5,-1.83,F,777
2180,BH,-0.5,-1.898,F,777
2180,BH,0.5,-1.295,F,777
2180,BH,1.5,-0.702,F,777
2180,BH,2.5,-0.703,F,777
2180,BI,-2.5,-3.525,F,777
2180,BI,-1.5,-0.365,F,777
2180,BI,-0.5,-0.574,F,777
2180,BJ,-1.5,0.893,F,777
2180,BJ,-0.5,0.546,F,777
2180,BJ,0.5,1.485,F,777
2180,BJ,1.5,1.134,F,777
2180,BJ,2.5,1.623,F,777
2180,BK,-1.5,-3.144,F,777
2180,BK,-0.5,-2.162,F,777
2180,BK,0.5,-2.053,F,777
2180,BK,1.5,0.22,F,777
2180,BK,2.5,0.811,F,777
2180,BL,-1.5,-1.541,F,777
2180,BL,-0.5,-2.461,F,777
2180,BL,0.5,-1.555,F,777
2180,BL,1.5,-0.616,F,777
2180,BL,2.5,0.749,F,777
2180,BM,-0.5,0.658,F,777
2180,BM,0.5,0.003,F,777
2180,BM,1.5,0.873,F,777
2180,BM,2.5,0.848,F,777
2180,BN,-1.5,-1.83,F,777
2180,BN,-0.5,-2.136,F,777
2180,BN,0.5,-1.236,F,777
2180,BN,1.5,0.292,F,777
2180,BN,2.5,-0.116,F,777
2180,BO,0.5,-1.934,F,777
2180,BO,1.5,-0.823,F,777
2180,BO,2.5,-0.264,F,777
2180,BP,0.5,-1.757,M,777
2180,BP,1.5,-1.732,M,777
2180,BP,2.5,-0.759,M,777
2180,BQ,-1.5,-2.96,M,777
2180,BQ,-0.5,-2.032,M,777
2180,BQ,0.5,-1.468,M,777
2180,BQ,1.5,-1.608,M,777
2180,BQ,2.5,-1.229,M,777
2180,BR,-1.5,-3.46,M,777
2180,BR,-0.5,-2.474,M,777
2180,BR,0.5,-1.295,M,777
2180,BR,1.5,-1.303,M,777
2180,BR,2.5,-0.264,M,777
2180,BS,-1.5,-2.097,F,777
2180,BS,-0.5,-2.009,F,777
2180,BS,0.5,-1.236,F,777
2180,BT,-1.5,-2.032,M,777
2180,BT,-0.5,-1.568,M,777
2180,BT,0.5,-1.778,M,777
2180,BT,1.5,-0.945,M,777
2180,BT,2.5,-0.975,M,777
2180,BU,-1.5,-2.596,M,777
2180,BU,-0.5,-2.873,M,777
2180,BU,0.5,-1.778,M,777
2180,BU,1.5,-1.296,M,777
2180,BU,2.5,0.352,M,777
2180,BV,-1.5,-2.657,M,777
2180,BV,-0.5,-2.136,M,777
2180,BV,0.5,-0.725,M,777
2180,BW,-1.5,-0.221,M,777
2180,BW,-0.5,-0.785,M,777
2180,BW,0.5,0.995,M,777
2180,BX,-0.5,-0.365,M,777
2180,BX,0.5,0.003,M,777
2180,BX,1.5,0.751,M,777
2180,BX,2.5,0.848,M,777
2180,BY,0.5,0.343,M,777
2180,BY,1.5,1.498,M,777
2180,BY,2.5,2.231,M,777
2180,BZ,-1.5,-0.733,F,777
2180,BZ,-0.5,-0.194,F,777
2180,BZ,0.5,0.716,F,777
2180,BZ,1.5,0.691,F,777
2180,Ba,-0.5,-2.009,M,777
2180,Ba,0.5,-1.665,M,777
2180,Ba,1.5,-0.456,M,777
2180,Ba,2.5,0.352,M,777
2180,Bb,-1.5,-1.898,F,777
2180,Bb,-0.5,1.194,F,777
2180,Bb,0.5,0.343,F,777
2180,Bc,-0.5,-1.054,M,777
2180,Bc,0.5,-0.522,M,777
2180,Bc,1.5,0.573,M,777
2180,Bc,2.5,1.514,M,777
2180,Bd,-1.5,-1.898,M,777
2180,Bd,-0.5,-1.694,M,777
2180,Bd,0.5,-1.665,M,777
2180,Bd,1.5,-0.244,M,777
2180,Be,-1.5,-2.097,F,777
2180,Be,-0.5,-2.225,F,777
2180,Be,0.5,-2.235,F,777
2180,Be,1.5,-0.762,F,777
2180,Be,2.5,-0.873,F,777
2330,Bf,-1.5,-1.616,F,800
2330,Bf,-0.5,-1.83,F,800
2330,Bf,0.5,-1.132,F,800
2330,Bf,1.5,-0.616,F,800
2330,Bf,2.5,-0.062,F,800
2330,Bg,-0.5,-2.395,M,800
2330,Bg,0.5,0.003,M,800
2330,Bg,1.5,-1.42,M,800
2330,Bg,2.5,-0.225,M,800
2330,Bh,-2.5,-2.413,F,800
2330,Bh,-1.5,-1.384,F,800
2330,Bh,-0.5,-0.427,F,800
2330,Bh,0.5,0.114,F,800
2330,Bh,1.5,0.573,F,800
2330,Bh,2.5,1.047,F,800
2330,Bi,0.5,-1.894,M,800
2330,Bi,1.5,-1.235,M,800
2330,Bi,2.5,0.044,M,800
2330,Bj,-1.5,-2.162,M,800
2330,Bj,-0.5,-2.136,M,800
2330,Bj,0.5,-0.522,M,800
2330,Bj,1.5,0.632,M,800
2330,Bj,2.5,1.25,M,800
2330,Bk,0.5,0.716,F,800
2330,Bk,1.5,0.237,F,800
2330,Bk,2.5,0.897,F,800
2330,Bl,0.5,2.14,M,800
2330,Bl,1.5,-0.403,M,800
2330,Bl,2.5,1.148,M,800
2330,Bm,0.5,0.587,F,800
2330,Bm,1.5,0.237,F,800
2330,Bm,2.5,2.231,F,800
2330,Bn,-0.5,-1.12,M,800
2330,Bn,0.5,0.852,M,800
2330,Bn,1.5,-0.086,M,800
2330,Bo,0.5,-0.316,F,800
2330,Bo,1.5,0.751,F,800
2330,Bo,2.5,1.623,F,800
2330,Bp,0.5,-1.236,F,800
2330,Bp,1.5,-0.779,F,800
2330,Bp,2.5,0.501,F,800
2330,Bq,-0.5,-0.351,M,800
2330,Bq,0.5,1.146,M,800
2330,Bq,1.5,1.578,M,800
2330,Bq,2.5,2.682,M,800
2330,Br,-0.5,0.241,M,800
2330,Br,0.5,1.146,M,800
2330,Br,1.5,1.346,M,800
2330,Br,2.5,2.371,M,800
2330,Bs,-1.5,-1.541,M,800
2330,Bs,-0.5,-0.574,M,800
2330,Bs,0.5,-0.928,M,800
2330,Bs,1.5,-0.456,M,800
2330,Bs,2.5,-0.008,M,800
2330,Bt,-1.5,-1.83,M,800
2330,Bt,-0.5,-0.645,M,800
2330,Bt,0.5,0.003,M,800
2330,Bt,1.5,1.421,M,800
2330,Bt,2.5,1.623,M,800
2330,Bu,0.5,0.995,M,800
2330,Bu,1.5,0.811,M,800
2330,Bu,2.5,2.3,M,800
2330,Bv,-1.5,-2.899,F,800
2330,Bv,-0.5,-1.25,F,800
2330,Bv,0.5,1.309,F,800
2330,Bv,1.5,1.273,F,800
2330,Bw,-1.5,-0.619,F,800
2330,Bw,-0.5,0.546,F,800
2330,Bw,0.5,1.894,F,800
2330,Bw,1.5,2.034,F,800
2330,Bw,2.5,3.055,F,800
2330,Bx,-2.5,-3.558,M,800
2330,Bx,-1.5,-1.76,M,800
2330,Bx,-0.5,-0.574,M,800
2330,Bx,0.5,0.716,M,800
2330,Bx,1.5,-0.456,M,800
2330,Bx,2.5,0.749,M,800
2330,By,-1.5,-1.616,F,800
2330,By,-0.5,-0.645,F,800
2330,By,0.5,-0.522,F,800
2330,By,1.5,0.292,F,800
2330,By,2.5,1.679,F,800
2330,Bz,-1.5,-1.76,F,800
2330,Bz,-0.5,-0.988,F,800
2330,Bz,0.5,-0.826,F,800
2330,Bz,1.5,0.128,F,800
2330,Bz,2.5,0.65,F,800
2330,CA,-2.5,-2.288,M,800
2330,CA,-1.5,-1.689,M,800
2330,CA,-0.5,-2.009,M,800
2330,CA,0.5,-0.419,M,800
2330,CA,1.5,-0.456,M,800
2330,CA,2.5,0.2,M,800
2330,CB,-1.5,-2.596,F,800
2330,CB,-0.5,-1.441,F,800
2330,CB,0.5,-0.725,F,800
2330,CC,-1.5,-2.288,F,800
2330,CC,-0.5,-0.988,F,800
2330,CC,0.5,0.587,F,800
2330,CC,1.5,-0.192,F,800
2330,CC,2.5,0.848,F,800
2330,CD,-1.5,-2.097,F,800
2330,CD,-0.5,-1.12,F,800
2330,CD,0.5,-0.419,F,800
2330,CD,1.5,-0.456,F,800
2330,CD,2.5,0.2,F,800
2330,CE,0.5,0.852,M,800
2330,CE,1.5,-0.192,M,800
2330,CE,2.5,0.997,M,800
2330,CF,-1.5,-1.541,M,800
2330,CF,-0.5,0.058,M,800
2330,CF,0.5,1.894,M,800
2330,CF,1.5,1.839,M,800
2330,CF,2.5,1.973,M,800
2330,CG,-1.5,-1.76,F,800
2330,CG,-0.5,-0.501,F,800
2330,CG,0.5,0.343,F,800
2330,CH,-1.5,-0.497,M,800
2330,CH,-0.5,0.905,M,800
2330,CH,0.5,1.894,M,800
2330,CH,1.5,1.421,M,800
2330,CH,2.5,2.3,M,800
2330,CI,-1.5,-1.83,F,800
2330,CI,-0.5,-0.112,F,800
2330,CI,0.5,0.995,F,800
2330,CI,1.5,0.811,F,800
2330,CI,2.5,0.699,F,800
2330,CJ,0.5,1.485,M,800
2330,CJ,1.5,0.751,M,800
2330,CJ,2.5,1.098,M,800
2330,CK,-1.5,-3.558,F,800
2330,CK,-0.5,-1.689,F,800
2330,CK,0.5,-1.132,F,800
2330,CL,-1.5,-1.616,F,800
2330,CL,-0.5,-0.645,F,800
2330,CL,0.5,0.003,F,800
2330,CM,-1.5,-2.162,M,800
2330,CM,-0.5,-2.009,M,800
2330,CM,0.5,1.146,M,800
2330,CM,1.5,-1.002,M,800
2330,CM,2.5,-0.225,M,800
2330,CN,-1.5,-2.225,M,800
2330,CN,-0.5,-2.2,M,800
2330,CN,0.5,-1.34,M,800
2330,CN,1.5,-1.685,M,800
2330,CN,2.5,0.148,M,800
2330,CO,-0.5,-0.112,F,800
2330,CO,0.5,-1.555,F,800
2330,CO,1.5,-0.086,F,800
2330,CO,2.5,0.798,F,800
2340,CP,-1.5,-1.83,M,1133
2340,CP,-0.5,-1.038,M,1133
2340,CP,0.5,0.114,M,1133
2340,CP,1.5,0.237,M,1133
2340,CP,2.5,1.623,M,1133
2340,CQ,-1.5,-0.974,F,1133
2340,CQ,-0.5,-0.988,F,1133
2340,CQ,0.5,-0.522,F,1133
2340,CQ,1.5,1.001,F,1133
2340,CQ,2.5,1.047,F,1133
2340,CR,-0.5,-0.351,F,1133
2340,CR,0.5,-0.928,F,1133
2340,CR,1.5,-0.192,F,1133
2340,CR,2.5,1.354,F,1133
2340,CS,-1.5,-1.987,F,1133
2340,CS,-0.5,-1.378,F,1133
2340,CS,0.5,-0.419,F,1133
2340,CS,1.5,0.292,F,1133
2340,CS,2.5,0.097,F,1133
2340,CT,-1.5,-3.082,M,1133
2340,CT,-0.5,-0.854,M,1133
2340,CT,0.5,-1.03,M,1133
2340,CT,1.5,-0.725,M,1133
2340,CT,2.5,-0.062,M,1133
2340,CU,-1.5,-1.987,M,1133
2340,CU,-0.5,-0.221,M,1133
2340,CU,0.5,0.716,M,1133
2340,CU,1.5,0.347,M,1133
2340,CU,2.5,1.199,M,1133
2340,CV,-1.5,-3.068,F,1133
2340,CV,-0.5,-2.899,F,1133
2340,CV,0.5,-1.004,F,1133
2340,CV,1.5,-2.335,F,1133
2340,CV,2.5,-0.759,F,1133
2340,CW,-1.5,-2.558,M,1133
2340,CW,-0.5,-1.898,M,1133
2340,CW,0.5,-1.121,M,1133
2340,CW,1.5,-1.424,M,1133
2340,CW,2.5,-1.229,M,1133
2340,CX,-1.5,-2.657,F,1133
2340,CX,-0.5,-1.882,F,1133
2340,CX,0.5,-1.132,F,1133
2340,CX,1.5,-0.67,F,1133
2340,CY,-1.5,-0.942,M,1133
2340,CY,-0.5,0.148,M,1133
2340,CY,0.5,0.716,M,1133
2340,CY,1.5,1.346,M,1133
2340,CY,2.5,2.164,M,1133
2340,CZ,-1.5,-4.055,M,1133
2340,CZ,-0.5,-2.657,M,1133
2340,CZ,0.5,-1.132,M,1133
2340,CZ,1.5,-0.403,M,1133
2340,CZ,2.5,-0.702,M,1133
2340,Ca,-1.5,-4.055,M,1133
2340,Ca,-0.5,-3.082,M,1133
2340,Ca,0.5,0.227,M,1133
2340,Ca,1.5,-1.685,M,1133
2340,Ca,2.5,-0.062,M,1133
2340,Cb,-0.5,-0.988,F,1133
2340,Cb,0.5,-0.826,F,1133
2340,Cb,1.5,-0.403,F,1133
2340,Cb,2.5,-0.225,F,1133
2340,Cc,-2.5,-2.902,F,1133
2340,Cc,-1.5,-1.987,F,1133
2340,Cc,-0.5,-1.541,F,1133
2340,Cc,0.5,-0.725,F,1133
2340,Cd,0.5,-1.993,M,1133
2340,Cd,1.5,-1.732,M,1133
2340,Cd,2.5,-1.107,M,1133
2340,Ce,-2.5,-2.558,F,1133
2340,Ce,-1.5,-1.772,F,1133
2340,Ce,-0.5,-1.13,F,1133
2340,Ce,0.5,-2.551,F,1133
2340,Ce,1.5,-0.35,F,1133
2340,Cf,-0.5,-1.378,M,1133
2340,Cf,0.5,-1.34,M,1133
2340,Cf,1.5,-0.297,M,1133
2340,Cg,-1.5,-2.413,M,1133
2340,Cg,0.5,0.343,M,1133
2340,Ch,-0.5,-2.657,M,1133
2340,Ch,0.5,-1.236,M,1133
2340,Ch,1.5,-0.297,M,1133
2340,Ch,2.5,0.251,M,1133
2340,Ci,-2.5,-3.232,F,1133
2340,Ci,-1.5,-2.351,F,1133
2340,Ci,-0.5,-1.541,F,1133
2340,Ci,0.5,-1.34,F,1133
2340,Cj,0.5,-0.826,F,1133
2340,Cj,1.5,-0.456,F,1133
2340,Cj,2.5,-0.062,F,1133
2340,Ck,-1.5,-3.068,F,1133
2340,Ck,-0.5,-1.76,F,1133
2340,Ck,0.5,0.003,F,1133
2340,Ck,1.5,-1.176,F,1133
2340,Ck,2.5,0.501,F,1133
2340,Cl,0.5,-0.522,M,1133
2340,Cl,2.5,0.897,M,1133
2340,Cm,-1.5,-3.021,M,1133
2340,Cm,-0.5,-1.464,M,1133
2340,Cm,0.5,0.227,M,1133
2340,Cn,-1.5,-2.899,F,1133
2340,Cn,-0.5,-1.054,F,1133
2340,Cn,0.5,-0.826,F,1133
2340,Cn,1.5,0.074,F,1133
2340,Cn,2.5,0.044,F,1133
2340,Co,0.5,-0.725,F,1133
2340,Co,1.5,0.403,F,1133
2340,Co,2.5,0.897,F,1133
2340,Cp,-1.5,-2.351,M,1133
2340,Cp,-0.5,-0.942,M,1133
2340,Cp,0.5,-1.555,M,1133
2340,Cp,1.5,-0.563,M,1133
2340,Cp,2.5,0.997,M,1133
2340,Cq,-1.5,-2.097,M,1133
2340,Cq,-0.5,-1.038,M,1133
2340,Cq,0.5,-0.105,M,1133
2340,Cr,-1.5,-1.038,F,1133
2340,Cr,-0.5,0.058,F,1133
2340,Cr,0.5,0.716,F,1133
2340,Cr,1.5,1.346,F,1133
2340,Cr,2.5,2.682,F,1133
2340,Cs,-0.5,-0.785,M,1133
2340,Cs,0.5,0.463,M,1133
2340,Cs,1.5,1.748,M,1133
2340,Ct,-1.5,-1.772,F,1133
2340,Ct,-0.5,-0.427,F,1133
2340,Ct,0.5,0.587,F,1133
2340,Cu,0.5,0.114,M,1133
2340,Cu,1.5,0.751,M,1133
2340,Cu,2.5,1.407,M,1133
2340,Cv,-0.5,-1.054,M,1133
2340,Cv,0.5,-0.419,M,1133
2340,Cv,1.5,0.632,M,1133
2340,Cv,2.5,1.098,M,1133
2340,Cw,-1.5,-1.616,F,1133
2340,Cw,-0.5,-0.574,F,1133
2340,Cw,0.5,0.716,F,1133
2340,Cw,1.5,0.573,F,1133
2340,Cw,2.5,1.679,F,1133
2340,Cx,-0.5,-2.596,M,1133
2340,Cx,0.5,-1.121,M,1133
2340,Cx,1.5,-1.424,M,1133
2340,Cx,2.5,-0.592,M,1133
2340,Cy,-1.5,-2.377,M,1133
2340,Cy,-0.5,-1.631,M,1133
2340,Cy,0.5,-1.34,M,1133
2340,Cz,-1.5,-2.097,F,1133
2340,Cz,-0.5,-0.574,F,1133
2340,Cz,0.5,-0.623,F,1133
2340,DA,-1.5,-2.288,M,1133
2340,DA,-0.5,-0.574,M,1133
2340,DA,0.5,0.003,M,1133
2340,DA,1.5,-0.616,M,1133
2340,DB,-1.5,-1.538,F,1133
2340,DB,-0.5,-1.541,F,1133
2340,DB,0.5,-1.03,F,1133
2340,DB,1.5,-0.403,F,1133
2340,DB,2.5,0.997,F,1133
2340,DC,-1.5,-4.055,M,1133
2340,DC,-0.5,-1.464,M,1133
2340,DC,0.5,0.003,M,1133
2340,DC,1.5,-0.945,M,1133
2340,DC,2.5,-0.17,M,1133
2340,DD,-1.5,-1.987,F,1133
2340,DD,-0.5,-1.689,F,1133
2340,DD,0.5,-0.522,F,1133
2340,DD,1.5,-0.192,F,1133
2340,DD,2.5,0.699,F,1133
2340,DE,-1.5,-2.732,F,1133
2340,DE,-0.5,-0.574,F,1133
2340,DE,0.5,-0.105,F,1133
2340,DE,1.5,1.202,F,1133
2340,DF,-1.5,-1.541,F,1133
2340,DF,-0.5,0.12,F,1133
2340,DF,0.5,1.146,F,1133
2340,DF,1.5,1.839,F,1133
2340,DF,2.5,2.445,F,1133
2340,DG,-1.5,-3.558,F,1133
2340,DG,-0.5,-1.218,F,1133
2340,DG,0.5,-1.34,F,1133
2340,DG,1.5,-0.834,F,1133
2340,DG,2.5,0.301,F,1133
2340,DH,-0.5,-2.032,F,1133
2340,DH,0.5,-1.778,F,1133
2340,DH,1.5,-0.391,F,1133
2340,DH,2.5,0.339,F,1133
2340,DI,-1.5,-2.413,M,1133
2340,DI,-0.5,-1.218,M,1133
2340,DI,0.5,0.343,M,1133
2340,DI,1.5,-0.509,M,1133
2340,DI,2.5,0.699,M,1133
2340,DJ,-1.5,-1.538,F,1133
2340,DJ,-0.5,-1.185,F,1133
2340,DJ,0.5,-0.419,F,1133
2340,DJ,1.5,0.128,F,1133
2340,DJ,2.5,0.65,F,1133
2340,DK,-1.5,-2.032,F,1133
2340,DK,-0.5,-1.13,F,1133
2340,DK,0.5,-1.03,F,1133
2340,DL,-1.5,-2.558,F,1133
2340,DL,-0.5,-1.616,F,1133
2340,DL,0.5,-0.211,F,1133
2340,DL,1.5,-1.002,F,1133
2340,DL,2.5,0.65,F,1133
