schoolNR,pupilNR,IQ_verb,IQ_perf,sex,Minority,repeatgr,aritPRET,classNR,aritPOST,langPRET,langPOST,ses,denomina,schoolSES,satiprin,natitest,meetings,currmeet,mixedgra,percmino,aritdiff,homework,classsiz,groupsiz,IQ_ver_cen,avg_IQ_ver_cen,grpSiz_cen
1,17014,10.5,13.0,0,Y,0,12.0,180.0,22.0,34.0,47.0,20.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-1.3340620900743332,-1.5140620900743331,5.8994315697420205
1,17015,10.0,8.66667,0,Y,0,9.0,180.0,15.0,31.0,33.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-1.8340620900743332,-1.5140620900743331,5.8994315697420205
1,17016,11.0,12.33333,0,N,0,13.0,180.0,21.0,32.0,37.0,20.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-0.8340620900743332,-1.5140620900743331,5.8994315697420205
1,17019,6.5,7.33333,1,N,0,9.0,180.0,13.0,23.0,29.0,13.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-5.334062090074333,-1.5140620900743331,5.8994315697420205
1,17020,4.0,9.33333,1,Y,1,9.0,180.0,12.0,20.0,26.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-7.834062090074333,-1.5140620900743331,5.8994315697420205
1,17021,11.0,6.66667,1,Y,0,7.0,180.0,11.0,27.0,37.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-0.8340620900743332,-1.5140620900743331,5.8994315697420205
1,17022,11.0,11.0,1,Y,0,16.0,180.0,23.0,31.0,40.0,15.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-0.8340620900743332,-1.5140620900743331,5.8994315697420205
1,17025,11.0,11.0,1,N,1,16.0,180.0,17.0,24.0,27.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-0.8340620900743332,-1.5140620900743331,5.8994315697420205
1,17026,12.5,10.0,1,N,0,9.0,180.0,16.0,35.0,43.0,13.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,0.6659379099256668,-1.5140620900743331,5.8994315697420205
1,17027,11.5,11.0,1,Y,0,14.0,180.0,24.0,32.0,39.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-0.3340620900743332,-1.5140620900743331,5.8994315697420205
1,17028,10.0,6.66667,1,Y,0,12.0,180.0,16.0,25.0,21.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-1.8340620900743332,-1.5140620900743331,5.8994315697420205
1,17029,10.0,9.33333,1,Y,0,17.0,180.0,11.0,33.0,42.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-1.8340620900743332,-1.5140620900743331,5.8994315697420205
2,27001,11.5,7.33333,1,N,1,3.0,280.0,6.0,22.0,21.0,15.0,1,11.0,3.0,0,1.6,1.66667,1,10.0,27.0,1.66667,19.0,9.0,-0.3340620900743332,-2.834062090074333,-14.10056843025798
2,27002,10.5,9.33333,0,N,0,4.0,280.0,8.0,33.0,27.0,15.0,1,11.0,3.0,0,1.6,1.66667,1,10.0,27.0,1.66667,19.0,9.0,-1.3340620900743332,-2.834062090074333,-14.10056843025798
2,27003,8.0,9.33333,0,N,0,11.0,280.0,9.0,22.0,16.0,20.0,1,11.0,3.0,0,1.6,1.66667,1,10.0,27.0,1.66667,19.0,9.0,-3.834062090074333,-2.834062090074333,-14.10056843025798
2,27004,7.5,7.66667,1,N,1,9.0,280.0,9.0,25.0,31.0,15.0,1,11.0,3.0,0,1.6,1.66667,1,10.0,27.0,1.66667,19.0,9.0,-4.334062090074333,-2.834062090074333,-14.10056843025798
2,27005,7.5,11.33333,0,Y,1,11.0,280.0,18.0,27.0,21.0,10.0,1,11.0,3.0,0,1.6,1.66667,1,10.0,27.0,1.66667,19.0,9.0,-4.334062090074333,-2.834062090074333,-14.10056843025798
2,27006,6.5,6.66667,1,N,0,9.0,280.0,5.0,23.0,18.0,23.0,1,11.0,3.0,0,1.6,1.66667,1,10.0,27.0,1.66667,19.0,9.0,-5.334062090074333,-2.834062090074333,-14.10056843025798
2,27007,11.5,12.66667,0,N,0,10.0,280.0,9.0,30.0,32.0,10.0,1,11.0,3.0,0,1.6,1.66667,1,10.0,27.0,1.66667,19.0,9.0,-0.3340620900743332,-2.834062090074333,-14.10056843025798
10,107201,10.5,8.66667,0,N,0,5.0,1082.0,14.0,26.0,28.0,15.0,1,15.0,3.0,0,2.6,2.66667,1,4.0,27.0,2.0,25.0,10.0,-1.3340620900743332,-1.3340620900743332,-13.10056843025798
10,107202,10.5,12.0,0,N,0,11.0,1082.0,22.0,25.0,33.0,20.0,1,15.0,3.0,0,2.6,2.66667,1,4.0,27.0,2.0,25.0,10.0,-1.3340620900743332,-1.3340620900743332,-13.10056843025798
10,107203,12.5,7.33333,1,N,0,10.0,1082.0,17.0,31.0,38.0,20.0,1,15.0,3.0,0,2.6,2.66667,1,4.0,27.0,2.0,25.0,10.0,0.6659379099256668,-1.3340620900743332,-13.10056843025798
10,107204,8.0,9.0,1,N,0,6.0,1082.0,8.0,20.0,14.0,10.0,1,15.0,3.0,0,2.6,2.66667,1,4.0,27.0,2.0,25.0,10.0,-3.834062090074333,-1.3340620900743332,-13.10056843025798
10,107206,11.0,8.33333,1,N,0,8.0,1082.0,10.0,30.0,39.0,33.0,1,15.0,3.0,0,2.6,2.66667,1,4.0,27.0,2.0,25.0,10.0,-0.8340620900743332,-1.3340620900743332,-13.10056843025798
12,127102,9.5,9.66667,0,N,0,8.0,1280.0,15.0,23.0,23.0,27.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-2.334062090074333,-2.400728756741,-3.1005684302579795
12,127103,10.5,11.33333,1,N,0,10.0,1280.0,16.0,33.0,43.0,33.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-1.3340620900743332,-2.400728756741,-3.1005684302579795
12,127104,8.5,12.0,1,N,0,7.0,1280.0,5.0,18.0,25.0,33.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-3.334062090074333,-2.400728756741,-3.1005684302579795
12,127105,7.5,7.33333,1,N,0,6.0,1280.0,3.0,25.0,24.0,28.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-4.334062090074333,-2.400728756741,-3.1005684302579795
12,127106,11.0,10.33333,1,N,0,8.0,1280.0,5.0,37.0,41.0,37.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-0.8340620900743332,-2.400728756741,-3.1005684302579795
12,127202,10.5,12.33333,0,N,0,11.0,1280.0,18.0,20.0,32.0,30.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-1.3340620900743332,-2.400728756741,-3.1005684302579795
12,127204,10.5,8.33333,0,N,0,9.0,1280.0,8.0,28.0,26.0,20.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-1.3340620900743332,-2.400728756741,-3.1005684302579795
12,127205,9.5,9.33333,0,N,0,9.0,1280.0,11.0,30.0,21.0,40.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-2.334062090074333,-2.400728756741,-3.1005684302579795
12,127206,10.0,11.66667,0,N,0,9.0,1280.0,10.0,29.0,37.0,20.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-1.8340620900743332,-2.400728756741,-3.1005684302579795
12,127207,11.5,11.33333,1,N,0,11.0,1280.0,12.0,23.0,30.0,17.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-0.3340620900743332,-2.400728756741,-3.1005684302579795
12,127208,9.5,9.66667,1,N,0,9.0,1280.0,6.0,33.0,41.0,20.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-2.334062090074333,-2.400728756741,-3.1005684302579795
12,127209,9.0,8.0,1,N,0,10.0,1280.0,5.0,25.0,31.0,50.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-2.834062090074333,-2.400728756741,-3.1005684302579795
12,127210,8.0,7.66667,1,N,0,8.0,1280.0,10.0,21.0,27.0,20.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-3.834062090074333,-2.400728756741,-3.1005684302579795
12,127212,7.5,7.0,1,N,0,9.0,1280.0,9.0,29.0,33.0,27.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-4.334062090074333,-2.400728756741,-3.1005684302579795
12,127213,8.5,6.33333,1,N,0,6.0,1280.0,11.0,27.0,29.0,40.0,1,20.0,3.14286,0,2.7,2.66667,1,5.0,17.0,1.33333,31.0,20.0,-3.334062090074333,-2.400728756741,-3.1005684302579795
15,157001,14.0,8.33333,0,N,0,11.0,1580.0,13.0,36.0,31.0,40.0,3,18.0,3.42857,0,1.9,2.0,1,25.0,21.0,2.0,35.0,11.0,2.165937909925667,-0.3340620900743332,-12.10056843025798
15,157002,8.5,7.33333,0,N,0,5.0,1580.0,9.0,18.0,18.0,20.0,3,18.0,3.42857,0,1.9,2.0,1,25.0,21.0,2.0,35.0,11.0,-3.334062090074333,-0.3340620900743332,-12.10056843025798
15,157003,13.0,15.33333,0,N,1,9.0,1580.0,18.0,30.0,37.0,40.0,3,18.0,3.42857,0,1.9,2.0,1,25.0,21.0,2.0,35.0,11.0,1.1659379099256668,-0.3340620900743332,-12.10056843025798
15,157006,10.5,10.66667,1,N,1,5.0,1580.0,11.0,35.0,22.0,25.0,3,18.0,3.42857,0,1.9,2.0,1,25.0,21.0,2.0,35.0,11.0,-1.3340620900743332,-0.3340620900743332,-12.10056843025798
15,157007,15.0,9.66667,1,N,0,16.0,1580.0,20.0,38.0,43.0,20.0,3,18.0,3.42857,0,1.9,2.0,1,25.0,21.0,2.0,35.0,11.0,3.165937909925667,-0.3340620900743332,-12.10056843025798
15,157008,9.0,6.33333,1,N,0,4.0,1580.0,6.0,15.0,9.0,30.0,3,18.0,3.42857,0,1.9,2.0,1,25.0,21.0,2.0,35.0,11.0,-2.834062090074333,-0.3340620900743332,-12.10056843025798
15,157009,10.0,15.0,0,N,0,18.0,1580.0,19.0,36.0,41.0,30.0,3,18.0,3.42857,0,1.9,2.0,1,25.0,21.0,2.0,35.0,11.0,-1.8340620900743332,-0.3340620900743332,-12.10056843025798
15,157010,12.0,12.66667,0,N,0,3.0,1580.0,24.0,37.0,46.0,20.0,3,18.0,3.42857,0,1.9,2.0,1,25.0,21.0,2.0,35.0,11.0,0.16593790992566682,-0.3340620900743332,-12.10056843025798
16,167002,11.0,12.0,0,N,1,14.0,1680.0,18.0,31.0,34.0,23.0,2,13.0,3.14286,0,2.11111,2.16667,1,0.0,19.0,1.66667,28.0,13.0,-0.8340620900743332,-0.14656209007433318,-10.10056843025798
16,167003,11.0,11.66667,1,N,0,12.0,1680.0,23.0,40.0,47.0,33.0,2,13.0,3.14286,0,2.11111,2.16667,1,0.0,19.0,1.66667,28.0,13.0,-0.8340620900743332,-0.14656209007433318,-10.10056843025798
16,167005,12.5,9.66667,0,N,0,14.0,1680.0,23.0,32.0,44.0,27.0,2,13.0,3.14286,0,2.11111,2.16667,1,0.0,19.0,1.66667,28.0,13.0,0.6659379099256668,-0.14656209007433318,-10.10056843025798
16,167006,13.0,16.33333,0,N,0,15.0,1680.0,22.0,44.0,50.0,27.0,2,13.0,3.14286,0,2.11111,2.16667,1,0.0,19.0,1.66667,28.0,13.0,1.1659379099256668,-0.14656209007433318,-10.10056843025798
16,167008,12.5,11.66667,0,N,0,7.0,1680.0,21.0,44.0,45.0,23.0,2,13.0,3.14286,0,2.11111,2.16667,1,0.0,19.0,1.66667,28.0,13.0,0.6659379099256668,-0.14656209007433318,-10.10056843025798
16,167010,11.0,9.66667,1,N,0,12.0,1680.0,14.0,41.0,43.0,30.0,2,13.0,3.14286,0,2.11111,2.16667,1,0.0,19.0,1.66667,28.0,13.0,-0.8340620900743332,-0.14656209007433318,-10.10056843025798
16,167011,11.5,6.66667,0,N,0,7.0,1680.0,8.0,32.0,34.0,35.0,2,13.0,3.14286,0,2.11111,2.16667,1,0.0,19.0,1.66667,28.0,13.0,-0.3340620900743332,-0.14656209007433318,-10.10056843025798
16,167012,11.0,9.66667,0,N,0,16.0,1680.0,19.0,32.0,35.0,37.0,2,13.0,3.14286,0,2.11111,2.16667,1,0.0,19.0,1.66667,28.0,13.0,-0.8340620900743332,-0.14656209007433318,-10.10056843025798
18,187001,9.5,8.66667,0,N,1,3.0,1880.0,8.0,24.0,22.0,23.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-2.334062090074333,-0.08406209007433318,4.8994315697420205
18,187002,9.5,9.66667,1,N,0,9.0,1880.0,11.0,30.0,27.0,15.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-2.334062090074333,-0.08406209007433318,4.8994315697420205
18,187003,15.0,11.33333,1,N,0,12.0,1880.0,20.0,46.0,45.0,50.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,3.165937909925667,-0.08406209007433318,4.8994315697420205
18,187004,11.5,10.0,1,N,0,13.0,1880.0,11.0,36.0,45.0,27.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-0.3340620900743332,-0.08406209007433318,4.8994315697420205
18,187005,13.0,12.33333,0,N,0,11.0,1880.0,15.0,30.0,38.0,35.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,1.1659379099256668,-0.08406209007433318,4.8994315697420205
18,187006,10.5,11.66667,0,N,0,7.0,1880.0,6.0,30.0,24.0,33.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-1.3340620900743332,-0.08406209007433318,4.8994315697420205
18,187007,13.0,9.33333,1,N,0,13.0,1880.0,16.0,41.0,50.0,25.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,1.1659379099256668,-0.08406209007433318,4.8994315697420205
18,187008,11.0,8.66667,0,N,0,10.0,1880.0,8.0,26.0,22.0,20.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-0.8340620900743332,-0.08406209007433318,4.8994315697420205
18,187009,14.0,13.66667,0,N,0,12.0,1880.0,20.0,37.0,43.0,30.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,2.165937909925667,-0.08406209007433318,4.8994315697420205
18,187010,13.5,12.66667,0,N,0,12.0,1880.0,16.0,38.0,28.0,28.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,1.6659379099256668,-0.08406209007433318,4.8994315697420205
18,187012,10.5,8.0,0,N,0,10.0,1880.0,7.0,35.0,38.0,33.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-1.3340620900743332,-0.08406209007433318,4.8994315697420205
18,187013,9.5,8.33333,0,N,0,7.0,1880.0,16.0,29.0,20.0,25.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-2.334062090074333,-0.08406209007433318,4.8994315697420205
18,187014,15.5,11.33333,0,N,0,9.0,1880.0,11.0,39.0,40.0,33.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,3.665937909925667,-0.08406209007433318,4.8994315697420205
18,187015,12.0,16.33333,0,N,0,14.0,1880.0,20.0,41.0,47.0,50.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,0.16593790992566682,-0.08406209007433318,4.8994315697420205
18,187016,11.0,11.66667,0,N,0,9.0,1880.0,6.0,29.0,20.0,15.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-0.8340620900743332,-0.08406209007433318,4.8994315697420205
18,187017,11.0,10.66667,1,N,0,6.0,1880.0,6.0,32.0,28.0,25.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-0.8340620900743332,-0.08406209007433318,4.8994315697420205
18,187018,13.0,10.33333,0,N,0,12.0,1880.0,14.0,38.0,33.0,50.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,1.1659379099256668,-0.08406209007433318,4.8994315697420205
18,187019,11.5,9.0,0,N,0,7.0,1880.0,7.0,16.0,21.0,30.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-0.3340620900743332,-0.08406209007433318,4.8994315697420205
18,187020,12.5,11.0,1,N,0,16.0,1880.0,26.0,41.0,44.0,38.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,0.6659379099256668,-0.08406209007433318,4.8994315697420205
18,187022,12.0,12.33333,0,N,0,9.0,1880.0,15.0,33.0,43.0,20.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,0.16593790992566682,-0.08406209007433318,4.8994315697420205
18,187023,10.0,11.66667,0,N,0,11.0,1880.0,6.0,29.0,18.0,35.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-1.8340620900743332,-0.08406209007433318,4.8994315697420205
18,187024,10.5,10.33333,1,N,0,11.0,1880.0,19.0,41.0,31.0,50.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-1.3340620900743332,-0.08406209007433318,4.8994315697420205
18,187025,11.5,7.0,1,N,0,8.0,1880.0,11.0,29.0,21.0,35.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-0.3340620900743332,-0.08406209007433318,4.8994315697420205
18,187027,11.0,12.33333,0,N,0,8.0,1880.0,15.0,34.0,41.0,35.0,1,20.0,4.0,0,1.2,1.16667,0,0.0,25.0,1.66667,28.0,28.0,-0.8340620900743332,-0.08406209007433318,4.8994315697420205
21,217001,14.5,13.33333,0,N,0,16.0,2180.0,30.0,34.0,48.0,20.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,2.665937909925667,-0.069356207721392,-4.1005684302579795
21,217002,13.0,11.0,1,N,0,11.0,2180.0,12.0,38.0,43.0,18.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,1.1659379099256668,-0.069356207721392,-4.1005684302579795
21,217004,8.5,13.33333,0,N,1,9.0,2180.0,14.0,27.0,32.0,18.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,-3.334062090074333,-0.069356207721392,-4.1005684302579795
21,217005,11.5,11.33333,0,N,0,10.0,2180.0,10.0,31.0,17.0,20.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,-0.3340620900743332,-0.069356207721392,-4.1005684302579795
21,217006,8.5,9.66667,0,N,0,4.0,2180.0,14.0,15.0,27.0,20.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,-3.334062090074333,-0.069356207721392,-4.1005684302579795
21,217007,13.0,9.0,0,N,0,13.0,2180.0,17.0,45.0,55.0,28.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,1.1659379099256668,-0.069356207721392,-4.1005684302579795
21,217008,12.5,10.0,1,N,0,9.0,2180.0,14.0,43.0,45.0,28.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,0.6659379099256668,-0.069356207721392,-4.1005684302579795
21,217009,13.5,8.66667,1,N,0,9.0,2180.0,12.0,34.0,36.0,18.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,1.6659379099256668,-0.069356207721392,-4.1005684302579795
21,217011,8.0,9.66667,0,N,1,10.0,2180.0,6.0,25.0,24.0,18.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,-3.834062090074333,-0.069356207721392,-4.1005684302579795
21,217012,9.0,10.66667,1,N,1,9.0,2180.0,11.0,30.0,35.0,18.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,-2.834062090074333,-0.069356207721392,-4.1005684302579795
21,217013,11.5,11.66667,0,N,0,12.0,2180.0,16.0,39.0,43.0,23.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,-0.3340620900743332,-0.069356207721392,-4.1005684302579795
21,217014,13.0,11.66667,1,N,0,15.0,2180.0,18.0,38.0,48.0,23.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,1.1659379099256668,-0.069356207721392,-4.1005684302579795
21,217015,14.5,11.0,1,N,0,11.0,2180.0,11.0,41.0,38.0,23.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,2.665937909925667,-0.069356207721392,-4.1005684302579795
21,217016,12.0,11.66667,0,N,0,11.0,2180.0,19.0,38.0,44.0,20.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,0.16593790992566682,-0.069356207721392,-4.1005684302579795
21,217017,12.0,12.66667,0,N,0,15.0,2180.0,27.0,44.0,47.0,18.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,0.16593790992566682,-0.069356207721392,-4.1005684302579795
21,217018,13.5,14.0,0,N,0,11.0,2180.0,23.0,38.0,36.0,23.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,1.6659379099256668,-0.069356207721392,-4.1005684302579795
21,217019,11.5,11.33333,1,N,0,10.0,2180.0,19.0,31.0,41.0,25.0,2,15.0,2.85714,0,1.8,1.66667,0,0.0,16.0,2.0,19.0,19.0,-0.3340620900743332,-0.069356207721392,-4.1005684302579795
24,247001,12.0,11.66667,0,N,1,18.0,2480.0,26.0,43.0,41.0,23.0,2,16.0,3.57143,0,2.7,2.83333,0,0.0,17.0,2.66667,35.0,35.0,0.16593790992566682,0.12427124325900014,11.89943156974202
24,247002,10.0,11.33333,1,N,0,9.0,2480.0,13.0,23.0,26.0,20.0,2,16.0,3.57143,0,2.7,2.83333,0,0.0,17.0,2.66667,35.0,35.0,-1.8340620900743332,0.12427124325900014,11.89943156974202
24,247003,14.0,9.33333,1,N,0,13.0,2480.0,16.0,47.0,52.0,20.0,2,16.0,3.57143,0,2.7,2.83333,0,0.0,17.0,2.66667,35.0,35.0,2.165937909925667,0.12427124325900014,11.89943156974202
24,247004,12.5,9.33333,0,N,0,15.0,2480.0,28.0,34.0,43.0,10.0,2,16.0,3.57143,0,2.7,2.83333,0,0.0,17.0,2.66667,35.0,35.0,0.6659379099256668,0.12427124325900014,11.89943156974202
24,247005,13.0,13.0,0,N,0,20.0,2480.0,29.0,43.0,54.0,20.0,2,16.0,3.57143,0,2.7,2.83333,0,0.0,17.0,2.66667,35.0,35.0,1.1659379099256668,0.12427124325900014,11.89943156974202
24,247006,11.5,7.66667,1,N,0,14.0,2480.0,29.0,33.0,49.0,30.0,2,16.0,3.57143,0,2.7,2.83333,0,0.0,17.0,2.66667,35.0,35.0,-0.3340620900743332,0.12427124325900014,11.89943156974202
24,247007,15.5,12.33333,0,N,0,16.0,2480.0,29.0,41.0,51.0,20.0,2,16.0,3.57143,0,2.7,2.83333,0,0.0,17.0,2.66667,35.0,35.0,3.665937909925667,0.12427124325900014,11.89943156974202
