Y,A,G,U
81.0,WI,WI/7,7.0
81.0,WI,WI/7,9.0
83.0,WI,WI/7,11.0
83.0,WI,WI/7,13.0
87.0,WI,WI/8,1.0
89.0,WI,WI/8,3.0
91.0,WI,WI/8,5.0
90.0,WI,WI/8,7.0
91.0,WI,WI/8,9.0
92.0,WI,WI/8,11.0
92.0,WI,WI/8,13.0
81.0,WI,WI/9,1.0
81.0,WI,WI/9,3.0
81.0,WI,WI/9,5.0
82.0,WI,WI/9,7.0
82.0,WI,WI/9,9.0
83.0,WI,WI/9,11.0
83.0,WI,WI/9,13.0
82.0,WI,WI/10,1.0
82.0,WI,WI/10,3.0
82.0,WI,WI/10,5.0
84.0,WI,WI/10,7.0
86.0,WI,WI/10,9.0
85.0,WI,WI/10,11.0
87.0,WI,WI/10,13.0
79.0,WI,WI/11,1.0
79.0,WI,WI/11,3.0
80.0,WI,WI/11,5.0
81.0,WI,WI/11,7.0
81.0,WI,WI/11,9.0
81.0,WI,WI/11,11.0
81.0,WI,WI/11,13.0
79.0,WI,WI/12,1.0
80.0,WI,WI/12,3.0
81.0,WI,WI/12,5.0
82.0,WI,WI/12,7.0
83.0,WI,WI/12,9.0
82.0,WI,WI/12,11.0
82.0,WI,WI/12,13.0
83.0,WI,WI/13,1.0
84.0,WI,WI/13,3.0
84.0,WI,WI/13,5.0
84.0,WI,WI/13,7.0
84.0,WI,WI/13,9.0
83.0,WI,WI/13,11.0
83.0,WI,WI/13,13.0
81.0,WI,WI/14,1.0
81.0,WI,WI/14,3.0
82.0,WI,WI/14,5.0
84.0,WI,WI/14,7.0
83.0,WI,WI/14,9.0
82.0,WI,WI/14,11.0
85.0,WI,WI/14,13.0
78.0,WI,WI/15,1.0
78.0,WI,WI/15,3.0
79.0,WI,WI/15,5.0
79.0,WI,WI/15,7.0
78.0,WI,WI/15,9.0
79.0,WI,WI/15,11.0
79.0,WI,WI/15,13.0
83.0,WI,WI/16,1.0
82.0,WI,WI/16,3.0
82.0,WI,WI/16,5.0
84.0,WI,WI/16,7.0
84.0,WI,WI/16,9.0
83.0,WI,WI/16,11.0
84.0,WI,WI/16,13.0
80.0,WI,WI/17,1.0
79.0,WI,WI/17,3.0
79.0,WI,WI/17,5.0
81.0,WI,WI/17,7.0
80.0,WI,WI/17,9.0
80.0,WI,WI/17,11.0
80.0,WI,WI/17,13.0
80.0,WI,WI/18,1.0
82.0,WI,WI/18,3.0
82.0,WI,WI/18,5.0
82.0,WI,WI/18,7.0
81.0,WI,WI/18,9.0
81.0,WI,WI/18,11.0
81.0,WI,WI/18,13.0
85.0,WI,WI/19,1.0
86.0,WI,WI/19,3.0
87.0,WI,WI/19,5.0
86.0,WI,WI/19,7.0
86.0,WI,WI/19,9.0
86.0,WI,WI/19,11.0
86.0,WI,WI/19,13.0
77.0,WI,WI/20,1.0
78.0,WI,WI/20,3.0
80.0,WI,WI/20,5.0
81.0,WI,WI/20,7.0
82.0,WI,WI/20,9.0
82.0,WI,WI/20,11.0
82.0,WI,WI/20,13.0
80.0,WI,WI/21,1.0
81.0,WI,WI/21,3.0
80.0,WI,WI/21,5.0
81.0,WI,WI/21,7.0
81.0,WI,WI/21,9.0
82.0,WI,WI/21,11.0
83.0,WI,WI/21,13.0
