U,Y,G
11.0,6.0,7
10.0,7.0,7
24.0,-10.0,7
24.0,-7.0,7
12.0,5.0,7
15.0,-4.0,7
14.0,-3.0,7
8.0,0.0,7
8.0,-2.0,7
16.0,14.0,7
16.0,-4.0,7
18.0,4.0,7
4.0,0.0,7
21.0,-15.0,7
21.0,-12.0,7
9.0,-5.0,8
14.0,-6.0,8
7.0,-1.0,8
13.0,-7.0,8
12.0,-5.0,8
4.0,10.0,8
17.0,-4.0,8
13.0,-7.0,8
16.0,5.0,9
17.0,10.0,9
30.0,0.0,9
19.0,10.0,9
17.0,-7.0,9
9.0,2.0,9
17.0,0.0,9
15.0,-8.0,9
12.0,10.0,9
14.0,-2.0,9
24.0,-11.0,9
24.0,1.0,9
6.0,4.0,9
15.0,-4.0,9
20.0,3.0,9
5.0,3.0,9
8.0,2.0,9
10.0,5.0,9
14.0,8.0,9
6.0,4.0,10
18.0,2.0,10
9.0,0.0,10
12.0,5.0,10
9.0,3.0,10
9.0,1.0,10
16.0,10.0,10
10.0,6.0,10
5.0,11.0,10
9.0,0.0,10
9.0,1.0,10
11.0,1.0,10
13.0,0.0,10
7.0,5.0,10
27.0,-4.0,10
8.0,-2.0,10
12.0,2.0,10
16.0,-7.0,10
14.0,5.0,11
8.0,4.0,11
11.0,4.0,11
16.0,4.0,11
8.0,2.0,11
11.0,7.0,11
6.0,0.0,11
9.0,4.0,11
12.0,3.0,11
27.0,1.0,11
11.0,2.0,11
10.0,-1.0,11
17.0,-2.0,11
10.0,-1.0,11
11.0,-1.0,12
15.0,4.0,12
7.0,-3.0,12
7.0,1.0,12
4.0,8.0,12
2.0,16.0,12
7.0,8.0,12
5.0,1.0,12
16.0,0.0,12
12.0,-5.0,12
19.0,-2.0,12
5.0,3.0,12
6.0,2.0,12
18.0,7.0,12
3.0,5.0,13
9.0,4.0,13
6.0,5.0,13
7.0,2.0,13
13.0,-7.0,13
8.0,3.0,13
7.0,7.0,13
6.0,3.0,13
9.0,1.0,13
7.0,1.0,13
9.0,5.0,13
8.0,5.0,13
7.0,6.0,13
22.0,2.0,14
9.0,16.0,14
18.0,7.0,14
27.0,6.0,14
28.0,8.0,14
14.0,7.0,14
13.0,0.0,14
21.0,11.0,14
20.0,5.0,14
22.0,5.0,14
19.0,3.0,14
13.0,15.0,14
20.0,3.0,14
24.0,2.0,14
32.0,4.0,14
17.0,0.0,14
17.0,11.0,14
12.0,13.0,14
19.0,3.0,14
8.0,7.0,15
17.0,7.0,15
20.0,-1.0,15
14.0,0.0,15
12.0,3.0,15
12.0,12.0,15
17.0,-8.0,15
16.0,12.0,15
26.0,-2.0,15
18.0,11.0,15
12.0,17.0,15
12.0,9.0,15
22.0,9.0,15
16.0,5.0,15
10.0,3.0,15
14.0,6.0,15
7.0,2.0,15
6.0,6.0,15
19.0,5.0,15
12.0,9.0,15
10.0,8.0,15
17.0,-3.0,15
9.0,3.0,16
13.0,10.0,16
8.0,2.0,16
8.0,5.0,16
21.0,10.0,16
12.0,1.0,16
12.0,2.0,16
27.0,6.0,16
10.0,6.0,16
28.0,3.0,16
15.0,7.0,16
16.0,3.0,16
13.0,9.0,16
24.0,12.0,16
11.0,11.0,16
15.0,4.0,16
19.0,8.0,16
10.0,-8.0,17
17.0,-10.0,17
6.0,-4.0,17
17.0,-6.0,17
16.0,-1.0,17
9.0,1.0,17
11.0,2.0,17
13.0,-3.0,17
9.0,4.0,17
4.0,2.0,17
6.0,1.0,17
15.0,-3.0,18
10.0,1.0,18
21.0,2.0,18
13.0,1.0,18
23.0,3.0,18
21.0,-7.0,18
31.0,-4.0,18
19.0,-4.0,18
11.0,1.0,18
5.0,6.0,19
12.0,2.0,19
11.0,4.0,19
14.0,9.0,19
8.0,1.0,19
16.0,1.0,19
16.0,4.0,19
8.0,4.0,19
11.0,1.0,19
9.0,0.0,19
4.0,6.0,19
13.0,8.0,19
13.0,1.0,19
12.0,-4.0,19
12.0,-2.0,19
16.0,2.0,19
14.0,9.0,19
16.0,5.0,19
13.0,-1.0,19
9.0,0.0,19
8.0,7.0,19
10.0,9.0,19
23.0,6.0,20
26.0,7.0,20
15.0,9.0,20
13.0,5.0,20
31.0,2.0,20
31.0,4.0,20
22.0,5.0,20
18.0,13.0,20
26.0,6.0,20
31.0,4.0,20
22.0,2.0,20
23.0,9.0,20
19.0,1.0,20
21.0,10.0,20
36.0,3.0,20
22.0,-2.0,20
21.0,6.0,20
15.0,5.0,20
8.0,2.0,21
12.0,-1.0,21
11.0,7.0,21
7.0,15.0,21
13.0,-5.0,21
12.0,-2.0,21
4.0,11.0,21
7.0,-1.0,21
12.0,0.0,21
7.0,3.0,21
4.0,7.0,21
8.0,3.0,21
8.0,5.0,21
21.0,-6.0,21
11.0,5.0,21
6.0,5.0,21
12.0,11.0,21
7.0,2.0,21
18.0,4.0,21
23.0,-7.0,22
34.0,-5.0,22
33.0,-1.0,22
30.0,-23.0,22
22.0,6.0,22
31.0,-22.0,22
32.0,6.0,22
30.0,5.0,22
26.0,6.0,22
33.0,3.0,22
22.0,1.0,22
26.0,-2.0,22
29.0,4.0,22
24.0,7.0,22
34.0,0.0,22
30.0,7.0,22
30.0,4.0,22
21.0,6.0,22
21.0,4.0,22
28.0,5.0,22
22.0,12.0,22
27.0,-3.0,22
16.0,9.0,22
36.0,2.0,22
26.0,-1.0,23
37.0,-1.0,23
25.0,-2.0,23
30.0,6.0,23
28.0,8.0,23
32.0,2.0,23
34.0,2.0,23
30.0,2.0,23
33.0,4.0,23
36.0,1.0,23
33.0,2.0,23
35.0,0.0,23
29.0,1.0,23
30.0,5.0,23
37.0,1.0,23
30.0,1.0,23
27.0,3.0,23
36.0,-2.0,23
27.0,8.0,23
30.0,1.0,23
26.0,9.0,23
32.0,-1.0,23
35.0,-2.0,23
33.0,3.0,23
27.0,7.0,23
28.0,4.0,23
34.0,3.0,23
32.0,6.0,23
27.0,6.0,23
34.0,3.0,23
26.0,7.0,24
18.0,10.0,24
26.0,8.0,24
7.0,17.0,24
29.0,8.0,24
33.0,-1.0,24
35.0,1.0,24
17.0,-9.0,24
32.0,-1.0,24
11.0,10.0,24
20.0,7.0,24
24.0,1.0,24
31.0,6.0,24
20.0,4.0,24
21.0,10.0,24
14.0,12.0,24
25.0,11.0,24
15.0,12.0,24
18.0,11.0,24
32.0,4.0,24
30.0,4.0,25
18.0,13.0,25
23.0,8.0,25
25.0,6.0,25
24.0,5.0,25
17.0,10.0,25
15.0,9.0,25
26.0,11.0,25
25.0,5.0,25
16.0,2.0,25
12.0,18.0,25
27.0,6.0,25
13.0,5.0,25
27.0,7.0,25
26.0,3.0,25
24.0,5.0,25
12.0,4.0,26
24.0,-1.0,26
15.0,-10.0,26
15.0,-1.0,26
9.0,7.0,26
26.0,-1.0,26
15.0,-1.0,26
11.0,1.0,26
18.0,1.0,26
16.0,3.0,26
8.0,0.0,26
14.0,7.0,26
15.0,1.0,26
5.0,10.0,26
9.0,5.0,26
21.0,-12.0,26
23.0,5.0,26
13.0,1.0,26
13.0,-1.0,26
17.0,7.0,26
16.0,5.0,26
14.0,5.0,27
18.0,7.0,27
22.0,0.0,27
20.0,1.0,27
9.0,9.0,27
16.0,4.0,27
19.0,3.0,27
22.0,6.0,27
22.0,8.0,27
24.0,4.0,27
9.0,11.0,27
22.0,4.0,27
19.0,4.0,27
19.0,4.0,27
19.0,6.0,27
11.0,6.0,27
7.0,5.0,27
12.0,8.0,27
16.0,7.0,27
12.0,1.0,27
7.0,2.0,27
6.0,15.0,27
10.0,0.0,27
19.0,-1.0,27
13.0,4.0,27
12.0,9.0,27
13.0,-3.0,27
14.0,9.0,27
21.0,2.0,27
22.0,5.0,28
11.0,4.0,28
18.0,6.0,28
19.0,4.0,28
23.0,1.0,28
12.0,-5.0,28
12.0,9.0,28
31.0,-2.0,28
9.0,8.0,28
31.0,4.0,28
17.0,4.0,28
20.0,7.0,28
28.0,8.0,28
11.0,0.0,28
11.0,14.0,28
25.0,6.0,28
18.0,-5.0,28
13.0,2.0,28
10.0,3.0,28
14.0,-3.0,28
15.0,-11.0,28
7.0,0.0,28
4.0,1.0,29
15.0,4.0,29
5.0,9.0,29
14.0,3.0,29
12.0,-1.0,29
8.0,10.0,29
19.0,4.0,29
8.0,7.0,29
15.0,11.0,29
20.0,-12.0,29
16.0,6.0,29
4.0,3.0,29
15.0,4.0,29
9.0,-3.0,29
7.0,-4.0,29
12.0,11.0,29
7.0,3.0,29
13.0,6.0,29
20.0,4.0,30
20.0,11.0,30
8.0,7.0,30
23.0,5.0,30
23.0,9.0,30
19.0,5.0,30
12.0,6.0,30
31.0,0.0,30
15.0,4.0,30
9.0,11.0,30
23.0,8.0,30
12.0,11.0,30
15.0,8.0,30
11.0,16.0,30
28.0,4.0,30
10.0,8.0,30
22.0,9.0,30
17.0,13.0,30
10.0,14.0,30
12.0,-2.0,31
10.0,22.0,31
21.0,-1.0,31
7.0,4.0,31
28.0,-13.0,31
12.0,19.0,31
15.0,13.0,31
9.0,17.0,31
12.0,-5.0,31
29.0,1.0,31
9.0,10.0,31
11.0,11.0,32
20.0,14.0,32
20.0,11.0,32
19.0,7.0,32
18.0,4.0,32
18.0,14.0,32
21.0,2.0,32
30.0,-3.0,32
21.0,9.0,32
14.0,11.0,32
22.0,4.0,32
9.0,16.0,32
21.0,7.0,32
9.0,3.0,32
12.0,4.0,32
17.0,5.0,32
23.0,6.0,33
13.0,7.0,33
33.0,0.0,33
23.0,2.0,33
23.0,7.0,33
28.0,3.0,33
27.0,2.0,33
11.0,1.0,33
19.0,6.0,33
31.0,0.0,33
14.0,3.0,33
11.0,-3.0,33
14.0,8.0,33
11.0,7.0,33
25.0,5.0,33
11.0,13.0,34
22.0,-7.0,34
16.0,15.0,34
17.0,11.0,34
7.0,24.0,34
28.0,-6.0,34
20.0,-7.0,34
11.0,8.0,34
15.0,3.0,35
23.0,4.0,35
33.0,2.0,35
17.0,3.0,35
21.0,-9.0,35
20.0,2.0,35
25.0,6.0,35
11.0,19.0,35
25.0,-1.0,35
19.0,13.0,35
29.0,9.0,35
28.0,5.0,35
9.0,2.0,35
18.0,11.0,36
21.0,11.0,36
11.0,14.0,36
6.0,16.0,36
10.0,-1.0,36
14.0,5.0,36
28.0,7.0,36
20.0,14.0,36
17.0,16.0,36
22.0,4.0,36
10.0,2.0,36
19.0,6.0,36
11.0,6.0,36
24.0,9.0,36
9.0,6.0,36
18.0,8.0,36
16.0,15.0,36
18.0,7.0,36
13.0,4.0,36
24.0,5.0,36
31.0,6.0,37
11.0,4.0,37
28.0,-6.0,37
17.0,13.0,37
21.0,5.0,37
23.0,7.0,37
10.0,-4.0,37
8.0,5.0,37
28.0,6.0,37
22.0,-6.0,37
19.0,6.0,37
27.0,0.0,37
15.0,5.0,37
18.0,9.0,37
27.0,3.0,37
25.0,-2.0,37
10.0,10.0,37
26.0,7.0,37
16.0,2.0,37
20.0,2.0,37
19.0,10.0,37
26.0,7.0,38
9.0,3.0,38
18.0,16.0,38
9.0,12.0,38
10.0,17.0,38
32.0,2.0,38
16.0,6.0,38
16.0,10.0,38
13.0,-3.0,38
15.0,14.0,38
17.0,-1.0,38
20.0,5.0,38
16.0,10.0,38
27.0,-3.0,38
28.0,2.0,38
19.0,0.0,38
16.0,0.0,38
16.0,11.0,39
15.0,1.0,39
30.0,2.0,39
36.0,-1.0,39
12.0,9.0,39
23.0,10.0,39
11.0,1.0,39
13.0,10.0,39
20.0,9.0,39
23.0,11.0,39
20.0,14.0,39
21.0,8.0,39
20.0,7.0,39
23.0,7.0,39
23.0,9.0,39
30.0,7.0,39
7.0,4.0,39
23.0,6.0,39
12.0,11.0,39
18.0,13.0,39
21.0,7.0,40
11.0,4.0,40
20.0,10.0,40
17.0,4.0,40
17.0,4.0,40
17.0,3.0,40
10.0,3.0,40
22.0,3.0,40
18.0,7.0,40
19.0,7.0,40
28.0,7.0,40
23.0,6.0,40
26.0,6.0,40
15.0,7.0,40
22.0,6.0,40
5.0,7.0,40
24.0,10.0,40
18.0,2.0,40
17.0,16.0,40
17.0,0.0,41
11.0,-4.0,41
26.0,4.0,41
17.0,6.0,41
17.0,9.0,41
26.0,2.0,41
19.0,-1.0,41
16.0,3.0,41
25.0,-1.0,41
20.0,-1.0,41
13.0,10.0,41
29.0,-2.0,41
23.0,1.0,41
28.0,7.0,41
25.0,8.0,41
24.0,1.0,41
23.0,11.0,41
21.0,2.0,42
18.0,5.0,42
8.0,5.0,42
13.0,5.0,42
30.0,4.0,42
17.0,7.0,42
24.0,5.0,42
26.0,8.0,42
19.0,5.0,42
17.0,-9.0,42
16.0,10.0,42
10.0,4.0,42
15.0,3.0,42
16.0,8.0,42
20.0,14.0,42
20.0,3.0,42
12.0,11.0,42
10.0,4.0,43
10.0,8.0,43
13.0,3.0,43
11.0,3.0,43
28.0,8.0,43
25.0,6.0,43
17.0,14.0,43
18.0,13.0,43
10.0,9.0,43
6.0,6.0,43
11.0,16.0,43
25.0,10.0,43
14.0,12.0,43
24.0,4.0,43
20.0,3.0,43
20.0,10.0,43
17.0,17.0,43
20.0,14.0,43
16.0,9.0,43
27.0,4.0,43
11.0,7.0,43
14.0,-4.0,44
13.0,4.0,44
19.0,2.0,44
8.0,11.0,44
14.0,5.0,44
18.0,8.0,44
13.0,2.0,44
11.0,2.0,44
7.0,7.0,44
11.0,2.0,44
12.0,7.0,44
12.0,8.0,44
9.0,3.0,44
28.0,4.0,44
15.0,5.0,44
11.0,7.0,44
14.0,-4.0,44
12.0,6.0,44
24.0,5.0,44
19.0,5.0,44
8.0,4.0,44
15.0,-6.0,44
9.0,18.0,44
13.0,3.0,44
22.0,4.0,44
24.0,8.0,44
16.0,9.0,44
12.0,3.0,44
9.0,-2.0,45
7.0,3.0,45
6.0,-2.0,45
11.0,-6.0,45
9.0,-2.0,45
6.0,2.0,45
3.0,3.0,45
18.0,5.0,45
15.0,-1.0,45
11.0,0.0,45
8.0,-1.0,45
10.0,7.0,45
6.0,-2.0,45
9.0,-2.0,45
8.0,5.0,45
10.0,1.0,45
8.0,2.0,45
6.0,-1.0,45
5.0,0.0,45
15.0,5.0,46
23.0,5.0,46
34.0,0.0,46
15.0,8.0,46
9.0,3.0,46
18.0,6.0,46
18.0,11.0,46
8.0,2.0,46
14.0,1.0,46
9.0,3.0,46
13.0,-4.0,46
25.0,7.0,46
16.0,4.0,46
12.0,1.0,46
7.0,6.0,46
16.0,1.0,46
23.0,1.0,46
14.0,-3.0,47
14.0,2.0,47
29.0,4.0,47
20.0,10.0,47
15.0,4.0,47
13.0,-3.0,47
8.0,0.0,47
26.0,-3.0,47
25.0,3.0,47
12.0,6.0,47
20.0,2.0,47
14.0,17.0,47
11.0,13.0,47
17.0,4.0,47
7.0,2.0,47
15.0,8.0,47
17.0,11.0,47
15.0,0.0,47
10.0,15.0,47
28.0,5.0,47
17.0,8.0,47
15.0,11.0,48
17.0,15.0,48
16.0,4.0,48
18.0,7.0,48
14.0,8.0,48
20.0,10.0,48
37.0,0.0,48
17.0,6.0,48
9.0,12.0,48
27.0,8.0,48
26.0,0.0,48
16.0,12.0,48
25.0,7.0,48
35.0,-2.0,48
22.0,12.0,48
30.0,1.0,48
27.0,10.0,48
26.0,0.0,48
29.0,1.0,48
19.0,6.0,48
24.0,11.0,48
28.0,4.0,48
29.0,7.0,48
14.0,8.0,48
16.0,12.0,49
24.0,5.0,49
15.0,5.0,49
25.0,-5.0,49
19.0,6.0,49
14.0,5.0,49
10.0,6.0,49
16.0,0.0,49
17.0,8.0,49
23.0,10.0,49
22.0,9.0,49
17.0,8.0,49
10.0,6.0,49
16.0,15.0,49
25.0,-2.0,49
7.0,10.0,49
14.0,5.0,49
12.0,9.0,49
23.0,3.0,49
16.0,2.0,49
16.0,1.0,49
25.0,8.0,49
10.0,13.0,49
21.0,-5.0,49
12.0,11.0,49
19.0,3.0,49
19.0,7.0,50
26.0,-3.0,50
31.0,4.0,50
26.0,4.0,50
27.0,2.0,50
19.0,11.0,50
22.0,7.0,50
22.0,10.0,50
21.0,11.0,50
29.0,6.0,50
14.0,8.0,50
15.0,3.0,50
31.0,3.0,50
22.0,1.0,50
19.0,5.0,50
33.0,-24.0,50
25.0,7.0,50
19.0,12.0,50
23.0,5.0,50
24.0,1.0,50
16.0,10.0,50
30.0,4.0,50
29.0,4.0,50
23.0,4.0,50
30.0,4.0,50
16.0,12.0,50
23.0,10.0,50
25.0,6.0,50
19.0,9.0,50
28.0,4.0,50
20.0,-4.0,50
21.0,12.0,50
26.0,2.0,50
27.0,-1.0,50
23.0,0.0,50
9.0,2.0,51
12.0,4.0,51
18.0,9.0,51
27.0,2.0,51
11.0,-5.0,51
8.0,4.0,51
11.0,7.0,51
25.0,1.0,51
11.0,-1.0,51
11.0,1.0,51
15.0,5.0,51
22.0,2.0,51
14.0,9.0,51
13.0,2.0,51
9.0,2.0,51
10.0,-1.0,51
13.0,3.0,51
15.0,3.0,51
13.0,10.0,51
19.0,10.0,51
27.0,7.0,51
21.0,5.0,52
35.0,-2.0,52
28.0,-2.0,52
7.0,7.0,52
15.0,5.0,52
18.0,-2.0,52
8.0,3.0,52
28.0,1.0,52
12.0,9.0,52
17.0,8.0,52
25.0,2.0,52
10.0,-2.0,52
17.0,6.0,52
9.0,5.0,52
15.0,4.0,52
30.0,0.0,52
22.0,-1.0,52
17.0,0.0,52
25.0,1.0,52
22.0,-3.0,52
26.0,4.0,53
17.0,1.0,53
16.0,4.0,53
27.0,8.0,53
14.0,9.0,53
24.0,-1.0,53
17.0,10.0,53
25.0,9.0,53
36.0,2.0,53
18.0,5.0,53
27.0,2.0,53
17.0,8.0,53
13.0,11.0,53
22.0,3.0,53
24.0,7.0,53
11.0,6.0,53
25.0,4.0,53
17.0,13.0,53
23.0,1.0,53
16.0,6.0,53
11.0,11.0,53
11.0,7.0,53
23.0,8.0,54
22.0,11.0,54
18.0,15.0,54
31.0,2.0,54
27.0,6.0,54
16.0,12.0,54
31.0,3.0,54
22.0,15.0,54
28.0,8.0,54
23.0,8.0,54
29.0,1.0,54
22.0,8.0,54
30.0,4.0,54
24.0,5.0,54
29.0,-20.0,54
27.0,6.0,54
28.0,6.0,54
24.0,12.0,54
10.0,8.0,55
10.0,11.0,55
9.0,6.0,55
18.0,9.0,55
19.0,3.0,55
12.0,13.0,55
10.0,13.0,55
14.0,7.0,55
6.0,15.0,55
21.0,9.0,55
14.0,4.0,55
12.0,9.0,55
14.0,14.0,55
21.0,10.0,55
6.0,6.0,55
17.0,9.0,55
11.0,11.0,55
12.0,10.0,55
12.0,6.0,55
11.0,8.0,55
18.0,9.0,55
16.0,10.0,56
27.0,8.0,56
21.0,6.0,56
20.0,9.0,56
30.0,1.0,56
23.0,7.0,56
18.0,10.0,56
31.0,6.0,56
15.0,10.0,56
9.0,6.0,56
22.0,12.0,56
21.0,1.0,56
13.0,14.0,56
26.0,6.0,56
16.0,10.0,56
26.0,6.0,56
29.0,5.0,56
24.0,10.0,56
18.0,11.0,56
21.0,0.0,56
21.0,0.0,56
25.0,7.0,56
9.0,2.0,57
10.0,1.0,57
15.0,1.0,57
10.0,-1.0,57
17.0,-5.0,57
5.0,8.0,57
10.0,10.0,57
12.0,3.0,57
6.0,1.0,57
10.0,6.0,57
11.0,5.0,57
7.0,3.0,58
6.0,9.0,58
7.0,0.0,58
8.0,0.0,58
10.0,-4.0,58
15.0,-2.0,58
7.0,0.0,58
7.0,8.0,58
8.0,0.0,58
10.0,3.0,58
7.0,0.0,58
9.0,-2.0,58
9.0,1.0,58
4.0,6.0,58
3.0,6.0,58
12.0,-7.0,58
5.0,6.0,58
4.0,6.0,58
7.0,-5.0,59
3.0,6.0,59
10.0,-5.0,59
8.0,-7.0,59
14.0,-13.0,59
10.0,-2.0,59
9.0,3.0,59
9.0,5.0,60
8.0,11.0,60
16.0,4.0,60
17.0,16.0,60
11.0,5.0,60
8.0,6.0,60
23.0,9.0,60
10.0,6.0,60
15.0,-10.0,60
16.0,-3.0,60
19.0,2.0,60
8.0,9.0,60
18.0,3.0,60
18.0,14.0,60
15.0,-2.0,60
18.0,10.0,60
10.0,20.0,60
18.0,-4.0,60
12.0,6.0,60
10.0,0.0,60
23.0,13.0,60
19.0,1.0,60
18.0,12.0,60
10.0,12.0,60
26.0,2.0,60
13.0,-2.0,60
17.0,2.0,61
18.0,11.0,61
15.0,5.0,61
10.0,14.0,61
17.0,7.0,61
20.0,0.0,61
18.0,2.0,61
10.0,-5.0,61
12.0,8.0,61
14.0,6.0,61
12.0,-5.0,61
10.0,12.0,61
14.0,15.0,61
13.0,4.0,61
11.0,6.0,61
14.0,0.0,61
16.0,11.0,61
19.0,7.0,61
16.0,14.0,61
10.0,4.0,62
6.0,-2.0,62
5.0,1.0,62
3.0,3.0,62
4.0,-4.0,62
12.0,-8.0,62
6.0,-1.0,62
28.0,4.0,63
24.0,1.0,63
24.0,12.0,63
23.0,0.0,63
23.0,-1.0,63
25.0,5.0,63
30.0,-11.0,63
30.0,-3.0,63
34.0,-3.0,63
34.0,0.0,63
33.0,3.0,63
24.0,4.0,63
27.0,-12.0,63
25.0,1.0,63
16.0,6.0,63
31.0,-4.0,63
25.0,-5.0,63
22.0,4.0,63
15.0,2.0,63
19.0,-1.0,63
27.0,6.0,63
17.0,-5.0,63
24.0,-3.0,63
31.0,-14.0,63
37.0,-9.0,63
11.0,-1.0,64
7.0,-3.0,64
16.0,4.0,64
16.0,3.0,64
11.0,-4.0,64
13.0,8.0,64
10.0,10.0,64
23.0,1.0,64
10.0,7.0,64
11.0,-5.0,64
13.0,-1.0,64
11.0,2.0,64
15.0,-1.0,64
23.0,3.0,64
18.0,-13.0,64
25.0,-2.0,64
16.0,9.0,64
14.0,-1.0,64
6.0,0.0,65
14.0,-1.0,65
14.0,9.0,65
14.0,-4.0,65
19.0,-1.0,65
11.0,-4.0,65
19.0,0.0,65
7.0,2.0,65
2.0,0.0,65
13.0,4.0,65
8.0,6.0,65
11.0,2.0,65
5.0,0.0,65
6.0,0.0,65
8.0,1.0,65
12.0,-2.0,65
10.0,2.0,65
13.0,8.0,66
16.0,13.0,66
15.0,0.0,66
18.0,3.0,66
17.0,4.0,66
11.0,12.0,66
15.0,4.0,66
12.0,2.0,66
16.0,14.0,66
14.0,5.0,66
15.0,8.0,66
17.0,6.0,66
16.0,4.0,66
15.0,11.0,66
13.0,7.0,66
11.0,6.0,66
12.0,5.0,66
15.0,2.0,66
13.0,6.0,67
7.0,5.0,67
6.0,3.0,67
14.0,1.0,67
12.0,2.0,67
16.0,4.0,67
16.0,-5.0,67
6.0,-1.0,67
14.0,-4.0,67
8.0,5.0,67
14.0,6.0,68
16.0,-4.0,68
13.0,-4.0,68
6.0,5.0,68
9.0,1.0,68
12.0,5.0,68
15.0,5.0,68
18.0,8.0,68
14.0,2.0,68
13.0,0.0,68
12.0,5.0,68
15.0,10.0,68
14.0,13.0,68
27.0,4.0,68
9.0,9.0,68
12.0,3.0,68
12.0,2.0,68
8.0,1.0,69
8.0,0.0,69
7.0,18.0,69
10.0,10.0,69
12.0,4.0,69
7.0,5.0,69
6.0,13.0,69
11.0,15.0,69
12.0,13.0,69
17.0,4.0,69
9.0,6.0,69
8.0,16.0,69
15.0,13.0,69
9.0,7.0,69
11.0,4.0,69
9.0,4.0,69
6.0,-2.0,70
13.0,-3.0,70
4.0,2.0,70
7.0,2.0,70
9.0,4.0,70
5.0,0.0,70
6.0,5.0,70
8.0,-1.0,70
6.0,0.0,70
16.0,6.0,71
9.0,1.0,71
22.0,10.0,71
19.0,4.0,71
18.0,-1.0,71
18.0,-14.0,71
13.0,5.0,71
10.0,-1.0,71
13.0,-3.0,71
19.0,6.0,71
25.0,0.0,71
19.0,-10.0,71
13.0,4.0,71
8.0,3.0,71
13.0,-8.0,71
17.0,2.0,71
26.0,-6.0,71
18.0,2.0,71
21.0,1.0,71
10.0,1.0,71
17.0,7.0,71
10.0,0.0,71
18.0,-3.0,71
9.0,6.0,72
13.0,1.0,72
11.0,-4.0,72
15.0,15.0,72
11.0,2.0,72
17.0,5.0,72
16.0,10.0,72
19.0,11.0,72
22.0,9.0,72
13.0,16.0,72
8.0,19.0,72
9.0,14.0,72
23.0,10.0,72
18.0,14.0,72
14.0,7.0,72
12.0,5.0,72
15.0,21.0,72
17.0,11.0,72
21.0,11.0,73
13.0,6.0,73
8.0,12.0,73
17.0,16.0,73
18.0,18.0,73
17.0,11.0,73
15.0,11.0,73
7.0,19.0,73
17.0,16.0,73
19.0,4.0,73
6.0,16.0,73
15.0,16.0,73
14.0,5.0,73
14.0,11.0,73
21.0,5.0,73
11.0,17.0,73
6.0,11.0,73
20.0,10.0,74
25.0,6.0,74
12.0,1.0,74
13.0,-1.0,74
15.0,10.0,74
19.0,4.0,74
8.0,6.0,74
9.0,20.0,74
26.0,7.0,74
24.0,6.0,74
16.0,10.0,74
6.0,7.0,74
7.0,3.0,74
24.0,7.0,74
10.0,3.0,74
9.0,13.0,74
13.0,7.0,74
19.0,9.0,74
17.0,11.0,74
21.0,11.0,75
18.0,6.0,75
