U,Y,G,A,V,H
-16.0,4.0,7,F,20.0,6
5.0,6.0,7,F,0.0,19
17.0,10.0,7,F,0.0,19
2.0,7.0,7,M,20.0,19
11.0,5.0,7,F,31.0,18
-23.0,2.0,8,M,0.0,9
-16.0,4.0,8,F,31.0,9
-4.0,3.0,8,M,20.0,9
-16.0,2.0,8,M,0.0,9
-12.0,1.0,8,F,0.0,9
-5.0,5.0,8,M,0.0,1
-28.0,2.0,8,M,0.0,9
-14.0,4.0,8,F,20.0,9
2.0,9.0,8,M,31.0,9
0.0,2.0,8,F,31.0,9
-4.0,6.0,8,F,0.0,9
5.0,2.0,8,F,0.0,9
-19.0,1.0,8,F,0.0,19
5.0,9.0,8,F,0.0,9
-24.0,2.0,8,M,0.0,9
-1.0,8.0,9,F,0.0,19
-25.0,2.0,9,F,1.0,6
-22.0,2.0,9,F,0.0,19
-23.0,2.0,9,M,0.0,19
8.0,8.0,9,F,0.0,19
4.0,8.0,9,F,0.0,19
5.0,7.0,9,F,0.0,19
-17.0,3.0,9,M,20.0,19
-18.0,1.0,9,M,0.0,3
13.0,10.0,9,F,0.0,19
-6.0,5.0,9,M,20.0,19
-12.0,3.0,9,F,0.0,19
-30.0,1.0,9,M,0.0,19
2.0,6.0,9,F,0.0,19
-7.0,3.0,9,M,0.0,19
-1.0,6.0,9,M,0.0,18
8.0,9.0,9,M,0.0,18
-30.0,2.0,9,M,0.0,19
12.0,3.0,9,M,0.0,19
-15.0,2.0,9,M,0.0,19
-20.0,3.0,9,F,0.0,19
-23.0,4.0,9,F,0.0,19
7.0,6.0,9,F,0.0,19
-2.0,10.0,9,M,20.0,19
-18.0,3.0,9,M,0.0,19
-18.0,4.0,9,F,20.0,19
3.0,4.0,9,M,0.0,19
11.0,6.0,9,F,0.0,17
-5.0,3.0,9,M,0.0,19
-1.0,5.0,9,M,0.0,19
23.0,10.0,9,F,0.0,19
-17.0,2.0,9,F,0.0,19
-9.0,2.0,9,M,0.0,1
-14.0,2.0,10,M,20.0,8
-23.0,2.0,10,M,0.0,8
3.0,10.0,10,F,20.0,8
-4.0,7.0,10,F,0.0,8
-7.0,2.0,10,F,0.0,8
-5.0,7.0,10,F,20.0,8
-19.0,2.0,10,M,0.0,8
-8.0,6.0,10,F,0.0,8
-25.0,2.0,10,F,0.0,10
-23.0,2.0,10,F,0.0,8
-5.0,3.0,10,M,0.0,8
-26.0,2.0,10,M,0.0,8
29.0,10.0,10,F,20.0,8
-7.0,5.0,10,F,0.0,8
32.0,10.0,10,M,31.0,8
-14.0,2.0,10,M,0.0,8
-19.0,2.0,10,M,0.0,8
-4.0,7.0,10,F,0.0,8
14.0,9.0,11,M,0.0,1
-28.0,2.0,11,M,31.0,1
-12.0,4.0,11,F,0.0,1
-30.0,2.0,11,F,0.0,1
-30.0,3.0,11,F,0.0,1
29.0,10.0,11,M,0.0,1
3.0,1.0,11,M,0.0,1
10.0,10.0,11,M,0.0,1
10.0,7.0,11,F,20.0,1
4.0,8.0,11,F,20.0,1
-14.0,2.0,11,M,0.0,1
1.0,8.0,11,F,0.0,1
-4.0,5.0,11,M,0.0,1
-19.0,2.0,11,M,0.0,1
16.0,8.0,12,F,20.0,2
-10.0,5.0,12,M,0.0,2
-24.0,3.0,12,F,0.0,2
0.0,6.0,12,M,0.0,2
-5.0,2.0,12,F,0.0,3
-19.0,4.0,12,F,0.0,2
-16.0,2.0,12,F,0.0,2
3.0,5.0,12,M,20.0,2
-14.0,5.0,12,F,0.0,2
-16.0,2.0,12,M,0.0,2
-21.0,5.0,12,F,0.0,2
-10.0,3.0,12,F,0.0,2
-5.0,3.0,12,M,0.0,2
4.0,4.0,12,F,0.0,2
0.0,4.0,12,F,0.0,2
1.0,6.0,12,M,0.0,2
-18.0,2.0,12,M,0.0,2
9.0,10.0,12,F,0.0,2
6.0,8.0,12,F,0.0,2
-20.0,2.0,12,F,0.0,2
1.0,7.0,13,F,20.0,4
23.0,9.0,13,F,0.0,4
-9.0,5.0,13,M,0.0,4
9.0,10.0,13,M,0.0,4
20.0,9.0,13,F,0.0,4
26.0,10.0,13,M,20.0,4
16.0,10.0,13,F,20.0,4
2.0,9.0,13,F,0.0,4
-10.0,7.0,13,M,0.0,4
-4.0,4.0,13,F,0.0,4
8.0,10.0,13,M,0.0,4
10.0,10.0,13,M,20.0,4
-1.0,5.0,13,F,20.0,4
3.0,6.0,13,M,20.0,4
5.0,4.0,13,F,0.0,4
8.0,2.0,13,F,0.0,4
-11.0,2.0,13,F,20.0,4
9.0,10.0,13,F,20.0,4
4.0,9.0,13,M,20.0,4
5.0,6.0,13,F,31.0,4
23.0,10.0,13,F,20.0,4
13.0,5.0,13,F,20.0,4
2.0,3.0,13,F,31.0,4
19.0,10.0,13,F,31.0,4
11.0,10.0,13,M,1.0,4
-19.0,3.0,13,M,20.0,4
-21.0,3.0,13,F,0.0,4
-6.0,2.0,14,M,0.0,2
-4.0,4.0,14,M,0.0,2
0.0,6.0,14,M,20.0,2
-1.0,6.0,14,F,0.0,6
3.0,6.0,14,F,0.0,2
-20.0,3.0,14,F,0.0,4
11.0,10.0,14,F,20.0,2
10.0,6.0,14,F,0.0,2
6.0,5.0,14,M,0.0,2
13.0,10.0,14,F,0.0,2
8.0,7.0,14,F,0.0,6
-11.0,2.0,14,M,0.0,2
16.0,6.0,14,F,20.0,2
-4.0,4.0,14,F,0.0,2
14.0,9.0,14,F,20.0,2
-7.0,6.0,14,F,0.0,2
-4.0,4.0,14,M,0.0,2
14.0,3.0,14,F,0.0,2
16.0,10.0,14,F,0.0,6
2.0,7.0,14,M,0.0,2
7.0,9.0,14,M,31.0,2
16.0,9.0,14,M,20.0,2
18.0,10.0,14,F,20.0,2
-10.0,4.0,14,M,0.0,2
-10.0,9.0,14,F,20.0,2
-29.0,2.0,14,M,0.0,2
-14.0,2.0,14,M,0.0,2
2.0,3.0,14,F,0.0,2
16.0,8.0,14,M,20.0,2
-20.0,5.0,14,M,0.0,2
6.0,10.0,14,M,1.0,2
-12.0,4.0,14,F,20.0,2
-2.0,5.0,14,M,0.0,2
18.0,10.0,14,M,20.0,2
-23.0,2.0,14,M,0.0,15
0.0,9.0,14,F,0.0,2
11.0,3.0,14,M,0.0,2
-8.0,7.0,14,M,0.0,2
-2.0,7.0,14,F,0.0,2
4.0,10.0,14,F,0.0,2
4.0,10.0,14,F,20.0,2
7.0,10.0,14,M,0.0,2
15.0,9.0,14,M,0.0,2
-23.0,2.0,15,M,0.0,4
-10.0,6.0,15,F,0.0,4
-9.0,4.0,15,F,0.0,4
4.0,8.0,15,M,0.0,4
7.0,8.0,15,M,0.0,4
-25.0,2.0,15,M,1.0,4
2.0,9.0,15,M,0.0,4
-8.0,4.0,15,M,0.0,4
-17.0,6.0,15,M,0.0,4
-1.0,4.0,15,M,0.0,4
-10.0,4.0,15,M,0.0,4
-23.0,6.0,15,M,31.0,4
-6.0,2.0,15,F,0.0,4
7.0,10.0,15,F,31.0,4
2.0,5.0,15,M,0.0,4
14.0,10.0,15,M,0.0,4
8.0,8.0,15,F,0.0,4
-25.0,2.0,15,M,0.0,4
8.0,6.0,15,M,0.0,4
8.0,9.0,15,F,0.0,4
7.0,8.0,15,F,31.0,4
0.0,2.0,15,F,20.0,4
12.0,9.0,15,M,20.0,4
-6.0,4.0,15,F,0.0,4
-8.0,6.0,15,F,0.0,4
16.0,10.0,15,F,0.0,4
-22.0,3.0,15,F,0.0,4
-17.0,5.0,15,F,0.0,4
11.0,10.0,15,M,31.0,4
4.0,5.0,15,F,20.0,4
2.0,6.0,15,F,0.0,6
-2.0,5.0,16,F,0.0,7
-8.0,2.0,16,M,0.0,3
10.0,3.0,16,F,0.0,3
13.0,6.0,16,F,0.0,7
-30.0,2.0,16,F,0.0,7
15.0,4.0,16,M,0.0,7
15.0,6.0,16,F,0.0,7
19.0,10.0,16,F,1.0,7
-4.0,10.0,16,M,0.0,7
29.0,10.0,16,M,0.0,7
-30.0,3.0,16,F,0.0,7
2.0,4.0,16,F,0.0,7
-2.0,2.0,16,M,0.0,7
8.0,5.0,16,M,0.0,7
16.0,4.0,16,F,0.0,7
6.0,6.0,16,M,20.0,7
-30.0,2.0,16,M,0.0,7
-24.0,2.0,16,F,0.0,7
9.0,7.0,16,F,0.0,7
-9.0,2.0,16,M,20.0,7
-2.0,9.0,16,F,0.0,7
0.0,2.0,16,M,0.0,7
-1.0,3.0,16,M,1.0,7
10.0,10.0,16,F,0.0,7
7.0,3.0,16,M,0.0,7
-8.0,2.0,16,M,0.0,7
16.0,10.0,16,F,0.0,7
-30.0,2.0,16,F,0.0,7
6.0,3.0,16,F,0.0,7
-2.0,4.0,16,F,0.0,7
-7.0,3.0,16,M,0.0,7
16.0,10.0,16,F,1.0,7
-5.0,6.0,16,F,0.0,7
11.0,10.0,16,F,20.0,7
-18.0,4.0,16,M,0.0,7
-4.0,10.0,16,M,20.0,7
-2.0,7.0,16,M,0.0,2
-4.0,3.0,16,F,0.0,7
-7.0,4.0,16,F,20.0,7
8.0,7.0,17,M,20.0,4
5.0,4.0,17,F,0.0,4
-29.0,2.0,17,M,0.0,4
-1.0,7.0,17,F,0.0,4
-2.0,9.0,17,M,0.0,4
-25.0,2.0,17,F,0.0,4
5.0,9.0,17,M,20.0,4
2.0,10.0,17,F,0.0,4
23.0,10.0,17,M,0.0,4
35.0,9.0,17,M,31.0,4
6.0,10.0,17,F,0.0,4
6.0,8.0,17,F,20.0,4
-30.0,3.0,17,M,0.0,4
0.0,5.0,17,M,20.0,4
0.0,6.0,17,F,20.0,4
0.0,9.0,17,M,0.0,4
-1.0,6.0,17,M,0.0,4
0.0,5.0,17,M,1.0,4
22.0,10.0,17,M,31.0,4
-9.0,2.0,17,F,0.0,4
-15.0,6.0,17,M,1.0,4
3.0,7.0,17,M,31.0,4
-9.0,4.0,17,M,20.0,4
-15.0,2.0,17,M,0.0,4
-2.0,4.0,17,M,31.0,4
0.0,4.0,17,M,0.0,4
12.0,10.0,17,F,1.0,4
-14.0,2.0,17,F,0.0,4
34.0,10.0,17,M,0.0,4
17.0,9.0,17,M,0.0,4
6.0,8.0,17,M,20.0,6
6.0,8.0,17,F,0.0,4
10.0,10.0,17,M,31.0,4
25.0,10.0,17,M,0.0,4
7.0,10.0,17,M,0.0,4
-6.0,9.0,17,M,0.0,4
-25.0,2.0,17,M,31.0,4
-21.0,2.0,18,M,20.0,3
-22.0,2.0,18,M,0.0,3
9.0,7.0,18,F,20.0,4
1.0,6.0,18,F,0.0,3
-17.0,2.0,18,F,0.0,3
-10.0,5.0,18,F,0.0,3
0.0,7.0,18,F,0.0,3
-28.0,1.0,18,F,0.0,3
-15.0,2.0,18,F,0.0,3
-1.0,2.0,18,M,0.0,3
-2.0,7.0,18,M,0.0,3
-21.0,4.0,18,F,0.0,4
-10.0,2.0,18,M,31.0,3
-12.0,3.0,18,M,0.0,3
8.0,10.0,18,M,20.0,3
-9.0,5.0,18,F,0.0,3
4.0,5.0,18,F,0.0,3
-19.0,2.0,18,F,0.0,8
-10.0,4.0,18,M,20.0,3
-6.0,7.0,18,M,0.0,3
-10.0,3.0,18,F,0.0,4
-29.0,3.0,18,F,0.0,3
12.0,9.0,18,F,0.0,4
-6.0,10.0,18,F,20.0,3
-4.0,9.0,18,M,0.0,3
-6.0,5.0,18,M,0.0,3
-17.0,2.0,18,F,0.0,3
9.0,10.0,18,F,0.0,3
0.0,2.0,18,M,0.0,3
10.0,10.0,18,F,20.0,12
-7.0,4.0,18,M,0.0,3
-11.0,5.0,18,F,20.0,3
3.0,10.0,18,F,0.0,3
2.0,5.0,19,F,0.0,3
2.0,6.0,19,F,31.0,3
-4.0,6.0,19,M,31.0,3
-12.0,2.0,19,M,0.0,3
0.0,3.0,19,M,20.0,4
6.0,10.0,19,M,20.0,3
15.0,5.0,19,F,20.0,3
6.0,9.0,19,M,31.0,3
-11.0,7.0,19,M,0.0,3
15.0,10.0,19,F,1.0,3
23.0,10.0,19,F,0.0,3
11.0,10.0,19,M,31.0,3
2.0,9.0,19,F,31.0,3
5.0,10.0,19,F,0.0,3
-5.0,7.0,19,F,31.0,3
-6.0,5.0,19,F,20.0,3
6.0,10.0,19,F,0.0,3
-28.0,2.0,19,M,20.0,3
0.0,2.0,19,M,0.0,3
-12.0,3.0,19,F,20.0,3
13.0,10.0,19,F,20.0,3
0.0,9.0,19,M,20.0,3
2.0,6.0,19,M,20.0,3
10.0,10.0,19,F,20.0,3
4.0,1.0,19,F,0.0,3
-11.0,4.0,19,F,0.0,3
-4.0,5.0,19,F,20.0,3
-2.0,6.0,19,F,20.0,3
-7.0,7.0,19,M,0.0,3
16.0,10.0,19,M,0.0,3
10.0,4.0,19,F,0.0,3
10.0,8.0,19,F,20.0,3
-22.0,1.0,20,F,31.0,4
2.0,5.0,20,M,0.0,2
2.0,10.0,20,M,0.0,2
-12.0,4.0,20,M,0.0,2
-9.0,2.0,20,M,0.0,2
-10.0,4.0,20,F,0.0,2
9.0,10.0,20,M,0.0,2
8.0,7.0,20,M,0.0,2
-15.0,2.0,20,M,0.0,2
10.0,6.0,20,M,0.0,2
5.0,7.0,20,F,0.0,2
-23.0,2.0,20,F,0.0,2
-6.0,4.0,20,F,31.0,2
-30.0,2.0,20,M,0.0,2
-7.0,3.0,20,M,0.0,2
-1.0,2.0,20,F,0.0,2
-14.0,3.0,20,F,0.0,2
0.0,3.0,20,M,0.0,2
-11.0,2.0,20,F,0.0,2
-23.0,2.0,20,M,0.0,4
-6.0,4.0,20,F,0.0,2
12.0,10.0,20,F,0.0,2
-8.0,3.0,20,F,20.0,2
-2.0,3.0,20,M,0.0,2
-2.0,5.0,20,M,0.0,2
-16.0,1.0,20,M,0.0,2
2.0,3.0,20,M,31.0,3
4.0,7.0,20,M,0.0,2
-16.0,3.0,20,M,0.0,2
-4.0,6.0,20,F,0.0,2
-7.0,2.0,20,F,0.0,2
2.0,6.0,20,F,0.0,2
-26.0,2.0,21,M,31.0,1
-9.0,3.0,21,F,1.0,1
-23.0,2.0,21,M,0.0,1
2.0,10.0,21,M,31.0,4
-6.0,5.0,21,M,0.0,1
-5.0,2.0,21,F,0.0,1
-8.0,5.0,21,M,0.0,1
-12.0,3.0,21,F,0.0,1
4.0,8.0,21,M,20.0,1
-7.0,1.0,21,M,0.0,1
12.0,10.0,21,F,20.0,1
16.0,10.0,21,F,31.0,1
-9.0,4.0,21,M,0.0,1
-22.0,2.0,21,M,0.0,1
-16.0,2.0,21,F,0.0,1
-6.0,6.0,21,F,0.0,1
-23.0,3.0,21,M,0.0,1
-14.0,4.0,21,M,0.0,1
-2.0,4.0,21,F,0.0,1
-4.0,6.0,21,F,0.0,1
9.0,6.0,21,F,0.0,1
-22.0,3.0,21,F,0.0,1
-6.0,8.0,21,M,0.0,1
-20.0,4.0,21,M,0.0,1
6.0,6.0,21,F,0.0,1
-11.0,4.0,21,M,0.0,1
7.0,7.0,21,M,0.0,1
-18.0,2.0,21,M,0.0,1
-25.0,2.0,21,F,0.0,1
-18.0,2.0,21,M,0.0,11
-10.0,2.0,21,M,0.0,1
-20.0,3.0,21,M,0.0,1
-10.0,3.0,21,F,0.0,1
-6.0,2.0,21,F,0.0,1
1.0,3.0,21,F,31.0,1
-8.0,3.0,21,F,0.0,1
-2.0,7.0,21,F,0.0,1
-6.0,10.0,21,M,31.0,1
-12.0,6.0,21,F,0.0,1
8.0,8.0,22,F,20.0,5
-17.0,2.0,22,F,0.0,5
-8.0,3.0,22,M,0.0,5
0.0,9.0,22,M,20.0,5
-14.0,2.0,22,M,0.0,5
-10.0,2.0,22,F,20.0,8
40.0,10.0,22,F,0.0,5
8.0,10.0,22,F,31.0,5
-4.0,4.0,22,F,0.0,5
16.0,8.0,22,F,0.0,11
8.0,7.0,22,F,20.0,5
9.0,9.0,22,M,0.0,5
-8.0,3.0,22,F,0.0,5
-5.0,2.0,22,M,20.0,5
-1.0,9.0,22,F,0.0,5
-19.0,2.0,22,M,0.0,5
0.0,5.0,22,F,0.0,5
-4.0,5.0,22,F,0.0,5
0.0,4.0,22,F,0.0,5
9.0,10.0,22,M,20.0,5
-16.0,3.0,22,M,31.0,5
1.0,7.0,22,M,1.0,5
-23.0,2.0,22,M,0.0,5
-5.0,10.0,22,F,0.0,5
-11.0,9.0,22,F,1.0,5
18.0,8.0,22,M,31.0,5
-12.0,6.0,22,F,0.0,5
-24.0,2.0,23,F,0.0,3
-12.0,2.0,23,M,20.0,3
0.0,3.0,23,F,0.0,3
-16.0,5.0,23,M,0.0,3
-6.0,7.0,23,F,0.0,3
-15.0,2.0,23,F,0.0,3
-5.0,2.0,23,F,0.0,3
-4.0,4.0,23,M,0.0,3
-4.0,4.0,23,F,0.0,3
-26.0,2.0,23,M,0.0,3
-4.0,3.0,23,F,31.0,3
-14.0,3.0,23,F,0.0,3
-30.0,1.0,23,M,0.0,3
2.0,7.0,23,F,0.0,3
-8.0,5.0,23,M,31.0,3
-20.0,1.0,23,M,0.0,3
-12.0,3.0,23,M,0.0,3
-10.0,3.0,23,M,0.0,3
9.0,10.0,24,F,31.0,6
-2.0,6.0,24,M,0.0,6
-1.0,7.0,24,F,20.0,6
3.0,9.0,24,F,0.0,6
6.0,4.0,24,F,31.0,6
15.0,10.0,24,F,20.0,6
12.0,10.0,24,F,0.0,6
16.0,10.0,24,M,20.0,6
15.0,10.0,24,F,20.0,6
-4.0,5.0,24,F,0.0,6
16.0,9.0,24,M,20.0,6
5.0,9.0,24,M,0.0,6
5.0,9.0,24,M,20.0,6
11.0,10.0,24,F,31.0,6
21.0,10.0,24,M,31.0,6
7.0,9.0,24,M,0.0,6
12.0,3.0,24,M,31.0,6
30.0,10.0,24,F,20.0,6
-2.0,2.0,24,M,20.0,6
0.0,8.0,24,M,0.0,6
9.0,10.0,24,M,20.0,6
-7.0,2.0,24,F,31.0,6
8.0,5.0,24,M,31.0,6
-1.0,10.0,24,F,20.0,6
-2.0,3.0,24,M,31.0,6
-9.0,4.0,24,F,20.0,6
13.0,10.0,24,F,20.0,6
20.0,9.0,24,M,20.0,6
7.0,6.0,24,F,0.0,5
24.0,8.0,24,F,0.0,6
0.0,10.0,24,M,31.0,6
-1.0,10.0,24,M,0.0,6
-2.0,5.0,24,F,0.0,6
11.0,7.0,24,F,0.0,6
5.0,10.0,24,F,31.0,6
-9.0,4.0,24,M,20.0,6
3.0,8.0,24,M,20.0,6
6.0,8.0,24,F,31.0,6
15.0,10.0,24,M,20.0,6
10.0,10.0,24,M,31.0,6
-7.0,6.0,24,M,0.0,6
16.0,9.0,24,F,0.0,6
16.0,4.0,24,M,0.0,6
-1.0,3.0,24,F,0.0,6
13.0,9.0,24,F,20.0,6
-29.0,3.0,24,M,0.0,6
0.0,6.0,24,M,0.0,6
15.0,10.0,24,F,20.0,6
-10.0,3.0,24,M,31.0,4
11.0,9.0,24,F,20.0,6
2.0,10.0,24,F,1.0,6
-10.0,4.0,24,M,0.0,6
8.0,6.0,24,F,20.0,6
16.0,8.0,24,F,20.0,6
2.0,5.0,24,M,31.0,6
10.0,10.0,24,F,20.0,6
12.0,10.0,24,M,0.0,6
15.0,9.0,25,F,0.0,6
-1.0,8.0,25,F,31.0,6
2.0,3.0,25,F,0.0,6
17.0,10.0,25,F,20.0,5
-9.0,3.0,25,M,20.0,6
10.0,9.0,25,M,0.0,6
-2.0,9.0,25,F,0.0,6
23.0,10.0,25,F,1.0,6
-4.0,7.0,25,F,31.0,5
-8.0,6.0,25,M,20.0,6
-25.0,2.0,25,M,20.0,6
6.0,5.0,25,F,0.0,6
-2.0,5.0,25,M,0.0,6
4.0,7.0,25,F,0.0,6
-7.0,3.0,25,F,0.0,6
2.0,8.0,25,F,0.0,6
15.0,10.0,25,M,0.0,6
3.0,8.0,25,M,0.0,6
-6.0,4.0,25,F,0.0,6
1.0,6.0,25,M,20.0,6
21.0,10.0,25,F,0.0,5
-7.0,4.0,25,F,0.0,6
-5.0,3.0,25,M,0.0,5
8.0,9.0,25,F,0.0,6
20.0,10.0,25,F,31.0,6
21.0,10.0,25,F,0.0,5
-10.0,3.0,25,M,31.0,5
-11.0,3.0,25,M,0.0,6
-5.0,7.0,25,F,20.0,6
-5.0,5.0,25,M,20.0,6
-6.0,7.0,25,M,0.0,5
-4.0,6.0,25,F,0.0,6
-1.0,3.0,25,M,0.0,6
20.0,10.0,25,F,0.0,6
9.0,10.0,25,F,0.0,6
13.0,9.0,25,M,0.0,6
