G,Y,A,U,B
AG,N,3+,-5.56,N
AG,N,0,-10.56,N
AG,Y,3+,3.44,N
AG,N,3+,11.44,N
AG,Y,0,-7.56,N
AG,N,1,-6.56,N
AG,N,3+,-0.56,N
AG,N,1,2.44,N
AG,Y,3+,3.44,N
AG,N,3+,6.44,N
AG,Y,1,-10.56,N
AG,N,2,1.44,N
AG,N,0,-10.56,N
AG,Y,0,-8.56,N
AH,Y,0,-10.56,Y
AH,Y,2,0.44,Y
AH,N,0,19.44,N
AH,N,3+,9.44,N
AH,Y,2,-4.56,N
AH,N,0,-12.56,N
AH,N,1,-5.56,N
AH,N,3+,11.44,N
AH,Y,1,-6.56,N
AH,N,0,-11.56,N
AH,Y,3+,7.44,N
AH,N,1,0.44,N
AH,Y,3+,1.44,N
AH,Y,1,-7.56,N
AH,Y,3+,5.44,N
AH,N,2,2.44,N
AH,Y,1,-7.56,N
AH,N,3+,-1.56,N
AH,N,0,-9.56,N
AH,Y,1,-6.56,N
AH,N,0,-7.56,N
AH,Y,3+,19.44,N
AH,N,2,-8.56,N
AH,N,2,-6.56,N
AH,Y,3+,19.44,N
AH,Y,3+,13.44,N
AH,N,1,-9.56,N
AH,N,0,-6.56,N
AH,N,3+,12.44,N
AH,Y,2,0.44,N
AH,N,3+,16.44,N
AH,N,1,7.44,N
AH,N,0,-13.56,N
AH,N,1,-3.56,N
AH,N,0,-6.56,N
AH,N,0,-9.56,N
AH,N,3+,-2.56,N
AI,Y,3+,7.44,Y
AI,Y,2,-3.56,Y
AI,N,3+,16.44,Y
AI,N,2,1.44,N
AI,Y,3+,-4.56,N
AI,N,3+,-3.56,N
AI,Y,1,-9.56,N
AI,N,3+,-0.56,N
AI,Y,2,2.44,N
AI,N,0,-11.56,N
AI,N,3+,10.44,N
AI,N,2,-5.56,N
AI,N,1,-6.56,N
AI,Y,3+,10.44,N
AI,N,2,-10.56,N
AI,N,3+,15.44,N
AI,N,3+,-5.56,N
AI,N,0,-12.56,N
AI,N,0,-12.56,N
AI,N,1,-8.56,N
AI,Y,2,-4.56,N
AI,N,3+,10.44,N
AI,N,3+,11.44,N
AJ,N,2,18.44,N
AJ,N,0,-11.56,N
AJ,N,1,-6.56,N
AJ,N,3+,3.44,N
AJ,N,3+,6.44,N
AJ,N,0,13.44,N
AJ,N,3+,15.44,N
AJ,Y,1,3.44,N
AJ,N,3+,15.44,N
AJ,N,2,19.44,N
AJ,N,0,12.44,N
AJ,N,0,-12.56,N
AJ,N,0,-9.56,N
AK,N,0,-9.56,N
AK,N,0,-8.56,N
AK,N,1,-5.56,N
AK,N,1,18.44,N
AK,N,0,-8.56,N
AK,N,0,-9.56,N
AK,N,0,-12.56,N
AK,N,0,3.44,N
AK,N,0,-8.56,N
AK,N,3+,19.44,N
AK,N,0,-3.56,N
AK,N,1,-5.56,N
AK,N,1,2.44,N
AK,N,1,0.44,N
AK,N,0,-11.56,N
AK,N,2,-2.56,N
AK,N,3+,2.44,N
AK,N,1,-8.56,N
AK,N,0,-8.56,N
AK,N,0,-6.56,N
AK,N,3+,18.44,N
AL,Y,3+,9.44,Y
AL,N,3+,18.44,Y
AL,N,2,-5.56,Y
AL,Y,0,4.44,Y
AL,N,3+,-3.56,Y
AL,N,3+,17.44,Y
AL,Y,3+,9.44,N
AL,N,1,-7.56,N
AL,N,3+,19.44,N
AL,N,3+,6.44,N
AL,N,0,-1.56,N
AL,N,3+,3.44,N
AL,Y,0,-5.56,N
AL,N,3+,5.44,N
AL,Y,0,-11.56,N
AL,N,3+,-1.56,N
AL,N,3+,2.44,N
AL,N,2,-5.56,N
AL,Y,1,-1.56,N
AL,N,3+,5.44,N
AL,Y,3+,18.44,N
AL,N,3+,10.44,N
AL,Y,3+,4.44,N
AL,N,3+,3.44,N
AL,Y,3+,11.44,N
AL,N,2,-2.56,N
AL,N,2,-1.56,N
AL,Y,3+,8.44,N
AL,N,0,-4.56,N
AM,N,3+,10.44,Y
AM,N,0,-11.56,Y
AM,Y,3+,6.44,Y
AM,Y,0,-7.56,Y
AM,N,1,-12.56,Y
AM,Y,1,-3.56,Y
AM,N,0,-8.56,Y
AM,N,0,-5.56,Y
AM,N,3+,-2.56,N
AM,N,3+,16.44,N
AM,Y,3+,0.44,N
AM,Y,3+,-1.56,N
AM,N,0,-2.56,N
AM,N,3+,15.44,N
AM,N,1,0.44,N
AM,Y,2,-7.56,N
AM,N,0,10.44,N
AM,N,0,-7.56,N
AM,N,3+,3.44,N
AM,Y,3+,0.44,N
AM,N,0,13.44,N
AM,Y,3+,4.44,N
AM,Y,3+,12.44,N
AM,Y,1,-3.56,N
AN,N,0,-9.56,Y
AN,Y,0,-10.56,Y
AN,N,1,-10.56,Y
AN,N,1,-11.56,Y
AN,Y,0,-11.56,Y
AN,N,1,2.44,Y
AN,N,0,7.44,Y
AN,N,0,0.44,Y
AN,N,1,-3.56,Y
AN,Y,0,-7.56,Y
AN,Y,2,-2.56,Y
AN,N,3+,3.44,Y
AN,Y,1,3.44,Y
AN,Y,0,-11.56,Y
AN,Y,1,-4.56,Y
AN,N,0,-10.56,Y
AN,Y,3+,12.44,Y
AN,N,1,-7.56,Y
AN,Y,3+,2.44,Y
AN,N,0,-10.56,Y
AN,N,0,-10.56,Y
AN,Y,0,-8.56,Y
AN,N,3+,8.44,Y
AN,N,0,-12.56,Y
AN,N,2,-6.56,Y
AN,Y,0,-8.56,Y
AN,Y,3+,14.44,Y
AN,Y,3+,16.44,Y
AN,Y,3+,6.44,Y
AN,Y,3+,16.44,Y
AN,Y,0,-11.56,Y
AN,Y,3+,3.44,Y
AN,Y,1,-5.56,Y
AN,Y,0,-6.56,Y
AN,Y,2,-2.56,Y
AN,Y,2,-7.56,Y
AN,Y,3+,-1.56,Y
AN,Y,2,2.44,Y
AN,Y,3+,5.44,Y
AN,N,3+,0.44,Y
AN,Y,3+,9.44,Y
AN,Y,3+,4.44,Y
AN,Y,0,-13.56,Y
AN,Y,0,-13.56,Y
AN,Y,3+,6.44,Y
AN,N,0,2.44,Y
AN,N,0,-8.56,Y
AN,N,3+,12.44,Y
AN,Y,0,-9.56,Y
AN,Y,3+,10.44,Y
AN,Y,0,-11.56,Y
AN,N,3+,2.44,Y
AN,N,0,-10.56,Y
AN,Y,0,-8.56,Y
AN,Y,3+,2.44,Y
AN,Y,3+,4.44,Y
AN,Y,3+,7.44,Y
AN,N,1,-10.56,Y
AN,N,0,-6.56,Y
AN,Y,2,3.44,Y
AN,Y,0,-9.56,Y
AN,N,1,6.44,Y
AN,Y,2,-4.56,Y
AN,Y,1,-5.56,Y
AN,N,1,-8.56,Y
AN,Y,2,0.44,Y
AN,Y,3+,17.44,Y
AN,Y,2,-7.56,Y
AN,N,3+,14.44,Y
AN,N,1,-4.56,Y
AN,Y,2,3.44,Y
AN,Y,1,-1.56,Y
AN,Y,1,-8.56,Y
AN,Y,3+,0.44,Y
AN,Y,1,-6.56,Y
AN,Y,3+,13.44,Y
AN,Y,0,0.44,Y
AN,Y,3+,7.44,Y
AN,Y,2,0.44,Y
AN,N,0,-1.56,Y
AN,Y,0,-12.56,Y
AN,N,2,18.44,Y
AN,Y,3+,7.44,Y
AN,Y,0,-8.56,Y
AN,Y,3+,11.44,Y
AN,Y,3+,13.44,Y
AN,Y,1,-7.56,Y
AN,N,0,-10.56,Y
AN,Y,1,-3.56,Y
AN,Y,1,-7.56,Y
AN,Y,2,-4.56,Y
AN,Y,0,-8.56,Y
AN,N,2,-2.56,Y
AN,Y,0,-9.56,Y
AN,Y,0,0.44,Y
AN,N,0,-5.56,Y
AN,Y,0,-3.56,Y
AN,Y,1,-10.56,Y
AN,N,2,0.44,Y
AN,Y,3+,8.44,Y
AN,Y,2,4.44,Y
AN,Y,1,2.44,N
AN,Y,1,-5.56,N
AN,N,2,-6.56,N
AN,N,2,6.44,N
AN,N,1,-7.56,N
AN,N,1,-1.56,N
AN,N,3+,-3.56,N
AN,Y,3+,10.44,N
AN,N,3+,18.44,N
AN,Y,0,-12.56,N
AN,N,3+,17.44,N
AN,Y,3+,-5.56,N
AN,N,0,-12.56,N
AN,N,0,-10.56,N
AN,N,3+,0.44,N
AN,N,1,-8.56,N
AN,Y,3+,17.44,N
AO,Y,3+,14.44,Y
AO,N,0,-13.56,Y
AO,N,3+,1.44,Y
AO,N,3+,2.44,Y
AO,Y,3+,-0.56,Y
AO,N,3+,19.44,Y
AO,N,1,0.44,Y
AO,Y,0,-4.56,Y
AO,Y,2,-3.56,N
AO,N,0,-9.56,N
AO,N,2,10.44,N
AO,N,1,4.44,N
AO,Y,3+,8.44,N
AO,N,1,-5.56,N
AO,N,0,-2.56,N
AO,N,0,-7.56,N
AO,N,0,-12.56,N
AO,Y,1,-4.56,N
AO,N,1,-8.56,N
AO,N,0,-10.56,N
AO,Y,2,-2.56,N
AO,Y,1,-5.56,N
AP,Y,2,-0.56,Y
AP,Y,0,-9.56,Y
AP,N,0,-12.56,N
AP,N,0,-12.56,N
AP,Y,0,-10.56,N
AP,N,0,-12.56,N
AP,Y,0,-8.56,N
AP,Y,2,4.44,N
AP,Y,2,17.44,N
AP,Y,2,8.44,N
AP,N,3+,4.44,N
AP,Y,1,-10.56,N
AP,N,0,-10.56,N
AP,N,0,-13.56,N
AP,N,1,0.44,N
AP,Y,3+,10.44,N
AP,N,0,-12.56,N
AP,N,2,18.44,N
AP,Y,0,-10.56,N
AP,Y,1,-6.56,N
AQ,N,0,-11.56,N
AQ,N,0,-12.56,N
AQ,Y,3+,-0.56,N
AQ,Y,3+,4.44,N
AQ,Y,3+,5.44,N
AQ,N,1,-7.56,N
AQ,N,1,-5.56,N
AQ,N,3+,15.44,N
AQ,N,0,-4.56,N
AQ,N,0,-12.56,N
AQ,N,3+,-5.56,N
AQ,N,2,-2.56,N
AQ,N,0,-12.56,N
AQ,N,0,1.44,N
AQ,Y,3+,7.44,N
AQ,N,3+,9.44,N
AQ,Y,3+,-2.56,N
AQ,N,3+,-2.56,N
AQ,N,3+,0.44,N
AQ,Y,2,-0.56,N
AQ,N,3+,-5.56,N
AQ,Y,3+,0.44,N
AQ,N,3+,11.44,N
AQ,N,3+,9.44,N
AR,N,0,-1.56,Y
AR,Y,1,-5.56,Y
AR,N,2,1.44,Y
AR,N,2,-1.56,Y
AR,N,0,-9.56,Y
AR,Y,3+,2.44,Y
AR,N,0,-7.56,Y
AR,N,0,-11.56,Y
AR,Y,2,0.44,Y
AR,Y,3+,15.44,Y
AR,N,0,-7.56,Y
AR,Y,0,-8.56,Y
AR,Y,0,-9.56,Y
AR,Y,3+,8.44,Y
AR,N,0,-12.56,N
AR,Y,1,-6.56,N
AR,N,0,-10.56,N
AR,N,1,-8.56,N
AR,N,0,-8.56,N
AR,Y,0,-13.56,N
AR,Y,3+,-0.56,N
AR,N,2,1.44,N
AR,N,0,-13.56,N
AR,N,0,-11.56,N
AR,N,3+,15.44,N
AR,Y,3+,-5.56,N
AR,N,3+,12.44,N
AR,N,3+,17.44,N
AR,Y,2,-5.56,N
AR,Y,3+,6.44,N
AR,N,3+,8.44,N
AR,N,2,17.44,N
AR,N,2,-2.56,N
AR,N,3+,4.44,N
AR,N,0,0.44,N
AR,Y,1,-13.56,N
AR,N,3+,-2.56,N
AR,N,3+,1.44,N
AR,N,0,17.44,N
AR,N,2,-6.56,N
AR,N,2,-6.56,N
AR,N,3+,5.44,N
AR,Y,1,-6.56,N
AR,N,0,-4.56,N
AR,N,3+,7.44,N
AR,N,3+,16.44,N
AR,Y,0,-10.56,N
AS,N,0,-2.56,Y
AS,Y,1,-11.56,Y
AS,Y,3+,-1.56,Y
AS,Y,0,-12.56,Y
AS,N,1,18.44,N
AS,Y,3+,2.44,N
AS,Y,3+,-0.56,N
AS,N,0,-6.56,N
AS,N,3+,3.44,N
AS,N,3+,11.44,N
AS,N,1,14.44,N
AS,N,1,5.44,N
AS,N,0,-9.56,N
AS,N,0,-2.56,N
AS,N,1,-6.56,N
AS,Y,0,0.44,N
AS,N,0,-1.56,N
AS,N,0,-10.56,N
AS,Y,3+,3.44,N
AS,Y,1,3.44,N
AS,Y,3+,2.44,N
AS,N,1,-5.56,N
AS,N,3+,-5.56,N
AS,N,3+,0.44,N
AS,Y,3+,12.44,N
AS,N,3+,5.44,N
AT,N,2,-1.56,N
AT,N,2,3.44,N
AT,Y,0,-12.56,N
AT,Y,2,-0.56,N
AT,N,3+,17.44,N
AT,Y,0,-12.56,N
AT,Y,0,-10.56,N
AT,N,2,-5.56,N
AT,N,3+,11.44,N
AT,N,0,-12.56,N
AT,N,0,-13.56,N
AT,N,0,8.44,N
AT,N,0,-13.56,N
AT,Y,3+,12.44,N
AT,Y,3+,-1.56,N
AU,N,3+,18.44,Y
AU,N,3+,19.44,Y
AU,Y,0,-12.56,Y
AU,N,0,-13.56,Y
AU,N,3+,-3.56,Y
AU,N,3+,14.44,Y
AU,N,3+,12.44,Y
AU,N,1,-6.56,Y
AU,N,2,7.44,N
AU,Y,0,1.44,N
AU,N,1,-7.56,N
AU,Y,2,-1.56,N
AU,N,2,-2.56,N
AU,Y,1,-4.56,N
AU,Y,0,2.44,N
AU,Y,1,-0.56,N
AU,Y,0,-7.56,N
AU,N,0,-10.56,N
AV,N,1,4.44,N
AV,Y,2,-5.56,N
AV,N,0,19.44,N
AV,N,3+,-1.56,N
AV,N,0,-10.56,N
AV,N,3+,-4.56,N
AV,N,3+,17.44,N
AV,Y,1,-3.56,N
AV,N,2,-3.56,N
AV,N,2,3.44,N
AV,N,1,-8.56,N
AV,N,2,-1.56,N
AV,N,3+,5.44,N
AV,N,0,-11.56,N
AV,N,3+,17.44,N
AV,N,3+,6.44,N
AV,N,3+,0.44,N
AV,N,3+,0.44,N
AV,Y,2,-4.56,N
AV,Y,1,-1.56,N
AW,N,2,-4.56,N
AW,N,0,-8.56,N
AW,Y,2,-1.56,N
AW,N,2,-2.56,N
AW,N,3+,16.44,N
AW,N,3+,-1.56,N
AW,N,2,-5.56,N
AW,N,1,10.44,N
AW,Y,3+,10.44,N
AW,N,0,-11.56,N
AW,N,3+,8.44,N
AW,Y,3+,7.44,N
AW,N,0,-11.56,N
AW,Y,2,5.44,N
AW,N,3+,8.44,N
AX,N,0,-8.56,N
AX,N,3+,-3.56,N
AX,N,1,-6.56,N
AX,N,3+,17.44,N
AX,N,0,-11.56,N
AX,N,0,-10.56,N
AX,N,3+,5.44,N
AX,N,3+,9.44,N
AX,N,3+,4.44,N
AX,N,0,6.44,N
AX,Y,3+,6.44,N
AX,N,0,-13.56,N
AX,N,1,-4.56,N
AX,N,3+,15.44,N
AY,N,0,-8.56,Y
AY,Y,2,-5.56,Y
AY,N,0,-3.56,Y
AY,Y,3+,1.44,Y
AY,N,0,-1.56,Y
AY,Y,1,9.44,Y
AY,Y,3+,8.44,Y
AY,Y,1,-0.56,Y
AY,N,3+,-5.56,Y
AY,N,0,0.44,Y
AY,Y,3+,-1.56,Y
AY,N,0,-11.56,Y
AY,N,0,-11.56,Y
AY,Y,3+,4.44,Y
AY,N,0,-9.56,Y
AY,N,0,-10.56,Y
AY,N,1,2.44,Y
AY,Y,1,-7.56,Y
AY,Y,3+,18.44,N
AY,N,1,-6.56,N
AY,N,3+,-2.56,N
AY,Y,1,-3.56,N
AY,Y,1,-8.56,N
AY,Y,2,6.44,N
AY,N,0,-13.56,N
AY,N,3+,3.44,N
AY,N,3+,3.44,N
AY,N,3+,1.44,N
AY,N,0,-8.56,N
AY,Y,3+,0.44,N
AY,Y,3+,4.44,N
AY,N,2,-5.56,N
AY,Y,3+,5.44,N
AY,Y,1,-10.56,N
AY,Y,3+,-9.56,N
AY,N,3+,4.44,N
AY,Y,2,1.44,N
AY,N,0,-12.56,N
AY,N,2,-6.56,N
AY,N,1,-4.56,N
AY,N,0,-1.56,N
AY,Y,2,5.44,N
AY,Y,3+,5.44,N
AY,N,2,2.44,N
AY,Y,3+,10.44,N
AY,N,0,-11.56,N
AY,Y,3+,4.44,N
AY,N,3+,7.44,N
AY,Y,1,-6.56,N
AY,Y,3+,0.44,N
AY,Y,3+,-1.56,N
AY,N,1,-5.56,N
AY,N,1,-2.56,N
AY,Y,3+,14.44,N
AY,N,0,-5.56,N
AY,Y,1,-11.56,N
AY,Y,3+,1.44,N
AY,N,2,-0.56,N
AY,N,3+,18.44,N
AY,N,1,-1.56,N
AY,N,0,-11.56,N
AY,N,1,-5.56,N
AY,N,2,-1.56,N
AY,Y,3+,-2.56,N
AY,Y,3+,4.44,N
AY,N,0,-12.56,N
AY,N,3+,5.44,N
AZ,Y,3+,5.44,N
AZ,N,3+,5.44,N
AZ,N,3+,3.44,N
AZ,N,3+,7.44,N
AZ,N,1,-8.56,N
AZ,N,1,-9.56,N
AZ,N,0,-9.56,N
AZ,Y,2,7.44,N
AZ,N,1,-5.56,N
AZ,Y,1,-2.56,N
AZ,N,2,15.44,N
AZ,Y,2,7.44,N
AZ,Y,2,-2.56,N
Aa,N,3+,1.44,Y
Aa,N,0,-2.56,Y
Aa,N,3+,4.44,Y
Aa,Y,0,-9.56,Y
Aa,Y,3+,14.44,Y
Aa,N,1,-6.56,N
Aa,N,0,-12.56,N
Aa,N,3+,15.44,N
Aa,N,3+,10.44,N
Aa,N,1,2.44,N
Aa,N,3+,14.44,N
Aa,N,3+,19.44,N
Aa,N,2,6.44,N
Aa,N,3+,10.44,N
Aa,Y,0,-5.56,N
Aa,N,3+,19.44,N
Aa,N,0,0.44,N
Aa,N,0,-12.56,N
Aa,N,0,-12.56,N
Aa,N,0,-7.56,N
Aa,N,0,-1.56,N
Aa,Y,2,9.44,N
Aa,Y,3+,14.44,N
Aa,N,1,-4.56,N
Aa,N,0,-10.56,N
Aa,N,2,-5.56,N
Aa,N,3+,17.44,N
Aa,Y,0,-5.56,N
Aa,Y,3+,2.44,N
Aa,N,0,-13.56,N
Aa,N,0,-12.56,N
Aa,Y,2,-0.56,N
Aa,N,3+,8.44,N
Aa,N,1,-2.56,N
Aa,N,0,-11.56,N
Aa,N,1,-5.56,N
Aa,N,1,4.44,N
Aa,N,0,-9.56,N
Aa,N,3+,14.44,N
Aa,N,3+,9.44,N
Aa,N,3+,11.44,N
Aa,N,3+,18.44,N
Aa,N,3+,11.44,N
Aa,N,3+,6.44,N
Ab,N,3+,10.44,Y
Ab,N,3+,-1.56,Y
Ab,N,3+,9.44,Y
Ab,Y,3+,4.44,Y
Ab,Y,1,-9.56,N
Ab,Y,2,-2.56,N
Ab,N,1,-1.56,N
Ab,N,3+,18.44,N
Ab,Y,3+,9.44,N
Ab,N,3+,18.44,N
Ab,Y,3+,10.44,N
Ab,Y,3+,-1.56,N
Ab,N,3+,9.44,N
Ab,Y,3+,9.44,N
Ab,N,3+,19.44,N
Ab,N,0,-7.56,N
Ab,Y,0,-13.56,N
Ab,N,3+,18.44,N
Ab,N,0,-12.56,N
Ab,N,2,-0.56,N
Ab,Y,3+,11.44,N
Ab,N,0,-12.56,N
Ab,N,0,-13.56,N
Ab,N,0,-9.56,N
Ab,N,0,-11.56,N
Ab,Y,3+,5.44,N
Ab,N,1,-7.56,N
Ab,N,0,-7.56,N
Ab,N,3+,16.44,N
Ab,Y,3+,1.44,N
Ab,Y,2,-2.56,N
Ab,N,3+,1.44,N
Ab,N,3+,18.44,N
Ab,N,1,-2.56,N
Ab,N,3+,3.44,N
Ab,N,3+,19.44,N
Ab,N,1,-9.56,N
Ab,N,1,-6.56,N
Ab,N,2,-2.56,N
Ab,N,0,-7.56,N
Ab,N,0,-10.56,N
Ab,N,2,8.44,N
Ab,N,3+,6.44,N
Ab,N,3+,10.44,N
Ab,N,2,-9.56,N
Ab,N,0,-12.56,N
Ab,N,3+,8.44,N
